Year,Style,Medal,Medalist,Entry,Score,Town,Region,Country
2026,Spiced,Judges' Pick,The Old Mine Cider Co.,Cinnamon Habanero,,Erie,CO,
2026,Cocktail Inspired,Platinum,Soundbite Cider,"Mai Tai Me Up, Mai Tai Me Down",,Everett,WA,
2026,Cocktail Inspired,Double Gold,Bauman’s Cider,POM Bourbon Smash,,Gervais,OR,
2026,Cocktail Inspired,Gold,Starcut Ciders,Mosa,,Bellaire,MI,
2026,Cocktail Inspired,Silver,Cider Corps,Black Panther,,Mesa,AZ,
2026,Specialty,Platinum,Soundbite Cider,Pomegranate Heart,,Everett,WA,
2026,Specialty,Double Gold,Puget Sound Cider Company,Strawberry Rhubarb,,Renton,WA,
2026,Specialty,Gold,The Old Mine Cider Co.,Vanilla Bourbon,,Erie,CO,
2026,Specialty,Silver,Armageddon Brewing,Resurrection,,Somerdale,NJ,
2026,Wood-Aged,Platinum,Kristof Farms Cider,Reserve,,Yamhill,OR,
2026,Wood-Aged,Double Gold,Snow Capped Cider,Barrel Aged Kingston Black,,Cedaredge,CO,
2026,Wood-Aged,Gold,Yankee Cider Company,Pear Brandy Barrel Aged Cider,,East Haddam,CT,
2026,Wood-Aged,Silver,White Crow Cider Company,Sappy Hour,,,Dessert / Fortified,
2026,Dessert,Platinum,Russell Orchards,J’s Ice Cider,,Ipswich,MA,
2026,Dessert,Double Gold,Eden Specialty Ciders,Honeycrisp Ice Cider 2024,,Newport,VT,
2026,Dessert,Gold,Eden Specialty Ciders,Heirloom Blend 2024,,Newport,VT,
2026,Dessert,Silver,Treasury Cider,Treasury Pommeau,,Newport,VT,
2026,Dessert,Silver,Treasury Cider,Treasury Pommeau,,Hopewell Junction,NY,
