Name,Year,🏅 Finalist,🏆 Winner,Total
Gowan's Heirloom Ciders,2020,0,2,2
Gowan's Heirloom Ciders,2021,1,0,1
Gowan's Heirloom Ciders,2023,0,3,3
Gowan's Heirloom Ciders,2024,0,2,2
Gypsy Circus,2020,1,1,2
Gypsy Circus,2022,0,1,1
Heartland Ciderworks,2024,0,1,1
Hemly Cider,2020,0,1,1
Humboldt Cider Company,2017,1,1,2
James Creek Cider House,2021,1,1,2
KC Wineworks,2019,2,1,3
Kristof Farms,2024,1,0,1
Lassen Traditional Cider,2018,0,1,1
Lassen Traditional Cider,2019,0,1,1
Lassen Traditional Cider,2020,1,0,1
Lassen Traditional Cider,2021,0,1,1
Lassen Traditional Cider,2023,0,2,2
Liberty Ciderworks,2019,0,1,1
Liberty Ciderworks,2020,0,1,1
Liberty Ciderworks,2021,0,3,3
Liberty Ciderworks,2022,0,1,1
Liberty Ciderworks,2023,0,2,2
Liberty Ciderworks,2024,1,2,3
Madrone Cellars & Cider,2020,0,1,1
Madrone Cellars & Cider,2021,0,1,1
Madrone Cellars & Cider,2023,0,1,1
Mawby Vineyards,2017,0,2,2
Mount Diablo Cider Company,2024,1,1,2
Nashi Orchards,2018,1,0,1
Nashi Orchards,2023,1,0,1
North American Press,2022,0,1,1
Orchard Hill Cider Mill,2017,0,1,1
Portersfield Cider,2019,0,1,1
Posterity Ciderworks,2023,3,0,3
Potter's Craft Cider,2020,1,0,1
Ragged Hill Cider,2022,1,1,2
Ragged Hill Cider,2024,0,1,1
Raging Cider & Mead,2022,1,0,1
Santa Cruz Cider Co.,2019,1,0,1
Scar of the Sea,2017,2,1,3
Seek-No-Further Cidery,2024,0,1,1
Shacksbury Cider,2016,1,1,2
Shacksbury Cider,2018,0,1,1
Shacksbury Cider,2019,1,0,1
Silo Distillery,2020,1,0,1
Slake Cider,2021,1,0,1
Slyboro Ciderhouse,2017,0,1,1
Snow Capped Cider,2021,1,2,3
Snow Capped Cider,2022,0,1,1
Snow Capped Cider,2023,2,1,3
Snow Capped Cider,2024,2,2,4
Snowdrift Cider Co.,2016,1,1,2
Snowdrift Cider Co.,2017,0,2,2
Soquel Cider,2019,1,1,2
South Hill Cider,2018,1,1,2
Stem Ciders,2018,0,1,1
Stem Ciders,2020,1,1,2
Stem Ciders,2023,1,1,2
Stormalong Cider,2019,0,1,1
Stormalong Cider,2020,1,1,2
Stormalong Cider,2021,0,1,1
Stormalong Cider,2022,1,1,2
Stormalong Cider,2023,0,2,2
Sundström Cider,2019,1,0,1
The Cider Farm,2023,0,2,2
Tieton Cider Works,2020,1,0,1
Troddenvale Cider,2022,2,1,3
Two Broads Ciderworks,2024,0,1,1
Union Hill Cider Co.,2023,1,0,1
Urban Tree Hard Cider,2019,1,0,1
Urban Tree Hard Cider,2020,0,1,1
Virtue Cider,2020,0,2,2
Whitewood Cider Co.,2017,1,1,2
WildCraft Cider Works,2018,0,1,1
WildCraft Cider Works,2019,1,0,1
WildCraft Cider Works,2020,0,1,1
Winchester Ciderworks,2023,1,0,1
Wise Bird Cider,2021,1,2,3
Wise Bird Cider,2022,0,1,1
Wise Bird Cider,2023,0,1,1
Wise Bird Cider,2024,1,1,2
Wrangletown Cider Company,2017,1,0,1
Wrangletown Cider Company,2019,1,0,1
Total,2016,8,12,20
Total,2017,14,14,28
Total,2018,5,18,23
Total,2019,12,13,25
Total,2020,8,17,25
Total,2021,9,17,26
Total,2022,12,18,30
Total,2023,17,21,38
Total,2024,7,17,24
