Producer,🏆 Winner,🏅 Finalist,Total,First,Last,Years,City,State,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd,Latitude,Longitude,Transparency
Dragon's Head Cider,3,1,4,2018,2019,2,Vashon,Washington,Active,http://www.dragonsheadcider.com/,,https://www.instagram.com/dragonsheadcider/,https://maps.google.com/?cid=2526574753760904159,https://www.yelp.com/biz/dragons-head-cider-vashon,,https://untappd.com/w/dragons-head-cider/36168,47.441428,-122.473876,1
Ethic Ciders,3,1,4,2018,2023,3,Petaluma,California,Active,https://ethicciders.com/,,https://www.instagram.com/ethicciders/,https://maps.google.com/?cid=8690271967777704135,https://www.yelp.com/biz/ethic-ciders-sebastopol,,https://untappd.com/w/ethic-ciders/355517,38.4257764,-122.8569459,1
Snowdrift Cider Co.,3,1,4,2016,2017,2,East Wenatchee,Washington,Active,https://www.snowdriftcider.com/,https://www.facebook.com/snowdriftcider,https://www.instagram.com/snowdriftciderco/,https://maps.google.com/?cid=18339570792633761066,https://www.yelp.com/biz/snowdrift-cider-east-wenatchee,,https://untappd.com/w/snowdrift-cider-co/8545,47.400586,-120.178628,1
Blue Bee Cider,3,0,3,2017,2019,2,Richmond,Virginia,Active,https://www.bluebeecider.com/,https://www.facebook.com/BlueBeeCider,https://www.instagram.com/bluebeecider/,https://maps.google.com/?cid=17761175602688407320,https://www.yelp.com/biz/blue-bee-cider-richmond,https://www.tripadvisor.com/Attraction_Review-g60893-d4749979,https://untappd.com/w/blue-bee-cider/62200,37.5916262,-77.4888875,1
Madrone Cellars & Cider,3,0,3,2020,2023,3,Friday Harbor,Washington,Active,https://madronecellars.com/,https://www.facebook.com/madronecellars,https://www.instagram.com/madronecellars_cider/,https://maps.google.com/?cid=4819408985436567114,https://www.yelp.com/biz/madrone-cellars-and-cider-friday-harbor,https://www.tripadvisor.com/Attraction_Review-g60957-d21166624,https://untappd.com/MadroneCider,48.5351226,-123.0164504,1
Shacksbury Cider,2,2,4,2016,2019,3,Vergennes,Vermont,Active,http://www.shacksbury.com/,,https://www.instagram.com/shacksbury/,https://maps.google.com/?cid=3671325142868281556,https://www.yelp.com/biz/shacksbury-cider-vergennes,https://www.tripadvisor.com/Attraction_Review-g57429-d12946890,https://untappd.com/w/shacksbury-cider/129613,44.177191,-73.245354,1
Gypsy Circus,2,1,3,2020,2022,2,Kingsport,Tennessee,Active,https://gypsycircuscider.com/,https://www.facebook.com/GypsyCircusCider/,https://www.instagram.com/gypsycircuscider/,https://maps.google.com/?cid=4520512866262691085,https://www.yelp.com/biz/gypsy-circus-taproom-kingsport,https://www.tripadvisor.com/Attraction_Review-g55135-d12818214,https://untappd.com/w/gypsy-circus-cider-company/226304,36.520022,-82.51794,1
Ragged Hill Cider,2,1,3,2022,2024,2,West Brookfield,Massachusetts,Active,https://www.raggedhillcider.com/,https://www.facebook.com/RaggedHillCider/,https://www.instagram.com/raggedhillcider/,https://maps.google.com/?cid=12743756096350248911,https://www.yelp.com/biz/ragged-hill-orchard-west-brookfield,https://www.tripadvisor.com/Attraction_Review-g41900-d13976564,https://untappd.com/w/ragged-hill-cider-company/339946,42.269444,-72.168979,1
WildCraft Cider Works,2,1,3,2018,2020,3,Eugene,Oregon,Active,https://wildcraftciderworks.com/,https://www.facebook.com/WildCraftCiderWorks/,https://www.instagram.com/wildcraftcider/,https://maps.google.com/?cid=15001881032430403771,https://www.yelp.com/biz/wildcraft-cider-works-eugene,https://www.tripadvisor.com/Restaurant_Review-g51862-d8277583,https://untappd.com/w/wildcraft-cider-works/159780,44.055602,-123.097306,1
Big Fish Cider Co.,2,0,2,2018,2019,2,Monterey,Virginia,Active,http://www.bigfishcider.com/,https://www.facebook.com/BigFishCider/,https://www.instagram.com/big_fish_cider/,https://maps.google.com/?cid=10686446551531832863,https://www.yelp.com/biz/big-fish-cider-monterey,https://www.tripadvisor.com/Attraction_Review-g57982-d10413095,https://untappd.com/w/big-fish-cider-co/202963,38.412304,-79.58293,1
Mawby Vineyards,2,0,2,2017,2017,1,Suttons Bay,Michigan,Active,https://mawby.wine/,https://www.facebook.com/MAWBYwinery,https://www.instagram.com/mibubbly/,https://maps.google.com/?cid=2471409306317185463,https://www.yelp.com/biz/l-mawby-vineyards-suttons-bay,https://www.tripadvisor.com/Attraction_Review-g42743-d2290474,https://untappd.com/w/mawby/272550,44.913676,-85.65229,1
The Cider Farm,2,0,2,2023,2023,1,Mineral Point,Wisconsin,Active,http://www.theciderfarm.com/,https://www.facebook.com/theciderfarm,https://www.instagram.com/the_cider_farm,https://maps.google.com/?cid=4628939322097981132,https://www.yelp.com/biz/the-cider-farm-madison,https://www.tripadvisor.com/Restaurant_Review-g60859-d23649069,https://untappd.com/w/the-cider-farm/235550,42.859997,-90.179847,1
Virtue Cider,2,0,2,2020,2020,1,Fennville,Michigan,Active,http://www.virtuecider.com/,https://www.facebook.com/virtuecider,https://www.instagram.com/virtuecider/,https://maps.google.com/?cid=8731167836057791034,https://www.yelp.com/biz/virtue-farm-fennville,https://www.tripadvisor.com/Attraction_Review-g42198-d7159911,https://untappd.com/w/virtue-cider/24608,42.57688,-86.15187,1
Argus Cidery,1,2,3,2016,2019,2,Austin,Texas,Active,http://www.arguscidery.com/,https://www.facebook.com/arguscidery,https://www.instagram.com/arguscidery/,,,,https://untappd.com/w/argus-cidery/10075,30.1755719,-97.7833058,1
Bauman's Cider,1,2,3,2022,2024,3,Gervais,Oregon,Active,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.yelp.com/biz/baumans-farm-and-garden-gervais,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872,45.1079661,-122.8693386,1
KC Wineworks,1,2,3,2019,2019,1,Kansas City,Missouri,Active,https://kcwineworks.com/,https://www.facebook.com/kcwineworks,https://www.instagram.com/kcwineworks,https://maps.google.com/?cid=12253214208142636646,https://www.yelp.com/biz/kc-wineworks-kansas-city,https://www.tripadvisor.com/Attraction_Review-g44535-d14991755,https://untappd.com/w/kc-wineworks/291213,39.09061,-94.579843,1
Scar of the Sea,1,2,3,2017,2017,1,Santa Maria,California,Active,http://www.scaroftheseawines.com/,,https://www.instagram.com/scar_of_the_sea/,https://maps.google.com/?cid=7351321639088748491,,,https://untappd.com/w/scar-of-the-sea-wines/130497,34.893598,-120.299626,1
Troddenvale Cider,1,2,3,2022,2022,1,Warm Springs,Virginia,Active,https://www.troddenvale.com/,https://www.facebook.com/troddenvalecider/,https://www.instagram.com/troddenvalecider/,https://maps.google.com/?cid=14366923941014908780,https://www.yelp.com/biz/troddenvale-warm-springs,,https://untappd.com/w/troddenvale/461564,38.0419974,-79.7905682,1
Art+Science Cider & Wine,1,1,2,2016,2021,2,Sheridan,Oregon,Active,https://www.artandsciencenw.com/,,https://www.instagram.com/art_science_cider_wine/,https://maps.google.com/?cid=4459649670680406192,https://www.yelp.com/biz/art-science-cider-and-wine-sheridan,,https://untappd.com/w/art-and-science/220656,45.090707,-123.447145,1
Eve's Cidery,1,1,2,2016,2017,2,Van Etten,New York,Active,http://www.evescidery.com/,https://www.facebook.com/evescidery/,https://www.instagram.com/evescidery/,https://maps.google.com/?cid=1539722496531765665,,,https://untappd.com/w/eves-cidery/5396,42.187393,-76.564673,1
Foggy Ridge Cider,1,1,2,2016,2018,2,Dugspur,Virginia,Inactive,,,,,,,,36.7672784,-80.5290282,0
Humboldt Cider Company,1,1,2,2017,2017,1,Eureka,California,Active,,https://www.facebook.com/HumboldtCider/,https://www.instagram.com/humboldtcidercompany/,https://maps.google.com/?cid=9833726366522566502,https://www.yelp.com/biz/humboldt-cider-eureka,,https://untappd.com/w/humboldt-cider-company/169054,40.7817209,-124.1298735,1
James Creek Cider House,1,1,2,2021,2021,1,Cameron,North Carolina,Active,https://jamescreekciderhouse.com/,https://www.facebook.com/jamescreekciderhouse,https://www.instagram.com/jamescreekciderhouse/,https://maps.google.com/?cid=8654485681895206331,https://www.yelp.com/biz/james-creek-cider-house-cameron,,https://untappd.com/w/james-creek-cider-house/291592,35.336069,-79.245782,1
Mount Diablo Cider Company,1,1,2,2024,2024,1,Lafayette,California,Active,https://www.mountdiablocider.com/,https://www.facebook.com/mountdiablocider,https://www.instagram.com/mountdiablocider/,,,,https://untappd.com/w/mount-diablo-cider-company/527606,37.9025575,-122.0944769,1
Soquel Cider,1,1,2,2019,2019,1,Soquel,California,Active,https://everettfamilyfarm.com/,,https://www.instagram.com/everettfamilyfarm/,https://maps.google.com/?cid=10056858576597960489,https://www.yelp.com/biz/everett-family-farm-soquel,,https://untappd.com/w/soquel-cider/278869,37.015707,-121.951697,1
South Hill Cider,1,1,2,2018,2018,1,Ithaca,New York,Active,http://www.southhillcider.com/,https://www.facebook.com/SouthHillCider,https://www.instagram.com/southhillcider/,https://maps.google.com/?cid=12183207821191518039,https://www.yelp.com/biz/south-hill-cider-ithaca,https://www.tripadvisor.com/Attraction_Review-g47958-d19354538,https://untappd.com/w/south-hill-cider/162707,42.3915,-76.522136,1
Urban Tree Hard Cider,1,1,2,2019,2020,2,Atlanta,Georgia,Active,https://urbantreecidery.com/,https://www.facebook.com/UrbanTreeCider/,https://www.instagram.com/urbantreecider/,,,,https://untappd.com/w/urban-tree-cidery/260157,33.794905,-84.414797,1
Whitewood Cider Co.,1,1,2,2017,2017,1,Olympia,Washington,Active,https://www.whitewoodcider.com/,https://www.facebook.com/WhitewoodCider/,https://www.instagram.com/wwcider/,https://maps.google.com/?cid=17959127106154260964,https://www.yelp.com/biz/whitewood-cider-co-tasting-room-olympia,,https://untappd.com/w/whitewood-cider-co/9380,47.0456687,-122.8933489,1
AeppelTreow Winery & Distillery,1,0,1,2016,2016,1,Burlington,Wisconsin,Active,http://aeppeltreow.com/,https://www.facebook.com/Aeppeltreow.Ciders/,https://www.instagram.com/aeppeltreow_ciders/,https://maps.google.com/?cid=14330457100802755750,https://www.yelp.com/biz/aeppeltreow-winery-burlington,https://www.tripadvisor.com/Attraction_Review-g59742-d8355389,https://untappd.com/w/aeppeltreow-winery-and-distillery/5397,42.642658,-88.160186,1
Albemarle CiderWorks,1,0,1,2020,2020,1,North Garden,Virginia,Active,http://www.albemarleciderworks.com/,https://www.facebook.com/AlbCiderWorks/,https://www.instagram.com/albciderworks/,https://maps.google.com/?cid=18144857979395006290,https://www.yelp.com/biz/albemarle-ciderworks-north-garden,https://www.tripadvisor.com/Attraction_Review-g58029-d1632465,https://untappd.com/w/albemarle-ciderworks/17761,37.966531,-78.650136,1
Coturri Winery,1,0,1,2022,2022,1,Glen Ellen,California,Active,https://coturriwinery.com/,https://www.facebook.com/CoturriWinery,https://www.instagram.com/Coturri_Winery,https://maps.google.com/?cid=5748147493916332418,https://www.yelp.com/biz/coturri-h-and-sons-winery-glen-ellen,,https://untappd.com/w/coturri-and-sons/124649,38.371311,-122.563821,1
Ela Cider Co.,1,0,1,2016,2016,1,Rochester,Wisconsin,Inactive,,,,,,,,42.744704,-88.247955,0
Finger Lakes Cider House,1,0,1,2017,2017,1,Interlaken,New York,Active,http://www.fingerlakesciderhouse.com/,https://www.facebook.com/FingerLakesCiderHouse/,https://www.instagram.com/flxciderhouse/,https://maps.google.com/?cid=6795224421439178302,https://www.yelp.com/biz/finger-lakes-cider-house-interlaken,https://www.tripadvisor.com/Restaurant_Review-g47948-d8310323,https://untappd.com/FLCiderHouse,42.606626,-76.70006,1
Goat Rock Cider Company,1,0,1,2020,2020,1,Petaluma,California,Active,https://www.goatrockcider.com/,https://www.facebook.com/goatrockcider,https://www.instagram.com/goatrockcider/,https://maps.google.com/?cid=1379702709501392841,,,https://untappd.com/w/goat-rock-cider-company/427829,38.2734373,-122.6643955,1
Heartland Ciderworks,1,0,1,2024,2024,1,Rickreall,Oregon,Active,,https://www.facebook.com/HeartlandCiderworks,https://www.instagram.com/heartland_ciderworks/,,,,https://untappd.com/HeartlandCiderworks,44.9264472,-123.2292953,1
Hemly Cider,1,0,1,2020,2020,1,Courtland,California,Active,https://www.hemlycider.com/,https://www.facebook.com/hemlycider,https://www.instagram.com/hemlycider/,https://maps.google.com/?cid=16671569982279655432,https://www.yelp.com/biz/hemly-cider-courtland,https://tripadvisor.com/Attraction_Review-g32258-d24092111,https://untappd.com/w/hemly-cider/248913,38.3152957,-121.5646309,1
North American Press,1,0,1,2022,2022,1,Santa Rosa,California,Active,https://northamericanpress.wine/,,https://www.instagram.com/north_american_press/,,,,https://untappd.com/w/north-american-press/485699,38.440429,-122.7140548,1
Orchard Hill Cider Mill,1,0,1,2017,2017,1,New Hampton,New York,Active,https://orchardhillcidermill.com/,,https://www.instagram.com/orchardhillny/,https://maps.google.com/?cid=639324896791929360,https://www.yelp.com/biz/orchard-hill-cider-mill-new-hampton,https://www.tripadvisor.com/Attraction_Review-g48237-d8567457,https://untappd.com/w/orchard-hill-cider-mill/115211,41.402871,-74.403127,1
Portersfield Cider,1,0,1,2019,2019,1,Pownal,Maine,Active,https://www.portersfieldcider.com/,https://www.facebook.com/portersfieldcider,https://www.instagram.com/portersfield_cider,https://maps.google.com/?cid=15131843143212544489,https://www.yelp.com/biz/portersfield-cider-pownal,https://www.tripadvisor.com/Attraction_Review-g40828-d14787659,https://untappd.com/w/portersfield-cider/216472,43.8842535,-70.1672604,1
Seek-No-Further Cidery,1,0,1,2024,2024,1,Granville,Ohio,Active,https://www.seeknofurthercider.com/,https://www.facebook.com/seeknofurthercidery,https://www.instagram.com/seeknofurthercidery/,https://maps.google.com/?cid=4713802987366690958,https://www.yelp.com/biz/seek-no-further-cidery-granville,https://www.tripadvisor.ie/Attraction_Review-g50390-d23985887,https://untappd.com/w/seek-no-further/500402,40.0670945,-82.5194091,1
Slyboro Ciderhouse,1,0,1,2017,2017,1,Granville,New York,Active,,https://www.facebook.com/slyborociderhouse/,,https://maps.google.com/?cid=15135981072993122340,https://www.yelp.com/biz/hicks-orchard-granville,https://www.tripadvisor.com/Attraction_Review-g47814-d7138901,https://untappd.com/w/slyboro-cider-house/18728,43.411532,-73.330994,1
Two Broads Ciderworks,1,0,1,2024,2024,1,San Luis Obispo,California,Active,https://twobroadscider.com/,https://www.facebook.com/twobroadscider/,https://www.instagram.com/twobroadscider/,https://maps.google.com/?cid=14445203383659538831,https://www.yelp.com/biz/two-broads-ciderworks-san-luis-obispo,,https://untappd.com/w/two-broads-ciderworks/366709,35.259662,-120.644957,1
Artifact Cider Project,0,3,3,2022,2023,2,Florence,Massachusetts,Active,http://www.artifactcider.com/,https://www.facebook.com/artifactcider/,https://www.instagram.com/artifactcider/,,,,https://untappd.com/w/artifact-cider-project/135898,42.3378061,-72.6732543,1
Posterity Ciderworks,0,3,3,2023,2023,1,Mokelumne Hill,California,Active,https://posterityciderworks.com/,https://www.facebook.com/posterityciderworks,https://www.instagram.com/posterityciderworks/,https://maps.google.com/?cid=12556482300952119386,https://www.yelp.com/biz/posterity-ciderworks-mokelumne-hill,,,38.2969506,-120.7076974,1
Botanist & Barrel,0,2,2,2022,2023,2,Cedar Grove,North Carolina,Active,https://www.botanistandbarrel.com/,,https://www.instagram.com/botanistandbarrel/,https://maps.google.com/?cid=1902463006194094884,https://www.yelp.com/biz/botanist-and-barrel-cedar-grove,https://www.tripadvisor.com/Attraction_Review-g49015-d13544284,https://untappd.com/w/botanist-barrel/356633,36.216856,-79.179325,1
Nashi Orchards,0,2,2,2018,2023,2,Vashon,Washington,Active,http://www.nashiorchards.com/,https://www.facebook.com/nashiorchards,https://www.instagram.com/nashi_orchards/,https://maps.google.com/?cid=12360902013052761069,https://www.yelp.com/biz/nashi-orchards-winery-vashon,https://www.tripadvisor.com/Attraction_Review-g58805-d9564025,https://untappd.com/w/nashi-orchards/113169,47.375697,-122.504058,1
Wrangletown Cider Company,0,2,2,2017,2019,2,Arcata,California,Inactive,,,,,,,,40.87026,-124.09237,0
2 Towns Ciderhouse,0,1,1,2016,2016,1,Corvallis,Oregon,Active,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975,44.563505,-123.226185,1
Angry Orchard,0,1,1,2018,2018,1,Walden,New York,Active,https://www.angryorchard.com/,https://www.facebook.com/AngryOrchard/,https://www.instagram.com/angryorchard/,https://maps.google.com/?cid=17467507983407382578,https://www.yelp.com/biz/angry-orchard-walden-2,https://www.tripadvisor.com/Attraction_Review-g48788-d10266026,https://untappd.com/w/angry-orchard-cider-company/16455,41.587128,-74.221692,1
Bad Seed Cider,0,1,1,2017,2017,1,Highland,New York,Active,http://www.badseedhardcider.com/,,https://www.instagram.com/badseedcider/,https://maps.google.com/?cid=8137566765799910733,https://www.yelp.com/biz/bad-seed-cider-company-highland,https://www.tripadvisor.com/Attraction_Review-g47892-d8621979,https://untappd.com/w/bad-seed-cider-co/31780,41.686007,-73.996418,1
Berkshire Cider Project,0,1,1,2023,2023,1,North Adams,Massachusetts,Active,https://www.berkshire-cider.com/,https://www.facebook.com/BerkshireCiderProject/,https://www.instagram.com/berkshire_cider/,https://maps.google.com/?cid=39143702970968971,https://www.yelp.com/biz/berkshire-cider-project-north-adams,https://www.tripadvisor.com/Attraction_Review-g41715-d23520152,https://untappd.com/berkshire_cider,42.6980607,-73.1521496,1
Eaglemount Wine & Cider,0,1,1,2016,2016,1,Port Townsend,Washington,Active,https://eaglemountwinery.com/,https://www.facebook.com/eaglemountwineandcider/,https://www.instagram.com/p/CKHZN9pLKw-/,https://maps.google.com/?cid=8669789097383487844,https://www.yelp.com/biz/eaglemount-wine-and-cider-port-townsend-2,https://www.tripadvisor.com/Attraction_Review-g58687-d25451008,https://untappd.com/w/eaglemount-wine-and-cider/9836,48.099159,-122.818591,1
Kristof Farms,0,1,1,2024,2024,1,Yamhill,Oregon,Active,https://www.kristoffarms.com/,https://www.facebook.com/KristofFarms/,https://www.instagram.com/kristoffarms/,,,,https://untappd.com/w/kristof-farms/524122,45.3833849,-123.153384,1
Potter's Craft Cider,0,1,1,2020,2020,1,Charlottesville,Virginia,Active,https://potterscraftcider.com/,https://www.facebook.com/potterscraftcider,https://www.instagram.com/potterscraftcider/,https://maps.google.com/?cid=5866852060832925678,https://www.yelp.com/biz/potters-craft-cider-charlottesville-2,https://www.tripadvisor.com/Attraction_Review-g57592-d19722718,https://untappd.com/w/potters-craft-cider/30119,37.9986534,-78.5798492,1
Raging Cider & Mead,0,1,1,2022,2022,1,San Marcos,California,Active,http://www.ragingcidermead.com/,https://www.facebook.com/ragingcider/,https://www.instagram.com/raging_cider/,https://maps.google.com/?cid=4063834740320553778,https://www.yelp.com/biz/raging-cider-and-mead-co-san-marcos,,https://untappd.com/w/raging-cider-mead/368755,33.144079,-117.18753,1
Santa Cruz Cider Co.,0,1,1,2019,2019,1,Santa Cruz,California,Active,http://www.santacruzciderco.com/,https://www.facebook.com/santacruzciderco/,https://www.instagram.com/santacruzciderco/,https://maps.google.com/?cid=16427348691643937890,https://www.yelp.com/biz/santa-cruz-cider-watsonville-2,,https://untappd.com/w/santa-cruz-cider-company/95411,36.959789,-122.048975,1
Silo Distillery,0,1,1,2020,2020,1,Windsor,Vermont,Inactive,,,,,,,,43.5143504,-72.402142,0
Slake Cider,0,1,1,2021,2021,1,McMinnville,Oregon,Inactive,,,,,,,,45.215577,-123.197811,0
Sundström Cider,0,1,1,2019,2019,1,Rhinebeck,New York,Active,https://www.sundstromcider.com/,,https://www.instagram.com/sundstromcider/,,,,https://untappd.com/w/sundstra-m-cider/235426,41.953426,-73.792075,1
Tieton Cider Works,0,1,1,2020,2020,1,Yakima,Washington,Active,https://tietonciderworks.com/,https://www.facebook.com/tietonciderworks/,https://www.instagram.com/tietonciderworks/,https://maps.google.com/?cid=9208093896298438407,https://www.yelp.com/biz/tieton-cider-works-yakima,https://www.tripadvisor.com/Attraction_Review-g58838-d7991577,https://untappd.com/w/tieton-cider-works/10804,46.615859,-120.521786,1
Union Hill Cider Co.,0,1,1,2023,2023,1,East Wenatchee,Washington,Active,https://www.unionhillciderco.com/,https://www.facebook.com/UnionHillCiderCo/,https://www.instagram.com/unionhillciderco/,https://maps.google.com/?cid=15999164221517255413,https://www.yelp.com/biz/union-hill-cider-east-wenatchee,,https://untappd.com/UnionHillCiderCo,47.3880763,-120.2207316,1
Winchester Ciderworks,0,1,1,2023,2023,1,Winchester,Virginia,Active,https://winchesterciderworks.com/,https://www.facebook.com/WinchesterCiderworks/,https://www.instagram.com/winchester_ciderworks/,,https://www.yelp.com/biz/winchester-ciderworks-winchester,https://www.tripadvisor.com/Attraction_Review-g58318-d12692853,https://untappd.com/w/winchester-ciderworks/61540,39.1863926,-78.1637692,1
Total,147,92,239,,,,,,,,,,,,,,,,
