ID,Category,Medal,Medalist,Producer,Entry,Country,Subcategory,WID,Order,Website,Facebook,Instagram,Google,TripAdvisor,Untappd,Latitude,Longitude
47,Acid Led Cider,🥈 SILVER,Cider Mad Apple,Mostarna Lounty,Mad Apple Cider Semi-dry,Czechia,Medium,1304,1,,https://www.facebook.com/madapplecider,,https://maps.google.com/?cid=8096197127047797788,,https://untappd.com/w/mostarna-louny/494693,50.3474795,13.7982515
48,Acid Led Cider,🥈 SILVER,Nerø Frukt og Sider,NeRø Sideri,Vill & Villig,Norway,Medium,2606,1,https://www.nerofrukt.no/,https://www.facebook.com/people/NeR%C3%B8-Frukt-og-Sider/100070115946607/,https://www.instagram.com/nerofrukt/,https://maps.google.com/?cid=2060180241711172985,,https://untappd.com/w/nero-frukt-og-sider/467847,59.4988141,9.3240024
50,Acid Led Cider,🥈 SILVER,Appleblood Cider,ppm cider,Boskoop 2022,Italy,Dry,3028,1,https://applebloodcider.com/,https://www.facebook.com/applebloodcider,https://www.instagram.com/applebloodcider/,https://maps.google.com/?cid=14977227174949746380,,https://untappd.com/w/apple-blood-cider/474058,46.1746392,11.0989943
51,Acid Led Cider,🥈 SILVER,Appleblood Cider,ppm cider,Rosa 2022,Italy,Medium,3028,1,https://applebloodcider.com/,https://www.facebook.com/applebloodcider,https://www.instagram.com/applebloodcider/,https://maps.google.com/?cid=14977227174949746380,,https://untappd.com/w/apple-blood-cider/474058,46.1746392,11.0989943
53,Acid Led Cider,🥈 SILVER,Saigon Cider,Saigon Cider,Original Apple,Vietnam,Sweet,2147,1,https://www.saigoncider.com/,https://www.facebook.com/saigoncider/,https://www.instagram.com/saigoncider/,,,https://untappd.com/w/saigon-cider/127105,10.8135684,106.6919007
54,Acid Led Cider,🥈 SILVER,Sandalen Gård,Sandalen Gård,Knedrepar,Norway,Medium,3032,1,https://sandalengard.no/,https://www.facebook.com/sandalengard,https://www.instagram.com/sandalengard/,https://maps.google.com/?cid=16897274204164201537,,https://untappd.com/SandalenGrd,58.9889097,5.580136
57,Acid Led Cider,🥈 SILVER,Sibling Winery,Sibling Winery,Jiminee dry cider,England,Dry,3178,1,https://www.sibling-winery.co.uk/,,https://www.instagram.com/siblingwinery/,,,https://untappd.com/w/sibling-winery/501371,52.2159588,-1.7100579
58,Acid Led Cider,🥈 SILVER,Sidewood Estate,Sidewood Estate,Sidewood Apple Cider,Australia,Sweet,1916,1,https://sidewood.com.au/,https://www.facebook.com/SidewoodEstate/,https://www.instagram.com/sidewoodestate/,https://maps.google.com/?cid=16006910239256404559,https://www.tripadvisor.com.au/Attraction_Review-g499710-d19238424,https://untappd.com/w/sidewood-estate/118552,-35.0207278,138.7945874
61,Acid Led Cider,🥈 SILVER,Thatchers Cider,Thatchers Cider,Thatchers Katy,England,Medium,1119,1,https://www.thatcherscider.co.uk/,https://www.facebook.com/ThatchersCiderCompany,https://www.instagram.com/thatcherscider/,https://maps.google.com/?cid=15191093037076298219,https://www.tripadvisor.com/Attraction_Review-g4412909-d11019728,https://untappd.com/brewery/3063,51.3328274,-2.8330779
63,Acid Led Cider,🥈 SILVER,The Big Bear Cider Mill,The Big Bear Cider Mill,Essex Gold Rush,England,Medium,2529,1,https://www.thebigbearcider.co.uk/,https://www.facebook.com/TheBigBearCiderMill/,https://www.instagram.com/thebigbearcidermillessex/,https://maps.google.com/?cid=9779226527858904983,https://www.tripadvisor.com/Attraction_Review-g503772-d23593677,https://untappd.com/BigBearCiderMill,51.9015663,0.6290717
64,Acid Led Cider,🥈 SILVER,Thirsty Fox,Trillium Beverages,Thirsty Fox Izzy,India,Sweet,3176,1,https://thirstyfox.com/,https://www.facebook.com/thirstyfoxcider,https://www.instagram.com/thirstyfoxcider/,https://maps.google.com/?cid=10203573978211651887,,https://untappd.com/ThirstyFoxCider,19.1149918,72.8604769
67,Acid Led Cider,🥈 SILVER,Sidra El Gaitero,"Valle, Ballina y Fernandez",Sidra Extra el Gaitero,Spain,Sweet,1314,1,https://www.sidraelgaitero.com/,https://www.facebook.com/grupoelgaitero,https://www.instagram.com/grupoelgaitero/,https://maps.google.com/?cid=15753532318992345137,https://www.tripadvisor.com/Attraction_Review-g608997-d3239389,https://untappd.com/brewery/4266,43.4923237,-5.4230532
68,Acid Led Cider,🥈 SILVER,Sidra El Gaitero,"Valle, Ballina y Fernandez",Spanish Cider 100% Apple,Spain,Sweet,1314,1,https://www.sidraelgaitero.com/,https://www.facebook.com/grupoelgaitero,https://www.instagram.com/grupoelgaitero/,https://maps.google.com/?cid=15753532318992345137,https://www.tripadvisor.com/Attraction_Review-g608997-d3239389,https://untappd.com/brewery/4266,43.4923237,-5.4230532
70,Acid Led Cider,🥈 SILVER,Walt Cider,Walt Cider,de Fruithof,Netherlands,Dry,2737,1,https://waltcider.nl/,https://www.facebook.com/waltcider/,https://www.instagram.com/waltcider/,https://maps.google.com/?cid=569689914999365231,,https://untappd.com/WaltCider,52.8427468,6.1857764
76,Acid Led Cider,🥉 BRONZE,Armada Cider 1588,Bebidas Armadas,Armada Cider 1588 Craft Apple,Spain,Medium,3127,1,https://armadacider1588.com/,https://www.facebook.com/armadacider1588,https://www.instagram.com/armadacider1588_official/,,,https://untappd.com/w/armada-cider/337747,41.2371851,1.805886
85,Acid Led Cider,🥉 BRONZE,Cidra,Cidra,Cidra Sweet,Lebanon,Sweet,3179,1,,https://www.facebook.com/cidralebanon,https://www.instagram.com/cidralebanon/,https://maps.google.com/?cid=14218291570320417037,,https://untappd.com/w/cidra-s-a-l/532701,34.0307554,35.692575
104,Acid Led Cider,🥉 BRONZE,Healey's Cornish Cyder Farm,Healeys Cornish Cyder Farm,Rattler Original,England,Medium,1152,1,https://healeyscyder.co.uk/,https://www.facebook.com/HealeysCornishCyderFarm/,https://www.instagram.com/healeyscyderfarm/,https://maps.google.com/?cid=17810033344220665904,https://www.tripadvisor.com/Attraction_Review-g209011-d647285,https://untappd.com/brewery/1717,50.312002,-5.133238
107,Acid Led Cider,🥉 BRONZE,A-Factory Aomori Cidre,JR-east Aomori Business-development Company,A-Factory Aomori Cidre Sparkling Standard,Japan,Medium,3097,1,https://afactory-abc.com/cidre/,,https://www.instagram.com/af_yoshinocho.cidrefactory/,https://maps.google.com/?cid=2400746234436166085,,https://untappd.com/w/a-factory/388533,40.5984287,140.47284
108,Acid Led Cider,🥉 BRONZE,A-Factory Aomori Cidre,JR-east Aomori Business-development Company,A-Factory Aomori Cidre Sparkling Sweet,Japan,Sweet,3097,1,https://afactory-abc.com/cidre/,,https://www.instagram.com/af_yoshinocho.cidrefactory/,https://maps.google.com/?cid=2400746234436166085,,https://untappd.com/w/a-factory/388533,40.5984287,140.47284
121,Acid Led Cider,🥉 BRONZE,Sandford Orchards,Sandford Orchards,Katja,England,Medium,1243,1,https://www.sandfordorchards.co.uk/,https://www.facebook.com/sandfordorchards,https://www.instagram.com/sandfordorchards/,https://maps.google.com/?cid=2784404680033020235,https://www.tripadvisor.com/Attraction_Review-g635675-d14758900,https://untappd.com/brewery/14080,50.7886749,-3.6453966
122,Acid Led Cider,🥉 BRONZE,Sharp's Brewery,Sharp's Brewery,Cold River Cider,England,Medium,3095,1,https://www.sharpsbrewery.co.uk/,https://www.facebook.com/sharpsbreweryuk/,https://www.instagram.com/sharpsbrewery/,https://maps.google.com/?cid=15304130641726715336,https://www.tripadvisor.com/Attraction_Review-g528872-d8420771,https://untappd.com/SharpsBrewery,50.551845,-4.891297
140,Acid Led Cider,🥉 BRONZE,Sidra El Gaitero,"Valle, Ballina y Fernandez",Spring Cider,Spain,Sweet,1314,1,https://www.sidraelgaitero.com/,https://www.facebook.com/grupoelgaitero,https://www.instagram.com/grupoelgaitero/,https://maps.google.com/?cid=15753532318992345137,https://www.tripadvisor.com/Attraction_Review-g608997-d3239389,https://untappd.com/brewery/4266,43.4923237,-5.4230532
3,Flavoured Cider,🏆TROPHY,Cidrerie Beaupré,Groupe de Courtage Omni,Cidrerie Beaupré - Raspberry-Rhubarb,Canada,,3177,2,https://cidreriebeaupre.com/,,,https://maps.google.com/?cid=1558829279204972008,,https://untappd.com/w/cidre-beaupre-groupe-geloso/21487,45.611095,-73.6743478
17,Flavoured Cider,🥇 GOLD,Sidra El Gaitero,"Valle, Ballina y Fernandez",Gaitero Spanish Cider with Red Grape,Spain,Fruit,1314,2,https://www.sidraelgaitero.com/,https://www.facebook.com/grupoelgaitero,https://www.instagram.com/grupoelgaitero/,https://maps.google.com/?cid=15753532318992345137,https://www.tripadvisor.com/Attraction_Review-g608997-d3239389,https://untappd.com/brewery/4266,43.4923237,-5.4230532
19,Flavoured Cider,🥈 SILVER,Balfour Winery,Balfour Winery,Jake's Summer Fruit Cider,England,Fruit,3094,2,https://balfourwinery.com/,https://www.facebook.com/jakesdrinks/,https://www.instagram.com/balfourbeer/,https://maps.google.com/?cid=8755110381879088649,https://www.tripadvisor.com/Attraction_Review-g1936909-d4205571,https://untappd.com/JakesDrinksBalfourWinery,51.1493044,0.5120774
31,Flavoured Cider,🥈 SILVER,La Mordue,Eclor Entreprises,La Mordue IPA,France,Hops,3183,2,https://www.lamordue.fr/,https://www.facebook.com/ciderlamordue/,https://www.instagram.com/ciderlamordue/,https://maps.google.com/?cid=10532964261538942975,,https://untappd.com/w/la-mordue/534655,48.8279982,2.2657803
34,Flavoured Cider,🥈 SILVER,Fils de Pomme,Fils de Pomme,Cidre infusé au Yuzu & au Basilic,France,Herbs & Spices,3175,2,https://fils-de-pomme.com/,https://www.facebook.com/filsdepomme,https://www.instagram.com/filsdepomme/,https://maps.google.com/?cid=8093403779791398976,,https://untappd.com/w/fils-de-pa-mme/335627,48.8707036,2.3440637
46,Flavoured Cider,🥈 SILVER,Cider Mad Apple,Mostarna Lounty,Mad Apple Cider Cherry apple,Czechia,Fruit,1304,2,,https://www.facebook.com/madapplecider,,https://maps.google.com/?cid=8096197127047797788,,https://untappd.com/w/mostarna-louny/494693,50.3474795,13.7982515
59,Flavoured Cider,🥈 SILVER,Sidewood Estate,Sidewood Estate,Sidewood Strawberry Apple Cider,Australia,Fruit - Berry,1916,2,https://sidewood.com.au/,https://www.facebook.com/SidewoodEstate/,https://www.instagram.com/sidewoodestate/,https://maps.google.com/?cid=16006910239256404559,https://www.tripadvisor.com.au/Attraction_Review-g499710-d19238424,https://untappd.com/w/sidewood-estate/118552,-35.0207278,138.7945874
66,Flavoured Cider,🥈 SILVER,Tālava,Tālava,TĀLAVA Apple cider with hops,Latvia,Hops,2142,2,https://www.talava.lv/,https://www.facebook.com/talavassidrs,https://www.instagram.com/talavas_sidrs/,https://maps.google.com/?cid=16414834196985036378,,https://untappd.com/TalavasSidrs,57.162926,26.7596704
75,Flavoured Cider,🥉 BRONZE,Aston Manor Cider,Aston Manor Cider,Kingstone Press Wild Berry Flavoured Cider,England,Fruit - Berry,3093,2,https://www.astonmanor.co.uk/,,,https://maps.google.com/?cid=8328306569280299730,,https://untappd.com/AstonManorBreweryCo,52.4992215,-1.8724982
80,Flavoured Cider,🥉 BRONZE,Brothers Drinks,Brothers Drinks Co,Brothers Raspberry Ripple Cider,England,Fruit - Berry,1107,2,https://brotherscider.co.uk/,https://www.facebook.com/BrothersCider,https://www.instagram.com/brotherscider,https://maps.google.com/?cid=1454211960614674654,,https://untappd.com/BrothersCider,51.1901603,-2.5369188
81,Flavoured Cider,🥉 BRONZE,Brothers Drinks,Brothers Drinks Co,Brothers Toffee Apple Cider,England,Fruit,1107,2,https://brotherscider.co.uk/,https://www.facebook.com/BrothersCider,https://www.instagram.com/brotherscider,https://maps.google.com/?cid=1454211960614674654,,https://untappd.com/BrothersCider,51.1901603,-2.5369188
89,Flavoured Cider,🥉 BRONZE,Cidrerie Milton,Cidrerie Milton,Hollyhop,Canada,Hops,750,2,https://cidreriemilton.com/,https://facebook.com/cidreriemilton,https://instagram.com/cidreriemilton,https://maps.google.com/?cid=9570102942420505240,https://www.tripadvisor.com/Attraction_Review-g11547718-d10105070,https://untappd.com/CidrerieMilton,45.483424,-72.759531
96,Flavoured Cider,🥉 BRONZE,Cornish Orchards,Cornish Orchards,Raspberry and Elderflower,England,Fruit - Berry,1137,2,https://www.cornishorchards.co.uk/,https://www.facebook.com/cornishorchards/,https://www.instagram.com/cornishorchards/,https://maps.google.com/?cid=1088039469048966117,https://www.tripadvisor.com/Attraction_Review-g1533388-d5524747,https://untappd.com/brewery/21076,50.3964689,-4.4742393
102,Flavoured Cider,🥉 BRONZE,Cidrerie Beaupré,Groupe de Courtage Omni,Cidrerie Beaupré - Blueberry,Canada,Berry,3177,2,https://cidreriebeaupre.com/,,,https://maps.google.com/?cid=1558829279204972008,,https://untappd.com/w/cidre-beaupre-groupe-geloso/21487,45.611095,-73.6743478
103,Flavoured Cider,🥉 BRONZE,Healey's Cornish Cyder Farm,Healeys Cornish Cyder Farm,Rattler Mango,England,Fruit - Tropical,1152,2,https://healeyscyder.co.uk/,https://www.facebook.com/HealeysCornishCyderFarm/,https://www.instagram.com/healeyscyderfarm/,https://maps.google.com/?cid=17810033344220665904,https://www.tripadvisor.com/Attraction_Review-g209011-d647285,https://untappd.com/brewery/1717,50.312002,-5.133238
109,Flavoured Cider,🥉 BRONZE,Kelterei Heil,Kelterei Heil,Cooper's Hopped,Germany,Hops,1574,2,https://kelterei-heil.de/,https://www.facebook.com/keltereiheil/,https://www.instagram.com/keltereiheil,https://maps.google.com/?cid=18431477139160593371,,https://untappd.com/brewery/33255,50.390709,8.331258
110,Flavoured Cider,🥉 BRONZE,Loxtonia Cider,Loxtonia Cider,African Sundowner Baobab Flavoured Apple Cider,South Africa,Fruit & Herbs,2503,2,https://loxtonia.co.za/,https://www.facebook.com/loxtoniacider/,https://www.instagram.com/loxtonia_cider/,https://maps.google.com/?cid=10388854018344349799,https://www.tripadvisor.com/Attraction_Review-g1594772-d19042987,https://untappd.com/w/loxtonia-cider/412702,-33.391127,19.3710833
112,Flavoured Cider,🥉 BRONZE,Lucia Maria Melchiori,Lucia Maria Melchiori,U'Go Aperitivo,Italy,Fruit & Herbs,2092,2,https://sidroitaliano.it/,https://www.facebook.com/LMMelchiori/,https://www.instagram.com/melchiori_parola_di_luciamaria/,https://maps.google.com/?cid=15784129180909501372,https://www.tripadvisor.com/Restaurant_Review-g1425773-d3571906,https://untappd.com/w/melchiori/26188,46.3193865,11.0960328
119,Flavoured Cider,🥉 BRONZE,Saigon Cider,Saigon Cider,Apple & Ginger,Vietnam,Herbs & Spices,2147,2,https://www.saigoncider.com/,https://www.facebook.com/saigoncider/,https://www.instagram.com/saigoncider/,,,https://untappd.com/w/saigon-cider/127105,10.8135684,106.6919007
123,Flavoured Cider,🥉 BRONZE,Sheppy's Cider,Sheppy's Cider,Cider with Elderflower,England,Fruit & Herbs,1118,2,https://www.sheppyscider.com/,https://www.facebook.com/sheppyscider/,https://www.instagram.com/sheppyscider/,https://maps.google.com/?cid=14572513592829460886,https://www.tripadvisor.com/Attraction_Review-g190730-d6870973,https://untappd.com/brewery/7956,50.9935861,-3.1723149
124,Flavoured Cider,🥉 BRONZE,Sheppy's Cider,Sheppy's Cider,Cider with Raspberry,England,Fruit - Berry,1118,2,https://www.sheppyscider.com/,https://www.facebook.com/sheppyscider/,https://www.instagram.com/sheppyscider/,https://maps.google.com/?cid=14572513592829460886,https://www.tripadvisor.com/Attraction_Review-g190730-d6870973,https://untappd.com/brewery/7956,50.9935861,-3.1723149
129,Flavoured Cider,🥉 BRONZE,Thatchers Cider,Thatchers Cider,Thatchers Blood Orange,England,Fruit - Citrus,1119,2,https://www.thatcherscider.co.uk/,https://www.facebook.com/ThatchersCiderCompany,https://www.instagram.com/thatcherscider/,https://maps.google.com/?cid=15191093037076298219,https://www.tripadvisor.com/Attraction_Review-g4412909-d11019728,https://untappd.com/brewery/3063,51.3328274,-2.8330779
130,Flavoured Cider,🥉 BRONZE,Thatchers Cider,Thatchers Cider,Thatchers Cloudy Lemon,England,Fruit - Citrus,1119,2,https://www.thatcherscider.co.uk/,https://www.facebook.com/ThatchersCiderCompany,https://www.instagram.com/thatcherscider/,https://maps.google.com/?cid=15191093037076298219,https://www.tripadvisor.com/Attraction_Review-g4412909-d11019728,https://untappd.com/brewery/3063,51.3328274,-2.8330779
134,Flavoured Cider,🥉 BRONZE,Thirsty Fox,Trillium Beverages,Thirsty Fox Kipp,India,Hops,3176,2,https://thirstyfox.com/,https://www.facebook.com/thirstyfoxcider,https://www.instagram.com/thirstyfoxcider/,https://maps.google.com/?cid=10203573978211651887,,https://untappd.com/ThirstyFoxCider,19.1149918,72.8604769
135,Flavoured Cider,🥉 BRONZE,Thirsty Fox,Trillium Beverages,Thirsty Fox Reed,India,Fruit & Herbs,3176,2,https://thirstyfox.com/,https://www.facebook.com/thirstyfoxcider,https://www.instagram.com/thirstyfoxcider/,https://maps.google.com/?cid=10203573978211651887,,https://untappd.com/ThirstyFoxCider,19.1149918,72.8604769
7,Ice Cider,🏆TROPHY,Nerø Frukt og Sider,NeRø Sideri,NeRø Issider,Norway,,2606,3,https://www.nerofrukt.no/,https://www.facebook.com/people/NeR%C3%B8-Frukt-og-Sider/100070115946607/,https://www.instagram.com/nerofrukt/,https://maps.google.com/?cid=2060180241711172985,,https://untappd.com/w/nero-frukt-og-sider/467847,59.4988141,9.3240024
10,Ice Cider,🥇 GOLD,Cidrerie Milton,Cidrerie Milton,Le Glacé,Canada,,750,3,https://cidreriemilton.com/,https://facebook.com/cidreriemilton,https://instagram.com/cidreriemilton,https://maps.google.com/?cid=9570102942420505240,https://www.tripadvisor.com/Attraction_Review-g11547718-d10105070,https://untappd.com/CidrerieMilton,45.483424,-72.759531
65,Ice Cider,🥈 SILVER,Trois-Lacs Ciders,Trois-Lacs Ciders,Nectar Givré,Switzerland,,3109,3,https://trois-lacs-ciders.webflow.io/,,https://www.instagram.com/trois_lacs_ciders/,https://maps.google.com/?cid=11057921790831268912,,https://untappd.com/w/trois-lacs-ciders/502801,47.0555268,7.0661174
77,Ice Cider,🥉 BRONZE,Biddenden Vineyards,Biddenden Vineyards,Biddenden Ice Cider 2021,England,,1217,3,https://biddendenvineyards.com/,https://www.facebook.com/BiddendenVineyard,https://www.instagram.com/biddendenvineyard/,https://maps.google.com/?cid=13309985689707675393,https://www.tripadvisor.com/Attraction_Review-g503896-d2103288,https://untappd.com/brewery/6644,51.0953762,0.6400535
137,Ice Cider,🥉 BRONZE,Sidra El Gaitero,"Valle, Ballina y Fernandez",1898,Spain,,1314,3,https://www.sidraelgaitero.com/,https://www.facebook.com/grupoelgaitero,https://www.instagram.com/grupoelgaitero/,https://maps.google.com/?cid=15753532318992345137,https://www.tripadvisor.com/Attraction_Review-g608997-d3239389,https://untappd.com/brewery/4266,43.4923237,-5.4230532
4,Low and No Alcohol Cider,🏆TROPHY,Nerø Frukt og Sider,NeRø Sideri,Lille Ville,Norway,,2606,4,https://www.nerofrukt.no/,https://www.facebook.com/people/NeR%C3%B8-Frukt-og-Sider/100070115946607/,https://www.instagram.com/nerofrukt/,https://maps.google.com/?cid=2060180241711172985,,https://untappd.com/w/nero-frukt-og-sider/467847,59.4988141,9.3240024
62,Low and No Alcohol Cider,🥈 SILVER,Thatchers Cider,Thatchers Cider,Thatchers Zero,England,,1119,4,https://www.thatcherscider.co.uk/,https://www.facebook.com/ThatchersCiderCompany,https://www.instagram.com/thatcherscider/,https://maps.google.com/?cid=15191093037076298219,https://www.tripadvisor.com/Attraction_Review-g4412909-d11019728,https://untappd.com/brewery/3063,51.3328274,-2.8330779
84,Low and No Alcohol Cider,🥉 BRONZE,Cidra,Cidra,Cidra 0% Sparkling Apple Juice Beverage,Lebanon,,3179,4,,https://www.facebook.com/cidralebanon,https://www.instagram.com/cidralebanon/,https://maps.google.com/?cid=14218291570320417037,,https://untappd.com/w/cidra-s-a-l/532701,34.0307554,35.692575
105,Low and No Alcohol Cider,🥉 BRONZE,Healey's Cornish Cyder Farm,Healeys Cornish Cyder Farm,Rattler Zero,England,,1152,4,https://healeyscyder.co.uk/,https://www.facebook.com/HealeysCornishCyderFarm/,https://www.instagram.com/healeyscyderfarm/,https://maps.google.com/?cid=17810033344220665904,https://www.tripadvisor.com/Attraction_Review-g209011-d647285,https://untappd.com/brewery/1717,50.312002,-5.133238
111,Low and No Alcohol Cider,🥉 BRONZE,Loxtonia Cider,Loxtonia Cider,Stone Fruit Flavoured Non-Alcoholic Apple Cider,South Africa,,2503,4,https://loxtonia.co.za/,https://www.facebook.com/loxtoniacider/,https://www.instagram.com/loxtonia_cider/,https://maps.google.com/?cid=10388854018344349799,https://www.tripadvisor.com/Attraction_Review-g1594772-d19042987,https://untappd.com/w/loxtonia-cider/412702,-33.391127,19.3710833
136,Low and No Alcohol Cider,🥉 BRONZE,Tālava,Tālava,TĀLAVA Alcohol-free apple cider,Latvia,,2142,4,https://www.talava.lv/,https://www.facebook.com/talavassidrs,https://www.instagram.com/talavas_sidrs/,https://maps.google.com/?cid=16414834196985036378,,https://untappd.com/TalavasSidrs,57.162926,26.7596704
138,Low and No Alcohol Cider,🥉 BRONZE,Sidra El Gaitero,"Valle, Ballina y Fernandez","Gaitero Spanish Cider 0,0",Spain,,1314,4,https://www.sidraelgaitero.com/,https://www.facebook.com/grupoelgaitero,https://www.instagram.com/grupoelgaitero/,https://maps.google.com/?cid=15753532318992345137,https://www.tripadvisor.com/Attraction_Review-g608997-d3239389,https://untappd.com/brewery/4266,43.4923237,-5.4230532
5,Naturally Sparkling Cider,🏆TROPHY,On Point Cider Company,On Point Cider Company,Sur Pointe,England,,3098,5,,https://www.facebook.com/OnPointCider/,https://www.instagram.com/onpointcider/,,,https://untappd.com/w/on-point-cider-company/548553,52.0737778,-2.9451381
11,Naturally Sparkling Cider,🥇 GOLD,Cidre Le Brun,Cidres Bigoud,Cidre artisanal demi sec (semi dry craft cider),France,Medium,1586,5,https://cidrelebrun.com/,,https://www.instagram.com/cidrelebrun,https://maps.google.com/?cid=5387381455239409930,,https://untappd.com/brewery/31897,47.925263,-4.344798
12,Naturally Sparkling Cider,🥇 GOLD,Cidre Le Brun,Cidres Bigoud,Cidre artisanal doux (sweet craft cider),France,Sweet,1586,5,https://cidrelebrun.com/,,https://www.instagram.com/cidrelebrun,https://maps.google.com/?cid=5387381455239409930,,https://untappd.com/brewery/31897,47.925263,-4.344798
16,Naturally Sparkling Cider,🥇 GOLD,Appleblood Cider,ppm cider,Sidera Brut 2019,Italy,Bottle Fermented - Dry,3028,5,https://applebloodcider.com/,https://www.facebook.com/applebloodcider,https://www.instagram.com/applebloodcider/,https://maps.google.com/?cid=14977227174949746380,,https://untappd.com/w/apple-blood-cider/474058,46.1746392,11.0989943
22,Naturally Sparkling Cider,🥈 SILVER,Ciderie de Gerdeneer,Ciderie de Gerdeneer,Redlane S.V. 2021,Netherlands,Bottle Fermented - Dry,2741,5,https://degerdeneer.nl/,https://www.facebook.com/degerdeneer/,https://www.instagram.com/degerdeneer/,https://maps.google.com/?cid=9834372315692684807,https://www.tripadvisor.com/Attraction_Review-g188578-d25373838,https://untappd.com/w/de-gerdeneer/489323,51.3788223,6.1095963
24,Naturally Sparkling Cider,🥈 SILVER,Cidre Le Brun,Cidres Bigoud,Cidre Doux IGP (sweet cider PGI),France,Sweet,1586,5,https://cidrelebrun.com/,,https://www.instagram.com/cidrelebrun,https://maps.google.com/?cid=5387381455239409930,,https://untappd.com/brewery/31897,47.925263,-4.344798
38,Naturally Sparkling Cider,🥈 SILVER,J&R Armitage,J&R Armitage,Cider,England,Bottle Conditioned - Dry,3181,5,https://armitagesparklingwines.co.uk/,https://www.facebook.com/JRArmitage1/,,,,https://untappd.com/w/j-r-armitage/492057,54.6044625,-1.3820668
