ID,Medal,Category,Producer,Product,Subcategory
41,🥈 Silver,Ice Cider,"Valle, Ballina y Fernandez SA",1898,
3,🏆 Trophy,Low and No Alcohol,Crafty Nectar Cider Co.,Crafty Nectar 0.5,
12,🥈 Silver,Low and No Alcohol,Aston Manor Cider,Kingstone Press Low Alcohol Cider,
29,🥈 Silver,Low and No Alcohol,Nohoval Drinks Company,Stonewell Non-Alcoholic cider,
50,🥈 Silver,Low and No Alcohol,Westons Cider,Stowford Press 0.5% Low Alcohol,
52,🥉 Bronze,Low and No Alcohol,Aston Manor Cider,Friels Low Alcohol Apple Cider,
61,🥉 Bronze,Low and No Alcohol,Cider Supply Company,Galipette Cidre 0%,
107,🥉 Bronze,Low and No Alcohol,Thatchers Cider,Thatchers Zero,
18,🥈 Silver,Naturally Sparkling,J&R Armitage,Keeved Cider,Bottle Conditioned (including French Style)
30,🥈 Silver,Naturally Sparkling,Paladeus - Bonell Hubert,Paladeus Apfelsecco - Sidro Frizzante Di Mela,Bottle Fermented
42,🥈 Silver,Naturally Sparkling,"Valle, Ballina y Fernandez SA",Pomarina Brut,Bottle Fermented
63,🥉 Bronze,Naturally Sparkling,Cranborne Chase Cider,Dorsecco,Bottle Conditioned (including French Style)
67,🥉 Bronze,Naturally Sparkling,Eclor Boissons / CSR,Ecusson Brut Généreux,Bottle Conditioned (including French Style)
68,🥉 Bronze,Naturally Sparkling,Eclor Boissons / CSR,Ecusson Doux Fruité,Bottle Conditioned (including French Style)
5,🏆 Trophy,New World Style,Thatchers Cider,Thatchers Katy,Medium Cider
6,🥇 Gold,New World Style,JR-East Aomori Business-Development Company A-Factory,A-Factory Aomori Cidre Sparkling DRY,Dry Cider
9,🥈 Silver,New World Style,Aldi Stores (Aust),Devil's Orchard Dry Apple Cider,Dry Cider
19,🥈 Silver,New World Style,JR-East Aomori Business-Development Company A-Factory,A-Factory Aomori Cidre Sparkling Standard,Medium Cider
20,🥈 Silver,New World Style,JR-East Aomori Business-Development Company A-Factory,A-Factory Aomori Cidre Sparkling Sweet,Sweet Cider
21,🥈 Silver,New World Style,Kilmegan Cider,"Kilmegan ""Real"" Cider",Dry Cider
22,🥈 Silver,New World Style,Kilmegan Cider,"Kilmegan ""Wild Elderflower Infused"" Cider",Medium Cider
26,🥈 Silver,New World Style,Mūrbūdu Sidrs,Pussauss Ābolu Sidrs,Dry Cider
31,🥈 Silver,New World Style,Sharp's Brewery,Cold River Cider,Medium Cider
35,🥈 Silver,New World Style,Thatchers Cider,Thatchers Cox's,Medium Cider
36,🥈 Silver,New World Style,Thatchers Cider,Thatchers Grenadier,Medium Cider
38,🥈 Silver,New World Style,The Newt in Somerset,The Newt Fine Cyder,Dry Cider
43,🥈 Silver,New World Style,"Valle, Ballina y Fernandez SA",Sidra el Gaitero Extra,Sweet Cider
57,🥉 Bronze,New World Style,BudaPrés Cider,Kedvesem! (Darling!),Dry Cider
64,🥉 Bronze,New World Style,Dudda's Tun Cider,Disco,Medium Cider
65,🥉 Bronze,New World Style,Dudda's Tun Cider,Original,Medium Cider
70,🥉 Bronze,New World Style,Eclor Boissons / CSR,La Mordue Original,Dry Cider
71,🥉 Bronze,New World Style,Eclor Boissons / CSR,La Mordue Rouge,Dry Cider
72,🥉 Bronze,New World Style,Eclor Boissons / CSR,Louis Raison Original Crisp,Sweet Cider
74,🥉 Bronze,New World Style,Gallinal Drinks,EXNER CRAFT APPLE CIDER,Medium Cider
75,🥉 Bronze,New World Style,Golden Cider Company,Äppelcider,Medium Cider
82,🥉 Bronze,New World Style,JR-East Aomori Business-Development Company A-Factory,A-Factory Aomori Cidre Sparkling Aomori Nanae,Sweet Cider
84,🥉 Bronze,New World Style,Kelterei Heil,Cooper's Original,Sweet Cider
86,🥉 Bronze,New World Style,Kiezbaum,Kiezbaum Cider Apple,Medium Cider
87,🥉 Bronze,New World Style,Kilmegan Cider,"Kilmegan ""Irish Farmhouse"" Cider",Medium Cider
94,🥉 Bronze,New World Style,Monkey House Cider,See No Evil,Dry Cider
98,🥉 Bronze,New World Style,Mūrbūdu Sidrs,Pussalds Ābolu Sidrs,Medium Cider
96,🥉 Bronze,New World Style,Muxaller Wein,Friesenjung,Medium Cider
102,🥉 Bronze,New World Style,Sxollie Cider,Sxollie Golden Delicious Cider,Sweet Cider
111,🥉 Bronze,New World Style,Thistly Cross,Thistly Cross Original,Medium Cider
114,🥉 Bronze,New World Style,Trillium Beverages,Thirsty Fox Izzy,Sweet Cider
116,🥉 Bronze,New World Style,"Valle, Ballina y Fernandez SA",Spring Cider Apple,Sweet Cider
13,🥈 Silver,Pear,Austrian Cider Company,Pride Limited Edition Organic Pear Cider,Sweet
51,🥉 Bronze,Pear,Aldi Stores (Aust),Devil's Orchard Dry Pear Cider,Dry
103,🥉 Bronze,Pear,Sxollie Cider,Sxollie Packhams Triumph,Medium
48,🥈 Silver,Perry,Westons Cider,Henry Westons Perry,Medium
59,🥉 Bronze,Perry,Celtic Marches,Pulp Pear 4.5%,Medium
99,🥉 Bronze,Perry,Napton Cidery,Shropshire Perry,Medium
101,🥉 Bronze,Perry,Pips Cider,Pips Medium Perry,Medium
69,🥉 Bronze,Rose,Eclor Boissons / CSR,Ecusson Rosé Naturel,
2,🏆 Trophy,Rosé,Loxtonia Cider,Alexandra Blush MTC,
7,🥇 Gold,Rosé,The Newt in Somerset,The Newt Rose Cyder,
8,🥇 Gold,Rosé,Westons Cider,Henry Westons Vintage Rosé,
10,🥈 Silver,Rosé,Asahi Breweries,Nikka Cidre Rose,
115,🥉 Bronze,Sidra Natural,"Valle, Ballina y Fernandez SA",El Gaitero Natural,
17,🥈 Silver,Speciality,Entre-Deux-Monts,Zientje,
23,🥈 Silver,Speciality,LBW Drinks,Cyser,
73,🥉 Bronze,Speciality,Fukushima OUSE Winery,Cidre 2019,
77,🥉 Bronze,Speciality,Hawkes Cider,Nero di Troia,
85,🥉 Bronze,Speciality,Kelterei Heil,Fichtekranz,
11,🥈 Silver,West Country Style,Aston Manor Cider,Friels First Press Vintage Cider,Dry Cider
15,🥈 Silver,West Country Style,Cranborne Chase Cider,The Smuggler,Dry Cider
16,🥈 Silver,West Country Style,Dunkertons Organic Cider,Organic Vintage Cider,Medium Cider
24,🥈 Silver,West Country Style,Merrydown,Merrydown Original Vintage Medium Cider,Medium Cider
27,🥈 Silver,West Country Style,Napton Cidery,No3 Smooth Dry Cider,Dry Cider
32,🥈 Silver,West Country Style,Taunton Cider,Longaller Mill Reserve,Medium Cider
33,🥈 Silver,West Country Style,Taunton Cider,Taunton Cider Medium,Medium Cider
34,🥈 Silver,West Country Style,Taunton Cider,Taunton Cider Vintage,Medium Cider
37,🥈 Silver,West Country Style,The Newt in Somerset,No.3 Yarlington Mill 2020,Sweet Cider
45,🥈 Silver,West Country Style,Westons Cider,Caple Rd Blend No.3,Dry Cider
46,🥈 Silver,West Country Style,Westons Cider,Henry Westons Cloudy Vintage,Medium Cider
47,🥈 Silver,West Country Style,Westons Cider,Henry Westons Organic,Medium Cider
54,🥉 Bronze,West Country Style,Aston Manor Cider,Friels Signature Blend Cider,Dry Cider
55,🥉 Bronze,West Country Style,Aston Manor Cider,Kingstone Press Apple Cider,Medium Cider
56,🥉 Bronze,West Country Style,Aston Manor Cider,Malvern Cider Co. Malvern Gold,Medium Cider
58,🥉 Bronze,West Country Style,Celtic Marches,Pulp Apple 4.7%,Medium Cider
62,🥉 Bronze,West Country Style,Cider Supply Company,Galipette Cidre Brut,Dry Cider
66,🥉 Bronze,West Country Style,Dunkertons Organic Cider,Dry Organic Cider,Dry Cider
89,🥉 Bronze,West Country Style,Lidl GB,Premium West Country Vintage Cider,Dry Cider
92,🥉 Bronze,West Country Style,Merrydown,Merrydown Vintage Dry,Dry Cider
100,🥉 Bronze,West Country Style,Pips Cider,Pips Medium,Medium Cider
104,🥉 Bronze,West Country Style,Taunton Cider,Proper Natch,Dry Cider
105,🥉 Bronze,West Country Style,Taunton Cider,Taunton Cider Dry,Dry Cider
106,🥉 Bronze,West Country Style,Taunton Cider,Taunton Gold,Medium Cider
117,🥉 Bronze,West Country Style,Westons Cider,Henry Westons British Vintage,Medium Cider
118,🥉 Bronze,West Country Style,Westons Cider,Henry Westons Vintage,Medium Cider
28,🥈 Silver,Wood Aged,Nohoval Drinks Company,Stonewell Cask,
79,🥉 Bronze,Wood Aged,Hawkes Cider,Ruby Port Barrel Cider,
88,🥉 Bronze,Wood Aged,LBW Drinks,Barrel select cider,
91,🥉 Bronze,Wood Aged,Meon Valley Cider,Brown Trout,
95,🥉 Bronze,Wood Aged,Monkey House Cider,Speak No Evil,
113,🥉 Bronze,Wood Aged,Thistly Cross,Whisky Cask,
