Year,Award,Producer,Producer,Product,Category/Subcategory,WID,Country
2020,🏆 Trophy,Cold Hand Winery,Cold Hand Winery,Malus Danica 2016,Ice Cider,1986,Denmark
2020,🏆 Trophy,Cold Hand Winery,Cold Hand Winery,Malus X Feminam 2016,Speciality,1986,Denmark
2020,🏆 Trophy,Eclor Boissons,Eclor Boissons,Ecusson Doux Bio,Naturally Sparkling - Bottle Conditioned,3182,France
2020,🏆 Trophy,Hogan's Cider,Hogan's Cider,Hogan's Perry,Perry - Medium,1150,England
2020,🏆 Trophy,Pips Cider,Pips Cider,Pips Medium,West Country Style - Medium,1381,England
2020,🏆 Trophy,Ydun Cider,Ydun Cider,Raw Cider - Orange Quince Cider,Flavoured - Cider with Fruits & Flowers,3526,Denmark
2020,🏆 Trophy,Waitrose & Partners,Waitrose & Partners,Waitrose Low Alcohol Cider,Low and No Alcohol,3543,England
2021,🏆 Supreme Champion,Loxtonia Cider,Loxtonia Cider,Alexandra Blush MTC,Rosé,2503,South Africa
2021,🏆 Trophy,Crafty Nectar Cider Co.,Crafty Nectar Cider Co.,Crafty Nectar 0.5,Low and No Alcohol,3537,England
2021,🏆 Trophy,Mūrbūdu Sidrs,Mūrbūdu Sidrs,Aroniju Sidrs,Flavoured - Cider with Fruits & Flowers,2167,Latvia
2021,🏆 Trophy,Thatchers Cider,Thatchers Cider,Thatchers Katy,New World Style - Medium,1119,England
2022,🏆 Supreme Champion,Hardangergutane,Hardangergutane,Vindpust,Acid Led Cider - Medium,2746,Norway
2022,🏆 Trophy,1785 Cider,1785 Cider,Barrel #4,Wood Aged Cider,2373,Germany
2022,🏆 Trophy,PPM CIDER,PPM CIDER,Purple Twist 2021,Rosé Cider,3028,Italy
2022,🏆 Trophy,Cidentro Cider House,Cidentro Cider House,Cidentro Traditional Method Cider,Naturally Sparkling - Bottle Fermented,2523,England
2022,🏆 Trophy,Groupe de Courtage Omni,Groupe de Courtage Omni,Cidrerie Beaupré - Rosé,Rosé Cider,3177,Canada
2022,🏆 Trophy,NeRø Sideri,NeRø Sideri,NeRø Issider,Ice Cider,2606,Norway
2022,🏆 Trophy,Sandford Orchards,Sandford Orchards,Sandford Reserve,Tannin Led Cider - Medium,1243,England
2023,🏆 Supreme Champion,NeRø Sideri,NeRø Sideri,NeRø Issider,Ice Cider,2606,Norway
2023,🏆 Trophy,Balfour Winery,Balfour Winery,Jake's Cider,Acid Led Cider - Medium,3094,England
2023,🏆 Trophy,Groupe de Courtage Omni,Groupe de Courtage Omni,Cidrerie Beaupré - Raspberry-Rhubarb,Flavoured Cider,3177,Canada
2023,🏆 Trophy,NeRø Sideri,NeRø Sideri,Lille Ville,Low and No Alcohol Cider,2606,Norway
2023,🏆 Trophy,On Point Cider Company,On Point Cider Company,Sur Pointe,Naturally Sparkling Cider,3098,England
2023,🏆 Trophy,Sandford Orchards,Sandford Orchards,The General,Tannin Led Cider,1243,England
2024,🏆 Supreme Champion,Brist,Brist,Brist,Flavoured Cider,2504,England
2024,🏆 Trophy,Golden Delicious,Golden Delicious,Golden Delicious,Acid Led Cider,3008,Norway
2024,🏆 Trophy,Crafty Nectar 0.5,Crafty Nectar 0.5,Crafty Nectar 0.5,Low and No Alcohol Cider,1349,England
2024,🏆 Trophy,Apfelgold Cider Perry,Apfelgold Cider Perry,Apfelgold Cider Perry,Pear Cider & Perry,2828,Germany
2024,🏆 Trophy,Biddies Kentish Kiss,Biddies Kentish Kiss,Biddies Kentish Kiss,Rosé Cider,1217,England
2024,🏆 Trophy,Cotswold Prime Cider,Cotswold Prime Cider,Cotswold Prime Cider,Tannin Led Cider,1349,England
