Year,Class,Producer,County,Place,Status,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
2023,Dry Perry,Sisson & Smith,Nottinghamshire,🥈 Second,Active,,,,,,"<a href=""https://untappd.com/w/sisson-smith/229581"">Untappd</a>"
2023,Dry Perry,Naked Orchards,Worcestershire,🥉 Third,Inactive,,,,,,"<a href=""https://untappd.com/w/naked-orchard-cidery/437439"">Untappd</a>"
2023,Dry Perry,Gwatkin Cider,Herefordshire,👍 Highly Commended,Active,"<a href=""https://gwatkincider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/pages/Gwatkin-Cider/138521139506859"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=17407558906326157260"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g6585983-d11004876"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/12203"">Untappd</a>"
2023,Medium Perry,Palmers Upland Cyder,Newport,🥇 First,Active,"<a href=""https://www.palmersuplandcyder.co.uk/"">Website</a>","<a href=""https://www.facebook.com/palmersuplandcyder/"">Facebook</a>","<a href=""https://www.instagram.com/palmers_upland_cyder/"">Instagram</a>",,,"<a href=""https://untappd.com/w/palmers-upland-cyder/66238"">Untappd</a>"
2023,Medium Perry,Rosie's Triple D Cider,Denbighshire,🥈 Second,Active,"<a href=""https://www.rosiescider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/rosiescider/"">Facebook</a>","<a href=""https://www.instagram.com/rosies_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12453816872387933094"">Google</a>",,"<a href=""https://untappd.com/w/rosies-triple-d-cider/72489"">Untappd</a>"
2023,Medium Perry,Sisson & Smith,Nottinghamshire,🥉 Third,Active,,,,,,"<a href=""https://untappd.com/w/sisson-smith/229581"">Untappd</a>"
2023,Sweet Perry,Rosie's Triple D Cider,Denbighshire,🥇 First,Active,"<a href=""https://www.rosiescider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/rosiescider/"">Facebook</a>","<a href=""https://www.instagram.com/rosies_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12453816872387933094"">Google</a>",,"<a href=""https://untappd.com/w/rosies-triple-d-cider/72489"">Untappd</a>"
2023,Sweet Perry,Ragged Stone Cider & Perry,Gloucestershire,🥈 Second,Active,,"<a href=""https://www.facebook.com/raggedstonecider/"">Facebook</a>",,,,"<a href=""https://untappd.com/w/ragged-stone/201743"">Untappd</a>"
2023,Sweet Perry,The Lingens Farm,Worcestershire,🥉 Third,Active,,"<a href=""https://www.facebook.com/lingensfarmciderandperry/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=17405441244644367287"">Google</a>",,"<a href=""https://untappd.com/w/the-lingens-farm/483736"">Untappd</a>"
2023,Bottle Fermented Cider,On Point Cider Company,Herefordshire,🥇 First,Active,,"<a href=""https://www.facebook.com/OnPointCider/"">Facebook</a>","<a href=""https://www.instagram.com/onpointcider/"">Instagram</a>",,,"<a href=""https://untappd.com/w/on-point-cider-company/548553"">Untappd</a>"
2023,Bottle Conditioned Cider,Sisson & Smith,Nottinghamshire,🥇 First,Active,,,,,,"<a href=""https://untappd.com/w/sisson-smith/229581"">Untappd</a>"
2023,Bottle Conditioned Cider,The Lingens Farm,Worcestershire,🥈 Second,Active,,"<a href=""https://www.facebook.com/lingensfarmciderandperry/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=17405441244644367287"">Google</a>",,"<a href=""https://untappd.com/w/the-lingens-farm/483736"">Untappd</a>"
2023,Bottle Conditioned Cider,Cwm Maddoc Cider & Perry,Herefordshire,🥉 Third,Active,"<a href=""https://hollow-ash.co.uk/cwm-maddoc-cider-perry/"">Website</a>","<a href=""https://www.facebook.com/HollowAshOrchard"">Facebook</a>","<a href=""https://www.instagram.com/hollow_ash_orchard/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14948326245436298276"">Google</a>",,"<a href=""https://untappd.com/w/cwm-maddoc/343615"">Untappd</a>"
2023,Bottle Fermented Perry,Sisson & Smith,Nottinghamshire,🥇 First,Active,,,,,,"<a href=""https://untappd.com/w/sisson-smith/229581"">Untappd</a>"
2023,Bottle Conditioned Perry,The Lingens Farm,Worcestershire,🥇 First,Active,,"<a href=""https://www.facebook.com/lingensfarmciderandperry/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=17405441244644367287"">Google</a>",,"<a href=""https://untappd.com/w/the-lingens-farm/483736"">Untappd</a>"
2023,Bottle Conditioned Perry,Rob Castle,Gloucestershire,🥈 Second,Active,,,,,,
2023,Best in Worcestershire,The Lingens Farm,Worcestershire,🏆 Winner,Active,,"<a href=""https://www.facebook.com/lingensfarmciderandperry/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=17405441244644367287"">Google</a>",,"<a href=""https://untappd.com/w/the-lingens-farm/483736"">Untappd</a>"
2023,Best in Gloucestershire,Ragged Stone Cider & Perry,Gloucestershire,🏆 Winner (Joint),Active,,"<a href=""https://www.facebook.com/raggedstonecider/"">Facebook</a>",,,,"<a href=""https://untappd.com/w/ragged-stone/201743"">Untappd</a>"
2023,Best in Gloucestershire,Rob Castle,Gloucestershire,🏆 Winner (Joint),Active,,,,,,
2023,Best in Gloucestershire,McCrindle's Cider,Gloucestershire,🏆 Winner (Joint),Active,"<a href=""http://mccrindlescider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100054383207510"">Facebook</a>",,,,"<a href=""https://untappd.com/w/mccrindles/18884"">Untappd</a>"
2023,Best in Herefordshire,Henhope Cider,Herefordshire,🏆 Winner,Active,,"<a href=""https://www.facebook.com/HenhopeCider/"">Facebook</a>",,,,"<a href=""https://untappd.com/w/henhope/525004"">Untappd</a>"
2023,Albert Rixen Newcomer Trophy,Henhope Cider,Herefordshire,🏆 Winner,Active,,"<a href=""https://www.facebook.com/HenhopeCider/"">Facebook</a>",,,,"<a href=""https://untappd.com/w/henhope/525004"">Untappd</a>"
2023,Best in Show,Henhope Cider,Herefordshire,🏆 Winner,Active,,"<a href=""https://www.facebook.com/HenhopeCider/"">Facebook</a>",,,,"<a href=""https://untappd.com/w/henhope/525004"">Untappd</a>"
2023,Best in Show,Rosie's Triple D Cider,Denbighshire,🏆 Reserve,Active,"<a href=""https://www.rosiescider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/rosiescider/"">Facebook</a>","<a href=""https://www.instagram.com/rosies_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12453816872387933094"">Google</a>",,"<a href=""https://untappd.com/w/rosies-triple-d-cider/72489"">Untappd</a>"
2024,Dry Cider,Woodredding Farm Cider,Herefordshire,🥇 First,Active,"<a href=""https://www.woodreddingcider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/woodreddingcider"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=13540344738396319268"">Google</a>",,"<a href=""https://untappd.com/w/woodredding/156024"">Untappd</a>"
2024,Dry Cider,The Lingens Farm,Worcestershire,🥈 Second,Active,,"<a href=""https://www.facebook.com/lingensfarmciderandperry/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=17405441244644367287"">Google</a>",,"<a href=""https://untappd.com/w/the-lingens-farm/483736"">Untappd</a>"
2024,Dry Cider,Monkey Bridge Cider,Derbyshire,🥉 Third,Active,,,,,,"<a href=""https://untappd.com/w/monkey-bridge-cider/401432"">Untappd</a>"
2024,Medium Cider,Palmers Upland Cyder,Newport,🥇 First,Active,"<a href=""https://www.palmersuplandcyder.co.uk/"">Website</a>","<a href=""https://www.facebook.com/palmersuplandcyder/"">Facebook</a>","<a href=""https://www.instagram.com/palmers_upland_cyder/"">Instagram</a>",,,"<a href=""https://untappd.com/w/palmers-upland-cyder/66238"">Untappd</a>"
2024,Medium Cider,Gwatkin Cider,Herefordshire,🥈 Second,Active,"<a href=""https://gwatkincider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/pages/Gwatkin-Cider/138521139506859"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=17407558906326157260"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g6585983-d11004876"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/12203"">Untappd</a>"
2024,Medium Cider,On Point Cider Company,Herefordshire,🥉 Third,Active,,"<a href=""https://www.facebook.com/OnPointCider/"">Facebook</a>","<a href=""https://www.instagram.com/onpointcider/"">Instagram</a>",,,"<a href=""https://untappd.com/w/on-point-cider-company/548553"">Untappd</a>"
2024,Medium Cider,Sisson & Smith,Nottinghamshire,👍 Highly Commended,Active,,,,,,"<a href=""https://untappd.com/w/sisson-smith/229581"">Untappd</a>"
2024,Sweet Cider,Palmers Upland Cyder,Newport,🥇 First,Active,"<a href=""https://www.palmersuplandcyder.co.uk/"">Website</a>","<a href=""https://www.facebook.com/palmersuplandcyder/"">Facebook</a>","<a href=""https://www.instagram.com/palmers_upland_cyder/"">Instagram</a>",,,"<a href=""https://untappd.com/w/palmers-upland-cyder/66238"">Untappd</a>"
2024,Sweet Cider,The Lingens Farm,Worcestershire,🥈 Second,Active,,"<a href=""https://www.facebook.com/lingensfarmciderandperry/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=17405441244644367287"">Google</a>",,"<a href=""https://untappd.com/w/the-lingens-farm/483736"">Untappd</a>"
2024,Sweet Cider,Oldfields Cider,Worcestershire,🥉 Third,Active,"<a href=""https://www.oldfieldscider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/oldfieldscidershop"">Facebook</a>","<a href=""https://www.instagram.com/oldfieldscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12366118442495260876"">Google</a>",,"<a href=""https://untappd.com/w/oldfields-cider/127631"">Untappd</a>"
2024,Dry Perry,Rob Castle,Gloucestershire,🥇 First,Active,,,,,,
2024,Dry Perry,Woodredding Farm Cider,Herefordshire,🥈 Second,Active,"<a href=""https://www.woodreddingcider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/woodreddingcider"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=13540344738396319268"">Google</a>",,"<a href=""https://untappd.com/w/woodredding/156024"">Untappd</a>"
2024,Dry Perry,The Lingens Farm,Worcestershire,🥉 Third,Active,,"<a href=""https://www.facebook.com/lingensfarmciderandperry/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=17405441244644367287"">Google</a>",,"<a href=""https://untappd.com/w/the-lingens-farm/483736"">Untappd</a>"
2024,Medium Perry,Ross on Wye Cider & Perry,Herefordshire,🥇 First,Active,"<a href=""https://rosscider.com/"">Website</a>","<a href=""https://www.facebook.com/pages/Ross-On-Wye-Cider-Perry-Co/230745910360675"">Facebook</a>","<a href=""https://www.instagram.com/rosscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15438292382118860282"">Google</a>",,"<a href=""https://untappd.com/brewery/12570"">Untappd</a>"
2024,Medium Perry,Palmers Upland Cyder,Newport,🥈 Second,Active,"<a href=""https://www.palmersuplandcyder.co.uk/"">Website</a>","<a href=""https://www.facebook.com/palmersuplandcyder/"">Facebook</a>","<a href=""https://www.instagram.com/palmers_upland_cyder/"">Instagram</a>",,,"<a href=""https://untappd.com/w/palmers-upland-cyder/66238"">Untappd</a>"
2024,Medium Perry,Pershore Press,Worcestershire,🥉 Third,Active,"<a href=""https://pershorepress.com/"">Website</a>","<a href=""https://www.facebook.com/pershorepress/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=14971466837942167593"">Google</a>",,"<a href=""https://untappd.com/w/pershore-press/468164"">Untappd</a>"
2024,Medium Perry,Sisson & Smith,Nottinghamshire,👍 Commended,Active,,,,,,"<a href=""https://untappd.com/w/sisson-smith/229581"">Untappd</a>"
2024,Sweet Perry,Sisson & Smith,Nottinghamshire,🥇 First,Active,,,,,,"<a href=""https://untappd.com/w/sisson-smith/229581"">Untappd</a>"
2024,Sweet Perry,Rob Castle,Gloucestershire,🥈 Second,Active,,,,,,
2024,Bottle Fermented Cider,Palmers Upland Cyder,Newport,🥇 First,Active,"<a href=""https://www.palmersuplandcyder.co.uk/"">Website</a>","<a href=""https://www.facebook.com/palmersuplandcyder/"">Facebook</a>","<a href=""https://www.instagram.com/palmers_upland_cyder/"">Instagram</a>",,,"<a href=""https://untappd.com/w/palmers-upland-cyder/66238"">Untappd</a>"
2024,Bottle Fermented Cider,On Point Cider Company,Herefordshire,👍 Commended,Active,,"<a href=""https://www.facebook.com/OnPointCider/"">Facebook</a>","<a href=""https://www.instagram.com/onpointcider/"">Instagram</a>",,,"<a href=""https://untappd.com/w/on-point-cider-company/548553"">Untappd</a>"
2024,Bottle Conditioned Cider,The Lingens Farm,Worcestershire,🥇 First,Active,,"<a href=""https://www.facebook.com/lingensfarmciderandperry/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=17405441244644367287"">Google</a>",,"<a href=""https://untappd.com/w/the-lingens-farm/483736"">Untappd</a>"
2024,Bottle Conditioned Cider,Sisson & Smith,Nottinghamshire,🥈 Second,Active,,,,,,"<a href=""https://untappd.com/w/sisson-smith/229581"">Untappd</a>"
2024,Bottle Conditioned Cider,Palmers Upland Cyder,Newport,🥉 Third,Active,"<a href=""https://www.palmersuplandcyder.co.uk/"">Website</a>","<a href=""https://www.facebook.com/palmersuplandcyder/"">Facebook</a>","<a href=""https://www.instagram.com/palmers_upland_cyder/"">Instagram</a>",,,"<a href=""https://untappd.com/w/palmers-upland-cyder/66238"">Untappd</a>"
2024,Bottle Conditioned Perry,Cwm Maddoc Cider & Perry,Herefordshire,🥇 First,Active,"<a href=""https://hollow-ash.co.uk/cwm-maddoc-cider-perry/"">Website</a>","<a href=""https://www.facebook.com/HollowAshOrchard"">Facebook</a>","<a href=""https://www.instagram.com/hollow_ash_orchard/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14948326245436298276"">Google</a>",,"<a href=""https://untappd.com/w/cwm-maddoc/343615"">Untappd</a>"
2024,Bottle Conditioned Perry,Sisson & Smith,Nottinghamshire,🥈 Second (Joint),Active,,,,,,"<a href=""https://untappd.com/w/sisson-smith/229581"">Untappd</a>"
2024,Bottle Conditioned Perry,Ross on Wye Cider & Perry,Herefordshire,🥈 Second (Joint),Active,"<a href=""https://rosscider.com/"">Website</a>","<a href=""https://www.facebook.com/pages/Ross-On-Wye-Cider-Perry-Co/230745910360675"">Facebook</a>","<a href=""https://www.instagram.com/rosscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15438292382118860282"">Google</a>",,"<a href=""https://untappd.com/brewery/12570"">Untappd</a>"
2024,Best in Worcestershire,The Lingens Farm,Worcestershire,🏆 Winner,Active,,"<a href=""https://www.facebook.com/lingensfarmciderandperry/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=17405441244644367287"">Google</a>",,"<a href=""https://untappd.com/w/the-lingens-farm/483736"">Untappd</a>"
2024,Best in Gloucestershire,Rob Castle,Gloucestershire,🏆 Winner,Active,,,,,,
2024,Best in Herefordshire,Woodredding Farm Cider,Herefordshire,🏆 Winner,Active,"<a href=""https://www.woodreddingcider.co.uk/"">Website</a>","<a href=""https://www.facebook.com/woodreddingcider"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=13540344738396319268"">Google</a>",,"<a href=""https://untappd.com/w/woodredding/156024"">Untappd</a>"
2024,Albert Rixen Newcomer Trophy,Monkey Bridge Cider,Derbyshire,🏆 Winner,Active,,,,,,"<a href=""https://untappd.com/w/monkey-bridge-cider/401432"">Untappd</a>"
2024,Best in Show,The Lingens Farm,Worcestershire,🏆 Winner,Active,,"<a href=""https://www.facebook.com/lingensfarmciderandperry/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=17405441244644367287"">Google</a>",,"<a href=""https://untappd.com/w/the-lingens-farm/483736"">Untappd</a>"
2024,Best in Show,Palmers Upland Cyder,Newport,🏆 Reserve,Active,"<a href=""https://www.palmersuplandcyder.co.uk/"">Website</a>","<a href=""https://www.facebook.com/palmersuplandcyder/"">Facebook</a>","<a href=""https://www.instagram.com/palmers_upland_cyder/"">Instagram</a>",,,"<a href=""https://untappd.com/w/palmers-upland-cyder/66238"">Untappd</a>"
