Producer,State,🏆 Winner,🏅 Finalist,Total,First,Last,Years,City,State,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
Soquel Cider,California,1,1,2,2019,2019,1,Soquel,California,Active,"<a href=""https://everettfamilyfarm.com/"">Website</a>",,"<a href=""https://www.instagram.com/everettfamilyfarm/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10056858576597960489"">Google</a>","<a href=""https://www.yelp.com/biz/everett-family-farm-soquel"">Yelp</a>",,"<a href=""https://untappd.com/w/soquel-cider/278869"">Untappd</a>"
South Hill Cider,New York,1,1,2,2018,2018,1,Ithaca,New York,Active,"<a href=""http://www.southhillcider.com/"">Website</a>","<a href=""https://www.facebook.com/SouthHillCider"">Facebook</a>","<a href=""https://www.instagram.com/southhillcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12183207821191518039"">Google</a>","<a href=""https://www.yelp.com/biz/south-hill-cider-ithaca"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g47958-d19354538"">TripAdvisor</a>","<a href=""https://untappd.com/w/south-hill-cider/162707"">Untappd</a>"
Urban Tree Hard Cider,Georgia,1,1,2,2019,2020,2,Atlanta,Georgia,Active,"<a href=""https://urbantreecidery.com/"">Website</a>","<a href=""https://www.facebook.com/UrbanTreeCider/"">Facebook</a>","<a href=""https://www.instagram.com/urbantreecider/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/urban-tree-cidery/260157"">Untappd</a>"
Whitewood Cider Co.,Washington,1,1,2,2017,2017,1,Olympia,Washington,Active,"<a href=""https://www.whitewoodcider.com/"">Website</a>","<a href=""https://www.facebook.com/WhitewoodCider/"">Facebook</a>","<a href=""https://www.instagram.com/wwcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17959127106154260964"">Google</a>","<a href=""https://www.yelp.com/biz/whitewood-cider-co-tasting-room-olympia"">Yelp</a>",,"<a href=""https://untappd.com/w/whitewood-cider-co/9380"">Untappd</a>"
AeppelTreow Winery & Distillery,Wisconsin,1,0,1,2016,2016,1,Burlington,Wisconsin,Active,"<a href=""http://aeppeltreow.com/"">Website</a>","<a href=""https://www.facebook.com/Aeppeltreow.Ciders/"">Facebook</a>","<a href=""https://www.instagram.com/aeppeltreow_ciders/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14330457100802755750"">Google</a>","<a href=""https://www.yelp.com/biz/aeppeltreow-winery-burlington"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g59742-d8355389"">TripAdvisor</a>","<a href=""https://untappd.com/w/aeppeltreow-winery-and-distillery/5397"">Untappd</a>"
Albemarle CiderWorks,Virginia,1,0,1,2020,2020,1,North Garden,Virginia,Active,"<a href=""http://www.albemarleciderworks.com/"">Website</a>","<a href=""https://www.facebook.com/AlbCiderWorks/"">Facebook</a>","<a href=""https://www.instagram.com/albciderworks/"">Instagram</a>","<a href=""https://maps.google.com/?cid=18144857979395006290"">Google</a>","<a href=""https://www.yelp.com/biz/albemarle-ciderworks-north-garden"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g58029-d1632465"">TripAdvisor</a>","<a href=""https://untappd.com/w/albemarle-ciderworks/17761"">Untappd</a>"
Coturri Winery,California,1,0,1,2022,2022,1,Glen Ellen,California,Active,"<a href=""https://coturriwinery.com/"">Website</a>","<a href=""https://www.facebook.com/CoturriWinery"">Facebook</a>","<a href=""https://www.instagram.com/Coturri_Winery"">Instagram</a>","<a href=""https://maps.google.com/?cid=5748147493916332418"">Google</a>","<a href=""https://www.yelp.com/biz/coturri-h-and-sons-winery-glen-ellen"">Yelp</a>",,"<a href=""https://untappd.com/w/coturri-and-sons/124649"">Untappd</a>"
Ela Cider Co.,Wisconsin,1,0,1,2016,2016,1,Rochester,Wisconsin,Inactive,,,,,,,
Finger Lakes Cider House,New York,1,0,1,2017,2017,1,Interlaken,New York,Active,"<a href=""http://www.fingerlakesciderhouse.com/"">Website</a>","<a href=""https://www.facebook.com/FingerLakesCiderHouse/"">Facebook</a>","<a href=""https://www.instagram.com/flxciderhouse/"">Instagram</a>","<a href=""https://maps.google.com/?cid=6795224421439178302"">Google</a>","<a href=""https://www.yelp.com/biz/finger-lakes-cider-house-interlaken"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g47948-d8310323"">TripAdvisor</a>","<a href=""https://untappd.com/FLCiderHouse"">Untappd</a>"
Goat Rock Cider Company,California,1,0,1,2020,2020,1,Petaluma,California,Active,"<a href=""https://www.goatrockcider.com/"">Website</a>","<a href=""https://www.facebook.com/goatrockcider"">Facebook</a>","<a href=""https://www.instagram.com/goatrockcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1379702709501392841"">Google</a>",,,"<a href=""https://untappd.com/w/goat-rock-cider-company/427829"">Untappd</a>"
Heartland Ciderworks,Oregon,1,0,1,2024,2024,1,Rickreall,Oregon,Active,,"<a href=""https://www.facebook.com/HeartlandCiderworks"">Facebook</a>","<a href=""https://www.instagram.com/heartland_ciderworks/"">Instagram</a>",,,,"<a href=""https://untappd.com/HeartlandCiderworks"">Untappd</a>"
Hemly Cider,California,1,0,1,2020,2020,1,Courtland,California,Active,"<a href=""https://www.hemlycider.com/"">Website</a>","<a href=""https://www.facebook.com/hemlycider"">Facebook</a>","<a href=""https://www.instagram.com/hemlycider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16671569982279655432"">Google</a>","<a href=""https://www.yelp.com/biz/hemly-cider-courtland"">Yelp</a>","<a href=""https://tripadvisor.com/Attraction_Review-g32258-d24092111"">TripAdvisor</a>","<a href=""https://untappd.com/w/hemly-cider/248913"">Untappd</a>"
North American Press,California,1,0,1,2022,2022,1,Santa Rosa,California,Active,"<a href=""https://northamericanpress.wine/"">Website</a>",,"<a href=""https://www.instagram.com/north_american_press/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/north-american-press/485699"">Untappd</a>"
Orchard Hill Cider Mill,New York,1,0,1,2017,2017,1,New Hampton,New York,Active,"<a href=""https://orchardhillcidermill.com/"">Website</a>",,"<a href=""https://www.instagram.com/orchardhillny/"">Instagram</a>","<a href=""https://maps.google.com/?cid=639324896791929360"">Google</a>","<a href=""https://www.yelp.com/biz/orchard-hill-cider-mill-new-hampton"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g48237-d8567457"">TripAdvisor</a>","<a href=""https://untappd.com/w/orchard-hill-cider-mill/115211"">Untappd</a>"
Portersfield Cider,Maine,1,0,1,2019,2019,1,Pownal,Maine,Active,"<a href=""https://www.portersfieldcider.com/"">Website</a>","<a href=""https://www.facebook.com/portersfieldcider"">Facebook</a>","<a href=""https://www.instagram.com/portersfield_cider"">Instagram</a>","<a href=""https://maps.google.com/?cid=15131843143212544489"">Google</a>","<a href=""https://www.yelp.com/biz/portersfield-cider-pownal"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g40828-d14787659"">TripAdvisor</a>","<a href=""https://untappd.com/w/portersfield-cider/216472"">Untappd</a>"
Seek-No-Further Cidery,Ohio,1,0,1,2024,2024,1,Granville,Ohio,Active,"<a href=""https://www.seeknofurthercider.com/"">Website</a>","<a href=""https://www.facebook.com/seeknofurthercidery"">Facebook</a>","<a href=""https://www.instagram.com/seeknofurthercidery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4713802987366690958"">Google</a>","<a href=""https://www.yelp.com/biz/seek-no-further-cidery-granville"">Yelp</a>","<a href=""https://www.tripadvisor.ie/Attraction_Review-g50390-d23985887"">TripAdvisor</a>","<a href=""https://untappd.com/w/seek-no-further/500402"">Untappd</a>"
Slyboro Ciderhouse,New York,1,0,1,2017,2017,1,Granville,New York,Active,,"<a href=""https://www.facebook.com/slyborociderhouse/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=15135981072993122340"">Google</a>","<a href=""https://www.yelp.com/biz/hicks-orchard-granville"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g47814-d7138901"">TripAdvisor</a>","<a href=""https://untappd.com/w/slyboro-cider-house/18728"">Untappd</a>"
