Style,Year,🏆 BIC,🥇 Gold,🥈 Silver,🥉 Bronze,Total
"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider</a>",Total,50,155,757,716,1678
"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider</a>",2015,1,3,20,20,44
"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider</a>",2016,2,10,32,33,77
"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider</a>",2017,6,6,50,45,107
"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider</a>",2018,6,14,74,53,147
"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider</a>",2019,6,26,76,46,154
"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider</a>",2021,6,20,109,59,194
"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider</a>",2022,6,24,78,45,153
"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider</a>",2023,6,23,85,44,158
"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider</a>",2024,6,5,78,39,128
"<a href=""https://ciderguide.com/glintcap/styles/heritage-cider/"">Heritage Cider</a>",Total,45,131,602,384,1162
"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">Traditional Cider</a>",2005,0,1,1,1,3
"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">Traditional Cider</a>",2006,0,1,2,1,4
"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">Traditional Cider</a>",2007,0,1,0,3,4
"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">Traditional Cider</a>",2008,1,0,2,3,6
"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">Traditional Cider</a>",2009,0,2,3,5,10
"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">Traditional Cider</a>",2011,1,2,10,8,21
"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">Traditional Cider</a>",2012,1,0,14,10,25
"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">Traditional Cider</a>",2013,0,2,13,14,29
"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">Traditional Cider</a>",2014,0,4,15,19,38
"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">Traditional Cider</a>",2015,0,3,16,19,38
"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">Traditional Cider</a>",2016,1,4,21,16,42
"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">Traditional Cider</a>",2017,6,1,17,18,42
"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">Traditional Cider</a>",2018,6,4,28,31,69
"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">Traditional Cider</a>",2019,6,0,24,21,51
"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">Traditional Cider</a>",2021,6,1,25,10,42
"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">Traditional Cider</a>",2022,6,5,28,20,59
"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">Traditional Cider</a>",2023,6,6,53,9,74
"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">Traditional Cider</a>",2024,6,10,29,27,72
"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">Traditional Cider</a>",Total,46,47,301,235,629
"<a href=""https://ciderguide.com/glintcap/styles/natural-cider/"">Natural Cider</a>",2013,0,2,7,5,14
"<a href=""https://ciderguide.com/glintcap/styles/natural-cider/"">Natural Cider</a>",2014,0,0,3,3,6
"<a href=""https://ciderguide.com/glintcap/styles/natural-cider/"">Natural Cider</a>",2015,0,1,6,1,8
"<a href=""https://ciderguide.com/glintcap/styles/natural-cider/"">Natural Cider</a>",2016,1,2,5,5,13
"<a href=""https://ciderguide.com/glintcap/styles/natural-cider/"">Natural Cider</a>",2017,3,2,5,6,16
"<a href=""https://ciderguide.com/glintcap/styles/natural-cider/"">Natural Cider</a>",2018,3,0,8,6,17
"<a href=""https://ciderguide.com/glintcap/styles/natural-cider/"">Natural Cider</a>",2019,3,1,5,5,14
"<a href=""https://ciderguide.com/glintcap/styles/natural-cider/"">Natural Cider</a>",2021,3,0,9,0,12
"<a href=""https://ciderguide.com/glintcap/styles/natural-cider/"">Natural Cider</a>",2022,3,0,4,1,8
"<a href=""https://ciderguide.com/glintcap/styles/natural-cider/"">Natural Cider</a>",2023,3,0,0,6,9
"<a href=""https://ciderguide.com/glintcap/styles/natural-cider/"">Natural Cider</a>",2024,3,1,2,6,12
"<a href=""https://ciderguide.com/glintcap/styles/natural-cider/"">Natural Cider</a>",Total,22,9,54,44,129
"<a href=""https://ciderguide.com/glintcap/styles/rose-cider/"">Rosé Cider</a>",2019,3,2,8,3,16
"<a href=""https://ciderguide.com/glintcap/styles/rose-cider/"">Rosé Cider</a>",2021,3,3,11,2,19
"<a href=""https://ciderguide.com/glintcap/styles/rose-cider/"">Rosé Cider</a>",2022,3,3,6,4,16
"<a href=""https://ciderguide.com/glintcap/styles/rose-cider/"">Rosé Cider</a>",2023,3,1,7,6,17
"<a href=""https://ciderguide.com/glintcap/styles/rose-cider/"">Rosé Cider</a>",2024,3,0,5,6,14
"<a href=""https://ciderguide.com/glintcap/styles/rose-cider/"">Rosé Cider</a>",Total,15,9,37,21,82
"<a href=""https://ciderguide.com/glintcap/styles/modern-perry/"">Modern Perry</a>",2005,1,0,0,0,1
"<a href=""https://ciderguide.com/glintcap/styles/modern-perry/"">Modern Perry</a>",2006,0,0,1,0,1
"<a href=""https://ciderguide.com/glintcap/styles/modern-perry/"">Modern Perry</a>",2007,0,0,1,0,1
"<a href=""https://ciderguide.com/glintcap/styles/modern-perry/"">Modern Perry</a>",2008,0,0,1,0,1
"<a href=""https://ciderguide.com/glintcap/styles/modern-perry/"">Modern Perry</a>",2009,0,0,2,0,2
"<a href=""https://ciderguide.com/glintcap/styles/modern-perry/"">Modern Perry</a>",2011,0,1,4,1,6
"<a href=""https://ciderguide.com/glintcap/styles/modern-perry/"">Modern Perry</a>",2012,0,0,3,3,6
"<a href=""https://ciderguide.com/glintcap/styles/modern-perry/"">Modern Perry</a>",2013,0,0,1,1,2
"<a href=""https://ciderguide.com/glintcap/styles/modern-perry/"">Modern Perry</a>",2014,0,0,1,3,4
"<a href=""https://ciderguide.com/glintcap/styles/modern-perry/"">Modern Perry</a>",2015,0,0,5,5,10
"<a href=""https://ciderguide.com/glintcap/styles/modern-perry/"">Modern Perry</a>",2016,0,1,9,9,19
"<a href=""https://ciderguide.com/glintcap/styles/modern-perry/"">Modern Perry</a>",2017,3,0,7,6,16
"<a href=""https://ciderguide.com/glintcap/styles/modern-perry/"">Modern Perry</a>",2018,3,1,4,9,17
"<a href=""https://ciderguide.com/glintcap/styles/modern-perry/"">Modern Perry</a>",2019,3,0,4,15,22
"<a href=""https://ciderguide.com/glintcap/styles/modern-perry/"">Modern Perry</a>",2021,3,0,10,7,20
"<a href=""https://ciderguide.com/glintcap/styles/modern-perry/"">Modern Perry</a>",2022,3,0,10,8,21
"<a href=""https://ciderguide.com/glintcap/styles/modern-perry/"">Modern Perry</a>",2023,3,1,8,3,15
"<a href=""https://ciderguide.com/glintcap/styles/modern-perry/"">Modern Perry</a>",2024,3,0,7,4,14
"<a href=""https://ciderguide.com/glintcap/styles/modern-perry/"">Modern Perry</a>",Total,22,4,78,74,178
"<a href=""https://ciderguide.com/glintcap/styles/traditional-perry/"">Traditional Perry</a>",2008,0,0,1,0,1
"<a href=""https://ciderguide.com/glintcap/styles/traditional-perry/"">Traditional Perry</a>",2009,0,0,1,1,2
"<a href=""https://ciderguide.com/glintcap/styles/traditional-perry/"">Traditional Perry</a>",2011,0,3,0,0,3
"<a href=""https://ciderguide.com/glintcap/styles/traditional-perry/"">Traditional Perry</a>",2012,0,1,2,1,4
"<a href=""https://ciderguide.com/glintcap/styles/traditional-perry/"">Traditional Perry</a>",2013,0,0,0,4,4
"<a href=""https://ciderguide.com/glintcap/styles/traditional-perry/"">Traditional Perry</a>",2014,1,0,2,0,3
"<a href=""https://ciderguide.com/glintcap/styles/traditional-perry/"">Traditional Perry</a>",2015,0,0,2,3,5
"<a href=""https://ciderguide.com/glintcap/styles/traditional-perry/"">Traditional Perry</a>",2016,1,1,5,6,13
"<a href=""https://ciderguide.com/glintcap/styles/traditional-perry/"">Traditional Perry</a>",2017,3,0,1,4,8
"<a href=""https://ciderguide.com/glintcap/styles/traditional-perry/"">Traditional Perry</a>",2018,3,2,7,1,13
"<a href=""https://ciderguide.com/glintcap/styles/traditional-perry/"">Traditional Perry</a>",2019,3,1,5,4,13
"<a href=""https://ciderguide.com/glintcap/styles/traditional-perry/"">Traditional Perry</a>",2021,3,0,2,1,6
"<a href=""https://ciderguide.com/glintcap/styles/traditional-perry/"">Traditional Perry</a>",2022,3,0,4,2,9
"<a href=""https://ciderguide.com/glintcap/styles/traditional-perry/"">Traditional Perry</a>",2023,3,0,1,0,4
"<a href=""https://ciderguide.com/glintcap/styles/traditional-perry/"">Traditional Perry</a>",2024,3,0,0,3,6
"<a href=""https://ciderguide.com/glintcap/styles/traditional-perry/"">Traditional Perry</a>",Total,23,8,33,30,94
"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",2005,0,1,1,1,3
"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",2006,0,1,2,1,4
"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",2007,0,0,1,1,2
"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",2008,0,0,2,3,5
"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",2009,0,1,9,0,10
"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",2011,0,2,2,9,13
"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",2012,0,1,4,8,13
"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",2013,0,1,4,11,16
"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",2014,0,3,6,10,19
"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",2015,0,3,27,35,65
"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",2016,1,6,32,45,84
"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",2017,3,5,54,40,102
"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",2018,3,3,65,63,134
"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",2019,3,15,75,68,161
"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",2021,3,30,114,72,219
"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",2022,3,20,134,71,228
"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",2023,3,20,114,77,214
"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",2024,3,7,87,61,158
"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",Total,22,119,733,576,1450
"<a href=""https://ciderguide.com/glintcap/styles/hopped-cider/"">Hopped Cider</a>",2015,0,1,11,15,27
"<a href=""https://ciderguide.com/glintcap/styles/hopped-cider/"">Hopped Cider</a>",2016,1,3,13,31,48
"<a href=""https://ciderguide.com/glintcap/styles/hopped-cider/"">Hopped Cider</a>",2017,3,2,12,20,37
"<a href=""https://ciderguide.com/glintcap/styles/hopped-cider/"">Hopped Cider</a>",2018,3,1,16,23,43
"<a href=""https://ciderguide.com/glintcap/styles/hopped-cider/"">Hopped Cider</a>",2019,3,2,28,13,46
"<a href=""https://ciderguide.com/glintcap/styles/hopped-cider/"">Hopped Cider</a>",2021,3,1,30,14,48
"<a href=""https://ciderguide.com/glintcap/styles/hopped-cider/"">Hopped Cider</a>",2022,3,2,15,10,30
"<a href=""https://ciderguide.com/glintcap/styles/hopped-cider/"">Hopped Cider</a>",2023,3,3,16,17,39
"<a href=""https://ciderguide.com/glintcap/styles/hopped-cider/"">Hopped Cider</a>",2024,3,0,8,20,31
"<a href=""https://ciderguide.com/glintcap/styles/hopped-cider/"">Hopped Cider</a>",Total,22,15,149,163,349
"<a href=""https://ciderguide.com/glintcap/styles/botanical-cider/"">Botanical Cider</a>",2015,0,0,2,15,17
"<a href=""https://ciderguide.com/glintcap/styles/botanical-cider/"">Botanical Cider</a>",2016,0,2,11,17,30
"<a href=""https://ciderguide.com/glintcap/styles/botanical-cider/"">Botanical Cider</a>",2017,3,0,11,19,33
"<a href=""https://ciderguide.com/glintcap/styles/botanical-cider/"">Botanical Cider</a>",2018,3,6,29,28,66
"<a href=""https://ciderguide.com/glintcap/styles/botanical-cider/"">Botanical Cider</a>",2019,3,9,44,37,93
"<a href=""https://ciderguide.com/glintcap/styles/botanical-cider/"">Botanical Cider</a>",2021,3,9,48,21,81
"<a href=""https://ciderguide.com/glintcap/styles/botanical-cider/"">Botanical Cider</a>",2022,3,5,48,19,75
"<a href=""https://ciderguide.com/glintcap/styles/botanical-cider/"">Botanical Cider</a>",2023,3,5,44,23,75
"<a href=""https://ciderguide.com/glintcap/styles/botanical-cider/"">Botanical Cider</a>",2024,3,3,31,18,55
"<a href=""https://ciderguide.com/glintcap/styles/botanical-cider/"">Botanical Cider</a>",Total,21,39,268,197,525
"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-cider/"">Wood Aged Cider</a>",2012,0,0,2,2,4
"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-cider/"">Wood Aged Cider</a>",2013,0,0,2,9,11
"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-cider/"">Wood Aged Cider</a>",2014,0,2,6,4,12
"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-cider/"">Wood Aged Cider</a>",2015,1,4,14,14,33
"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-cider/"">Wood Aged Cider</a>",2016,1,3,26,18,48
"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-cider/"">Wood Aged Cider</a>",2017,3,3,18,28,52
"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-cider/"">Wood Aged Cider</a>",2018,3,2,18,33,56
"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-cider/"">Wood Aged Cider</a>",2019,3,0,22,35,60
"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-cider/"">Wood Aged Cider</a>",2021,3,2,19,24,48
"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-cider/"">Wood Aged Cider</a>",2022,3,3,27,12,45
"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-cider/"">Wood Aged Cider</a>",2023,3,3,24,7,37
"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-cider/"">Wood Aged Cider</a>",2024,3,2,25,13,43
"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-cider/"">Wood Aged Cider</a>",Total,23,24,203,199,449
"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-specialty-cider/"">Wood Aged Specialty Cider</a>",2018,3,1,17,17,38
"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-specialty-cider/"">Wood Aged Specialty Cider</a>",2019,3,6,26,24,59
"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-specialty-cider/"">Wood Aged Specialty Cider</a>",2021,3,2,28,22,55
"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-specialty-cider/"">Wood Aged Specialty Cider</a>",2022,3,5,17,16,41
"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-specialty-cider/"">Wood Aged Specialty Cider</a>",2023,3,5,18,13,39
"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-specialty-cider/"">Wood Aged Specialty Cider</a>",2024,3,1,8,8,20
"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-specialty-cider/"">Wood Aged Specialty Cider</a>",Total,18,20,114,100,252
"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",2005,0,3,3,4,10
"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",2006,0,1,3,3,7
"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",2007,0,1,3,3,7
"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",2008,0,1,1,6,8
"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",2009,0,3,7,0,10
"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",2011,0,7,12,8,27
"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",2012,0,3,14,13,30
"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",2013,1,3,15,35,54
"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",2014,0,10,37,34,81
"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",2015,1,1,14,27,43
"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",2016,1,5,23,38,67
"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",2017,3,9,50,77,139
"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",2018,3,5,43,50,101
"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",2019,3,15,52,58,128
"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",2021,3,12,71,54,140
"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",2022,3,10,72,37,122
"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",2023,3,12,83,37,135
"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",2024,3,3,34,29,69
"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",Total,24,104,537,513,1178
"<a href=""https://ciderguide.com/glintcap/styles/unlimited-cider-and-perry/"">Unlimited Cider and Perry</a>",2006,0,1,2,2,5
"<a href=""https://ciderguide.com/glintcap/styles/unlimited-cider-and-perry/"">Unlimited Cider and Perry</a>",2007,0,0,0,2,2
"<a href=""https://ciderguide.com/glintcap/styles/unlimited-cider-and-perry/"">Unlimited Cider and Perry</a>",2008,0,1,3,2,6
"<a href=""https://ciderguide.com/glintcap/styles/unlimited-cider-and-perry/"">Unlimited Cider and Perry</a>",2009,0,0,8,0,8
"<a href=""https://ciderguide.com/glintcap/styles/unlimited-cider-and-perry/"">Unlimited Cider and Perry</a>",2011,0,0,6,10,16
"<a href=""https://ciderguide.com/glintcap/styles/unlimited-cider-and-perry/"">Unlimited Cider and Perry</a>",2012,0,0,4,4,8
"<a href=""https://ciderguide.com/glintcap/styles/unlimited-cider-and-perry/"">Unlimited Cider and Perry</a>",2013,0,1,2,5,8
"<a href=""https://ciderguide.com/glintcap/styles/unlimited-cider-and-perry/"">Unlimited Cider and Perry</a>",2014,0,0,2,8,10
"<a href=""https://ciderguide.com/glintcap/styles/unlimited-cider-and-perry/"">Unlimited Cider and Perry</a>",2015,0,0,2,8,10
"<a href=""https://ciderguide.com/glintcap/styles/unlimited-cider-and-perry/"">Unlimited Cider and Perry</a>",2016,0,0,8,10,18
"<a href=""https://ciderguide.com/glintcap/styles/unlimited-cider-and-perry/"">Unlimited Cider and Perry</a>",2017,3,0,1,12,16
"<a href=""https://ciderguide.com/glintcap/styles/unlimited-cider-and-perry/"">Unlimited Cider and Perry</a>",2018,3,1,9,5,18
"<a href=""https://ciderguide.com/glintcap/styles/unlimited-cider-and-perry/"">Unlimited Cider and Perry</a>",2019,3,0,5,8,16
"<a href=""https://ciderguide.com/glintcap/styles/unlimited-cider-and-perry/"">Unlimited Cider and Perry</a>",2021,3,0,0,7,10
"<a href=""https://ciderguide.com/glintcap/styles/unlimited-cider-and-perry/"">Unlimited Cider and Perry</a>",2022,3,0,3,1,7
"<a href=""https://ciderguide.com/glintcap/styles/unlimited-cider-and-perry/"">Unlimited Cider and Perry</a>",2023,3,1,11,14,29
"<a href=""https://ciderguide.com/glintcap/styles/unlimited-cider-and-perry/"">Unlimited Cider and Perry</a>",2024,3,4,26,10,43
"<a href=""https://ciderguide.com/glintcap/styles/unlimited-cider-and-perry/"">Unlimited Cider and Perry</a>",Total,21,9,92,108,230
"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",2006,1,1,1,0,3
"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",2008,0,0,1,0,1
"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",2009,0,1,2,0,3
"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",2011,1,3,4,2,10
"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",2012,1,1,2,0,4
"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",2013,1,2,6,10,19
"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",2014,1,2,5,7,15
"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",2015,1,1,6,8,16
"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",2016,1,4,12,10,27
"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",2017,3,0,5,4,12
"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",2018,3,2,5,5,15
"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",2019,3,2,7,9,21
"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",2021,3,4,15,2,24
"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",2022,3,3,10,4,20
"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",2023,3,0,5,2,10
"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",2024,3,1,6,0,10
"<a href=""https://ciderguide.com/glintcap/styles/ice-cider/"">Ice Cider</a>",Total,28,27,92,63,210
"<a href=""https://ciderguide.com/glintcap/styles/fortified-cider/"">Fortified Cider</a>",2006,1,1,1,0,3
"<a href=""https://ciderguide.com/glintcap/styles/fortified-cider/"">Fortified Cider</a>",2007,0,1,2,0,3
"<a href=""https://ciderguide.com/glintcap/styles/fortified-cider/"">Fortified Cider</a>",2008,0,0,2,2,4
"<a href=""https://ciderguide.com/glintcap/styles/fortified-cider/"">Fortified Cider</a>",2009,1,1,4,0,6
"<a href=""https://ciderguide.com/glintcap/styles/fortified-cider/"">Fortified Cider</a>",2011,0,5,4,0,9
"<a href=""https://ciderguide.com/glintcap/styles/fortified-cider/"">Fortified Cider</a>",2012,0,1,2,5,8
"<a href=""https://ciderguide.com/glintcap/styles/fortified-cider/"">Fortified Cider</a>",2013,0,2,5,0,7
"<a href=""https://ciderguide.com/glintcap/styles/fortified-cider/"">Fortified Cider</a>",2014,1,1,5,10,17
"<a href=""https://ciderguide.com/glintcap/styles/fortified-cider/"">Fortified Cider</a>",2015,1,0,3,7,11
"<a href=""https://ciderguide.com/glintcap/styles/fortified-cider/"">Fortified Cider</a>",2016,1,0,4,2,7
"<a href=""https://ciderguide.com/glintcap/styles/fortified-cider/"">Fortified Cider</a>",2017,3,0,0,2,5
"<a href=""https://ciderguide.com/glintcap/styles/fortified-cider/"">Fortified Cider</a>",2018,3,0,4,6,13
"<a href=""https://ciderguide.com/glintcap/styles/fortified-cider/"">Fortified Cider</a>",2019,3,0,13,4,20
"<a href=""https://ciderguide.com/glintcap/styles/fortified-cider/"">Fortified Cider</a>",2021,3,3,8,4,18
"<a href=""https://ciderguide.com/glintcap/styles/fortified-cider/"">Fortified Cider</a>",2022,3,3,4,5,15
"<a href=""https://ciderguide.com/glintcap/styles/fortified-cider/"">Fortified Cider</a>",2023,3,3,14,7,27
"<a href=""https://ciderguide.com/glintcap/styles/fortified-cider/"">Fortified Cider</a>",2024,3,0,1,7,11
"<a href=""https://ciderguide.com/glintcap/styles/fortified-cider/"">Fortified Cider</a>",Total,26,21,76,61,184
"<a href=""https://ciderguide.com/glintcap/styles/spirits/"">Spirits</a>",2006,1,0,1,0,2
"<a href=""https://ciderguide.com/glintcap/styles/spirits/"">Spirits</a>",2007,0,0,1,1,2
"<a href=""https://ciderguide.com/glintcap/styles/spirits/"">Spirits</a>",2008,0,0,1,1,2
"<a href=""https://ciderguide.com/glintcap/styles/spirits/"">Spirits</a>",2009,0,1,2,0,3
"<a href=""https://ciderguide.com/glintcap/styles/spirits/"">Spirits</a>",2011,1,4,2,3,10
"<a href=""https://ciderguide.com/glintcap/styles/spirits/"">Spirits</a>",2012,1,1,2,1,5
