Medalist,Department,🥇 Or,🥈 Argent,Total,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Manoir de Grandouet,Calvados,0,2,2,https://www.manoir-de-grandouet.fr/,https://www.facebook.com/grandval.fr/,https://www.instagram.com/manoirdegrandouet/,https://maps.google.com/?cid=1664850146101306839,https://www.tripadvisor.com/Attraction_Review-g672825-d6994534,https://untappd.com/brewery/18942
Cidre Écusson,Calvados,1,0,1,https://www.cidre-ecusson.com/,https://www.facebook.com/CidreEcusson/,https://www.instagram.com/cidreecusson/,https://maps.google.com/?cid=16717845515481593007,,https://untappd.com/w/cidres-ecusson/15641
Cidre Lemasson,Manche,1,0,1,https://www.cidre-lemasson.fr/,https://www.facebook.com/cidrelemasson,https://www.instagram.com/cidrelemasson/,https://maps.google.com/?cid=7632467116285948880,https://www.tripadvisor.com/Attraction_Review-g12634286-d6538652,https://untappd.com/w/cidre-lemasson/247290
Cidrerie Michel Bréavoine,Calvados,1,0,1,https://www.breavoine.fr/,https://www.facebook.com/cidrebreavoine/,https://www.instagram.com/cidrebreavoine/,https://maps.google.com/?cid=13497264920337240271,,https://untappd.com/w/cidrerie-michel-breavoine/123090
Domaine Olivier,Orne,1,0,1,https://www.ledomaineolivier.com/,,,https://maps.google.com/?cid=12832839833696798380,,https://untappd.com/w/domaine-olivier/337350
Groualle Frères,Manche,1,0,1,,https://www.facebook.com/GROUALLEANTHONY,,,,
Le P'tit Clos Normand,Seine-Maritime,1,0,1,https://www.boeuf-cidre.com/,https://www.facebook.com/francoisxavier.craquelin/,,https://maps.google.com/?cid=13679042805577864069,,
Le Perrey Picot,Calvados,1,0,1,,https://www.facebook.com/profile.php?id=100060685033668,,https://maps.google.com/?cid=6767746835247128514,,https://untappd.com/w/le-perrey-picot-didier-gautard/371620
Les Vergers du Quesnay,Seine-Maritime,1,0,1,https://www.lesvergersduquesnay.fr/,https://www.facebook.com/profile.php?id=100058435991351,https://www.instagram.com/les_vergers_du_quesnay/,https://maps.google.com/?cid=15904214834922492181,,https://untappd.com/w/les-vergers-du-quesnay/228234
Breton Michel,Orne,0,1,1,https://www.cidre-bretonmichel.com/,,,https://maps.google.com/?cid=12939236238538332078,,https://untappd.com/w/breton-michel/222629
Cidrerie Dujardin,Manche,0,1,1,http://www.cidres-dujardin.fr/,,,https://maps.google.com/?cid=10438887429258835490,,https://untappd.com/w/cidrerie-dujardin/20309
Domaine de Rugueville,Manche,0,1,1,https://domainederugueville.fr/,https://www.facebook.com/profile.php?id=100057855811467,,https://maps.google.com/?cid=8320768846860943756,https://www.tripadvisor.com/Attraction_Review-g616116-d12491816,https://untappd.com/w/domaine-de-rugueville/222398
Ecomusée de la Pomme et du Cidre,Seine-Maritime,0,1,1,https://www.ecomuseeducidre.fr/,,,https://maps.google.com/?cid=5707167707581907830,https://www.tripadvisor.com/Attraction_Review-g1572450-d3428587,https://untappd.com/w/vincent-et-marieclaire-godefroy/207560
Ferme de Cavelande,Calvados,0,1,1,https://www.fermedecavelande.fr/,,,https://maps.google.com/?cid=949032948010559518,,https://untappd.com/w/ferme-de-cavelande/465256
Ferme de la Sapinière,Calvados,0,1,1,https://www.producteur-cidre.com/,https://www.facebook.com/fermedelasapiniere/,,https://maps.google.com/?cid=13033032790677741913,https://www.tripadvisor.com/Attraction_Review-g1462420-d4961506,https://untappd.com/w/ferme-de-la-sapini-re/124296
Ferme des Martellières,Orne,0,1,1,https://www.les-martellieres.com/,https://www.facebook.com/LesMartellieres.ProduitsCidricoles,,https://maps.google.com/?cid=13628777607608573968,,https://untappd.com/w/les-martellieres/291057
Le Chai de la Baie,Manche,0,1,1,,https://www.facebook.com/jacques.daunay50/,,https://maps.google.com/?cid=12654181407242940379,,https://untappd.com/w/le-chai-de-la-baie/471739
Le Costil Rouge,Calvados,0,1,1,,,,https://maps.google.com/?cid=813458325751135495,,https://untappd.com/w/didier-gilbert/324320
Les Normandises du Pradon,Seine-Maritime,0,1,1,http://lesnormandisesdupradon.com/,https://www.facebook.com/lesnormandisesdupradon/,https://www.instagram.com/lesnormandisesdupradon/,https://maps.google.com/?cid=5034289693754776537,,https://untappd.com/w/ferme-du-pradon/228438
Manoir d'Apreval,Calvados,0,1,1,https://www.apreval.com/,https://www.facebook.com/manoirdapreval/,https://www.instagram.com/manoirdapreval/,https://maps.google.com/?cid=10807770520098333687,https://www.tripadvisor.com/Attraction_Review-g2205406-d9715014,https://untappd.com/w/manoir-d-apreval/228726
Manoir de Durcet,Orne,0,1,1,https://www.breton-manoirdedurcet.fr/,https://www.facebook.com/manoirdedurcet/,https://www.instagram.com/manoirdedurcetgaec/,https://maps.google.com/?cid=3868969713989886200,,https://untappd.com/w/manoir-de-durcet/399555
Total,,21,38,59,,,,,,
