Category,Medalist,Entry,Country,Award,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Modern Cider - Medium,Portland Cider Company,English Pub,United States,🥈 SILVER,http://portlandcider.com/,https://www.facebook.com/portlandcider,https://www.instagram.com/portlandcider/,https://maps.google.com/?cid=5897814277091816079,https://www.tripadvisor.com/Restaurant_Review-g51806-d6996793,https://untappd.com/w/portland-cider-company/56260
Modern Cider - Medium,Stassen Cidrerie,Stassen Cidre Brut,Belgium,🥉 BRONZE,https://www.cidreriestassen.com/,,,https://maps.google.com/?cid=3414465612960585932,,https://untappd.com/w/stassen-vin-cie/12274
Modern Cider ‐ Sweet,Portland Cider Company,Original Gold,United States,🥇 GOLD,http://portlandcider.com/,https://www.facebook.com/portlandcider,https://www.instagram.com/portlandcider/,https://maps.google.com/?cid=5897814277091816079,https://www.tripadvisor.com/Restaurant_Review-g51806-d6996793,https://untappd.com/w/portland-cider-company/56260
Modern Cider ‐ Sweet,Stonewell Cider,Stonewell Medium Dry,Ireland,🥈 SILVER,https://www.stonewellcider.com/,https://www.facebook.com/stonewellcider,https://www.instagram.com/stonewellcider/,https://maps.google.com/?cid=6638378960827420170,,https://untappd.com/Nohoval_Drinks_Company_Ltd
Spanish Style Cider,Brooklyn Cider House,Solstice,United States,🥈 SILVER,http://brooklynciderhouse.com/,,https://www.instagram.com/brooklynciderhouse/,https://maps.google.com/?cid=3244654366527486527,,https://untappd.com/w/brooklyn-cider-house/234267
Perry,Newton Court Cider,Panting Partridge,England,🥉 BRONZE,https://www.newtoncourtcider.com/,https://www.facebook.com/newtonscider/,https://www.instagram.com/newtoncourtcider/,https://maps.google.com/?cid=16599711403513185285,https://www.tripadvisor.com/Attraction_Review-g1936778-d7940383,https://untappd.com/NewtonCourtCidery
Cider with Berries,Black Apple Hard Cider,Black Apple - Blackberry,United States,🥇 GOLD,https://www.blackapplehardcider.com/,https://www.facebook.com/blackapplecrossing/,https://www.instagram.com/blackapplehardcider/,https://maps.google.com/?cid=5449257929643515916,https://www.tripadvisor.com/Attraction_Review-g31931-d8814858,https://untappd.com/w/black-apple-crossing/211057
Cider with Berries,Pembrokeshire Cider,Mixed Berry Apple Cider,Wales,🥈 SILVER,https://pembrokeshirecider.co.uk/,https://www.facebook.com/PembrokeshireCider,https://www.instagram.com/pembrokeshirecider/,https://maps.google.com/?cid=7076376665804890949,,https://untappd.com/w/the-pembrokeshire-cider-co/356892
Cider with Other Fruits & Flowers,Stonewell Cider,Ros,Ireland,🥇 GOLD,https://www.stonewellcider.com/,https://www.facebook.com/stonewellcider,https://www.instagram.com/stonewellcider/,https://maps.google.com/?cid=6638378960827420170,,https://untappd.com/Nohoval_Drinks_Company_Ltd
Cider with Other Fruits & Flowers,"Valle, Ballina y Fernandez",Gaitero Spanish Cider with Red Grape,Spain,🥈 SILVER,https://www.sidraelgaitero.com/,https://www.facebook.com/grupoelgaitero,https://www.instagram.com/grupoelgaitero/,https://maps.google.com/?cid=15753532318992345137,https://www.tripadvisor.com/Attraction_Review-g608997-d3239389,https://untappd.com/brewery/4266
Cider with Other Fruits & Flowers,Stormalong Cider,Red Skies at Night,United States,🥉 BRONZE,https://www.stormalong.com/,https://www.facebook.com/stormalongcider/,https://www.instagram.com/stormalongcider/,https://maps.google.com/?cid=9791117786097773397,,https://untappd.com/w/stormalong-cider/182598
Cider with Botanicals,OmCider,ODEL,Norway,🥇 GOLD,https://omcider.no/,https://www.facebook.com/OmCiderAS/,https://www.instagram.com/omcideras/,https://maps.google.com/?cid=1800091822223931241,,https://untappd.com/w/omcider/492586
Cider with Botanicals,Stormalong Cider,White Mountain Magic,United States,🥈 SILVER,https://www.stormalong.com/,https://www.facebook.com/stormalongcider/,https://www.instagram.com/stormalongcider/,https://maps.google.com/?cid=9791117786097773397,,https://untappd.com/w/stormalong-cider/182598
Rosé Cider,Alde,Alde Rosé Sider,Norway,🥇 GOLD,https://www.aldesider.no/,https://www.facebook.com/aldesider,https://www.instagram.com/aldesider/,https://maps.google.com/?cid=7838999053969928967,,https://untappd.com/Alde_hardanger
Rosé Cider,Bauman’s Cider Company,Mountain Rose SV,United States,🥈 SILVER,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872
Rosé Cider,Stassen Cidrerie,Strongbow Rosé Apple,Belgium,🥉 BRONZE,https://www.cidreriestassen.com/,,,https://maps.google.com/?cid=3414465612960585932,,https://untappd.com/w/stassen-vin-cie/12274
Ice Cider,Lepola Drinks,Vega Ice Cider,Finland,🥇 GOLD,https://lepoladrinks.fi/,https://www.facebook.com/lepoladrinks/,https://www.instagram.com/lepola_drinks/,https://maps.google.com/?cid=10912023971262858580,,https://untappd.com/w/lepola/401095
Low & No Cider and Perry,Cotswold Cider Company,Phantom of the Orchard Lo-Alc 1% Cider,England,🥇 GOLD,https://www.cotswoldciderco.com/,https://www.facebook.com/CotswoldCiderCompany,https://www.instagram.com/cotswoldciderco/,,,https://untappd.com/TheCotswoldCiderCompany
Low & No Cider and Perry,Mosterei Möhl,Möhl Easy Apple Cider,Switzerland,🥈 SILVER,https://www.moehl.ch/,https://www.facebook.com/saftvomfass/,https://www.instagram.com/mosterei_moehl/,https://maps.google.com/?cid=2429351855518192196,,https://untappd.com/w/mosterei-mohl/21631
Open Class,Stonewell Cider,Tawny 10,Ireland,🥇 GOLD,https://www.stonewellcider.com/,https://www.facebook.com/stonewellcider,https://www.instagram.com/stonewellcider/,https://maps.google.com/?cid=6638378960827420170,,https://untappd.com/Nohoval_Drinks_Company_Ltd
Open Class,Stassen Cidrerie,Stassen Cidre d’Abbaye Blond,Belgium,🥈 SILVER,https://www.cidreriestassen.com/,,,https://maps.google.com/?cid=3414465612960585932,,https://untappd.com/w/stassen-vin-cie/12274
Open Class,James Creek Cider House,Stargazer Cider - Crossbow,United States,🥉 BRONZE,https://jamescreekciderhouse.com/,https://www.facebook.com/jamescreekciderhouse,https://www.instagram.com/jamescreekciderhouse/,https://maps.google.com/?cid=8654485681895206331,,https://untappd.com/w/james-creek-cider-house/291592
