Year,Award,Producer,Style,Product,Region,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
2019,🏆 Best in Class,Cidrerie de Menez-Brug,Traditional French Cider,"AOP Cornouille ",France,Active,"<a href=""https://www.cidrerie-de-menez-brug.com/"">Website</a>","<a href=""https://www.facebook.com/cidreriemenezbrug.fr/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=10640223041696316686"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g666452-d15052081"">TripAdvisor</a>","<a href=""https://untappd.com/w/cidrerie-de-menez-brug/150603"">Untappd</a>"
2019,🏆 Best in Class,Pilton Cider,Traditional English Cider,"Pilton Solstice ",England,Active,"<a href=""https://www.piltoncider.com/"">Website</a>","<a href=""https://www.facebook.com/piltoncider"">Facebook</a>","<a href=""https://www.instagram.com/piltoncider"">Instagram</a>","<a href=""https://maps.google.com/?cid=9998325032687804281"">Google</a>",,,"<a href=""https://untappd.com/w/pilton-cider/62441"">Untappd</a>"
2019,🏆 Best in Class,Ulvik Frukt & Cideri,Modern Cider,"Gravenstein ",Norway,Active,"<a href=""http://www.hakastadsider.no/"">Website</a>","<a href=""https://www.facebook.com/pages/Ulvik-Frukt-Cideri/191311970916027"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=8381380851022975775"">Google</a>",,,"<a href=""https://untappd.com/brewery/60198"">Untappd</a>"
2019,🏆 Best in Class,Åkre Gård,Premium Sparkling Cider,"Edel Cuvee Park ",Norway,Active,"<a href=""https://aakre-gard.no/"">Website</a>","<a href=""https://www.facebook.com/EdelSider/"">Facebook</a>","<a href=""https://www.instagram.com/edelsider"">Instagram</a>","<a href=""https://maps.google.com/?cid=10200668651455703399"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g21171125-d21170815"">TripAdvisor</a>","<a href=""https://untappd.com/Aakre_Gard"">Untappd</a>"
2019,🏆 Best in Class,Apfelweinhandlung JB,Apfelwein,"JB Streuobst ",Germany,Active,"<a href=""https://www.apfelweinhandlung.de/"">Website</a>","<a href=""https://www.facebook.com/janusbecker/"">Facebook</a>","<a href=""https://www.instagram.com/apfelweinhandlung/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4042602811831238709"">Google</a>","<a href=""https://www.yelp.com/biz/apfelweinhandlung-jb-frankfurt-am-main-2"">Yelp</a>",,"<a href=""https://untappd.com/w/apfelweinhandlung-janus-becker/213578"">Untappd</a>"
2019,🏆 Best in Class,Zapiain,Ice Cider,"Bizi-Goxo 2015 ",Basque Country,Active,"<a href=""https://zapiain.eus/"">Website</a>","<a href=""https://www.facebook.com/zapiainsagardoa"">Facebook</a>","<a href=""https://www.instagram.com/zapiainsagardoa/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16982677267877188990"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g1064182-d3806229"">TripAdvisor</a>","<a href=""https://untappd.com/ZapiainSagardoa"">Untappd</a>"
2021,🏆 Best of Show,Sidra Panizales,Ice Cider,Sidra de Hielo Panizales,Asturias,Active,"<a href=""https://sidrapanizales.com/"">Website</a>","<a href=""https://www.facebook.com/panizales.sidra"">Facebook</a>","<a href=""https://www.instagram.com/sidrapanizales/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16258480851124885832"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g775263-d7621234"">TripAdvisor</a>","<a href=""https://untappd.com/w/llagar-panizales/152401"">Untappd</a>"
2021,🏆 Best in Class,Oiharte,Natural Basque Cider,Oiharte Euskal Sagardoa,Basque Country,Active,"<a href=""https://oiharte.com/"">Website</a>","<a href=""https://www.facebook.com/CasaRuralSidreriaOiharte"">Facebook</a>","<a href=""https://www.instagram.com/oiharte/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7283611563965022999"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g1235389-d2470675"">TripAdvisor</a>","<a href=""https://untappd.com/w/oiharte-sagardotegia/351344"">Untappd</a>"
2021,🏆 Best in Class,Sidra Castañón,Natural Asturian Cider,Sidra Castañon,Asturias,Active,"<a href=""https://sidracastanon.com/"">Website</a>","<a href=""https://www.facebook.com/sidracastanon/"">Facebook</a>","<a href=""https://www.instagram.com/sidracastanon/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3082307260151948865"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g2186312-d12246874"">TripAdvisor</a>","<a href=""https://untappd.com/w/llagar-sidra-casta-n/81481"">Untappd</a>"
2021,🏆 Best in Class,Domaine de la Mare,Traditional French Cider,L'Insoumis,France,Active,"<a href=""https://www.domainedelamare.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=11844878661689216154"">Google</a>",,,"<a href=""https://untappd.com/w/domaine-de-la-mare/511923"">Untappd</a>"
2021,🏆 Best in Class,Angry Orchard,Traditional English Cider,Bitter Steve,United States,Active,"<a href=""https://www.angryorchard.com/"">Website</a>","<a href=""https://www.facebook.com/AngryOrchard/"">Facebook</a>","<a href=""https://www.instagram.com/angryorchard/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17467507983407382578"">Google</a>","<a href=""https://www.yelp.com/biz/angry-orchard-walden-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g48788-d10266026"">TripAdvisor</a>","<a href=""https://untappd.com/w/angry-orchard-cider-company/16455"">Untappd</a>"
2021,🏆 Best in Class,Cidérka,Modern Cider,Červenka,Czechia,Active,"<a href=""https://www.ciderka.cz/"">Website</a>","<a href=""https://www.facebook.com/ciderka.cz"">Facebook</a>","<a href=""https://www.instagram.com/ciderka.cz/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4045068491840478725"">Google</a>",,,"<a href=""https://untappd.com/w/ciderka/463341"">Untappd</a>"
2021,🏆 Best in Class,Åkre Gård,Premium Sparkling Cider,Edel Sider - Metode Trad,Norway,Active,"<a href=""https://aakre-gard.no/"">Website</a>","<a href=""https://www.facebook.com/EdelSider/"">Facebook</a>","<a href=""https://www.instagram.com/edelsider"">Instagram</a>","<a href=""https://maps.google.com/?cid=10200668651455703399"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g21171125-d21170815"">TripAdvisor</a>","<a href=""https://untappd.com/Aakre_Gard"">Untappd</a>"
2021,🏆 Best in Class,Weidmann & Groh,Apfelwein,Speierling Halbtrocken,Germany,Active,"<a href=""https://weidmann-groh.de/"">Website</a>","<a href=""https://www.facebook.com/pages/WEIDMANN-GROH/138116339592327"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=6569120976887073603"">Google</a>",,,"<a href=""https://untappd.com/w/weidmann-groh/73065"">Untappd</a>"
2021,🏆 Best in Class,Weidmann & Groh,Flavored Cider and Perry,Cydonia,Germany,Active,"<a href=""https://weidmann-groh.de/"">Website</a>","<a href=""https://www.facebook.com/pages/WEIDMANN-GROH/138116339592327"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=6569120976887073603"">Google</a>",,,"<a href=""https://untappd.com/w/weidmann-groh/73065"">Untappd</a>"
2023,🏆 Best of Show,Pomologik,Flavored or Blended Cider,Replicant Pinot Noir,Sweden,Active,"<a href=""https://www.pomologik.se/"">Website</a>","<a href=""https://www.facebook.com/pomologik"">Facebook</a>","<a href=""https://www.instagram.com/Pomologik/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17836181822390207936"">Google</a>",,,"<a href=""https://untappd.com/Pomologik_swe"">Untappd</a>"
2023,🏆 Best in Class,Zapiain,Natural Cider,Zapiain Euskal Sagardoa Premium 2022,Basque Country,Active,"<a href=""https://zapiain.eus/"">Website</a>","<a href=""https://www.facebook.com/zapiainsagardoa"">Facebook</a>","<a href=""https://www.instagram.com/zapiainsagardoa/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16982677267877188990"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g1064182-d3806229"">TripAdvisor</a>","<a href=""https://untappd.com/ZapiainSagardoa"">Untappd</a>"
2023,🏆 Best in Class,Weidmann & Groh,Dominant Acidity Cider,Boskop 2022,Germany,Active,"<a href=""https://weidmann-groh.de/"">Website</a>","<a href=""https://www.facebook.com/pages/WEIDMANN-GROH/138116339592327"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=6569120976887073603"">Google</a>",,,"<a href=""https://untappd.com/w/weidmann-groh/73065"">Untappd</a>"
2023,🏆 Best in Class,Sidrería TenCai,Dominant Bitterness Cider,Muerte Fría y Serena,Chile,Active,"<a href=""https://tencaisidra.cl/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100063550781151"">Facebook</a>","<a href=""https://www.instagram.com/tencaisidra/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5739971672897016755"">Google</a>",,,"<a href=""https://untappd.com/tencaisidra"">Untappd</a>"
2023,🏆 Best in Class,L'Aubinière,Premium Sparkling Cider,Cidre Cuveé Ombrage 2022,France,Active,"<a href=""https://www.laubiniere.fr/"">Website</a>","<a href=""https://www.facebook.com/laubiniere/"">Facebook</a>","<a href=""https://www.instagram.com/laubiniere/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3202157626582316196"">Google</a>",,,"<a href=""https://untappd.com/w/l-aubiniere/531046"">Untappd</a>"
2023,🏆 Best in Class,Seppelbauer,Perry,Speckbirnen Most,Austria,Active,"<a href=""https://www.seppelbauer.at/"">Website</a>","<a href=""https://www.facebook.com/pages/Seppelbauers-Obstparadies/208933892492272"">Facebook</a>","<a href=""https://www.instagram.com/seppelbauer/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/mostheuriger-seppelbauer-datzberger/309349"">Untappd</a>"
2023,🏆 Best in Class,Sidra El Gaitero,Modern Cider,Gaitero Extra,Asturias,Active,"<a href=""https://www.sidraelgaitero.com/"">Website</a>","<a href=""https://www.facebook.com/grupoelgaitero"">Facebook</a>","<a href=""https://www.instagram.com/grupoelgaitero/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15753532318992345137"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g608997-d3239389"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/4266"">Untappd</a>"
2023,🏆 Best in Class,Restauracja Tabun,Dessert Cider,Tabun Cydr Lodowy 2020,Poland,Active,"<a href=""https://www.restauracjatabun.pl/"">Website</a>","<a href=""https://www.facebook.com/TABUNCYDR/"">Facebook</a>","<a href=""https://www.instagram.com/tabuncydr/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13556304642115496222"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g3222438-d2654599"">TripAdvisor</a>","<a href=""https://untappd.com/w/tabun/434136"">Untappd</a>"
2023,🏆 Best in Class,Pomologik,Open Category,Ingrid Marie XO,Sweden,Active,"<a href=""https://www.pomologik.se/"">Website</a>","<a href=""https://www.facebook.com/pomologik"">Facebook</a>","<a href=""https://www.instagram.com/Pomologik/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17836181822390207936"">Google</a>",,,"<a href=""https://untappd.com/Pomologik_swe"">Untappd</a>"
