Year,Medal,Medalist,Entry,Style,Style_Crosswalk,Place
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/haykin-family-cider/"">Haykin Family Cider</a>",Methode Ancestrale Ela Family Farms Cuvee,Modern Cider - Dry,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/haykin-family-cider/"">Haykin Family Cider</a>",Newtown Pippin,Modern Cider - Dry,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/headwater-cider/"">Headwater Cider</a>",Edge,Modern Cider - Dry,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/headwater-cider/"">Headwater Cider</a>",Fife,Modern Cider - Dry,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/headwater-cider/"">Headwater Cider</a>",Silk Purse,Modern Cider - Dry,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/heemans/"">Heeman's</a>",Dry Empire,Modern Cider - Dry,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/high-limb-hard-cider/"">High Limb Hard Cider</a>",Core,Modern Cider - Dry,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/mount-diablo-cider-company/"">Mount Diablo Cider Company</a>",Gravenstein,Modern Cider - Dry,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/seattle-cider-company/"">Seattle Cider Company</a>",City Fruit 2021,Modern Cider - Dry,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/seattle-cider-company/"">Seattle Cider Company</a>",Dry,Modern Cider - Dry,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/seattle-cider-company/"">Seattle Cider Company</a>",Light Cider,Modern Cider - Dry,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/seattle-cider-company/"">Seattle Cider Company</a>",McIntosh SV,Modern Cider - Dry,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/seattle-cider-company/"">Seattle Cider Company</a>",Our Day - 10th Anniversary,Modern Cider - Dry,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/seattle-cider-company/"">Seattle Cider Company</a>",VIVID Tart Apple,Modern Cider - Dry,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/seminary-hill-orchard-cidery/"">Seminary Hill Orchard & Cidery</a>",Toms Beard 21,Modern Cider - Dry,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/stem-ciders/"">Stem Ciders</a>",Off Dry,Modern Cider - Dry,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/texas-corners-brewing-company/"">Texas Corners Brewing Company</a>",Crisp Apple Cider,Modern Cider - Dry,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/willamette-ale-cider-house/"">Willamette Ale & Cider House</a>",Base Brut,Modern Cider - Dry,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/wise-bird-cider/"">Wise Bird Cider</a>",Commonwealth Gold,Modern Cider - Dry,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/yip-cider/"">Yip Cider</a>",Original,Modern Cider - Dry,Modern Cider,
2024,🏆 BEST IN CLASS,"<a href=""https://ciderguide.com/glintcap/medalists/tandem-ciders/"">Tandem Ciders</a>",Smackintosh,Modern Cider - Sweet,Modern Cider,1st Place
2024,🏆 BEST IN CLASS,"<a href=""https://ciderguide.com/glintcap/medalists/seattle-cider-company/"">Seattle Cider Company</a>",Honeycrisp,Modern Cider - Sweet,Modern Cider,2nd Place
2024,🏆 BEST IN CLASS,"<a href=""https://ciderguide.com/glintcap/medalists/townline-ciderworks/"">Townline Ciderworks</a>",Sweet Elise,Modern Cider - Sweet,Modern Cider,3rd Place
2024,🥇 GOLD,"<a href=""https://ciderguide.com/glintcap/medalists/1911-established/"">1911 Established</a>",Honeycrisp,Modern Cider - Sweet,Modern Cider,
2024,🥇 GOLD,"<a href=""https://ciderguide.com/glintcap/medalists/door-peninsula-winery/"">Door Peninsula Winery</a>",Modern Cider,Modern Cider - Sweet,Modern Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/artifact-cider-project/"">Artifact Cider Project</a>",Long Way Back,Modern Cider - Sweet,Modern Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/atlanta-hard-cider-co/"">Atlanta Hard Cider Co.</a>",Granny Smith,Modern Cider - Sweet,Modern Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/baumans-cider/"">Bauman's Cider</a>",Authentic,Modern Cider - Sweet,Modern Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/blakes-hard-cider-co/"">Blake's Hard Cider Co.</a>",American Apple,Modern Cider - Sweet,Modern Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/bold-rock-hard-cider/"">Bold Rock Hard Cider</a>",Apple,Modern Cider - Sweet,Modern Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/brooklyn-cider-house/"">Brooklyn Cider House</a>",Kinda Dry,Modern Cider - Sweet,Modern Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/harpers-ferry-brewing/"">Harpers Ferry Brewing</a>",Nice Boots,Modern Cider - Sweet,Modern Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/michigan-wine-company/"">Michigan Wine Company</a>",Sweet Cider,Modern Cider - Sweet,Modern Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/northville-winery-and-brewing-company/"">Northville Winery and Brewing Company</a>",Rockin' Cock,Modern Cider - Sweet,Modern Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/peats-original-cider/"">Peat's Original Cider</a>",The Huntsman,Modern Cider - Sweet,Modern Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/snow-capped-cider/"">Snow Capped Cider</a>",Akane,Modern Cider - Sweet,Modern Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/the-apple-barn-and-cider-mill/"">The Apple Barn And Cider Mill</a>",South Cider,Modern Cider - Sweet,Modern Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/thornbury-craft-co/"">Thornbury Craft Co.</a>",Thornbury Honeycrisp Apple Cider,Modern Cider - Sweet,Modern Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/thornbury-craft-co/"">Thornbury Craft Co.</a>",Thornbury Premium Apple Cider,Modern Cider - Sweet,Modern Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/thornbury-craft-co/"">Thornbury Craft Co.</a>",Thornbury Tragically Hip Road Apples Cider,Modern Cider - Sweet,Modern Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/townline-ciderworks/"">Townline Ciderworks</a>",Cox's Orange Pippin,Modern Cider - Sweet,Modern Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/vander-mill/"">Vander Mill</a>",Honeycrisp Cider,Modern Cider - Sweet,Modern Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/vermont-cider-company/"">Vermont Cider Company</a>",Amber,Modern Cider - Sweet,Modern Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/vermont-cider-company/"">Vermont Cider Company</a>",Big Crush,Modern Cider - Sweet,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/1911-established/"">1911 Established</a>",Original,Modern Cider - Sweet,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/2-towns-ciderhouse/"">2 Towns Ciderhouse</a>",Original Cosmic Crisp,Modern Cider - Sweet,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/blakes-hard-cider-co/"">Blake's Hard Cider Co.</a>",Orchard Reserve,Modern Cider - Sweet,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/cider-hill-cellars/"">Cider Hill Cellars</a>",Summer,Modern Cider - Sweet,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/five-maidens-cider-company/"">Five Maidens Cider Company</a>",Jackson,Modern Cider - Sweet,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/haykin-family-cider/"">Haykin Family Cider</a>",Dandee Red,Modern Cider - Sweet,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/incline-cider-company/"">Incline Cider Company</a>",Hazy Honeycrisp,Modern Cider - Sweet,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/incline-cider-company/"">Incline Cider Company</a>",Little Hazy Honeycrisp,Modern Cider - Sweet,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/kuhnhenn-brewing-co/"">Kuhnhenn Brewing Co.</a>",Kuhnhenn Apple Cider,Modern Cider - Sweet,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/minneapolis-cider-company/"">Minneapolis Cider Company</a>",Crispin Imperial,Modern Cider - Sweet,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/minneapolis-cider-company/"">Minneapolis Cider Company</a>",Crispin Original,Modern Cider - Sweet,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/peninsula-cellars/"">Peninsula Cellars</a>",Galactic,Modern Cider - Sweet,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/ponderosa-cider-co./"">Ponderosa Cider Co.</a>",Goldilocks,Modern Cider - Sweet,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/presque-isle-farm-cider/"">Presque Isle Farm Cider</a>",Ruby,Modern Cider - Sweet,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/seattle-cider-company/"">Seattle Cider Company</a>",Semi Sweet,Modern Cider - Sweet,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/sidra-el-gaitero/"">Sidra El Gaitero</a>",Gaitero Spanish Cider 100% Apple,Modern Cider - Sweet,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/snow-capped-cider/"">Snow Capped Cider</a>",Opal,Modern Cider - Sweet,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/tandem-ciders/"">Tandem Ciders</a>",Greenman,Modern Cider - Sweet,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/thornbury-craft-co/"">Thornbury Craft Co.</a>",Thornbury Strong Apple Cider,Modern Cider - Sweet,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/threadbare-cider/"">Threadbare Cider</a>",Farmhouse,Modern Cider - Sweet,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/treehive/"">Treehive</a>",Okaw Valley Cider,Modern Cider - Sweet,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/two-blokes-cider/"">Two Blokes Cider</a>",Hex Press,Modern Cider - Sweet,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/two-k-farms/"">Two K Farms</a>",Harrison,Modern Cider - Sweet,Modern Cider,
2024,🥉 BRONZE,"<a href=""https://ciderguide.com/glintcap/medalists/valas-orchard-cider/"">Vala's Orchard Cider</a>",Harvest Honeycrisp,Modern Cider - Sweet,Modern Cider,
2024,🏆 BEST IN CLASS,"<a href=""https://ciderguide.com/glintcap/medalists/weidmann-groh/"">Weidmann & Groh</a>",Speierling,Heritage Cider - Dry,Heritage Cider,1st Place
2024,🏆 BEST IN CLASS,"<a href=""https://ciderguide.com/glintcap/medalists/empyrical-orchards-cider/"">Empyrical Orchard & Cidery</a>",La Raison,Heritage Cider - Dry,Heritage Cider,2nd Place
2024,🏆 BEST IN CLASS,"<a href=""https://ciderguide.com/glintcap/medalists/michigan-wine-company/"">Michigan Wine Company</a>",Northern Spy Cider,Heritage Cider - Dry,Heritage Cider,3rd Place
2024,🥇 GOLD,"<a href=""https://ciderguide.com/glintcap/medalists/albemarle-ciderworks/"">Albemarle CiderWorks</a>",Harrison - Yates,Heritage Cider - Dry,Heritage Cider,
2024,🥇 GOLD,"<a href=""https://ciderguide.com/glintcap/medalists/artifact-cider-project/"">Artifact Cider Project</a>",Colrain Russet,Heritage Cider - Dry,Heritage Cider,
2024,🥇 GOLD,"<a href=""https://ciderguide.com/glintcap/medalists/weidmann-groh/"">Weidmann & Groh</a>",Goldparmäne,Heritage Cider - Dry,Heritage Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/19-acres-cider-co/"">19 Acres Cider Co.</a>",Gravenstein,Heritage Cider - Dry,Heritage Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/albemarle-ciderworks/"">Albemarle CiderWorks</a>",Royal Pippin,Heritage Cider - Dry,Heritage Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/albemarle-ciderworks/"">Albemarle CiderWorks</a>",Wickson,Heritage Cider - Dry,Heritage Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/annapolis-cider-company/"">Annapolis Cider Company</a>",Nouvelle Vie,Heritage Cider - Dry,Heritage Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/anxo-cider/"">ANXO Cider</a>",Happy Trees,Heritage Cider - Dry,Heritage Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/batch-brewing-company/"">Batch Brewing Company</a>",Gold Rush,Heritage Cider - Dry,Heritage Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/baumans-cider/"">Bauman's Cider</a>",Early Bird,Heritage Cider - Dry,Heritage Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/baumans-cider/"">Bauman's Cider</a>",Golden Russet SV,Heritage Cider - Dry,Heritage Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/baumans-cider/"">Bauman's Cider</a>",Harvest Moon,Heritage Cider - Dry,Heritage Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/big-fish-cider-co/"">Big Fish Cider Co.</a>",Allegheny Gold,Heritage Cider - Dry,Heritage Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/blakes-hard-cider-co/"">Blake's Hard Cider Co.</a>",Crabster,Heritage Cider - Dry,Heritage Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/blakes-hard-cider-co/"">Blake's Hard Cider Co.</a>",Spy 1,Heritage Cider - Dry,Heritage Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/carriage-house-ciders/"">Carriage House Ciders</a>",Wild!,Heritage Cider - Dry,Heritage Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/cider-hill-cellars/"">Cider Hill Cellars</a>",Spring,Heritage Cider - Dry,Heritage Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/c-e-petch-cidery-and-distillery/"">Cidrerie et Distillerie C.E.Petch</a>",Héritage,Heritage Cider - Dry,Heritage Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/deep-roots-hard-cider/"">Deep Roots Hard Cider</a>",Colonial Roots,Heritage Cider - Dry,Heritage Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/duxbury-cider-company/"">Duxbury Cider Company</a>",Heritage 1650,Heritage Cider - Dry,Heritage Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/embark-craft-ciderworks/"">Embark Craft Ciderworks</a>",Golden Russet,Heritage Cider - Dry,Heritage Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/embark-craft-ciderworks/"">Embark Craft Ciderworks</a>",Red Limbertwig,Heritage Cider - Dry,Heritage Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/empyrical-orchards-cider/"">Empyrical Orchard & Cidery</a>",August,Heritage Cider - Dry,Heritage Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/etta-place-cider/"">Etta Place Cider</a>",All-American Blend,Heritage Cider - Dry,Heritage Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/farm-club/"">Farm Club</a>",Harvest Dry,Heritage Cider - Dry,Heritage Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/good-bones-ciderhouse/"">Good Bones Ciderhouse</a>",Loretta,Heritage Cider - Dry,Heritage Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/green-bench-brewing-co/"">Green Bench Brewing Co.</a>",Chaconne,Heritage Cider - Dry,Heritage Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/green-bench-brewing-co/"">Green Bench Brewing Co.</a>",Malus 2022,Heritage Cider - Dry,Heritage Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/haykin-family-cider/"">Haykin Family Cider</a>",Dolgo Crabapple,Heritage Cider - Dry,Heritage Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/haykin-family-cider/"">Haykin Family Cider</a>",Methode Ancestrale Harrison,Heritage Cider - Dry,Heritage Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/haykin-family-cider/"">Haykin Family Cider</a>",Nehou,Heritage Cider - Dry,Heritage Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/haykin-family-cider/"">Haykin Family Cider</a>",Snowdrift Crabapple,Heritage Cider - Dry,Heritage Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/heartland-ciderworks/"">Heartland Ciderworks</a>",The Avalon,Heritage Cider - Dry,Heritage Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/heirloom-hill-cider-company/"">Heirloom Hill Cider Company</a>",Golden Brut,Heritage Cider - Dry,Heritage Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/james-creek-cider-house/"">James Creek Cider House</a>",Etude No 4 - Hewe's Crab,Heritage Cider - Dry,Heritage Cider,
2024,🥈 SILVER,"<a href=""https://ciderguide.com/glintcap/medalists/james-creek-cider-house/"">James Creek Cider House</a>",Russets & ‘Twigs,Heritage Cider - Dry,Heritage Cider,
