Year,Style,Medalist,Entry,Region,Award,🏆 Platinum,🥇🥇 Double Gold,🥇 Gold,🥈 Silver,🥉 Bronze,Judges' Pick,Total,First,Last,Years,City,Region,Country,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
2017,Perry,Portland Cider Company,Pearfect Perry,Oregon,🥇🥇 Double Gold,2,4,6,3,2,7,24,2017,2024,7,Clackamas,Oregon,USA,Active,http://portlandcider.com/,https://www.facebook.com/portlandcider,https://www.instagram.com/portlandcider/,https://maps.google.com/?cid=5897814277091816079,https://www.yelp.com/biz/portland-cider-company-clackamas,https://www.tripadvisor.com/Restaurant_Review-g51806-d6996793,https://untappd.com/w/portland-cider-company/56260
2017,Perry,Dragon's Head Cider,Perry,Washington,🥇 Gold,1,2,4,2,1,2,12,2017,2022,4,Vashon,Washington,USA,Active,http://www.dragonsheadcider.com/,,https://www.instagram.com/dragonsheadcider/,https://maps.google.com/?cid=2526574753760904159,https://www.yelp.com/biz/dragons-head-cider-vashon,,https://untappd.com/w/dragons-head-cider/36168
2017,Perry,EdenVale Winery,Pear House Cider,Oregon,🥈 Silver,1,0,1,2,1,0,5,2017,2020,3,Medford,Oregon,USA,Active,http://www.edenvalewines.com/,https://www.facebook.com/EdenValeWinery,https://www.instagram.com/edenvalewinery/,https://maps.google.com/?cid=1337477973398359922,https://www.yelp.com/biz/edenvale-winery-medford-2,https://www.tripadvisor.com/Attraction_Review-g51965-d534330,https://untappd.com/w/edenvale-winery/343164
2017,Perry,Tieton Cider Works,Sparkling Perry,Washington,🥉 Bronze,2,1,2,5,2,11,23,2017,2024,6,Yakima,Washington,USA,Active,https://tietonciderworks.com/,https://www.facebook.com/tietonciderworks/,https://www.instagram.com/tietonciderworks/,https://maps.google.com/?cid=9208093896298438407,https://www.yelp.com/biz/tieton-cider-works-yakima,https://www.tripadvisor.com/Attraction_Review-g58838-d7991577,https://untappd.com/w/tieton-cider-works/10804
2017,Perry,Salt Spring Wild Cider,Pear,British Columbia,Judges' Pick,0,0,0,0,0,2,2,2017,2017,1,Salt Spring Island,British Columbia,Canada,Active,https://saltspringwildcider.com/,https://www.facebook.com/saltspringwildcider/,https://www.instagram.com/saltspringwildcider/,https://maps.google.com/?cid=1013951137212036854,https://www.yelp.com/biz/salt-spring-wild-cider-salt-spring-island,https://www.tripadvisor.com/Attraction_Review-g154941-d10129954,https://untappd.com/w/salt-spring-wild/218214
2017,Perry,Seattle Cider Company,2015 Perry,Washington,Judges' Pick,3,3,5,7,1,16,35,2017,2024,6,Seattle,Washington,USA,Active,http://www.seattlecidercompany.com/,https://www.facebook.com/SeattleCiderCo,https://www.instagram.com/seattleciderco/,https://maps.google.com/?cid=10339393864619567754,https://www.yelp.com/biz/seattle-cider-company-seattle,,https://untappd.com/w/seattle-cider-company/75923
2017,Perry,Stem Ciders,Perry,Colorado,Judges' Pick,0,0,0,0,0,2,2,2017,2022,2,Denver,Colorado,USA,Active,http://stemciders.com/,https://www.facebook.com/stemciders/,https://www.instagram.com/stemciders/,https://maps.google.com/?cid=14948853403840338868,https://www.yelp.com/biz/stem-ciders-denver,https://www.tripadvisor.com/Restaurant_Review-g33388-d26714132,https://untappd.com/w/stem-ciders/102829
2017,Still,Liberty Ciderworks,Porter's Perfection SV,Washington,🥇🥇 Double Gold,0,2,1,2,1,6,12,2017,2022,4,Spokane,Washington,USA,Active,http://libertycider.com/,https://www.facebook.com/LibertyCider,https://www.instagram.com/libertycider/,https://maps.google.com/?cid=14868081944798289423,https://www.yelp.com/biz/liberty-ciderworks-spokane-3,https://www.tripadvisor.com/Restaurant_Review-g58759-d17373965,https://untappd.com/w/liberty-ciderworks/106336
2017,Still,Angry Orchard,Understood in Motion 01,New York,🥇 Gold,1,1,1,0,0,1,4,2017,2023,2,Walden,New York,USA,Active,https://www.angryorchard.com/,https://www.facebook.com/AngryOrchard/,https://www.instagram.com/angryorchard/,https://maps.google.com/?cid=17467507983407382578,https://www.yelp.com/biz/angry-orchard-walden-2,https://www.tripadvisor.com/Attraction_Review-g48788-d10266026,https://untappd.com/w/angry-orchard-cider-company/16455
2017,Still,Cidrerie Michel Jodoin,Rosalie Tranquille Rosé,Quebec,🥈 Silver,0,4,2,3,0,6,15,2017,2024,4,Rougemont,Quebec,Canada,Active,https://www.micheljodoin.ca/,https://www.facebook.com/CidrerieMichelJodoin/,https://www.instagram.com/cidreriemicheljodoin/,https://maps.google.com/?cid=12740295882599829633,https://www.yelp.com/biz/cidrerie-michel-jodoin-rougemont,https://www.tripadvisor.com/Attraction_Review-g1893510-d2227956,https://untappd.com/w/cidrerie-michel-jodoin/18179
2017,Still,Gowan's Heirloom Ciders,Estate Sierra Beauty,California,🥉 Bronze,1,1,2,1,1,2,8,2017,2020,3,Philo,California,USA,Active,http://www.gowansheirloomcider.com/,https://www.facebook.com/gowanscider/,https://www.instagram.com/gowanscider/,https://maps.google.com/?cid=14585432541984297394,https://www.yelp.com/biz/gowan-s-cider-philo,https://www.tripadvisor.com/Attraction_Review-g32878-d23631277,https://untappd.com/w/gowans-hard-cider/200818
2017,Still,Headwater Cider,Clesson,Massachusetts,Judges' Pick,0,0,0,0,0,2,2,2017,2018,2,Hawley,Massachusetts,USA,Active,http://www.headwatercider.com/,https://www.facebook.com/profile.php?id=100072389300487,,https://maps.google.com/?cid=10677507708826586466,,,https://untappd.com/w/headwater-cider-company/55527
2017,Still,Mountain West Cider Company,Stillwater 6 Months Barrel-Aged,Utah,Judges' Pick,0,1,0,0,0,3,4,2017,2023,2,Salt Lake City,Utah,USA,Active,http://mountainwestcider.com/,https://www.facebook.com/MountainWestHardCider/,https://www.instagram.com/mountainwestcider/,https://maps.google.com/?cid=16538924633378887108,https://www.yelp.com/biz/mountain-west-cider-salt-lake-city,,https://untappd.com/w/mountain-west-hard-cider/235312
2017,Still,Colorado Cider Company,Pato Feo,Colorado,Judges' Pick,0,1,1,0,0,2,4,2017,2024,3,Denver,Colorado,USA,Active,http://www.coloradocider.com/,https://www.facebook.com/coloradocider,https://www.instagram.com/coloradocidercompany/,https://maps.google.com/?cid=9606181927626096546,https://www.yelp.com/biz/colorado-cider-denver,https://www.tripadvisor.com/Attraction_Review-g33388-d8505809,https://untappd.com/w/colorado-cider-company/11426
2017,Single Varietal,Cidrerie Michel Jodoin,Cidre Mousseux Rosé,Quebec,🥇🥇 Double Gold,0,4,2,3,0,6,15,2017,2024,4,Rougemont,Quebec,Canada,Active,https://www.micheljodoin.ca/,https://www.facebook.com/CidrerieMichelJodoin/,https://www.instagram.com/cidreriemicheljodoin/,https://maps.google.com/?cid=12740295882599829633,https://www.yelp.com/biz/cidrerie-michel-jodoin-rougemont,https://www.tripadvisor.com/Attraction_Review-g1893510-d2227956,https://untappd.com/w/cidrerie-michel-jodoin/18179
2017,Single Varietal,Dragon's Head Cider,Kingston Black,Washington,🥇 Gold,1,2,4,2,1,2,12,2017,2022,4,Vashon,Washington,USA,Active,http://www.dragonsheadcider.com/,,https://www.instagram.com/dragonsheadcider/,https://maps.google.com/?cid=2526574753760904159,https://www.yelp.com/biz/dragons-head-cider-vashon,,https://untappd.com/w/dragons-head-cider/36168
2017,Single Varietal,Montana CiderWorks,McIntosh,Montana,🥈 Silver,0,0,0,1,0,0,1,2017,2017,1,Darby,Montana,USA,Active,http://montanacider.com/,https://www.facebook.com/Montana-CiderWorks-208483272577248/,,,,,https://untappd.com/w/montana-ciderworks/33843
2017,Single Varietal,Citizen Cider,Northern Spy,Vermont,🥉 Bronze,0,0,0,0,1,2,3,2017,2019,2,Burlington,Vermont,USA,Active,https://www.citizencider.com/,https://www.facebook.com/citizencider,https://www.instagram.com/citizencider/,https://maps.google.com/?cid=705537445817027258,https://www.yelp.com/biz/citizen-cider-burlington,https://www.tripadvisor.com/Restaurant_Review-g57201-d6924616,https://untappd.com/w/citizen-cider/24209
2017,Single Varietal,Dragon's Head Cider,Columbia Crabapple,Washington,Judges' Pick,1,2,4,2,1,2,12,2017,2022,4,Vashon,Washington,USA,Active,http://www.dragonsheadcider.com/,,https://www.instagram.com/dragonsheadcider/,https://maps.google.com/?cid=2526574753760904159,https://www.yelp.com/biz/dragons-head-cider-vashon,,https://untappd.com/w/dragons-head-cider/36168
2017,Single Varietal,Liberty Ciderworks,Hewe's Virginia Crab SV,Washington,Judges' Pick,0,2,1,2,1,6,12,2017,2022,4,Spokane,Washington,USA,Active,http://libertycider.com/,https://www.facebook.com/LibertyCider,https://www.instagram.com/libertycider/,https://maps.google.com/?cid=14868081944798289423,https://www.yelp.com/biz/liberty-ciderworks-spokane-3,https://www.tripadvisor.com/Restaurant_Review-g58759-d17373965,https://untappd.com/w/liberty-ciderworks/106336
2017,Single Varietal,Angry Orchard,Baldwin SVC,New York,Judges' Pick,1,1,1,0,0,1,4,2017,2023,2,Walden,New York,USA,Active,https://www.angryorchard.com/,https://www.facebook.com/AngryOrchard/,https://www.instagram.com/angryorchard/,https://maps.google.com/?cid=17467507983407382578,https://www.yelp.com/biz/angry-orchard-walden-2,https://www.tripadvisor.com/Attraction_Review-g48788-d10266026,https://untappd.com/w/angry-orchard-cider-company/16455
2017,Stone Fruit,Gypsy Circus,Vaudevillian,Tennessee,🥇🥇 Double Gold,0,2,0,1,1,2,6,2017,2022,3,Kingsport,Tennessee,USA,Active,https://gypsycircuscider.com/,https://www.facebook.com/GypsyCircusCider/,https://www.instagram.com/gypsycircuscider/,https://maps.google.com/?cid=4520512866262691085,https://www.yelp.com/biz/gypsy-circus-taproom-kingsport,https://www.tripadvisor.com/Attraction_Review-g55135-d12818214,https://untappd.com/w/gypsy-circus-cider-company/226304
2017,Stone Fruit,Noble Cider,The Village Tart,North Carolina,🥇 Gold,2,1,3,1,1,7,15,2017,2024,7,Asheville,North Carolina,USA,Active,http://www.noblecider.com/,https://www.facebook.com/NobleCider,https://www.instagram.com/noble_cider/,https://maps.google.com/?cid=10806279487860629423,https://www.yelp.com/biz/noble-cider-asheville,https://www.tripadvisor.com/Attraction_Review-g60742-d8604019,https://untappd.com/w/noble-cider/77407
2017,Stone Fruit,Mercier Orchards,Just Peachy,Georgia,🥈 Silver,0,1,0,1,0,1,3,2017,2024,3,Blue Ridge,Georgia,USA,Active,http://www.mercier-orchards.com/,https://www.facebook.com/mercierorchards/,https://www.instagram.com/mercierorchards/,https://maps.google.com/?cid=2895983787358586044,https://www.yelp.com/biz/mercier-apple-orchard-blue-ridge,https://www.tripadvisor.com/Attraction_Review-g34778-d633496,https://untappd.com/w/mercier-orchards/42402
2017,Stone Fruit,Laughing Dog Brewing,Uncrushable Apricot,Idaho,🥉 Bronze,0,0,1,0,1,0,2,2017,2017,1,Ponderay,Idaho,USA,Active,https://laughingdogbrewing.com/,https://www.facebook.com/LaughingDogBrewing,https://www.instagram.com/laughingdogbrewing/,https://maps.google.com/?cid=991815015646829154,https://www.yelp.com/biz/laughing-dog-brewing-ponderay,https://www.tripadvisor.com/Restaurant_Review-g35574-d2262125,https://untappd.com/w/summit-cider/168811
2017,Stone Fruit,Tieton Cider Works,Bourbon Peach,Washington,Judges' Pick,2,1,2,5,2,11,23,2017,2024,6,Yakima,Washington,USA,Active,https://tietonciderworks.com/,https://www.facebook.com/tietonciderworks/,https://www.instagram.com/tietonciderworks/,https://maps.google.com/?cid=9208093896298438407,https://www.yelp.com/biz/tieton-cider-works-yakima,https://www.tripadvisor.com/Attraction_Review-g58838-d7991577,https://untappd.com/w/tieton-cider-works/10804
2017,Stone Fruit,North Idaho Cider,Wild Cherry,Idaho,Judges' Pick,0,0,0,0,0,1,1,2017,2017,1,Hayden,Idaho,USA,Inactive,,,,,,,
2017,Stone Fruit,Citizen Cider,Companion,Vermont,Judges' Pick,0,0,0,0,1,2,3,2017,2019,2,Burlington,Vermont,USA,Active,https://www.citizencider.com/,https://www.facebook.com/citizencider,https://www.instagram.com/citizencider/,https://maps.google.com/?cid=705537445817027258,https://www.yelp.com/biz/citizen-cider-burlington,https://www.tripadvisor.com/Restaurant_Review-g57201-d6924616,https://untappd.com/w/citizen-cider/24209
2017,Fruit,Vermont Cider Company,Citrus Freak,Vermont,🥇🥇 Double Gold,0,1,1,0,1,3,6,2017,2022,3,Middlebury,Vermont,USA,Active,http://www.woodchuck.com/,https://www.facebook.com/WoodchuckCider,https://www.instagram.com/woodchuckcider/,https://maps.google.com/?cid=9402882086420367798,https://www.yelp.com/biz/woodchuck-hard-cidery-middlebury,https://www.tripadvisor.com/Attraction_Review-g57245-d7022345,https://untappd.com/w/woodchuck-cidery/611
2017,Fruit,2 Towns Ciderhouse,Two Thorns,Oregon,🥇 Gold,6,11,6,5,4,9,41,2017,2024,6,Corvallis,Oregon,USA,Active,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975
2017,Fruit,Portland Cider Company,Strawberry,Oregon,🥈 Silver,2,4,6,3,2,7,24,2017,2024,7,Clackamas,Oregon,USA,Active,http://portlandcider.com/,https://www.facebook.com/portlandcider,https://www.instagram.com/portlandcider/,https://maps.google.com/?cid=5897814277091816079,https://www.yelp.com/biz/portland-cider-company-clackamas,https://www.tripadvisor.com/Restaurant_Review-g51806-d6996793,https://untappd.com/w/portland-cider-company/56260
2017,Fruit,Portland Cider Company,Pineapple,Oregon,🥉 Bronze,2,4,6,3,2,7,24,2017,2024,7,Clackamas,Oregon,USA,Active,http://portlandcider.com/,https://www.facebook.com/portlandcider,https://www.instagram.com/portlandcider/,https://maps.google.com/?cid=5897814277091816079,https://www.yelp.com/biz/portland-cider-company-clackamas,https://www.tripadvisor.com/Restaurant_Review-g51806-d6996793,https://untappd.com/w/portland-cider-company/56260
2017,Fruit,2 Towns Ciderhouse,Made Marion,Oregon,Judges' Pick,6,11,6,5,4,9,41,2017,2024,6,Corvallis,Oregon,USA,Active,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975
2017,Fruit,Methow Valley Ciderhouse,Black Raven,Washington,Judges' Pick,0,0,0,0,0,2,2,2017,2017,1,Winthrop,Washington,USA,Active,https://methowvalleyciderhousellc.com/,https://www.facebook.com/methowcider,https://www.instagram.com/methowvalleyciderhouse/,https://maps.google.com/?cid=17865926054259925025,https://www.yelp.com/biz/methow-valley-ciderhouse-winthrop,https://www.tripadvisor.com/Restaurant_Review-g58833-d11857402,https://untappd.com/w/methow-valley-ciderhouse/12622
2017,Fruit,Vermont Cider Company,Pear,Vermont,Judges' Pick,0,1,1,0,1,3,6,2017,2022,3,Middlebury,Vermont,USA,Active,http://www.woodchuck.com/,https://www.facebook.com/WoodchuckCider,https://www.instagram.com/woodchuckcider/,https://maps.google.com/?cid=9402882086420367798,https://www.yelp.com/biz/woodchuck-hard-cidery-middlebury,https://www.tripadvisor.com/Attraction_Review-g57245-d7022345,https://untappd.com/w/woodchuck-cidery/611
2017,Hopped,Square Mile Cider,Hopped Apple Cider,Oregon,🥇🥇 Double Gold,0,1,0,1,1,2,5,2017,2019,3,Portland,Oregon,USA,Active,https://www.squaremilecider.com/,https://www.facebook.com/SquareMileCider,https://www.instagram.com/squaremilecider/,https://maps.google.com/?cid=1334101927022279814,,,https://untappd.com/w/square-mile-cider-co/62094
2017,Hopped,BC Tree Fruits Cider,Broken Ladder Apples & Hops,British Columbia,🥇 Gold,0,1,1,0,0,0,2,2017,2018,2,Kelowna,British Columbia,Canada,Active,https://www.bctreefruitscider.com/,https://www.facebook.com/bctfcider,https://www.instagram.com/bctfcider/,https://maps.google.com/?cid=14720123387889629483,https://www.yelp.com/biz/bc-tree-fruits-market-kelowna,https://www.tripadvisor.com/Attraction_Review-g154933-d8508463,https://untappd.com/w/bc-tree-fruits-cider-co/193881
2017,Hopped,Tieton Cider Works,Yakima Valley Dry Hopped,Washington,🥈 Silver,2,1,2,5,2,11,23,2017,2024,6,Yakima,Washington,USA,Active,https://tietonciderworks.com/,https://www.facebook.com/tietonciderworks/,https://www.instagram.com/tietonciderworks/,https://maps.google.com/?cid=9208093896298438407,https://www.yelp.com/biz/tieton-cider-works-yakima,https://www.tripadvisor.com/Attraction_Review-g58838-d7991577,https://untappd.com/w/tieton-cider-works/10804
2017,Hopped,2 Towns Ciderhouse,Hop & Stalk,Oregon,🥉 Bronze,6,11,6,5,4,9,41,2017,2024,6,Corvallis,Oregon,USA,Active,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975
2017,Hopped,Stowe Cider,Safety Meeting,Vermont,Judges' Pick,0,0,0,0,0,1,1,2017,2017,1,Stowe,Vermont,USA,Active,http://www.stowecider.com/,https://www.facebook.com/StoweCider,https://www.instagram.com/stowecider/,https://maps.google.com/?cid=6993680314169906863,https://www.yelp.com/biz/stowe-cider-stowe-2,https://www.tripadvisor.com/Attraction_Review-g57415-d7191104,https://untappd.com/w/stowe-cider/78100
2017,Hopped,Reverend Nat's Hard Cider,Hallelujah Hopricot,Oregon,Judges' Pick,0,0,0,0,0,4,4,2017,2017,1,Portland,Oregon,USA,Inactive,,,,,,,
2017,Hopped,Methow Valley Ciderhouse,Howling Wolf,Washington,Judges' Pick,0,0,0,0,0,2,2,2017,2017,1,Winthrop,Washington,USA,Active,https://methowvalleyciderhousellc.com/,https://www.facebook.com/methowcider,https://www.instagram.com/methowvalleyciderhouse/,https://maps.google.com/?cid=17865926054259925025,https://www.yelp.com/biz/methow-valley-ciderhouse-winthrop,https://www.tripadvisor.com/Restaurant_Review-g58833-d11857402,https://untappd.com/w/methow-valley-ciderhouse/12622
2017,Oak-Aged,Blake's Hard Cider Co.,Sir Lushington,Michigan,🥇🥇 Double Gold,2,2,4,3,1,7,19,2017,2024,7,Armada,Michigan,USA,Active,http://www.blakeshardcider.com/,https://www.facebook.com/blakeshardciderco,https://www.instagram.com/blakeshardciderco/,https://maps.google.com/?cid=15855146673119620480,https://www.yelp.com/biz/blakes-ciderhouse-and-winery-armada,https://www.tripadvisor.com/Attraction_Review-g29560-d6678501,https://untappd.com/w/blakes-hard-cider-company/86334
2017,Oak-Aged,Wandering Aengus Ciderworks,Oaked Dry,Oregon,🥇 Gold,0,0,1,0,0,0,1,2017,2017,1,Salem,Oregon,USA,Inactive,,,,,,,
2017,Oak-Aged,Seattle Cider Company,Oaked Maple,Washington,🥈 Silver,3,3,5,7,1,16,35,2017,2024,6,Seattle,Washington,USA,Active,http://www.seattlecidercompany.com/,https://www.facebook.com/SeattleCiderCo,https://www.instagram.com/seattleciderco/,https://maps.google.com/?cid=10339393864619567754,https://www.yelp.com/biz/seattle-cider-company-seattle,,https://untappd.com/w/seattle-cider-company/75923
2017,Oak-Aged,Vermont Cider Company,Cerise,Vermont,🥉 Bronze,0,1,1,0,1,3,6,2017,2022,3,Middlebury,Vermont,USA,Active,http://www.woodchuck.com/,https://www.facebook.com/WoodchuckCider,https://www.instagram.com/woodchuckcider/,https://maps.google.com/?cid=9402882086420367798,https://www.yelp.com/biz/woodchuck-hard-cidery-middlebury,https://www.tripadvisor.com/Attraction_Review-g57245-d7022345,https://untappd.com/w/woodchuck-cidery/611
2017,Oak-Aged,Vermont Cider Company,Ingrained,Vermont,Judges' Pick,0,1,1,0,1,3,6,2017,2022,3,Middlebury,Vermont,USA,Active,http://www.woodchuck.com/,https://www.facebook.com/WoodchuckCider,https://www.instagram.com/woodchuckcider/,https://maps.google.com/?cid=9402882086420367798,https://www.yelp.com/biz/woodchuck-hard-cidery-middlebury,https://www.tripadvisor.com/Attraction_Review-g57245-d7022345,https://untappd.com/w/woodchuck-cidery/611
2017,Oak-Aged,2 Towns Ciderhouse,Return of the Mack,Oregon,Judges' Pick,6,11,6,5,4,9,41,2017,2024,6,Corvallis,Oregon,USA,Active,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975
2017,Oak-Aged,Liberty Ciderworks,Stonewall,Washington,Judges' Pick,0,2,1,2,1,6,12,2017,2022,4,Spokane,Washington,USA,Active,http://libertycider.com/,https://www.facebook.com/LibertyCider,https://www.instagram.com/libertycider/,https://maps.google.com/?cid=14868081944798289423,https://www.yelp.com/biz/liberty-ciderworks-spokane-3,https://www.tripadvisor.com/Restaurant_Review-g58759-d17373965,https://untappd.com/w/liberty-ciderworks/106336
2017,Spiced/Botanical,Portland Cider Company,Pumpkin Spice,Oregon,🥇🥇 Double Gold,2,4,6,3,2,7,24,2017,2024,7,Clackamas,Oregon,USA,Active,http://portlandcider.com/,https://www.facebook.com/portlandcider,https://www.instagram.com/portlandcider/,https://maps.google.com/?cid=5897814277091816079,https://www.yelp.com/biz/portland-cider-company-clackamas,https://www.tripadvisor.com/Restaurant_Review-g51806-d6996793,https://untappd.com/w/portland-cider-company/56260
2017,Spiced/Botanical,Laughing Dog Brewing,Sundance,Idaho,🥇 Gold,0,0,1,0,1,0,2,2017,2017,1,Ponderay,Idaho,USA,Active,https://laughingdogbrewing.com/,https://www.facebook.com/LaughingDogBrewing,https://www.instagram.com/laughingdogbrewing/,https://maps.google.com/?cid=991815015646829154,https://www.yelp.com/biz/laughing-dog-brewing-ponderay,https://www.tripadvisor.com/Restaurant_Review-g35574-d2262125,https://untappd.com/w/summit-cider/168811
