Medalist,Region,🏆 Premium,🥇 Gold,🥈 Silver,🥉 Bronze,Total,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Riestra,Asturias,0,2,0,1,3,http://www.sidrariestra.com/,https://www.facebook.com/SidraRiestra,https://www.instagram.com/sidrariestra/,https://maps.google.com/?cid=2253085342105400787,,https://untappd.com/w/riestra/70601
Maley,Italy,0,1,3,0,4,https://www.maleymontblanc.com/,,,https://maps.google.com/?cid=94166741695887894,,https://untappd.com/brewery/29291
Viuda de Angelón,Asturias,0,1,2,4,7,http://www.sidraviudaangelonpomar.es/,https://www.facebook.com/sidrapomar.viudaangelon/,https://www.instagram.com/Sidraviudaangelon/,https://maps.google.com/?cid=13173562328637195239,,https://untappd.com/w/viuda-de-angela3n/142823
Naturcidre Urs Renninger,Germany,0,1,2,1,4,https://www.naturcidre.de/,,https://www.instagram.com/cidre_urs/,https://maps.google.com/?cid=9508737086378177205,,https://untappd.com/w/naturcidre-urs-renninger/460255
Mr. Plume,Latvia,0,1,2,0,3,https://www.mrplume.lv/,https://www.facebook.com/mrplumesidrs,https://www.instagram.com/mrplume_sidrs/,https://maps.google.com/?cid=9319841841199759114,,https://untappd.com/w/mr-plume/332485
Seidear,Scotland,0,1,1,0,2,https://seidear.com/,https://www.facebook.com/seidear.weescottishciderco/,https://www.instagram.com/seidear/,https://maps.google.com/?cid=227255875071520296,,https://untappd.com/TheWeeScottishCiderCo
Ciderka,Czechia,0,1,0,1,2,https://www.ciderka.cz/,https://www.facebook.com/ciderka.cz,https://www.instagram.com/ciderka.cz/,https://maps.google.com/?cid=4045068491840478725,,https://untappd.com/w/ciderka/463341
Cortina,Asturias,0,1,0,0,1,https://www.sidracortina.com/,https://www.facebook.com/sidracortina/,https://instagram.com/sidracortina,https://maps.google.com/?cid=14248814769091122504,https://www.tripadvisor.com/Restaurant_Review-g19842666-d985244,https://untappd.com/w/sidra-cortina-coro/50162
Pfeiffer’s,Poland,0,1,0,0,1,https://pfeiffers.pl/,https://www.facebook.com/pfeifferscider,https://www.instagram.com/pfeiffers_cider,https://maps.google.com/?cid=1938111950265948010,,https://untappd.com/w/pfeiffer-s-cider/541464
Brinkhall Sparkling,Finland,0,0,4,1,5,https://bsp.fi/,https://www.facebook.com/brinkhalls,https://www.instagram.com/brinkhallsparkling/,https://maps.google.com/?cid=10856204128601037922,,https://untappd.com/BrinkhallSparkling
Domaine de la Mare,France,0,0,3,1,4,https://www.domainedelamare.com/,,,https://maps.google.com/?cid=11844878661689216154,,https://untappd.com/w/domaine-de-la-mare/511923
Mistérios da Quinta Unipessoal,Madeira,0,0,3,1,4,,,https://www.instagram.com/sidrariaprazeres/,https://maps.google.com/?cid=17308535962264911617,,https://untappd.com/w/misterios-da-quinta-unipessoal-lda/530615
Iessel Cider,Netherlands,0,0,3,0,3,https://www.iesselcider.nl/,https://www.facebook.com/iesselcider/,https://www.instagram.com/iessel_cider/,https://maps.google.com/?cid=10819175046461159669,,https://untappd.com/IESSEL_Cider
Kuartango,Basque Country,0,0,3,0,3,https://kuartangosagardotegia.com/,https://www.facebook.com/SidreKuartango/,https://www.instagram.com/sidrekuartango/,https://maps.google.com/?cid=6181081338579081204,https://www.tripadvisor.com/Restaurant_Review-g25546823-d25546810,https://untappd.com/w/sidreria-kuartango/438568
Paladeus,Italy,0,0,3,0,3,http://www.paladeus.it/,https://www.facebook.com/profile.php?id=100067062071715,https://www.instagram.com/paladeus_cider/,https://maps.google.com/?cid=8605615739361573597,,https://untappd.com/w/paladeus/538622
Petritegui,Basque Country,0,0,3,0,3,https://www.petritegi.com/,https://www.facebook.com/Petritegi/,https://www.instagram.com/petritegi,https://maps.google.com/?cid=16425101977693923721,https://www.tripadvisor.com/Restaurant_Review-g1064182-d2266030,https://untappd.com/brewery/51639
Urban Farm Fermentory,United States,0,0,3,0,3,https://www.fermentory.com/,https://www.facebook.com/urbanfarmfermentory,https://www.instagram.com/fermentory/,https://maps.google.com/?cid=11975829594267048308,https://www.tripadvisor.com/Attraction_Review-g40827-d4509600,https://untappd.com/w/urban-farm-fermentory/10661
Agrícola Tralcao Limitada,Chile,0,0,2,1,3,https://www.dellacha.cl/,https://www.facebook.com/sidradellacha/,https://www.instagram.com/sidradellacha/,https://maps.google.com/?cid=11234203234144011970,,https://untappd.com/w/lemon-apple/323317
Olletako Sagardoak,Navarre,0,0,2,1,3,https://www.sidrasbaldorbanaturel.com/,https://www.facebook.com/sagarraleku/,https://www.instagram.com/sidrasbaldorbanaturel/,,,https://untappd.com/w/baldorba-sagardotegia/336919
1785 Cider,Germany,0,0,2,0,2,https://1785-cider.de/,https://www.facebook.com/1785Cider,https://www.instagram.com/1785cider/,,,https://untappd.com/1785Cider
La Cave du Tisquin,France,0,0,2,0,2,https://hervederenac.wixsite.com/la-cave-du-tisquin,,,,,https://untappd.com/w/la-cave-du-tisquin/464704
Mūrbūdu,Latvia,0,0,2,0,2,https://www.nenormalssidrs.lv/,https://www.facebook.com/murbudu/,https://www.instagram.com/murbudu_sidrs/,https://maps.google.com/?cid=15847061061259139900,,https://untappd.com/MurbuduSidraDaritava
Sendero del Valle,Canary Islands,0,0,2,0,2,,https://www.facebook.com/productosgranvalle.es,,,,https://untappd.com/w/sendero-del-valle/501949
Tuscany,Canary Islands,0,0,2,0,2,,https://www.facebook.com/profile.php?id=100093320145027,https://www.instagram.com/sidrastuscany,,,
Cydrownia Zywer,Poland,0,0,1,2,3,https://zywer.pl/,https://www.facebook.com/CydrowniaZywer,https://www.instagram.com/cydrowniazywer/,https://maps.google.com/?cid=10041242298570436703,,https://untappd.com/cydrowniazywer
Abuls Sidrs,Latvia,0,0,1,1,2,https://www.abuls.lv/,https://www.facebook.com/sidrsAbuls/,https://www.instagram.com/abuls_sidrs/,https://maps.google.com/?cid=12371654123090416644,,https://untappd.com/Abuls
Carral,León,0,0,1,1,2,https://www.sidracarral.com/,https://www.facebook.com/sidranaturalcarral/,https://www.instagram.com/sidracarral/,https://maps.google.com/?cid=2695880588601500201,,https://untappd.com/w/sidra-natural-carral/296674
Fukiware Cidrerie,Japan,0,0,1,1,2,,https://www.facebook.com/profile.php?id=100063847492626,https://www.instagram.com/fukiwarecidrerie/,https://maps.google.com/?cid=10680734196000736911,,https://untappd.com/w/fukiware-cidrerie/505991
La Maison Ferré,France,0,0,1,1,2,https://www.lamaisonferre.fr/,https://www.facebook.com/cidreduperche,https://www.instagram.com/la_maison_ferre,https://maps.google.com/?cid=13764361049917258070,https://www.tripadvisor.com/Attraction_Review-g4926524-d23694021,https://untappd.com/w/la-maison-ferrac/161574
Niebla,Canary Islands,0,0,1,1,2,https://www.sidrasdecanarias.com/,,https://www.instagram.com/sidras_niebla/,https://maps.google.com/?cid=16349686505723006702,,
Romano Pereira,Madeira,0,0,1,1,2,,,,,,https://untappd.com/w/herdade-do-pereira/538761
Azienda Agricola Tre Rii,Italy,0,0,1,0,1,https://www.agricolatrerii.it/,https://www.facebook.com/AgricolaTreRii/,https://www.instagram.com/agricolatrerii/,https://maps.google.com/?cid=16891167557912713232,https://www.tripadvisor.com/Hotel_Review-g1930460-d15521245,https://untappd.com/w/azienda-agricola-tre-rii/368277
Basicos & Coisas Unipessoal,Madeira,0,0,1,0,1,,,https://www.instagram.com/sidradomassa/,,,https://untappd.com/w/sidra-do-massa/550299
Bebidas y Derivados La Mala Sal,Peru,0,0,1,0,1,https://lamala.pe/,https://www.facebook.com/lamalaperu,https://www.instagram.com/lamala.pe/,,,https://untappd.com/w/la-mala-sidra-espumosa/488290
Hera Cider,Galicia,0,0,1,0,1,https://heracider.com/,https://www.facebook.com/heracider/,https://www.instagram.com/heracider/,https://maps.google.com/?cid=2781404824572044242,,https://untappd.com/heracider
Opre’ Cidery,Slovakia,0,0,1,0,1,https://www.opre.sk/,https://www.facebook.com/oprecider,https://www.instagram.com/oprecider/,https://maps.google.com/?cid=12156398933247073454,,https://untappd.com/Opre
Sagardotegia Oiharte,Basque Country,0,0,1,0,1,https://oiharte.com/,https://www.facebook.com/CasaRuralSidreriaOiharte,https://www.instagram.com/oiharte/,https://maps.google.com/?cid=7283611563965022999,https://www.tripadvisor.com/Restaurant_Review-g1235389-d2470675,https://untappd.com/w/oiharte-sagardotegia/351344
Sidra Fran,Asturias,0,0,1,0,1,https://sidrafran.es/,,https://www.instagram.com/sidrafran1918/,https://maps.google.com/?cid=15672106953833908893,https://www.tripadvisor.com/Restaurant_Review-g2437300-d7244547,https://untappd.com/w/sidra-fran/85954
Tencai Bodega Ergo,Chile,0,0,1,0,1,https://tencaisidra.cl/,https://www.facebook.com/profile.php?id=100063550781151,https://www.instagram.com/tencaisidra/,https://maps.google.com/?cid=5739971672897016755,,https://untappd.com/tencaisidra
Noel-Heryk Nowakowski,Poland,0,0,0,3,3,,https://www.facebook.com/cydr.tradycyjny/,,https://maps.google.com/?cid=16047236127227822461,,https://untappd.com/w/cydr-tradycyjny-trzebnica/239415
Elegast Cidery,Netherlands,0,0,0,2,2,https://elegastcider.nl/,https://www.facebook.com/elegastcidery/,https://www.instagram.com/elegast_cidery/,https://maps.google.com/?cid=5936408747857287023,,https://untappd.com/ElegastCidery
Antwerpse Cider Compagnie,Belgium,0,0,0,1,1,https://www.ottercider.be/,https://www.facebook.com/Ottercider,https://www.instagram.com/ottercider,,,https://untappd.com/Ottercider
Casa do Caramanchão,Madeira,0,0,0,1,1,https://www.bonecadecanudo.com/,https://www.facebook.com/bonecadecanudo/,https://www.instagram.com/bonecadecanudo/,https://maps.google.com/?cid=14850808685027168712,,https://untappd.com/w/casa-do-caramanchao/542700
Castelo Branco Cider,Portugal,0,0,0,1,1,http://www.castelobrancocider.com/,https://www.facebook.com/profile.php?id=100066758822950,,,,
Conun Huenu,Chile,0,0,0,1,1,https://magrittecider.com/,,https://www.instagram.com/magrittecider,,,https://untappd.com/w/magritte/553144
El Piloñu,Asturias,0,0,0,1,1,,,,https://maps.google.com/?cid=16273384405779146543,,https://untappd.com/w/el-pilo-u/398962
Sidra Daritava,Latvia,0,0,0,1,1,https://herbsts.lv/,https://www.facebook.com/herbsts.sidrs/,https://www.instagram.com/herbsts.sidrs/,,,https://untappd.com/HERBSTS
SidrAlfa,Portugal,0,0,0,1,1,https://sidraalfa.pt/,https://www.facebook.com/Sidralfa1/,https://www.instagram.com/sidra_alfa/,,,https://untappd.com/w/sidra-alfa/545661
Tencai,Chile,0,0,0,1,1,https://tencaisidra.cl/,https://www.facebook.com/profile.php?id=100063550781151,https://www.instagram.com/tencaisidra/,https://maps.google.com/?cid=5739971672897016755,,https://untappd.com/tencaisidra
Total,,14,16,83,43,156,,,,,,
