Style,Year,🏆 BIC,🥇 Gold,🥈 Silver,🥉 Bronze,Total
Traditional Cider,"<a href=""https://ciderguide.com/glintcap/years/2014-results/"">2014</a>",0,4,15,19,38
Traditional Cider,"<a href=""https://ciderguide.com/glintcap/years/2015-results/"">2015</a>",0,3,16,19,38
Traditional Cider,"<a href=""https://ciderguide.com/glintcap/years/2016-results/"">2016</a>",1,4,21,16,42
Traditional Cider,"<a href=""https://ciderguide.com/glintcap/years/2017-results/"">2017</a>",6,1,17,18,42
Traditional Cider,"<a href=""https://ciderguide.com/glintcap/years/2018-results/"">2018</a>",6,4,28,31,69
Traditional Cider,"<a href=""https://ciderguide.com/glintcap/years/2019-results/"">2019</a>",6,0,24,21,51
Traditional Cider,"<a href=""https://ciderguide.com/glintcap/years/2021-results/"">2021</a>",6,1,25,10,42
Traditional Cider,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",6,5,28,20,59
Traditional Cider,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",6,6,53,9,74
Traditional Cider,"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",6,10,29,27,72
Natural Cider,"<a href=""https://ciderguide.com/glintcap/years/2013-results/"">2013</a>",0,2,7,5,14
Natural Cider,"<a href=""https://ciderguide.com/glintcap/years/2014-results/"">2014</a>",0,0,3,3,6
Natural Cider,"<a href=""https://ciderguide.com/glintcap/years/2015-results/"">2015</a>",0,1,6,1,8
Natural Cider,"<a href=""https://ciderguide.com/glintcap/years/2016-results/"">2016</a>",1,2,5,5,13
Natural Cider,"<a href=""https://ciderguide.com/glintcap/years/2017-results/"">2017</a>",3,2,5,6,16
Natural Cider,"<a href=""https://ciderguide.com/glintcap/years/2018-results/"">2018</a>",3,0,8,6,17
Natural Cider,"<a href=""https://ciderguide.com/glintcap/years/2019-results/"">2019</a>",3,1,5,5,14
Natural Cider,"<a href=""https://ciderguide.com/glintcap/years/2021-results/"">2021</a>",3,0,9,0,12
Natural Cider,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",3,0,4,1,8
Natural Cider,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",3,0,0,6,9
Natural Cider,"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",3,1,2,6,12
Rosé Cider,"<a href=""https://ciderguide.com/glintcap/years/2019-results/"">2019</a>",3,2,8,3,16
Rosé Cider,"<a href=""https://ciderguide.com/glintcap/years/2021-results/"">2021</a>",3,3,11,2,19
Rosé Cider,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",3,3,6,4,16
Rosé Cider,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",3,1,7,6,17
Rosé Cider,"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",3,0,5,6,14
Modern Perry,"<a href=""https://ciderguide.com/glintcap/years/2005-results/"">2005</a>",1,0,0,0,1
Modern Perry,"<a href=""https://ciderguide.com/glintcap/years/2006-results/"">2006</a>",0,0,1,0,1
Modern Perry,"<a href=""https://ciderguide.com/glintcap/years/2007-results/"">2007</a>",0,0,1,0,1
Modern Perry,"<a href=""https://ciderguide.com/glintcap/years/2008-results/"">2008</a>",0,0,1,0,1
Modern Perry,"<a href=""https://ciderguide.com/glintcap/years/2009-results/"">2009</a>",0,0,2,0,2
Modern Perry,"<a href=""https://ciderguide.com/glintcap/years/2011-results/"">2011</a>",0,1,4,1,6
Modern Perry,"<a href=""https://ciderguide.com/glintcap/years/2012-results/"">2012</a>",0,0,3,3,6
Modern Perry,"<a href=""https://ciderguide.com/glintcap/years/2013-results/"">2013</a>",0,0,1,1,2
Modern Perry,"<a href=""https://ciderguide.com/glintcap/years/2014-results/"">2014</a>",0,0,1,3,4
Modern Perry,"<a href=""https://ciderguide.com/glintcap/years/2015-results/"">2015</a>",0,0,5,5,10
Modern Perry,"<a href=""https://ciderguide.com/glintcap/years/2016-results/"">2016</a>",0,1,9,9,19
Modern Perry,"<a href=""https://ciderguide.com/glintcap/years/2017-results/"">2017</a>",3,0,7,6,16
Modern Perry,"<a href=""https://ciderguide.com/glintcap/years/2018-results/"">2018</a>",3,1,4,9,17
Modern Perry,"<a href=""https://ciderguide.com/glintcap/years/2019-results/"">2019</a>",3,0,4,15,22
Modern Perry,"<a href=""https://ciderguide.com/glintcap/years/2021-results/"">2021</a>",3,0,10,7,20
Modern Perry,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",3,0,10,8,21
Modern Perry,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",3,1,8,3,15
Modern Perry,"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",3,0,7,4,14
Traditional Perry,"<a href=""https://ciderguide.com/glintcap/years/2008-results/"">2008</a>",0,0,1,0,1
Traditional Perry,"<a href=""https://ciderguide.com/glintcap/years/2009-results/"">2009</a>",0,0,1,1,2
Traditional Perry,"<a href=""https://ciderguide.com/glintcap/years/2011-results/"">2011</a>",0,3,0,0,3
Traditional Perry,"<a href=""https://ciderguide.com/glintcap/years/2012-results/"">2012</a>",0,1,2,1,4
Traditional Perry,"<a href=""https://ciderguide.com/glintcap/years/2013-results/"">2013</a>",0,0,0,4,4
Traditional Perry,"<a href=""https://ciderguide.com/glintcap/years/2014-results/"">2014</a>",1,0,2,0,3
Traditional Perry,"<a href=""https://ciderguide.com/glintcap/years/2015-results/"">2015</a>",0,0,2,3,5
Traditional Perry,"<a href=""https://ciderguide.com/glintcap/years/2016-results/"">2016</a>",1,1,5,6,13
Traditional Perry,"<a href=""https://ciderguide.com/glintcap/years/2017-results/"">2017</a>",3,0,1,4,8
Traditional Perry,"<a href=""https://ciderguide.com/glintcap/years/2018-results/"">2018</a>",3,2,7,1,13
Traditional Perry,"<a href=""https://ciderguide.com/glintcap/years/2019-results/"">2019</a>",3,1,5,4,13
Traditional Perry,"<a href=""https://ciderguide.com/glintcap/years/2021-results/"">2021</a>",3,0,2,1,6
Traditional Perry,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",3,0,4,2,9
Traditional Perry,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",3,0,1,0,4
Traditional Perry,"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",3,0,0,3,6
Fruit Cider,"<a href=""https://ciderguide.com/glintcap/years/2005-results/"">2005</a>",0,1,1,1,3
Fruit Cider,"<a href=""https://ciderguide.com/glintcap/years/2006-results/"">2006</a>",0,1,2,1,4
Fruit Cider,"<a href=""https://ciderguide.com/glintcap/years/2007-results/"">2007</a>",0,0,1,1,2
Fruit Cider,"<a href=""https://ciderguide.com/glintcap/years/2008-results/"">2008</a>",0,0,2,3,5
Fruit Cider,"<a href=""https://ciderguide.com/glintcap/years/2009-results/"">2009</a>",0,1,9,0,10
Fruit Cider,"<a href=""https://ciderguide.com/glintcap/years/2011-results/"">2011</a>",0,2,2,9,13
Fruit Cider,"<a href=""https://ciderguide.com/glintcap/years/2012-results/"">2012</a>",0,1,4,8,13
Fruit Cider,"<a href=""https://ciderguide.com/glintcap/years/2013-results/"">2013</a>",0,1,4,11,16
Fruit Cider,"<a href=""https://ciderguide.com/glintcap/years/2014-results/"">2014</a>",0,3,6,10,19
Fruit Cider,"<a href=""https://ciderguide.com/glintcap/years/2015-results/"">2015</a>",0,3,27,35,65
Fruit Cider,"<a href=""https://ciderguide.com/glintcap/years/2016-results/"">2016</a>",1,6,32,45,84
Fruit Cider,"<a href=""https://ciderguide.com/glintcap/years/2017-results/"">2017</a>",3,5,54,40,102
Fruit Cider,"<a href=""https://ciderguide.com/glintcap/years/2018-results/"">2018</a>",3,3,65,63,134
Fruit Cider,"<a href=""https://ciderguide.com/glintcap/years/2019-results/"">2019</a>",3,15,75,68,161
Fruit Cider,"<a href=""https://ciderguide.com/glintcap/years/2021-results/"">2021</a>",3,30,114,72,219
Fruit Cider,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",3,20,134,71,228
Fruit Cider,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",3,20,114,77,214
Fruit Cider,"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",3,7,87,61,158
Hopped Cider,"<a href=""https://ciderguide.com/glintcap/years/2015-results/"">2015</a>",0,1,11,15,27
Hopped Cider,"<a href=""https://ciderguide.com/glintcap/years/2016-results/"">2016</a>",1,3,13,31,48
Hopped Cider,"<a href=""https://ciderguide.com/glintcap/years/2017-results/"">2017</a>",3,2,12,20,37
Hopped Cider,"<a href=""https://ciderguide.com/glintcap/years/2018-results/"">2018</a>",3,1,16,23,43
Hopped Cider,"<a href=""https://ciderguide.com/glintcap/years/2019-results/"">2019</a>",3,2,28,13,46
Hopped Cider,"<a href=""https://ciderguide.com/glintcap/years/2021-results/"">2021</a>",3,1,30,14,48
Hopped Cider,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",3,2,15,10,30
Hopped Cider,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",3,3,16,17,39
Hopped Cider,"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",3,0,8,20,31
Botanical Cider,"<a href=""https://ciderguide.com/glintcap/years/2015-results/"">2015</a>",0,0,2,15,17
Botanical Cider,"<a href=""https://ciderguide.com/glintcap/years/2016-results/"">2016</a>",0,2,11,17,30
Botanical Cider,"<a href=""https://ciderguide.com/glintcap/years/2017-results/"">2017</a>",3,0,11,19,33
Botanical Cider,"<a href=""https://ciderguide.com/glintcap/years/2018-results/"">2018</a>",3,6,29,28,66
Botanical Cider,"<a href=""https://ciderguide.com/glintcap/years/2019-results/"">2019</a>",3,9,44,37,93
Botanical Cider,"<a href=""https://ciderguide.com/glintcap/years/2021-results/"">2021</a>",3,9,48,21,81
Botanical Cider,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",3,5,48,19,75
Botanical Cider,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",3,5,44,23,75
Botanical Cider,"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",3,3,31,18,55
Wood Aged Cider,"<a href=""https://ciderguide.com/glintcap/years/2012-results/"">2012</a>",0,0,2,2,4
Wood Aged Cider,"<a href=""https://ciderguide.com/glintcap/years/2013-results/"">2013</a>",0,0,2,9,11
Wood Aged Cider,"<a href=""https://ciderguide.com/glintcap/years/2014-results/"">2014</a>",0,2,6,4,12
Wood Aged Cider,"<a href=""https://ciderguide.com/glintcap/years/2015-results/"">2015</a>",1,4,14,14,33
Wood Aged Cider,"<a href=""https://ciderguide.com/glintcap/years/2016-results/"">2016</a>",1,3,26,18,48
Wood Aged Cider,"<a href=""https://ciderguide.com/glintcap/years/2017-results/"">2017</a>",3,3,18,28,52
Wood Aged Cider,"<a href=""https://ciderguide.com/glintcap/years/2018-results/"">2018</a>",3,2,18,33,56
Wood Aged Cider,"<a href=""https://ciderguide.com/glintcap/years/2019-results/"">2019</a>",3,0,22,35,60
Wood Aged Cider,"<a href=""https://ciderguide.com/glintcap/years/2021-results/"">2021</a>",3,2,19,24,48
Wood Aged Cider,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",3,3,27,12,45
Wood Aged Cider,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",3,3,24,7,37
Wood Aged Cider,"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",3,2,25,13,43
Wood Aged Specialty Cider,"<a href=""https://ciderguide.com/glintcap/years/2018-results/"">2018</a>",3,1,17,17,38
Wood Aged Specialty Cider,"<a href=""https://ciderguide.com/glintcap/years/2019-results/"">2019</a>",3,6,26,24,59
Wood Aged Specialty Cider,"<a href=""https://ciderguide.com/glintcap/years/2021-results/"">2021</a>",3,2,28,22,55
Wood Aged Specialty Cider,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",3,5,17,16,41
Wood Aged Specialty Cider,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",3,5,18,13,39
Wood Aged Specialty Cider,"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",3,1,8,8,20
Specialty Cider and Perry,"<a href=""https://ciderguide.com/glintcap/years/2005-results/"">2005</a>",0,3,3,4,10
Specialty Cider and Perry,"<a href=""https://ciderguide.com/glintcap/years/2006-results/"">2006</a>",0,1,3,3,7
Specialty Cider and Perry,"<a href=""https://ciderguide.com/glintcap/years/2007-results/"">2007</a>",0,1,3,3,7
Specialty Cider and Perry,"<a href=""https://ciderguide.com/glintcap/years/2008-results/"">2008</a>",0,1,1,6,8
Specialty Cider and Perry,"<a href=""https://ciderguide.com/glintcap/years/2009-results/"">2009</a>",0,3,7,0,10
Specialty Cider and Perry,"<a href=""https://ciderguide.com/glintcap/years/2011-results/"">2011</a>",0,7,12,8,27
Specialty Cider and Perry,"<a href=""https://ciderguide.com/glintcap/years/2012-results/"">2012</a>",0,3,14,13,30
Specialty Cider and Perry,"<a href=""https://ciderguide.com/glintcap/years/2013-results/"">2013</a>",1,3,15,35,54
Specialty Cider and Perry,"<a href=""https://ciderguide.com/glintcap/years/2014-results/"">2014</a>",0,10,37,34,81
Specialty Cider and Perry,"<a href=""https://ciderguide.com/glintcap/years/2015-results/"">2015</a>",1,1,14,27,43
Specialty Cider and Perry,"<a href=""https://ciderguide.com/glintcap/years/2016-results/"">2016</a>",1,5,23,38,67
Specialty Cider and Perry,"<a href=""https://ciderguide.com/glintcap/years/2017-results/"">2017</a>",3,9,50,77,139
Specialty Cider and Perry,"<a href=""https://ciderguide.com/glintcap/years/2018-results/"">2018</a>",3,5,43,50,101
Specialty Cider and Perry,"<a href=""https://ciderguide.com/glintcap/years/2019-results/"">2019</a>",3,15,52,58,128
Specialty Cider and Perry,"<a href=""https://ciderguide.com/glintcap/years/2021-results/"">2021</a>",3,12,71,54,140
Specialty Cider and Perry,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",3,10,72,37,122
Specialty Cider and Perry,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",3,12,83,37,135
Specialty Cider and Perry,"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",3,3,34,29,69
Unlimited Cider and Perry,"<a href=""https://ciderguide.com/glintcap/years/2006-results/"">2006</a>",0,1,2,2,5
Unlimited Cider and Perry,"<a href=""https://ciderguide.com/glintcap/years/2007-results/"">2007</a>",0,0,0,2,2
Unlimited Cider and Perry,"<a href=""https://ciderguide.com/glintcap/years/2008-results/"">2008</a>",0,1,3,2,6
Unlimited Cider and Perry,"<a href=""https://ciderguide.com/glintcap/years/2009-results/"">2009</a>",0,0,8,0,8
Unlimited Cider and Perry,"<a href=""https://ciderguide.com/glintcap/years/2011-results/"">2011</a>",0,0,6,10,16
Unlimited Cider and Perry,"<a href=""https://ciderguide.com/glintcap/years/2012-results/"">2012</a>",0,0,4,4,8
Unlimited Cider and Perry,"<a href=""https://ciderguide.com/glintcap/years/2013-results/"">2013</a>",0,1,2,5,8
Unlimited Cider and Perry,"<a href=""https://ciderguide.com/glintcap/years/2014-results/"">2014</a>",0,0,2,8,10
Unlimited Cider and Perry,"<a href=""https://ciderguide.com/glintcap/years/2015-results/"">2015</a>",0,0,2,8,10
Unlimited Cider and Perry,"<a href=""https://ciderguide.com/glintcap/years/2016-results/"">2016</a>",0,0,8,10,18
Unlimited Cider and Perry,"<a href=""https://ciderguide.com/glintcap/years/2017-results/"">2017</a>",3,0,1,12,16
Unlimited Cider and Perry,"<a href=""https://ciderguide.com/glintcap/years/2018-results/"">2018</a>",3,1,9,5,18
Unlimited Cider and Perry,"<a href=""https://ciderguide.com/glintcap/years/2019-results/"">2019</a>",3,0,5,8,16
Unlimited Cider and Perry,"<a href=""https://ciderguide.com/glintcap/years/2021-results/"">2021</a>",3,0,0,7,10
Unlimited Cider and Perry,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",3,0,3,1,7
Unlimited Cider and Perry,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",3,1,11,14,29
Unlimited Cider and Perry,"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",3,4,26,10,43
Ice Cider,"<a href=""https://ciderguide.com/glintcap/years/2006-results/"">2006</a>",1,1,1,0,3
Ice Cider,"<a href=""https://ciderguide.com/glintcap/years/2008-results/"">2008</a>",0,0,1,0,1
Ice Cider,"<a href=""https://ciderguide.com/glintcap/years/2009-results/"">2009</a>",0,1,2,0,3
Ice Cider,"<a href=""https://ciderguide.com/glintcap/years/2011-results/"">2011</a>",1,3,4,2,10
Ice Cider,"<a href=""https://ciderguide.com/glintcap/years/2012-results/"">2012</a>",1,1,2,0,4
Ice Cider,"<a href=""https://ciderguide.com/glintcap/years/2013-results/"">2013</a>",1,2,6,10,19
Ice Cider,"<a href=""https://ciderguide.com/glintcap/years/2014-results/"">2014</a>",1,2,5,7,15
Ice Cider,"<a href=""https://ciderguide.com/glintcap/years/2015-results/"">2015</a>",1,1,6,8,16
Ice Cider,"<a href=""https://ciderguide.com/glintcap/years/2016-results/"">2016</a>",1,4,12,10,27
Ice Cider,"<a href=""https://ciderguide.com/glintcap/years/2017-results/"">2017</a>",3,0,5,4,12
Ice Cider,"<a href=""https://ciderguide.com/glintcap/years/2018-results/"">2018</a>",3,2,5,5,15
Ice Cider,"<a href=""https://ciderguide.com/glintcap/years/2019-results/"">2019</a>",3,2,7,9,21
Ice Cider,"<a href=""https://ciderguide.com/glintcap/years/2021-results/"">2021</a>",3,4,15,2,24
Ice Cider,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",3,3,10,4,20
Ice Cider,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",3,0,5,2,10
Ice Cider,"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",3,1,6,0,10
Fortified Cider,"<a href=""https://ciderguide.com/glintcap/years/2006-results/"">2006</a>",1,1,1,0,3
Fortified Cider,"<a href=""https://ciderguide.com/glintcap/years/2007-results/"">2007</a>",0,1,2,0,3
Fortified Cider,"<a href=""https://ciderguide.com/glintcap/years/2008-results/"">2008</a>",0,0,2,2,4
Fortified Cider,"<a href=""https://ciderguide.com/glintcap/years/2009-results/"">2009</a>",1,1,4,0,6
Fortified Cider,"<a href=""https://ciderguide.com/glintcap/years/2011-results/"">2011</a>",0,5,4,0,9
Fortified Cider,"<a href=""https://ciderguide.com/glintcap/years/2012-results/"">2012</a>",0,1,2,5,8
Fortified Cider,"<a href=""https://ciderguide.com/glintcap/years/2013-results/"">2013</a>",0,2,5,0,7
Fortified Cider,"<a href=""https://ciderguide.com/glintcap/years/2014-results/"">2014</a>",1,1,5,10,17
Fortified Cider,"<a href=""https://ciderguide.com/glintcap/years/2015-results/"">2015</a>",1,0,3,7,11
Fortified Cider,"<a href=""https://ciderguide.com/glintcap/years/2016-results/"">2016</a>",1,0,4,2,7
Fortified Cider,"<a href=""https://ciderguide.com/glintcap/years/2017-results/"">2017</a>",3,0,0,2,5
Fortified Cider,"<a href=""https://ciderguide.com/glintcap/years/2018-results/"">2018</a>",3,0,4,6,13
Fortified Cider,"<a href=""https://ciderguide.com/glintcap/years/2019-results/"">2019</a>",3,0,13,4,20
Fortified Cider,"<a href=""https://ciderguide.com/glintcap/years/2021-results/"">2021</a>",3,3,8,4,18
Fortified Cider,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",3,3,4,5,15
Fortified Cider,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",3,3,14,7,27
Fortified Cider,"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",3,0,1,7,11
Spirits,"<a href=""https://ciderguide.com/glintcap/years/2006-results/"">2006</a>",1,0,1,0,2
Spirits,"<a href=""https://ciderguide.com/glintcap/years/2007-results/"">2007</a>",0,0,1,1,2
Spirits,"<a href=""https://ciderguide.com/glintcap/years/2008-results/"">2008</a>",0,0,1,1,2
Spirits,"<a href=""https://ciderguide.com/glintcap/years/2009-results/"">2009</a>",0,1,2,0,3
Spirits,"<a href=""https://ciderguide.com/glintcap/years/2011-results/"">2011</a>",1,4,2,3,10
Spirits,"<a href=""https://ciderguide.com/glintcap/years/2012-results/"">2012</a>",1,1,2,1,5
Spirits,"<a href=""https://ciderguide.com/glintcap/years/2013-results/"">2013</a>",0,0,1,1,2
Spirits,"<a href=""https://ciderguide.com/glintcap/years/2014-results/"">2014</a>",0,1,5,5,11
Spirits,"<a href=""https://ciderguide.com/glintcap/years/2015-results/"">2015</a>",0,1,2,2,5
Spirits,"<a href=""https://ciderguide.com/glintcap/years/2016-results/"">2016</a>",0,0,3,0,3
Spirits,"<a href=""https://ciderguide.com/glintcap/years/2017-results/"">2017</a>",3,0,2,2,7
Spirits,"<a href=""https://ciderguide.com/glintcap/years/2018-results/"">2018</a>",3,0,0,1,4
Spirits,"<a href=""https://ciderguide.com/glintcap/years/2019-results/"">2019</a>",3,0,1,3,7
Spirits,"<a href=""https://ciderguide.com/glintcap/years/2021-results/"">2021</a>",3,0,4,3,10
Spirits,"<a href=""https://ciderguide.com/glintcap/years/2022-results/"">2022</a>",3,0,5,1,9
Spirits,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",3,0,1,0,4
Spirits,"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",3,0,7,4,14
