Year,Award,Producer,Product,State,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
2016,🏆 Winner,Snowdrift Cider Co.,Cornice,Washington,Active,"<a href=""https://www.snowdriftcider.com/"">Website</a>","<a href=""https://www.facebook.com/snowdriftcider"">Facebook</a>","<a href=""https://www.instagram.com/snowdriftciderco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=18339570792633761066"">Google</a>","<a href=""https://www.yelp.com/biz/snowdrift-cider-east-wenatchee"">Yelp</a>",,"<a href=""https://untappd.com/w/snowdrift-cider-co/8545"">Untappd</a>"
2016,🏅 Finalist,2 Towns Ciderhouse,Traditions Riverwood,Oregon,Active,"<a href=""http://www.2townsciderhouse.com/"">Website</a>","<a href=""https://www.facebook.com/2townsciderhouse"">Facebook</a>","<a href=""https://www.instagram.com/2townscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10429935694700508047"">Google</a>","<a href=""https://www.yelp.com/biz/2-towns-ciderhouse-corvallis"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g51817-d3417221"">TripAdvisor</a>","<a href=""https://untappd.com/w/2-towns-ciderhouse/12975"">Untappd</a>"
2016,🏅 Finalist,Argus Cidery,Perennial 2013,Texas,Active,"<a href=""http://www.arguscidery.com/"">Website</a>","<a href=""https://www.facebook.com/arguscidery"">Facebook</a>","<a href=""https://www.instagram.com/arguscidery/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/argus-cidery/10075"">Untappd</a>"
2016,🏅 Finalist,Big B's Hard Cider,Grizzly Brand,Colorado,Active,"<a href=""http://www.bigbs.com/"">Website</a>","<a href=""https://www.facebook.com/visitbigbs"">Facebook</a>","<a href=""https://www.instagram.com/drinkbigbs"">Instagram</a>","<a href=""https://maps.google.com/?cid=78577038036310991"">Google</a>","<a href=""https://www.yelp.com/biz/delicious-orchards-hotchkiss"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g33588-d4471856"">TripAdvisor</a>","<a href=""https://untappd.com/w/big-bs-fabulous-juices/100389"">Untappd</a>"
2016,🏅 Finalist,Eaglemount Wine & Cider,Ginger Cider,Washington,Active,"<a href=""https://eaglemountwinery.com/"">Website</a>","<a href=""https://www.facebook.com/eaglemountwineandcider/"">Facebook</a>","<a href=""https://www.instagram.com/p/CKHZN9pLKw-/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8669789097383487844"">Google</a>","<a href=""https://www.yelp.com/biz/eaglemount-wine-and-cider-port-townsend-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g58687-d25451008"">TripAdvisor</a>","<a href=""https://untappd.com/w/eaglemount-wine-and-cider/9836"">Untappd</a>"
2016,🏅 Finalist,Eden Ciders,Sparkling Dry,Vermont,Active,"<a href=""https://www.edenciders.com/"">Website</a>","<a href=""https://facebook.com/edenspecialtyciders"">Facebook</a>","<a href=""https://www.instagram.com/edenciders/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1133141626652589768"">Google</a>","<a href=""https://www.yelp.com/biz/northeast-kingdom-tasting-center-newport"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g57335-d4675348"">TripAdvisor</a>","<a href=""https://untappd.com/w/eden-specialty-ciders/13108"">Untappd</a>"
2016,🏅 Finalist,Foggy Ridge Cider,Handmade,Virginia,Inactive,,,,,,,
2016,🏅 Finalist,Shacksbury Cider,Farmhouse,Vermont,Active,"<a href=""http://www.shacksbury.com/"">Website</a>",,"<a href=""https://www.instagram.com/shacksbury/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3671325142868281556"">Google</a>","<a href=""https://www.yelp.com/biz/shacksbury-cider-vergennes"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g57429-d12946890"">TripAdvisor</a>","<a href=""https://untappd.com/w/shacksbury-cider/129613"">Untappd</a>"
2016,🏅 Finalist,Snowdrift Cider Co.,Red,Washington,Active,"<a href=""https://www.snowdriftcider.com/"">Website</a>","<a href=""https://www.facebook.com/snowdriftcider"">Facebook</a>","<a href=""https://www.instagram.com/snowdriftciderco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=18339570792633761066"">Google</a>","<a href=""https://www.yelp.com/biz/snowdrift-cider-east-wenatchee"">Yelp</a>",,"<a href=""https://untappd.com/w/snowdrift-cider-co/8545"">Untappd</a>"
2017,🏆 Winner,Big B's Hard Cider,Grizzly Brand,Colorado,Active,"<a href=""http://www.bigbs.com/"">Website</a>","<a href=""https://www.facebook.com/visitbigbs"">Facebook</a>","<a href=""https://www.instagram.com/drinkbigbs"">Instagram</a>","<a href=""https://maps.google.com/?cid=78577038036310991"">Google</a>","<a href=""https://www.yelp.com/biz/delicious-orchards-hotchkiss"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g33588-d4471856"">TripAdvisor</a>","<a href=""https://untappd.com/w/big-bs-fabulous-juices/100389"">Untappd</a>"
2017,🏆 Winner,Blue Bee Cider,Harvest Ration,Virginia,Active,"<a href=""https://www.bluebeecider.com/"">Website</a>","<a href=""https://www.facebook.com/BlueBeeCider"">Facebook</a>","<a href=""https://www.instagram.com/bluebeecider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17761175602688407320"">Google</a>","<a href=""https://www.yelp.com/biz/blue-bee-cider-richmond"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g60893-d4749979"">TripAdvisor</a>","<a href=""https://untappd.com/w/blue-bee-cider/62200"">Untappd</a>"
2017,🏆 Winner,Far West Cider,Orchard Blend #1,California,Active,"<a href=""http://farwestcider.com/"">Website</a>","<a href=""https://www.facebook.com/FarWestCider/"">Facebook</a>","<a href=""https://www.instagram.com/farwestcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3187943752465403398"">Google</a>","<a href=""https://www.yelp.com/biz/far-west-cider-co-richmond"">Yelp</a>",,"<a href=""https://untappd.com/FarWestCiderCo"">Untappd</a>"
2017,🏆 Winner,Finger Lakes Cider House,Barrel Rye,New York,Active,"<a href=""http://www.fingerlakesciderhouse.com/"">Website</a>","<a href=""https://www.facebook.com/FingerLakesCiderHouse/"">Facebook</a>","<a href=""https://www.instagram.com/flxciderhouse/"">Instagram</a>","<a href=""https://maps.google.com/?cid=6795224421439178302"">Google</a>","<a href=""https://www.yelp.com/biz/finger-lakes-cider-house-interlaken"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g47948-d8310323"">TripAdvisor</a>","<a href=""https://untappd.com/FLCiderHouse"">Untappd</a>"
2017,🏆 Winner,Finnriver Farm & Cidery,Oak & Apple,Washington,Active,"<a href=""https://www.finnriver.com/"">Website</a>","<a href=""https://www.facebook.com/finnriver"">Facebook</a>","<a href=""https://www.instagram.com/finnriver/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1802892066987578987"">Google</a>","<a href=""https://www.yelp.com/biz/finnriver-farm-and-cidery-chimacum"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g58399-d10595866"">TripAdvisor</a>","<a href=""https://untappd.com/w/finnriver-farm-and-cidery/3008"">Untappd</a>"
2017,🏆 Winner,Humboldt Cider Company,McIntosh,California,Active,,"<a href=""https://www.facebook.com/HumboldtCider/"">Facebook</a>","<a href=""https://www.instagram.com/humboldtcidercompany/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9833726366522566502"">Google</a>","<a href=""https://www.yelp.com/biz/humboldt-cider-eureka"">Yelp</a>",,"<a href=""https://untappd.com/w/humboldt-cider-company/169054"">Untappd</a>"
2017,🏆 Winner,Mawby Vineyards,Bright,Michigan,Active,"<a href=""https://mawby.wine/"">Website</a>","<a href=""https://www.facebook.com/MAWBYwinery"">Facebook</a>","<a href=""https://www.instagram.com/mibubbly/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2471409306317185463"">Google</a>","<a href=""https://www.yelp.com/biz/l-mawby-vineyards-suttons-bay"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g42743-d2290474"">TripAdvisor</a>","<a href=""https://untappd.com/w/mawby/272550"">Untappd</a>"
2017,🏆 Winner,Mawby Vineyards,Century,Michigan,Active,"<a href=""https://mawby.wine/"">Website</a>","<a href=""https://www.facebook.com/MAWBYwinery"">Facebook</a>","<a href=""https://www.instagram.com/mibubbly/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2471409306317185463"">Google</a>","<a href=""https://www.yelp.com/biz/l-mawby-vineyards-suttons-bay"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g42743-d2290474"">TripAdvisor</a>","<a href=""https://untappd.com/w/mawby/272550"">Untappd</a>"
2017,🏆 Winner,Orchard Hill Cider Mill,Ten66 Pommeau,New York,Active,"<a href=""https://orchardhillcidermill.com/"">Website</a>",,"<a href=""https://www.instagram.com/orchardhillny/"">Instagram</a>","<a href=""https://maps.google.com/?cid=639324896791929360"">Google</a>","<a href=""https://www.yelp.com/biz/orchard-hill-cider-mill-new-hampton"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g48237-d8567457"">TripAdvisor</a>","<a href=""https://untappd.com/w/orchard-hill-cider-mill/115211"">Untappd</a>"
2017,🏆 Winner,Scar of the Sea,Hopped Cider,California,Active,"<a href=""http://www.scaroftheseawines.com/"">Website</a>",,"<a href=""https://www.instagram.com/scar_of_the_sea/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7351321639088748491"">Google</a>",,,"<a href=""https://untappd.com/w/scar-of-the-sea-wines/130497"">Untappd</a>"
2017,🏆 Winner,Slyboro Ciderhouse,La Sainte Terre,New York,Active,,"<a href=""https://www.facebook.com/slyborociderhouse/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=15135981072993122340"">Google</a>","<a href=""https://www.yelp.com/biz/hicks-orchard-granville"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g47814-d7138901"">TripAdvisor</a>","<a href=""https://untappd.com/w/slyboro-cider-house/18728"">Untappd</a>"
2017,🏆 Winner,Snowdrift Cider Co.,Reserve Perry,Washington,Active,"<a href=""https://www.snowdriftcider.com/"">Website</a>","<a href=""https://www.facebook.com/snowdriftcider"">Facebook</a>","<a href=""https://www.instagram.com/snowdriftciderco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=18339570792633761066"">Google</a>","<a href=""https://www.yelp.com/biz/snowdrift-cider-east-wenatchee"">Yelp</a>",,"<a href=""https://untappd.com/w/snowdrift-cider-co/8545"">Untappd</a>"
2017,🏆 Winner,Snowdrift Cider Co.,Pommeau,Washington,Active,"<a href=""https://www.snowdriftcider.com/"">Website</a>","<a href=""https://www.facebook.com/snowdriftcider"">Facebook</a>","<a href=""https://www.instagram.com/snowdriftciderco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=18339570792633761066"">Google</a>","<a href=""https://www.yelp.com/biz/snowdrift-cider-east-wenatchee"">Yelp</a>",,"<a href=""https://untappd.com/w/snowdrift-cider-co/8545"">Untappd</a>"
2017,🏆 Winner,Whitewood Cider Co.,Gibb's Farm Single Farm,Washington,Active,"<a href=""https://www.whitewoodcider.com/"">Website</a>","<a href=""https://www.facebook.com/WhitewoodCider/"">Facebook</a>","<a href=""https://www.instagram.com/wwcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17959127106154260964"">Google</a>","<a href=""https://www.yelp.com/biz/whitewood-cider-co-tasting-room-olympia"">Yelp</a>",,"<a href=""https://untappd.com/w/whitewood-cider-co/9380"">Untappd</a>"
2017,🏅 Finalist,Bad Seed Cider,IPC,New York,Active,"<a href=""http://www.badseedhardcider.com/"">Website</a>",,"<a href=""https://www.instagram.com/badseedcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8137566765799910733"">Google</a>","<a href=""https://www.yelp.com/biz/bad-seed-cider-company-highland"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g47892-d8621979"">TripAdvisor</a>","<a href=""https://untappd.com/w/bad-seed-cider-co/31780"">Untappd</a>"
2017,🏅 Finalist,Big B's Hard Cider,Chester Hoppearcot,Colorado,Active,"<a href=""http://www.bigbs.com/"">Website</a>","<a href=""https://www.facebook.com/visitbigbs"">Facebook</a>","<a href=""https://www.instagram.com/drinkbigbs"">Instagram</a>","<a href=""https://maps.google.com/?cid=78577038036310991"">Google</a>","<a href=""https://www.yelp.com/biz/delicious-orchards-hotchkiss"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g33588-d4471856"">TripAdvisor</a>","<a href=""https://untappd.com/w/big-bs-fabulous-juices/100389"">Untappd</a>"
2017,🏅 Finalist,Big B's Hard Cider,Bourbon Barrel Pommeau,Colorado,Active,"<a href=""http://www.bigbs.com/"">Website</a>","<a href=""https://www.facebook.com/visitbigbs"">Facebook</a>","<a href=""https://www.instagram.com/drinkbigbs"">Instagram</a>","<a href=""https://maps.google.com/?cid=78577038036310991"">Google</a>","<a href=""https://www.yelp.com/biz/delicious-orchards-hotchkiss"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g33588-d4471856"">TripAdvisor</a>","<a href=""https://untappd.com/w/big-bs-fabulous-juices/100389"">Untappd</a>"
2017,🏅 Finalist,Castle Hill Cider,1764,Virginia,Active,"<a href=""http://www.castlehillcider.com/"">Website</a>","<a href=""https://www.facebook.com/CastleHillCider"">Facebook</a>","<a href=""https://www.instagram.com/castlehillcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4112176064200176389"">Google</a>","<a href=""https://www.yelp.com/biz/castle-hill-cider-keswick"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g57873-d2359755"">TripAdvisor</a>","<a href=""https://untappd.com/w/castle-hill-cider/18303"">Untappd</a>"
2017,🏅 Finalist,Castle Hill Cider,Levity,Virginia,Active,"<a href=""http://www.castlehillcider.com/"">Website</a>","<a href=""https://www.facebook.com/CastleHillCider"">Facebook</a>","<a href=""https://www.instagram.com/castlehillcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4112176064200176389"">Google</a>","<a href=""https://www.yelp.com/biz/castle-hill-cider-keswick"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g57873-d2359755"">TripAdvisor</a>","<a href=""https://untappd.com/w/castle-hill-cider/18303"">Untappd</a>"
2017,🏅 Finalist,Eve's Cidery,2015 Darling Creek,New York,Active,"<a href=""http://www.evescidery.com/"">Website</a>","<a href=""https://www.facebook.com/evescidery/"">Facebook</a>","<a href=""https://www.instagram.com/evescidery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1539722496531765665"">Google</a>",,,"<a href=""https://untappd.com/w/eves-cidery/5396"">Untappd</a>"
2017,🏅 Finalist,Far West Cider,Pink Cascade,California,Active,"<a href=""http://farwestcider.com/"">Website</a>","<a href=""https://www.facebook.com/FarWestCider/"">Facebook</a>","<a href=""https://www.instagram.com/farwestcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3187943752465403398"">Google</a>","<a href=""https://www.yelp.com/biz/far-west-cider-co-richmond"">Yelp</a>",,"<a href=""https://untappd.com/FarWestCiderCo"">Untappd</a>"
2017,🏅 Finalist,Far West Cider,San Joaquin Sparkler,California,Active,"<a href=""http://farwestcider.com/"">Website</a>","<a href=""https://www.facebook.com/FarWestCider/"">Facebook</a>","<a href=""https://www.instagram.com/farwestcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3187943752465403398"">Google</a>","<a href=""https://www.yelp.com/biz/far-west-cider-co-richmond"">Yelp</a>",,"<a href=""https://untappd.com/FarWestCiderCo"">Untappd</a>"
2017,🏅 Finalist,Finnriver Farm & Cidery,Apple Blueberry,Washington,Active,"<a href=""https://www.finnriver.com/"">Website</a>","<a href=""https://www.facebook.com/finnriver"">Facebook</a>","<a href=""https://www.instagram.com/finnriver/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1802892066987578987"">Google</a>","<a href=""https://www.yelp.com/biz/finnriver-farm-and-cidery-chimacum"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g58399-d10595866"">TripAdvisor</a>","<a href=""https://untappd.com/w/finnriver-farm-and-cidery/3008"">Untappd</a>"
2017,🏅 Finalist,Humboldt Cider Company,3 Amigos,California,Active,,"<a href=""https://www.facebook.com/HumboldtCider/"">Facebook</a>","<a href=""https://www.instagram.com/humboldtcidercompany/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9833726366522566502"">Google</a>","<a href=""https://www.yelp.com/biz/humboldt-cider-eureka"">Yelp</a>",,"<a href=""https://untappd.com/w/humboldt-cider-company/169054"">Untappd</a>"
2017,🏅 Finalist,Scar of the Sea,California Hard Cider,California,Active,"<a href=""http://www.scaroftheseawines.com/"">Website</a>",,"<a href=""https://www.instagram.com/scar_of_the_sea/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7351321639088748491"">Google</a>",,,"<a href=""https://untappd.com/w/scar-of-the-sea-wines/130497"">Untappd</a>"
2017,🏅 Finalist,Scar of the Sea,Newtown Pippin Hard Cider,California,Active,"<a href=""http://www.scaroftheseawines.com/"">Website</a>",,"<a href=""https://www.instagram.com/scar_of_the_sea/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7351321639088748491"">Google</a>",,,"<a href=""https://untappd.com/w/scar-of-the-sea-wines/130497"">Untappd</a>"
2017,🏅 Finalist,Whitewood Cider Co.,Newtown Pippin Single Varietal,Washington,Active,"<a href=""https://www.whitewoodcider.com/"">Website</a>","<a href=""https://www.facebook.com/WhitewoodCider/"">Facebook</a>","<a href=""https://www.instagram.com/wwcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17959127106154260964"">Google</a>","<a href=""https://www.yelp.com/biz/whitewood-cider-co-tasting-room-olympia"">Yelp</a>",,"<a href=""https://untappd.com/w/whitewood-cider-co/9380"">Untappd</a>"
2017,🏅 Finalist,Wrangletown Cider Company,Feisty Dog Orchard,California,Inactive,,,,,,,
2018,🏆 Winner,Big B's Hard Cider,Chester Hoppearcot,Colorado,Active,"<a href=""http://www.bigbs.com/"">Website</a>","<a href=""https://www.facebook.com/visitbigbs"">Facebook</a>","<a href=""https://www.instagram.com/drinkbigbs"">Instagram</a>","<a href=""https://maps.google.com/?cid=78577038036310991"">Google</a>","<a href=""https://www.yelp.com/biz/delicious-orchards-hotchkiss"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g33588-d4471856"">TripAdvisor</a>","<a href=""https://untappd.com/w/big-bs-fabulous-juices/100389"">Untappd</a>"
2018,🏆 Winner,Big B's Hard Cider,Grand Cru Ciaison,Colorado,Active,"<a href=""http://www.bigbs.com/"">Website</a>","<a href=""https://www.facebook.com/visitbigbs"">Facebook</a>","<a href=""https://www.instagram.com/drinkbigbs"">Instagram</a>","<a href=""https://maps.google.com/?cid=78577038036310991"">Google</a>","<a href=""https://www.yelp.com/biz/delicious-orchards-hotchkiss"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g33588-d4471856"">TripAdvisor</a>","<a href=""https://untappd.com/w/big-bs-fabulous-juices/100389"">Untappd</a>"
2018,🏆 Winner,Big Fish Cider Co.,Allegheny Gold,Virginia,Active,"<a href=""http://www.bigfishcider.com/"">Website</a>","<a href=""https://www.facebook.com/BigFishCider/"">Facebook</a>","<a href=""https://www.instagram.com/big_fish_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10686446551531832863"">Google</a>","<a href=""https://www.yelp.com/biz/big-fish-cider-monterey"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g57982-d10413095"">TripAdvisor</a>","<a href=""https://untappd.com/w/big-fish-cider-co/202963"">Untappd</a>"
2018,🏆 Winner,Castle Hill Cider,Levity,Virginia,Active,"<a href=""http://www.castlehillcider.com/"">Website</a>","<a href=""https://www.facebook.com/CastleHillCider"">Facebook</a>","<a href=""https://www.instagram.com/castlehillcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4112176064200176389"">Google</a>","<a href=""https://www.yelp.com/biz/castle-hill-cider-keswick"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g57873-d2359755"">TripAdvisor</a>","<a href=""https://untappd.com/w/castle-hill-cider/18303"">Untappd</a>"
2018,🏆 Winner,Castle Hill Cider,Serendipity,Virginia,Active,"<a href=""http://www.castlehillcider.com/"">Website</a>","<a href=""https://www.facebook.com/CastleHillCider"">Facebook</a>","<a href=""https://www.instagram.com/castlehillcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4112176064200176389"">Google</a>","<a href=""https://www.yelp.com/biz/castle-hill-cider-keswick"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g57873-d2359755"">TripAdvisor</a>","<a href=""https://untappd.com/w/castle-hill-cider/18303"">Untappd</a>"
2018,🏆 Winner,Dragon's Head Cider,Traditional Cider,Washington,Active,"<a href=""http://www.dragonsheadcider.com/"">Website</a>",,"<a href=""https://www.instagram.com/dragonsheadcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2526574753760904159"">Google</a>","<a href=""https://www.yelp.com/biz/dragons-head-cider-vashon"">Yelp</a>",,"<a href=""https://untappd.com/w/dragons-head-cider/36168"">Untappd</a>"
2018,🏆 Winner,Dragon's Head Cider,Perry,Washington,Active,"<a href=""http://www.dragonsheadcider.com/"">Website</a>",,"<a href=""https://www.instagram.com/dragonsheadcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2526574753760904159"">Google</a>","<a href=""https://www.yelp.com/biz/dragons-head-cider-vashon"">Yelp</a>",,"<a href=""https://untappd.com/w/dragons-head-cider/36168"">Untappd</a>"
2018,🏆 Winner,Ethic Ciders,Golden Rule,California,Active,"<a href=""https://ethicciders.com/"">Website</a>",,"<a href=""https://www.instagram.com/ethicciders/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8690271967777704135"">Google</a>","<a href=""https://www.yelp.com/biz/ethic-ciders-sebastopol"">Yelp</a>",,"<a href=""https://untappd.com/w/ethic-ciders/355517"">Untappd</a>"
2018,🏆 Winner,Fable Farm Fermentory,Pronoia,Vermont,Active,"<a href=""http://fablefarmfermentory.com/"">Website</a>",,"<a href=""https://www.instagram.com/fablefarm"">Instagram</a>","<a href=""https://maps.google.com/?cid=14696832772230359937"">Google</a>",,,"<a href=""https://untappd.com/w/fable-farm-and-fermentory/169332"">Untappd</a>"
