Year,Medalist,🏆 BIC,🥇 Gold,🥈 Silver,🥉 Bronze,Total
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/anxo-cider/"">ANXO Cider</a>",0,0,4,3,7
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/bird-dog-cider/"">Bird Dog Cider</a>",0,0,3,4,7
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/papa-moon-vineyards-winery/"">Papa Moon Vineyards & Winery</a>",0,0,3,4,7
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/two-k-farms/"">Two K Farms</a>",0,0,3,4,7
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/etta-place-cider/"">Etta Place Cider</a>",0,0,2,5,7
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/high-limb-hard-cider/"">High Limb Hard Cider</a>",0,0,2,5,7
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/peninsula-cellars/"">Peninsula Cellars</a>",0,0,2,5,7
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/nashi-orchards/"">Nashi Orchards</a>",1,0,2,3,6
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/shuswap-cider-co/"">Shuswap Cider Co.</a>",1,0,2,3,6
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/thornapple-brewing-company/"">Thornapple Brewing Company</a>",1,0,1,4,6
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/punx-cider-worx/"">Punx Cider Worx</a>",0,1,4,1,6
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/heemans/"">Heeman's</a>",0,0,3,3,6
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/number-12-cider/"">Number 12 Cider</a>",0,0,3,3,6
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/eris-brewery-cider-house/"">Eris Brewery & Cider House</a>",0,0,2,4,6
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/michigan-wine-company/"">Michigan Wine Company</a>",2,0,2,1,5
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/1911-established/"">1911 Established</a>",1,1,2,1,5
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/the-cider-farm/"">The Cider Farm</a>",1,0,4,0,5
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/sapsucker-farms-yellow-belly-cidery/"">Sapsucker Farms Yellow Belly Cidery</a>",1,0,2,2,5
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/sidra-el-gaitero/"">Sidra El Gaitero</a>",1,0,2,2,5
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/odd-brothers-craft-cider/"">Odd Brothers Craft Cider</a>",0,1,2,2,5
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/farmhaus-cider-co/"">Farmhaus Cider Co.</a>",0,1,1,3,5
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/valas-orchard-cider/"">Vala's Orchard Cider</a>",0,1,1,3,5
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/headwater-cider/"">Headwater Cider</a>",0,1,0,4,5
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/19-acres-cider-co/"">19 Acres Cider Co.</a>",0,0,5,0,5
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/ponderosa-cider-co./"">Ponderosa Cider Co.</a>",0,0,3,2,5
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/the-apple-barn-and-cider-mill/"">The Apple Barn And Cider Mill</a>",0,0,3,2,5
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/yip-cider/"">Yip Cider</a>",0,0,2,3,5
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/avid-cider/"">Avid Cider</a>",0,0,0,5,5
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/zapiain/"">Zapiain</a>",3,1,0,0,4
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/townline-ciderworks/"">Townline Ciderworks</a>",2,0,2,0,4
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/kristof-farms/"">Kristof Farms</a>",1,0,3,0,4
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/chain-yard-urban-cidery/"">Chain Yard Cider</a>",1,0,2,1,4
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/west-end-cider-house/"">West End Cider House</a>",1,0,2,1,4
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/peats-original-cider/"">Peat's Original Cider</a>",0,1,3,0,4
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/clarksburg-cider/"">Clarksburg Cider</a>",0,1,2,1,4
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/big-fish-cider-co/"">Big Fish Cider Co.</a>",0,0,4,0,4
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/bold-rock-hard-cider/"">Bold Rock Hard Cider</a>",0,0,3,1,4
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/farm-club/"">Farm Club</a>",0,0,3,1,4
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/willamette-ale-cider-house/"">Willamette Ale & Cider House</a>",0,0,3,1,4
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/aeppeltreow-winery-distillery/"">AeppelTreow Winery & Distillery</a>",0,0,2,2,4
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/green-bench-brewing-co/"">Green Bench Brewing Co.</a>",0,0,2,2,4
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/heartland-ciderworks/"">Heartland Ciderworks</a>",0,0,2,2,4
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/james-creek-cider-house/"">James Creek Cider House</a>",0,0,2,2,4
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/lost-boy-cider/"">Lost Boy Cider</a>",0,0,2,2,4
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/northville-winery-and-brewing-company/"">Northville Winery and Brewing Company</a>",0,0,2,2,4
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/paha-cider/"">Paha Cider</a>",0,0,2,2,4
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/phillips-orchards-cider-mill/"">Phillips Orchards & Cider Mill</a>",0,0,2,2,4
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/sea-cider-farm-ciderhouse/"">Sea Cider Farm & Ciderhouse</a>",0,0,2,2,4
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/brooklyn-cider-house/"">Brooklyn Cider House</a>",0,0,1,3,4
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/eden-ciders/"">Eden Ciders</a>",0,0,1,3,4
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/wise-bird-cider/"">Wise Bird Cider</a>",0,0,1,3,4
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/weidmann-groh/"">Weidmann & Groh</a>",1,1,1,0,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/duxbury-cider-company/"">Duxbury Cider Company</a>",1,0,2,0,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/kuhnhenn-brewing-co/"">Kuhnhenn Brewing Co.</a>",1,0,0,2,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/albemarle-ciderworks/"">Albemarle CiderWorks</a>",0,1,2,0,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/artifact-cider-project/"">Artifact Cider Project</a>",0,1,2,0,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/brys-estate-ciderworks/"">Brys Estate Ciderworks</a>",0,1,1,1,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/red-island-cider/"">Red Island Cider</a>",0,1,1,1,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/bowen-cider-house/"">Bowen Cider House</a>",0,0,3,0,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/brew-lab-101-beer-cider-co/"">Brew Lab 101 Beer & Cider Co.</a>",0,0,3,0,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/meriwether-cider-company/"">Meriwether Cider Company</a>",0,0,3,0,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/seek-no-further-cidery/"">Seek-No-Further Cidery</a>",0,0,3,0,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/williamson-mead-and-brewing/"">Williamson Mead and Brewing</a>",0,0,3,0,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/berkshire-cider-project/"">Berkshire Cider Project</a>",0,0,2,1,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/carriage-house-ciders/"">Carriage House Ciders</a>",0,0,2,1,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/locust-cider/"">Locust Cider</a>",0,0,2,1,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/northman-cider-co/"">Northman Cider Co.</a>",0,0,2,1,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/ok-cider-co/"">OK Cider Co</a>",0,0,2,1,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/sage-bird-ciderworks/"">Sage Bird Ciderworks</a>",0,0,2,1,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/stormalong-cider/"">Stormalong Cider</a>",0,0,2,1,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/mount-diablo-cider-company/"">Mount Diablo Cider Company</a>",0,0,1,2,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/raw-cider/"">RAW Cider</a>",0,0,1,2,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/seminary-hill-orchard-cidery/"">Seminary Hill Orchard & Cidery</a>",0,0,1,2,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/sidra-mayador/"">Sidra Mayador</a>",0,0,1,2,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/stem-ciders/"">Stem Ciders</a>",0,0,1,2,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/sunken-paddle-ciderworks/"">Sunken Paddle Ciderworks</a>",0,0,1,2,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/texas-corners-brewing-company/"">Texas Corners Brewing Company</a>",0,0,1,2,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/three-falls-cider/"">Three Falls Cider</a>",0,0,1,2,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/alma-cider/"">Alma Cider</a>",2,0,0,0,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/cidrerie-verger-bilodeau/"">Cidrerie Verger Bilodeau</a>",1,0,1,0,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/heirloom-hill-cider-company/"">Heirloom Hill Cider Company</a>",1,0,1,0,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/suttons-bay-ciders/"">Suttons Bay Ciders</a>",1,0,0,1,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/door-peninsula-winery/"">Door Peninsula Winery</a>",0,1,1,0,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/colorado-cider-company/"">Colorado Cider Company</a>",0,1,0,1,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/batch-brewing-company/"">Batch Brewing Company</a>",0,0,2,0,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/blossom-barn-cidery/"">Blossom Barn Cidery</a>",0,0,2,0,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/c-e-petch-cidery-and-distillery/"">Cidrerie et Distillerie C.E.Petch</a>",0,0,2,0,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/deep-roots-hard-cider/"">Deep Roots Hard Cider</a>",0,0,2,0,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/destileria-queilen/"">Destileria Queilen</a>",0,0,2,0,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/little-apple-cidery/"">Little Apple Cidery</a>",0,0,2,0,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/pux-cider/"">Pux Cider</a>",0,0,2,0,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/schilling-cider/"">Schilling Cider</a>",0,0,2,0,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/bayfield-winery-blue-ox-cider/"">Bayfield Winery & Blue Ox Cider</a>",0,0,1,1,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/ficklewood-ciderworks/"">Ficklewood Ciderworks</a>",0,0,1,1,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/island-folk-cider-house/"">Island Folk Cider House</a>",0,0,1,1,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/offset-ciderworks/"">Offset Ciderworks</a>",0,0,1,1,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/rebel-apple/"">Rebel Apple</a>",0,0,1,1,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/tercer-ciclo/"">Tercer Ciclo</a>",0,0,1,1,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/threadbare-cider/"">Threadbare Cider</a>",0,0,1,1,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/white-winter-winery/"">White Winter Winery</a>",0,0,1,1,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/ore-creek-craft-cider/"">Ore Creek Craft Cider</a>",0,0,0,2,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/space-time-mead-cider-works/"">Space Time Mead & Cider Works</a>",0,0,0,2,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/floribunda/"">Floribunda</a>",1,0,0,0,1
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/gabbie's-premium-cider/"">Gabbie's Premium Cider</a>",1,0,0,0,1
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/sidra-trabanco/"">Sidra Trabanco</a>",1,0,0,0,1
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/ferme-black-creek/"">Ferme Black Creek</a>",0,1,0,0,1
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/blue-toad-hard-cider/"">Blue Toad Hard Cider</a>",0,0,1,0,1
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/carolinia-cider-company/"">Carolinia Cider Company</a>",0,0,1,0,1
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/copper-crow-distillery/"">Copper Crow Distillery</a>",0,0,1,0,1
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/docendo-discitur/"">Docendo Discitur</a>",0,0,1,0,1
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/good-bones-ciderhouse/"">Good Bones Ciderhouse</a>",0,0,1,0,1
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/market-garden-brewery/"">Market Garden Brewery</a>",0,0,1,0,1
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>","<a href=""https://ciderguide.com/glintcap/medalists/punta-de-fierro-fine-cider/"">Punta de Fierro Fine Cider</a>",0,0,1,0,1
