Entrant,🏆 Best in Class,🥇 Gold,🥈 Silver,🥉 Bronze,Total,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Abbey Orchards,0,0,1,2,3,,,,,,
Caledonian Cider Co,0,0,1,2,3,https://caledoniancider.com/,,,https://maps.google.com/?cid=15633057795289615854,,https://untappd.com/CaledonianCiderCo
Halfpenny Green Cider,0,0,1,2,3,https://www.halfpennygreencider.co.uk/,https://www.facebook.com/p/The-Halfpenny-Green-Cider-Company-100063680012599/,https://www.instagram.com/halfpennycider/,https://maps.google.com/?cid=6102481507786239286,,https://untappd.com/w/halfpenny-green/413928
Paul Rendell,0,0,1,2,3,,,,,,
Showerings Cider Mill,0,0,1,2,3,,,,,,
Wyatts,0,0,1,2,3,,,,,,
Dorset Nectar,0,0,1,1,2,https://dorsetnectar.co.uk/,https://www.facebook.com/dorsetnectarcider,https://www.instagram.com/dorsetnectarciderco/,https://maps.google.com/?cid=12382606142379540152,https://www.tripadvisor.com/Attraction_Review-g551706-d7075524,https://untappd.com/w/dorset-nectar/33352
Draig Development,0,0,1,1,2,,,,,,
Jon Steadman,0,0,1,1,2,,,,,,
Lisa Letchford,0,0,1,1,2,,,,,,
The Parrett Cider Company,0,0,1,1,2,https://www.parrettcider.co.uk/,https://www.facebook.com/ParrettCider/,https://www.instagram.com/parrettcider/,,,https://untappd.com/w/the-parrett-cider-company/505123
Wilcox Cider,0,0,1,1,2,,https://www.facebook.com/wilcoxcider,,,,https://untappd.com/w/wilcox-cider/190406
Better Cider,0,0,1,0,1,https://www.bristol.ac.uk/external-estate/fenswoodfarm/better-cider/,,https://www.instagram.com/bettercider/,,,
Crackington Cider Co.,0,0,1,0,1,https://www.crackingtoncider.co.uk/,https://www.facebook.com/crackingtoncider.co.uk/,https://www.instagram.com/crackingtonciderco/,https://maps.google.com/?cid=16710346755802957363,,https://untappd.com/w/crackington-cider-co/444510
Gabe Cook,0,0,1,0,1,,,,,,
Hitchcox Cider,0,0,1,0,1,https://hitchcoxcider.co.uk/,https://www.facebook.com/HitchcoxCider/,https://www.instagram.com/hitchcox_cider/,https://maps.google.com/?cid=6038804049112704578,,https://untappd.com/w/hitchcox-cider-orchard-cottage-cider-company/130683
Peter Captainino,0,0,1,0,1,,,,,,
Pip Bailey,0,0,1,0,1,,,,,,
The Orchard,0,0,1,0,1,,,,,,
Tinston Wines & Ciders,0,0,1,0,1,https://tinstonwinecider.com/,https://www.facebook.com/tinstonwinecider/,https://www.instagram.com/tinstonwinecider/,https://maps.google.com/?cid=11983981920527513059,,https://untappd.com/w/tinston/488266
Tom Cernohous,0,0,1,0,1,,,,,,
Chris Conroy,0,0,0,3,3,,,,,,
Molly & Jasmine's Cider,0,0,0,3,3,,,,,,
Shed Cider,0,0,0,3,3,https://www.shedcider.com/,https://www.facebook.com/p/Shed-Cider-100054294351085/,https://www.instagram.com/shed.cider/,,,https://untappd.com/w/shed-cider/415161
Harry's Cider,0,0,0,2,2,https://www.harryscidercompany.co.uk/,https://www.facebook.com/harryscider/,https://www.instagram.com/harrys_cider/,https://maps.google.com/?cid=8158521266898778933,https://www.tripadvisor.com/Attraction_Review-g663809-d15201249,https://untappd.com/w/harry-s-cider/74293
Mark Palfrey & Jonathan Pepper,0,0,0,2,2,,,,,,
Marshwood Vale Cider,0,0,0,2,2,https://www.marshwoodvalecider.com/,https://www.facebook.com/MarshwoodValeCider/,,https://maps.google.com/?cid=3062253782181970531,,
Park Farm,0,0,0,2,2,,,,,,
Artistraw Cider,0,0,0,1,1,https://www.artistraw.co.uk/,,https://www.instagram.com/artistrawcider/,https://maps.google.com/?cid=12066394488060764321,,https://untappd.com/w/artistraw-cider/438538
Honey's Cider,0,0,0,1,1,https://www.honeyscider.co.uk/,https://www.facebook.com/honeysciderbath/,https://www.instagram.com/honeyscider/,,,https://untappd.com/w/honey-and-daughters-honey-midford/67111
Mount Vale,0,0,0,1,1,,,,,,
Pagetts Traditional Cider,0,0,0,1,1,,,,,,
Pontymeddyg Cider,0,0,0,1,1,,,,,,
The Tor Cider Company,0,0,0,1,1,https://www.torcider.co.uk/,,https://www.instagram.com/torcider/,https://maps.google.com/?cid=14850884087729122374,,https://untappd.com/w/the-tor-cider-company/264398
The Wharie Experience,0,0,0,1,1,,,,,,
Udders Orchard Cider,0,0,0,1,1,https://www.uddersorchardcider.co.uk/,https://www.facebook.com/uddersorchardcider/,https://www.instagram.com/uddersorchardcider/,https://maps.google.com/?cid=6626754989867518062,,https://untappd.com/UddersOrchard
Wadys Cider,0,0,0,1,1,,,,,,
Watchet Cider Company,0,0,0,1,1,,,,,,
West Croft Cider,0,0,0,1,1,https://www.somersetcidervinegarco.co.uk/westcroft-cider-and-janets-jungle-juice.html,https://www.facebook.com/SomersetCiderVinegar/,,,,https://untappd.com/w/west-croft-cider/31172
Woodredding Farm Cider,0,0,0,1,1,https://www.woodreddingcider.co.uk/,https://www.facebook.com/woodreddingcider,,https://maps.google.com/?cid=13540344738396319268,,https://untappd.com/w/woodredding/156024
Total,13,30,133,155,331,,,,,,
