Year,Style,Medalist,Entry,Medal,Status,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
2020,AOP Cidre Pays d'Auge,Ferme Cidricole Desvoye,Cuvée premières 2019,🥇 Or,Active,"<a href=""https://www.cidre-calvados-desvoye.fr/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100015340218972"">Facebook</a>","<a href=""https://www.instagram.com/calvados_desvoye/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9466556986578009265"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g14010617-d21111014"">TripAdvisor</a>","<a href=""https://untappd.com/w/cidrerie-desvoye/264267"">Untappd</a>"
2020,AOP Cidre Pays d'Auge,Manoir de Grandouet,Le Manoir de Grandouet - Cuvée réserve 2018,🥈 Argent,Active,"<a href=""https://www.manoir-de-grandouet.fr/"">Website</a>","<a href=""https://www.facebook.com/grandval.fr/"">Facebook</a>","<a href=""https://www.instagram.com/manoirdegrandouet/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1664850146101306839"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g672825-d6994534"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/18942"">Untappd</a>"
2020,Cidre du Pays de Caux,Cidrerie Godefroy,Récolte 2019,🥇 Or,Active,"<a href=""https://www.ecomuseeducidre.fr/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=5707167707581907830"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1572450-d3428587"">TripAdvisor</a>","<a href=""https://untappd.com/w/vincent-et-marieclaire-godefroy/207560"">Untappd</a>"
2020,Cidre du Pays de Caux,Les Vergers du Quesnay,Les Vergers du Quesnay - Brut 2019,🥈 Argent,Active,"<a href=""https://www.lesvergersduquesnay.fr/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100058435991351"">Facebook</a>","<a href=""https://www.instagram.com/les_vergers_du_quesnay/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15904214834922492181"">Google</a>",,"<a href=""https://untappd.com/w/les-vergers-du-quesnay/228234"">Untappd</a>"
2020,Cidre du Perche,Cidrerie Traditionnelle du Perche,L'Hermitière Brut 2019,🥇 Or,Active,"<a href=""http://www.cidrerie-traditionnelle-du-perche.fr/"">Website</a>","<a href=""https://www.facebook.com/cidrerietraditionnelleduperche"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=4098308531613353726"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-traditionnelle-du-perche/28040"">Untappd</a>"
2020,Cidre du Perche,Cidrerie Traditionnelle du Perche,L'Hermitière - Demi-sec 2019,🥈 Argent,Active,"<a href=""http://www.cidrerie-traditionnelle-du-perche.fr/"">Website</a>","<a href=""https://www.facebook.com/cidrerietraditionnelleduperche"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=4098308531613353726"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-traditionnelle-du-perche/28040"">Untappd</a>"
2020,Cidre du Perche,Cidrerie Traditionnelle du Perche,L'Hermitière Brut 2019,🥈 Argent,Active,"<a href=""http://www.cidrerie-traditionnelle-du-perche.fr/"">Website</a>","<a href=""https://www.facebook.com/cidrerietraditionnelleduperche"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=4098308531613353726"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-traditionnelle-du-perche/28040"">Untappd</a>"
2020,Cidre du Perche,Cidrerie Traditionnelle du Perche,L'Hermitière Brut 2019,🥈 Argent,Active,"<a href=""http://www.cidrerie-traditionnelle-du-perche.fr/"">Website</a>","<a href=""https://www.facebook.com/cidrerietraditionnelleduperche"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=4098308531613353726"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-traditionnelle-du-perche/28040"">Untappd</a>"
2020,AOP Poiré Domfront,Pacory,Pacory Ferme des Grimaux - Le Cadet 2019,🥇 Or,Active,"<a href=""https://www.pacory.eu/"">Website</a>","<a href=""https://www.facebook.com/PacoryFermedesGrimaux"">Facebook</a>","<a href=""https://www.instagram.com/pacoryfermedesgrimaux"">Instagram</a>","<a href=""https://maps.google.com/?cid=15821520734729613945"">Google</a>",,"<a href=""https://untappd.com/brewery/32360"">Untappd</a>"
2020,AOP Poiré Domfront,Famille Guesdon,La Cave Normande 2019,🥈 Argent,Active,"<a href=""https://famille-guesdon.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100057212210806"">Facebook</a>","<a href=""https://www.instagram.com/lacavenormandeguesdon/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13182761816105385497"">Google</a>",,"<a href=""https://untappd.com/w/guesdon-p-re-et-fils/343009"">Untappd</a>"
2020,IGP Cidre de Normandie,Cidre Viard-Bayeux,Cidre Artisanal de Bayeux - Brut 2019,🥇 Or,Active,"<a href=""https://cidrebayeux.com/"">Website</a>","<a href=""https://www.facebook.com/CidresBayeux"">Facebook</a>","<a href=""https://www.instagram.com/cidrerie_bayeux/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13233255599279949282"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g187181-d3454062"">TripAdvisor</a>","<a href=""https://untappd.com/w/cidrerie-viard/26008"">Untappd</a>"
2020,IGP Cidre de Normandie,Cidrerie Dujardin,Dujardin 2019,🥇 Or,Active,"<a href=""http://www.cidres-dujardin.fr/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=10438887429258835490"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-dujardin/20309"">Untappd</a>"
2020,IGP Cidre de Normandie,Le Clos des Citots,Clos des Citots - Doux 2019,🥇 Or,Active,"<a href=""https://www.leclosdescitots.fr/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100066990398769"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=3330784351320305206"">Google</a>",,"<a href=""https://untappd.com/w/le-clos-des-citots-gerard-lenormand/87074"">Untappd</a>"
2020,IGP Cidre de Normandie,Le Pressoir d'Or,Le Pressoir d'Or - Demi-sec 2019,🥇 Or,Active,"<a href=""http://www.pressoirdor.com/"">Website</a>",,"<a href=""https://www.instagram.com/lepressoirdor/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11174929092699381803"">Google</a>",,"<a href=""https://untappd.com/w/le-pressoir-d-or/210218"">Untappd</a>"
2020,IGP Cidre de Normandie,Cidre Viard-Bayeux,Cidre Artisanal de Bayeux - Doux 2019,🥈 Argent,Active,"<a href=""https://cidrebayeux.com/"">Website</a>","<a href=""https://www.facebook.com/CidresBayeux"">Facebook</a>","<a href=""https://www.instagram.com/cidrerie_bayeux/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13233255599279949282"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g187181-d3454062"">TripAdvisor</a>","<a href=""https://untappd.com/w/cidrerie-viard/26008"">Untappd</a>"
2020,IGP Cidre de Normandie,Cidrerie Dujardin,Dujardin - Doux 2019,🥈 Argent,Active,"<a href=""http://www.cidres-dujardin.fr/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=10438887429258835490"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-dujardin/20309"">Untappd</a>"
2020,IGP Cidre de Normandie,Écusson,Ecusson - Brut généreux 2019,🥈 Argent,Active,"<a href=""https://www.cidre-ecusson.com/"">Website</a>","<a href=""https://www.facebook.com/CidreEcusson/"">Facebook</a>","<a href=""https://www.instagram.com/cidreecusson/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4055962133986878795"">Google</a>",,"<a href=""https://untappd.com/w/cidres-ecusson/15641"">Untappd</a>"
2020,IGP Cidre de Normandie,Écusson,Ecusson - Doux fruité 2019,🥈 Argent,Active,"<a href=""https://www.cidre-ecusson.com/"">Website</a>","<a href=""https://www.facebook.com/CidreEcusson/"">Facebook</a>","<a href=""https://www.instagram.com/cidreecusson/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4055962133986878795"">Google</a>",,"<a href=""https://untappd.com/w/cidres-ecusson/15641"">Untappd</a>"
2020,IGP Cidre de Normandie,La Cave de la Loterie,Cave de la Loterie - Fraîcheur 2018,🥈 Argent,Active,"<a href=""https://www.cavedelaloterie.fr/"">Website</a>","<a href=""https://www.facebook.com/cavedelaloterie"">Facebook</a>","<a href=""https://www.instagram.com/cave_de_la_loterie/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14052572828101776269"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g672828-d12674111"">TripAdvisor</a>","<a href=""https://untappd.com/w/cave-de-la-loterie/234216"">Untappd</a>"
2020,IGP Cidre de Normandie,Le Pressoir d'Or,Le Pressoir d'Or - Demi-sec 2019,🥈 Argent,Active,"<a href=""http://www.pressoirdor.com/"">Website</a>",,"<a href=""https://www.instagram.com/lepressoirdor/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11174929092699381803"">Google</a>",,"<a href=""https://untappd.com/w/le-pressoir-d-or/210218"">Untappd</a>"
2020,IGP Cidre de Normandie,Les Vergers de Ducy,Domaine de la Flaguerie - Fraîcheur 2018,🥈 Argent,Active,"<a href=""https://lesvergersdeducy.fr/"">Website</a>","<a href=""https://www.facebook.com/LesVergersdeDucy/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=5658619103463764772"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g5105596-d5012299"">TripAdvisor</a>","<a href=""https://untappd.com/w/les-vergers-de-ducy/68480"">Untappd</a>"
2020,Cidre Rosé,Cidrerie Dujardin,Dujardin 2019,🥇 Or,Active,"<a href=""http://www.cidres-dujardin.fr/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=10438887429258835490"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-dujardin/20309"">Untappd</a>"
2020,Cidre Rosé,Écusson,Ecusson Rosé naturel 2019,🥈 Argent,Active,"<a href=""https://www.cidre-ecusson.com/"">Website</a>","<a href=""https://www.facebook.com/CidreEcusson/"">Facebook</a>","<a href=""https://www.instagram.com/cidreecusson/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4055962133986878795"">Google</a>",,"<a href=""https://untappd.com/w/cidres-ecusson/15641"">Untappd</a>"
2020,Cidre Rosé,Le Pressoir d'Or,Le Pressoir d'Or 2019,🥈 Argent,Active,"<a href=""http://www.pressoirdor.com/"">Website</a>",,"<a href=""https://www.instagram.com/lepressoirdor/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11174929092699381803"">Google</a>",,"<a href=""https://untappd.com/w/le-pressoir-d-or/210218"">Untappd</a>"
2020,Cidre,Cidre de Grévilly,Le Cidre de Grévilly - Demi-sec 2018,🥇 Or,Active,"<a href=""https://cidre-grevilly.jimdofree.com/"">Website</a>",,,,,"<a href=""https://untappd.com/w/brigitte-criaud-le-cidre-de-grevilly/212195"">Untappd</a>"
2020,Cidre,Domaine Duclos Fougeray,Domaine Duclos Denise - La Douce 2019,🥇 Or,Active,"<a href=""https://www.duclosfougeray.com/"">Website</a>","<a href=""https://www.facebook.com/domaine.duclosfougeray"">Facebook</a>","<a href=""https://www.instagram.com/domaine_duclos_fougeray/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12398185041013701779"">Google</a>",,"<a href=""https://untappd.com/brewery/103532"">Untappd</a>"
2020,Cidre,Ferme de la Sapinière,Ferme de la Sapinière - Brut 2019,🥇 Or,Active,"<a href=""https://www.producteur-cidre.com/"">Website</a>","<a href=""https://www.facebook.com/fermedelasapiniere/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=13033032790677741913"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1462420-d4961506"">TripAdvisor</a>","<a href=""https://untappd.com/w/ferme-de-la-sapini-re/124296"">Untappd</a>"
2020,Cidre,Ferme du Lieu-Roussel,Lieu Roussel - Demi-sec 2018,🥇 Or,Active,"<a href=""https://lieu-roussel.fr/"">Website</a>",,"<a href=""https://www.instagram.com/ferme_du_lieu_roussel/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14333694268932285992"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1918936-d6581852"">TripAdvisor</a>","<a href=""https://untappd.com/w/lieu-roussel/276562"">Untappd</a>"
2020,Cidre,Les Vergers du Chouquet,Les Vergers du Chouquet - Demi-sec 2019,🥇 Or,Active,,,,"<a href=""https://maps.google.com/?cid=4633427283115041645"">Google</a>",,"<a href=""https://untappd.com/w/les-vergers-du-chouquet/50301"">Untappd</a>"
2020,Cidre,Cidre de Grévilly,Le Cidre de Grévilly - Brut 2019,🥈 Argent,Active,"<a href=""https://cidre-grevilly.jimdofree.com/"">Website</a>",,,,,"<a href=""https://untappd.com/w/brigitte-criaud-le-cidre-de-grevilly/212195"">Untappd</a>"
2020,Cidre,Domaine Olivier,Le Domaine Olivier - Brut 2019,🥈 Argent,Active,"<a href=""https://www.ledomaineolivier.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=12832839833696798380"">Google</a>",,"<a href=""https://untappd.com/w/domaine-olivier/337350"">Untappd</a>"
2020,Cidre,Famille Guesdon,La Cave Normande - Brut 2019,🥈 Argent,Active,"<a href=""https://famille-guesdon.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100057212210806"">Facebook</a>","<a href=""https://www.instagram.com/lacavenormandeguesdon/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13182761816105385497"">Google</a>",,"<a href=""https://untappd.com/w/guesdon-p-re-et-fils/343009"">Untappd</a>"
2020,Cidre,Ferme de Cutesson,Ferme de Cutesson - Brut 2019,🥈 Argent,Active,,,,"<a href=""https://maps.google.com/?cid=14198095900648884855"">Google</a>",,"<a href=""https://untappd.com/w/ferme-de-cutesson/307176"">Untappd</a>"
2020,Cidre,Ferme de l'Hermitière,Ferme de l'Hermitière -Demi-sec 2019,🥈 Argent,Inactive,,,,,,
2020,Cidre,Ferme de la Sapinière,Ferme de la Sapinière - Apple oak 2018,🥈 Argent,Active,"<a href=""https://www.producteur-cidre.com/"">Website</a>","<a href=""https://www.facebook.com/fermedelasapiniere/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=13033032790677741913"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1462420-d4961506"">TripAdvisor</a>","<a href=""https://untappd.com/w/ferme-de-la-sapini-re/124296"">Untappd</a>"
2020,Cidre,Ferme des Noës,La Ferme des Noës - Demi-sec 2019,🥈 Argent,Active,"<a href=""https://www.fermedesnoes.com/"">Website</a>",,"<a href=""https://www.instagram.com/fermedesnoes/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16067236232754040277"">Google</a>",,"<a href=""https://untappd.com/w/ferme-des-no-s/72679"">Untappd</a>"
2020,Cidre,Ferme des Noës,La Ferme des Noës - Fruité 2018,🥈 Argent,Active,"<a href=""https://www.fermedesnoes.com/"">Website</a>",,"<a href=""https://www.instagram.com/fermedesnoes/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16067236232754040277"">Google</a>",,"<a href=""https://untappd.com/w/ferme-des-no-s/72679"">Untappd</a>"
2020,Cidre,Ferme du Manoir du Val,Cidre du Pays de la Risle - Brut 2019,🥈 Argent,Active,"<a href=""https://www.manoirduval.fr/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=848420197404289170"">Google</a>",,
2020,Cidre,La Ferme de Billy,Ferme de Billy - Corsé 2018,🥈 Argent,Active,"<a href=""https://www.ferme-de-billy.com/"">Website</a>","<a href=""https://www.facebook.com/lafermedebilly/"">Facebook</a>","<a href=""https://www.instagram.com/lafermedebilly/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11023078698699122653"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g7741562-d6974742"">TripAdvisor</a>","<a href=""https://untappd.com/w/la-ferme-de-billy/247621"">Untappd</a>"
2020,Cidre,La Ferme de Billy,Ferme de Billy - Fraîcheur 2018,🥈 Argent,Active,"<a href=""https://www.ferme-de-billy.com/"">Website</a>","<a href=""https://www.facebook.com/lafermedebilly/"">Facebook</a>","<a href=""https://www.instagram.com/lafermedebilly/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11023078698699122653"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g7741562-d6974742"">TripAdvisor</a>","<a href=""https://untappd.com/w/la-ferme-de-billy/247621"">Untappd</a>"
2020,Cidre,Le Domaine du Tertre,Domaine du Tertre - Cuvée acidulée 2019,🥈 Argent,Active,"<a href=""https://domaine-du-tertre.com/"">Website</a>","<a href=""https://www.facebook.com/le.tertre.officiel"">Facebook</a>","<a href=""https://www.instagram.com/domaine.du.tertre/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10069708901253125019"">Google</a>",,"<a href=""https://untappd.com/w/domaine-du-tertre/394887"">Untappd</a>"
2020,Cidre,Le P'tit Clos Normand,Le P'tit Clos Normand - Extra-brut 2019,🥈 Argent,Active,"<a href=""https://www.boeuf-cidre.com/"">Website</a>","<a href=""https://www.facebook.com/francoisxavier.craquelin/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=13679042805577864069"">Google</a>",,
2020,Cidre,Les Normandises du Pradon,Les Normandises du Pradon - Extra-brut 2019,🥈 Argent,Active,"<a href=""http://lesnormandisesdupradon.com/"">Website</a>","<a href=""https://www.facebook.com/lesnormandisesdupradon/"">Facebook</a>","<a href=""https://www.instagram.com/lesnormandisesdupradon/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5034289693754776537"">Google</a>",,"<a href=""https://untappd.com/w/ferme-du-pradon/228438"">Untappd</a>"
2020,Cidre,Pacory,Pacory Ferme des Grimaux - Doux 2019,🥈 Argent,Active,"<a href=""https://www.pacory.eu/"">Website</a>","<a href=""https://www.facebook.com/PacoryFermedesGrimaux"">Facebook</a>","<a href=""https://www.instagram.com/pacoryfermedesgrimaux"">Instagram</a>","<a href=""https://maps.google.com/?cid=15821520734729613945"">Google</a>",,"<a href=""https://untappd.com/brewery/32360"">Untappd</a>"
2020,Cidre de Glace,Les Vergers de Ducy,Domaine de la Flaguerie 2017,🥇 Or,Active,"<a href=""https://lesvergersdeducy.fr/"">Website</a>","<a href=""https://www.facebook.com/LesVergersdeDucy/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=5658619103463764772"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g5105596-d5012299"">TripAdvisor</a>","<a href=""https://untappd.com/w/les-vergers-de-ducy/68480"">Untappd</a>"
2020,Cidre de Glace,Domaine Duclos Fougeray,Domaine Duclos 2018,🥈 Argent,Active,"<a href=""https://www.duclosfougeray.com/"">Website</a>","<a href=""https://www.facebook.com/domaine.duclosfougeray"">Facebook</a>","<a href=""https://www.instagram.com/domaine_duclos_fougeray/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12398185041013701779"">Google</a>",,"<a href=""https://untappd.com/brewery/103532"">Untappd</a>"
2020,Cidre de Glace,Ferme des Noës,La Ferme des Noës 2018,🥈 Argent,Active,"<a href=""https://www.fermedesnoes.com/"">Website</a>",,"<a href=""https://www.instagram.com/fermedesnoes/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16067236232754040277"">Google</a>",,"<a href=""https://untappd.com/w/ferme-des-no-s/72679"">Untappd</a>"
2020,Cidre de Glace,Les Normandises du Pradon,Les Normandises du Pradon 2019,🥈 Argent,Active,"<a href=""http://lesnormandisesdupradon.com/"">Website</a>","<a href=""https://www.facebook.com/lesnormandisesdupradon/"">Facebook</a>","<a href=""https://www.instagram.com/lesnormandisesdupradon/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5034289693754776537"">Google</a>",,"<a href=""https://untappd.com/w/ferme-du-pradon/228438"">Untappd</a>"
2020,Cidre de Glace,Théo Capelle,Théo Capelle - Kapel Ice 2019,🥈 Argent,Active,"<a href=""https://www.theo-capelle.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100054206274447"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=3221607950662529223"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g187183-d3406164"">TripAdvisor</a>","<a href=""https://untappd.com/w/cidrerie-tha-c-o-capelle/124517"">Untappd</a>"
2020,Cidre Aromatisé,Domaine de la Galotière,La Galotière - Le houblonné 2019,🥈 Argent,Active,"<a href=""https://www.lagalotiere.fr/"">Website</a>","<a href=""https://www.facebook.com/lagalotiere"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=3334578271943351430"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g608796-d12550194"">TripAdvisor</a>","<a href=""https://untappd.com/w/domaine-de-la-galotiere/38855"">Untappd</a>"
2020,Cidre Aromatisé,Écusson,Ecusson Cidre et poire subtil 2019,🥈 Argent,Active,"<a href=""https://www.cidre-ecusson.com/"">Website</a>","<a href=""https://www.facebook.com/CidreEcusson/"">Facebook</a>","<a href=""https://www.instagram.com/cidreecusson/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4055962133986878795"">Google</a>",,"<a href=""https://untappd.com/w/cidres-ecusson/15641"">Untappd</a>"
2020,Poiré,Domaine Olivier,Le Domaine Olivier 2018,🥇 Or,Active,"<a href=""https://www.ledomaineolivier.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=12832839833696798380"">Google</a>",,"<a href=""https://untappd.com/w/domaine-olivier/337350"">Untappd</a>"
2020,Poiré,Famille Guesdon,La Cave Normande 2019,🥇 Or,Active,"<a href=""https://famille-guesdon.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100057212210806"">Facebook</a>","<a href=""https://www.instagram.com/lacavenormandeguesdon/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13182761816105385497"">Google</a>",,"<a href=""https://untappd.com/w/guesdon-p-re-et-fils/343009"">Untappd</a>"
2020,Poiré,La Cave de la Loterie,Cave de la Loterie Fruité 2018,🥇 Or,Active,"<a href=""https://www.cavedelaloterie.fr/"">Website</a>","<a href=""https://www.facebook.com/cavedelaloterie"">Facebook</a>","<a href=""https://www.instagram.com/cave_de_la_loterie/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14052572828101776269"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g672828-d12674111"">TripAdvisor</a>","<a href=""https://untappd.com/w/cave-de-la-loterie/234216"">Untappd</a>"
