Category,Award,Medalist,Country,Entry,Points,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Acid Dominant,🥉 BRONZE,Pfeiffer's Cider,Poland,Pfeiffer's Cider Sparkling,76.1,https://pfeiffers.pl/,https://www.facebook.com/pfeifferscider,https://www.instagram.com/pfeiffers_cider,https://maps.google.com/?cid=1938111950265948010,,https://untappd.com/w/pfeiffer-s-cider/541464
Acid Dominant,🥉 BRONZE,Mooma,Spain,Mooma Cider,75.1,https://mooma.cat/,https://www.facebook.com/sidreriamooma/,https://www.instagram.com/mooma/,https://maps.google.com/?cid=11350926811080988766,https://www.tripadvisor.com/Restaurant_Review-g3501872-d13815642,https://untappd.com/w/mooma/254950
Acid Dominant,🥉 BRONZE,Cydr Dwaj Bracia,Poland,Boiken,75,https://dwajbracia.pl/,https://www.facebook.com/profile.php?id=100094619362211,https://www.instagram.com/cydr_dwaj_bracia,,,https://untappd.com/w/cydr-dwaj-bracia/551234
Acid Dominant,🥉 BRONZE,Cidérka,Czechia,Konipas,74.5,https://www.ciderka.cz/,https://www.facebook.com/ciderka.cz,https://www.instagram.com/ciderka.cz/,https://maps.google.com/?cid=4045068491840478725,,https://untappd.com/w/ciderka/463341
Acid Dominant,🥉 BRONZE,Lofthus Ekspedisjon,Norway,Drøs,74.1,https://lofthusekspedisjon.no/,https://www.facebook.com/ekspedisjonlofthus/,https://www.instagram.com/lofthus_ekspedisjon/,https://maps.google.com/?cid=10108744972037075215,https://www.tripadvisor.com/Restaurant_Review-g1188596-d23540819,https://untappd.com/EkspedisjonenBryggeri
Acid Dominant,🥉 BRONZE,Beverīnas Dzērieni,Latvia,Cider Semidry,74.1,https://www.beverinasdzerieni.lv/,https://www.facebook.com/beverinasdzerieni,https://www.instagram.com/beverinas_dzerieni,https://maps.google.com/?cid=3737744039117821694,,https://untappd.com/b/sia-abula-abols-pussauss-abolu-sidrs/5576716
Acid Dominant,🥉 BRONZE,Tingvoll Sider,Norway,Gammel-Nesje,72.7,https://www.tingvollsider.no/,https://www.facebook.com/Strupstadgarden/,https://www.instagram.com/strupstadgarden/,https://maps.google.com/?cid=10928261412136517481,,https://untappd.com/w/strupstad-tingvoll-sider/534933
Acid Dominant,🥉 BRONZE,Elegast Cidery,Netherlands,Revival,72.2,https://elegastcider.nl/,https://www.facebook.com/elegastcidery/,https://www.instagram.com/elegast_cidery/,https://maps.google.com/?cid=5936408747857287023,,https://untappd.com/ElegastCidery
Acid Dominant,🥉 BRONZE,Appleblood Cider,Italy,Rosa 2022,72.1,https://applebloodcider.com/,https://www.facebook.com/applebloodcider,https://www.instagram.com/applebloodcider/,https://maps.google.com/?cid=14977227174949746380,,https://untappd.com/w/apple-blood-cider/474058
Acid Dominant,🥉 BRONZE,Syse Gard,Norway,Sumar,71.9,https://www.sysegard.no/,https://www.facebook.com/sysegard/,https://www.instagram.com/sysegard/,https://maps.google.com/?cid=15813298029749928176,https://www.tripadvisor.com/Attraction_Review-g7159542-d3475391,https://untappd.com/w/syse-gard/348705
Acid Dominant,🥉 BRONZE,Lingebakken,Norway,Bakkesider,71.1,https://www.lingebakken.no/,https://www.facebook.com/Lingebakkenfrukt/,https://www.instagram.com/lingebakken,https://maps.google.com/?cid=10220638985890464265,,https://untappd.com/w/lingebakken/519896
Acid Dominant,🥉 BRONZE,Pirula,Finland,Luotsi,70.7,https://www.pirula.fi/,https://www.facebook.com/pirula.fi/,https://www.instagram.com/pirulantila,https://maps.google.com/?cid=1283745269437501478,,https://untappd.com/w/pirula/442289
Acid Dominant,🥉 BRONZE,Iessel Cider,Netherlands,Iessel Cider Wild,70.3,https://www.iesselcider.nl/,https://www.facebook.com/iesselcider/,https://www.instagram.com/iessel_cider/,https://maps.google.com/?cid=10819175046461159669,,https://untappd.com/IESSEL_Cider
Tannin Dominant,🏆 WINNER,Mr. Plūme,Latvia,Vintage Cider 2021,92.3,https://www.mrplume.lv/,https://www.facebook.com/mrplumesidrs,https://www.instagram.com/mrplume_sidrs/,https://maps.google.com/?cid=9319841841199759114,,https://untappd.com/w/mr-plume/332485
Tannin Dominant,🥇 GOLD,Ciderhuset Balholm,Norway,Vestr,89.9,https://www.ciderhuset.no/,https://www.facebook.com/ciderhuset,https://www.instagram.com/ciderhuset/,https://maps.google.com/?cid=12671775028436675444,https://www.tripadvisor.com/Restaurant_Review-g616211-d1991697,https://untappd.com/w/ciderhuset-balholm/64016
Tannin Dominant,🥇 GOLD,Sodo Sidrinė,Lithuania,Sodo Keeved Cider,89.8,,https://www.facebook.com/klumpessodai/,https://www.instagram.com/sodo_cider/,,,
Tannin Dominant,🥈 SILVER,Ferme du Theil,France,Belle Folie,86,https://www.fermedutheil.com/,https://www.facebook.com/fermedutheil,https://www.instagram.com/fermedutheil/,https://maps.google.com/?cid=11988918544771126641,,https://untappd.com/w/gaec-rouland-ferme-du-theli/138309
Tannin Dominant,🥈 SILVER,Balti Sodai,Lithuania,Alantos Normandiskas,84.1,,,,,,
Tannin Dominant,🥈 SILVER,Abuls,Latvia,Naturalists,83.2,https://www.abuls.lv/,https://www.facebook.com/sidrsAbuls/,https://www.instagram.com/abuls_sidrs/,https://maps.google.com/?cid=12371654123090416644,,https://untappd.com/Abuls
Tannin Dominant,🥈 SILVER,Cydrownia Filomelos,Poland,Cydr Rozaniecki,82.8,https://www.filomelos.pl/,https://www.facebook.com/cydrfilomelos/,,https://maps.google.com/?cid=16799127381008481476,,https://untappd.com/Filomelos
Tannin Dominant,🥈 SILVER,Böhm Ciderwerkstatt,Germany,Rot Cider,82.5,https://www.boehm-cider.de/,https://www.facebook.com/ciderwerkstatt/,https://www.instagram.com/boehm_ciderwerkstatt,https://maps.google.com/?cid=4561270118581123333,,
Tannin Dominant,🥈 SILVER,Fjordfolk Mikrobryggeri,Norway,Bristol Fashion,80.5,https://www.fjordfolkbrygg.no/,https://www.facebook.com/fjordfolkbrygg/,https://www.instagram.com/tallship_cider/,https://maps.google.com/?cid=13187877260143472555,,https://untappd.com/Fjordfolk
Tannin Dominant,🥉 BRONZE,Köpings Musteri,Sweden,Dabinett,78.9,https://kopingsmusteri.se/,https://www.facebook.com/kopingsmusteri,https://www.instagram.com/kopingsmusteri/,https://maps.google.com/?cid=5623943899960625759,https://www.tripadvisor.com/Attraction_Review-g679646-d12595815,https://untappd.com/KopingsMusteri
Tannin Dominant,🥉 BRONZE,Ferme du Theil,France,Douce Passion,75.7,https://www.fermedutheil.com/,https://www.facebook.com/fermedutheil,https://www.instagram.com/fermedutheil/,https://maps.google.com/?cid=11988918544771126641,,https://untappd.com/w/gaec-rouland-ferme-du-theli/138309
Tannin Dominant,🥉 BRONZE,Sidraria dos Prazeres,Portugal,Arrebita,75.1,,,https://www.instagram.com/sidrariaprazeres/,https://maps.google.com/?cid=17308535962264911617,,https://untappd.com/w/misterios-da-quinta-unipessoal-lda/530615
Tannin Dominant,🥉 BRONZE,Cydr Radosny,Poland,Atak Jabluszek 2022,71.3,,https://www.facebook.com/profile.php?id=100051369316323,https://www.instagram.com/cydr_radosny/,https://maps.google.com/?cid=7526262440248480679,,https://untappd.com/w/cydr-radosny/509782
Tannin Dominant,🥉 BRONZE,Zilver,Latvia,Mezabolu Sidrs,71.2,https://zilver.lv/,https://www.facebook.com/Zilver.lv/,,https://maps.google.com/?cid=11431791076365254264,,https://untappd.com/w/zilver-dzerienu-daritava/479974
Tannin Dominant,🥉 BRONZE,Ciderhuset Balholm,Norway,Sognefjord,71.2,https://www.ciderhuset.no/,https://www.facebook.com/ciderhuset,https://www.instagram.com/ciderhuset/,https://maps.google.com/?cid=12671775028436675444,https://www.tripadvisor.com/Restaurant_Review-g616211-d1991697,https://untappd.com/w/ciderhuset-balholm/64016
Wood or Barrel Aged,🏆 WINNER,Fjordfolk Mikrobryggeri,Norway,Dabinett Barrel-Aged Cider,91.1,https://www.fjordfolkbrygg.no/,https://www.facebook.com/fjordfolkbrygg/,https://www.instagram.com/tallship_cider/,https://maps.google.com/?cid=13187877260143472555,,https://untappd.com/Fjordfolk
Wood or Barrel Aged,🥈 SILVER,Sidraria dos Prazeres,Portugal,Arrebita,87.2,,,https://www.instagram.com/sidrariaprazeres/,https://maps.google.com/?cid=17308535962264911617,,https://untappd.com/w/misterios-da-quinta-unipessoal-lda/530615
Wood or Barrel Aged,🥈 SILVER,Pomologik,Sweden,Cider State of Mind,81.9,https://www.pomologik.se/,https://www.facebook.com/pomologik,https://www.instagram.com/pomologik.johan/,https://maps.google.com/?cid=17836181822390207936,,https://untappd.com/Pomologik_swe
Wood or Barrel Aged,🥈 SILVER,Mooma,Spain,Mooma Aged Cider,80.1,https://mooma.cat/,https://www.facebook.com/sidreriamooma/,https://www.instagram.com/mooma/,https://maps.google.com/?cid=11350926811080988766,https://www.tripadvisor.com/Restaurant_Review-g3501872-d13815642,https://untappd.com/w/mooma/254950
Wood or Barrel Aged,🥈 SILVER,Herbsts,Latvia,Plusis,79.7,https://herbsts.lv/,https://www.facebook.com/herbsts.sidrs/,https://www.instagram.com/herbsts.sidrs/,,,https://untappd.com/HERBSTS
Wood or Barrel Aged,🥉 BRONZE,Ottercider,Belgium,Laatzomer,79,https://www.ottercider.be/,https://www.facebook.com/Ottercider,https://www.instagram.com/ottercider,,,https://untappd.com/Ottercider
Wood or Barrel Aged,🥉 BRONZE,Iessel Cider,Netherlands,Eikengerijpt,77.7,https://www.iesselcider.nl/,https://www.facebook.com/iesselcider/,https://www.instagram.com/iessel_cider/,https://maps.google.com/?cid=10819175046461159669,,https://untappd.com/IESSEL_Cider
Wood or Barrel Aged,🥉 BRONZE,Böhm Ciderwerkstatt,Germany,Französische Eiche Apfelwein,77,https://www.boehm-cider.de/,https://www.facebook.com/ciderwerkstatt/,https://www.instagram.com/boehm_ciderwerkstatt,https://maps.google.com/?cid=4561270118581123333,,
Wood or Barrel Aged,🥉 BRONZE,Cydr Chyliczki,Poland,Sweet Oak 2019,73.1,https://cydrchyliczki.pl/,https://www.facebook.com/cydrchyliczki/,https://www.instagram.com/cydrchyliczki/,,,https://untappd.com/w/cydr-chyliczki/271740
Flavoured Ciders,🏆 WINNER,Store Naa Siderkompani,Norway,57/2 - Brudeferd,93.3,https://www.storenaasiderkompani.com/,https://www.facebook.com/Storenaasiderkompani/,https://www.instagram.com/storenaasiderkompani/,https://maps.google.com/?cid=15254622508133860404,,https://untappd.com/w/store-naa-siderkompani/442862
Flavoured Ciders,🥇 GOLD,Hardanger Saft og Siderfabrikk,Norway,Leikvin Rosesider,90.9,https://hardangersider.no/,https://www.facebook.com/HardangerSaftogSiderfabrikk/,https://www.instagram.com/hardangersaftogsiderfabrikk/,https://maps.google.com/?cid=12869878933054305699,https://www.tripadvisor.com/Attraction_Review-g7159542-d4893441,https://untappd.com/w/hardanger-saft-og-siderfabrikk/42913
Flavoured Ciders,🥇 GOLD,Skjolden Sideri,Norway,"Edens Hage, Aroma Rosé",90.3,https://www.skjoldensideri.no/,,https://www.instagram.com/skjoldensideri/,https://maps.google.com/?cid=8996713303995231318,,
Flavoured Ciders,🥇 GOLD,Turkalnes Muižā,Latvia,Ābolu-Rabarberu Sidrs,90.2,https://www.turkalnesmuiza.lv/,https://www.facebook.com/TurkalnesMuiza/,https://www.instagram.com/turkalnesmuiza/,https://maps.google.com/?cid=14148682490481690589,,https://untappd.com/w/turkalnes-muiza/428003
Flavoured Ciders,🥇 GOLD,Skarbø Gard,Norway,Skarbø Sider Glød,90.1,https://skarbogard.no/,https://www.facebook.com/skarbogard/,https://www.instagram.com/skarbogard/,https://maps.google.com/?cid=8459681002301363731,,https://untappd.com/w/skarbo-gard/467871
Flavoured Ciders,🥈 SILVER,Aga Sideri,Norway,Humlepung Rosé,88.1,https://www.agasideri.no/,https://www.facebook.com/agasideri/,https://www.instagram.com/agasideri/,https://maps.google.com/?cid=13763004362793346500,https://www.tripadvisor.com/Attraction_Review-g2347995-d18177720,https://untappd.com/w/aga-sideri/405076
Flavoured Ciders,🥈 SILVER,Ainoa Winery,Finland,Ainoa Viive Apple Cider with Lingonberries,86.5,https://ainoawinery.com/,https://www.facebook.com/ainoawinery/,https://www.instagram.com/ainoawinery/,https://maps.google.com/?cid=9038287289493115977,,https://untappd.com/w/ainoa/474000
Flavoured Ciders,🥈 SILVER,Ulvik Frukt & Cideri,Norway,Kvemmadokkje,86.1,http://www.hakastadsider.no/,https://www.facebook.com/pages/Ulvik-Frukt-Cideri/191311970916027,,https://maps.google.com/?cid=8381380851022975775,,https://untappd.com/brewery/60198
Flavoured Ciders,🥈 SILVER,Ciderhuset Balholm,Norway,Bæri,84.7,https://www.ciderhuset.no/,https://www.facebook.com/ciderhuset,https://www.instagram.com/ciderhuset/,https://maps.google.com/?cid=12671775028436675444,https://www.tripadvisor.com/Restaurant_Review-g616211-d1991697,https://untappd.com/w/ciderhuset-balholm/64016
Flavoured Ciders,🥈 SILVER,Hardangergutane,Norway,Humleglimt,83.9,https://hardangergutane.no/,https://www.facebook.com/Hardangergutane/,https://www.instagram.com/hardangergutane/,https://maps.google.com/?cid=10940983309801750674,https://www.tripadvisor.com/Restaurant_Review-g2328851-d23478417,https://untappd.com/w/hardangergutane/429679
