Year,Month,Event,Location,Date,Website,Facebook,Instagram,Google,Continent
2025,May,Äbbelwoifest,"Laubuseschbach, Hesse",TBA,"<a href=""http://www.aebbelwoifest.de/"">Website</a>","<a href=""https://www.facebook.com/aebbelwoifest"">Facebook</a>","<a href=""https://www.instagram.com/aebbelwoifest"">Instagram</a>","<a href=""https://maps.google.com/?cid=18431477139160593371"">Google</a>",Europe
2025,May,Hardanger Internasjonale Siderfest,"Odda, Norway",TBA,"<a href=""https://www.siderfest.no/"">Website</a>","<a href=""https://www.facebook.com/hardangerinternasjonalesiderfest/"">Facebook</a>","<a href=""https://www.instagram.com/hardangersiderfest"">Instagram</a>","<a href=""https://www.google.com/maps?cid=4773460426651297950"">Google</a>",Europe
2025,May,Cider Salon London,"London, England",TBA,"<a href=""https://www.cidersalon.co.uk/london/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=2304839309186538471"">Google</a>",Europe
2025,May,CiderFeast Portland,"Portland, Maine",TBA,"<a href=""https://ciderfeasthq.com/portland/"">Website</a>",,"<a href=""https://www.instagram.com/ciderfeasthq/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2045605693952928785"">Google</a>",North America
2025,May,Cider Week GR,"Grand Rapids, Michigan",TBA,"<a href=""https://michiganciders.com/cider-week/"">Website</a>",,,,North America
2025,May,Almás Kert Cider Feszt,"Etyek, Hungary",TBA,,"<a href=""https://www.facebook.com/events/1104703674092750/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=13494992015632291593"">Google</a>",Europe
2025,May,CIDRES!,"Nantes, Pays de la Loire",TBA,,,"<a href=""https://www.instagram.com/cidresfestival/"">Instagram</a>","<a href=""https://www.google.com/maps?cid=84110500905027502"">Google</a>",Europe
2025,May,Cydrówka,"Otomin, Poland",TBA,"<a href=""https://cydrowka.pl/"">Website</a>","<a href=""https://www.facebook.com/events/2643429812501510"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=13556304642115496222"">Google</a>",Europe
2025,June,World Cider Day,Global,June 3,"<a href=""https://www.worldciderday.com/"">Website</a>","<a href=""https://www.facebook.com/World.Cider.Day/"">Facebook</a>",,,Global
2025,June,Slavnost Cideru,"Prague, Czechia",June 6-8,"<a href=""https://slavnostcideru.cz/"">Website</a>","<a href=""https://www.facebook.com/slavnostcideru"">Facebook</a>","<a href=""https://www.instagram.com/slavnostcideru/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9210389733736986227"">Google</a>",Europe
2025,June,Royal Three Counties Show,"Malvern, Worcestershire",June 13-15,"<a href=""https://www.royalthreecounties.co.uk/"">Website</a>","<a href=""https://www.facebook.com/3CountiesShows/"">Facebook</a>","<a href=""https://www.instagram.com/3countiesshows"">Instagram</a>","<a href=""https://maps.google.com/?cid=15362902753090611666"">Google</a>",Europe
2025,June,Feira da Sidra,"A Estrada, Galicia",TBA,,"<a href=""https://www.facebook.com/profile.php?id=100083581711568"">Facebook</a>","<a href=""https://www.instagram.com/feiradasidra_ae/"">Instagram</a>","<a href=""https://www.google.com/maps?cid=6428440959695004515"">Google</a>",Europe
2025,June,Preba de la Sidra,"Oviedo, Asturias",TBA,"<a href=""https://www.sidraturismoasturias.es/calendario/preba-de-gascona-24/"">Website</a>",,,,Europe
2025,June,"Hudson Valley Ciders, Seltzers & Spirits","Poughquag, New York",TBA,"<a href=""http://hvciderfest.com/"">Website</a>","<a href=""https://www.facebook.com/hudsonvalleyciderfestival/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=7542200975291766371"">Google</a>",North America
2025,June,Cider Summit Portland,"Portland, Oregon",TBA,"<a href=""https://www.cidersummitnw.com/"">Website</a>","<a href=""https://www.facebook.com/cidersummit/"">Facebook</a>","<a href=""https://www.instagram.com/cidersummit/"">Instagram</a>","<a href=""https://maps.google.com/?cid=18040598340740939510"">Google</a>",North America
2025,June,R Public House Ciderfest,"Chicago, Illinois",TBA,"<a href=""https://www.rpublichouse.com/event-details-registration/ciderfest-2024"">Website</a>",,,"<a href=""https://www.google.com/maps?cid=14542647883276924452"">Google</a>",North America
2025,June,PA Cider Fest,"Biglerville, Pennsylvania",TBA,"<a href=""http://www.purplepass.com/paciderfest2024"">Website</a>","<a href=""https://www.facebook.com/paciderfest"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=8957214748881960661"">Google</a>",North America
2025,June,Small Batch VIP Cider Session,"Dundas, Minnesota",TBA,"<a href=""https://www.minnesotacider.org/events/2024/4/11/small-batch-vip-cider-session"">Website</a>","<a href=""https://www.facebook.com/minnesotaciderguild/"">Facebook</a>","<a href=""https://www.instagram.com/mnciderguild/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12033824401859026231"">Google</a>",North America
2025,June,BC Cider Festival,"Vancouver, British Columbia",TBA,"<a href=""http://bcciderfest.ca/"">Website</a>","<a href=""https://www.facebook.com/BCCiderFest/"">Facebook</a>","<a href=""https://www.instagram.com/bcciderfest/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10126934155993372949"">Google</a>",North America
2025,June,CiderFeast New England,"Haverhill, Massachusetts",TBA,"<a href=""https://ciderfeasthq.com/new-england/"">Website</a>",,"<a href=""https://www.instagram.com/ciderfeasthq/"">Instagram</a>",,North America
2025,June,Carolina CiderFest,"Asheville, North Carolina",TBA,"<a href=""https://www.carolinaciderfest.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100094629642965"">Facebook</a>","<a href=""https://www.instagram.com/carolinaciderfest/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12256129509794234993"">Google</a>",North America
2025,June,Festival Ciderja in Sira,"Ljubljana, Slovenia",TBA,,"<a href=""https://www.facebook.com/festivalciderjainsira/"">Facebook</a>","<a href=""https://www.instagram.com/ciderinsirfest/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10969221099900883642"">Google</a>",Europe
2025,June,Osaka Cider Festival,"Osaka, Japan",TBA,"<a href=""https://www.french-armorica.com/fcblog/138897.html"">Website</a>",,"<a href=""https://www.instagram.com/osaka.cider.matsuri/"">Instagram</a>","<a href=""https://www.google.com/maps?cid=2196203837871440967"">Google</a>",Asia
2025,June,Aito Siiderifestivaali Mathildedalissa,"Matilda, Finland",TBA,,"<a href=""https://www.facebook.com/profile.php?id=61556689616966"">Facebook</a>","<a href=""https://www.instagram.com/siiderifestivaali/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4278664558677582097"">Google</a>",Europe
2025,June,Cider Salon Bristol,"Bristol, England",TBA,"<a href=""https://www.cidersalon.co.uk/bristol/"">Website</a>","<a href=""https://www.facebook.com/cidersalonbristol"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=4336321175637441778"">Google</a>",Europe
2025,June,Nordic Craft Cider Festival,"Strängnäs, Sweden",TBA,"<a href=""https://www.nccf.se/"">Website</a>","<a href=""https://www.facebook.com/people/Nordic-Craft-Cider-Festival/100092710972386/"">Facebook</a>","<a href=""https://www.instagram.com/nordiccraftciderfestival/"">Instagram</a>",,Europe
2025,July,Beer on the Wye,"Hereford, Herefordshire",July 11-13,"<a href=""https://beeronthewye.wixsite.com/beeronthewye"">Website</a>","<a href=""https://www.facebook.com/BeerOnTheWye"">Facebook</a>","<a href=""https://www.instagram.com/beeronthewye/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17530827715402386343"">Google</a>",Europe
2025,July,Cotswold Beer Festival,"Winchcombe, Gloucestershire",July 18-20,"<a href=""https://postlip.camra.org.uk/"">Website</a>","<a href=""https://www.facebook.com/cotswoldbeerfestival"">Facebook</a>","<a href=""https://www.instagram.com/cbf_beerfest/"">Instagram</a>","<a href=""https://www.google.com/maps?cid=12805403843112859531"">Google</a>",Europe
2025,July,OutCider Festival,"Compton Martin, Somerset",July 31 - August 3,"<a href=""https://www.fuelledbycider.com/outcider"">Website</a>","<a href=""https://www.facebook.com/outciderfestival/"">Facebook</a>","<a href=""https://www.instagram.com/fuelledbycider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7168517135358253567"">Google</a>",Europe
2025,July,Festival de la Sidra,"Nava, Asturias",TBA,"<a href=""https://www.ayto-nava.es/festival-de-la-sidra"">Website</a>","<a href=""https://www.facebook.com/festivalsidranava/"">Facebook</a>","<a href=""https://www.instagram.com/festivaldelasidra/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14019196699819467626"">Google</a>",Europe
2025,July,Orcas Island Cider & Mead Festival,"Eastsound, Washington",TBA,"<a href=""https://www.orcasislandciderfest.org/"">Website</a>","<a href=""https://www.facebook.com/orcasislandciderfest/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=10221378414948902114"">Google</a>",North America
2025,July,Soif de Cidre Montréal,"Montréal, Québec",TBA,"<a href=""https://soifdecidre.com/"">Website</a>","<a href=""https://www.facebook.com/soifdecidremontreal"">Facebook</a>","<a href=""https://www.instagram.com/soifdecidre/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13432593003281089061"">Google</a>",North America
2025,July,Feria Internacional de la Sidra,"Liencres, Cantabria",TBA,,"<a href=""https://www.facebook.com/feriadelasidra"">Facebook</a>",,"<a href=""https://www.google.com/maps?cid=6403634582629242994"">Google</a>",Europe
2025,August,Gravenstein Apple Fair,"Sebastopol, California",August 9-10,"<a href=""https://gravensteinapplefair.com/"">Website</a>","<a href=""https://www.facebook.com/GravensteinAppleFair"">Facebook</a>","<a href=""https://www.instagram.com/gravensteinapplefair/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13145259835478670992"">Google</a>",North America
2025,August,"Worcester Beer, Cider & Perry Festival ","Worcester, Worcestershire",TBA,"<a href=""https://festival.worcester.camra.org.uk/"">Website</a>","<a href=""https://www.facebook.com/WorcesterCAMRABeerCiderAndPerryFestival"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=16981486893045930032"">Google</a>",Europe
2025,August,Frankfurter Apfelweinfestival,"Frankfurt, Germany",TBA,"<a href=""https://www.frankfurt-tourismus.de/en/Discover-Experience/Festivals-Events/Frankfurt-Apple-Wine-Festival"">Website</a>",,,"<a href=""https://maps.google.com/?cid=9072852001552796008"">Google</a>",Europe
2025,August,East Van Cider Fest,"Vancouver, British Columbia",TBA,"<a href=""https://www.libertywinemerchants.com/events/east-van-cider-fest/"">Website</a>","<a href=""https://www.facebook.com/events/491004470145115/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=4522668320765633975"">Google</a>",North America
2025,August,Sidrama Ponte de Lima,"Ponte de Lima, Portugal",TBA,,"<a href=""https://www.facebook.com/sidramapontedelima/"">Facebook</a>","<a href=""https://www.instagram.com/sidramapontedelima/"">Instagram</a>","<a href=""https://www.google.com/maps?cid=9017109232415867928"">Google</a>",Europe
2025,August,Festival de la Sidra Natural,"Gijón, Asturias",TBA,"<a href=""https://www.turismoasturias.es/en/agenda-de-asturias/-/calendarsuite/event/festival-de-la-sidra-natural-gijon/5939057/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=15817427971870086783"">Google</a>",Europe
2025,August,Central Coast Cider Festival,"Atascadero, California",TBA,"<a href=""https://www.centralcoastciderfestival.com/"">Website</a>","<a href=""https://www.facebook.com/CentralCoastCiderFestival/"">Facebook</a>","<a href=""https://www.instagram.com/ccciderfestival"">Instagram</a>","<a href=""https://www.google.com/maps?cid=18044314226231838492"">Google</a>",North America
2025,August,Trierer Viezfest,"Trier, Rhineland-Palatinate",TBA,"<a href=""https://viezbruder.de/"">Website</a>","<a href=""https://www.facebook.com/Viezbruderschaft"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=12940041688732099262"">Google</a>",Europe
2025,August,Cider Dayze Festival,"Armada, Michigan",TBA,"<a href=""https://blakefarms.com/event/cider-dayze-festival/2024-08-24/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=6933610581695015739"">Google</a>",North America
2025,August,POM POM POM,"Brussels, Belgium",TBA,,"<a href=""https://www.facebook.com/POMPOMPOMbrussels/"">Facebook</a>","<a href=""https://www.instagram.com/pompompombrussels/"">Instagram</a>","<a href=""https://www.google.com/maps?cid=9549173407481078733"">Google</a>",Europe
2025,August,Ross Cider Festival,"Ross-on-Wye, Herefordshire",TBA,"<a href=""https://rosscider.com/ciderfest/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=15438292382118860282"">Google</a>",Europe
2025,August,Camano Ciderfest,"Camano Island, Washington",TBA,"<a href=""https://camanocommons.com/ciderfest/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=2847479514342653304"">Google</a>",North America
2025,September,Armagh Food & Cider Weekend,"Country Armagh, Northern Ireland",September 4-7,"<a href=""https://visitarmagh.com/festivals/food-cider/"">Website</a>",,,,Europe
2025,September,Cider Summit Seattle,"Seattle, Washington",TBA,"<a href=""https://www.cidersummitnw.com/"">Website</a>","<a href=""https://www.facebook.com/cidersummit/"">Facebook</a>","<a href=""https://www.instagram.com/cidersummit/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9653878537266285527"">Google</a>",North America
2025,September,Norsk Siderfestival,"Bergen, Norway",TBA,"<a href=""https://matfest.no/om-norsk-siderfestival/"">Website</a>",,"<a href=""https://www.instagram.com/bergenmatfestival/"">Instagram</a>",,Europe
2025,September,Hudson Valley Craft Beverage Festival,"New Paltz, New York",TBA,"<a href=""https://www.twinstarorchards.com/hv-craft-beverage-festival"">Website</a>",,,"<a href=""https://maps.google.com/?cid=18206025081951203845"">Google</a>",North America
2025,September,Maryland Cider Festival,"Gaithersburg, Maryland",TBA,"<a href=""https://ciderfestmd.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100093114920485"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=1597664687692309956"">Google</a>",North America
2025,September,Virginia Cider Festival,"Fredericksburg, Virginia",TBA,"<a href=""https://www.eventbrite.com/e/virginia-cider-festival-tickets-974089827897"">Website</a>","<a href=""https://www.facebook.com/virginiaciderfest/"">Facebook</a>","<a href=""https://www.instagram.com/vaciderfest/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1073473978844978628"">Google</a>",North America
2025,September,St. Cloud Craft Beer & Ciderfest,"St. Cloud, Minnesota",TBA,"<a href=""https://www.craftbeertours.com/get-tickets/st-cloud-craft-beer-ciderfest"">Website</a>",,,"<a href=""https://maps.google.com/?cid=9881218778422720383"">Google</a>",North America
2025,September,York Beer & Cider Festival,"York, North Yorkshire",TBA,"<a href=""https://yorkbeerfestival.camra.org.uk/"">Website</a>","<a href=""https://www.facebook.com/beerfestyork"">Facebook</a>","<a href=""https://www.instagram.com/yorkbeerfestival/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9351007212228692356"">Google</a>",Europe
2025,September,CiderWeek Frankfurt,"Frankfurt, Germany",TBA,"<a href=""https://cider-week.de/"">Website</a>",,,,Europe
2025,September,CiderFest,"Saint Petersburg, Russia",TBA,"<a href=""https://ilovecider.ru/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=9452929354707327726"">Google</a>",Europe
2025,September,Cider Harvest Festival,"Cobble Hill, British Columbia",TBA,"<a href=""https://merridale.ca/cider-harvest-festival/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=14311203607332957022"">Google</a>",North America
2025,September,Salón Internacional de les Sidres de Gala,"Gijón, Asturias",TBA,"<a href=""https://sisga.info/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=9846297755676508772"">Google</a>",Europe
2025,September,Cider Swig,"Gig Harbor, Washington",TBA,"<a href=""https://www.ciderswig.org/"">Website</a>","<a href=""https://www.facebook.com/ciderswig/"">Facebook</a>","<a href=""https://www.instagram.com/ciderswig/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17839745701636681105"">Google</a>",North America
2025,September,HardCore Grand Cider Tasting,"Fishkill, New York",TBA,,"<a href=""https://www.facebook.com/events/1174879137031743/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=13872597670418603050"">Google</a>",North America
2025,September,Whidbey Island Cider Festival,"Coupeville, Washington",TBA,"<a href=""https://pacificriminstitute.org/news-events/ciderfestival.html"">Website</a>","<a href=""https://www.facebook.com/whidbeyislandciderfestival/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=14664591618810422771"">Google</a>",North America
2025,October,Merziger Viezfest,"Merzig, Saarland",October 4,"<a href=""https://www.merzig.de/tourismus-kultur/merzig-tischt-auf/merziger-viezfest/"">Website</a>","<a href=""https://www.facebook.com/viezfest.oktoberfest.merzig"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=12779479492620369981"">Google</a>",Europe
2025,October,The Big Apple Harvestime,"Much Marcle, Herefordshire",October 11-12,"<a href=""https://www.bigapple.org.uk/harvestime/"">Website</a>","<a href=""https://www.facebook.com/bigappleherefordshire/"">Facebook</a>","<a href=""https://www.instagram.com/big_apple_herefordshire/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4235866248742612605"">Google</a>",Europe
2025,October,Hereford AppleFest,"Herefordshire, England",TBA,"<a href=""https://herefordcitycouncil.gov.uk/hereford-applefest/"">Website</a>",,,,Europe
2025,October,CiderFeast NYC,"Brooklyn, New York",TBA,"<a href=""https://ciderfeasthq.com/brooklyn/"">Website</a>",,"<a href=""https://www.instagram.com/ciderfeasthq/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12542078938266078875"">Google</a>",North America
2025,October,Idaho Cider Fest,"Boise, Idaho",TBA,"<a href=""https://www.meriwethercider.com/idahociderfest"">Website</a>",,,"<a href=""https://maps.google.com/?cid=6131532153348757187"">Google</a>",North America
2025,October,The Ohio Core Pour,"Burton, Ohio",TBA,"<a href=""https://www.thecorepour.com/"">Website</a>","<a href=""https://www.facebook.com/corepour"">Facebook</a>","<a href=""https://www.instagram.com/corepour/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4321722691972219465"">Google</a>",North America
2025,October,Vashon CiderFest,"Vashon, Washington",TBA,"<a href=""https://www.thisisvashon.com/ciderfest"">Website</a>",,,"<a href=""https://maps.google.com/?cid=5085438605890698937"">Google</a>",North America
2025,October,WindFall CiderFest,"Ellensburg, Washington",TBA,"<a href=""https://www.ycic.org/windfall"">Website</a>",,,"<a href=""https://maps.google.com/?cid=6968043501225902289"">Google</a>",North America
2025,October,Cider Week New York,New York State,TBA,"<a href=""https://ciderweeknewyork.com/"">Website</a>","<a href=""https://www.facebook.com/CiderWeek"">Facebook</a>",,,North America
2025,October,Nottingham Robin Hood Beer & Cider Festival,"Nottingham, Nottinghamshire",TBA,"<a href=""https://www.beerfestival.nottinghamcamra.org/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=11549643766615496260"">Google</a>",Europe
2025,October,Big B's Ciderfest,"Hotchkiss, Colorado",TBA,"<a href=""https://www.bigbs.com/ciderfest"">Website</a>",,,"<a href=""https://maps.google.com/?cid=78577038036310991"">Google</a>",North America
2025,October,Olympic Peninsula Apple & Cider Festival,"Port Townsend, Washington",TBA,"<a href=""https://theproductionalliance.org/events/apple-cider-fest"">Website</a>",,,,North America
2025,October,CiderFest Minnesota,"Minneapolis, Minnesota",TBA,"<a href=""https://www.minnesotacider.org/events/2024/10/12/ciderfest-2024"">Website</a>","<a href=""https://www.facebook.com/minnesotaciderguild"">Facebook</a>","<a href=""https://www.instagram.com/mnciderguild"">Instagram</a>","<a href=""https://www.google.com/maps?cid=7331255600636952675"">Google</a>",North America
2025,October,La Faîs'sie d’Cidre,"Jersey, Channel Islands",TBA,"<a href=""https://www.jerseyheritage.org/visit/places-to-visit/hamptonne-country-life-museum/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=15096718719691418706"">Google</a>",Europe
2025,October,La Grande Presse,Québec,TBA,"<a href=""https://cidreduquebec.com/la-grande-presse/"">Website</a>",,,,North America
2025,October,Philly Cider Week,"Philadelphia, Pennsylvania",TBA,"<a href=""https://phillyciderweek.com/"">Website</a>","<a href=""https://www.facebook.com/PHLCiderWeek/"">Facebook</a>","<a href=""https://www.instagram.com/phillyciderweek"">Instagram</a>",,North America
2025,October,Ciderfest,"Williamson, New York",TBA,"<a href=""https://www.ticketleap.events/tickets/embark-craft-ciderworks/cider-fest-2024"">Website</a>","<a href=""https://www.facebook.com/events/1153784965724306/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=10530312377379345820"">Google</a>",North America
2025,October,Hudson Valley Cider Symposium,"Accord, New York",TBA,"<a href=""https://www.westwindorchard.com/events/2024/10/27/2024-hudson-valley-cider-symposium"">Website</a>","<a href=""https://www.facebook.com/events/2817259551906110"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=10647217327802640593"">Google</a>",North America
2025,November,New Zealand Cider Festival,Nelson,November 1,"<a href=""https://www.nzciderfestival.com/"">Website</a>","<a href=""https://www.facebook.com/nzciderfestival/"">Facebook</a>","<a href=""https://www.instagram.com/nzciderfestival/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1081127275369066816"">Google</a>",Oceania
2025,November,Virginia Cider Week,Virginia,November 14-23,"<a href=""https://virginiacider.org/cider-week/"">Website</a>",,,,North America
2025,November,Franklin County CiderDays,Massachusetts,TBA,"<a href=""https://ciderdays.org/"">Website</a>","<a href=""https://www.facebook.com/FranklinCountyCiderDays"">Facebook</a>","<a href=""https://www.instagram.com/ciderdaysfranklincounty/"">Instagram</a>",,North America
2025,November,CiderFeast Boston,"Boston, Massachusetts",TBA,"<a href=""https://ciderfeasthq.com/boston/"">Website</a>",,"<a href=""https://www.instagram.com/ciderfeasthq/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11718470716814969148"">Google</a>",North America
2025,November,CLT Ciderfest,"Charlotte, North Carolina",TBA,"<a href=""https://www.cltciderfest.com/"">Website</a>","<a href=""https://www.facebook.com/CLTciderfest"">Facebook</a>","<a href=""https://www.instagram.com/clt_ciderfest"">Instagram</a>","<a href=""https://maps.google.com/?cid=4377108592727573925"">Google</a>",North America
