Style,Medal,Medalist,Entry,Region,Points,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
New World Cider - Medium Sweet,🥈 Silver,Spreyton Cider Co,Apple Cider,Tasmania,88,"<a href=""https://www.spreytonciderco.com.au/"">Website</a>","<a href=""https://www.facebook.com/SpreytonCiderCo"">Facebook</a>","<a href=""https://www.instagram.com/spreytonciderco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4719454766033276507"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g504292-d3738226"">TripAdvisor</a>","<a href=""https://untappd.com/SpreytonCiderCo"">Untappd</a>"
New World Cider - Medium Sweet,🥈 Silver,Barossa Cider Co,Squashed Apple Cider,South Australia,87,"<a href=""https://barossavalleyciderco.com/"">Website</a>","<a href=""https://www.facebook.com/barossacider/"">Facebook</a>","<a href=""https://www.instagram.com/barossacider.co/"">Instagram</a>",,,"<a href=""https://untappd.com/TheBarossaValleyCiderCo"">Untappd</a>"
New World Cider - Medium Sweet,🥈 Silver,Bruny Island Cider,Bruny Island Apple Cider,Tasmania,87,"<a href=""https://www.brunyisland.com/catalogue/bruny-island-cider/"">Website</a>","<a href=""https://www.facebook.com/BrunyIslandCider/"">Facebook</a>","<a href=""https://www.instagram.com/brunyislandcider/"">Instagram</a>",,,"<a href=""https://untappd.com/w/bruny-island-cider/235917"">Untappd</a>"
New World Cider - Medium Sweet,🥈 Silver,Gurneys Cider,Gold,Victoria,86,"<a href=""https://gurneyscider.com.au/"">Website</a>","<a href=""https://www.facebook.com/gurneyscider"">Facebook</a>","<a href=""https://www.instagram.com/gurneyscidery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17296225831182939561"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g552172-d15180819"">TripAdvisor</a>","<a href=""https://untappd.com/GurneysCider"">Untappd</a>"
New World Cider - Medium Sweet,🥈 Silver,Lenswood Cider Company,Hazy Apple Cider,South Australia,86,"<a href=""https://www.lenswoodciderco.com.au/"">Website</a>","<a href=""https://www.facebook.com/lenswoodciderco"">Facebook</a>","<a href=""https://www.instagram.com/lenswoodciderco/"">Instagram</a>",,,"<a href=""https://untappd.com/w/lenswood-cider-co/472218"">Untappd</a>"
New World Cider - Medium Sweet,🥉 Bronze,Small Acres Cyder,Pomme,New South Wales,84,"<a href=""https://www.smallacrescyder.com.au/"">Website</a>","<a href=""https://www.facebook.com/SmallAcresCyder"">Facebook</a>","<a href=""https://www.instagram.com/smallacrescyder"">Instagram</a>","<a href=""https://maps.google.com/?cid=1497457670374953580"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2642455-d5991203"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/14584"">Untappd</a>"
New World Cider - Medium Sweet,🥉 Bronze,Mountain Goat,Hazy Apple Cider,Victoria,83.5,"<a href=""https://www.goatbeer.com.au/"">Website</a>","<a href=""https://www.facebook.com/goatbeer"">Facebook</a>","<a href=""https://www.instagram.com/goatbeer"">Instagram</a>","<a href=""https://maps.google.com/?cid=3590392710166252972"">Google</a>",,"<a href=""https://untappd.com/mountaingoatbeer"">Untappd</a>"
New World Cider - Medium Sweet,🥉 Bronze,The Apple Thief,Pink Lady Cider,New South Wales,83.5,"<a href=""https://theapplethief.com.au/"">Website</a>","<a href=""https://www.facebook.com/TheAppleThiefCiders/"">Facebook</a>","<a href=""https://www.instagram.com/theapplethiefciders/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4762631239680624675"">Google</a>",,"<a href=""https://untappd.com/brewery/21796"">Untappd</a>"
New World Cider - Medium Sweet,🥉 Bronze,Yallingup Cider Co.,Apple Cider,Western Australia,83.5,"<a href=""https://www.yallingupciderco.com.au/"">Website</a>",,"<a href=""https://www.instagram.com/yallingupciderco/"">Instagram</a>",,,
New World Cider - Medium Sweet,🥉 Bronze,Bilpin Cider,Bilpin Archibald Cloudy apple cider,New South Wales,83,"<a href=""https://bilpincider.com/"">Website</a>","<a href=""https://www.facebook.com/bilpincider"">Facebook</a>","<a href=""https://www.instagram.com/bilpincider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1982319036704250930"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1093762-d10065632"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/18734"">Untappd</a>"
New World Cider - Medium Sweet,🥉 Bronze,Golden Axe,Crisp Apple Cider,Victoria,81,"<a href=""https://kaijubeer.com.au/"">Website</a>","<a href=""https://www.facebook.com/KaijuBeer.au"">Facebook</a>","<a href=""https://www.instagram.com/kaijubeer"">Instagram</a>","<a href=""https://maps.google.com/?cid=487547657947015054"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g4379937-d26699553"">TripAdvisor</a>","<a href=""https://untappd.com/SouthEastBrewingCompanyPtyLtd"">Untappd</a>"
New World Cider - Medium Sweet,🥉 Bronze,Napoleone Cider,Louis Hard Cider,Victoria,80.5,"<a href=""https://napoleone.com.au/"">Website</a>","<a href=""https://www.facebook.com/napoleoneorchardbar"">Facebook</a>","<a href=""https://www.instagram.com/napoleonecider"">Instagram</a>","<a href=""https://maps.google.com/?cid=3472985488113617215"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1205102-d7980976"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/3800"">Untappd</a>"
New World Cider - Medium Sweet,🥉 Bronze,Ci-Fi,Cold Pressed Alcoholic Apple CIder,New South Wales,80,"<a href=""https://pinnacledrinks.com.au/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=18382720107027294885"">Google</a>",,"<a href=""https://untappd.com/PinnacleDrinksQS"">Untappd</a>"
New World Cider - Medium Sweet,🥉 Bronze,Lenswood Cider Company,Apple Cider,South Australia,80,"<a href=""https://www.lenswoodciderco.com.au/"">Website</a>","<a href=""https://www.facebook.com/lenswoodciderco"">Facebook</a>","<a href=""https://www.instagram.com/lenswoodciderco/"">Instagram</a>",,,"<a href=""https://untappd.com/w/lenswood-cider-co/472218"">Untappd</a>"
New World Cider - Medium Sweet,🥉 Bronze,Plenty,Original,Tasmania,80,"<a href=""https://www.plentycider.com.au/"">Website</a>","<a href=""https://www.facebook.com/plentycider/"">Facebook</a>","<a href=""https://www.instagram.com/plentycider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=108618394510087143"">Google</a>",,"<a href=""https://untappd.com/w/plenty-cider/454183"">Untappd</a>"
New World Cider - Medium Sweet,🥉 Bronze,The Apple Thief,Braeburn Gala Cider,New South Wales,79.5,"<a href=""https://theapplethief.com.au/"">Website</a>","<a href=""https://www.facebook.com/TheAppleThiefCiders/"">Facebook</a>","<a href=""https://www.instagram.com/theapplethiefciders/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4762631239680624675"">Google</a>",,"<a href=""https://untappd.com/brewery/21796"">Untappd</a>"
New World Cider - Medium Sweet,🥉 Bronze,Twisted Sister,Twisted Sister Apple Cider,Victoria,79.5,"<a href=""https://www.grand-ridge.com.au/"">Website</a>","<a href=""https://www.facebook.com/grandridgebrewery"">Facebook</a>","<a href=""https://www.instagram.com/grandridgebeer/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8403918293255045179"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g552213-d4791367"">TripAdvisor</a>","<a href=""https://untappd.com/GrandRidgeBrewery"">Untappd</a>"
New World Cider - Medium Sweet,🥉 Bronze,Bilpin Cider,Bilpin Original Cider,New South Wales,78,"<a href=""https://bilpincider.com/"">Website</a>","<a href=""https://www.facebook.com/bilpincider"">Facebook</a>","<a href=""https://www.instagram.com/bilpincider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1982319036704250930"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1093762-d10065632"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/18734"">Untappd</a>"
New World Cider - Medium Sweet,🥉 Bronze,Bilpin Cider,Bilpin Pippndale Apple Cider,New South Wales,78,"<a href=""https://bilpincider.com/"">Website</a>","<a href=""https://www.facebook.com/bilpincider"">Facebook</a>","<a href=""https://www.instagram.com/bilpincider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1982319036704250930"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1093762-d10065632"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/18734"">Untappd</a>"
New World Cider - Sweet,🥈 Silver,Hillbilly Cider,Sweet Julie,New South Wales,87.5,"<a href=""https://hillbillycider.com.au/"">Website</a>","<a href=""https://www.facebook.com/HillbillyCider/"">Facebook</a>","<a href=""https://www.instagram.com/hillbillycider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=904695025997043027"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1093762-d12290596"">TripAdvisor</a>","<a href=""https://untappd.com/w/hillbilly-harvest-co/44163"">Untappd</a>"
New World Cider - Sweet,🥈 Silver,Sydney Brewery,Original Cider,New South Wales,86,"<a href=""https://sydneybrewery.com/"">Website</a>","<a href=""https://www.facebook.com/SydneyBrewery/"">Facebook</a>","<a href=""https://www.instagram.com/sydneybrewery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=6674617705014025022"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g23197656-d15602287"">TripAdvisor</a>","<a href=""https://untappd.com/SydneyBrewhouse"">Untappd</a>"
New World Cider - Sweet,🥈 Silver,Flying Brick Cider Co,Original Cider,Victoria,85,"<a href=""https://flyingbrickciderco.com.au/"">Website</a>","<a href=""https://www.facebook.com/flyingbrickciderco"">Facebook</a>","<a href=""https://www.instagram.com/flyingbrickciderco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=413601929230884265"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g1937720-d7332877"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/33883"">Untappd</a>"
New World Cider - Sweet,🥉 Bronze,Monkey Rock Cider,Apple,Western Australia,84,"<a href=""https://www.monkeyrockwinery.com.au/"">Website</a>","<a href=""https://www.facebook.com/monkeyrockwinerydenmarkWA"">Facebook</a>","<a href=""https://www.instagram.com/monkeyrockwineryandcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4216191327395483874"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g488338-d18942597"">TripAdvisor</a>","<a href=""https://untappd.com/w/monkey-rock-cider/488303"">Untappd</a>"
New World Cider - Sweet,🥉 Bronze,Bilpin Cider,Bilpin Blush Pink Lady Cider,New South Wales,80.5,"<a href=""https://bilpincider.com/"">Website</a>","<a href=""https://www.facebook.com/bilpincider"">Facebook</a>","<a href=""https://www.instagram.com/bilpincider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1982319036704250930"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1093762-d10065632"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/18734"">Untappd</a>"
New World Cider - Sweet,🥉 Bronze,The Wild Beyond,New World Cider,Western Australia,78,"<a href=""https://newleaforchard.com.au/"">Website</a>","<a href=""https://www.facebook.com/wildbeyondcider"">Facebook</a>",,,,
New World Cider - Méthode Traditionnelle (Disgorged),🥈 Silver,Bradys Lookout Cider,Cuvee 13 - Cox Orange Pippin Blend,Tasmania,90,"<a href=""https://www.bradyslookoutcider.com.au/"">Website</a>","<a href=""https://www.facebook.com/bradyslookoutcider"">Facebook</a>","<a href=""https://www.instagram.com/bradys_lookout_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17861747211596541785"">Google</a>",,"<a href=""https://untappd.com/w/brady-s-lookout/225207"">Untappd</a>"
New World Cider - Méthode Traditionnelle (Disgorged),🥈 Silver,Bradys Lookout Cider,Cuvee 14 - Legana Wild Cider,Tasmania,87,"<a href=""https://www.bradyslookoutcider.com.au/"">Website</a>","<a href=""https://www.facebook.com/bradyslookoutcider"">Facebook</a>","<a href=""https://www.instagram.com/bradys_lookout_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17861747211596541785"">Google</a>",,"<a href=""https://untappd.com/w/brady-s-lookout/225207"">Untappd</a>"
New World Cider - Méthode Traditionnelle (Disgorged),🥈 Silver,Bradys Lookout Cider,Cuvee 12 - Heritage Blend,Tasmania,85.5,"<a href=""https://www.bradyslookoutcider.com.au/"">Website</a>","<a href=""https://www.facebook.com/bradyslookoutcider"">Facebook</a>","<a href=""https://www.instagram.com/bradys_lookout_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17861747211596541785"">Google</a>",,"<a href=""https://untappd.com/w/brady-s-lookout/225207"">Untappd</a>"
New World Cider - Méthode Traditionnelle (Disgorged),🥈 Silver,Sunshine Coast Cider,Brut+ Cider Methode Traditionelle,Queensland,85,"<a href=""https://www.sunshinecoastcider.com.au/"">Website</a>","<a href=""https://www.facebook.com/sunshinecoastcider/"">Facebook</a>","<a href=""https://www.instagram.com/sunshinecoastcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10163774916123498605"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g7815622-d21508891"">TripAdvisor</a>","<a href=""https://untappd.com/SunshineCoastCider"">Untappd</a>"
New World Cider - Méthode Traditionnelle (Disgorged),🥉 Bronze,Roleystone Brewing Co,Le Pommier Brut,Western Australia,83.5,"<a href=""https://www.roleystonebrewingco.com/"">Website</a>","<a href=""https://www.facebook.com/RoleystoneBrewingCo/"">Facebook</a>","<a href=""https://www.instagram.com/roleystonebrewingco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8363645666309319654"">Google</a>",,"<a href=""https://untappd.com/RoleystoneBrewingCo"">Untappd</a>"
New World Cider - Méthode Traditionnelle (Disgorged),🥉 Bronze,Bradys Lookout Cider,Cuvee 17,Tasmania,83,"<a href=""https://www.bradyslookoutcider.com.au/"">Website</a>","<a href=""https://www.facebook.com/bradyslookoutcider"">Facebook</a>","<a href=""https://www.instagram.com/bradys_lookout_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17861747211596541785"">Google</a>",,"<a href=""https://untappd.com/w/brady-s-lookout/225207"">Untappd</a>"
Traditional Cider - Dry,🥇 Gold,Simple,Wild Heritage Blend,Tasmania,94,"<a href=""https://simplecider.com.au/"">Website</a>","<a href=""https://www.facebook.com/simplecider"">Facebook</a>","<a href=""https://www.instagram.com/simple.cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16786558994979050480"">Google</a>",,"<a href=""https://untappd.com/w/simple-cider/259809"">Untappd</a>"
Traditional Cider - Dry,🥈 Silver,Daylesford Cider,Organic Brut,Victoria,90,"<a href=""https://daylesfordcider.com.au/"">Website</a>","<a href=""https://www.facebook.com/DaylesfordCider"">Facebook</a>","<a href=""https://www.instagram.com/daylesfordcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3704200538482217988"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2533620-d4506486"">TripAdvisor</a>","<a href=""https://untappd.com/w/daylesford-cider-company/15899"">Untappd</a>"
Traditional Cider - Dry,🥈 Silver,LOBO Cider,Be Wulf,South Australia,86,"<a href=""https://www.lobocider.com.au/"">Website</a>","<a href=""https://www.facebook.com/LOBOcider/"">Facebook</a>","<a href=""https://www.instagram.com/lobocider"">Instagram</a>",,,"<a href=""https://untappd.com/brewery/8446"">Untappd</a>"
Traditional Cider - Dry,🥈 Silver,LOBO Cider,Norma,South Australia,85,"<a href=""https://www.lobocider.com.au/"">Website</a>","<a href=""https://www.facebook.com/LOBOcider/"">Facebook</a>","<a href=""https://www.instagram.com/lobocider"">Instagram</a>",,,"<a href=""https://untappd.com/brewery/8446"">Untappd</a>"
Traditional Cider - Dry,🥈 Silver,Peckham's,Reserve Dry,New Zealand,85,"<a href=""http://www.peckhams.co.nz/"">Website</a>",,,,,"<a href=""https://untappd.com/brewery/23755"">Untappd</a>"
Traditional Cider - Dry,🥉 Bronze,Willie Smith's Tasmanian,Pet Nat Apple Cider,Tasmania,84,"<a href=""https://www.williesmiths.com.au/"">Website</a>","<a href=""https://www.facebook.com/pages/Willie-Smiths-Organic-Cider/260319247336198"">Facebook</a>","<a href=""https://www.instagram.com/williesmithscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16057012530083496420"">Google</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g1175547-d7911074"">TripAdvisor</a>","<a href=""https://untappd.com/WilliamSmithandSons"">Untappd</a>"
Traditional Cider - Dry,🥉 Bronze,LOBO Cider,Lenswulf,South Australia,80.5,"<a href=""https://www.lobocider.com.au/"">Website</a>","<a href=""https://www.facebook.com/LOBOcider/"">Facebook</a>","<a href=""https://www.instagram.com/lobocider"">Instagram</a>",,,"<a href=""https://untappd.com/brewery/8446"">Untappd</a>"
Traditional Cider - Dry,🥉 Bronze,3 Sons Cider,Son Of Cranky,Australian Capital Territory,80,"<a href=""http://www.3sonscider.com.au/"">Website</a>","<a href=""https://www.facebook.com/3SonsCider/"">Facebook</a>","<a href=""https://www.instagram.com/3sonscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16285596579467432961"">Google</a>",,"<a href=""https://untappd.com/3sonscider"">Untappd</a>"
Traditional Cider - Dry,🥉 Bronze,Hart’s Farm,Original Dry Cider,Victoria,78.5,"<a href=""https://www.hartsfarm.com.au/"">Website</a>","<a href=""https://www.facebook.com/Hartsfarm.morningtonpeninsula"">Facebook</a>","<a href=""https://www.instagram.com/hartsfarm"">Instagram</a>","<a href=""https://maps.google.com/?cid=10474103931088012940"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g552256-d2477464"">TripAdvisor</a>","<a href=""https://untappd.com/w/hart-s-farm/278622"">Untappd</a>"
Traditional Cider - Dry,🥉 Bronze,The Apple Thief,Bulmers Norman,New South Wales,77.5,"<a href=""https://theapplethief.com.au/"">Website</a>","<a href=""https://www.facebook.com/TheAppleThiefCiders/"">Facebook</a>","<a href=""https://www.instagram.com/theapplethiefciders/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4762631239680624675"">Google</a>",,"<a href=""https://untappd.com/brewery/21796"">Untappd</a>"
Traditional Cider - Medium,🥇 Gold,Plenty,2022 Cornucopia,Tasmania,93,"<a href=""https://www.plentycider.com.au/"">Website</a>","<a href=""https://www.facebook.com/plentycider/"">Facebook</a>","<a href=""https://www.instagram.com/plentycider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=108618394510087143"">Google</a>",,"<a href=""https://untappd.com/w/plenty-cider/454183"">Untappd</a>"
Traditional Cider - Medium,🥈 Silver,LOBO Cider,Trad,South Australia,90,"<a href=""https://www.lobocider.com.au/"">Website</a>","<a href=""https://www.facebook.com/LOBOcider/"">Facebook</a>","<a href=""https://www.instagram.com/lobocider"">Instagram</a>",,,"<a href=""https://untappd.com/brewery/8446"">Untappd</a>"
