Medalist,🏆 BIC,🥇 Gold,🥈 Silver,🥉 Bronze,Total,First,Last,Years,City,Region,Country,Status,Results
Virtue Cider,1,5,38,24,68,2013,2023,10,Fennville,Michigan,USA,Active,https://ciderguide.com/virtue-cider/
Stem Ciders,3,4,34,23,64,2014,2024,10,Denver,Colorado,USA,Active,https://ciderguide.com/stem-ciders/
Crispin Cider Company,2,4,23,35,64,2006,2021,9,Colfax,California,USA,Inactive,https://ciderguide.com/crispin-cider-company/
Cidrerie Milton,9,8,25,20,62,2013,2023,10,Sainte-Cécile-de-Milton,Quebec,Canada,Active,https://ciderguide.com/cidrerie-milton/
Threadbare Cider,2,4,28,28,62,2018,2024,6,Pittsburgh,Pennsylvania,USA,Active,https://ciderguide.com/threadbare-cider/
Sea Cider Farm & Ciderhouse,1,8,29,24,62,2014,2024,10,Saanichton,British Columbia,Canada,Active,https://ciderguide.com/sea-cider-farm-ciderhouse/
Tieton Cider Works,3,2,31,25,61,2011,2022,10,Yakima,Washington,USA,Active,https://ciderguide.com/tieton-cider-works/
Puget Sound Cider Company,0,12,33,14,59,2019,2024,5,Renton,Washington,USA,Active,https://ciderguide.com/puget-sound-cider-company/
Raven's Moon Craft Cider,0,1,37,21,59,2018,2024,6,Courtenay,British Columbia,Canada,Active,https://ciderguide.com/ravens-moon-craft-cider/
Starcut Ciders,4,4,22,24,54,2015,2023,8,Bellaire,Michigan,USA,Active,https://ciderguide.com/starcut-ciders/
St. Vrain Cidery,0,9,23,20,52,2016,2024,8,Longmont,Colorado,USA,Active,https://ciderguide.com/st-vrain-cidery/
Island Orchard Cider,1,4,26,18,49,2015,2024,8,Ellison Bay,Wisconsin,USA,Active,https://ciderguide.com/island-orchard-cider/
Arsenal Cider House,2,6,26,13,47,2016,2022,5,Pittsburgh,Pennsylvania,USA,Active,https://ciderguide.com/arsenal-cider-house/
West Avenue Cider,3,6,20,15,44,2014,2023,8,Freelton,Ontario,Canada,Active,https://ciderguide.com/west-avenue-cider/
Salt Spring Wild Cider,5,4,30,4,43,2018,2023,4,Salt Spring Island,British Columbia,Canada,Active,https://ciderguide.com/salt-spring-wild-cider/
Colorado Cider Company,4,6,18,15,43,2014,2024,10,Denver,Colorado,USA,Active,https://ciderguide.com/colorado-cider-company/
Brooklyn Cider House,4,1,19,19,43,2016,2024,8,New Paltz,New York,USA,Active,https://ciderguide.com/brooklyn-cider-house/
Bold Rock Hard Cider,1,4,25,13,43,2016,2024,6,Nellysford,Virginia,USA,Active,https://ciderguide.com/bold-rock-hard-cider/
Ernest Cider,1,3,26,12,42,2017,2024,7,Newmarket,Ontario,Canada,Active,https://ciderguide.com/ernest-cider/
Swift Cider,0,5,26,11,42,2016,2023,6,Portland,Oregon,USA,Active,https://ciderguide.com/swift-cider/
Empyrical Orchard & Cidery,8,8,19,6,41,2019,2024,5,Snohomish,Washington,USA,Active,https://ciderguide.com/empyrical-orchard-cidery/
Winery at Black Star Farms,6,5,13,17,41,2005,2021,12,Suttons Bay,Michigan,USA,Active,https://ciderguide.com/winery-at-black-star-farms/
Donovan Orchards Estate Ciders,2,0,21,18,41,2012,2023,11,Barker,New York,USA,Active,https://ciderguide.com/donovan-orchards-estate-ciders/
Albemarle CiderWorks,1,10,18,12,41,2012,2024,10,North Garden,Virginia,USA,Active,https://ciderguide.com/albemarle-ciderworks/
Cider Creek Hard Cider,0,2,12,27,41,2015,2019,5,Canisteo,New York,USA,Active,https://ciderguide.com/cider-creek-hard-cider/
Finnriver Farm and Cidery,4,5,15,16,40,2011,2023,10,Chimacum,Washington,USA,Active,https://ciderguide.com/finnriver-farm-and-cidery/
Stormalong Cider,1,5,20,13,39,2015,2024,8,Sherborn,Massachusetts,USA,Active,https://ciderguide.com/stormalong-cider/
Kings Highway Fine Cider,0,2,19,18,39,2016,2018,3,Millerton,New York,USA,Active,https://ciderguide.com/kings-highway-fine-cider/
Cidrerie du Minot,7,3,16,12,38,2016,2019,4,Hemmingford,Quebec,Canada,Active,https://ciderguide.com/cidrerie-du-minot/
Snowdrift Cider Co.,4,5,17,12,38,2009,2023,9,East Wenatchee,Washington,USA,Active,https://ciderguide.com/snowdrift-cider-co/
Wandering Aengus Ciderworks,1,10,17,10,38,2006,2016,7,Salem,Oregon,USA,Inactive,https://ciderguide.com/wandering-aengus-ciderworks/
Eris Brewery & Cider House,1,1,20,16,38,2018,2024,6,Chicago,Illinois,USA,Active,https://ciderguide.com/eris-brewery-cider-house/
Embark Craft Ciderworks,0,4,18,16,38,2015,2024,6,Williamson,New York,USA,Active,https://ciderguide.com/embark-craft-ciderworks/
Locust Cider,0,0,16,22,38,2016,2024,8,Woodinville,Washington,USA,Active,https://ciderguide.com/locust-cider/
City Orchard,1,4,24,8,37,2017,2023,6,Houston,Texas,USA,Active,https://ciderguide.com/city-orchard/
Glacial Till Vineyard & Winery,1,1,24,11,37,2022,2024,3,Ashland,Nebraska,USA,Active,https://ciderguide.com/glacial-till-vineyard-winery/
ANXO Cider,1,1,19,16,37,2016,2024,7,Washington,District of Columbia,USA,Active,https://ciderguide.com/anxo-cider/
Robinette Cellars,0,1,13,23,37,2006,2021,13,Grand Rapids,Michigan,USA,Active,https://ciderguide.com/robinette-cellars/
Bee Well Mead & Cider,5,1,13,17,36,2016,2023,7,Bellaire,Michigan,USA,Active,https://ciderguide.com/bee-well-mead-cider/
Cider Hill Cellars,4,4,20,8,36,2018,2024,6,Amesbury,Massachusetts,USA,Active,https://ciderguide.com/cider-hill-cellars/
Thor's Hard Cider,3,5,17,11,36,2018,2023,5,Stillwater,Minnesota,USA,Active,https://ciderguide.com/thors-hard-cider/
Left Foot Charley,1,3,21,11,36,2011,2023,10,Traverse City,Michigan,USA,Active,https://ciderguide.com/left-foot-charley/
Jefferson County Ciderworks,4,3,19,9,35,2017,2024,5,Fairfield,Iowa,USA,Active,https://ciderguide.com/jefferson-county-ciderworks/
Sapsucker Farms Yellow Belly Cidery,1,3,15,15,34,2017,2024,7,Mora,Minnesota,USA,Active,https://ciderguide.com/sapsucker-farms-yellow-belly-cidery/
Ciderboys,1,3,13,17,34,2014,2022,7,Stevens Point,Wisconsin,USA,Active,https://ciderguide.com/ciderboys/
Castle Hill Cider,1,0,18,15,34,2012,2023,10,Keswick,Virginia,USA,Inactive,https://ciderguide.com/castle-hill-cider/
Big Fish Cider Co.,4,8,17,4,33,2016,2024,8,Monterey,Virginia,USA,Active,https://ciderguide.com/big-fish-cider-co/
Sage Bird Ciderworks,1,4,23,5,33,2021,2024,4,Harrisonburg,Virginia,USA,Active,https://ciderguide.com/sage-bird-ciderworks/
McClure's Orchard & Winery,0,4,10,19,33,2011,2023,7,Peru,Indiana,USA,Active,https://ciderguide.com/mcclures-orchard-winery/
Annapolis Cider Company,4,3,17,8,32,2017,2024,3,Wolfville,Nova Scotia,Canada,Active,https://ciderguide.com/annapolis-cider-company/
Rootstock Ciderworks,2,3,19,8,32,2015,2022,7,Marion,New York,USA,Inactive,https://ciderguide.com/rootstock-ciderworks/
Westcott Bay Cider,2,3,15,12,32,2006,2019,11,Friday Harbor,Washington,USA,Active,https://ciderguide.com/westcott-bay-cider/
Big B's Hard Cider,0,1,15,16,32,2013,2019,7,Hotchkiss,Colorado,USA,Active,https://ciderguide.com/big-bs-hard-cider/
Black Diamond Cider,5,6,14,6,31,2017,2023,6,Trumansburg,New York,USA,Active,https://ciderguide.com/black-diamond-cider/
Cidrerie Verger Bilodeau,3,2,18,8,31,2017,2024,7,Saint-Pierre,Quebec,Canada,Active,https://ciderguide.com/cidrerie-verger-bilodeau/
Two K Farms,1,4,14,12,31,2019,2024,5,Suttons Bay,Michigan,USA,Active,https://ciderguide.com/two-k-farms/
Gowan's Heirloom Ciders,7,1,17,5,30,2018,2023,5,Philo,California,USA,Active,https://ciderguide.com/gowans-heirloom-ciders/
Pux Cider,1,3,15,11,30,2016,2024,8,Grand Rapids,Michigan,USA,Active,https://ciderguide.com/pux-cider/
Portland Cider Company,1,3,14,12,30,2013,2023,8,Clackamas,Oregon,USA,Active,https://ciderguide.com/portland-cider-company/
Incline Cider Company,1,2,16,11,30,2017,2024,5,Auburn,Washington,USA,Active,https://ciderguide.com/incline-cider-company/
Hogan's Cider,5,4,13,7,29,2011,2019,9,Alcestor,Warwickshire,England,Active,https://ciderguide.com/hogans-cider/
Oliver's Cider and Perry,2,3,13,11,29,2009,2019,9,Ocle Pychard,Herefordshire,England,Active,https://ciderguide.com/olivers-cider-and-perry/
Meriwether Cider Company,4,2,17,5,28,2018,2024,6,Garden City,Idaho,USA,Active,https://ciderguide.com/meriwether-cider-company/
Liberty Ciderworks,1,3,11,13,28,2013,2021,8,Spokane,Washington,USA,Active,https://ciderguide.com/liberty-ciderworks/
Thornapple Brewing Company,1,2,9,16,28,2017,2024,7,Grand Rapids,Michigan,USA,Active,https://ciderguide.com/thornapple-brewing-company/
California Cider Company,0,6,10,12,28,2015,2023,7,Sebastopol,California,USA,Active,https://ciderguide.com/california-cider-company/
Number 12 Cider,0,3,17,8,28,2016,2024,6,Minneapolis,Minnesota,USA,Active,https://ciderguide.com/number-12-cider/
Windy Hill Orchard & Cidery,0,1,12,15,28,2011,2019,9,York,South Carolina,USA,Active,https://ciderguide.com/windy-hill-orchard-cidery/
Loch Mór Cider Co.,4,5,14,4,27,2021,2024,4,Wellington,Ontario,Canada,Active,https://ciderguide.com/loch-mor-cider-co/
Sidra El Gaitero,2,2,12,11,27,2018,2024,5,Villaviciosa,Asturias,Spain,Active,https://ciderguide.com/sidra-el-gaitero/
Lost Boy Cider,0,1,17,9,27,2021,2024,4,Alexandria,Virginia,USA,Active,https://ciderguide.com/lost-boy-cider/
Townline Ciderworks,2,2,16,6,26,2017,2024,6,Williamsburg,Michigan,USA,Active,https://ciderguide.com/townline-ciderworks/
Vala's Orchard Cider,1,5,8,12,26,2021,2024,4,Gretna,Nebraska,USA,Active,https://ciderguide.com/valas-orchard-cider/
KW Craft Cider,0,1,19,6,26,2015,2022,7,Waterloo,Ontario,Canada,Active,https://ciderguide.com/kw-craft-cider/
Champlain Orchards,1,5,16,3,25,2013,2023,7,Shoreham,Vermont,USA,Active,https://ciderguide.com/champlain-orchards/
Deep Roots Hard Cider,1,1,13,10,25,2016,2024,8,Sugar Run,Pennsylvania,USA,Active,https://ciderguide.com/deep-roots-hard-cider/
Mountain West Cider Company,1,0,15,9,25,2016,2024,4,Salt Lake City,Utah,USA,Active,https://ciderguide.com/mountain-west-cider-company/
Phillips Orchards & Cider Mill,0,1,16,8,25,2019,2024,5,St Johns,Michigan,USA,Active,https://ciderguide.com/phillips-orchards-cider-mill/
Atlanta Hard Cider Co.,2,1,17,4,24,2019,2024,5,Atlanta,Georgia,USA,Active,https://ciderguide.com/atlanta-hard-cider-co/
Urban Tree Hard Cider,2,0,13,9,24,2016,2022,6,Atlanta,Georgia,USA,Active,https://ciderguide.com/urban-tree-hard-cider/
Slake Cider,1,5,10,8,24,2012,2018,6,McMinnville,Oregon,USA,Inactive,https://ciderguide.com/slake-cider/
Cambium Cider Co,1,2,14,7,24,2015,2023,7,Vernon,British Columbia,Canada,Active,https://ciderguide.com/cambium-cider-co/
Distillery Lane Ciderworks,0,2,7,15,24,2011,2017,7,Jefferson,Maryland,USA,Inactive,https://ciderguide.com/distillery-lane-ciderworks/
Suttons Bay Ciders,3,0,9,11,23,2017,2024,6,Suttons Bay,Michigan,USA,Active,https://ciderguide.com/suttons-bay-ciders/
Peat's Original Cider,2,3,12,6,23,2018,2024,5,Stevensville,Michigan,USA,Active,https://ciderguide.com/peats-original-cider/
Bull City Ciderworks,2,3,10,8,23,2018,2022,4,Lexington,North Carolina,USA,Active,https://ciderguide.com/bull-city-ciderworks/
Citizen Cider,2,0,12,9,23,2016,2021,5,Burlington,Vermont,USA,Active,https://ciderguide.com/citizen-cider/
Presque Isle Farm Cider,1,3,12,7,23,2021,2024,4,Posen,Michigan,USA,Active,https://ciderguide.com/presque-isle-farm-cider/
James Creek Cider House,1,0,10,12,23,2016,2024,6,Cameron,North Carolina,USA,Active,https://ciderguide.com/james-creek-cider-house/
Beaver Valley Orchard & Cidery,0,2,3,18,23,2014,2021,7,Kimberley,Ontario,Canada,Inactive,https://ciderguide.com/beaver-valley-orchard-cidery/
Hazlitt 1852 Vineyards,0,1,12,10,23,2016,2023,7,Naples,New York,USA,Active,https://ciderguide.com/hazlitt-1852-vineyards/
Yip Cider,2,1,11,8,22,2018,2024,5,Long Reach,New Brunswick,Canada,Active,https://ciderguide.com/yip-cider/
Papa Moon Vineyards & Winery,1,2,8,11,22,2021,2024,4,Scottsbluff,Nebraska,USA,Active,https://ciderguide.com/papa-moon-vineyards-winery/
Blue Toad Hard Cider,1,2,7,12,22,2017,2024,7,Roseland,Virginia,USA,Active,https://ciderguide.com/blue-toad-hard-cider/
Green Bench Brewing Co.,0,1,14,7,22,2019,2024,5,St. Petersburg,Florida,USA,Active,https://ciderguide.com/green-bench-brewing-co/
Bull Run Cider,0,1,9,12,22,2013,2022,7,Forest Grove,Oregon,USA,Active,https://ciderguide.com/bull-run-cider/
Fenceline Cider,0,1,9,12,22,2019,2023,4,Mancos,Colorado,USA,Active,https://ciderguide.com/fenceline-cider/
Sidra Trabanco,3,2,8,8,21,2014,2024,7,Llavandera,Asturias,Spain,Active,https://ciderguide.com/sidra-trabanco/
Brickworks Ciderhouse,1,3,9,8,21,2016,2022,5,Toronto,Ontario,Canada,Active,https://ciderguide.com/brickworks-ciderhouse/
Noble Cider,1,3,9,8,21,2016,2023,6,Asheville,North Carolina,USA,Active,https://ciderguide.com/noble-cider/
Original Sin Cider,0,4,13,4,21,2009,2023,7,New York,New York,USA,Active,https://ciderguide.com/original-sin-cider/
Teal Cider,0,1,10,10,21,2017,2021,4,Dolores,Colorado,USA,Inactive,https://ciderguide.com/teal-cider/
Grey & Gold Cider,2,3,6,9,20,2017,2023,5,Clarksburg,Ontario,Canada,Active,https://ciderguide.com/grey-gold-cider/
Nashi Orchards,2,2,8,8,20,2016,2024,5,Vashon,Washington,USA,Active,https://ciderguide.com/nashi-orchards/
Mcintosh Cellars,1,2,7,10,20,2006,2019,9,South Haven,Michigan,USA,Inactive,https://ciderguide.com/mcintosh-cellars/
Ficklewood Ciderworks,0,1,12,7,20,2021,2024,3,Long Beach,California,USA,Active,https://ciderguide.com/ficklewood-ciderworks/
Pommies Cider Co.,0,1,7,12,20,2013,2018,6,Caledon,Ontario,Canada,Active,https://ciderguide.com/pommies-cider-co/
The Cider Farm,2,1,12,4,19,2014,2024,4,Mineral Point,Wisconsin,USA,Active,https://ciderguide.com/the-cider-farm/
Heeman's,1,2,11,5,19,2021,2024,4,Thorndale,Ontario,Canada,Active,https://ciderguide.com/heemans/
Windswept Orchard Cider,1,2,7,9,19,2017,2022,4,Meaford,Ontario,Canada,Active,https://ciderguide.com/windswept-orchard-cider/
Blackgrass Ciderworks,0,0,7,12,19,2021,2023,3,Birmingham,Michigan,USA,Active,https://ciderguide.com/blackgrass-ciderworks/
Meckley's Cidery,0,0,4,15,19,2013,2016,4,Cement City,Michigan,USA,Active,https://ciderguide.com/meckleys-cidery/
Twisted Hills Craft Cider,3,2,8,5,18,2016,2019,4,Cawston,British Columbia,Canada,Active,https://ciderguide.com/twisted-hills-craft-cider/
Dragon's Head Cider,3,0,7,8,18,2017,2021,4,Vashon,Washington,USA,Active,https://ciderguide.com/dragons-head-cider/
EsoTerra Ciderworks,2,1,9,6,18,2021,2022,2,Dolores,Colorado,USA,Active,https://ciderguide.com/esoterra-ciderworks/
Montana CiderWorks,1,5,7,5,18,2012,2023,8,Darby,Montana,USA,Active,https://ciderguide.com/montana-ciderworks/
Chain Yard Cider,1,2,11,4,18,2019,2024,3,Halifax,Nova Scotia,Canada,Active,https://ciderguide.com/chain-yard-cider/
Spirit Tree Estate Cidery,0,2,7,9,18,2011,2017,6,Caledon,Ontario,Canada,Active,https://ciderguide.com/spirit-tree-estate-cidery/
Minneapolis Cider Company,0,1,12,5,18,2016,2024,4,Minneapolis,Minnesota,USA,Active,https://ciderguide.com/minneapolis-cider-company/
Etta Place Cider,0,1,7,10,18,2021,2024,4,Torrey,Utah,USA,Active,https://ciderguide.com/etta-place-cider/
Forgotten Ciders,0,0,7,11,18,2015,2018,4,Wheeler,Michigan,USA,Inactive,https://ciderguide.com/forgotten-ciders/
Sidra Mayador,4,1,5,7,17,2016,2024,7,La Rasa,Asturias,Spain,Active,https://ciderguide.com/sidra-mayador/
Michigan Wine Company,3,2,9,3,17,2019,2024,5,Fennville,Michigan,USA,Active,https://ciderguide.com/michigan-wine-company/
Avid Cider,1,0,4,12,17,2014,2024,4,Bend,Oregon,USA,Active,https://ciderguide.com/avid-cider/
Journey North Cider Co.,0,1,10,6,17,2021,2022,2,Bonnyville,Alberta,Canada,Active,https://ciderguide.com/journey-north-cider-co/
Hawk Knob,0,1,8,8,17,2016,2021,5,Lewisburg,West Virginia,USA,Active,https://ciderguide.com/hawk-knob/
Five Maidens Cider Company,0,1,7,9,17,2023,2024,2,Bethlehem,Pennsylvania,USA,Active,https://ciderguide.com/five-maidens-cider-company/
Spicer's Winery,0,1,5,11,17,2009,2016,7,Fenton,Michigan,USA,Active,https://ciderguide.com/spicers-winery/
Sonoma Cider,0,0,7,10,17,2015,2017,3,Fresno,California,USA,Active,https://ciderguide.com/sonoma-cider/
Door Peninsula Winery,1,4,6,5,16,2018,2024,5,Sturgeon Bay,Wisconsin,USA,Active,https://ciderguide.com/door-peninsula-winery/
Wooden Gate Cider,1,1,7,7,16,2022,2023,2,Pilot Mound,Manitoba,Canada,Active,https://ciderguide.com/wooden-gate-cider/
Apple Valley Cider Company,1,1,4,10,16,2019,2023,4,Penrose,Colorado,USA,Active,https://ciderguide.com/apple-valley-cider-company/
Wyndridge Farm,0,2,10,4,16,2016,2021,4,Dallastown,Pennsylvania,USA,Active,https://ciderguide.com/wyndridge-farm/
Wilson's Orchard & Farm,0,1,11,4,16,2022,2022,1,Iowa City,Iowa,USA,Active,https://ciderguide.com/wilsons-orchard-farm/
Offset Ciderworks,0,1,10,5,16,2021,2024,3,Seattle,Washington,USA,Active,https://ciderguide.com/offset-ciderworks/
Peninsula Cellars,0,0,8,8,16,2021,2024,3,Traverse City,Michigan,USA,Active,https://ciderguide.com/peninsula-cellars/
Appleholic Cider Company,0,0,7,9,16,2018,2021,3,Leland,Michigan,USA,Inactive,https://ciderguide.com/appleholic-cider-company/
C Squared Ciders,3,1,5,6,15,2016,2019,4,Denver,Colorado,USA,Inactive,https://ciderguide.com/c-squared-ciders/
Ragged Hill Cider,1,3,2,9,15,2018,2023,5,West Brookfield,Massachusetts,USA,Active,https://ciderguide.com/ragged-hill-cider/
Stoic Cider,1,2,9,3,15,2018,2024,5,Prescott,Arizona,USA,Active,https://ciderguide.com/stoic-cider/
Slabtown Cider Co.,0,2,7,6,15,2023,2023,1,Uxbridge,Ontario,Canada,Active,https://ciderguide.com/slabtown-cider-co/
Reverend Nat's Hard Cider,0,2,5,8,15,2013,2016,4,Portland,Oregon,USA,Inactive,https://ciderguide.com/reverend-nats-hard-cider/
Shiny Apple Cider,0,1,8,6,15,2016,2023,4,Niagara-on-the-Lake,Ontario,Canada,Active,https://ciderguide.com/shiny-apple-cider/
Wise Bird Cider,0,1,8,6,15,2021,2024,4,Lexington,Kentucky,USA,Active,https://ciderguide.com/wise-bird-cider/
Bishops Orchards Winery,0,1,2,12,15,2014,2016,3,Guilford,Connecticut,USA,Active,https://ciderguide.com/bishops-orchards-winery/
Waves Cider Co.,0,0,9,6,15,2021,2023,3,Columbia,Missouri,USA,Active,https://ciderguide.com/waves-cider-co/
Scenic Road Cider Co.,2,1,10,1,14,2017,2021,4,Kelowna,British Columbia,Canada,Active,https://ciderguide.com/scenic-road-cider-co/
Elk Horn Brewery & Ciderhouse,2,0,3,9,14,2017,2022,3,Eugene,Oregon,USA,Active,https://ciderguide.com/elk-horn-brewery-ciderhouse/
Tulip Valley Vineyard & Orchard,1,4,5,4,14,2005,2023,10,Mt Vernon,Washington,USA,Active,https://ciderguide.com/tulip-valley-vineyard-orchard/
Aspall,0,1,7,6,14,2009,2012,3,Debenham,Suffolk,England,Active,https://ciderguide.com/aspall/
Sietsema Orchards,0,1,5,8,14,2013,2018,6,Ada,Michigan,USA,Inactive,https://ciderguide.com/sietsema-orchards/
45 North Vineyard & Winery,0,0,8,6,14,2016,2019,4,Lake Leelanau,Michigan,USA,Active,https://ciderguide.com/45-north-vineyard-winery/
Cider Riot!,0,0,5,9,14,2015,2019,4,Portland,Oregon,USA,Inactive,https://ciderguide.com/cider-riot/
Space Time Mead & Cider Works,0,0,4,10,14,2019,2024,5,Dunmore,Pennsylvania,USA,Active,https://ciderguide.com/space-time-mead-cider-works/
Le Père Jules,3,2,7,1,13,2014,2017,3,Saint Desir de Lisieux,Normandy,France,Active,https://ciderguide.com/le-pere-jules/
Celtic Marches,2,1,5,5,13,2018,2021,3,Bishops Frome,Worcestershire,England,Active,https://ciderguide.com/celtic-marches/
Bulwark Cider,2,0,3,8,13,2016,2018,3,New Ross,Nova Scotia,Canada,Active,https://ciderguide.com/bulwark-cider/
County Cider Company,1,0,8,4,13,2011,2017,4,Waupoos,Ontario,Canada,Active,https://ciderguide.com/county-cider-company/
Tideview Cider,1,0,7,5,13,2009,2014,4,Greenwich,Nova Scotia,Canada,Inactive,https://ciderguide.com/tideview-cider/
Pencil Hound Ciders,0,2,7,4,13,2021,2022,2,Dolores,Colorado,USA,Inactive,https://ciderguide.com/pencil-hound-ciders/
Niagara Cider Company,0,1,10,2,13,2019,2022,3,Niagara Falls,Ontario,Canada,Active,https://ciderguide.com/niagara-cider-company/
Wild State Cider,0,0,9,4,13,2021,2023,3,Duluth,Minnesota,USA,Active,https://ciderguide.com/wild-state-cider/
Big Hill Ciderworks,0,0,6,7,13,2014,2019,5,Gardners,Pennsylvania,USA,Active,https://ciderguide.com/big-hill-ciderworks/
Ferme de la Sapinière,0,0,5,8,13,2014,2018,5,Saint-Laurent-sur-Mer,Normandy,France,Active,https://ciderguide.com/ferme-de-la-sapiniere/
Treasury Cider at Fishkill Farms,0,0,4,9,13,2018,2022,4,Hopewell Junction,New York,USA,Active,https://ciderguide.com/treasury-cider-at-fishkill-farms/
Puddicombe Estate Farm,0,0,3,10,13,2012,2019,5,Winona,Ontario,Canada,Active,https://ciderguide.com/puddicombe-estate-farm/
Patriots' Heritage Cider,0,0,2,11,13,2017,2021,4,Schaghticoke,New York,USA,Active,https://ciderguide.com/patriots-heritage-cider/
Dunkertons Cider and Perry,4,0,3,5,12,2017,2021,4,Cheltenham,Herefordshire,England,Active,https://ciderguide.com/dunkertons-cider-and-perry/
Sidewood Estate,3,1,5,3,12,2018,2023,4,Hahndorf,South Australia,Australia,Active,https://ciderguide.com/sidewood-estate/
Maiden Rock Winery & Cidery,2,1,6,3,12,2011,2023,8,Stockholm,Wisconsin,USA,Active,https://ciderguide.com/maiden-rock-winery-cidery/
Red Rover Craft Cider,2,1,1,8,12,2016,2019,4,Fredericton,New Brunswick,Canada,Active,https://ciderguide.com/red-rover-craft-cider/
Two Blokes Cider,2,0,2,8,12,2018,2024,3,Seagrave,Ontario,Canada,Active,https://ciderguide.com/two-blokes-cider/
Ragged and Right Cider Project,1,1,7,3,12,2021,2022,2,Mount Vernon,Washington,USA,Active,https://ciderguide.com/ragged-and-right-cider-project/
Square Mile Cider,1,0,5,6,12,2015,2019,5,Portland,Oregon,USA,Active,https://ciderguide.com/square-mile-cider/
Headwater Cider,0,2,3,7,12,2015,2024,6,Hawley,Massachusetts,USA,Active,https://ciderguide.com/headwater-cider/
Collective Arts Brewing,0,1,7,4,12,2017,2021,4,Hamilton,Ontario,Canada,Active,https://ciderguide.com/collective-arts-brewing/
Seminary Hill Orchard & Cidery,0,1,7,4,12,2022,2024,3,Callicoon,New York,USA,Active,https://ciderguide.com/seminary-hill-orchard-cidery/
White Winter Winery,0,1,4,7,12,2005,2024,7,Iron River,Wisconsin,USA,Active,https://ciderguide.com/white-winter-winery/
Brew Lab 101 Beer & Cider Co.,0,0,9,3,12,2022,2024,3,Rio Rancho,New Mexico,USA,Active,https://ciderguide.com/brew-lab-101-beer-cider-co/
Harpers Ferry Brewing,0,0,7,5,12,2023,2024,2,Purcellville,Virginia,USA,Active,https://ciderguide.com/harpers-ferry-brewing/
Ridge Cider Co.,0,0,6,6,12,2016,2019,4,Grant,Michigan,USA,Inactive,https://ciderguide.com/ridge-cider-co/
The Great Canadian Cider Company,0,0,6,6,12,2017,2019,3,Collingwood,Ontario,Canada,Inactive,https://ciderguide.com/the-great-canadian-cider-company/
Common Cider Company,0,0,5,7,12,2015,2018,3,Auburn,California,USA,Inactive,https://ciderguide.com/common-cider-company/
Bryant's Cider,0,0,4,8,12,2019,2022,3,Roseland,Virginia,USA,Active,https://ciderguide.com/bryants-cider/
Spring Hill Cider Works,0,0,4,8,12,2017,2024,7,Geneva,Ohio,USA,Active,https://ciderguide.com/spring-hill-cider-works/
Methow Valley Ciderhouse,1,1,4,5,11,2013,2018,5,Winthrop,Washington,USA,Active,https://ciderguide.com/methow-valley-ciderhouse/
