Year,Medalist,Product,Category,Region
2021,Cider Sekt,Cidertalk Semiseca,Semi-Dry Sparkling Cider,Czechia
2021,Cider Sekt,Cider Talk by Provoco amarga,Sweet Sparkling Cider,Czechia
2021,Llagares Valverán,Valverán 20 Manzanas,Ice Cider,Asturias
2021,Jörg Geiger,1797 C.-Bratbirnem sin alcohol,Perry,Germany
2021,Jörg Geiger,BP Licor de sidra,Cider Liqueur,Germany
2021,Casería San Juan del Obispo,Salvador del Obispo,Cider Spirits,Asturias
2021,Jörg Geiger,SWO Cider,Flavored Cider,Germany
2021,Jörg Geiger,!Wehmut,Aperitif Cider,Germany
2021,Kuartango,Su Sagardoa,Fire Cider,Basque Country
2021,Sidra Viuda de Angelón,Pomar Rosée,Rosé Cider,Asturias
2021,Fjordfolk Mikrobryggeri,South Seas Cider,Hopped Cider,Norway
2021,Sidra Fran,Ramos del Valle Brut Nature DOP,Sparkling Brut Nature Cider,Asturias
2022,Sidra Riestra,Guzmán Cider,Dry Still Cider,Asturias
2022,Sidra Alfa,Sidra Alfa,Semi-Dry Still Cider,Portugal
2022,Sidra Posma,Posma,Sweet Still Cider,Canary Islands
2022,Paladeus,Frizzante di mela'17 (Champanoise),Brut Sparkling Cider,Italy
2022,Tālava,Talava Apple cider dry,Brut Sparkling Cider,Latvia
2022,Sidra Riestra,Guzman Riestra Brut Nature,Sparkling Brut Nature Cider,Asturias
2022,Lucia Maria Melchiori,Organic Apple Cider Finissimmo,Semi-Dry Sparkling Cider,Italy
2022,Iturrieta Sagardotegia,Sagetzi,Flavored Cider,Basque Country
2022,Jörg Geiger,EisApfel,Ice Cider,Germany
2022,Kuartango,Su Sagardoa,Fire Cider,Basque Country
2022,Naturcidre,karcherbirne 2020 sec,Perry,Germany
2022,Maley,Le Cristallier,Cider Liqueur,Italy
2022,Casería San Juan del Obispo,Salvador 9 años,Cider Spirits,Asturias
2022,Cidrerie Berri,Sagarfir,Most Original Cider,Basque Country
2023,Cydr Dwaj Bracia,Antonowka,Dry Cider,Poland
2023,Exner Cider,Craft Apple Cider,Semi Dry Cider,Asturias
2023,Jörg Geiger,HolzApfel Manufaktur,Sweet Cider,Germany
2023,Lagar de Valleseco,Espumosa Brut,Brut Sparkling Cider,Canary Islands
2023,Sidra Posma,Posma semiseca,Semi-Dry Sparkling Cider,Canary Islands
2023,Cider Sekt,Polosladky,Sweet Sparkling Cider,Czechia
2023,Stonewell Cider,Ros,Flavored Cider,Ireland
2023,Sidra Panizales,Sidra de Hielo,Ice Cider,Asturias
2023,Sidra Panizales,Sidra de Fuego,Fire Cider,Asturias
2023,Mooma,Sidra de Pera,Pear Cider,Catalonia
2023,Jörg Geiger,AP,Cider Liqueur,Germany
2023,Casería San Juan del Obispo,Salvador,Cider Spirits,Asturias
2023,Tālava,Non Alcoholic,Other Ciders,Latvia
2023,Sidra La Naveta,Sidrut,Cider Vermouth,Asturias
2024,Fukiware Cidrerie,Numata Apples Dry Ex-Brut,Dry Cider,Japan
2024,Mooma,Sidra de Poma,Semi Dry Cider,Catalonia
2024,Fukiware Cidrerie,Numata Apples Sweet,Sweet Cider,Japan
2024,Sidra Fran,Ramos del Valle Brut,Brut Sparkling Cider,Asturias
2024,Lauskis,Abolu Sidrs Pussalds,Semi-Dry Sparkling Cider,Latvia
2024,Jörg Geiger,Birnengold,Sweet Sparkling Cider,Germany
2024,Petritegi,La Petri,Sweet Carbonated Cider,Basque Country
2024,Jörg Geiger,Schwäbischer Kir,Flavored Cider,Germany
2024,Sidra Riestra,Sidra de Hielo,Ice Cider,Asturias
2024,Kuartango,Su-Sagardoa,Fire Cider,Basque Country
2024,Jörg Geiger,CBB 2014,Pear Cider,Germany
2024,Jörg Geiger,BP,Cider Liqueur,Germany
2024,La Maison Ferré,La Réserve de Pierre,Cider Spirit,France
2024,Sidra Castañón,Roxmut,Cider Vermouth,Asturias
