Year,Medalist,🏆 BIC,🥇 Gold,🥈 Silver,🥉 Bronze,Total
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Embark Craft Ciderworks,0,0,5,2,7
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",ANXO Cider,0,0,4,3,7
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Bird Dog Cider,0,0,3,4,7
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Papa Moon Vineyards & Winery,0,0,3,4,7
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Two K Farms,0,0,3,4,7
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Etta Place Cider,0,0,2,5,7
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",High Limb Hard Cider,0,0,2,5,7
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Peninsula Cellars,0,0,2,5,7
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Nashi Orchards,1,0,2,3,6
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Shuswap Cider Co.,1,0,2,3,6
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Thornapple Brewing Company,1,0,1,4,6
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Punx Cider Worx,0,1,4,1,6
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Heeman's,0,0,3,3,6
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Number 12 Cider,0,0,3,3,6
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Eris Brewery & Cider House,0,0,2,4,6
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Michigan Wine Company,2,0,2,1,5
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",1911 Established,1,1,2,1,5
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",The Cider Farm,1,0,4,0,5
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Sapsucker Farms Yellow Belly Cidery,1,0,2,2,5
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Sidra El Gaitero,1,0,2,2,5
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Odd Brothers Craft Cider,0,1,2,2,5
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Farmhaus Cider Co.,0,1,1,3,5
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Vala's Orchard Cider,0,1,1,3,5
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Headwater Cider,0,1,0,4,5
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",19 Acres Cider Co.,0,0,5,0,5
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Ponderosa Cider Co.,0,0,3,2,5
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",The Apple Barn And Cider Mill,0,0,3,2,5
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Yip Cider,0,0,2,3,5
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Avid Cider,0,0,0,5,5
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Zapiain,3,1,0,0,4
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Townline Ciderworks,2,0,2,0,4
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Kristof Farms,1,0,3,0,4
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Chain Yard Cider,1,0,2,1,4
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",West End Cider House,1,0,2,1,4
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Peat's Original Cider,0,1,3,0,4
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Clarksburg Cider,0,1,2,1,4
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Big Fish Cider Co.,0,0,4,0,4
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Bold Rock Hard Cider,0,0,3,1,4
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Farm Club,0,0,3,1,4
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Willamette Ale & Cider House,0,0,3,1,4
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",AeppelTreow Winery & Distillery,0,0,2,2,4
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Green Bench Brewing Co.,0,0,2,2,4
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Heartland Ciderworks,0,0,2,2,4
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",James Creek Cider House,0,0,2,2,4
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Lost Boy Cider,0,0,2,2,4
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Northville Winery and Brewing Company,0,0,2,2,4
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Paha Cider,0,0,2,2,4
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Phillips Orchards & Cider Mill,0,0,2,2,4
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Sea Cider Farm & Ciderhouse,0,0,2,2,4
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Brooklyn Cider House,0,0,1,3,4
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Eden Ciders,0,0,1,3,4
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Wise Bird Cider,0,0,1,3,4
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Weidmann & Groh,1,1,1,0,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Duxbury Cider Company,1,0,2,0,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Kuhnhenn Brewing Co.,1,0,0,2,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Albemarle CiderWorks,0,1,2,0,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Artifact Cider Project,0,1,2,0,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Brys Estate Ciderworks,0,1,1,1,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Red Island Cider,0,1,1,1,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Bowen Cider House,0,0,3,0,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Brew Lab 101 Beer & Cider Co.,0,0,3,0,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Meriwether Cider Company,0,0,3,0,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Seek-No-Further Cidery,0,0,3,0,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Williamson Mead and Brewing,0,0,3,0,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Berkshire Cider Project,0,0,2,1,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Carriage House Ciders,0,0,2,1,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Locust Cider,0,0,2,1,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Northman Cider Co.,0,0,2,1,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",OK Cider Co,0,0,2,1,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Sage Bird Ciderworks,0,0,2,1,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Stormalong Cider,0,0,2,1,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Mount Diablo Cider Company,0,0,1,2,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",RAW Cider,0,0,1,2,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Seminary Hill Orchard & Cidery,0,0,1,2,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Sidra Mayador,0,0,1,2,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Stem Ciders,0,0,1,2,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Sunken Paddle Ciderworks,0,0,1,2,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Texas Corners Brewing Company,0,0,1,2,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Three Falls Cider,0,0,1,2,3
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Alma Cider,2,0,0,0,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Cidrerie Verger Bilodeau,1,0,1,0,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Heirloom Hill Cider Company,1,0,1,0,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Suttons Bay Ciders,1,0,0,1,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Door Peninsula Winery,0,1,1,0,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Colorado Cider Company,0,1,0,1,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Batch Brewing Company,0,0,2,0,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Blossom Barn Cidery,0,0,2,0,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Cidrerie et Distillerie C.E.Petch,0,0,2,0,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Deep Roots Hard Cider,0,0,2,0,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Destileria Queilen,0,0,2,0,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Little Apple Cidery,0,0,2,0,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Pux Cider,0,0,2,0,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Schilling Cider,0,0,2,0,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Bayfield Winery & Blue Ox Cider,0,0,1,1,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Ficklewood Ciderworks,0,0,1,1,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Island Folk Cider House,0,0,1,1,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Offset Ciderworks,0,0,1,1,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Rebel Apple,0,0,1,1,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Tercer Ciclo,0,0,1,1,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Threadbare Cider,0,0,1,1,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",White Winter Winery,0,0,1,1,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Ore Creek Craft Cider,0,0,0,2,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Space Time Mead & Cider Works,0,0,0,2,2
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Floribunda,1,0,0,0,1
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Gabbie's Premium Cider,1,0,0,0,1
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Sidra Trabanco,1,0,0,0,1
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Ferme Black Creek,0,1,0,0,1
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Blue Toad Hard Cider,0,0,1,0,1
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Carolinia Cider Company,0,0,1,0,1
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Copper Crow Distillery,0,0,1,0,1
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Docendo Discitur,0,0,1,0,1
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Good Bones Ciderhouse,0,0,1,0,1
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Market Garden Brewery,0,0,1,0,1
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Punta de Fierro Fine Cider,0,0,1,0,1
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Renaissance Orchards,0,0,1,0,1
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Sidrería TenCai,0,0,1,0,1
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Sincere Cider,0,0,1,0,1
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Stoic Cider,0,0,1,0,1
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Vins Arista,0,0,1,0,1
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Adesanya Mead & Microbrewery,0,0,0,1,1
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Allagash Brewing Company,0,0,0,1,1
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Kaneb Orchards,0,0,0,1,1
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Modales Wines,0,0,0,1,1
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Occam Cider,0,0,0,1,1
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Palestra Hidromiel,0,0,0,1,1
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Pink Barrel Cellars,0,0,0,1,1
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Sidra Della Chà,0,0,0,1,1
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Sidra Fanjul,0,0,0,1,1
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Sidra Insular,0,0,0,1,1
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Sidra Riestra,0,0,0,1,1
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Slaughterhouse Craft Cider & Mead,0,0,0,1,1
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Spring Hill Cider Works,0,0,0,1,1
"<a href=""https://ciderguide.com/glintcap/years/2024-results/"">2024</a>",Treehive,0,0,0,1,1
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Snow Capped Cider,2,5,18,5,30
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Bauman's Cider,2,8,15,4,29
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Farmhaus Cider Co.,0,4,14,8,26
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Seattle Cider Company,4,3,15,2,24
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",2 Towns Ciderhouse,3,4,11,6,24
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Twin Pines Orchards & Cider House,0,3,13,7,23
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Thornbury Craft Co.,3,0,13,4,20
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Gypsy Circus,1,1,10,8,20
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Angry Orchard,1,0,4,15,20
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Haykin Family Cider,0,3,13,4,20
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Uncle John's,3,1,7,7,18
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Slabtown Cider Co.,0,2,7,6,15
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Empyrical Orchard & Cidery,3,2,8,1,14
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Raven's Moon Craft Cider,0,0,10,4,14
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Tandem Ciders,3,2,7,1,13
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Wooden Gate Cider,0,1,6,6,13
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Salt Spring Wild Cider,1,0,10,1,12
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Blake's Hard Cider Co.,0,3,5,4,12
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Mountain West Cider Company,1,0,6,4,11
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Glacial Till Vineyard & Winery,0,0,7,4,11
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Brooklyn Cider House,2,0,2,6,10
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Jefferson County Ciderworks,1,0,8,1,10
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Threadbare Cider,0,1,4,5,10
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Sage Bird Ciderworks,1,1,6,1,9
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",1911 Established,1,1,5,2,9
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Swift Cider,0,0,7,2,9
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",The Cider Farm,1,1,5,1,8
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Incline Cider Company,1,0,4,3,8
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Puget Sound Cider Company,0,2,6,0,8
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",St. Vrain Cidery,0,2,5,1,8
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Loch Mór Cider Co.,0,1,6,1,8
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Five Maidens Cider Company,0,1,4,3,8
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Portland Cider Company,1,2,3,1,7
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Thor's Hard Cider,1,1,4,1,7
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Cidrerie Verger Bilodeau,1,0,4,2,7
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Annapolis Cider Company,0,2,4,1,7
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Big Fish Cider Co.,1,1,4,0,6
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Cider Hill Cellars,1,1,3,1,6
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Bee Well Mead & Cider,1,0,2,3,6
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Cidrerie Milton,1,0,1,4,6
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Starcut Ciders,0,2,2,2,6
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Eden Ciders,0,1,2,3,6
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Minneapolis Cider Company,0,0,5,1,6
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Northville Winery and Brewing Company,0,0,5,1,6
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",McClure's Orchard & Winery,0,0,4,2,6
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Stormalong Cider,0,0,4,2,6
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Green Bench Brewing Co.,0,0,3,3,6
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Sidra El Gaitero,0,0,3,3,6
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Castle Hill Cider,0,0,2,4,6
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Beach Bee Meadery,1,1,1,2,5
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Gowan's Heirloom Ciders,1,0,4,0,5
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Vala's Orchard Cider,1,0,3,1,5
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Thornapple Brewing Company,0,2,2,1,5
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Bold Rock Hard Cider,0,1,4,0,5
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",California Cider Company,0,1,3,1,5
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Eris Brewery & Cider House,0,1,3,1,5
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Stem Ciders,0,1,3,1,5
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Vander Mill,0,1,3,1,5
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Original Sin Cider,0,0,5,0,5
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Phillips Orchards & Cider Mill,0,0,5,0,5
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Virtue Cider,0,0,5,0,5
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Wild State Cider,0,0,5,0,5
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Ironbark Ciderworks,0,0,4,1,5
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Lost Boy Cider,0,0,4,1,5
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Number 12 Cider,0,0,4,1,5
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Sapsucker Farms Yellow Belly Cidery,0,0,4,1,5
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Seminary Hill Orchard & Cidery,0,0,4,1,5
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Toboggan Brewing Co.,0,0,4,1,5
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",19 Acres Cider Co.,0,0,3,2,5
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Ernest Cider,0,0,3,2,5
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Waves Cider Co.,0,0,3,2,5
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Fenceline Cider,0,0,2,3,5
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Avid Cider,0,0,1,4,5
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Colorado Cider Company,2,0,1,1,4
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Yip Cider,1,1,1,1,4
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Papa Moon Vineyards & Winery,1,1,0,2,4
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",James Creek Cider House,1,0,2,1,4
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Peat's Original Cider,1,0,1,2,4
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Albemarle CiderWorks,0,3,0,1,4
"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Michigan Wine Company,0,2,2,0,4
