Class,Entrant,Region,Place,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Perry - Medium,Rosie's Triple D Cider,Denbighshire,🥇 First,https://www.rosiescider.co.uk/,https://www.facebook.com/rosiescider/,https://www.instagram.com/rosies_cider/,https://maps.google.com/?cid=12453816872387933094,,https://untappd.com/w/rosies-triple-d-cider/72489
Perry - Medium,Oliver's Cider and Perry,Herefordshire,🥈 Second,https://www.oliversciderandperry.co.uk/,https://www.facebook.com/oliversciderandperry,https://www.instagram.com/tomoliverscider/,https://maps.google.com/?cid=7135495925516207657,,https://untappd.com/brewery/6568
Perry - Medium,Gwatkin Cider,Herefordshire,🥉 Third,https://gwatkincider.co.uk/,https://www.facebook.com/pages/Gwatkin-Cider/138521139506859,,https://maps.google.com/?cid=17407558906326157260,https://www.tripadvisor.com/Attraction_Review-g6585983-d11004876,https://untappd.com/brewery/12203
Perry - Sweet,Gregg's Pit Cider and Perry,Herefordshire,🥇 First,https://www.greggs-pit.co.uk/,https://www.facebook.com/greggspit/,https://www.instagram.com/greggspit/,https://maps.google.com/?cid=12809496506561594272,,https://untappd.com/GreggsPitCiderPerry
Perry - Sweet,99PINES,Gloucestershire,🥈 Second,https://99pines.com/,https://www.facebook.com/99PINESPERRY/,https://www.instagram.com/99pinesperry/,,,https://untappd.com/w/99-pines-perry/546132
Perry - Sweet,Newton Court Cider,Herefordshire,🥉 Third,https://www.newtoncourtcider.com/,https://www.facebook.com/newtonscider/,https://www.instagram.com/newtoncourtcider/,https://maps.google.com/?cid=16599711403513185285,https://www.tripadvisor.com/Attraction_Review-g1936778-d7940383,https://untappd.com/NewtonCourtCidery
Single Variety Cider,Sam Everitt,Herefordshire,🥇 First,,,,,,
Single Variety Cider,Skittery Cider,Herefordshire,🥈 Second,https://www.jusapples.co.uk/,https://www.facebook.com/skitteryapplejuice/,https://www.instagram.com/skittery_apple_juice_and_cider/,https://maps.google.com/?cid=15026851892992901344,,
Single Variety Cider,Cydr Dwaj Bracia,Poland,🥉 Third,https://dwajbracia.pl/,https://www.facebook.com/profile.php?id=100094619362211,https://www.instagram.com/cydr_dwaj_bracia,,,https://untappd.com/w/cydr-dwaj-bracia/551234
Culinary/Dessert Cider - Dry,Sisson & Smith,Nottinghamshire,🥇 First,,,,,,https://untappd.com/w/sisson-smith/229581
Culinary/Dessert Cider - Dry,Restauracja Tabun,Poland,🥈 Second,https://www.restauracjatabun.pl/,https://www.facebook.com/TABUNCYDR/,https://www.instagram.com/tabuncydr/,https://maps.google.com/?cid=13556304642115496222,https://www.tripadvisor.com/Restaurant_Review-g3222438-d2654599,https://untappd.com/w/tabun/434136
Culinary/Dessert Cider - Medium/Sweet,BEARDspoon Cider,Kent,🥇 First,http://beardspoon.com/,https://www.facebook.com/BEARDspoon,https://www.instagram.com/beardspooncider/,,,https://untappd.com/BEARDspoon
Culinary/Dessert Cider - Medium/Sweet,Newton Court Cider,Herefordshire,🥈 Second,https://www.newtoncourtcider.com/,https://www.facebook.com/newtonscider/,https://www.instagram.com/newtoncourtcider/,https://maps.google.com/?cid=16599711403513185285,https://www.tripadvisor.com/Attraction_Review-g1936778-d7940383,https://untappd.com/NewtonCourtCidery
Naturally Sparkling Cider,Oliver's Cider and Perry,Herefordshire,🥇 First,https://www.oliversciderandperry.co.uk/,https://www.facebook.com/oliversciderandperry,https://www.instagram.com/tomoliverscider/,https://maps.google.com/?cid=7135495925516207657,,https://untappd.com/brewery/6568
Naturally Sparkling Cider,Little Pomona,Herefordshire,🥈 Second,https://littlepomona.com/,https://www.facebook.com/LittlePomona/,https://www.instagram.com/littlepomona/,https://maps.google.com/?cid=1246096540068808621,https://www.tripadvisor.com/Attraction_Review-g503860-d24036981,https://untappd.com/w/little-pomona/328882
Naturally Sparkling Cider,Sisson & Smith,Nottinghamshire,🥉 Third,,,,,,https://untappd.com/w/sisson-smith/229581
Naturally Sparkling Perry,Newton Court Cider,Herefordshire,🥇 First,https://www.newtoncourtcider.com/,https://www.facebook.com/newtonscider/,https://www.instagram.com/newtoncourtcider/,https://maps.google.com/?cid=16599711403513185285,https://www.tripadvisor.com/Attraction_Review-g1936778-d7940383,https://untappd.com/NewtonCourtCidery
Naturally Sparkling Perry,Oliver's Cider and Perry,Herefordshire,🥈 Second,https://www.oliversciderandperry.co.uk/,https://www.facebook.com/oliversciderandperry,https://www.instagram.com/tomoliverscider/,https://maps.google.com/?cid=7135495925516207657,,https://untappd.com/brewery/6568
Naturally Sparkling Perry,Butford Organics,Herefordshire,🥉 Third,https://butfordorganics.co.uk/,https://www.facebook.com/pages/Butford-Organics-Cider-Perry/364735440244899,https://www.instagram.com/butford_cider/,https://maps.google.com/?cid=16494845033472918948,,https://untappd.com/brewery/36638
Best Presented Packaged Cider or Perry,Cydr Dwaj Bracia,Poland,🥇 First,https://dwajbracia.pl/,https://www.facebook.com/profile.php?id=100094619362211,https://www.instagram.com/cydr_dwaj_bracia,,,https://untappd.com/w/cydr-dwaj-bracia/551234
Best Presented Packaged Cider or Perry,On Point Cider Company,Herefordshire,🥈 Second,,https://www.facebook.com/OnPointCider/,https://www.instagram.com/onpointcider/,,,https://untappd.com/w/on-point-cider-company/548553
Best Presented Packaged Cider or Perry,Wilce's Cider,Herefordshire,🥉 Third,https://wilces.co.uk/,https://www.facebook.com/WilcesCider,https://www.instagram.com/wilces_cider/,https://maps.google.com/?cid=9852459521261680794,,https://untappd.com/WilcesCider
Speciality Cider or Perry,Oliver's Cider and Perry,Herefordshire,🥇 First,https://www.oliversciderandperry.co.uk/,https://www.facebook.com/oliversciderandperry,https://www.instagram.com/tomoliverscider/,https://maps.google.com/?cid=7135495925516207657,,https://untappd.com/brewery/6568
Speciality Cider or Perry,Little Pomona,Herefordshire,🥈 Second,https://littlepomona.com/,https://www.facebook.com/LittlePomona/,https://www.instagram.com/littlepomona/,https://maps.google.com/?cid=1246096540068808621,https://www.tripadvisor.com/Attraction_Review-g503860-d24036981,https://untappd.com/w/little-pomona/328882
Speciality Cider or Perry,Thornborough Cider,North Yorkshire,🥉 Third,https://www.thornboroughcider.co.uk/,https://www.facebook.com/thornboroughcider,https://www.instagram.com/thornboroughcider/,https://maps.google.com/?cid=5238332447600515576,,https://untappd.com/ThornboroughCider
