Category,Medalist,Entry,Region,Award,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
Fruit-Post Fermentation Dry,Yonder Cider,Palisades,Washington,🥇 GOLD,http://www.yondercider.com/,https://www.facebook.com/yondercider,https://www.instagram.com/yondercider/,https://maps.google.com/?cid=11002201593648505227,https://www.yelp.com/biz/yonder-cider-seattle,,https://untappd.com/w/yonder-cider/474448
Fruit-Post Fermentation Dry,19 Acres Cider Co.,Yuzu Plum,Oregon,🥈 SILVER,https://19acres.com/,https://www.facebook.com/19AcresCiderCo/,https://www.instagram.com/19acresciderco/,https://maps.google.com/?cid=4476171369322689525,https://www.yelp.com/biz/19-acres-cider-co-sherwood,https://www.tripadvisor.com/Restaurant_Review-g52068-d25236157,https://untappd.com/19AcresHardCider
Fruit-Post Fermentation Dry,Bauman's Cider,Loganberry Cider,Oregon,🥉 BRONZE,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.yelp.com/biz/baumans-farm-and-garden-gervais,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872
Botanical Hopped,Union Hill Cider Co.,Liquid Limber,Washington,🥇 GOLD,https://www.unionhillciderco.com/,https://www.facebook.com/UnionHillCiderCo/,https://www.instagram.com/unionhillciderco/,https://maps.google.com/?cid=15999164221517255413,https://www.yelp.com/biz/union-hill-cider-east-wenatchee,,https://untappd.com/UnionHillCiderCo
Botanical Hopped,Meriwether Cider,Hop Shot,Idaho,🥈 SILVER,https://www.meriwethercider.com/,https://www.facebook.com/meriwethercider,https://www.instagram.com/meriwethercider/,https://maps.google.com/?cid=7830741432069672416,https://www.yelp.com/biz/meriwether-cider-company-garden-city-2,https://www.tripadvisor.com/Attraction_Review-g35459-d10034505,https://untappd.com/w/meriwether-cider-company/222316
Botanical Hopped,Cedar Draw Cider,Imperial Citra Kissed,Idaho,🥉 BRONZE,https://www.cedardrawcider.com/,https://www.facebook.com/cedardrawcider,https://www.instagram.com/cedardrawcider/,https://maps.google.com/?cid=3792911876978867046,,,https://untappd.com/CedarDrawCider
Botanical Herbed,2 Towns Ciderhouse,The Baddie,Oregon,🥇 GOLD,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975
Botanical Herbed,Finnriver Farm & Cidery,Lavender Black Currant,Washington,🥈 SILVER,https://www.finnriver.com/,https://www.facebook.com/finnriver,https://www.instagram.com/finnriver/,https://maps.google.com/?cid=1802892066987578987,https://www.yelp.com/biz/finnriver-farm-and-cidery-chimacum,https://www.tripadvisor.com/Attraction_Review-g58399-d10595866,https://untappd.com/w/finnriver-farm-and-cidery/3008
Botanical Herbed,Shuswap Cider Company,Lavender Honey,British Columbia,🥉 BRONZE,https://shuswapcider.com/,https://www.facebook.com/shuswapcider,https://www.instagram.com/shuswapcider/,https://maps.google.com/?cid=7673276959575565826,,,https://untappd.com/w/shuswap-cider-co/503328
Botanical Spiced,Swift Cider,Pineapple Mai Tai,Oregon,🥇 GOLD,https://www.swiftcider.com/,https://www.facebook.com/SwiftCider/,https://www.instagram.com/swiftcider/,,https://www.yelp.com/biz/swift-cider-portland,,https://untappd.com/w/swift-cider/138445
Botanical Spiced,Seattle Cider Company,Pumpkin Spice,Washington,🥈 SILVER,http://www.seattlecidercompany.com/,https://www.facebook.com/SeattleCiderCo,https://www.instagram.com/seattleciderco/,https://maps.google.com/?cid=10339393864619567754,https://www.yelp.com/biz/seattle-cider-company-seattle,,https://untappd.com/w/seattle-cider-company/75923
Botanical Spiced,Incline Cider Company,Cucumber Jalapeno,Washington,🥉 BRONZE,http://www.inclinecider.com/,https://www.facebook.com/inclinecider/,https://www.instagram.com/inclinecider/,https://maps.google.com/?cid=504944612388443997,https://www.yelp.com/biz/incline-cider-house-tacoma,https://www.tripadvisor.com/Attraction_Review-g58775-d22266571,https://untappd.com/w/incline-cider-company/249584
Specialty Fortified,Runcible Cider Company,Ore No. 001,Oregon,🥇 GOLD,https://www.runciblecider.com/,https://www.facebook.com/runciblecider/,https://www.instagram.com/runciblecider/,https://maps.google.com/?cid=15182592417091165603,https://www.yelp.com/biz/runcible-cider-mosier-2,,https://untappd.com/w/runcible-cider/332214
Specialty Fortified,Sea Cider,Pomona,British Columbia,🥈 SILVER,https://www.seacider.ca/,https://www.facebook.com/seacider,https://www.instagram.com/seaciderhouse/,https://maps.google.com/?cid=689108951249608790,https://www.yelp.com/biz/sea-cider-farm-and-ciderhouse-saanichton,https://www.tripadvisor.com/Attraction_Review-g184850-d2392234,https://untappd.com/w/sea-cider-farm-and-ciderhouse/4780
Specialty Fortified,Alpenfire Cider,Apple Mistelle #2 | Estate Blend,Washington,🥉 BRONZE,https://www.alpenfirecider.com/,https://www.facebook.com/alpenfirecider,https://www.instagram.com/alpenfirecider/,https://maps.google.com/?cid=13194604853315575065,https://www.yelp.com/biz/alpenfire-cider-and-orchard-port-townsend,,https://untappd.com/w/alpenfire-cider/12510
Specialty Low Alcohol/Alcohol Removed,2 Towns Ciderhouse,N/A Pacific Pineapple Cider,Oregon,🥇 GOLD,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975
Specialty Low Alcohol/Alcohol Removed,Heartland Ciderworks,The Little Apple,Oregon,🥈 SILVER,,https://www.facebook.com/HeartlandCiderworks,https://www.instagram.com/heartland_ciderworks/,,,,https://untappd.com/HeartlandCiderworks
Specialty Low Alcohol/Alcohol Removed,Bauman's Cider,Light Cider,Oregon,🥉 BRONZE,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.yelp.com/biz/baumans-farm-and-garden-gervais,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872
Specialty Other,Cedar Draw Cider,Sour Empress,Idaho,🥇 GOLD,https://www.cedardrawcider.com/,https://www.facebook.com/cedardrawcider,https://www.instagram.com/cedardrawcider/,https://maps.google.com/?cid=3792911876978867046,,,https://untappd.com/CedarDrawCider
Specialty Other,2 Towns Ciderhouse,Plum As You Are,Oregon,🥈 SILVER,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975
Specialty Other,2 Towns Ciderhouse,Hollow Jack,Oregon,🥉 BRONZE,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975
