Class,Award,Entrant,Entry,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Open Class Medium,🥉 Bronze,Pips Cider,Pips Medium Cider,http://www.pipscider.com/,https://www.facebook.com/PipsCider,https://www.instagram.com/pipscider/,https://maps.google.com/?cid=16039788259014934478,,https://untappd.com/w/pips-cider-limited/159027
Open Class Medium,🥉 Bronze,Sweeting's Cider,Monument Cider - Medium Sweet,,,,,,
Open Class Sweet,🏆 Best in Class,Showerings,Showerings Sweet Cider,https://brotherscider.co.uk/,https://www.facebook.com/BrothersCider,https://www.instagram.com/brotherscider,https://maps.google.com/?cid=1454211960614674654,,https://untappd.com/BrothersCider
Open Class Sweet,🥇 Gold,Dee Ciders,Richard's Sweet Cider,,,,,,
Open Class Sweet,🥇 Gold,William Barnes,Padfield Cider,,,,,,
Open Class Sweet,🥈 Silver,Heritage Cider Limited,Medium,,,,,,
Open Class Sweet,🥈 Silver,Loader's Cider,Loader's Montys Gold,https://loaderscider.co.uk/,https://www.facebook.com/loadersfarmcider,https://www.instagram.com/loaderscider/,,,https://untappd.com/w/loader-s-cider/432285
Open Class Sweet,🥈 Silver,Courtneys of Whimple,Whimple Orchards,https://courtneys.online/,https://www.facebook.com/courtneysdrinks/,,https://maps.google.com/?cid=15697263033877967876,,
Open Class Sweet,🥈 Silver,Bere Cider Company,Turnhill Sunrise,https://www.berecidercompany.com/,https://www.facebook.com/BereCiderCompany/,https://www.instagram.com/berecidercompany,https://maps.google.com/?cid=12375160692646889429,https://www.tripadvisor.com/Attraction_Review-g663809-d8367995,https://untappd.com/BereCiderCompany
Open Class Sweet,🥈 Silver,North Down Orchard,Sweet,,,,,,
Open Class Sweet,🥈 Silver,Pips Cider,Pips Sweet Cider,http://www.pipscider.com/,https://www.facebook.com/PipsCider,https://www.instagram.com/pipscider/,https://maps.google.com/?cid=16039788259014934478,,https://untappd.com/w/pips-cider-limited/159027
Open Class Sweet,🥉 Bronze,Dowding's,Dowding's Tower Brue Sweet Still Cider,,,,,,
Open Class Sweet,🥉 Bronze,Artistraw Cider,"She Loves Shrew (Yeah, Yeah, Yeah)",https://www.artistraw.co.uk/,,https://www.instagram.com/artistrawcider/,https://maps.google.com/?cid=12066394488060764321,,https://untappd.com/w/artistraw-cider/438538
Open Class Sweet,🥉 Bronze,Artistraw Cider,The Old Ways,https://www.artistraw.co.uk/,,https://www.instagram.com/artistrawcider/,https://maps.google.com/?cid=12066394488060764321,,https://untappd.com/w/artistraw-cider/438538
Open Class Sweet,🥉 Bronze,Woodredding Cider and Perry,Sweet Celebration,https://www.woodreddingcider.co.uk/,https://www.facebook.com/woodreddingcider,,https://maps.google.com/?cid=13540344738396319268,,https://untappd.com/w/woodredding/156024
Open Class Sweet,🥉 Bronze,Rawlins Family Cider,Sweet,https://www.rawlinsfamilycider.co.uk/,,https://www.instagram.com/rawlins_family_cider/,,,https://untappd.com/w/rawlins-family-cider/455388
Open Class Sweet,🥉 Bronze,Alan Berry,Blackmore Vale Cider,,,,,,
Open Class Sweet,🥉 Bronze,Dr Rob Whale,Festival Sweet,,,,,,
Open Class Sweet,🥉 Bronze,Wild West Cider,Crimson King,https://www.wildwestcider.co.uk/,https://www.facebook.com/Wildwestcider1,https://www.instagram.com/wildwestcider/,,,https://untappd.com/w/wild-west-cidery/539141
Open Class Sweet,🥉 Bronze,Sisson & Smith,Sweet Cider,,,,,,https://untappd.com/w/sisson-smith/229581
Fruit Cider,🏆 Best in Class,Dr Rob Whale,Pineapple Cider,,,,,,
Fruit Cider,🥇 Gold,Broadpool Cider,Broadpool Hopped,,,,,,
Fruit Cider,🥈 Silver,Kentish Pip,Forager - Hedgerow Berry Cider,https://www.kentishpip.co.uk/,https://www.facebook.com/kentishpip,https://www.instagram.com/kentishpip,https://maps.google.com/?cid=10171179408012212368,https://www.tripadvisor.com/Attraction_Review-g186311-d19116139,https://untappd.com/w/kentish-pip/56097
Fruit Cider,🥈 Silver,Artistraw Cider,Artistraw X Black Mountain Vineyard,https://www.artistraw.co.uk/,,https://www.instagram.com/artistrawcider/,https://maps.google.com/?cid=12066394488060764321,,https://untappd.com/w/artistraw-cider/438538
Fruit Cider,🥈 Silver,Ganley & Naish Cider,Raspberry,https://www.ganleyandnaish.co.uk/,https://www.facebook.com/ganleynaishcider/,https://www.instagram.com/ganleynaishcider/,,,https://untappd.com/GanleyNaish
Fruit Cider,🥈 Silver,Broadpool Cider,Broadpool Hopped,,,,,,
Fruit Cider,🥈 Silver,Hitchcox Cider,Foxy Bramble,https://hitchcoxcider.co.uk/,https://www.facebook.com/HitchcoxCider/,https://www.instagram.com/hitchcox_cider/,https://maps.google.com/?cid=6038804049112704578,,https://untappd.com/w/hitchcox-cider-orchard-cottage-cider-company/130683
Fruit Cider,🥈 Silver,The Wee Scottish Cider Company,Sassenapple Sea,https://seidear.com/,https://www.facebook.com/seidear.weescottishciderco/,https://www.instagram.com/seidear/,https://maps.google.com/?cid=227255875071520296,,https://untappd.com/TheWeeScottishCiderCo
Fruit Cider,🥉 Bronze,Heritage Cider Limited,English Berry,,,,,,
Fruit Cider,🥉 Bronze,Honey's Cider,Apple Black,https://www.honeyscider.co.uk/,https://www.facebook.com/honeysciderbath/,https://www.instagram.com/honeyscider/,,,https://untappd.com/w/honey-and-daughters-honey-midford/67111
Fruit Cider,🥉 Bronze,Cranborne Chase Cider,Elderflower Still Farmhouse Cider,https://cranbornechasecider.co.uk/,https://www.facebook.com/cranbornechasecider,https://www.instagram.com/cranborne_chase_cider/,https://maps.google.com/?cid=11691295207635124730,,https://untappd.com/w/cranborne-chase/146534
Fruit Cider,🥉 Bronze,Brothers Drinks,Brothers Fruit Cider,https://brotherscider.co.uk/,https://www.facebook.com/BrothersCider,https://www.instagram.com/brotherscider,https://maps.google.com/?cid=1454211960614674654,,https://untappd.com/BrothersCider
Two Bottles/Cans of Cider — Taste & Presentation,🏆 Best in Class,Wyldlands,Gold,,,,,,
Two Bottles/Cans of Cider — Taste & Presentation,🥇 Gold,Luke's Cider,Original Sin,https://www.lukescider.com/,https://www.facebook.com/lukescider/,https://www.instagram.com/lukescider/,https://maps.google.com/?cid=3087204132532898241,,https://untappd.com/w/luke-s-cider/395593
Two Bottles/Cans of Cider — Taste & Presentation,🥇 Gold,Ridge & Furrow Cider,Naturally Medium,https://ridgeandfurrowcider.co.uk/,,,https://maps.google.com/?cid=5958769938793720344,,https://untappd.com/w/ridge-and-furrow/335457
Two Bottles/Cans of Cider — Taste & Presentation,🥈 Silver,Dowding's,Dowding's Tower Brue Sweet Still Cider,,,,,,
Two Bottles/Cans of Cider — Taste & Presentation,🥈 Silver,Harry's Cider Company,Harry's Original,https://www.harryscidercompany.co.uk/,https://www.facebook.com/harryscider/,https://www.instagram.com/harrys_cider/,https://maps.google.com/?cid=8158521266898778933,https://www.tripadvisor.com/Attraction_Review-g663809-d15201249,https://untappd.com/w/harry-s-cider/74293
Two Bottles/Cans of Cider — Taste & Presentation,🥈 Silver,Courtneys of Whimple,Whimple Orchards,https://courtneys.online/,https://www.facebook.com/courtneysdrinks/,,https://maps.google.com/?cid=15697263033877967876,,
Two Bottles/Cans of Cider — Taste & Presentation,🥈 Silver,On Point Cider Company,Medium Sparkling,,https://www.facebook.com/OnPointCider/,https://www.instagram.com/onpointcider/,,,https://untappd.com/w/on-point-cider-company/548553
Two Bottles/Cans of Cider — Taste & Presentation,🥈 Silver,Honey's Cider,Midford Unrefined,https://www.honeyscider.co.uk/,https://www.facebook.com/honeysciderbath/,https://www.instagram.com/honeyscider/,,,https://untappd.com/w/honey-and-daughters-honey-midford/67111
Two Bottles/Cans of Cider — Taste & Presentation,🥈 Silver,Wadys Cider,Orchard Rambler,https://wadyscider.co.uk/,https://www.facebook.com/WadysCider/,https://www.instagram.com/wadyscider/,https://maps.google.com/?cid=13124950537577204428,https://www.tripadvisor.com/Attraction_Review-g186369-d24981351,https://untappd.com/w/wadys-cider/542166
Two Bottles/Cans of Cider — Taste & Presentation,🥈 Silver,Ganley & Naish Cider,Caught Adrift,https://www.ganleyandnaish.co.uk/,https://www.facebook.com/ganleynaishcider/,https://www.instagram.com/ganleynaishcider/,,,https://untappd.com/GanleyNaish
Two Bottles/Cans of Cider — Taste & Presentation,🥈 Silver,Rawlins Family Cider,Keeved Kingston Black,https://www.rawlinsfamilycider.co.uk/,,https://www.instagram.com/rawlins_family_cider/,,,https://untappd.com/w/rawlins-family-cider/455388
Two Bottles/Cans of Cider — Taste & Presentation,🥈 Silver,Perry’s Cider,Vintage - Barrel Conditioned,https://www.perryscider.co.uk/,https://www.facebook.com/perryscider,https://www.instagram.com/perryscider/,https://maps.google.com/?cid=33331284311998818,https://www.tripadvisor.com/Attraction_Review-g1077115-d4325310,https://untappd.com/brewery/12275
Two Bottles/Cans of Cider — Taste & Presentation,🥈 Silver,Perry’s Cider,Barn Owl - Farmhouse Cider,https://www.perryscider.co.uk/,https://www.facebook.com/perryscider,https://www.instagram.com/perryscider/,https://maps.google.com/?cid=33331284311998818,https://www.tripadvisor.com/Attraction_Review-g1077115-d4325310,https://untappd.com/brewery/12275
Two Bottles/Cans of Cider — Taste & Presentation,🥈 Silver,Perry’s Cider,Grey Heron - Single Orchard Cider,https://www.perryscider.co.uk/,https://www.facebook.com/perryscider,https://www.instagram.com/perryscider/,https://maps.google.com/?cid=33331284311998818,https://www.tripadvisor.com/Attraction_Review-g1077115-d4325310,https://untappd.com/brewery/12275
Two Bottles/Cans of Cider — Taste & Presentation,🥈 Silver,Orchards Farm,Orchards Farm,,,,,,
Two Bottles/Cans of Cider — Taste & Presentation,🥈 Silver,Luke's Cider,Infernal Serpent,https://www.lukescider.com/,https://www.facebook.com/lukescider/,https://www.instagram.com/lukescider/,https://maps.google.com/?cid=3087204132532898241,,https://untappd.com/w/luke-s-cider/395593
Two Bottles/Cans of Cider — Taste & Presentation,🥈 Silver,Ridge & Furrow Cider,Naturally Sweet,https://ridgeandfurrowcider.co.uk/,,,https://maps.google.com/?cid=5958769938793720344,,https://untappd.com/w/ridge-and-furrow/335457
Two Bottles/Cans of Cider — Taste & Presentation,🥈 Silver,Rull Orchard,Devon Heritage Blend,https://www.rullorchard.co.uk/,https://www.facebook.com/RullOrchard/,https://www.instagram.com/rullorchard/,https://maps.google.com/?cid=11123418549220978092,,https://untappd.com/w/rull-orchard/473398
Two Bottles/Cans of Cider — Taste & Presentation,🥈 Silver,The Parrett Cider Company,Parrett Standard,https://www.parrettcider.co.uk/,https://www.facebook.com/ParrettCider/,https://www.instagram.com/parrettcider/,,,https://untappd.com/w/the-parrett-cider-company/505123
Two Bottles/Cans of Cider — Taste & Presentation,🥉 Bronze,Dowding's,Dowding's Tower Brue Dry Still Cider,,,,,,
Two Bottles/Cans of Cider — Taste & Presentation,🥉 Bronze,Dowding's,Dowding's Tower Brue Medium Still Cider,,,,,,
Two Bottles/Cans of Cider — Taste & Presentation,🥉 Bronze,Moons Cider,Medium Sparkling,,,,,,
Two Bottles/Cans of Cider — Taste & Presentation,🥉 Bronze,Moons Cider,Orchard Moon,,,,,,
Two Bottles/Cans of Cider — Taste & Presentation,🥉 Bronze,Thatchers Cider,Thatchers Vintage,https://www.thatcherscider.co.uk/,https://www.facebook.com/ThatchersCiderCompany,https://www.instagram.com/thatcherscider/,https://maps.google.com/?cid=15191093037076298219,https://www.tripadvisor.com/Attraction_Review-g4412909-d11019728,https://untappd.com/brewery/3063
Two Bottles/Cans of Cider — Taste & Presentation,🥉 Bronze,Stones Cider,Ram Of Shepton,https://www.stonescider.co.uk/,https://www.facebook.com/stonescider,,,,https://untappd.com/w/stone-s-cider/127537
Bottle Fermented (Methode Traditionelle),🏆 Best in Class,Alex Hill,Bollhayes,,,,,,
Bottle Fermented (Methode Traditionelle),🥇 Gold,Rull Orchard,Starlight,https://www.rullorchard.co.uk/,https://www.facebook.com/RullOrchard/,https://www.instagram.com/rullorchard/,https://maps.google.com/?cid=11123418549220978092,,https://untappd.com/w/rull-orchard/473398
Bottle Fermented (Methode Traditionelle),🥇 Gold,Thatchers Cider,Thatchers Porters Perfection & Vilberie,https://www.thatcherscider.co.uk/,https://www.facebook.com/ThatchersCiderCompany,https://www.instagram.com/thatcherscider/,https://maps.google.com/?cid=15191093037076298219,https://www.tripadvisor.com/Attraction_Review-g4412909-d11019728,https://untappd.com/brewery/3063
Bottle Fermented (Methode Traditionelle),🥈 Silver,Alex Hill,Bollhayes,,,,,,
Bottle Fermented (Methode Traditionelle),🥈 Silver,John and Naomi Wakelin,Harromint House Cider,,,,,,
Bottle Fermented (Methode Traditionelle),🥉 Bronze,Kentish Pip,Forwhelp +,https://www.kentishpip.co.uk/,https://www.facebook.com/kentishpip,https://www.instagram.com/kentishpip,https://maps.google.com/?cid=10171179408012212368,https://www.tripadvisor.com/Attraction_Review-g186311-d19116139,https://untappd.com/w/kentish-pip/56097
Bottle Fermented (Methode Traditionelle),🥉 Bronze,Harry's Cider Company,Fine Sparkling Cider,https://www.harryscidercompany.co.uk/,https://www.facebook.com/harryscider/,https://www.instagram.com/harrys_cider/,https://maps.google.com/?cid=8158521266898778933,https://www.tripadvisor.com/Attraction_Review-g663809-d15201249,https://untappd.com/w/harry-s-cider/74293
Bottle Fermented (Methode Traditionelle),🥉 Bronze,On Point Cider Company,Sur Pointe,,https://www.facebook.com/OnPointCider/,https://www.instagram.com/onpointcider/,,,https://untappd.com/w/on-point-cider-company/548553
Bottle Fermented (Methode Traditionelle),🥉 Bronze,Tinston Cider,Tinston Gateway 2021,https://tinstonwinecider.com/,https://www.facebook.com/tinstonwinecider/,https://www.instagram.com/tinstonwinecider/,https://maps.google.com/?cid=11983981920527513059,,https://untappd.com/w/tinston/488266
Bottle Fermented (Methode Traditionelle),🥉 Bronze,Strange Lady Cider,Strange Lady Cider 2022,,,,,,
Bottle Fermented (Methode Traditionelle),🥉 Bronze,Tinston Cider,Tinston Anatomy 2021,https://tinstonwinecider.com/,https://www.facebook.com/tinstonwinecider/,https://www.instagram.com/tinstonwinecider/,https://maps.google.com/?cid=11983981920527513059,,https://untappd.com/w/tinston/488266
Bottle Fermented (Methode Traditionelle),🥉 Bronze,The Wee Scottish Cider Company,Seidear Pitmedden,https://seidear.com/,https://www.facebook.com/seidear.weescottishciderco/,https://www.instagram.com/seidear/,https://maps.google.com/?cid=227255875071520296,,https://untappd.com/TheWeeScottishCiderCo
Bottle Fermented (Methode Traditionelle),🥉 Bronze,The Wee Scottish Cider Company,Seidear Ellon Castle,https://seidear.com/,https://www.facebook.com/seidear.weescottishciderco/,https://www.instagram.com/seidear/,https://maps.google.com/?cid=227255875071520296,,https://untappd.com/TheWeeScottishCiderCo
