Medalist,Region,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,City,Region,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
Independent Perry,Washington,1,0,1,2,2019,2019,1,Dryden,Washington,Active,,"<a href=""https://www.facebook.com/IndependentPerry"">Facebook</a>","<a href=""https://www.instagram.com/independentperry/"">Instagram</a>",,,,"<a href=""https://untappd.com/Independent_Cider"">Untappd</a>"
Double Mountain Brewery & Cidery,Oregon,0,2,0,2,2023,2024,2,Hood River,Oregon,Active,"<a href=""http://www.doublemountainbrewery.com/"">Website</a>","<a href=""https://www.facebook.com/doublemountainbrewery"">Facebook</a>","<a href=""https://www.instagram.com/doublemountain"">Instagram</a>","<a href=""https://maps.google.com/?cid=2446696276607943242"">Google</a>","<a href=""https://www.yelp.com/biz/double-mountain-brewery-hood-river"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g51909-d2186972"">TripAdvisor</a>","<a href=""https://untappd.com/w/double-mountain-brewery-taproom/462"">Untappd</a>"
Ragged and Right Cider Project,Washington,0,2,0,2,2021,2022,2,Mount Vernon,Washington,Active,"<a href=""http://www.farmstrongbrewing.com/"">Website</a>","<a href=""https://www.facebook.com/raggedandrightciderproject/"">Facebook</a>","<a href=""https://www.instagram.com/raggedandrightciderproject/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9734737069805633605"">Google</a>","<a href=""https://www.yelp.com/biz/farmstrong-brewery-mount-vernon"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g58622-d15551215"">TripAdvisor</a>","<a href=""https://untappd.com/w/farmstrong-brewing-company/216863"">Untappd</a>"
Highpoint Cider,Idaho,0,1,1,2,2023,2024,2,Victor,Idaho,Active,"<a href=""https://highpointcider.com/"">Website</a>","<a href=""https://www.facebook.com/Highpointcider/"">Facebook</a>","<a href=""https://www.instagram.com/highpointcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12149721453883945516"">Google</a>",,,"<a href=""https://untappd.com/Highpoint_Cider"">Untappd</a>"
Idol Cider House,Oregon,0,1,1,2,2022,2024,2,Turner,Oregon,Active,"<a href=""https://idyll-acres.com/"">Website</a>",,"<a href=""https://www.instagram.com/idol_cider_house/"">Instagram</a>",,,,"<a href=""https://untappd.com/IdolCiderHouse"">Untappd</a>"
La Familia Cider,Oregon,0,1,1,2,2017,2024,2,Salem,Oregon,Active,"<a href=""https://lafamiliacider.com/"">Website</a>","<a href=""https://www.facebook.com/lafamiliacider/"">Facebook</a>","<a href=""https://www.instagram.com/lafamiliacider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3685332940132306085"">Google</a>","<a href=""https://www.yelp.com/biz/la-familia-cider-salem"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g52053-d23878155"">TripAdvisor</a>","<a href=""https://untappd.com/LaFamiliaCider"">Untappd</a>"
Twisted Hills Craft Cider,British Columbia,0,1,1,2,2016,2016,1,Cawston,British Columbia,Active,"<a href=""https://www.twistedhills.ca/"">Website</a>","<a href=""https://www.facebook.com/twistedhillscraftcider/"">Facebook</a>","<a href=""https://www.instagram.com/twistedhillscraftcider"">Instagram</a>","<a href=""https://maps.google.com/?cid=4618450840438418243"">Google</a>","<a href=""https://www.yelp.com/biz/twisted-hills-craft-cider-cawston"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1059482-d8179333"">TripAdvisor</a>","<a href=""https://untappd.com/w/twisted-hills-craft-cider/189085"">Untappd</a>"
Faustino Estate Cidery,British Columbia,0,0,2,2,2016,2016,1,Osoyoos,British Columbia,Inactive,,,,,,,
Bend Cider Company,Oregon,1,0,0,1,2021,2021,1,Bend,Oregon,Active,"<a href=""https://www.bendcider.com/"">Website</a>","<a href=""https://www.facebook.com/bendcider/"">Facebook</a>","<a href=""https://www.instagram.com/bendcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9987900399339296372"">Google</a>","<a href=""https://www.yelp.com/biz/bend-cider-bend-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g51766-d23480277"">TripAdvisor</a>","<a href=""https://untappd.com/BENDCIDERCO"">Untappd</a>"
Blue Mountain Cider Company,Oregon,1,0,0,1,2014,2014,1,Milton-Freewater,Oregon,Active,"<a href=""https://drinkcider.com/"">Website</a>","<a href=""https://www.facebook.com/DrinkCider/"">Facebook</a>","<a href=""https://www.instagram.com/bluemtncider"">Instagram</a>","<a href=""https://maps.google.com/?cid=2440645858088809767"">Google</a>","<a href=""https://www.yelp.com/biz/blue-mountain-cider-company-milton-freewater"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g51971-d734659"">TripAdvisor</a>","<a href=""https://untappd.com/w/blue-mountain-cider-company/17953"">Untappd</a>"
