Name,Town/City,Region,Country,Primary Type,Google,Website,Facebook,Instagram,Yelp,TripAdvisor,Untappd,GLINTCAP,AKA
Bowers Harbor Vineyards,Traverse City,Michigan,United States,Wine,"<a href=""https://maps.google.com/?cid=4919708806846257834"">Google</a>","<a href=""https://www.bowersharbor.com/"">Website</a>","<a href=""https://www.facebook.com/bowersharborvineyards"">Facebook</a>","<a href=""https://www.instagram.com/bowersharborvineyards/"">Instagram</a>","<a href=""https://www.yelp.com/biz/bowers-harbor-vineyards-traverse-city"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g42758-d2235194"">TripAdvisor</a>","<a href=""https://untappd.com/w/bowers-harbor-vineyards/16919"">Untappd</a>",,
Cherry Creek Cellars,Albion,Michigan,United States,Wine,"<a href=""https://maps.google.com/?cid=5214593983043043226"">Google</a>","<a href=""http://www.cherrycreekwine.com/"">Website</a>","<a href=""https://www.facebook.com/cherrycreekcellars"">Facebook</a>","<a href=""https://www.instagram.com/cherrycreekcellars/"">Instagram</a>","<a href=""https://www.yelp.com/biz/cherry-creek-cellars-parma"">Yelp</a>",,"<a href=""https://untappd.com/w/cherry-creek-winery/231391"">Untappd</a>","<a href=""https://ciderguide.com/cherry-creek-cellars/"">GLINTCAP</a>",
Cherry Republic,Glen Arbor,Michigan,United States,Beer,"<a href=""https://maps.google.com/?cid=10290853298971690653"">Google</a>","<a href=""https://www.cherryrepublic.com/"">Website</a>","<a href=""https://www.facebook.com/cherryrepublic"">Facebook</a>","<a href=""https://www.instagram.com/cherryrepublic/"">Instagram</a>",,,"<a href=""https://untappd.com/CherryRepublic"">Untappd</a>",,Cherry Public House
Corey Lake Orchards,Three Rivers,Michigan,United States,Cider,"<a href=""https://maps.google.com/?cid=6754574994081328972"">Google</a>","<a href=""http://www.coreylakeorchards.com/"">Website</a>","<a href=""https://www.facebook.com/Corey-Lake-Orchards-131227153607072"">Facebook</a>","<a href=""https://www.instagram.com/coreylakeorchards/"">Instagram</a>","<a href=""https://www.yelp.com/biz/corey-lake-orchards-three-rivers"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g42753-d7709570"">TripAdvisor</a>","<a href=""https://untappd.com/w/corey-lake-orchards/170827"">Untappd</a>","<a href=""https://ciderguide.com/corey-lake-orchards/"">GLINTCAP</a>",
Crane's Pie Pantry,Fennville,Michigan,United States,Wine,"<a href=""https://maps.google.com/?cid=9243637306840574589"">Google</a>","<a href=""http://cranespiepantry.com/"">Website</a>","<a href=""https://www.facebook.com/cranespiepantryandwinery"">Facebook</a>","<a href=""https://www.instagram.com/cranespiepantry/"">Instagram</a>","<a href=""https://www.yelp.com/biz/cranes-pie-pantry-restaurant-and-winery-fennville"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g42198-d636364"">TripAdvisor</a>","<a href=""https://untappd.com/w/cranes-winery/166328"">Untappd</a>",,
Farmhaus Cider Co.,Hudsonville,Michigan,United States,Cider,"<a href=""https://maps.google.com/?cid=11406839464047037046"">Google</a>","<a href=""http://farmhauscider.com/"">Website</a>","<a href=""https://www.facebook.com/FarmhausCiderCo"">Facebook</a>","<a href=""https://www.instagram.com/farmhauscider/"">Instagram</a>","<a href=""https://www.yelp.com/biz/farmhaus-cider-co-hudsonville"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g42328-d19805781"">TripAdvisor</a>","<a href=""https://untappd.com/w/farmhaus-cider-co/166600"">Untappd</a>","<a href=""https://ciderguide.com/farmhaus-cider-co/"">GLINTCAP</a>",
Fenn Valley Vineyards,Fennville,Michigan,United States,Wine,"<a href=""https://maps.google.com/?cid=4038197022279286991"">Google</a>","<a href=""https://www.fennvalley.com/"">Website</a>","<a href=""https://www.facebook.com/FennValley"">Facebook</a>","<a href=""https://www.instagram.com/fennvalley/"">Instagram</a>","<a href=""https://www.yelp.com/biz/fenn-valley-vineyards-and-wine-cellar-fennville"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g42198-d1748271"">TripAdvisor</a>","<a href=""https://untappd.com/w/fenn-valley-vineyards/251868"">Untappd</a>","<a href=""https://ciderguide.com/fenn-valley-vineyards/"">GLINTCAP</a>",
Fourth Coast Ciderworks,Lake Orion,Michigan,United States,Cider,"<a href=""https://maps.google.com/?cid=16743566446213207343"">Google</a>","<a href=""https://fourthcoastciderworks.com/"">Website</a>","<a href=""https://www.facebook.com/fourthcoastciderworks"">Facebook</a>","<a href=""https://www.instagram.com/4cciderworks/"">Instagram</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g42384-d21375933"">TripAdvisor</a>","<a href=""https://untappd.com/w/fourth-coast-ciderworks/325571"">Untappd</a>","<a href=""https://ciderguide.com/fourth-coast-ciderworks/"">GLINTCAP</a>",
Gitche Gumee Ciderworks,Hancock,Michigan,United States,Cider,"<a href=""https://maps.google.com/?cid=18179674516069463473"">Google</a>","<a href=""http://www.gitchegumeeciderworks.com/"">Website</a>","<a href=""https://www.facebook.com/GitcheGumeeCiderworks"">Facebook</a>","<a href=""https://www.instagram.com/gitchegumeeciderworks/"">Instagram</a>",,,"<a href=""https://untappd.com/w/gitche-gumee-ciderworks/366728"">Untappd</a>",,
Green Bird Cellars,Northport,Michigan,United States,Wine,"<a href=""https://maps.google.com/?cid=10177780962923415301"">Google</a>","<a href=""http://www.greenbirdcellars.com/"">Website</a>","<a href=""https://www.facebook.com/greenbirdcellars"">Facebook</a>","<a href=""https://www.instagram.com/greenbirdcellars/"">Instagram</a>","<a href=""https://www.yelp.com/biz/green-bird-cellars-and-organic-farms-northport"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g42531-d3473816"">TripAdvisor</a>","<a href=""https://untappd.com/w/green-bird-organic-cellars/275693"">Untappd</a>","<a href=""https://ciderguide.com/green-bird-cellars/"">GLINTCAP</a>",
Blackgrass Ciderworks,Birmingham,Michigan,United States,Cider,"<a href=""https://maps.google.com/?cid=706094858439654713"">Google</a>","<a href=""https://www.blackgrasscider.com/"">Website</a>","<a href=""https://www.facebook.com/blackgrasscider"">Facebook</a>","<a href=""https://www.instagram.com/BlackgrassCider/"">Instagram</a>","<a href=""https://www.yelp.com/biz/griffin-claw-brewing-company-birmingham"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g41996-d4565497"">TripAdvisor</a>","<a href=""https://untappd.com/BlackgrassCiderworks"">Untappd</a>","<a href=""https://ciderguide.com/blackgrass-ciderworks/"">GLINTCAP</a>",Griffin Claw Brewing Company
Kuhnhenn Brewing Co.,Warren,Michigan,United States,Beer,"<a href=""https://maps.google.com/?cid=15962690616595599148"">Google</a>","<a href=""https://kbrewery.com/"">Website</a>","<a href=""https://www.facebook.com/KuhnhennBrewingCo"">Facebook</a>","<a href=""https://www.instagram.com/kuhnhennbrewing/"">Instagram</a>","<a href=""https://www.yelp.com/biz/kuhnhenn-brewing-warren"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g42794-d1198782"">TripAdvisor</a>","<a href=""https://untappd.com/w/kuhnhenn-brewing-company/4557"">Untappd</a>","<a href=""https://ciderguide.com/kuhnhenn-brewing-co/"">GLINTCAP</a>",
Mawby Vineyards,Suttons Bay,Michigan,United States,Wine,"<a href=""https://maps.google.com/?cid=2471409306317185463"">Google</a>","<a href=""https://mawby.wine/"">Website</a>","<a href=""https://www.facebook.com/MAWBYwinery"">Facebook</a>","<a href=""https://www.instagram.com/mawbywinery/"">Instagram</a>","<a href=""https://www.yelp.com/biz/l-mawby-vineyards-suttons-bay"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g42743-d2290474"">TripAdvisor</a>","<a href=""https://untappd.com/w/mawby/272550"">Untappd</a>","<a href=""https://ciderguide.com/mawby-vineyards/"">GLINTCAP</a>",
Left Foot Charley,Traverse City,Michigan,United States,Wine,"<a href=""https://maps.google.com/?cid=16198693468177995981"">Google</a>","<a href=""http://www.leftfootcharley.com/"">Website</a>","<a href=""https://www.facebook.com/LeftFootCharleyWinery"">Facebook</a>","<a href=""https://www.instagram.com/leftfootcharley/"">Instagram</a>","<a href=""https://www.yelp.com/biz/left-foot-charley-traverse-city"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g42758-d1748277"">TripAdvisor</a>","<a href=""https://untappd.com/w/left-foot-charley/8694"">Untappd</a>","<a href=""https://ciderguide.com/left-foot-charley/"">GLINTCAP</a>",
Lehman's Orchards,Buchanan,Michigan,United States,Cider,"<a href=""https://maps.google.com/?cid=15791562542672343306"">Google</a>",,"<a href=""https://www.facebook.com/LehmansFarmHouse/"">Facebook</a>","<a href=""https://www.instagram.com/lehmansfarmhouse/"">Instagram</a>","<a href=""https://www.yelp.com/biz/lehmans-farmhouse-buchanan"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g42026-d13999393"">TripAdvisor</a>","<a href=""https://untappd.com/w/lehmans-orchard/8251"">Untappd</a>","<a href=""https://ciderguide.com/lehmans-orchards/"">GLINTCAP</a>",Lehman's Orchard
Mackinaw Trail Winery & Brewery,Petoskey,Michigan,United States,Wine,"<a href=""https://maps.google.com/?cid=4652284355507438634"">Google</a>","<a href=""http://www.mackinawtrailwinery.com/"">Website</a>","<a href=""https://www.facebook.com/MackinawTrailWinery"">Facebook</a>","<a href=""https://www.instagram.com/macktrailwinery/"">Instagram</a>","<a href=""https://www.yelp.com/biz/mackinaw-trail-winery-petoskey-3"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g42590-d6687192"">TripAdvisor</a>","<a href=""https://untappd.com/w/mackinaw-trail-brewing-company/158449"">Untappd</a>",,
Meckley's Cidery,Cement City,Michigan,United States,Cider,"<a href=""https://maps.google.com/?cid=3784686605669895808"">Google</a>","<a href=""http://flavorfruitfarm.com/"">Website</a>","<a href=""https://www.facebook.com/flavorfruitfarm/"">Facebook</a>","<a href=""https://www.instagram.com/meckleysflavorfruitfarm/"">Instagram</a>","<a href=""https://www.yelp.com/biz/meckleys-flavor-fruit-farm-somerset-ctr"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g42713-d7291582"">TripAdvisor</a>","<a href=""https://untappd.com/w/meckleys-cidery/37420"">Untappd</a>","<a href=""https://ciderguide.com/meckleys-cidery/"">GLINTCAP</a>",
Motor City Brewing Works,Detroit,Michigan,United States,Beer,"<a href=""https://maps.google.com/?cid=3742418193642658662"">Google</a>","<a href=""https://www.motorcitybeer.com/"">Website</a>","<a href=""https://www.facebook.com/motorcitybeer/"">Facebook</a>","<a href=""https://www.instagram.com/motorcitybrewingworks/"">Instagram</a>","<a href=""https://www.yelp.com/biz/motor-city-brewing-works-detroit"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g42139-d812243"">TripAdvisor</a>","<a href=""https://untappd.com/w/motor-city-brewing-works/1727"">Untappd</a>",,
Northern Natural Cider House & Winery,Kaleva,Michigan,United States,Cider,"<a href=""https://maps.google.com/?cid=17749341957373928380"">Google</a>","<a href=""http://www.northernnaturalwinery.com/"">Website</a>","<a href=""https://www.facebook.com/northernnaturalwinery"">Facebook</a>","<a href=""https://www.instagram.com/northernnaturalciderhouse/"">Instagram</a>",,,"<a href=""https://untappd.com/w/northern-natural-cider-house/28609"">Untappd</a>","<a href=""https://ciderguide.com/northern-natural-cider-house-winery/"">GLINTCAP</a>",
Northville Winery and Brewing Company,Northville,Michigan,United States,Beer,"<a href=""https://maps.google.com/?cid=1839304926738675152"">Google</a>","<a href=""https://www.thenorthvillewinery.com/"">Website</a>","<a href=""https://www.facebook.com/northvillewinery"">Facebook</a>","<a href=""https://www.instagram.com/northvillewinery/"">Instagram</a>","<a href=""https://www.yelp.com/biz/northville-winery-and-brewing-company-northville-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g42532-d4586734"">TripAdvisor</a>","<a href=""https://untappd.com/w/northville-winery-and-brewing-company/39008"">Untappd</a>","<a href=""https://ciderguide.com/northville-winery-and-brewing-company/"">GLINTCAP</a>",
Ore Creek Craft Cider,Pinckney,Michigan,United States,Cider,"<a href=""https://maps.google.com/?cid=9044276102436468725"">Google</a>","<a href=""https://orecreekmi.com/"">Website</a>","<a href=""https://www.facebook.com/orecreekcraftcider"">Facebook</a>","<a href=""https://www.instagram.com/orecreekcraftcider/"">Instagram</a>","<a href=""https://www.yelp.com/biz/ore-creek-craft-cider-pinckney?"">Yelp</a>",,"<a href=""https://untappd.com/OreCreekCraftCider"">Untappd</a>","<a href=""https://ciderguide.com/ore-creek-craft-cider/"">GLINTCAP</a>",
Painted Turtle Hard Cider,Lowell,Michigan,United States,Cider,"<a href=""https://maps.google.com/?cid=2497160029912775288"">Google</a>","<a href=""http://www.paintedturtlehardcider.com/"">Website</a>","<a href=""https://www.facebook.com/paintedturtlehardcider"">Facebook</a>","<a href=""https://www.instagram.com/paintedturtlehardcider/"">Instagram</a>","<a href=""https://www.yelp.com/biz/painted-turtle-hard-cider-lowell"">Yelp</a>",,"<a href=""https://untappd.com/w/painted-turtle-hard-cider/262765"">Untappd</a>","<a href=""https://ciderguide.com/painted-turtle-hard-cider/"">GLINTCAP</a>",
Petoskey Brewing,Petoskey,Michigan,United States,Beer,"<a href=""https://maps.google.com/?cid=9238510539550276531"">Google</a>","<a href=""https://www.petoskeybrewing.com/"">Website</a>","<a href=""https://www.facebook.com/PetoskeyBrewing"">Facebook</a>","<a href=""https://www.instagram.com/petoskeybrewing/"">Instagram</a>","<a href=""https://www.yelp.com/biz/petoskey-brewing-petoskey"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g42590-d4348407"">TripAdvisor</a>","<a href=""https://untappd.com/w/petoskey-brewing/41136"">Untappd</a>",,
Petoskey Farms Vineyard & Winery,Petoskey,Michigan,United States,Wine,"<a href=""https://maps.google.com/?cid=10463086351506308864"">Google</a>","<a href=""https://www.petoskeyfarms.com/"">Website</a>","<a href=""https://www.facebook.com/petoskeyfarms"">Facebook</a>","<a href=""https://www.instagram.com/petoskeyfarms/"">Instagram</a>","<a href=""https://www.yelp.com/biz/petoskey-farms-vineyard-and-winery-petoskey"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g42590-d6949340"">TripAdvisor</a>","<a href=""https://untappd.com/w/petoskey-farms-vineyard-winery/286798"">Untappd</a>",,
Phillips Orchards & Cider Mill,St Johns,Michigan,United States,Cider,"<a href=""https://maps.google.com/?cid=7103527741412567137"">Google</a>",,"<a href=""https://www.facebook.com/PhillipsOrchards"">Facebook</a>","<a href=""https://www.instagram.com/phillipsorchards/"">Instagram</a>","<a href=""https://www.yelp.com/biz/phillips-orchard-and-cider-mill-saint-johns"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g42672-d6875232"">TripAdvisor</a>","<a href=""https://untappd.com/w/phillips-ciders/423556"">Untappd</a>","<a href=""https://ciderguide.com/phillips-orchards-cider-mill/"">GLINTCAP</a>",
Pux Cider,Grand Rapids,Michigan,United States,Cider,"<a href=""https://maps.google.com/?cid=16702208274441786920"">Google</a>",,"<a href=""https://www.facebook.com/puxcider"">Facebook</a>","<a href=""https://www.instagram.com/puxcider/"">Instagram</a>",,,"<a href=""https://untappd.com/w/schaefer-cider-co/134723"">Untappd</a>","<a href=""https://ciderguide.com/pux-cider/"">GLINTCAP</a>",
Resort Pike Cidery & Winery,Petoskey,Michigan,United States,Cider,"<a href=""https://maps.google.com/?cid=8372139989843532129"">Google</a>","<a href=""https://resortpikecideryandwinery.com/"">Website</a>","<a href=""https://www.facebook.com/ResortPike"">Facebook</a>","<a href=""https://www.instagram.com/resortpike/"">Instagram</a>","<a href=""https://www.yelp.com/biz/resort-pike-cidery-and-winery-petoskey-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g42590-d12667349"">TripAdvisor</a>","<a href=""https://untappd.com/w/resort-pike-cidery-winery/349675"">Untappd</a>",,
Robinette Cellars,Grand Rapids,Michigan,United States,Cider,"<a href=""https://maps.google.com/?cid=5234107093392955640"">Google</a>","<a href=""https://robinettes.com/"">Website</a>","<a href=""https://www.facebook.com/Robinettes"">Facebook</a>","<a href=""https://www.instagram.com/robinettesapplehaus/"">Instagram</a>","<a href=""https://www.yelp.com/biz/robinettes-apple-haus-and-winery-grand-rapids-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g42256-d5000403"">TripAdvisor</a>","<a href=""https://untappd.com/w/robinettes-cellars/37464"">Untappd</a>","<a href=""https://ciderguide.com/robinette-cellars/"">GLINTCAP</a>",
Saugatuck Brewing Company,Douglas,Michigan,United States,Beer,"<a href=""https://maps.google.com/?cid=15895562437074743383"">Google</a>","<a href=""https://www.saugatuckbrewing.com/"">Website</a>","<a href=""https://www.facebook.com/saugatuckbrewingco"">Facebook</a>","<a href=""https://www.instagram.com/saugatuckbrew/"">Instagram</a>","<a href=""https://www.yelp.com/biz/saugatuck-brewing-co-douglas"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g42145-d6785332"">TripAdvisor</a>","<a href=""https://untappd.com/w/saugatuck-brewing-company/3582"">Untappd</a>",,
Sierra Rose Cellars,Rockford,Michigan,United States,Wine,"<a href=""https://maps.google.com/?cid=6966422315385571809"">Google</a>","<a href=""https://www.sierrarosecellars.com/"">Website</a>","<a href=""https://www.facebook.com/sierrarosewinery"">Facebook</a>","<a href=""https://www.instagram.com/sierrarosecellars/"">Instagram</a>",,,"<a href=""https://untappd.com/w/sierra-rose-ciders/181647"">Untappd</a>","<a href=""https://ciderguide.com/cascade-winery-sierra-rose-ciders/"">GLINTCAP</a>",Cascade Winery
Spicer's Winery,Fenton,Michigan,United States,Cider,"<a href=""https://maps.google.com/?cid=3119499086024195213"">Google</a>","<a href=""http://www.spicerorchards.com/"">Website</a>","<a href=""https://www.facebook.com/SpicerOrchards"">Facebook</a>","<a href=""https://www.instagram.com/spicerorchards/"">Instagram</a>","<a href=""https://www.yelp.com/biz/spicer-orchards-farm-market-and-cider-mill-fenton"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g42199-d4828804"">TripAdvisor</a>","<a href=""https://untappd.com/w/spicers-carriage-house-cellars/13435"">Untappd</a>","<a href=""https://ciderguide.com/spicers-winery/"">GLINTCAP</a>",Spicer Orchards
St. Ambrose Cellars,Beulah,Michigan,United States,Mead,"<a href=""https://maps.google.com/?cid=15684792512273738710"">Google</a>","<a href=""https://www.stambrose-mead-wine.com/"">Website</a>","<a href=""https://www.facebook.com/stambrosecellars"">Facebook</a>","<a href=""https://www.instagram.com/stambrosecellars/"">Instagram</a>","<a href=""https://www.yelp.com/biz/st-ambrose-cellars-beulah"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g41990-d7833716"">TripAdvisor</a>","<a href=""https://untappd.com/w/st-ambrose-cellars/32218"">Untappd</a>","<a href=""https://ciderguide.com/st-ambrose-cellars/"">GLINTCAP</a>",
St. Julian Winery,Paw Paw,Michigan,United States,Wine,"<a href=""https://maps.google.com/?cid=2249622530303383968"">Google</a>","<a href=""http://www.stjulian.com/"">Website</a>","<a href=""https://www.facebook.com/StJulianWinery"">Facebook</a>","<a href=""https://www.instagram.com/stjulianwinery/"">Instagram</a>","<a href=""https://www.yelp.com/biz/st-julian-winery-paw-paw"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g42579-d628973"">TripAdvisor</a>","<a href=""https://untappd.com/w/st-julian-winery/65357"">Untappd</a>","<a href=""https://ciderguide.com/st-julian-winery/"">GLINTCAP</a>",
Starcut Ciders,Bellaire,Michigan,United States,Cider,"<a href=""https://maps.google.com/?cid=2440791440580754774"">Google</a>","<a href=""http://starcutciders.com/"">Website</a>","<a href=""https://www.facebook.com/starcutcidersmi"">Facebook</a>","<a href=""https://www.instagram.com/starcutciders/"">Instagram</a>","<a href=""https://www.yelp.com/biz/shorts-brewing-company-bellaire-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g41979-d1182151"">TripAdvisor</a>","<a href=""https://untappd.com/w/starcut-ciders/168123"">Untappd</a>","<a href=""https://ciderguide.com/starcut-ciders/"">GLINTCAP</a>",
Suttons Bay Ciders,Suttons Bay,Michigan,United States,Cider,"<a href=""https://maps.google.com/?cid=15136373870466556438"">Google</a>","<a href=""http://suttonsbayciders.com/"">Website</a>","<a href=""https://www.facebook.com/SuttonsBayCiders"">Facebook</a>","<a href=""https://www.instagram.com/suttonsbayciders/"">Instagram</a>","<a href=""https://www.yelp.com/biz/suttons-bay-ciders-suttons-bay"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g42743-d8679187"">TripAdvisor</a>","<a href=""https://untappd.com/w/suttons-bay-ciders/233040"">Untappd</a>","<a href=""https://ciderguide.com/suttons-bay-ciders/"">GLINTCAP</a>",
Tandem Ciders,Suttons Bay,Michigan,United States,Cider,"<a href=""https://maps.google.com/?cid=17873533731324152260"">Google</a>","<a href=""http://www.tandemciders.com/"">Website</a>","<a href=""https://www.facebook.com/TandemCiders/"">Facebook</a>","<a href=""https://www.instagram.com/tandemciders/"">Instagram</a>","<a href=""https://www.yelp.com/biz/tandem-ciders-suttons-bay-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g42743-d2303505"">TripAdvisor</a>","<a href=""https://untappd.com/w/tandem-ciders/8496"">Untappd</a>","<a href=""https://ciderguide.com/tandem-ciders/"">GLINTCAP</a>",
