Style,Award,Entrant,Entry,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Open Class Dry,🥈 Silver,Palmers Upland Cyder,Cwn Annwn,https://www.palmersuplandcyder.co.uk/,https://www.facebook.com/palmersuplandcyder/,https://www.instagram.com/palmers_upland_cyder/,,,https://untappd.com/w/palmers-upland-cyder/66238
Open Class Dry,🥈 Silver,Wilding Cider,Major/Minor,https://www.wildingcider.co.uk/,,https://www.instagram.com/wildingcider/,https://maps.google.com/?cid=14126504367716389024,,https://untappd.com/w/wilding-cider/465253
Open Class Dry,🥈 Silver,Moons Cider,Dry Cider,,,,,,
Open Class Dry,🥈 Silver,Luke's Cider,Infernal Serpent,https://www.lukescider.com/,https://www.facebook.com/lukescider/,https://www.instagram.com/lukescider/,https://maps.google.com/?cid=3087204132532898241,,https://untappd.com/w/luke-s-cider/395593
Open Class Dry,🥈 Silver,Jonathan Marsden,Draycott Farm Cider,,,,,,
Open Class Dry,🥈 Silver,Jon Steadman,Codling Moth,,,,,,
Open Class Dry,🥈 Silver,Hitchcox Cider,Hitchcox cider,https://hitchcoxcider.co.uk/,https://www.facebook.com/HitchcoxCider/,https://www.instagram.com/hitchcox_cider/,https://maps.google.com/?cid=6038804049112704578,,https://untappd.com/w/hitchcox-cider-orchard-cottage-cider-company/130683
Open Class Dry,🥈 Silver,Caledonian Cider Co,Dry,https://caledoniancider.com/,,,https://maps.google.com/?cid=15633057795289615854,,https://untappd.com/CaledonianCiderCo
Open Class Dry,🥉 Bronze,North Down Orchard,dry,,,,,,
Open Class Dry,🥉 Bronze,Mark Palfrey & Jonathan Pepper,Rydon Farm Cider,,,,,,
Open Class Dry,🥉 Bronze,Rawlins Family Cider,Dry bottle,https://www.rawlinsfamilycider.co.uk/,,https://www.instagram.com/rawlins_family_cider/,,,https://untappd.com/w/rawlins-family-cider/455388
Open Class Dry,🥉 Bronze,The Tor Cider Company,Fenny Castle Vintage Reserve Dry Cider,https://www.torcider.co.uk/,,https://www.instagram.com/torcider/,https://maps.google.com/?cid=14850884087729122374,,https://untappd.com/w/the-tor-cider-company/264398
Open Class Dry,🥉 Bronze,Udders Orchard Cider,Luddite,https://www.uddersorchardcider.co.uk/,https://www.facebook.com/uddersorchardcider/,https://www.instagram.com/uddersorchardcider/,https://maps.google.com/?cid=6626754989867518062,,https://untappd.com/UddersOrchard
Open Class Dry,🥉 Bronze,Orchard 101,Delta,,,,,,
Open Class Dry,🥉 Bronze,Ad Astra Cider,Hurricane,https://adastracider.com/,https://www.facebook.com/adastracider,https://www.instagram.com/ad_astra_cider/,https://maps.google.com/?cid=9771495525386244918,,https://untappd.com/AdAstraCiderCo
Open Class Dry,🥉 Bronze,William Barnes,Padfield House Dry Cider,,,,,,
Open Class Dry,🥉 Bronze,W-G Cider,W-G Farmhouse Cider,,,,,,
Open Class Medium,🏆 Best in Class,North Down Orchard,Medium,,,,,,
Open Class Medium,🥇 Gold,Jonathan Marsden,Draycott Farm Cider,,,,,,
Open Class Medium,🥇 Gold,Bere Cider Company,Turnhill Sunrise,https://www.berecidercompany.com/,https://www.facebook.com/BereCiderCompany/,https://www.instagram.com/berecidercompany,https://maps.google.com/?cid=12375160692646889429,https://www.tripadvisor.com/Attraction_Review-g663809-d8367995,https://untappd.com/BereCiderCompany
Open Class Medium,🥇 Gold,Bere Cider Company,5 Acres,https://www.berecidercompany.com/,https://www.facebook.com/BereCiderCompany/,https://www.instagram.com/berecidercompany,https://maps.google.com/?cid=12375160692646889429,https://www.tripadvisor.com/Attraction_Review-g663809-d8367995,https://untappd.com/BereCiderCompany
Open Class Medium,🥇 Gold,Broadpool Cider,Broadpool Medium Cider,,,,,,
Open Class Medium,🥇 Gold,Luke's Cider,Original Sin,https://www.lukescider.com/,https://www.facebook.com/lukescider/,https://www.instagram.com/lukescider/,https://maps.google.com/?cid=3087204132532898241,,https://untappd.com/w/luke-s-cider/395593
Open Class Medium,🥈 Silver,Ventons Devon Cider,Apple Vice,https://ventons.co.uk/,https://www.facebook.com/VentonsDevonCyder,https://www.instagram.com/ventons_devon_cyder/,https://maps.google.com/?cid=13221987803001183957,,https://untappd.com/w/ventons-devon-cyder/224676
Open Class Medium,🥈 Silver,Southdown Cider,Medium cider,https://www.southdowncider.com/,,,https://maps.google.com/?cid=959682121658362452,,https://untappd.com/w/southdown-cider/364805
Open Class Medium,🥈 Silver,Skyborry Cider & Perry,Court of Noke 2021,https://skyborrycider.co.uk/,,https://www.instagram.com/skyborrycider/,,,https://untappd.com/w/skyborry/117846
Open Class Medium,🥈 Silver,Rawlins Family Cider,Medium,https://www.rawlinsfamilycider.co.uk/,,https://www.instagram.com/rawlins_family_cider/,,,https://untappd.com/w/rawlins-family-cider/455388
Open Class Medium,🥈 Silver,Monkey House Cider,See No Evil,https://www.monkeyhousecider.co.uk/,https://www.facebook.com/Monkeyhouseciderberwick/,https://www.instagram.com/monkeyhousecider/,https://maps.google.com/?cid=9384746937899899122,,https://untappd.com/w/monkey-house-cider/497477
Open Class Medium,🥈 Silver,Isaac Cider,Alchemy Isaac Cider + Calculus Isaac Cider,https://isaaccider.com/,https://www.facebook.com/isaaccider,https://www.instagram.com/isaaccider/,https://maps.google.com/?cid=8020850171828378197,,https://untappd.com/w/isaac-cider/494581
Open Class Medium,🥈 Silver,Isaac Cider,Alchemy Isaac Cider,https://isaaccider.com/,https://www.facebook.com/isaaccider,https://www.instagram.com/isaaccider/,https://maps.google.com/?cid=8020850171828378197,,https://untappd.com/w/isaac-cider/494581
Open Class Medium,🥈 Silver,Broadpool Cider,Oakfield Medium Cider,,,,,,
Open Class Medium,🥈 Silver,Branch Cider,Hangdown,https://www.branchcider.com/,https://www.facebook.com/branchciderco,https://www.instagram.com/branchciderco/,,,https://untappd.com/w/branch-cider/522797
Open Class Medium,🥈 Silver,Better Cider,Blend A - Orange Top,https://www.bristol.ac.uk/external-estate/fenswoodfarm/better-cider/,,https://www.instagram.com/bettercider/,,,
Open Class Medium,🥈 Silver,Steve Faulkner,Medium Cider,,,,,,
Open Class Medium,🥈 Silver,The Orchard,Cattistock Community Cider,,,,,,
Open Class Medium,🥈 Silver,Ganley & Naish,Mourning Drop,https://www.ganleyandnaish.co.uk/,https://www.facebook.com/ganleynaishcider/,https://www.instagram.com/ganleynaishcider/,,,https://untappd.com/GanleyNaish
Open Class Medium,🥈 Silver,William Barnes,Padfield House Medium Cider,,,,,,
Open Class Medium,🥉 Bronze,Smith Hayne Orchards,reserve cider,https://www.smithhayneorchards.com/,,https://www.instagram.com/smithhayneorchards/,,,https://untappd.com/w/smith-hayne-orchards/423976
Open Class Medium,🥉 Bronze,Seidr Ci Ddu,Premium whole juice still cider,https://www.ciddu.co.uk/,,,https://maps.google.com/?cid=13600510542486755126,,https://untappd.com/w/seidr-ci-ddu/544489
Open Class Medium,🥉 Bronze,Branch Cider,Yarlington,https://www.branchcider.com/,https://www.facebook.com/branchciderco,https://www.instagram.com/branchciderco/,,,https://untappd.com/w/branch-cider/522797
Open Class Medium,🥉 Bronze,Branch Cider,Early Harvest,https://www.branchcider.com/,https://www.facebook.com/branchciderco,https://www.instagram.com/branchciderco/,,,https://untappd.com/w/branch-cider/522797
Open Class Medium,🥉 Bronze,Broadpool Cider,Batcombe Blend,,,,,,
Open Class Medium,🥉 Bronze,Somerset Cider Brandy & Burrow Hill Cider,Burrow Hill Draft Medium,https://www.somersetciderbrandy.com/,https://www.facebook.com/ciderbrandy,https://www.instagram.com/somersetciderbrandy/,https://maps.google.com/?cid=7367344989762198966,https://www.tripadvisor.com/Attraction_Review-g1096546-d549720,https://untappd.com/brewery/34566
Open Class Medium,🥉 Bronze,The Crest Cyder Company,Golden,,,,,,
Open Class Medium,🥉 Bronze,Southdown Cider,Medium cider,https://www.southdowncider.com/,,,https://maps.google.com/?cid=959682121658362452,,https://untappd.com/w/southdown-cider/364805
Open Class Medium,🥉 Bronze,Showerings Cider Mill,Showering Medium Cider,,,,,,
Open Class Medium,🥉 Bronze,Shed Cider,"Medium Sweet, Sparkling",https://www.shedcider.com/,https://www.facebook.com/p/Shed-Cider-100054294351085/,https://www.instagram.com/shed.cider/,,,https://untappd.com/w/shed-cider/415161
Open Class Medium,🥉 Bronze,Seven Trees Cider,Reading Press,,,,,,
Open Class Medium,🥉 Bronze,Orchard 101,Bravo,,,,,,
Open Class Medium,🥉 Bronze,Sandford Orchards,Sandford Reserve,https://www.sandfordorchards.co.uk/,https://www.facebook.com/sandfordorchards,https://www.instagram.com/sandfordorchards/,https://maps.google.com/?cid=2784404680033020235,https://www.tripadvisor.com/Attraction_Review-g635675-d14758900,https://untappd.com/brewery/14080
Open Class Medium,🥉 Bronze,Seven Trees Cider,Berkshire blend,,,,,,
Open Class Medium,🥉 Bronze,Pips Cider,Pips Cider Medium,http://www.pipscider.com/,https://www.facebook.com/PipsCider,https://www.instagram.com/pipscider/,https://maps.google.com/?cid=16039788259014934478,,https://untappd.com/w/pips-cider-limited/159027
Open Class Sweet,🏆 Best in Class,Dorset Star Cider,Supernova,https://www.dorsetstar.co.uk/,https://www.facebook.com/DorsetStar/,https://www.instagram.com/dorset_star/,https://maps.google.com/?cid=951721413982442802,https://www.tripadvisor.com/Attraction_Review-g186263-d25166976,https://untappd.com/w/dorset-star/220602
Open Class Sweet,🥇 Gold,Wilding Cider,Ditcheat Hill 2021,https://www.wildingcider.co.uk/,,https://www.instagram.com/wildingcider/,https://maps.google.com/?cid=14126504367716389024,,https://untappd.com/w/wilding-cider/465253
Open Class Sweet,🥈 Silver,Ventons Devon Cider,Sweet Maid In Devon,https://ventons.co.uk/,https://www.facebook.com/VentonsDevonCyder,https://www.instagram.com/ventons_devon_cyder/,https://maps.google.com/?cid=13221987803001183957,,https://untappd.com/w/ventons-devon-cyder/224676
Open Class Sweet,🥈 Silver,Cranborne Chase Cider,The Whitewigs,https://cranbornechasecider.co.uk/,https://www.facebook.com/cranbornechasecider,https://www.instagram.com/cranborne_chase_cider/,https://maps.google.com/?cid=11691295207635124730,,https://untappd.com/w/cranborne-chase/146534
Open Class Sweet,🥈 Silver,Branch Cider,Bristol Blend,https://www.branchcider.com/,https://www.facebook.com/branchciderco,https://www.instagram.com/branchciderco/,,,https://untappd.com/w/branch-cider/522797
Open Class Sweet,🥈 Silver,North Down Orchard,Sweet,,,,,,
Open Class Sweet,🥉 Bronze,The Crest Cyder Company,Milly,,,,,,
Open Class Sweet,🥉 Bronze,Southdown Cider,Sweet cider,https://www.southdowncider.com/,,,https://maps.google.com/?cid=959682121658362452,,https://untappd.com/w/southdown-cider/364805
Open Class Sweet,🥉 Bronze,Isaac Cider,Refraction Isaac Cider,https://isaaccider.com/,https://www.facebook.com/isaaccider,https://www.instagram.com/isaaccider/,https://maps.google.com/?cid=8020850171828378197,,https://untappd.com/w/isaac-cider/494581
Open Class Sweet,🥉 Bronze,Branch Cider,Late Harvest,https://www.branchcider.com/,https://www.facebook.com/branchciderco,https://www.instagram.com/branchciderco/,,,https://untappd.com/w/branch-cider/522797
Open Class Sweet,🥉 Bronze,Showerings Cider Mill,Showering Sweet Cider,,,,,,
Open Class Sweet,🥉 Bronze,Palmers Upland Cyder,Cheeky Jackdaw,https://www.palmersuplandcyder.co.uk/,https://www.facebook.com/palmersuplandcyder/,https://www.instagram.com/palmers_upland_cyder/,,,https://untappd.com/w/palmers-upland-cyder/66238
Open Class Sweet,🥉 Bronze,Sweeting's Cider,Sweeting's Naturally Sweet Cider,,,,,,
Open Class Sweet,🥉 Bronze,Steve Faulkner,Sweet Cider,,,,,,
Open Class Sweet,🥉 Bronze,Moons Cider,Sweet Cider,,,,,,
Open Class Sweet,🥉 Bronze,Sisson & Smith,SWEET,,,,,,https://untappd.com/w/sisson-smith/229581
Iced Cider,🏆 Best in Class,Somerset Cider Brandy & Burrow Hill Cider,Ice Cider,https://www.somersetciderbrandy.com/,https://www.facebook.com/ciderbrandy,https://www.instagram.com/somersetciderbrandy/,https://maps.google.com/?cid=7367344989762198966,https://www.tripadvisor.com/Attraction_Review-g1096546-d549720,https://untappd.com/brewery/34566
Iced Cider,🥈 Silver,Chris Hecks,Iced cider,,,,,,
Iced Cider,🥈 Silver,West Milton Cider,Milton Ice,https://westmiltoncider.co.uk/,https://www.facebook.com/WestMiltonCiderCo,,https://maps.google.com/?cid=2378994117010753202,,https://untappd.com/w/west-milton-cider-co/132014
Iced Cider,🥉 Bronze,Sisson & Smith,ICE CIDER,,,,,,https://untappd.com/w/sisson-smith/229581
Iced Cider,🥉 Bronze,Broadpool Cider,Broadpool Ice Cider,,,,,,
Iced Cider,🥉 Bronze,Bere Cider Company,Ice Cider,https://www.berecidercompany.com/,https://www.facebook.com/BereCiderCompany/,https://www.instagram.com/berecidercompany,https://maps.google.com/?cid=12375160692646889429,https://www.tripadvisor.com/Attraction_Review-g663809-d8367995,https://untappd.com/BereCiderCompany
Taste/Presentation,🏆 Best in Class,Cranborne Chase Cider,The Hurdlemaker,https://cranbornechasecider.co.uk/,https://www.facebook.com/cranbornechasecider,https://www.instagram.com/cranborne_chase_cider/,https://maps.google.com/?cid=11691295207635124730,,https://untappd.com/w/cranborne-chase/146534
Taste/Presentation,🥈 Silver,Luke's Cider,Original Sin,https://www.lukescider.com/,https://www.facebook.com/lukescider/,https://www.instagram.com/lukescider/,https://maps.google.com/?cid=3087204132532898241,,https://untappd.com/w/luke-s-cider/395593
Taste/Presentation,🥈 Silver,Dowding's,"Tower Brue medium cider, still",,,,,,
Taste/Presentation,🥈 Silver,West Milton Cider,Dorset Moonlight,https://westmiltoncider.co.uk/,https://www.facebook.com/WestMiltonCiderCo,,https://maps.google.com/?cid=2378994117010753202,,https://untappd.com/w/west-milton-cider-co/132014
Taste/Presentation,🥈 Silver,The Parrett Cider Company,Medium Dry,https://www.parrettcider.co.uk/,https://www.facebook.com/ParrettCider/,https://www.instagram.com/parrettcider/,,,https://untappd.com/w/the-parrett-cider-company/505123
Taste/Presentation,🥈 Silver,Ridge & Furrow Cider,Naturally Sweet,https://ridgeandfurrowcider.co.uk/,,,https://maps.google.com/?cid=5958769938793720344,,https://untappd.com/w/ridge-and-furrow/335457
Taste/Presentation,🥈 Silver,Stones Cider,Ram of Shepton,https://www.stonescider.co.uk/,https://www.facebook.com/stonescider,,,,https://untappd.com/w/stone-s-cider/127537
Taste/Presentation,🥈 Silver,Isaac Cider,Alchemy + Calculus + Anti-gravity Isaac Cider,https://isaaccider.com/,https://www.facebook.com/isaaccider,https://www.instagram.com/isaaccider/,https://maps.google.com/?cid=8020850171828378197,,https://untappd.com/w/isaac-cider/494581
Taste/Presentation,🥉 Bronze,Glyders Cider,Medium sweet sparkling,,,,,,
Taste/Presentation,🥉 Bronze,Dowding's,"Tower Brue dry cider, still",,,,,,
Taste/Presentation,🥉 Bronze,Marshwood Vale Cider,Morgans Sweet,https://www.marshwoodvalecider.com/,https://www.facebook.com/MarshwoodValeCider/,,https://maps.google.com/?cid=3062253782181970531,,
Taste/Presentation,🥉 Bronze,Moons Cider,Medium Sparkling,,,,,,
Taste/Presentation,🥉 Bronze,North Down Orchard,Medium,,,,,,
Taste/Presentation,🥉 Bronze,Wadys Cider,Orchard Rambler,,,,,,
Taste/Presentation,🥉 Bronze,Watchet Cider Company,Quay Cider,,,,,,
Taste/Presentation,🥉 Bronze,W-G Cider,W-G Farmhouse Cider,,,,,,
Taste/Presentation,🥉 Bronze,Dowding's,"Tower Brue dry cider, carbonated",,,,,,
Taste/Presentation,🥉 Bronze,Wilcox Cider,Somerset beauty,,https://www.facebook.com/wilcoxcider,,,,https://untappd.com/w/wilcox-cider/190406
Taste/Presentation,🥉 Bronze,Ganley & Naish,Hell and high water,https://www.ganleyandnaish.co.uk/,https://www.facebook.com/ganleynaishcider/,https://www.instagram.com/ganleynaishcider/,,,https://untappd.com/GanleyNaish
Taste/Presentation,🥉 Bronze,Dorset Nectar,Old Harry Rocks,https://dorsetnectar.co.uk/,https://www.facebook.com/dorsetnectarcider,https://www.instagram.com/dorsetnectarciderco/,https://maps.google.com/?cid=12382606142379540152,https://www.tripadvisor.com/Attraction_Review-g551706-d7075524,https://untappd.com/w/dorset-nectar/33352
Taste/Presentation,🥉 Bronze,Courtney's Devon Cider,Devon Dimpsy,https://courtneys.online/,https://www.facebook.com/courtneysdrinks/,,https://maps.google.com/?cid=15697263033877967876,,
Taste/Presentation,🥉 Bronze,Ad Astra Cider,Protector,https://adastracider.com/,https://www.facebook.com/adastracider,https://www.instagram.com/ad_astra_cider/,https://maps.google.com/?cid=9771495525386244918,,https://untappd.com/AdAstraCiderCo
Taste/Presentation,🥉 Bronze,Ad Astra Cider,Vulcan,https://adastracider.com/,https://www.facebook.com/adastracider,https://www.instagram.com/ad_astra_cider/,https://maps.google.com/?cid=9771495525386244918,,https://untappd.com/AdAstraCiderCo
Taste/Presentation,🥉 Bronze,Ad Astra Cider,Tornado,https://adastracider.com/,https://www.facebook.com/adastracider,https://www.instagram.com/ad_astra_cider/,https://maps.google.com/?cid=9771495525386244918,,https://untappd.com/AdAstraCiderCo
Taste/Presentation,🥉 Bronze,Marshwood Vale Cider,Browns Apple,https://www.marshwoodvalecider.com/,https://www.facebook.com/MarshwoodValeCider/,,https://maps.google.com/?cid=3062253782181970531,,
Taste/Presentation,🥉 Bronze,Glyders Cider,Medium dry sparkling,,,,,,
Taste/Presentation,🥉 Bronze,Wyatts,Wyatts Traditional Dry,,,,,,
Taste/Presentation,🥉 Bronze,Harry's Cider,Original,https://www.harryscidercompany.co.uk/,https://www.facebook.com/harryscider/,https://www.instagram.com/harrys_cider/,https://maps.google.com/?cid=8158521266898778933,https://www.tripadvisor.com/Attraction_Review-g663809-d15201249,https://untappd.com/w/harry-s-cider/74293
Bottle Fermented,🏆 Best in Class,Rull Orchard,Starlight,https://www.rullorchard.co.uk/,https://www.facebook.com/RullOrchard/,https://www.instagram.com/rullorchard/,https://maps.google.com/?cid=11123418549220978092,,https://untappd.com/w/rull-orchard/473398
Bottle Fermented,🥇 Gold,Somerset Cider Brandy & Burrow Hill Cider,Stoke Red bottle fermented,https://www.somersetciderbrandy.com/,https://www.facebook.com/ciderbrandy,https://www.instagram.com/somersetciderbrandy/,https://maps.google.com/?cid=7367344989762198966,https://www.tripadvisor.com/Attraction_Review-g1096546-d549720,https://untappd.com/brewery/34566
Bottle Fermented,🥈 Silver,Seidear,Seidear Pitmedden Walled Garden,https://seidear.com/,https://www.facebook.com/seidear.weescottishciderco/,https://www.instagram.com/seidear/,https://maps.google.com/?cid=227255875071520296,,https://untappd.com/TheWeeScottishCiderCo
Bottle Fermented,🥈 Silver,Tinston Wines & Ciders,Best 2021,https://tinstonwinecider.com/,https://www.facebook.com/tinstonwinecider/,https://www.instagram.com/tinstonwinecider/,https://maps.google.com/?cid=11983981920527513059,,https://untappd.com/w/tinston/488266
Bottle Fermented,🥈 Silver,Seidear,Seidear Haddo Walled garden,https://seidear.com/,https://www.facebook.com/seidear.weescottishciderco/,https://www.instagram.com/seidear/,https://maps.google.com/?cid=227255875071520296,,https://untappd.com/TheWeeScottishCiderCo
Bottle Fermented,🥈 Silver,Halfpenny Green Cider,Le Franc,https://www.halfpennygreencider.co.uk/,https://www.facebook.com/p/The-Halfpenny-Green-Cider-Company-100063680012599/,https://www.instagram.com/halfpennycider/,https://maps.google.com/?cid=6102481507786239286,,https://untappd.com/w/halfpenny-green/413928
Bottle Fermented,🥈 Silver,Draig Development,Border Sun Orchard Blend 2021,,,,,,
Bottle Fermented,🥈 Silver,Crackington Cider Co.,Tremayna,https://www.crackingtoncider.co.uk/,https://www.facebook.com/crackingtoncider.co.uk/,https://www.instagram.com/crackingtonciderco/,https://maps.google.com/?cid=16710346755802957363,,https://untappd.com/w/crackington-cider-co/444510
Bottle Fermented,🥈 Silver,Bollhayes Cider,Bollhayes 2019 Traditional Method Cider,https://bollhayescider.co.uk/,https://www.facebook.com/bollhayescider.co.uk/,https://www.instagram.com/bollhayes/,https://maps.google.com/?cid=12800455720536456131,,https://untappd.com/w/bollhayes/97990
Bottle Fermented,🥉 Bronze,John and Naomi Wakelin,Harromint Sparkling 2022,,,,,,
Bottle Fermented,🥉 Bronze,Draig Development,Border Sun Orchard Blend 2020,,,,,,
Bottle Fermented,🥉 Bronze,Bollhayes Cider,Bollhayes 2018 Traditional Method Cider,https://bollhayescider.co.uk/,https://www.facebook.com/bollhayescider.co.uk/,https://www.instagram.com/bollhayes/,https://maps.google.com/?cid=12800455720536456131,,https://untappd.com/w/bollhayes/97990
Bottle Fermented,🥉 Bronze,Smith Hayne Orchards,Methode Traditionelle,https://www.smithhayneorchards.com/,,https://www.instagram.com/smithhayneorchards/,,,https://untappd.com/w/smith-hayne-orchards/423976
Keeved Cider,🏆 Best in Class,Rawlins Family Cider,Sweet Keeved,https://www.rawlinsfamilycider.co.uk/,,https://www.instagram.com/rawlins_family_cider/,,,https://untappd.com/w/rawlins-family-cider/455388
Keeved Cider,🥇 Gold,West Milton Cider,Lancombe Rising,https://westmiltoncider.co.uk/,https://www.facebook.com/WestMiltonCiderCo,,https://maps.google.com/?cid=2378994117010753202,,https://untappd.com/w/west-milton-cider-co/132014
Keeved Cider,🥇 Gold,Benjamin Jaffe - Dinnington Cider Press,Cidre Bouche,,,,,,
Keeved Cider,🥈 Silver,Hecks Farmhouse Cider,Keeved Browns Apple,https://www.heckscider.com/,https://www.facebook.com/profile.php?id=100064795443706,https://www.instagram.com/hecksfarmhousecider/,https://maps.google.com/?cid=14811456381048588409,https://www.tripadvisor.com/Attraction_Review-g780820-d8126251,https://untappd.com/brewery/6758
Keeved Cider,🥈 Silver,Smith Hayne Orchards,Keeve,https://www.smithhayneorchards.com/,,https://www.instagram.com/smithhayneorchards/,,,https://untappd.com/w/smith-hayne-orchards/423976
Keeved Cider,🥈 Silver,Cranborne Chase Cider,Dorsecco,https://cranbornechasecider.co.uk/,https://www.facebook.com/cranbornechasecider,https://www.instagram.com/cranborne_chase_cider/,https://maps.google.com/?cid=11691295207635124730,,https://untappd.com/w/cranborne-chase/146534
Keeved Cider,🥈 Silver,Ganley & Naish,Pastures,https://www.ganleyandnaish.co.uk/,https://www.facebook.com/ganleynaishcider/,https://www.instagram.com/ganleynaishcider/,,,https://untappd.com/GanleyNaish
Keeved Cider,🥉 Bronze,Benjamin Jaffe - Dinnington Cider Press,Cidre Bouche - Kingstone Black,,,,,,
Keeved Cider,🥉 Bronze,Dorset Star Cider,Singularity Bronze,https://www.dorsetstar.co.uk/,https://www.facebook.com/DorsetStar/,https://www.instagram.com/dorset_star/,https://maps.google.com/?cid=951721413982442802,https://www.tripadvisor.com/Attraction_Review-g186263-d25166976,https://untappd.com/w/dorset-star/220602
Keeved Cider,🥉 Bronze,Sisson & Smith,KEEVED CIDER,,,,,,https://untappd.com/w/sisson-smith/229581
Keeved Cider,🥉 Bronze,Rawlins Family Cider,Keeved Yarlington,https://www.rawlinsfamilycider.co.uk/,,https://www.instagram.com/rawlins_family_cider/,,,https://untappd.com/w/rawlins-family-cider/455388
Keeved Cider,🥉 Bronze,Rawlins Family Cider,Dry keeved,https://www.rawlinsfamilycider.co.uk/,,https://www.instagram.com/rawlins_family_cider/,,,https://untappd.com/w/rawlins-family-cider/455388
Keeved Cider,🥉 Bronze,Southdown Cider,Keeved cider,https://www.southdowncider.com/,,,https://maps.google.com/?cid=959682121658362452,,https://untappd.com/w/southdown-cider/364805
Keeved Cider,🥉 Bronze,Seidear,Seidear Ellon Castle Garden,https://seidear.com/,https://www.facebook.com/seidear.weescottishciderco/,https://www.instagram.com/seidear/,https://maps.google.com/?cid=227255875071520296,,https://untappd.com/TheWeeScottishCiderCo
Keeved Cider,🥉 Bronze,Halfpenny Green Cider,Gold Guinea,https://www.halfpennygreencider.co.uk/,https://www.facebook.com/p/The-Halfpenny-Green-Cider-Company-100063680012599/,https://www.instagram.com/halfpennycider/,https://maps.google.com/?cid=6102481507786239286,,https://untappd.com/w/halfpenny-green/413928
