Category,Award,Medalist,Entry,Region/Country,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Dry Cider,🥈 SILVER,Cydr Dwaj Bracia,Alwa Naturaina,Poland,https://dwajbracia.pl/,https://www.facebook.com/profile.php?id=100094619362211,https://www.instagram.com/cydr_dwaj_bracia,,,https://untappd.com/w/cydr-dwaj-bracia/551234
Dry Cider,🥈 SILVER,Mistérios da Quinta Unipessoal,Arrebita C4,Madeira,,,https://www.instagram.com/sidrariaprazeres/,https://maps.google.com/?cid=17308535962264911617,,https://untappd.com/w/misterios-da-quinta-unipessoal-lda/530615
Dry Cider,🥈 SILVER,Mistérios da Quinta Unipessoal,Arrebita C7,Madeira,,,https://www.instagram.com/sidrariaprazeres/,https://maps.google.com/?cid=17308535962264911617,,https://untappd.com/w/misterios-da-quinta-unipessoal-lda/530615
Dry Cider,🥈 SILVER,Sendero del Valle,El Valle Secreto,Canary Islands,,https://www.facebook.com/productosgranvalle.es,,,,https://untappd.com/w/sendero-del-valle/501949
Dry Cider,🥈 SILVER,Lagar de Valleseco,Natural Sidras,Canary Islands,,https://www.facebook.com/sidralagardevalleseco/,,https://maps.google.com/?cid=6485664555068943913,,https://untappd.com/w/angel-dominguez-ponce/511926
Dry Cider,🥈 SILVER,Basicos & Coisas Unipessoal,Sidra do Massa,Madeira,,,https://www.instagram.com/sidradomassa/,,,https://untappd.com/w/sidra-do-massa/550299
Dry Cider,🥈 SILVER,Tuscany,Natural Sidras,Canary Islands,,https://www.facebook.com/profile.php?id=100093320145027,https://www.instagram.com/sidrastuscany,,,
Dry Cider,🥉 BRONZE,Riestra,Guzmán Cider Sidra,Asturias,http://www.sidrariestra.com/,https://www.facebook.com/SidraRiestra,https://www.instagram.com/sidrariestra/,https://maps.google.com/?cid=2253085342105400787,,https://untappd.com/w/riestra/70601
Dry Cider,🥉 BRONZE,Viuda de Angelón,1947,Asturias,http://www.sidraviudaangelonpomar.es/,https://www.facebook.com/sidrapomar.viudaangelon/,https://www.instagram.com/Sidraviudaangelon/,https://maps.google.com/?cid=13173562328637195239,,https://untappd.com/w/viuda-de-angela3n/142823
Dry Cider,🥉 BRONZE,Casa do Caramanchão,Boneca de Canudo,Madeira,https://www.bonecadecanudo.com/,https://www.facebook.com/bonecadecanudo/,https://www.instagram.com/bonecadecanudo/,https://maps.google.com/?cid=14850808685027168712,,https://untappd.com/w/casa-do-caramanchao/542700
Dry Cider,🥉 BRONZE,Lagar de Valleseco,Lobo,Canary Islands,,https://www.facebook.com/sidralagardevalleseco/,,https://maps.google.com/?cid=6485664555068943913,,https://untappd.com/w/angel-dominguez-ponce/511926
Dry Cider,🥉 BRONZE,Mistérios da Quinta Unipessoal,Arrebita CE,Madeira,,,https://www.instagram.com/sidrariaprazeres/,https://maps.google.com/?cid=17308535962264911617,,https://untappd.com/w/misterios-da-quinta-unipessoal-lda/530615
Dry Cider,🥉 BRONZE,Olletako Sagardoak,Orbaibar Premium,Navarre,https://www.sidrasbaldorbanaturel.com/,https://www.facebook.com/sagarraleku/,https://www.instagram.com/sidrasbaldorbanaturel/,,,https://untappd.com/w/baldorba-sagardotegia/336919
Dry Cider,🥉 BRONZE,Elegast Cidery,Revolution,Netherlands,https://elegastcider.nl/,https://www.facebook.com/elegastcidery/,https://www.instagram.com/elegast_cidery/,https://maps.google.com/?cid=5936408747857287023,,https://untappd.com/ElegastCidery
Dry Cider,🥉 BRONZE,Mooma,Sidra de Poma,Catalonia,https://mooma.cat/,https://www.facebook.com/sidreriamooma/,https://www.instagram.com/mooma/,https://maps.google.com/?cid=11350926811080988766,https://www.tripadvisor.com/Restaurant_Review-g3501872-d13815642,https://untappd.com/w/mooma/254950
Dry Cider,🥉 BRONZE,Romano Pereira,Romaria 22,Madeira,,,,,,https://untappd.com/w/herdade-do-pereira/538761
Semi Dry Cider,🏆 PREMIUM,Gallinal Drinks,Craft Apple Cider,Asturias,https://exnercider.com/,https://www.facebook.com/ExnerCider/,https://www.instagram.com/exner.cider/,https://maps.google.com/?cid=3356560758775211802,,https://untappd.com/b/llagar-sidra-castanon-exner/3684800
Semi Dry Cider,🥉 BRONZE,Sidra Daritava,Dullais Dauka Herbsts,Latvia,https://herbsts.lv/,https://www.facebook.com/herbsts.sidrs/,https://www.instagram.com/herbsts.sidrs/,,,https://untappd.com/HERBSTS
Sweet Cider,🏆 PREMIUM,Jörg Geiger,HolzApfel Manufaktur,Germany,https://www.manufaktur-joerg-geiger.de/,https://www.facebook.com/manufakturjoerggeiger/,https://www.instagram.com/manufakturjoerggeiger/,https://maps.google.com/?cid=908271853334307402,,https://untappd.com/w/manufaktur-jorg-geiger/270857
Sweet Cider,🥈 SILVER,Posma,Posma Dulce,Canary Islands,,https://www.facebook.com/profile.php?id=100063717535205,,,,https://untappd.com/w/posma/512334
Sweet Cider,🥈 SILVER,Maley,Matterhorn,Italy,https://www.maleymontblanc.com/,,,https://maps.google.com/?cid=94166741695887894,,https://untappd.com/brewery/29291
Sweet Cider,🥈 SILVER,Maley,Jorasses,Italy,https://www.maleymontblanc.com/,,,https://maps.google.com/?cid=94166741695887894,,https://untappd.com/brewery/29291
Sweet Cider,🥉 BRONZE,Panizales,Ati,Asturias,,https://www.facebook.com/panizales.sidra,https://www.instagram.com/sidrapanizales/,https://maps.google.com/?cid=16258480851124885832,https://www.tripadvisor.com/Restaurant_Review-g775263-d7621234,https://untappd.com/w/llagar-panizales/152401
Brut Cider,🏆 PREMIUM,Lagar de Valleseco,Espumosa Brut,Canary Islands,,https://www.facebook.com/sidralagardevalleseco/,,https://maps.google.com/?cid=6485664555068943913,,https://untappd.com/w/angel-dominguez-ponce/511926
Brut Cider,🥇 GOLD,Riestra,Guzmán Riestra Brut,Asturias,http://www.sidrariestra.com/,https://www.facebook.com/SidraRiestra,https://www.instagram.com/sidrariestra/,https://maps.google.com/?cid=2253085342105400787,,https://untappd.com/w/riestra/70601
Brut Cider,🥇 GOLD,Ciderka,Sojka,Czechia,https://www.ciderka.cz/,https://www.facebook.com/ciderka.cz,https://www.instagram.com/ciderka.cz/,https://maps.google.com/?cid=4045068491840478725,,https://untappd.com/w/ciderka/463341
Brut Cider,🥇 GOLD,Jörg Geiger,Schwäbischer Cider Brut,Germany,https://www.manufaktur-joerg-geiger.de/,https://www.facebook.com/manufakturjoerggeiger/,https://www.instagram.com/manufakturjoerggeiger/,https://maps.google.com/?cid=908271853334307402,,https://untappd.com/w/manufaktur-jorg-geiger/270857
Brut Cider,🥈 SILVER,Agrícola Tralcao Limitada,Patagonia Brut,Chile,https://www.dellacha.cl/,https://www.facebook.com/sidradellacha/,https://www.instagram.com/sidradellacha/,https://maps.google.com/?cid=11234203234144011970,,https://untappd.com/w/lemon-apple/323317
Brut Cider,🥈 SILVER,Seidear,Seidear Ellon Castle,Scotland,https://seidear.com/,https://www.facebook.com/seidear.weescottishciderco/,https://www.instagram.com/seidear/,https://maps.google.com/?cid=227255875071520296,,https://untappd.com/TheWeeScottishCiderCo
Brut Cider,🥈 SILVER,Brinkhall Sparkling,Alma,Finland,https://bsp.fi/,https://www.facebook.com/brinkhalls,https://www.instagram.com/brinkhallsparkling/,https://maps.google.com/?cid=10856204128601037922,,https://untappd.com/BrinkhallSparkling
Brut Cider,🥈 SILVER,La Cave du Tisquin,Cidre Fermier Brut,France,https://hervederenac.wixsite.com/la-cave-du-tisquin,,,,,https://untappd.com/w/la-cave-du-tisquin/464704
Brut Cider,🥈 SILVER,Brinkhall Sparkling,Prestige Brut 2021,Finland,https://bsp.fi/,https://www.facebook.com/brinkhalls,https://www.instagram.com/brinkhallsparkling/,https://maps.google.com/?cid=10856204128601037922,,https://untappd.com/BrinkhallSparkling
Brut Cider,🥈 SILVER,Mooma,Ancestral – Reserva familiar,Catalonia,https://mooma.cat/,https://www.facebook.com/sidreriamooma/,https://www.instagram.com/mooma/,https://maps.google.com/?cid=11350926811080988766,https://www.tripadvisor.com/Restaurant_Review-g3501872-d13815642,https://untappd.com/w/mooma/254950
Brut Cider,🥈 SILVER,Paladeus,Apfelseco 2018,Italy,http://www.paladeus.it/,https://www.facebook.com/profile.php?id=100067062071715,https://www.instagram.com/paladeus_cider/,https://maps.google.com/?cid=8605615739361573597,,https://untappd.com/w/paladeus/538622
Brut Cider,🥈 SILVER,Domaine de la Mare,L’Insoumis,France,https://www.domainedelamare.com/,,,https://maps.google.com/?cid=11844878661689216154,,https://untappd.com/w/domaine-de-la-mare/511923
Brut Cider,🥈 SILVER,Niebla,Niebla,Canary Islands,https://www.sidrasdecanarias.com/,,https://www.instagram.com/sidras_niebla/,https://maps.google.com/?cid=16349686505723006702,,
Brut Cider,🥈 SILVER,Petritegui,1523,Basque Country,https://www.petritegi.com/,https://www.facebook.com/Petritegi/,https://www.instagram.com/petritegi,https://maps.google.com/?cid=16425101977693923721,https://www.tripadvisor.com/Restaurant_Review-g1064182-d2266030,https://untappd.com/brewery/51639
Brut Cider,🥈 SILVER,Abuls Sidrs,Brut Nature,Latvia,https://www.abuls.lv/,https://www.facebook.com/sidrsAbuls/,https://www.instagram.com/abuls_sidrs/,https://maps.google.com/?cid=12371654123090416644,,https://untappd.com/Abuls
Brut Cider,🥈 SILVER,Naturcidre Urs Renninger,Bohnapfel 2021,Germany,https://www.naturcidre.de/,,https://www.instagram.com/cidre_urs/,https://maps.google.com/?cid=9508737086378177205,,https://untappd.com/w/naturcidre-urs-renninger/460255
Brut Cider,🥈 SILVER,Petritegui,Aparduna,Basque Country,https://www.petritegi.com/,https://www.facebook.com/Petritegi/,https://www.instagram.com/petritegi,https://maps.google.com/?cid=16425101977693923721,https://www.tripadvisor.com/Restaurant_Review-g1064182-d2266030,https://untappd.com/brewery/51639
Brut Cider,🥈 SILVER,Sidra Fran,Ramos del Valle Brut,Asturias,https://sidrafran.es/,,https://www.instagram.com/sidrafran1918/,https://maps.google.com/?cid=15672106953833908893,https://www.tripadvisor.com/Restaurant_Review-g2437300-d7244547,https://untappd.com/w/sidra-fran/85954
Brut Cider,🥈 SILVER,Paladeus,Red Rose Cider,Italy,http://www.paladeus.it/,https://www.facebook.com/profile.php?id=100067062071715,https://www.instagram.com/paladeus_cider/,https://maps.google.com/?cid=8605615739361573597,,https://untappd.com/w/paladeus/538622
Brut Cider,🥈 SILVER,Tuscany,Brut,Canary Islands,,https://www.facebook.com/profile.php?id=100093320145027,https://www.instagram.com/sidrastuscany,,,
Brut Cider,🥈 SILVER,Cydrownia Zywer,Brus,Poland,https://zywer.pl/,https://www.facebook.com/CydrowniaZywer,https://www.instagram.com/cydrowniazywer/,https://maps.google.com/?cid=10041242298570436703,,https://untappd.com/cydrowniazywer
Brut Cider,🥈 SILVER,Viuda de Angelón,Prau Monga,Asturias,http://www.sidraviudaangelonpomar.es/,https://www.facebook.com/sidrapomar.viudaangelon/,https://www.instagram.com/Sidraviudaangelon/,https://maps.google.com/?cid=13173562328637195239,,https://untappd.com/w/viuda-de-angela3n/142823
Brut Cider,🥉 BRONZE,Antwerpse Cider Compagnie,Otter cider Appelcider,Belgium,https://www.ottercider.be/,https://www.facebook.com/Ottercider,https://www.instagram.com/ottercider,,,https://untappd.com/Ottercider
Brut Cider,🥉 BRONZE,Brinkhall Sparkling,Äpplegårds Cuvée 2022,Finland,https://bsp.fi/,https://www.facebook.com/brinkhalls,https://www.instagram.com/brinkhallsparkling/,https://maps.google.com/?cid=10856204128601037922,,https://untappd.com/BrinkhallSparkling
Brut Cider,🥉 BRONZE,Castelo Branco Cider,Brut Traditional,Portugal,http://www.castelobrancocider.com/,https://www.facebook.com/profile.php?id=100066758822950,,,,
Brut Cider,🥉 BRONZE,Posma,Posma brut,Canary Islands,,https://www.facebook.com/profile.php?id=100063717535205,,,,https://untappd.com/w/posma/512334
Brut Cider,🥉 BRONZE,Niebla,Ecológica,Canary Islands,https://www.sidrasdecanarias.com/,,https://www.instagram.com/sidras_niebla/,https://maps.google.com/?cid=16349686505723006702,,
Brut Cider,🥉 BRONZE,Cydr Dwaj Bracia,Boskoop,Poland,https://dwajbracia.pl/,https://www.facebook.com/profile.php?id=100094619362211,https://www.instagram.com/cydr_dwaj_bracia,,,https://untappd.com/w/cydr-dwaj-bracia/551234
Brut Cider,🥉 BRONZE,NeRø Sideri,Rabagast,Norway,https://www.nerofrukt.no/,https://www.facebook.com/people/NeR%C3%B8-Frukt-og-Sider/100070115946607/,https://www.instagram.com/nerofrukt/,https://maps.google.com/?cid=2060180241711172985,,https://untappd.com/w/nero-frukt-og-sider/467847
Brut Cider,🥉 BRONZE,Abuls Sidrs,Kerr,Latvia,https://www.abuls.lv/,https://www.facebook.com/sidrsAbuls/,https://www.instagram.com/abuls_sidrs/,https://maps.google.com/?cid=12371654123090416644,,https://untappd.com/Abuls
Brut Cider,🥉 BRONZE,Elegast Cidery,Premium Organic Cider,Netherlands,https://elegastcider.nl/,https://www.facebook.com/elegastcidery/,https://www.instagram.com/elegast_cidery/,https://maps.google.com/?cid=5936408747857287023,,https://untappd.com/ElegastCidery
Brut Cider,🥉 BRONZE,Stonewell Cider,Craft Cider,Ireland,https://www.stonewellcider.com/,https://www.facebook.com/stonewellcider,https://www.instagram.com/stonewellcider/,https://maps.google.com/?cid=6638378960827420170,,https://untappd.com/Nohoval_Drinks_Company_Ltd
Brut Cider,🥉 BRONZE,Cydrownia Zywer,Cornus,Poland,https://zywer.pl/,https://www.facebook.com/CydrowniaZywer,https://www.instagram.com/cydrowniazywer/,https://maps.google.com/?cid=10041242298570436703,,https://untappd.com/cydrowniazywer
Brut Cider,🥉 BRONZE,Paca y Tola,La Naveta brut,Asturias,https://lanaveta.com/,https://www.facebook.com/profile.php?id=100063497946147,,https://maps.google.com/?cid=18265458060195810621,,https://untappd.com/w/la-naveta/288596
Brut Cider,🥉 BRONZE,SidrAlfa,Espumante Alfa,Portugal,https://sidraalfa.pt/,https://www.facebook.com/Sidralfa1/,https://www.instagram.com/sidra_alfa/,,,https://untappd.com/w/sidra-alfa/545661
Brut Cider,🥉 BRONZE,Cydr Dwaj Bracia,Boiken,Poland,https://dwajbracia.pl/,https://www.facebook.com/profile.php?id=100094619362211,https://www.instagram.com/cydr_dwaj_bracia,,,https://untappd.com/w/cydr-dwaj-bracia/551234
Brut Cider,🥉 BRONZE,El Piloñu,Isidra Light,Asturias,,,,https://maps.google.com/?cid=16273384405779146543,,https://untappd.com/w/el-pilo-u/398962
Brut Cider,🥉 BRONZE,Naturcidre Urs Renninger,Boskoop 2021,Germany,https://www.naturcidre.de/,,https://www.instagram.com/cidre_urs/,https://maps.google.com/?cid=9508737086378177205,,https://untappd.com/w/naturcidre-urs-renninger/460255
Semi-Dry Sparkling Cider,🏆 PREMIUM,Posma,Posma semiseca,Canary Islands,,https://www.facebook.com/profile.php?id=100063717535205,,,,https://untappd.com/w/posma/512334
Semi-Dry Sparkling Cider,🥇 GOLD,Riestra,Guzman Riestra Semiseca,Asturias,http://www.sidrariestra.com/,https://www.facebook.com/SidraRiestra,https://www.instagram.com/sidrariestra/,https://maps.google.com/?cid=2253085342105400787,,https://untappd.com/w/riestra/70601
Semi-Dry Sparkling Cider,🥇 GOLD,Jörg Geiger,Feinherb Cider,Germany,https://www.manufaktur-joerg-geiger.de/,https://www.facebook.com/manufakturjoerggeiger/,https://www.instagram.com/manufakturjoerggeiger/,https://maps.google.com/?cid=908271853334307402,,https://untappd.com/w/manufaktur-jorg-geiger/270857
Semi-Dry Sparkling Cider,🥇 GOLD,Lagar de Valleseco,Espumosa semiseca,Canary Islands,,https://www.facebook.com/sidralagardevalleseco/,,https://maps.google.com/?cid=6485664555068943913,,https://untappd.com/w/angel-dominguez-ponce/511926
Semi-Dry Sparkling Cider,🥇 GOLD,NeRø Sideri,Vill & Villig,Norway,https://www.nerofrukt.no/,https://www.facebook.com/people/NeR%C3%B8-Frukt-og-Sider/100070115946607/,https://www.instagram.com/nerofrukt/,https://maps.google.com/?cid=2060180241711172985,,https://untappd.com/w/nero-frukt-og-sider/467847
Semi-Dry Sparkling Cider,🥈 SILVER,Paladeus,Cider 1979,Italy,http://www.paladeus.it/,https://www.facebook.com/profile.php?id=100067062071715,https://www.instagram.com/paladeus_cider/,https://maps.google.com/?cid=8605615739361573597,,https://untappd.com/w/paladeus/538622
Semi-Dry Sparkling Cider,🥈 SILVER,Agrícola Tralcao Limitada,Patagonia Demi-Sec,Chile,https://www.dellacha.cl/,https://www.facebook.com/sidradellacha/,https://www.instagram.com/sidradellacha/,https://maps.google.com/?cid=11234203234144011970,,https://untappd.com/w/lemon-apple/323317
Semi-Dry Sparkling Cider,🥈 SILVER,Stonewell Cider,Stonewell Medium Dry,Ireland,https://www.stonewellcider.com/,https://www.facebook.com/stonewellcider,https://www.instagram.com/stonewellcider/,https://maps.google.com/?cid=6638378960827420170,,https://untappd.com/Nohoval_Drinks_Company_Ltd
Semi-Dry Sparkling Cider,🥈 SILVER,Urban Farm Fermentory,Sidrah,United States,https://www.fermentory.com/,https://www.facebook.com/urbanfarmfermentory,https://www.instagram.com/fermentory/,https://maps.google.com/?cid=11975829594267048308,https://www.tripadvisor.com/Attraction_Review-g40827-d4509600,https://untappd.com/w/urban-farm-fermentory/10661
Semi-Dry Sparkling Cider,🥈 SILVER,Cider Sekt,Polosuchy,Czechia,https://www.cidersekt.cz/,https://www.facebook.com/cidertalk/,https://www.instagram.com/cidertalk/,https://maps.google.com/?cid=1744130511388226457,,https://untappd.com/w/provoco/396367
Semi-Dry Sparkling Cider,🥈 SILVER,Domaine de la Mare,Le Généreux,France,https://www.domainedelamare.com/,,,https://maps.google.com/?cid=11844878661689216154,,https://untappd.com/w/domaine-de-la-mare/511923
Semi-Dry Sparkling Cider,🥈 SILVER,Jörg Geiger,Schwäbischer Cider Mild,Germany,https://www.manufaktur-joerg-geiger.de/,https://www.facebook.com/manufakturjoerggeiger/,https://www.instagram.com/manufakturjoerggeiger/,https://maps.google.com/?cid=908271853334307402,,https://untappd.com/w/manufaktur-jorg-geiger/270857
Semi-Dry Sparkling Cider,🥈 SILVER,Opre’ Cidery,Borolo,Slovakia,https://www.opre.sk/,https://www.facebook.com/oprecider,https://www.instagram.com/oprecider/,https://maps.google.com/?cid=12156398933247073454,,https://untappd.com/Opre
Semi-Dry Sparkling Cider,🥈 SILVER,Azienda Agricola Tre Rii,Sidro Alta Val Baganza e Alta Val Parma,Italy,https://www.agricolatrerii.it/,https://www.facebook.com/AgricolaTreRii/,https://www.instagram.com/agricolatrerii/,https://maps.google.com/?cid=16891167557912713232,https://www.tripadvisor.com/Hotel_Review-g1930460-d15521245,https://untappd.com/w/azienda-agricola-tre-rii/368277
Semi-Dry Sparkling Cider,🥈 SILVER,Paca y Tola,La Naveta Roxa,Asturias,https://lanaveta.com/,https://www.facebook.com/profile.php?id=100063497946147,,https://maps.google.com/?cid=18265458060195810621,,https://untappd.com/w/la-naveta/288596
Semi-Dry Sparkling Cider,🥈 SILVER,Sendero del Valle,El Valle Secreto,Canary Islands,,https://www.facebook.com/productosgranvalle.es,,,,https://untappd.com/w/sendero-del-valle/501949
Semi-Dry Sparkling Cider,🥉 BRONZE,Agrícola Tralcao Limitada,Della Chá Rosé,Chile,https://www.dellacha.cl/,https://www.facebook.com/sidradellacha/,https://www.instagram.com/sidradellacha/,https://maps.google.com/?cid=11234203234144011970,,https://untappd.com/w/lemon-apple/323317
Semi-Dry Sparkling Cider,🥉 BRONZE,Viuda de Angelón,Sidra Pomar Rosée,Asturias,http://www.sidraviudaangelonpomar.es/,https://www.facebook.com/sidrapomar.viudaangelon/,https://www.instagram.com/Sidraviudaangelon/,https://maps.google.com/?cid=13173562328637195239,,https://untappd.com/w/viuda-de-angela3n/142823
Semi-Dry Sparkling Cider,🥉 BRONZE,Conun Huenu,"Magritte Cider, Sidra Premium Tradición",Chile,https://magrittecider.com/,,https://www.instagram.com/magrittecider,,,https://untappd.com/w/magritte/553144
Semi-Dry Sparkling Cider,🥉 BRONZE,Tencai,Muerte fría y serena,Chile,https://tencaisidra.cl/,https://www.facebook.com/profile.php?id=100063550781151,https://www.instagram.com/tencaisidra/,https://maps.google.com/?cid=5739971672897016755,,https://untappd.com/tencaisidra
Semi-Dry Sparkling Cider,🥉 BRONZE,Ciderka,Cervenka,Czechia,https://www.ciderka.cz/,https://www.facebook.com/ciderka.cz,https://www.instagram.com/ciderka.cz/,https://maps.google.com/?cid=4045068491840478725,,https://untappd.com/w/ciderka/463341
Semi-Dry Sparkling Cider,🥉 BRONZE,Cydrownia Zywer,Croncels,Poland,https://zywer.pl/,https://www.facebook.com/CydrowniaZywer,https://www.instagram.com/cydrowniazywer/,https://maps.google.com/?cid=10041242298570436703,,https://untappd.com/cydrowniazywer
Semi-Dry Sparkling Cider,🥉 BRONZE,La Maison Ferré,Le préféré de Marie AOP,France,https://www.lamaisonferre.fr/,https://www.facebook.com/cidreduperche,https://www.instagram.com/la_maison_ferre,https://maps.google.com/?cid=13764361049917258070,https://www.tripadvisor.com/Attraction_Review-g4926524-d23694021,https://untappd.com/w/la-maison-ferrac/161574
Sweet Sparkling Cider,🏆 PREMIUM,Cider Sekt,Polosladky,Czechia,https://www.cidersekt.cz/,https://www.facebook.com/cidertalk/,https://www.instagram.com/cidertalk/,https://maps.google.com/?cid=1744130511388226457,,https://untappd.com/w/provoco/396367
Sweet Sparkling Cider,🥈 SILVER,Maley,Saint Bernard,Italy,https://www.maleymontblanc.com/,,,https://maps.google.com/?cid=94166741695887894,,https://untappd.com/brewery/29291
Sweet Sparkling Cider,🥈 SILVER,Bebidas y Derivados La Mala Sal,La Mala,Peru,https://lamala.pe/,https://www.facebook.com/lamalaperu,https://www.instagram.com/lamala.pe/,,,https://untappd.com/w/la-mala-sidra-espumosa/488290
Sweet Sparkling Cider,🥈 SILVER,Domaine de la Mare,Le Pêchu,France,https://www.domainedelamare.com/,,,https://maps.google.com/?cid=11844878661689216154,,https://untappd.com/w/domaine-de-la-mare/511923
Sweet Sparkling Cider,🥈 SILVER,Fukiware Cidrerie,Gunma Meigetsu Cidre,Japan,,https://www.facebook.com/profile.php?id=100063847492626,https://www.instagram.com/fukiwarecidrerie/,https://maps.google.com/?cid=10680734196000736911,,https://untappd.com/w/fukiware-cidrerie/505991
Sweet Sparkling Cider,🥉 BRONZE,Viuda de Angelón,Sidra Extra Ecológica,Asturias,http://www.sidraviudaangelonpomar.es/,https://www.facebook.com/sidrapomar.viudaangelon/,https://www.instagram.com/Sidraviudaangelon/,https://maps.google.com/?cid=13173562328637195239,,https://untappd.com/w/viuda-de-angela3n/142823
Sweet Sparkling Cider,🥉 BRONZE,Fukiware Cidrerie,Numata Apple Cidre,Japan,,https://www.facebook.com/profile.php?id=100063847492626,https://www.instagram.com/fukiwarecidrerie/,https://maps.google.com/?cid=10680734196000736911,,https://untappd.com/w/fukiware-cidrerie/505991
Flavored Cider,🏆 PREMIUM,Stonewell Cider,Ros,Ireland,https://www.stonewellcider.com/,https://www.facebook.com/stonewellcider,https://www.instagram.com/stonewellcider/,https://maps.google.com/?cid=6638378960827420170,,https://untappd.com/Nohoval_Drinks_Company_Ltd
Flavored Cider,🥇 GOLD,Seidear,Seidear Sea,Scotland,https://seidear.com/,https://www.facebook.com/seidear.weescottishciderco/,https://www.instagram.com/seidear/,https://maps.google.com/?cid=227255875071520296,,https://untappd.com/TheWeeScottishCiderCo
Flavored Cider,🥈 SILVER,Tālava,Apple Cider With Passion,Latvia,https://www.talava.lv/,https://www.facebook.com/talavassidrs,https://www.instagram.com/talavas_sidrs/,https://maps.google.com/?cid=16414834196985036378,,https://untappd.com/TalavasSidrs
Flavored Cider,🥈 SILVER,Viuda de Angelón,Angelón Llimón,Asturias,http://www.sidraviudaangelonpomar.es/,https://www.facebook.com/sidrapomar.viudaangelon/,https://www.instagram.com/Sidraviudaangelon/,https://maps.google.com/?cid=13173562328637195239,,https://untappd.com/w/viuda-de-angela3n/142823
Flavored Cider,🥈 SILVER,Hera Cider,Hoppy Cider,Galicia,https://heracider.com/,https://www.facebook.com/heracider/,https://www.instagram.com/heracider/,https://maps.google.com/?cid=2781404824572044242,,https://untappd.com/heracider
Flavored Cider,🥈 SILVER,Mr. Plume,Brut IPA,Latvia,https://www.mrplume.lv/,https://www.facebook.com/mrplumesidrs,https://www.instagram.com/mrplume_sidrs/,https://maps.google.com/?cid=9319841841199759114,,https://untappd.com/w/mr-plume/332485
Flavored Cider,🥈 SILVER,Kuartango,Andagoste,Basque Country,https://kuartangosagardotegia.com/,https://www.facebook.com/SidreKuartango/,https://www.instagram.com/sidrekuartango/,https://maps.google.com/?cid=6181081338579081204,https://www.tripadvisor.com/Restaurant_Review-g25546823-d25546810,https://untappd.com/w/sidreria-kuartango/438568
Flavored Cider,🥈 SILVER,Mūrbūdu,Mūrbūdu Apiņots,Latvia,https://www.nenormalssidrs.lv/,https://www.facebook.com/murbudu/,https://www.instagram.com/murbudu_sidrs/,https://maps.google.com/?cid=15847061061259139900,,https://untappd.com/MurbuduSidraDaritava
Flavored Cider,🥈 SILVER,Brinkhall Sparkling,Alma Rosé,Finland,https://bsp.fi/,https://www.facebook.com/brinkhalls,https://www.instagram.com/brinkhallsparkling/,https://maps.google.com/?cid=10856204128601037922,,https://untappd.com/BrinkhallSparkling
