Medalist,Region,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,Status,Country,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
Borrodell Vineyard,New South Wales,1,3,5,9,2011,2024,9,Active,Australia,"<a href=""https://www.borrodell.com.au/"">Website</a>","<a href=""https://www.facebook.com/BorrodellVineyard/"">Facebook</a>","<a href=""https://www.instagram.com/borrodell_vineyard/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9113164481963775697"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g255326-d4469466"">TripAdvisor</a>","<a href=""https://untappd.com/w/borrodell-vineyard/42488"">Untappd</a>"
DV Cider House,Victoria,1,3,5,9,2019,2023,3,Active,Australia,"<a href=""https://dvcider.com.au/"">Website</a>","<a href=""https://www.facebook.com/darraweitvalleycider/"">Facebook</a>","<a href=""https://www.instagram.com/dvcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9100243841087380471"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g27087874-d21406538"">TripAdvisor</a>","<a href=""https://untappd.com/DarraweitValleyCider"">Untappd</a>"
Sunshine Coast Cider,Queensland,1,2,6,9,2018,2024,5,Active,Australia,"<a href=""https://www.sunshinecoastcider.com.au/"">Website</a>","<a href=""https://www.facebook.com/sunshinecoastcider/"">Facebook</a>","<a href=""https://www.instagram.com/sunshinecoastcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10163774916123498605"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g7815622-d21508891"">TripAdvisor</a>","<a href=""https://untappd.com/SunshineCoastCider"">Untappd</a>"
Denmark Heritage Cider Company,Western Australia,1,1,7,9,2017,2019,2,Active,Australia,"<a href=""https://www.dhcco.com.au/"">Website</a>","<a href=""https://www.facebook.com/WArealcider"">Facebook</a>","<a href=""https://www.instagram.com/warealcider"">Instagram</a>","<a href=""https://maps.google.com/?cid=2839589146160465137"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g6000774-d12559098"">TripAdvisor</a>","<a href=""https://untappd.com/w/the-denmark-heritage-cider-company/359689"">Untappd</a>"
Learmonth Cider,Victoria,---,4,5,9,2013,2019,6,Active,Australia,"<a href=""https://learmonthcider.com.au/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100069530773568"">Facebook</a>",,,,,"<a href=""https://untappd.com/w/321-learmonth/90115"">Untappd</a>"
Three Oaks Cider,South Australia,---,3,6,9,2015,2024,6,Active,Australia,"<a href=""https://www.threeoakscider.com/"">Website</a>","<a href=""https://www.facebook.com/Threeoakscider"">Facebook</a>","<a href=""https://www.instagram.com/threeoakscider/"">Instagram</a>",,,,"<a href=""https://untappd.com/brewery/16538"">Untappd</a>"
Grand Ridge Brewery,Victoria,---,2,7,9,2015,2023,5,Active,Australia,,"<a href=""https://www.facebook.com/grandridgebrewery"">Facebook</a>","<a href=""https://www.instagram.com/grandridgebeer/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8403918293255045179"">Google</a>","<a href=""https://www.yelp.com/biz/grand-ridge-brewery-mirboo-north-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g552213-d4791367"">TripAdvisor</a>","<a href=""https://untappd.com/GrandRidgeBrewery"">Untappd</a>"
Pressman's Cider,New South Wales,---,2,7,9,2014,2018,5,Active,Australia,,"<a href=""https://www.facebook.com/pressmans"">Facebook</a>","<a href=""https://www.instagram.com/pressmans_cider/"">Instagram</a>",,,,"<a href=""https://untappd.com/b/australian-beer-co-pressman-s-cider/544529"">Untappd</a>"
Pinnacle Drinks,New South Wales,---,1,8,9,2017,2023,5,Active,Australia,"<a href=""https://pinnacledrinks.com.au/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=18382720107027294885"">Google</a>",,,"<a href=""https://untappd.com/PinnacleDrinksQS"">Untappd</a>"
Cascade Brewing Co.,Tasmania,---,---,9,9,2013,2019,6,Active,Australia,"<a href=""https://cascadebrewerybar.com.au/"">Website</a>","<a href=""https://www.facebook.com/cascadebrewerybar"">Facebook</a>","<a href=""https://www.instagram.com/cascadebrewerybar"">Instagram</a>","<a href=""https://maps.google.com/?cid=12138549215731406353"">Google</a>","<a href=""https://www.yelp.com/biz/cascade-brewery-south-hobart-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g255097-d256543"">TripAdvisor</a>","<a href=""https://untappd.com/w/mercury-cider-company/20381"">Untappd</a>"
Hart's Farm,Victoria,1,2,5,8,2017,2023,5,Active,Australia,"<a href=""https://www.hartsfarm.com.au/"">Website</a>","<a href=""https://www.facebook.com/Hartsfarm.morningtonpeninsula"">Facebook</a>","<a href=""https://www.instagram.com/hartsfarm"">Instagram</a>","<a href=""https://maps.google.com/?cid=10474103931088012940"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g552256-d2477464"">TripAdvisor</a>","<a href=""https://untappd.com/w/hart-s-farm/278622"">Untappd</a>"
Cider Infusion,Victoria,---,5,3,8,2021,2024,4,Active,Australia,"<a href=""https://ciderinfusion.com/"">Website</a>","<a href=""https://www.facebook.com/ciderinfusion/"">Facebook</a>","<a href=""https://www.instagram.com/ciderinfusion/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/cider-infusion/534576"">Untappd</a>"
Bruny Island Cider,Tasmania,---,2,6,8,2021,2024,4,Active,Australia,"<a href=""https://www.brunyisland.com/catalogue/bruny-island-cider/"">Website</a>","<a href=""https://www.facebook.com/BrunyIslandCider/"">Facebook</a>","<a href=""https://www.instagram.com/brunyislandcider/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/bruny-island-cider/235917"">Untappd</a>"
The Cidery,Western Australia,---,---,8,8,2021,2024,3,Active,Australia,"<a href=""https://www.thecidery.com.au/"">Website</a>","<a href=""https://www.facebook.com/TheCideryBridgetown"">Facebook</a>","<a href=""https://www.instagram.com/thecidery_/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5365209465918520059"">Google</a>","<a href=""https://www.yelp.com/biz/the-cidery-bridgetown"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g488330-d3385747"">TripAdvisor</a>","<a href=""https://untappd.com/BlackwoodValleyBrewingCompany"">Untappd</a>"
Crucible Cider,Victoria,1,4,2,7,2014,2021,6,Active,Australia,,"<a href=""https://www.facebook.com/profile.php?id=100072057556611"">Facebook</a>","<a href=""https://www.instagram.com/crucible_cider/?img_index=1"">Instagram</a>",,,,
Rusty Bike Wines & Ciders,South Australia,1,3,3,7,2016,2023,5,Active,Australia,"<a href=""https://rustybike.com.au/"">Website</a>","<a href=""https://www.facebook.com/rustybike.com.au/"">Facebook</a>","<a href=""https://www.instagram.com/rustybikewines/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2086180301930276726"">Google</a>",,,"<a href=""https://untappd.com/w/rusty-bike-wines-ciders/424227"">Untappd</a>"
King Valley Cider Co.,Victoria,---,3,4,7,2012,2022,6,Inactive,Australia,,,,,,,
Henry of Harcourt,Victoria,---,2,5,7,2012,2017,4,Active,Australia,"<a href=""https://henrycider.com/"">Website</a>","<a href=""https://www.facebook.com/henrycider/"">Facebook</a>","<a href=""https://www.instagram.com/henrycider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8940355932051611367"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g552178-d8783234"">TripAdvisor</a>","<a href=""https://untappd.com/w/henry-of-harcourt/5374"">Untappd</a>"
Rochdale Cider,Nelson,---,2,5,7,2016,2017,2,Active,New Zealand,"<a href=""http://rochdalecider.co.nz/"">Website</a>","<a href=""https://www.facebook.com/RochdaleCider"">Facebook</a>","<a href=""https://www.instagram.com/rochdalecider"">Instagram</a>",,,,"<a href=""https://untappd.com/brewery/16162"">Untappd</a>"
Cheeky Tiki Cider,Queensland,---,1,6,7,2017,2022,5,Active,Australia,"<a href=""https://www.ohanawinery.com.au/"">Website</a>","<a href=""https://www.facebook.com/OhanaWinery"">Facebook</a>","<a href=""https://www.instagram.com/cheekytikicider/"">Instagram</a>",,,"<a href=""https://www.tripadvisor.com/Attraction_Review-g255334-d15052083"">TripAdvisor</a>","<a href=""https://untappd.com/CheekyTiki"">Untappd</a>"
Kellybrook Winery,Victoria,---,1,5,6,2012,2017,3,Active,Australia,"<a href=""https://www.kellybrookwinery.com.au/"">Website</a>","<a href=""https://www.facebook.com/kellybrookwinery"">Facebook</a>","<a href=""https://www.instagram.com/kellybrookwinery"">Instagram</a>","<a href=""https://maps.google.com/?cid=11638840488142948775"">Google</a>","<a href=""https://www.yelp.com/biz/kellybrook-winery-wonga-park-3"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1982951-d21063415"">TripAdvisor</a>","<a href=""https://untappd.com/w/kellybrook-winery/306274"">Untappd</a>"
Lion,New South Wales,---,1,5,6,2014,2018,4,Active,Australia,"<a href=""https://www.lionco.com/"">Website</a>",,,,,,
Sutton's Juice Factory,Queensland,---,1,5,6,2015,2023,6,Active,Australia,"<a href=""https://suttonsfarm.com.au/"">Website</a>","<a href=""https://www.facebook.com/suttonsjuiceandcider/"">Facebook</a>","<a href=""https://www.instagram.com/suttonsfarm/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17202902084953727843"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g3666083-d1743635"">TripAdvisor</a>","<a href=""https://untappd.com/w/suttons-farm/169154"">Untappd</a>"
Kaiju! Beer,Victoria,---,---,6,6,2015,2023,5,Active,Australia,"<a href=""https://kaijubeer.com.au/"">Website</a>","<a href=""https://www.facebook.com/KaijuBeer.au"">Facebook</a>","<a href=""https://www.instagram.com/kaijubeer"">Instagram</a>","<a href=""https://maps.google.com/?cid=487547657947015054"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g4379937-d26699553"">TripAdvisor</a>","<a href=""https://untappd.com/SouthEastBrewingCompanyPtyLtd"">Untappd</a>"
Cester Camillo,Veneto,2,1,2,5,2017,2023,5,Active,Italy,"<a href=""https://cestercamillo.it/"">Website</a>","<a href=""https://www.facebook.com/cestercamillo/"">Facebook</a>","<a href=""https://www.instagram.com/cestercamillo"">Instagram</a>","<a href=""https://maps.google.com/?cid=8941056702037722200"">Google</a>",,,"<a href=""https://untappd.com/w/cester-camillo/311065"">Untappd</a>"
Cidres la Pommeraie,Normandy,1,3,1,5,2012,2013,2,Inactive,France,,,,,,,
