Year,Medalist,Entry,Class,Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/seattle-cider-company/"">Seattle Cider Company</a>",McIntosh SV,Modern Cider - Dry,1st Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/tandem-ciders/"">Tandem Ciders</a>",Crimson Gold,Modern Cider - Dry,2nd Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/seattle-cider-company/"">Seattle Cider Company</a>",City Fruit '20,Modern Cider - Dry,3rd Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/bee-well-mead-cider/"">Bee Well Mead & Cider</a>",North Cider,Modern Cider - Sweet,1st Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/portland-cider-company/"">Portland Cider Company</a>",Original Gold,Modern Cider - Sweet,2nd Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/gowans-heirloom-ciders/"">Gowan's Heirloom Ciders</a>",Estate Gravenstein,Modern Cider - Sweet,3rd Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/colorado-cider-company/"">Colorado Cider Company</a>",Golden Russet,Heritage Cider - Dry,1st Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/yip-cider/"">Yip Cider</a>",Golden Dry,Heritage Cider - Dry,2nd Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/sage-bird-ciderworks/"">Sage Bird Ciderworks</a>",Virginia Hewes Crab,Heritage Cider - Dry,3rd Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/2-towns-ciderhouse/"">2 Towns Ciderhouse</a>",11th Anniversary,Heritage Cider - Sweet,1st Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/snow-capped-cider/"">Snow Capped Cider</a>",Gold Rush,Heritage Cider - Sweet,2nd Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/big-fish-cider-co/"">Big Fish Cider Co.</a>",Elevation,Heritage Cider - Sweet,3rd Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/idol-cider-house/"">Idol Cider House</a>",Pomme Crush,Traditional Cider - Dry,1st Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/the-cider-farm/"">The Cider Farm</a>",All English,Traditional Cider - Dry,2nd Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/baumans-cider/"">Bauman's Cider</a>",Kingston Black,Traditional Cider - Dry,3rd Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/james-creek-cider-house/"">James Creek Cider House</a>",Stargazer - Etoile,Traditional Cider - Sweet,1st Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/aval-cider/"">AVAL Cider</a>",AVAL Blanc,Traditional Cider - Sweet,2nd Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/1911-established/"">1911 Established</a>",Lafayette,Traditional Cider - Sweet,3rd Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/brooklyn-cider-house/"">Brooklyn Cider House</a>",Solstice,Natural Cider,1st Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/wildbranch-cider/"">Wildbranch Cider</a>",The Spinney,Natural Cider,2nd Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/brooklyn-cider-house/"">Brooklyn Cider House</a>",Raw,Natural Cider,3rd Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/suttons-bay-ciders/"">Suttons Bay Ciders</a>",Natalie Rose,Rosé Cider,1st Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/tandem-ciders/"">Tandem Ciders</a>",Beauty School Dropout,Rosé Cider,2nd Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/baumans-cider/"">Bauman's Cider</a>",Mountain Rose Single Varietal,Rosé Cider,3rd Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/uncle-johns/"">Uncle John's</a>",Perry,Modern Perry,1st Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/seattle-cider-company/"">Seattle Cider Company</a>",Perry,Modern Perry,2nd Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/colorado-cider-company/"">Colorado Cider Company</a>",Pearsnickety,Modern Perry,3rd Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/aeppeltreow-winery-distillery/"">AeppelTreow Winery & Distillery</a>",Orchard Oriole Perry,Traditional Perry,1st Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/empyrical-orchards-cider/"">Empyrical Orchards & Cider</a>",Principle,Traditional Perry,2nd Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/finnriver-farm-and-cidery/"">Finnriver Farm and Cidery</a>",Perry,Traditional Perry,3rd Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/salt-spring-wild-cider/"">Salt Spring Wild Cider</a>",Saskatoon Berry,Fruit Cider,1st Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/incline-cider-company/"">Incline Cider Company</a>",Marionberry,Fruit Cider,2nd Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/empyrical-orchards-cider/"">Empyrical Orchards & Cider</a>",Inversion,Fruit Cider,3rd Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/mountain-west-cider-company/"">Mountain West Cider Company</a>",Cottonwood,Hopped Cider,1st Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/peats-original-cider/"">Peat's Original Cider</a>",The Knave: Ekuanot,Hopped Cider,2nd Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/2-towns-ciderhouse/"">2 Towns Ciderhouse</a>",Hip Hops,Hopped Cider,3rd Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/gypsy-circus/"">Gypsy Circus</a>",Apple Butter Drifter,Botanical Cider,1st Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/floribunda/"">Floribunda</a>",Holunder Cider al Sambuco,Botanical Cider,2nd Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/papa-moon-vineyards-winery/"">Papa Moon Vineyards & Winery</a>",Honey Lavender,Botanical Cider,3rd Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/angry-orchard/"">Angry Orchard</a>",Bittersweet Runner,Wood Aged Cider,1st Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/snow-capped-cider/"">Snow Capped Cider</a>",Barrel Kingston Black,Wood Aged Cider,2nd Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/empyrical-orchards-cider/"">Empyrical Orchards & Cider</a>",Archive,Wood Aged Cider,3rd Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/valas-orchard-cider/"">Vala's Orchard Cider</a>",Barrel Jam,Wood Aged Specialty Cider,1st Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/seattle-cider-company/"">Seattle Cider Company</a>",Gravenstein Rose,Wood Aged Specialty Cider,2nd Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/beach-bee-meadery/"">Beach Bee Meadery</a>",Chardonnay Pear,Wood Aged Specialty Cider,3rd Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/thornbury-craft-co/"">Thornbury Craft Co.</a>",Thornbury Hopped Cranberry,Specialty Cider and Perry,1st Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/tandem-ciders/"">Tandem Ciders</a>",Bee's Dream,Specialty Cider and Perry,2nd Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/thors-hard-cider/"">Thor's Hard Cider</a>",Arctic Rosé,Specialty Cider and Perry,3rd Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/thornbury-craft-co/"">Thornbury Craft Co.</a>",Thornbury Raspberry Chocolate,Unlimited Cider and Perry,1st Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/thornbury-craft-co/"">Thornbury Craft Co.</a>",Thornbury Blood Orange,Unlimited Cider and Perry,2nd Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/jefferson-county-ciderworks/"">Jefferson County Ciderworks</a>",Grapefruit Lime,Unlimited Cider and Perry,3rd Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/cider-hill-cellars/"">Cider Hill Cellars</a>",Winter,Ice Cider,1st Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/cidrerie-milton/"">Cidrerie Milton</a>",Le Glacé,Ice Cider,2nd Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/cidrerie-verger-bilodeau/"">Cidrerie Verger Bilodeau</a>",Cuvée Spéciale,Ice Cider,3rd Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/montana-ciderworks/"">Montana CiderWorks</a>",Pomm-OH!,Fortified Cider,1st Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/2-towns-ciderhouse/"">2 Towns Ciderhouse</a>",Pommeau,Fortified Cider,2nd Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/red-island-cider/"">Red Island Cider</a>",Pommeau de l'Ile,Fortified Cider,3rd Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/uncle-johns/"">Uncle John's</a>",Apple Brandy,Spirits,1st Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/ambix-spirits/"">Ambix Spirits</a>",Founder Release 1 Apple Brandy,Spirits,2nd Place
2023,"<a href=""https://ciderguide.com/glintcap/medalists/uncle-johns/"">Uncle John's</a>",Vodka From Apples,Spirits,3rd Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/city-orchard/"">City Orchard</a>",Mr. Green,Modern Cider - Dry,1st Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/yip-cider/"">Yip Cider</a>",Original,Modern Cider - Dry,2nd Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/baumans-cider/"">Bauman's Cider</a>",Estate Gravenstein,Modern Cider - Dry,3rd Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/ciderboys/"">Ciderboys</a>",First Press,Modern Cider - Sweet,1st Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/cider-hill-cellars/"">Cider Hill Cellars</a>",Summer,Modern Cider - Sweet,2nd Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/brickworks-ciderhouse/"">Brickworks Ciderhouse</a>",Queen Street 501,Modern Cider - Sweet,3rd Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/banjo-cider/"">Banjo Cider</a>",Citizens Cider,Heritage Cider - Dry,1st Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/salt-spring-wild-cider/"">Salt Spring Wild Cider</a>",Traditional Semi-Dry Cider,Heritage Cider - Dry,2nd Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/kristof-farms/"">Kristof Farms</a>",Orchard Blend,Heritage Cider - Dry,3rd Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/snow-capped-cider/"">Snow Capped Cider</a>",Gold Rush,Heritage Cider - Sweet,1st Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/haykin-family-cider/"">Haykin Family Cider</a>",Ashmead's Kernel,Heritage Cider - Sweet,2nd Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/haykin-family-cider/"">Haykin Family Cider</a>",Dolgo Crabapple,Heritage Cider - Sweet,3rd Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/loch-mor-cider-co/"">Loch Mór Cider Co.</a>",Kingston Black,Traditional Cider - Dry,1st Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/loch-mor-cider-co/"">Loch Mór Cider Co.</a>",Yarlington Mill,Traditional Cider - Dry,2nd Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/noble-cider/"">Noble Cider</a>",French Cidre - Lewis Creek Orchard Reserve,Traditional Cider - Dry,3rd Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/cornish-cider-company/"">Cornish Cider Company</a>",HCRBS 2019,Traditional Cider - Sweet,1st Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/snowdrift-cider-co/"">Snowdrift Cider Co.</a>",Kingston Black,Traditional Cider - Sweet,2nd Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/virtue-cider/"">Virtue Cider</a>",Dabinett,Traditional Cider - Sweet,3rd Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/sidra-mayador/"">Sidra Mayador</a>",M.Busto Natural Cider,Natural Cider,1st Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/windswept-orchard-cider/"">Windswept Orchard Cider</a>",Community Harvest,Natural Cider,2nd Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/anxo-cider/"">ANXO Cider</a>",Sidra Natural,Natural Cider,3rd Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/wooden-gate-cider/"">Wooden Gate Cider</a>",Orchard Queen,Rosé Cider,1st Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/thors-hard-cider/"">Thor's Hard Cider</a>",Arctic Rosé,Rosé Cider,2nd Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/cidrerie-milton/"">Cidrerie Milton</a>",Cid Rosé,Rosé Cider,3rd Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/arsenal-cider-house/"">Arsenal Cider House</a>",Alfred's Pear Son,Modern Perry,1st Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/ernest-cider/"">Ernest Cider</a>",Pearfectly Peared,Modern Perry,2nd Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/door-peninsula-winery/"">Door Peninsula Winery</a>",Perry,Modern Perry,3rd Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/aeppeltreow-winery-distillery/"">AeppelTreow Winery & Distillery</a>",Orchard Oriole Perry,Traditional Perry,1st Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/empyrical-orchards-cider/"">Empyrical Orchards & Cider</a>",Pyriform,Traditional Perry,2nd Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/salt-spring-wild-cider/"">Salt Spring Wild Cider</a>",Pear Cider,Traditional Perry,3rd Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/rootstock-ciderworks/"">Rootstock Ciderworks</a>",Plum,Fruit Cider,1st Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/tieton-cider-works/"">Tieton Cider Works</a>",Cranberry,Fruit Cider,2nd Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/baumans-cider/"">Bauman's Cider</a>",Boysenberry Lemonade,Fruit Cider,3rd Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/peats-original-cider/"">Peat's Original Cider</a>",The Knave: Zappa,Hopped Cider,1st Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/island-orchard-cider/"">Island Orchard Cider</a>",Hopped Brut Apple,Hopped Cider,2nd Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/bridgehouse-cider/"">Bridgehouse Cider</a>",Hoppin Frog,Hopped Cider,3rd Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/jefferson-county-ciderworks/"">Jefferson County Ciderworks</a>",Winter Botanical,Botanical Cider,1st Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/jefferson-county-ciderworks/"">Jefferson County Ciderworks</a>",Hibiscus Rose,Botanical Cider,2nd Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/millionaires-row-cider-co/"">Millionaires' Row Cider Co.</a>",Makin' A Mint,Botanical Cider,3rd Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/bent-ladder/"">Bent Ladder</a>",Black Gold,Wood Aged Cider,1st Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/snow-capped-cider/"">Snow Capped Cider</a>",Blanc Mollet,Wood Aged Cider,2nd Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/duluth-cider/"">Duluth Cider</a>",Big George,Wood Aged Cider,3rd Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/west-avenue-cider/"">West Avenue Cider</a>",Midnight in Bruxelles,Wood Aged Specialty Cider,1st Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/gowans-heirloom-ciders/"">Gowan's Heirloom Ciders</a>",Rosé Cider,Wood Aged Specialty Cider,2nd Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/baumans-cider/"">Bauman's Cider</a>",Bourbon Barrel Vanilla,Wood Aged Specialty Cider,3rd Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/eris-brewery-cider-house/"">Eris Brewery & Cider House</a>",Berri Mint,Specialty Cider and Perry,1st Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/snow-capped-cider/"">Snow Capped Cider</a>",Plum & Lemongrass,Specialty Cider and Perry,2nd Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/brooklyn-cider-house/"">Brooklyn Cider House</a>",Rosé,Specialty Cider and Perry,3rd Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/starcut-ciders/"">Starcut Ciders</a>",Pulsar,Unlimited Cider and Perry,1st Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/angry-orchard/"">Angry Orchard</a>",Crisp Apple,Unlimited Cider and Perry,2nd Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/starcut-ciders/"">Starcut Ciders</a>",Octorock,Unlimited Cider and Perry,3rd Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/eden-ciders/"">Eden Ciders</a>",Heirloom Blend Ice Cider 2018,Ice Cider,1st Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/two-k-farms/"">Two K Farms</a>",2020 Heirloom Ice,Ice Cider,2nd Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/fraser-valley-cider-company/"">Fraser Valley Cider Company</a>",Ice Cider,Ice Cider,3rd Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/uncle-johns/"">Uncle John's</a>",Apple Dessert Wine,Fortified Cider,1st Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/deep-roots-hard-cider/"">Deep Roots Hard Cider</a>",Honey Pommeau,Fortified Cider,2nd Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/tandem-ciders/"">Tandem Ciders</a>",Pomona,Fortified Cider,3rd Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/uncle-johns/"">Uncle John's</a>",Apple Brandy,Spirits,1st Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/atlanta-hard-cider-co/"">Atlanta Hard Cider Co.</a>",American Apple Brandy Eau De Vie,Spirits,2nd Place
2022,"<a href=""https://ciderguide.com/glintcap/medalists/uncle-johns/"">Uncle John's</a>",Vodka From Apples,Spirits,3rd Place
