Medalist,Country,🥇 Gold,🥈 Silver,🥉 Honor,Total,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Hardanger Saft og Siderfabrikk,Norway,0,2,3,5,https://hardangersider.no/,https://www.facebook.com/HardangerSaftogSiderfabrikk/,https://www.instagram.com/hardangersaftogsiderfabrikk/,https://maps.google.com/?cid=12869878933054305699,https://www.tripadvisor.com/Attraction_Review-g7159542-d4893441,https://untappd.com/w/hardanger-saft-og-siderfabrikk/42913
Obstkelterei van Nahmen,Germany,0,2,1,3,https://www.vannahmen.de/,https://www.facebook.com/vanNahmen/,https://www.instagram.com/van_nahmen/,https://maps.google.com/?cid=7921764717680991434,https://www.tripadvisor.com/Attraction_Review-g1078333-d21378894,https://untappd.com/w/privatkelterei-van-nahmen/141926
Ramborn Cider Co.,Luxembourg,0,2,1,3,https://www.ramborn.com/,https://www.facebook.com/RambornUS/,https://www.instagram.com/rambornciderco/,https://maps.google.com/?cid=16691194016355154342,https://www.tripadvisor.com/Attraction_Review-g206525-d12591209,https://untappd.com/Ramborn
Meichle Obst- und Weinbau,Germany,0,2,0,2,https://www.meichle-hagnau.de/,,,,,
OmCider,Norway,0,2,0,2,https://omcider.no/,https://www.facebook.com/OmCiderAS/,https://www.instagram.com/omcideras/,https://maps.google.com/?cid=1800091822223931241,,https://untappd.com/w/omcider/492586
Sandalen Gård,Norway,0,2,0,2,https://sandalengard.no/,https://www.facebook.com/sandalengard,https://www.instagram.com/sandalengard/,https://maps.google.com/?cid=16897274204164201537,,https://untappd.com/SandalenGrd
Petritegi,Spain,0,2,0,2,https://www.petritegi.com/,https://www.facebook.com/Petritegi/,https://www.instagram.com/petritegi,https://maps.google.com/?cid=16425101977693923721,https://www.tripadvisor.com/Restaurant_Review-g1064182-d2266030,https://untappd.com/brewery/51639
Brinkhall Sparkling,Finland,0,1,2,3,https://bsp.fi/,https://www.facebook.com/brinkhalls,https://www.instagram.com/brinkhallsparkling/,https://maps.google.com/?cid=10856204128601037922,,https://untappd.com/BrinkhallSparkling
Bugarden,Norway,0,1,2,3,https://www.bugarden.no/,,,https://maps.google.com/?cid=18164183612083637326,,
Bereziartua,Spain,0,1,2,3,https://www.bereziartuasagardoa.com/,https://www.facebook.com/Bereziartua,https://www.instagram.com/SBereziartua/,https://maps.google.com/?cid=4287840169739792051,https://www.tripadvisor.com/Restaurant_Review-g1064182-d6740859,https://untappd.com/brewery/7553
Gutshof Kraatz,Germany,0,1,1,2,https://gutshof-kraatz.de/,https://www.facebook.com/GutshofKraatz/,https://www.instagram.com/gutshof_kraatz/,https://maps.google.com/?cid=4340203013602665820,https://www.tripadvisor.com/Restaurant_Review-g12097270-d10525275,https://untappd.com/w/kelterei-gutshof-kraatz/210948
Krenzers Rhön,Germany,0,1,1,2,https://rhoenerlebnis.de/,https://www.facebook.com/krenzersrhoen/,https://www.instagram.com/krenzersrhoen/,https://maps.google.com/?cid=15922504228976266945,https://www.tripadvisor.com/Hotel_Review-g2209506-d11774349,https://untappd.com/w/krenzers-rhon/304067
Appleblood Cider,Italy,0,1,1,2,https://applebloodcider.com/,https://www.facebook.com/applebloodcider,https://www.instagram.com/applebloodcider/,https://maps.google.com/?cid=14977227174949746380,,https://untappd.com/w/apple-blood-cider/474058
Lien Gård,Norway,0,1,1,2,https://www.liengard-telemark.no/,https://www.facebook.com/lien3812Akkerhaugen/,https://www.instagram.com/lien_gard_telemark,https://maps.google.com/?cid=9873512223911132771,,https://untappd.com/LienGrd
Genussmosthof Veitlbauer,Austria,0,1,0,1,https://www.veitlbauer.at/,https://www.facebook.com/VeitlbauerGenussmosthof/,https://www.instagram.com/veitlbauer_genussmosthof/,https://maps.google.com/?cid=3539887554277783683,,https://untappd.com/w/mostkellerei-veitbauer/433834
Lepola Drinks,Finland,0,1,0,1,https://lepoladrinks.fi/,https://www.facebook.com/lepoladrinks/,https://www.instagram.com/lepola_drinks/,https://maps.google.com/?cid=10912023971262858580,,https://untappd.com/w/lepola/401095
Betzi Cidergeil,Germany,0,1,0,1,https://www.cidergeil.de/,,https://www.instagram.com/cidergeil/,https://maps.google.com/?cid=16147864463602823634,,https://untappd.com/w/betzi/470935
Boller Fruchtsäfte,Germany,0,1,0,1,https://www.boller-fruchtsaefte.de/,https://www.facebook.com/profile.php?id=100076589842840,https://www.instagram.com/bollerfruchtsaefte/,https://maps.google.com/?cid=13421689225094744861,,https://untappd.com/w/boller-fruchtsafte/161037
Brennerei Bühler,Germany,0,1,0,1,https://www.brennerei-buehler.de/,,https://www.instagram.com/brennereibuehler,https://maps.google.com/?cid=2345095139748704475,,
Kelterei Nagel,Germany,0,1,0,1,https://www.kelterei-nagel.de/,https://www.facebook.com/kelterei.nagel/,https://www.instagram.com/kelterei.nagel/,https://maps.google.com/?cid=7391262693371148059,,https://untappd.com/w/kelterei-nagel/498918
Knapps Cider,Germany,0,1,0,1,https://www.knapps-cider.de/,,,https://maps.google.com/?cid=9767917118710491602,,
Apal Sideri,Norway,0,1,0,1,https://apalsideri.no/,https://www.facebook.com/apalsideri,https://www.instagram.com/apal_sideri,https://maps.google.com/?cid=5061308997335336207,,https://untappd.com/w/apal-sideri/466579
Haußler Hinterespig,Germany,0,0,3,3,https://www.haussler-hinterespig.de/,https://www.facebook.com/HausslerHinterespig/,https://www.instagram.com/Hausslerhinterespig/,https://maps.google.com/?cid=3418392653274902613,,https://untappd.com/w/haussler-hinterespig/405644
La Maison Ferré,France,0,0,2,2,https://www.lamaisonferre.fr/,https://www.facebook.com/cidreduperche,https://www.instagram.com/la_maison_ferre,https://maps.google.com/?cid=13764361049917258070,https://www.tripadvisor.com/Attraction_Review-g4926524-d23694021,https://untappd.com/w/la-maison-ferrac/161574
Ottercider,Belgium,0,0,1,1,https://www.ottercider.be/,https://www.facebook.com/Ottercider,https://www.instagram.com/ottercider,,,https://untappd.com/Ottercider
Kystin,France,0,0,1,1,https://www.kystin.net/,https://www.facebook.com/kystincider,,,,https://untappd.com/brewery/90870
Birkenhof Hofheim,Germany,0,0,1,1,https://www.taunusobst.de/,https://www.facebook.com/taunusobst,https://www.instagram.com/birkenhof.hofheim/,https://maps.google.com/?cid=7818052659804734828,,
Kelterei Herberth,Germany,0,0,1,1,http://www.herberth.de/,,https://www.instagram.com/kelterei_herberth/,https://maps.google.com/?cid=2797968598057029562,,https://untappd.com/w/kelterei-herberth/77482
Kelterei Nöll,Germany,0,0,1,1,https://www.noell-apfelwein.de/,,https://www.instagram.com/kelterei_noell/,https://maps.google.com/?cid=15101379986682699392,,https://untappd.com/w/kelterei-noll/77471
Mosterei Seiz,Germany,0,0,1,1,https://www.mosterei-seiz.de/,https://www.facebook.com/mostereiseiz.gd/,,https://maps.google.com/?cid=17460150387061372281,,https://untappd.com/w/mosterei-seiz/492689
Nordappel,Germany,0,0,1,1,https://www.nordappel.de/,https://www.facebook.com/Nordappelcider/,https://www.instagram.com/nordappelcider/,,,https://untappd.com/NordappelGmbH
Obst- & Weingut Brüggenwirth,Germany,0,0,1,1,https://brueggenwirth.de/,https://www.facebook.com/obsthofbrueggenwirth,https://www.instagram.com/obsthofbrueggenwirth/,https://maps.google.com/?cid=5975244823985496105,,
Obstbau & Kelterei Schmitt,Germany,0,0,1,1,https://www.obstbau-schmitt.de/,,,https://maps.google.com/?cid=17233320390791040809,,
Abuls,Latvia,0,0,1,1,https://www.abuls.lv/,https://www.facebook.com/sidrsAbuls/,https://www.instagram.com/abuls_sidrs/,https://maps.google.com/?cid=12371654123090416644,,https://untappd.com/Abuls
Malner,Slovenia,0,0,1,1,https://www.malnercider.com/,https://www.facebook.com/Malnercider,https://www.instagram.com/malner_cider/,https://maps.google.com/?cid=15238117087452971281,,https://untappd.com/Malner
Total,,42,60,55,157,,,,,,
