ID,Style,Award,Entry,Producer,Region
47,Dry Sparkling Cider,🥈 Silver,El llagar de Valleseco,Brut,Canaries
48,Dry Sparkling Cider,🥈 Silver,Manufaktur Jörg Geiger,Schwabischer cider brut,Alemania
49,Dry Sparkling Cider,🥈 Silver,Melagodo,Nuvolo,Italia
50,Dry Sparkling Cider,🥈 Silver,Melagodo,Brut,Italia
51,Dry Sparkling Cider,🥈 Silver,Panizales,Sidra espum. caseria 2018,Asturies
52,Dry Sparkling Cider,🥈 Silver,Tori Siidritalu,kuiv Siider,Estonia
53,Dry Sparkling Cider,🥈 Silver,Txopinondo,Cidre Petillant Txopinondo,País Vascu
54,Dry Sparkling Cider,🥈 Silver,Viuda de Angelón,Prau Monga,Asturies
55,Dry Sparkling Cider,🥉 Bronze,Abuls cidery,Brut 2019 1/3,Letonia
56,Dry Sparkling Cider,🥉 Bronze,Cydr Smykan,Wyspowy,Polonia
57,Dry Sparkling Cider,🥉 Bronze,Czar Czerniejowa,Czar Czerniejowa natury,Polonia
58,Dry Sparkling Cider,🥉 Bronze,Domaine de la Mare,Rendez Vous,Francia
59,Dry Sparkling Cider,🥉 Bronze,Elegast,Wild Cider,Holanda
60,Dry Sparkling Cider,🥉 Bronze,Posma,Sidra natural espumosa,Canaries
61,Dry Sparkling Cider,🥉 Bronze,Prvni Prajzske,Jadernicka,Chequia
62,Dry Sparkling Cider,🥉 Bronze,Wini,Cydr jablkowy dry,Polonia
63,Semi-Dry Sparkling Cider,🏆 Premium,Provoco,Cidertalk by Provoco semi-sweet,Chequia
64,Semi-Dry Sparkling Cider,🥇 Gold,Provoco,Cidertalk Provoco semiseca,Chequia
65,Semi-Dry Sparkling Cider,🥇 Gold,El llagar de Valleseco,Semi seca,Canaries
66,Semi-Dry Sparkling Cider,🥇 Gold,Riestra,Guzmán Riestra Semiseco,Asturies
67,Semi-Dry Sparkling Cider,🥇 Gold,Tori Siidritalu,Demi Sec,Estonia
68,Semi-Dry Sparkling Cider,🥈 Silver,Andedrsen winery,Ben A 2016,Dinamarca
69,Semi-Dry Sparkling Cider,🥈 Silver,Bland's Cider,Blands Templars Choice  Medium cider,Francia
70,Semi-Dry Sparkling Cider,🥈 Silver,Domaine de la Mare,Le Généreux,Francia
71,Semi-Dry Sparkling Cider,🥈 Silver,Domaine de la Mare,L'Insoumis,Francia
72,Semi-Dry Sparkling Cider,🥈 Silver,L'Atypique,L'Atypique,Reino Unido
73,Semi-Dry Sparkling Cider,🥈 Silver,Les Vergers de Kermao,Demi-sweet sparkling Cider,Bretaña
74,Semi-Dry Sparkling Cider,🥈 Silver,Paca y Tola,La Naveta Brut,Asturies
75,Semi-Dry Sparkling Cider,🥉 Bronze,Abuls cidery,Yarlington Mill Dabinet (75cc),Letonia
76,Semi-Dry Sparkling Cider,🥉 Bronze,Castelo Branco Cider,,Portugal
77,Semi-Dry Sparkling Cider,🥉 Bronze,Ciderka,Drozd semiseca,Chequia
78,Semi-Dry Sparkling Cider,🥉 Bronze,Sidro Vittoria,met. clasico english rose,Italia
79,Sweet Sparkling Cider,🏆 Premium,Provoco,Cidertalk by Provoco bitter-sweet,Chequia
80,Sweet Sparkling Cider,🥇 Gold,Manufaktur Jörg Geiger,Schwabischer cider mild,Alemania
81,Sweet Sparkling Cider,🥈 Silver,Viuda de Angelón,Pomar,Asturies
82,Sweet Sparkling Cider,🥉 Bronze,Mooma,Sidra gold,Cataluña
83,Dry Carbonated Cider,🏆 Premium,Mauret,Le rafraichissant,Francia
84,Dry Carbonated Cider,🥈 Silver,Ciderka,Zvonek,Chequia
85,Dry Carbonated Cider,🥈 Silver,Riestra,Funky Style Cider,Asturies
86,Dry Carbonated Cider,🥉 Bronze,Rossbach Cider,Apple Cider,Chequia
87,Dry Carbonated Cider,🥉 Bronze,Urban Farm Fermentory,Super Dry,EEUU
88,Semi-Dry Carbonated Cider,🏆 Premium,Mauret,"Extra bio 6,6% 0,33l",Francia
89,Semi-Dry Carbonated Cider,🥇 Gold,Ciderka,Kajka semidulce,Chequia
90,Semi-Dry Carbonated Cider,🥈 Silver,Mooma,Gasificada 1/3,Cataluña
91,Semi-Dry Carbonated Cider,🥈 Silver,Pica-Pica,Apfel Birne,Alemania
92,Semi-Dry Carbonated Cider,🥈 Silver,Ramborn,Original,Luxemburgo
93,Semi-Dry Carbonated Cider,🥈 Silver,Sascha Kolowrat,Sascha Kolowrat,Chequia
94,Semi-Dry Carbonated Cider,🥉 Bronze,Magnetic Apple,"Original 0,33",Chequia
95,Semi-Dry Carbonated Cider,🥉 Bronze,Pica-Pica,Satter Apfel,Alemania
96,Sweet Carbonated Cider,🏆 Premium,Posma,sweet cider 1/3,Canaries
97,Flavored Cider,🏆 Premium,Mauret,"Elderflower 4,9% 0,33l",Francia
98,Flavored Cider,🥈 Silver,Bacha Cidre,Fichte 18,Chequia
99,Flavored Cider,🥈 Silver,Colemans,Elderflower,Inglaterra
100,Flavored Cider,🥈 Silver,Cydr Chyliczki,Chmielony Sad,Polonia
101,Flavored Cider,🥈 Silver,Good Cider,Peach,País Vascu
102,Flavored Cider,🥈 Silver,Good Cider,Lemon,País Vascu
103,Flavored Cider,🥈 Silver,Magnetic Apple,"Visnovy 0,33 Sabores",Chequia
104,Flavored Cider,🥈 Silver,Magnetic Apple,"Chmeleny 0,33 Lúpulo",Chequia
105,Flavored Cider,🥈 Silver,Pica-Pica,Apfel Quitte,Alemania
106,Flavored Cider,🥈 Silver,Prvni Prajzske,Melasa,Chequia
107,Flavored Cider,🥈 Silver,Ramborn,Cascade,Luxemburgo
108,Flavored Cider,🥈 Silver,Tree rii,Amabile,Italia
109,Flavored Cider,🥈 Silver,Urban Farm Fermentory,Seaweed Cidah,EEUU
110,Flavored Cider,🥈 Silver,Viuda de Angelón,Llimón,Asturies
111,Flavored Cider,🥉 Bronze,Elegast,Plum Cider,Holanda
112,Flavored Cider,🥉 Bronze,Good Cider,Strawberry,País Vascu
113,Flavored Cider,🥉 Bronze,Kuartango,Callabocas,País Vascu
114,Flavored Cider,🥉 Bronze,Kuartango,Sagartxo,País Vascu
115,Flavored Cider,🥉 Bronze,Panizales,Nea – sidra especiada,Asturies
116,Most Original Cider,🏆 Premium,Pedro El Duque,Vermut,Asturies
117,Aperitif Cider,🏆 Premium,Panizales,Viesk,Asturies
118,Aperitif Cider,🥇 Gold,Manufaktur Jörg Geiger,Holz Apfel,Alemania
119,Ice Cider,🏆 Premium,Panizales,Xelu,Asturies
120,Ice Cider,🥇 Gold,Cydr Chyliczki,Lodowy 2017,Polonia
121,Ice Cider,🥇 Gold,Manufaktur Jörg Geiger,Eis Apfel,Alemania
122,Ice Cider,🥇 Gold,Wini,"Cydr jablkovy lodovy 0,35l",Polonia
123,Ice Cider,🥈 Silver,Cortina,Sidra de Xelu,Asturies
124,Ice Cider,🥈 Silver,Cydr Chyliczki,LodowaGruszka,Polonia
125,Ice Cider,🥈 Silver,Cydr Chyliczki,Lodowa Becka,Polonia
126,Ice Cider,🥈 Silver,Oiharte,Sidra de hielo,País Vascu
127,Ice Cider,🥈 Silver,Rossbach Cider,Ice Cider borůvky,Chequia
128,Ice Cider,🥈 Silver,Tori Siidritalu,Ice Cuvée,Estonia
129,Ice Cider,🥈 Silver,Valveran,20 manzanas s. de hielo,Asturies
130,Ice Cider,🥈 Silver,Wini,"Pirum Ice Perry 0,35l",Polonia
131,Ice Cider,🥉 Bronze,Cydr Chyliczki,Swet Oak 2018,Polonia
132,Ice Cider,🥉 Bronze,Riestra,Guzmán Riestra Xelu,Asturies
133,Ice Cider,🥉 Bronze,Rossbach Cider,Ice Cider  Třešeň,Chequia
134,Ice Cider,🥉 Bronze,Rossbach Cider,Ice Cider,Chequia
135,Ice Cider,🥉 Bronze,Viuda de Angelón,Diamantes de Hielo,Asturies
136,Fire Cider,🏆 Premium,Panizales,Caldea,Asturies
137,Fire Cider,🥇 Gold,Kuartango,Su sagardoa,País Vascu
138,Rosé Cider,🏆 Premium,Viuda de Angelón,Pomar Rossee,Asturies
139,Rosé Cider,🥈 Silver,Cider Bohemia,Aronie barrigue,Chequia
140,Rosé Cider,🥈 Silver,Cydr Chyliczki,Szara & Zlota Reneta 2015,Polonia
141,Rosé Cider,🥈 Silver,Tori Siidritalu,Rose 2017,Estonia
142,Rosé Cider,🥈 Silver,Urban Farm Fermentory,Blueberry Cidah,EEUU
143,Rosé Cider,🥇 Gold,Paca y Tola,La Naveta Roxa,Asturies
144,Rosé Cider,🥉 Bronze,Colemans,Damson cider,Inglaterra
145,Rosé Cider,🥉 Bronze,Urban Farm Fermentory,Hopped cidah,EEUU
146,Perry,🏆 Premium,Manufaktur Jörg Geiger,Cuvee aus weinbirnen,Alemania
147,Perry,🥈 Silver,Good Cider,Pear,País Vascu
148,Perry,🥈 Silver,L'Atypique,L'Atypique pera,Reino Unido
149,Perry,🥈 Silver,Mooma,Sidra de Pera,Cataluña
150,Perry,🥈 Silver,Mostbaron,exibatur,Austria
151,Perry,🥈 Silver,Mostbaron,Brous,Austria
152,Perry,🥉 Bronze,Manufaktur Jörg Geiger,"Birne, Molke, Himbeere",Alemania
153,Perry,🥉 Bronze,Manufaktur Jörg Geiger,Birnengold,Alemania
154,Perry,🥉 Bronze,Mostbaron,PREH,Austria
155,Cider Liqueur,🏆 Premium,Manufaktur Jörg Geiger,licor de manzana,Alemania
156,Cider Liqueur,🥈 Silver,Maley,Lecristallier,Italia
157,Cider Liqueur,🥉 Bronze,Mooma,Llicor 70 cc silvestre,Cataluña
158,Cider Spirits,🏆 Premium,San Juan del Obispo,L'Alquitara,Asturies
159,Cider Spirits,🥈 Silver,Maley,Whymper 1865,Italia
160,Cider Spirits,🥈 Silver,Mooma,Spirit de poma,Cataluña
161,Cider Spirits,🥈 Silver,San Juan del Obispo,El Salvador,Asturies
162,Cider Spirits,🥉 Bronze,Txopinondo,Aguardiente 40%,País Vascu
