ID,Category,Award,Medalist,Entry,Region,WID,Region/Country,Website,Facebook,Instagram,Google,TripAdvisor,Untappd,Latitude,Longitude
12,Dry Cider,🥈 SILVER,Cydr Dwaj Bracia,Alwa Naturaina,Poland,3006,Poland,https://dwajbracia.pl/,https://www.facebook.com/profile.php?id=100094619362211,https://www.instagram.com/cydr_dwaj_bracia,,,https://untappd.com/w/cydr-dwaj-bracia/551234,52.2296756,21.0122287
13,Dry Cider,🥈 SILVER,Mistérios da Quinta Unipessoal,Arrebita C4,Portugal,2603,Madeira,,,https://www.instagram.com/sidrariaprazeres/,https://maps.google.com/?cid=17308535962264911617,,https://untappd.com/w/misterios-da-quinta-unipessoal-lda/530615,32.75286,-17.2045712
14,Dry Cider,🥈 SILVER,Mistérios da Quinta Unipessoal,Arrebita C7,Portugal,2603,Madeira,,,https://www.instagram.com/sidrariaprazeres/,https://maps.google.com/?cid=17308535962264911617,,https://untappd.com/w/misterios-da-quinta-unipessoal-lda/530615,32.75286,-17.2045712
15,Dry Cider,🥈 SILVER,Sendero del Valle,El Valle Secreto,Canary Islands,3173,Canary Islands,,https://www.facebook.com/productosgranvalle.es,,,,https://untappd.com/w/sendero-del-valle/501949,28.0501501,-15.5754439
16,Dry Cider,🥈 SILVER,Lagar de Valleseco,Natural Sidras,Canary Islands,3083,Canary Islands,,https://www.facebook.com/sidralagardevalleseco/,,https://maps.google.com/?cid=6485664555068943913,,https://untappd.com/w/angel-dominguez-ponce/511926,28.0703635,-15.5600184
17,Dry Cider,🥈 SILVER,Basicos & Coisas Unipessoal,Sidra do Massa,Portugal,3084,Madeira,,,https://www.instagram.com/sidradomassa/,,,https://untappd.com/w/sidra-do-massa/550299,32.725544,-16.8280577
18,Dry Cider,🥈 SILVER,Tuscany,Natural Sidras,Canary Islands,3106,Canary Islands,,https://www.facebook.com/profile.php?id=100093320145027,https://www.instagram.com/sidrastuscany,,,,28.0502059,-15.5750903
19,Dry Cider,🥉 BRONZE,Riestra,Guzmán Cider Sidra,Asturies,1673,Asturias,http://www.sidrariestra.com/,https://www.facebook.com/SidraRiestra,https://www.instagram.com/sidrariestra/,https://maps.google.com/?cid=2253085342105400787,,https://untappd.com/w/riestra/70601,43.416536,-5.580949
20,Dry Cider,🥉 BRONZE,Viuda de Angelón,1947,Asturies,1675,Asturias,http://www.sidraviudaangelonpomar.es/,https://www.facebook.com/sidrapomar.viudaangelon/,https://www.instagram.com/Sidraviudaangelon/,https://maps.google.com/?cid=13173562328637195239,,https://untappd.com/w/viuda-de-angela3n/142823,43.367684,-5.523426
21,Dry Cider,🥉 BRONZE,Casa do Caramanchão,Boneca de Canudo,Madeira,2757,Madeira,https://www.bonecadecanudo.com/,https://www.facebook.com/bonecadecanudo/,https://www.instagram.com/bonecadecanudo/,https://maps.google.com/?cid=14850808685027168712,,https://untappd.com/w/casa-do-caramanchao/542700,32.7191271,-16.7671899
22,Dry Cider,🥉 BRONZE,Lagar de Valleseco,Lobo,Canary Islands,3083,Canary Islands,,https://www.facebook.com/sidralagardevalleseco/,,https://maps.google.com/?cid=6485664555068943913,,https://untappd.com/w/angel-dominguez-ponce/511926,28.0703635,-15.5600184
23,Dry Cider,🥉 BRONZE,Mistérios da Quinta Unipessoal,Arrebita CE,Portugal,2603,Madeira,,,https://www.instagram.com/sidrariaprazeres/,https://maps.google.com/?cid=17308535962264911617,,https://untappd.com/w/misterios-da-quinta-unipessoal-lda/530615,32.75286,-17.2045712
24,Dry Cider,🥉 BRONZE,Olletako Sagardoak,Orbaibar Premium,Navarra,2742,Navarre,https://www.sidrasbaldorbanaturel.com/,https://www.facebook.com/sagarraleku/,https://www.instagram.com/sidrasbaldorbanaturel/,,,https://untappd.com/w/baldorba-sagardotegia/336919,42.5849196,-1.5400788
25,Dry Cider,🥉 BRONZE,Elegast Cidery,Revolution,Países Baxos,2660,Netherlands,https://elegastcider.nl/,https://www.facebook.com/elegastcidery/,https://www.instagram.com/elegast_cidery/,https://maps.google.com/?cid=5936408747857287023,,https://untappd.com/ElegastCidery,51.9951943,5.3674425
26,Dry Cider,🥉 BRONZE,Mooma,Sidra de Poma,Cataluña,2752,Catalonia,https://mooma.cat/,https://www.facebook.com/sidreriamooma/,https://www.instagram.com/mooma/,https://maps.google.com/?cid=11350926811080988766,https://www.tripadvisor.com/Restaurant_Review-g3501872-d13815642,https://untappd.com/w/mooma/254950,42.0007312,3.133318
27,Dry Cider,🥉 BRONZE,Romano Pereira,Romaria 22,Madeira,3174,Madeira,,,,,,https://untappd.com/w/herdade-do-pereira/538761,32.6704947,-16.9150042
28,Semi Dry Cider,🏆 PREMIUM,Gallinal Drinks,Craft Apple Cider,Asturies,2755,Asturias,https://exnercider.com/,https://www.facebook.com/ExnerCider/,https://www.instagram.com/exner.cider/,https://maps.google.com/?cid=3356560758775211802,,https://untappd.com/b/llagar-sidra-castanon-exner/3684800,43.4828558,-5.7992728
29,Semi Dry Cider,🥉 BRONZE,Sidra Daritava,Dullais Dauka Herbsts,Latvia,2366,Latvia,https://herbsts.lv/,https://www.facebook.com/herbsts.sidrs/,https://www.instagram.com/herbsts.sidrs/,,,https://untappd.com/HERBSTS,56.3690897,21.6010042
30,Sweet Cider,🏆 PREMIUM,Jörg Geiger,HolzApfel Manufaktur,Germany,1322,Germany,https://www.manufaktur-joerg-geiger.de/,https://www.facebook.com/manufakturjoerggeiger/,https://www.instagram.com/manufakturjoerggeiger/,https://maps.google.com/?cid=908271853334307402,,https://untappd.com/w/manufaktur-jorg-geiger/270857,48.6524936,9.7049199
31,Sweet Cider,🥈 SILVER,Posma,Posma Dulce,Canary Island,3081,Canary Islands,,https://www.facebook.com/profile.php?id=100063717535205,,,,https://untappd.com/w/posma/512334,28.4740184,-16.4337954
32,Sweet Cider,🥈 SILVER,Maley,Matterhorn,Italy,1517,Italy,https://www.maleymontblanc.com/,,,https://maps.google.com/?cid=94166741695887894,,https://untappd.com/brewery/29291,45.7320629,7.4141172
33,Sweet Cider,🥈 SILVER,Maley,Jorasses,Italy,1517,Italy,https://www.maleymontblanc.com/,,,https://maps.google.com/?cid=94166741695887894,,https://untappd.com/brewery/29291,45.7320629,7.4141172
34,Sweet Cider,🥉 BRONZE,Panizales,Ati,Asturies,1519,Asturias,,https://www.facebook.com/panizales.sidra,https://www.instagram.com/sidrapanizales/,https://maps.google.com/?cid=16258480851124885832,https://www.tripadvisor.com/Restaurant_Review-g775263-d7621234,https://untappd.com/w/llagar-panizales/152401,43.2393192,-5.7888756
35,Brut Sparkling Cider,🏆 PREMIUM,Lagar de Valleseco,Espumosa Brut,Canary Islands,3083,Canary Islands,,https://www.facebook.com/sidralagardevalleseco/,,https://maps.google.com/?cid=6485664555068943913,,https://untappd.com/w/angel-dominguez-ponce/511926,28.0703635,-15.5600184
36,Brut Sparkling Cider,🥇 GOLD,Riestra,Guzmán Riestra Brut,Asturies,1673,Asturias,http://www.sidrariestra.com/,https://www.facebook.com/SidraRiestra,https://www.instagram.com/sidrariestra/,https://maps.google.com/?cid=2253085342105400787,,https://untappd.com/w/riestra/70601,43.416536,-5.580949
37,Brut Sparkling Cider,🥇 GOLD,Ciderka,Sojka,Czechia,2760,Czechia,https://www.ciderka.cz/,https://www.facebook.com/ciderka.cz,https://www.instagram.com/ciderka.cz/,https://maps.google.com/?cid=4045068491840478725,,https://untappd.com/w/ciderka/463341,49.2279067,16.5338423
38,Brut Sparkling Cider,🥇 GOLD,Jörg Geiger,Schwäbischer Cider Brut,Germany,1322,Germany,https://www.manufaktur-joerg-geiger.de/,https://www.facebook.com/manufakturjoerggeiger/,https://www.instagram.com/manufakturjoerggeiger/,https://maps.google.com/?cid=908271853334307402,,https://untappd.com/w/manufaktur-jorg-geiger/270857,48.6524936,9.7049199
39,Brut Sparkling Cider,🥈 SILVER,Agrícola Tralcao Limitada,Patagonia Brut,Chile,2953,Chile,https://www.dellacha.cl/,https://www.facebook.com/sidradellacha/,https://www.instagram.com/sidradellacha/,https://maps.google.com/?cid=11234203234144011970,,https://untappd.com/w/lemon-apple/323317,-39.6955049,-73.1471685
40,Brut Sparkling Cider,🥈 SILVER,Seidear,Seidear Ellon Castle,Escocia,2356,Scotland,https://seidear.com/,https://www.facebook.com/seidear.weescottishciderco/,https://www.instagram.com/seidear/,https://maps.google.com/?cid=227255875071520296,,https://untappd.com/TheWeeScottishCiderCo,57.0932016,-2.2270872
41,Brut Sparkling Cider,🥈 SILVER,Brinkhall Sparkling,Alma,Finland,1917,Finland,https://bsp.fi/,https://www.facebook.com/brinkhalls,https://www.instagram.com/brinkhallsparkling/,https://maps.google.com/?cid=10856204128601037922,,https://untappd.com/BrinkhallSparkling,60.4236854,23.0462561
42,Brut Sparkling Cider,🥈 SILVER,La Cave du Tisquin,Cidre Fermier Brut,France,3090,France,https://hervederenac.wixsite.com/la-cave-du-tisquin,,,,,https://untappd.com/w/la-cave-du-tisquin/464704,47.708895,-1.970265
43,Brut Sparkling Cider,🥈 SILVER,Brinkhall Sparkling,Prestige Brut 2021,Finland,1917,Finland,https://bsp.fi/,https://www.facebook.com/brinkhalls,https://www.instagram.com/brinkhallsparkling/,https://maps.google.com/?cid=10856204128601037922,,https://untappd.com/BrinkhallSparkling,60.4236854,23.0462561
44,Brut Sparkling Cider,🥈 SILVER,Mooma,Ancestral – Reserva familiar,Cataluña,2752,Catalonia,https://mooma.cat/,https://www.facebook.com/sidreriamooma/,https://www.instagram.com/mooma/,https://maps.google.com/?cid=11350926811080988766,https://www.tripadvisor.com/Restaurant_Review-g3501872-d13815642,https://untappd.com/w/mooma/254950,42.0007312,3.133318
45,Brut Sparkling Cider,🥈 SILVER,Paladeus,Apfelseco 2018,Italy,3024,Italy,http://www.paladeus.it/,https://www.facebook.com/profile.php?id=100067062071715,https://www.instagram.com/paladeus_cider/,https://maps.google.com/?cid=8605615739361573597,,https://untappd.com/w/paladeus/538622,46.3487132,11.2974342
46,Brut Sparkling Cider,🥈 SILVER,Domaine de la Mare,L'Insoumis,France,2696,France,https://www.domainedelamare.com/,,,https://maps.google.com/?cid=11844878661689216154,,https://untappd.com/w/domaine-de-la-mare/511923,48.039019,0.233564
47,Brut Sparkling Cider,🥈 SILVER,Niebla,Niebla,Canary Islands,2748,Canary Islands,https://www.sidrasdecanarias.com/,,https://www.instagram.com/sidras_niebla/,https://maps.google.com/?cid=16349686505723006702,,,28.0509128,-15.5754537
48,Brut Sparkling Cider,🥈 SILVER,Petritegui,1523,Euskal Herria,1171,Basque Country,https://www.petritegi.com/,https://www.facebook.com/Petritegi/,https://www.instagram.com/petritegi,https://maps.google.com/?cid=16425101977693923721,https://www.tripadvisor.com/Restaurant_Review-g1064182-d2266030,https://untappd.com/brewery/51639,43.290406,-1.941229
49,Brut Sparkling Cider,🥈 SILVER,Abuls Sidrs,Brut Nature,Latvia,2361,Latvia,https://www.abuls.lv/,https://www.facebook.com/sidrsAbuls/,https://www.instagram.com/abuls_sidrs/,https://maps.google.com/?cid=12371654123090416644,,https://untappd.com/Abuls,57.3958952,25.9397778
50,Brut Sparkling Cider,🥈 SILVER,Naturcidre Urs Renninger,Bohnapfel 2021,Germany,3087,Germany,https://www.naturcidre.de/,,https://www.instagram.com/cidre_urs/,https://maps.google.com/?cid=9508737086378177205,,https://untappd.com/w/naturcidre-urs-renninger/460255,48.8255479,9.0630527
51,Brut Sparkling Cider,🥈 SILVER,Petritegui,Aparduna,Euskal Herria,1171,Basque Country,https://www.petritegi.com/,https://www.facebook.com/Petritegi/,https://www.instagram.com/petritegi,https://maps.google.com/?cid=16425101977693923721,https://www.tripadvisor.com/Restaurant_Review-g1064182-d2266030,https://untappd.com/brewery/51639,43.290406,-1.941229
52,Brut Sparkling Cider,🥈 SILVER,Sidra Fran,Ramos del Valle Brut,Asturies,1479,Asturias,https://sidrafran.es/,,https://www.instagram.com/sidrafran1918/,https://maps.google.com/?cid=15672106953833908893,https://www.tripadvisor.com/Restaurant_Review-g2437300-d7244547,https://untappd.com/w/sidra-fran/85954,43.4076315,-5.8129423
53,Brut Sparkling Cider,🥈 SILVER,Paladeus,Red Rose Cider,Italy,3024,Italy,http://www.paladeus.it/,https://www.facebook.com/profile.php?id=100067062071715,https://www.instagram.com/paladeus_cider/,https://maps.google.com/?cid=8605615739361573597,,https://untappd.com/w/paladeus/538622,46.3487132,11.2974342
54,Brut Sparkling Cider,🥈 SILVER,Tuscany,Brut,Canary Islands,3106,Canary Islands,,https://www.facebook.com/profile.php?id=100093320145027,https://www.instagram.com/sidrastuscany,,,,28.0502059,-15.5750903
55,Brut Sparkling Cider,🥈 SILVER,Cydrownia Zywer,Brus,Poland,2484,Poland,https://zywer.pl/,https://www.facebook.com/CydrowniaZywer,https://www.instagram.com/cydrowniazywer/,https://maps.google.com/?cid=10041242298570436703,,https://untappd.com/cydrowniazywer,49.996234,22.315285
56,Brut Sparkling Cider,🥈 SILVER,Viuda de Angelón,Prau Monga,Asturies,1675,Asturias,http://www.sidraviudaangelonpomar.es/,https://www.facebook.com/sidrapomar.viudaangelon/,https://www.instagram.com/Sidraviudaangelon/,https://maps.google.com/?cid=13173562328637195239,,https://untappd.com/w/viuda-de-angela3n/142823,43.367684,-5.523426
57,Brut Sparkling Cider,🥉 BRONZE,Antwerpse Cider Compagnie,Otter cider Appelcider,Belgium,2749,Belgium,https://www.ottercider.be/,https://www.facebook.com/Ottercider,https://www.instagram.com/ottercider,,,https://untappd.com/Ottercider,51.2025375,4.3204478
58,Brut Sparkling Cider,🥉 BRONZE,Brinkhall Sparkling,Äpplegårds Cuvée 2022,Finland,1917,Finland,https://bsp.fi/,https://www.facebook.com/brinkhalls,https://www.instagram.com/brinkhallsparkling/,https://maps.google.com/?cid=10856204128601037922,,https://untappd.com/BrinkhallSparkling,60.4236854,23.0462561
59,Brut Sparkling Cider,🥉 BRONZE,Castelo Branco Cider,Brut Traditional,Portugal,3107,Portugal,http://www.castelobrancocider.com/,https://www.facebook.com/profile.php?id=100066758822950,,,,,37.066,-8.828
60,Brut Sparkling Cider,🥉 BRONZE,Posma,Posma brut,Canary Island,3081,Canary Islands,,https://www.facebook.com/profile.php?id=100063717535205,,,,https://untappd.com/w/posma/512334,28.4740184,-16.4337954
61,Brut Sparkling Cider,🥉 BRONZE,Niebla,Ecológica,Canary Islands,2748,Canary Islands,https://www.sidrasdecanarias.com/,,https://www.instagram.com/sidras_niebla/,https://maps.google.com/?cid=16349686505723006702,,,28.0509128,-15.5754537
62,Brut Sparkling Cider,🥉 BRONZE,Cydr Dwaj Bracia,Boskoop,Poland,3006,Poland,https://dwajbracia.pl/,https://www.facebook.com/profile.php?id=100094619362211,https://www.instagram.com/cydr_dwaj_bracia,,,https://untappd.com/w/cydr-dwaj-bracia/551234,52.2296756,21.0122287
63,Brut Sparkling Cider,🥉 BRONZE,NeRø Sideri,Rabagast,Norway,2606,Norway,https://www.nerofrukt.no/,https://www.facebook.com/people/NeR%C3%B8-Frukt-og-Sider/100070115946607/,https://www.instagram.com/nerofrukt/,https://maps.google.com/?cid=2060180241711172985,,https://untappd.com/w/nero-frukt-og-sider/467847,59.4988141,9.3240024
64,Brut Sparkling Cider,🥉 BRONZE,Abuls Sidrs,Kerr,Latvia,2361,Latvia,https://www.abuls.lv/,https://www.facebook.com/sidrsAbuls/,https://www.instagram.com/abuls_sidrs/,https://maps.google.com/?cid=12371654123090416644,,https://untappd.com/Abuls,57.3958952,25.9397778
65,Brut Sparkling Cider,🥉 BRONZE,Elegast Cidery,Premium Organic Cider,Países Baxos,2660,Netherlands,https://elegastcider.nl/,https://www.facebook.com/elegastcidery/,https://www.instagram.com/elegast_cidery/,https://maps.google.com/?cid=5936408747857287023,,https://untappd.com/ElegastCidery,51.9951943,5.3674425
66,Brut Sparkling Cider,🥉 BRONZE,Stonewell Cider,Craft Cider,Ireland,1265,Ireland,https://www.stonewellcider.com/,https://www.facebook.com/stonewellcider,https://www.instagram.com/stonewellcider/,https://maps.google.com/?cid=6638378960827420170,,https://untappd.com/Nohoval_Drinks_Company_Ltd,51.8093009,-8.3699975
67,Brut Sparkling Cider,🥉 BRONZE,Cydrownia Zywer,Cornus,Poland,2484,Poland,https://zywer.pl/,https://www.facebook.com/CydrowniaZywer,https://www.instagram.com/cydrowniazywer/,https://maps.google.com/?cid=10041242298570436703,,https://untappd.com/cydrowniazywer,49.996234,22.315285
68,Brut Sparkling Cider,🥉 BRONZE,Paca y Tola,La Naveta brut,Asturies,2754,Asturias,https://lanaveta.com/,https://www.facebook.com/profile.php?id=100063497946147,,https://maps.google.com/?cid=18265458060195810621,,https://untappd.com/w/la-naveta/288596,43.358071,-5.506408
69,Brut Sparkling Cider,🥉 BRONZE,SidrAlfa,Espumante Alfa,Portugal,2756,Portugal,https://sidraalfa.pt/,https://www.facebook.com/Sidralfa1/,https://www.instagram.com/sidra_alfa/,,,https://untappd.com/w/sidra-alfa/545661,41.2332048,-7.3302313
70,Brut Sparkling Cider,🥉 BRONZE,Cydr Dwaj Bracia,Boiken,Poland,3006,Poland,https://dwajbracia.pl/,https://www.facebook.com/profile.php?id=100094619362211,https://www.instagram.com/cydr_dwaj_bracia,,,https://untappd.com/w/cydr-dwaj-bracia/551234,52.2296756,21.0122287
71,Brut Sparkling Cider,🥉 BRONZE,El Piloñu,Isidra Light,Asturies,3091,Asturias,,,,https://maps.google.com/?cid=16273384405779146543,,https://untappd.com/w/el-pilo-u/398962,43.3570431,-5.5118313
72,Brut Sparkling Cider,🥉 BRONZE,Naturcidre Urs Renninger,Boskoop 2021,Germany,3087,Germany,https://www.naturcidre.de/,,https://www.instagram.com/cidre_urs/,https://maps.google.com/?cid=9508737086378177205,,https://untappd.com/w/naturcidre-urs-renninger/460255,48.8255479,9.0630527
73,Semi-Dry Sparkling Cider,🏆 PREMIUM,Posma,Posma semiseca,Canary Island,3081,Canary Islands,,https://www.facebook.com/profile.php?id=100063717535205,,,,https://untappd.com/w/posma/512334,28.4740184,-16.4337954
74,Semi-Dry Sparkling Cider,🥇 GOLD,Riestra,Guzman Riestra Semiseca,Asturies,1673,Asturias,http://www.sidrariestra.com/,https://www.facebook.com/SidraRiestra,https://www.instagram.com/sidrariestra/,https://maps.google.com/?cid=2253085342105400787,,https://untappd.com/w/riestra/70601,43.416536,-5.580949
75,Semi-Dry Sparkling Cider,🥇 GOLD,Jörg Geiger,Feinherb Cider,Germany,1322,Germany,https://www.manufaktur-joerg-geiger.de/,https://www.facebook.com/manufakturjoerggeiger/,https://www.instagram.com/manufakturjoerggeiger/,https://maps.google.com/?cid=908271853334307402,,https://untappd.com/w/manufaktur-jorg-geiger/270857,48.6524936,9.7049199
76,Semi-Dry Sparkling Cider,🥇 GOLD,Lagar de Valleseco,Espumosa semiseca,Canary Islands,3083,Canary Islands,,https://www.facebook.com/sidralagardevalleseco/,,https://maps.google.com/?cid=6485664555068943913,,https://untappd.com/w/angel-dominguez-ponce/511926,28.0703635,-15.5600184
77,Semi-Dry Sparkling Cider,🥇 GOLD,NeRø Sideri,Vill & Villig,Norway,2606,Norway,https://www.nerofrukt.no/,https://www.facebook.com/people/NeR%C3%B8-Frukt-og-Sider/100070115946607/,https://www.instagram.com/nerofrukt/,https://maps.google.com/?cid=2060180241711172985,,https://untappd.com/w/nero-frukt-og-sider/467847,59.4988141,9.3240024
78,Semi-Dry Sparkling Cider,🥈 SILVER,Paladeus,Cider 1979,Italy,3024,Italy,http://www.paladeus.it/,https://www.facebook.com/profile.php?id=100067062071715,https://www.instagram.com/paladeus_cider/,https://maps.google.com/?cid=8605615739361573597,,https://untappd.com/w/paladeus/538622,46.3487132,11.2974342
79,Semi-Dry Sparkling Cider,🥈 SILVER,Agrícola Tralcao Limitada,Patagonia Demi-Sec,Chile,2953,Chile,https://www.dellacha.cl/,https://www.facebook.com/sidradellacha/,https://www.instagram.com/sidradellacha/,https://maps.google.com/?cid=11234203234144011970,,https://untappd.com/w/lemon-apple/323317,-39.6955049,-73.1471685
80,Semi-Dry Sparkling Cider,🥈 SILVER,Stonewell Cider,Stonewell Medium Dry,Ireland,1265,Ireland,https://www.stonewellcider.com/,https://www.facebook.com/stonewellcider,https://www.instagram.com/stonewellcider/,https://maps.google.com/?cid=6638378960827420170,,https://untappd.com/Nohoval_Drinks_Company_Ltd,51.8093009,-8.3699975
81,Semi-Dry Sparkling Cider,🥈 SILVER,Urban Farm Fermentory,Sidrah,USA,658,United States,https://www.fermentory.com/,https://www.facebook.com/urbanfarmfermentory,https://www.instagram.com/fermentory/,https://maps.google.com/?cid=11975829594267048308,https://www.tripadvisor.com/Attraction_Review-g40827-d4509600,https://untappd.com/w/urban-farm-fermentory/10661,43.669113,-70.256105
82,Semi-Dry Sparkling Cider,🥈 SILVER,Cider Sekt,Polosuchy,Czechia,2745,Czechia,https://www.cidersekt.cz/,https://www.facebook.com/cidertalk/,https://www.instagram.com/cidertalk/,https://maps.google.com/?cid=1744130511388226457,,https://untappd.com/w/provoco/396367,49.1136589,14.1662619
83,Semi-Dry Sparkling Cider,🥈 SILVER,Domaine de la Mare,Le Généreux,France,2696,France,https://www.domainedelamare.com/,,,https://maps.google.com/?cid=11844878661689216154,,https://untappd.com/w/domaine-de-la-mare/511923,48.039019,0.233564
84,Semi-Dry Sparkling Cider,🥈 SILVER,Jörg Geiger,Schwäbischer Cider Mild,Germany,1322,Germany,https://www.manufaktur-joerg-geiger.de/,https://www.facebook.com/manufakturjoerggeiger/,https://www.instagram.com/manufakturjoerggeiger/,https://maps.google.com/?cid=908271853334307402,,https://untappd.com/w/manufaktur-jorg-geiger/270857,48.6524936,9.7049199
85,Semi-Dry Sparkling Cider,🥈 SILVER,Opre' Cidery,Borolo,Eslovaquia,3088,Slovakia,https://www.opre.sk/,https://www.facebook.com/oprecider,https://www.instagram.com/oprecider/,https://maps.google.com/?cid=12156398933247073454,,https://untappd.com/Opre,48.684871,21.2832467
86,Semi-Dry Sparkling Cider,🥈 SILVER,Azienda Agricola Tre Rii,Sidro Alta Val Baganza e Alta Val Parma,Italy,3082,Italy,https://www.agricolatrerii.it/,https://www.facebook.com/AgricolaTreRii/,https://www.instagram.com/agricolatrerii/,https://maps.google.com/?cid=16891167557912713232,https://www.tripadvisor.com/Hotel_Review-g1930460-d15521245,https://untappd.com/w/azienda-agricola-tre-rii/368277,44.5558947,10.1640382
87,Semi-Dry Sparkling Cider,🥈 SILVER,Paca y Tola,La Naveta Roxa,Asturies,2754,Asturias,https://lanaveta.com/,https://www.facebook.com/profile.php?id=100063497946147,,https://maps.google.com/?cid=18265458060195810621,,https://untappd.com/w/la-naveta/288596,43.358071,-5.506408
88,Semi-Dry Sparkling Cider,🥈 SILVER,Sendero del Valle,El Valle Secreto,Canary Islands,3173,Canary Islands,,https://www.facebook.com/productosgranvalle.es,,,,https://untappd.com/w/sendero-del-valle/501949,28.0501501,-15.5754439
89,Semi-Dry Sparkling Cider,🥉 BRONZE,Agrícola Tralcao Limitada,Della Chá Rosé,Chile,2953,Chile,https://www.dellacha.cl/,https://www.facebook.com/sidradellacha/,https://www.instagram.com/sidradellacha/,https://maps.google.com/?cid=11234203234144011970,,https://untappd.com/w/lemon-apple/323317,-39.6955049,-73.1471685
90,Semi-Dry Sparkling Cider,🥉 BRONZE,Viuda de Angelón,Sidra Pomar Rosée,Asturies,1675,Asturias,http://www.sidraviudaangelonpomar.es/,https://www.facebook.com/sidrapomar.viudaangelon/,https://www.instagram.com/Sidraviudaangelon/,https://maps.google.com/?cid=13173562328637195239,,https://untappd.com/w/viuda-de-angela3n/142823,43.367684,-5.523426
91,Semi-Dry Sparkling Cider,🥉 BRONZE,Conun Huenu,"Magritte Cider, Sidra Premium Tradición",Chile,2951,Chile,https://magrittecider.com/,,https://www.instagram.com/magrittecider,,,https://untappd.com/w/magritte/553144,-39.1730626,-72.192897
92,Semi-Dry Sparkling Cider,🥉 BRONZE,Tencai,Muerte fría y serena,Chile,2743,Chile,https://tencaisidra.cl/,https://www.facebook.com/profile.php?id=100063550781151,https://www.instagram.com/tencaisidra/,https://maps.google.com/?cid=5739971672897016755,,https://untappd.com/tencaisidra,-38.7416573,-72.5550678
93,Semi-Dry Sparkling Cider,🥉 BRONZE,Ciderka,Cervenka,Czechia,2760,Czechia,https://www.ciderka.cz/,https://www.facebook.com/ciderka.cz,https://www.instagram.com/ciderka.cz/,https://maps.google.com/?cid=4045068491840478725,,https://untappd.com/w/ciderka/463341,49.2279067,16.5338423
94,Semi-Dry Sparkling Cider,🥉 BRONZE,Cydrownia Zywer,Croncels,Poland,2484,Poland,https://zywer.pl/,https://www.facebook.com/CydrowniaZywer,https://www.instagram.com/cydrowniazywer/,https://maps.google.com/?cid=10041242298570436703,,https://untappd.com/cydrowniazywer,49.996234,22.315285
