ID,Category,Medalist,Product,Award,WID,Region/Country,Region,Website,Facebook,Instagram,Google,TripAdvisor,Untappd,Latitude,Longitude
40,Brut Sparkling Cider,Bodegas FRP,Niebla brut negra,🥈 Silver,2748,,Canary Islands,,,,,,,,
41,Brut Sparkling Cider,Carlow Brewing Company,Craigies Ballyhook Flyer,🥈 Silver,1460,,Ireland,,,,,,,,
42,Brut Sparkling Cider,Cydrownia Zywer,Aprum 2022,🥈 Silver,2484,,Poland,,,,,,,,
43,Brut Sparkling Cider,Cydrownia Zywer,Foszt 2023,🥈 Silver,2484,,Poland,,,,,,,,
44,Brut Sparkling Cider,Egiazki,Pétillant,🥈 Silver,3708,,Basque Country,,,,,,,,
45,Brut Sparkling Cider,El Lagar de Valleseco,Método tradicional Brut,🥈 Silver,3083,,Canary Islands,,,,,,,,
46,Brut Sparkling Cider,Guzmán Riestra,Brut Nature,🥈 Silver,1673,,Asturias,,,,,,,,
47,Brut Sparkling Cider,Jaanihanso,Extra Brut,🥈 Silver,1927,,Estonia,,,,,,,,
48,Brut Sparkling Cider,Posma,Brut,🥈 Silver,3081,,Canary Islands,,,,,,,,
49,Brut Sparkling Cider,Sidra Fran,Ramos del Valle Brut Nature,🥈 Silver,1479,,Asturias,,,,,,,,
50,Brut Sparkling Cider,Tuscany,Sidra brut nature,🥈 Silver,3106,,Canary Islands,,,,,,,,
51,Brut Sparkling Cider,Cydr Dwaj Bracia,Rajska Kronselka,🥉 Bronze,3006,,Poland,,,,,,,,
52,Brut Sparkling Cider,Markenhof,Cidre brut 2022,🥉 Bronze,3709,,Germany,,,,,,,,
53,Brut Sparkling Cider,Mooma,Ancestral criança,🥉 Bronze,2752,,Catalonia,,,,,,,,
54,Brut Sparkling Cider,Sodo sidrine,Brut & Wild,🥉 Bronze,3040,,Lithuania,,,,,,,,
55,Semi-Dry Sparkling Cider,Lauskis,Abolu Sidrs Pussalds,🏆 Premium,2799,,Latvia,,,,,,,,
56,Semi-Dry Sparkling Cider,Cider Sekt,Cider Talk semy dry Premium,🥇 Gold,2745,,Czechia,,,,,,,,
57,Semi-Dry Sparkling Cider,Seidear,Q,🥇 Gold,2356,,Scotland,,,,,,,,
58,Semi-Dry Sparkling Cider,Stonewell,Stonewell Medium Dry,🥇 Gold,1265,,Ireland,,,,,,,,
59,Semi-Dry Sparkling Cider,Abuls,Pepins,🥈 Silver,2361,,Latvia,,,,,,,,
60,Semi-Dry Sparkling Cider,Abuls,Savvala,🥈 Silver,2361,,Latvia,,,,,,,,
61,Semi-Dry Sparkling Cider,Carlow Brewing Company,Cooneys Cider,🥈 Silver,1460,,Ireland,,,,,,,,
62,Semi-Dry Sparkling Cider,Cider Sekt,Cider Talk Semi dry,🥈 Silver,2745,,Czechia,,,,,,,,
63,Semi-Dry Sparkling Cider,Cidérka,Červenka,🥈 Silver,2760,,Czechia,,,,,,,,
64,Semi-Dry Sparkling Cider,Guzmán Riestra,Sidra semi seca,🥈 Silver,1673,,Asturias,,,,,,,,
65,Semi-Dry Sparkling Cider,Jaanihanso,Sec,🥈 Silver,1927,,Estonia,,,,,,,,
66,Semi-Dry Sparkling Cider,Manufaktur Jörg Geiger,WiesenObst Cider – Feinherb,🥈 Silver,1322,,Germany,,,,,,,,
67,Semi-Dry Sparkling Cider,Manufaktur Jörg Geiger,Craft Cider – Schwäbischer Cider Mild,🥈 Silver,1322,,Germany,,,,,,,,
68,Semi-Dry Sparkling Cider,Pfeiffer’s,Musujacy rose,🥈 Silver,2719,,Poland,,,,,,,,
69,Semi-Dry Sparkling Cider,Posma,Semiseca,🥈 Silver,3081,,Canary Islands,,,,,,,,
70,Sweet Cider,Jörg Geiger,Birnengold,🏆 Premium,1322,,Germany,,,,,,,,
71,Sweet Cider,Jaanihanso,Doux,🥇 Gold,1927,,Estonia,,,,,,,,
72,Sweet Cider,Maley,Sidro Saint-Bernard,🥇 Gold,1517,,Italy,,,,,,,,
73,Sweet Cider,Carlow Brewing Company,Falling Apple - Apple Crush,🥈 Silver,1460,,Ireland,,,,,,,,
74,Sweet Cider,Carlow Brewing Company,Devils Bit Cider,🥈 Silver,1460,,Ireland,,,,,,,,
75,Sweet Cider,Cider Sekt,Cider Talk Semi sweet,🥈 Silver,2745,,Czechia,,,,,,,,
76,Sweet Cider,Sendero del Valle,"El valle secreto, sidra",🥈 Silver,3173,,Canary Islands,,,,,,,,
77,Carbonated Cider,Petritegi,La Petri,🏆 Premium,1171,,Basque Country,,,,,,,,
78,Flavored Cider,Jörg Geiger,Schwäbischer Kir,🏆 Premium,1322,,Germany,,,,,,,,
79,Flavored Cider,Kuartango Sagardotegia,Sagartxo,🥇 Gold,2747,,Basque Country,,,,,,,,
80,Flavored Cider,Stonewell,Stonewell Cask,🥇 Gold,1265,,Ireland,,,,,,,,
81,Flavored Cider,Jaanihanso,Dry hopped cider,🥈 Silver,1927,,Estonia,,,,,,,,
82,Flavored Cider,Kuartango Sagardotegia,Callabocas,🥈 Silver,2747,,Basque Country,,,,,,,,
83,Flavored Cider,Llagar Castañón,Xiz frizzante,🥈 Silver,1473,,Asturias,,,,,,,,
84,Flavored Cider,Markenhof,Quitten Cuvée 2022,🥈 Silver,3709,,Germany,,,,,,,,
85,Flavored Cider,Markenhof,Rosé 2023,🥈 Silver,3709,,Germany,,,,,,,,
86,Flavored Cider,Seidear,Cluny,🥈 Silver,2356,,Scotland,,,,,,,,
87,Flavored Cider,Sendero del Valle,"El valle secreto, sidra de higo",🥈 Silver,3173,,Canary Islands,,,,,,,,
88,Flavored Cider,Stonewell,Stonewell Dry Irish,🥈 Silver,1265,,Ireland,,,,,,,,
89,Flavored Cider,Stonewell,Stonewell Sting,🥈 Silver,1265,,Ireland,,,,,,,,
90,Flavored Cider,Talava,Apple cider with Passion Fruit,🥈 Silver,2142,,Latvia,,,,,,,,
91,Flavored Cider,Carlow Brewing Company,Falling Apple - Blushing Berry,🥈 Silver,1460,,Ireland,,,,,,,,
92,Flavored Cider,Lauskis,Cidoniju Sidrs Quince Cider,🥉 Bronze,2799,,Latvia,,,,,,,,
93,Flavored Cider,Misterios da Quinta,Sidra Baga de Uveira,🥉 Bronze,2603,,Madeira,,,,,,,,
94,Flavored Cider,Misterios da Quinta,Sidra Tangerina,🥉 Bronze,2603,,Madeira,,,,,,,,
95,Ice Cider,Sidra Riestra,Sidra de Hielo,🏆 Premium,1673,,Asturias,,,,,,,,
96,Ice Cider,Valverán,20 manzanas,🥇 Gold,1471,,Asturias,,,,,,,,
97,Ice Cider,Manufaktur Jörg Geiger,EisApfel,🥇 Gold,1322,,Germany,,,,,,,,
98,Ice Cider,Sodo sidrine,Ledo Sidras,🥇 Gold,3040,,Lithuania,,,,,,,,
99,Ice Cider,Cortina,Cortina hielo,🥈 Silver,1472,,Asturias,,,,,,,,
100,Ice Cider,Mooma,Sidra de Gel,🥉 Bronze,2752,,Catalonia,,,,,,,,
101,Fire Cider,Kuartango,Su-Sagardoa,🏆 Premium,2747,,Basque Country,,,,,,,,
102,Pear Cider,Jörg Geiger,CBB 2014,🏆 Premium,1322,,Germany,,,,,,,,
103,Pear Cider,Maison Ferré,Les secrets de Camille,🥇 Gold,2551,,France,,,,,,,,
104,Pear Cider,Manufaktur Jörg Geiger,C- Bratbirne – Alkoholfrei,🥇 Gold,1322,,Germany,,,,,,,,
105,Pear Cider,Manufaktur Jörg Geiger,Poirè artisanal – Cuvée aus Weinbirnen,🥇 Gold,1322,,Germany,,,,,,,,
106,Pear Cider,Urs Renninger,Poiré Strohgäu 2023 demi-sec,🥇 Gold,3087,,Germany,,,,,,,,
107,Pear Cider,Markenhof,Poiré sec 2022,🥈 Silver,3709,,Germany,,,,,,,,
108,Pear Cider,Mr. Plume,Perry,🥈 Silver,2073,,Latvia,,,,,,,,
109,Pear Cider,Sociedade Agricola Alfa,Sidra natural pera,🥈 Silver,2756,,Portugal,,,,,,,,
110,Pear Cider,Urs Renninger,Poiré Palmischbirne 2022 sec,🥈 Silver,3087,,Germany,,,,,,,,
111,Pear Cider,1785 Cider,Perry Cuveé,🥈 Silver,2373,,Germany,,,,,,,,
112,Pear Cider,Fierro,Perada,🥉 Bronze,3711,,Canary Islands,,,,,,,,
113,Cider Liqueur,Jörg Geiger,BP,🏆 Premium,1322,,Germany,,,,,,,,
114,Cider Liqueur,Egiazki,Spiriteux Egiazki Patxaka,🥇 Gold,3708,,Basque Country,,,,,,,,
115,Cider Liqueur,Maley,Liquore Lecristallier,🥇 Gold,1517,,Italy,,,,,,,,
116,Cider Liqueur,Maley,Liquore Whymper,🥇 Gold,1517,,Italy,,,,,,,,
117,Cider Liqueur,Baldorba Naturel,Licor Larra Barri,🥈 Silver,2742,,Basque Country,,,,,,,,
118,Cider Spirit,La Maison Ferré,La Réserve de Pierre,🏆 Premium,2551,,France,,,,,,,,
119,Cider Spirit,Mooma,Spirit de Poma,🥇 Gold,2752,,Catalonia,,,,,,,,
120,Cider Spirit,Manufaktur Jörg Geiger,Craftvol. Apfel im Holzfass,🥈 Silver,1322,,Germany,,,,,,,,
121,Cider Vermouth,Sidra Castañón,Roxmut,🏆 Premium,1473,,Asturias,,,,,,,,
122,Cider Vermouth,Petritegi,Vermut con sidra y naranja,🥇 Gold,1171,,Basque Country,,,,,,,,
123,Cider Vermouth,Kuartango Sagardotegia,Vermut de sidra Kuartango,🥈 Silver,2747,,Basque Country,,,,,,,,
124,Cider Vermouth,Petritegi,Vermut con sidra,🥈 Silver,1171,,Basque Country,,,,,,,,
125,Cider Vermouth,Carral,Vermut de sidra natural,🥉 Bronze,3085,,León,,,,,,,,
126,Other Ciders,Mr. Plume,Paradise,🥈 Silver,2073,,Latvia,,,,,,,,
127,Other Ciders,El Lagar de Valleseco,Lobo,🥉 Bronze,3083,,Canary Islands,,,,,,,,
128,Other Ciders,Israel Hernández del Valle,Sidra del “Valle”,🥉 Bronze,X,,Canary Islands,,,,,,,,
