ID,WID,Year,Style,Award,Medalist,Entry,Region,Style Group
,,2025,Specialty,Silver,Snowbird Farm & Cidery,Boneranger Spicy Banana,WA,
,,2025,Specialty,Judges' Pick,1911 Established,Sour Raspberry,NY,
,,2025,Specialty,Judges' Pick,Bivouac Ciderworks,Rosé of Pear,CA,
,,2025,Specialty,Judges' Pick,Yankee Cider Company,Cyser,CT,
,,2025,Wood-Aged,Platinum,Glacial Till Craft Cider,Blueberry Pancake,NE,
,,2025,Wood-Aged,Double Gold,Union Hill Cider Co.,Barrel-Aged,WA,
,,2025,Wood-Aged,Double Gold,White Crow Cider Company,Sappy Hour,KS,
,,2025,Wood-Aged,Gold,Beach Bee Meadery,Black Currant,NJ,
,,2025,Wood-Aged,Silver,Kristof Farms Cider,Kristof Reserve,OR,
,,2025,Wood-Aged,Judges' Pick,Woodchuck Cider,802 Barrel Aged,VT,
,,2025,Wood-Aged,Judges' Pick,Snow Capped Cider,BBI Aged Kingston Black,CO,
,,2025,Wood-Aged,Judges' Pick,Tieton Cider Works,Bourbon Barrel Peach,WA,
,,2025,Dessert / Fortified,Platinum,Russell Orchards,J’s Ice Cider,MA,
,,2025,Dessert / Fortified,Double Gold,Glacial Till Craft Cider,Ice Cider,NE,
,,2025,Dessert / Fortified,Gold,Sylboro Ciderhouse,Pommore Special Reserve,NY,
,,2025,Dessert / Fortified,Silver,1911 Established,Pommeau,NY,
