WID,Medalist,Region,Country,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd,Latitude,Longitude,Transparency
545,Sapsucker Farms Yellow Belly Cidery,Minnesota,United States,6,4,3,13,2016,2024,7,Active,https://www.sapsuckerfarms.com/,https://www.facebook.com/YellowBellyCider/,https://www.instagram.com/sapsuckerfarms/,,https://www.yelp.com/biz/sapsucker-farms-yellow-belly-cidery-mora,https://www.tripadvisor.com/Attraction_Review-g43337-d15594799,https://untappd.com/w/sapsucker-farms/187535,45.8970174,-93.152247,0
152,Bold Rock Hard Cider,North Carolina,United States,4,5,4,13,2016,2024,6,Active,https://boldrock.com/,https://www.facebook.com/BoldRockHardCider/,https://www.instagram.com/boldrockhardcider/,,https://www.yelp.com/biz/bold-rock-hard-cider-mills-river-mills-river,https://www.tripadvisor.com/Attraction_Review-g1552723-d8862147,https://untappd.com/v/bold-rock-mills-river-cidery/3954545,35.376397,-82.559219,0
812,Niagara College Teaching Winery,Ontario,Canada,7,2,2,11,2016,2024,7,Active,https://www.ncteachingwinery.ca/,https://www.facebook.com/nctwinery/,https://www.instagram.com/nctwinery/,,https://www.yelp.com/biz/niagara-college-teaching-winery-niagara-on-the-lake,https://www.tripadvisor.com/Attraction_Review-g154999-d2414360,https://untappd.com/w/niagara-college-teaching-winery/390649,43.150451,-79.165647,0
345,Incline Cider Company,Washington,United States,5,3,3,11,2016,2023,7,Active,http://www.inclinecider.com/,https://www.facebook.com/inclinecider/,https://www.instagram.com/inclinecider/,,https://www.yelp.com/biz/incline-cider-house-tacoma,https://www.tripadvisor.com/Attraction_Review-g58775-d22266571,https://untappd.com/w/incline-cider-company/249584,47.307323,-122.228453,0
490,Portland Cider Company,Oregon,United States,4,4,3,11,2017,2022,6,Active,http://portlandcider.com/,https://www.facebook.com/portlandcider,https://www.instagram.com/portlandcider/,,https://www.yelp.com/biz/portland-cider-company-clackamas,https://www.tripadvisor.com/Restaurant_Review-g51806-d6996793,https://untappd.com/w/portland-cider-company/56260,45.415288,-122.572714,0
408,FX Matt Brewing,New York,United States,3,3,5,11,2019,2024,6,Active,https://www.mckbev.com/,https://www.facebook.com/McKenziesHardCider/,https://www.instagram.com/mckenzieshardcider/,,https://www.yelp.com/biz/f-x-matt-brewing-utica,https://www.tripadvisor.com/Attraction_Review-g48759-d534580,https://untappd.com/w/mckenzies-hard-cider/10931,43.1044459,-75.2455361,0
841,Thornbury Craft Co.,Ontario,Canada,6,2,2,10,2023,2024,2,Active,https://thornburycraft.com/,https://www.facebook.com/thornburycraft,https://www.instagram.com/thornburycraft/,,https://www.yelp.com/biz/thornbury-village-cider-house-the-blue-mountains,https://www.tripadvisor.com/Attraction_Review-g676258-d12453165,https://untappd.com/w/thornbury-village-cidery-and-brewery/10936,44.5596898,-80.4459884,0
3177,Groupe Geloso,Quebec,Canada,4,5,1,10,2014,2022,8,Active,https://groupegeloso.com/,https://www.facebook.com/groupegeloso/,,,,,https://untappd.com/w/cidre-beaupre-groupe-geloso/21487,45.6109278,-73.6737069,0
698,Wölffer Estate Vineyard,New York,United States,4,4,2,10,2022,2024,3,Active,http://www.wolffer.com/,,,,https://www.yelp.com/biz/wolffer-estate-vineyard-sagaponack,https://www.tripadvisor.com/Attraction_Review-g48542-d593572,https://untappd.com/w/wolffer-estate-vineyard/79243,40.945028,-72.27747,0
712,Five Maidens Cider Company,Pennsylvania,United States,4,1,5,10,2022,2024,3,Active,https://5mcider.com/,https://www.facebook.com/5MCider/,https://www.instagram.com/5mcider/,,https://www.yelp.com/biz/five-maidens-cider-bethlehem,,https://untappd.com/FiveMaidensCiderCo,40.6109554,-75.373349,0
229,d's Wicked Cider,Washington,United States,3,4,3,10,2015,2021,7,Active,http://dswickedcider.com/,https://www.facebook.com/dswickedcider/,https://www.instagram.com/dswickedciderco/,,https://www.yelp.com/biz/sun-river-vintners-kennewick,https://www.tripadvisor.com/Attraction_Review-g58536-d13007264,https://untappd.com/w/ds-wicked-cider/158215,46.20084,-119.246466,0
222,Coyote Hole Craft Beverages,Virginia,United States,2,4,4,10,2019,2023,5,Active,http://www.coyotehole.com/,https://www.facebook.com/CoyoteHole/,https://www.instagram.com/CoyoteHole/,,https://www.yelp.com/biz/coyote-hole-ciderworks-mineral,https://www.tripadvisor.com/Attraction_Review-g57973-d12510904,https://untappd.com/w/coyote-hole-ciderworks/327669,38.085727,-77.851857,0
3342,Samuel Smith's Brewery,North Yorkshire,England,3,3,2,8,2016,2020,5,Active,https://samuelsmithsbrewery.co.uk/,https://www.facebook.com/samuelsmithsbrewery/,https://www.instagram.com/samuelsmithsbrewery/,,,,https://untappd.com/SamuelSmiths,53.883796,-1.261378,0
63,Virtue Cider,Michigan,United States,2,5,1,8,2017,2019,3,Active,http://www.virtuecider.com/,https://www.facebook.com/virtuecider,https://www.instagram.com/virtuecider/,,https://www.yelp.com/biz/virtue-farm-fennville,https://www.tripadvisor.com/Attraction_Review-g42198-d7159911,https://untappd.com/w/virtue-cider/24608,42.57688,-86.15187,0
220,Country Boy Brewing,Kentucky,United States,2,4,2,8,2021,2024,4,Active,http://countryboybrewing.com/,https://www.facebook.com/CountryBoyBrewing,https://www.instagram.com/CountryBoybrewing/,,https://www.yelp.com/biz/country-boy-brewing-lexington,https://www.tripadvisor.com/Attraction_Review-g39588-d2661465,https://untappd.com/w/country-boy-brewing/23693,38.043952,-84.509269,0
515,Rhinegeist Brewery,Ohio,United States,2,4,2,8,2016,2022,6,Active,https://rhinegeist.com/,https://www.facebook.com/rhinegeist,https://www.instagram.com/rhinegeist/,,https://www.yelp.com/biz/rhinegeist-brewery-cincinnati,https://www.tripadvisor.com/Attraction_Review-g60993-d8618371,https://untappd.com/w/rhinegeist-brewery/69953,39.117266,-84.520101,0
550,Schilling Cider,Washington,United States,2,2,4,8,2016,2023,3,Active,https://schillingcider.com/,https://www.facebook.com/SchillingCider/,https://www.instagram.com/schillingcider/,,,,https://untappd.com/w/schilling-cider/62413,47.347243,-122.233995,0
631,Thor's Hard Cider,Minnesota,United States,2,1,5,8,2020,2022,3,Active,https://www.thorshardcider.com/,https://www.facebook.com/thorshardcider/,https://www.instagram.com/thorshardcider/,,https://www.yelp.com/biz/aamodts-apple-farm-stillwater,https://www.tripadvisor.com/Attraction_Review-g43552-d7146001,https://untappd.com/w/thors-hard-cider/345130,45.042138,-92.865744,0
915,Cider Corps,Arizona,United States,5,1,1,7,2019,2024,4,Active,https://cidercorpsaz.com/,https://www.facebook.com/cidercorps/,https://www.instagram.com/cidercorps/,,https://www.yelp.com/biz/cider-corps-mesa-5,https://www.tripadvisor.com/Attraction_Review-g31281-d13003044,https://untappd.com/CiderCorps,33.4141147,-111.8364706,0
124,Bent Ladder,Ohio,United States,4,0,3,7,2019,2024,5,Active,http://bentladder.com/,https://www.facebook.com/bentladder,https://www.instagram.com/bentladder/,,https://www.yelp.com/biz/rittman-orchard-rittman,https://www.tripadvisor.com/Attraction_Review-g50283-d1977165,https://untappd.com/w/bent-ladder/295757,40.9646071,-81.739989,0
133,Black Apple Hard Cider,Arkansas,United States,3,3,1,7,2020,2023,3,Active,https://www.blackapplehardcider.com/,https://www.facebook.com/blackapplecrossing/,https://www.instagram.com/blackapplehardcider/,,https://www.yelp.com/biz/black-apple-crossing-springdale,https://www.tripadvisor.com/Attraction_Review-g31931-d8814858,https://untappd.com/w/black-apple-crossing/211057,36.18487,-94.127403,0
2170,Dingo Dog Brewing Company,North Carolina,United States,3,0,4,7,2018,2024,5,Active,https://www.dingodogbrewing.com/,https://www.facebook.com/dingodogbrewing,https://www.instagram.com/dingodogbrewing/,,https://www.yelp.com/biz/dingo-dog-brewing-company-carrboro,,https://untappd.com/DingoDogBrewing,35.9140913,-79.0720655,0
2510,Maeloc,Galicia,Spain,2,2,3,7,2018,2021,4,Active,https://maelocway.com/,https://www.facebook.com/maelocway/,https://www.instagram.com/maelocway/,,,,https://untappd.com/w/maeloc-cider/140146,42.5868096,-7.7764782,0
1055,Vala's Orchard Cider,Nebraska,United States,1,4,2,7,2023,2024,2,Active,https://www.valasappleorchard.com/,https://www.facebook.com/ValasPumpkinPatch/,https://www.instagram.com/valaspumpkinpatch/,,https://www.yelp.com/biz/valas-pumpkin-patch-gretna,https://www.tripadvisor.com/Attraction_Review-g45597-d1932171,https://untappd.com/w/vala-s-pumpkin-patch/478866,41.1285802,-96.1989432,0
1074,Papa Moon Vineyards & Winery,Nebraska,United States,3,3,0,6,2021,2024,4,Active,https://www.papamoonvineyards.com/,https://www.facebook.com/Papamoonwines,https://www.instagram.com/papamoonciders/,,https://www.yelp.com/biz/papa-moon-vineyards-and-winery-scottsbluff,,https://untappd.com/w/papa-moon-vineyards-winery-and-cider-house/472128,41.8877158,-103.6176699,0
757,Clafeld Cider House,Ontario,Canada,2,3,1,6,2017,2020,3,Active,https://www.waupooswinery.com/,https://www.facebook.com/clafeldcider/,https://www.instagram.com/clafeldcider/,,https://www.yelp.com/biz/clafeld-market-prince-edward,https://www.tripadvisor.com/Attraction_Review-g3454068-d14194483,https://untappd.com/w/clafeld-fruit-winery-market/207242,44.014915,-76.972342,0
93,Apple Valley Cider Company,Colorado,United States,2,2,2,6,2021,2024,4,Active,http://www.applevalleycider.com/,https://www.facebook.com/applevalleycider/,https://www.instagram.com/applevalleyciderco/,,,,https://untappd.com/w/apple-valley-cider-company/382129,38.425243,-105.026257,0
2571,Eva Group,Navarre,Spain,2,1,3,6,2018,2020,3,Active,https://www.evasa.com/,,,,,,https://untappd.com/EvaGroup,43.0042839,-1.91068,0
250,Duluth Cider,Minnesota,United States,4,0,1,5,2019,2022,4,Active,https://duluthcider.com/,https://www.facebook.com/duluth.cider/,https://www.instagram.com/duluthcider/,,https://www.yelp.com/biz/duluth-cider-duluth,https://www.tripadvisor.com/Attraction_Review-g43018-d16674091,https://untappd.com/DuluthCider,46.764947,-92.127394,0
197,Cigar City Cider & Mead,Florida,United States,3,2,0,5,2014,2022,5,Active,http://www.cigarcitycider.com/,https://www.facebook.com/CigarCityCider,https://www.instagram.com/cigarcitycider/,,https://www.yelp.com/biz/cigar-city-brewing-tampa,https://www.tripadvisor.com/Attraction_Review-g34678-d4508513,https://untappd.com/w/cigar-city-cider-and-mead/51632,27.960748,-82.443199,0
3121,Missing Falls Brewery,Ohio,United States,2,2,1,5,2022,2024,3,Active,https://www.missingfalls.com/,https://www.facebook.com/MissingFallsBrewery/,https://www.instagram.com/missingfallsbrewery/,,https://www.yelp.com/biz/missing-falls-brewery-akron,https://www.tripadvisor.com/Restaurant_Review-g29912-d23413493,https://untappd.com/MissingFalls,41.0705056,-81.5267931,0
782,Duxbury Cider Company,Ontario,Canada,1,2,2,5,2021,2024,3,Active,https://www.theduxburyciderco.ca/,https://www.facebook.com/DuxburyCider/,https://www.instagram.com/duxburycider/,,,,https://untappd.com/w/duxbury-cider-company/87748,44.6435777,-80.6511492,0
462,One Tree Hard Cider,Washington,United States,1,2,2,5,2018,2023,3,Active,http://www.onetreehardcider.com/,https://www.facebook.com/OneTreeHardCider,https://www.instagram.com/onetreecider,,https://www.yelp.com/biz/one-tree-hard-cider-spokane-valley,https://www.tripadvisor.com/Restaurant_Review-g58759-d12802835,https://untappd.com/w/one-tree-hard-cider/141397,47.6560711,-117.4278764,0
170,Bryant's Cider,Virginia,United States,1,1,3,5,2020,2022,3,Active,https://bryantscider.com/,https://www.facebook.com/BryantsCiderFarm/,https://www.instagram.com/bryantscider/,,https://www.yelp.com/biz/bryants-cider-roseland,https://www.tripadvisor.com/Attraction_Review-g58143-d14196800,https://untappd.com/w/bryant-s-cider/374591,37.797413,-78.939801,0
236,Diskin Cider,Tennessee,United States,1,1,3,5,2019,2021,3,Active,http://www.diskincider.com/,,https://www.instagram.com/diskincider/,,,,https://untappd.com/w/diskin-cider/341259,36.140849,-86.769778,0
306,Green Bench Brewing Co.,Florida,United States,1,1,3,5,2016,2020,5,Active,https://www.greenbenchbrewing.com/,https://www.facebook.com/GreenBenchBrewing/,https://www.instagram.com/greenbenchmeadcider/,,https://www.yelp.com/biz/green-bench-brewing-company-st-petersburg,https://www.tripadvisor.com/Attraction_Review-g34607-d8505685,https://untappd.com/w/green-bench-mead-cider/184191,27.771864,-82.650644,0
932,Two K Farms,Michigan,United States,0,3,2,5,2019,2021,2,Active,https://twokfarms.com/,https://www.facebook.com/twokfarms,https://www.instagram.com/twokfarms/,,https://www.yelp.com/biz/two-k-farms-cidery-and-winery-suttons-bay-10,https://www.tripadvisor.com/Attraction_Review-g42743-d15263080,https://untappd.com/Two_K_Farms,44.922709,-85.626569,0
330,High Limb Hard Cider,Massachusetts,United States,2,2,0,4,2021,2024,4,Active,https://www.highlimbcider.com/,https://www.facebook.com/highlimbcider/,https://www.instagram.com/highlimbcider/,,https://www.yelp.com/biz/high-limb-cider-plymouth,https://www.tripadvisor.com/Attraction_Review-g41773-d21723351,https://untappd.com/w/high-limb-hard-cider/108620,41.9434465,-70.7111477,0
104,Austin Eastciders,Texas,United States,2,1,1,4,2016,2024,2,Active,http://austineastciders.com/,https://www.facebook.com/eastciders/,https://www.instagram.com/eastciders/,,https://www.yelp.com/biz/austin-eastciders-collaboratory-austin,https://www.tripadvisor.com/Attraction_Review-g30196-d8561332,https://untappd.com/w/austin-eastciders/18898,30.211595,-97.7404707,0
1757,Odd Brothers Craft Cider,Michigan,United States,1,2,1,4,2019,2022,2,Active,https://www.oddbrotherscider.com/,https://www.facebook.com/Odd-Brothers-Craft-Cider-793647507656990/,https://www.instagram.com/oddbrotherscider/,,,,https://untappd.com/OddBrothersCraftCider,42.1364887,-84.8664378,0
2193,Pacific Grove CiderWorks,California,United States,1,1,2,4,2020,2023,3,Active,https://pgciderworks.com/,,,,,,https://untappd.com/w/pacific-grove-ciderworks/480168,36.6152808,-121.934671,0
102,Atlanta Hard Cider Co.,Georgia,United States,0,4,0,4,2019,2022,3,Active,https://www.atlantahardcider.com/,https://www.facebook.com/atlantahardcider/,https://www.instagram.com/atlantahardcider/,,,,https://untappd.com/w/atlanta-hard-cider-co/364060,33.9507273,-84.52255,0
2252,Caribé Tropical Hard Cider,Florida,United States,0,3,1,4,2015,2019,4,Active,https://caribbreweryusa.com/,https://www.facebook.com/people/Carib-Brewery-USA/100071513900968/,,,https://www.yelp.com/biz/carib-brewery-usa-cape-canaveral,,https://untappd.com/floridabeer,28.3989852,-80.6114347,0
1999,Les Celliers Associés,Brittany,France,0,3,1,4,2021,2022,2,Active,https://www.valderance.com/,https://www.facebook.com/ValdeRance/,https://www.instagram.com/lca_coop_cider/,,,,https://untappd.com/LesCelliersAssocis,48.5085682,-1.9533612,0
681,White Winter Winery,Wisconsin,United States,0,2,2,4,2017,2024,2,Active,https://whitewinter.com/,https://www.facebook.com/WhiteWinterWinery/,,,https://www.yelp.com/biz/white-winter-winery-iron-river,https://www.tripadvisor.com/Attraction_Review-g59986-d2457860,https://untappd.com/w/white-winter-winery/1359,46.565581,-91.418129,0
3123,Windmill Ridge Acres,Ontario,Canada,2,1,0,3,2023,2024,2,Active,https://www.windmillridge.ca/,https://www.facebook.com/windmillridgeacres/,https://www.instagram.com/windmillridgeacres/,,,,https://untappd.com/w/windmill-ridge-craft-brew/539150,42.0073007,-82.8803437,0
547,Saro Cider,Nebraska,United States,1,2,0,3,2020,2021,2,Active,https://sarocider.com/,https://www.facebook.com/4SaroCider,https://www.instagram.com/sarocider/,,https://www.yelp.com/biz/saro-cider-lincoln,https://www.tripadvisor.com/Restaurant_Review-g45667-d15141590,https://untappd.com/w/saro-cider/407311,40.812684,-96.695605,0
2286,Apple Barrel Orchards,New York,United States,1,1,1,3,2023,2024,2,Active,https://applebarrelorchards.com/,https://www.facebook.com/applebarrelorchards,https://www.instagram.com/applebarrelorchards,,https://www.yelp.com/biz/apple-barrel-orchards-penn-yan,https://www.tripadvisor.com/Attraction_Review-g48378-d7187340,https://untappd.com/w/apple-barrel-orchards/549035,42.6601021,-77.0848636,0
12,Boss Cider Company,Michigan,United States,1,1,1,3,2020,2020,1,Active,https://www.bosscider.com/,https://www.facebook.com/BossCider,https://www.instagram.com/bosscider/,,https://www.yelp.com/biz/boss-cider-leslie,,https://untappd.com/w/boss-cider-company/445688,42.450331,-84.431688,0
999,Doc Waters Cidery,Maryland,United States,1,1,1,3,2023,2024,2,Active,https://www.docwaterscidery.com/,https://www.facebook.com/docwaterscidery,https://www.instagram.com/docwaterscidery/,,https://www.yelp.com/biz/doc-waters-cidery-germantown-3,,https://untappd.com/w/doc-waters-cidery/408791,39.2244834,-77.2013931,0
1133,Dunkertons Cider and Perry,Herefordshire,England,1,1,1,3,2016,2017,2,Active,https://www.dunkertonscider.co.uk/,https://www.facebook.com/dunkertonsorganiccider/,https://www.instagram.com/dunkertonscider/,,,,https://untappd.com/brewery/12988,51.8771374,-2.0279869,0
707,Muse Orchard,Virginia,United States,1,1,1,3,2021,2022,2,Active,,,,,,,https://untappd.com/w/widow-s-watch-cider/532630,38.8202977,-78.6011459,0
495,Quantum Leap Winery,Florida,United States,1,1,1,3,2017,2020,3,Active,https://quantumleapwinery.com/,https://www.facebook.com/QuantumLeapWinery/,https://www.instagram.com/quantumleapwinery/,,,,https://untappd.com/w/quantum-leap-winery/237930,28.563136,-81.365641,0
650,Tumbling Creek Cider Company,Virginia,United States,1,1,1,3,2021,2023,3,Active,https://tumblingcreekcider.com/,https://www.facebook.com/TumblingCreekCider,https://www.instagram.com/tumblingcreekcider/,,,,https://untappd.com/w/tumbling-creek-cider-company/447864,36.810628,-81.828587,0
2035,Covered Bridge Brewing,Oregon,United States,1,0,2,3,2020,2022,3,Inactive,,,,,,,,43.7975203,-123.0584655,1
415,Meriwether Cider Company,Idaho,United States,1,0,2,3,2018,2019,2,Active,https://www.meriwethercider.com/,https://www.facebook.com/meriwethercider,https://www.instagram.com/meriwethercider/,,https://www.yelp.com/biz/meriwether-cider-company-garden-city-2,https://www.tripadvisor.com/Attraction_Review-g35459-d10034505,https://untappd.com/w/meriwether-cider-company/222316,43.645176,-116.271227,0
553,Seattle Cider Company,Washington,United States,1,0,2,3,2016,2017,2,Active,http://www.seattlecidercompany.com/,https://www.facebook.com/SeattleCiderCo,https://www.instagram.com/seattleciderco/,,https://www.yelp.com/biz/seattle-cider-company-seattle,,https://untappd.com/w/seattle-cider-company/75923,47.560327,-122.337605,0
90,Appalachian Mountain Brewery,North Carolina,United States,0,3,0,3,2015,2017,3,Active,https://www.amb.beer/,https://www.facebook.com/appalachianmountain.brewery/,https://www.instagram.com/appalachianmountainbrewery/,,https://www.yelp.com/biz/appalachian-mountain-brewery-boone,https://www.tripadvisor.com/Attraction_Review-g48975-d4185372,https://untappd.com/w/appalachian-mountain-cidery/199566,36.203368,-81.668439,0
2239,Ola Brew,Hawaii,United States,0,3,0,3,2019,2022,3,Active,https://www.olabrewco.com/,https://www.facebook.com/OlaBrewCo,https://www.instagram.com/olabrewco/,,https://www.yelp.com/biz/ola-brew-kailua-kona,https://www.tripadvisor.com/Attraction_Review-g60872-d13368863,https://untappd.com/OlaBrewCompany,19.6467059,-155.9981111,0
2575,Jeff Carlson,Michigan,United States,0,2,1,3,2015,2024,3,Inactive,,,,,,,,42.97887,-85.71474,1
432,Mountain West Cider Company,Utah,United States,0,2,1,3,2022,2023,2,Active,http://mountainwestcider.com/,https://www.facebook.com/MountainWestHardCider/,https://www.instagram.com/mountainwestcider/,,https://www.yelp.com/biz/mountain-west-cider-salt-lake-city,,https://untappd.com/w/mountain-west-hard-cider/235312,40.778772,-111.903037,0
126,Big B's Hard Cider,Colorado,United States,0,1,2,3,2016,2019,3,Active,https://www.bigbs.com/,https://www.facebook.com/visitbigbs,https://www.instagram.com/drinkbigbs,,https://www.yelp.com/biz/delicious-orchards-hotchkiss,https://www.tripadvisor.com/Restaurant_Review-g33588-d4471856,https://untappd.com/w/big-bs-fabulous-juices/100389,38.860785,-107.626061,0
211,Common Cider Company,California,United States,0,1,2,3,2016,2019,3,Inactive,,,,,,,,38.950812,-121.084227,1
353,Atomic Dog Hard Cider,Pennsylvania,United States,0,0,3,3,2017,2022,2,Active,https://atomicdoghardcider.com/,https://www.facebook.com/atomicdoghardcider,,,https://www.yelp.com/biz/the-core-kitchen-at-atomic-dog-cidery-gettysburg,,https://untappd.com/w/atomic-dog-cidery/547121,39.7911774,-77.2006855,0
2178,Domaine des 5 D,Normandy,France,2,0,0,2,2016,2017,2,Active,http://cidreriedaufresne.com/,https://www.facebook.com/profile.php?id=100069411953752,,,,,https://untappd.com/CidrerieDaufresne,49.1786404,0.2045199,0
1908,Mount Diablo Cider Company,California,United States,2,0,0,2,2021,2022,2,Active,https://www.mountdiablocider.com/,https://www.facebook.com/mountdiablocider,https://www.instagram.com/mountdiablocider/,,,,https://untappd.com/w/mount-diablo-cider-company/527606,37.9025575,-122.0944769,0
497,Ragged Hill Cider,Massachusetts,United States,2,0,0,2,2018,2019,2,Active,https://www.raggedhillcider.com/,https://www.facebook.com/RaggedHillCider/,https://www.instagram.com/raggedhillcider/,,https://www.yelp.com/biz/ragged-hill-orchard-west-brookfield,https://www.tripadvisor.com/Attraction_Review-g41900-d13976564,https://untappd.com/w/ragged-hill-cider-company/339946,42.269444,-72.168979,0
3462,Thomas Brothers Hard Cider,California,United States,2,0,0,2,2019,2020,2,Inactive,,,,,,,,37.8622593,-122.2979617,1
864,West Avenue Cider,Ontario,Canada,2,0,0,2,2016,2017,2,Active,https://www.westavenue.ca/,https://www.facebook.com/WestAvenueCider,https://www.instagram.com/westavenuecider/,,https://www.yelp.com/biz/west-avenue-cider-house-freelton,https://www.tripadvisor.com/Attraction_Review-g154990-d15192590,https://untappd.com/w/west-avenue-cider/72499,43.3699543,-79.9815735,0
103,Avid Cider,Oregon,United States,1,1,0,2,2018,2020,2,Active,https://avidcider.com/,https://www.facebook.com/AVIDCider/,https://www.instagram.com/avidcidercompany/,,https://www.yelp.com/biz/atlas-cider-co-bend-2,https://www.tripadvisor.com/Attraction_Review-g51766-d6870614,https://untappd.com/w/atlas-cider-company/65739,44.0509307,-121.3144074,0
3459,Kopparberg,Örebro,Sweden,1,1,0,2,2021,2021,1,Active,https://kopparberg.com/,,,,,,https://untappd.com/w/kopparbergs-bryggeri/6350,59.8798404,15.0069847,0
3489,Trump Cidery,Virginia,United States,1,1,0,2,2024,2024,1,Active,https://www.trumpwinery.com/cidery/,https://www.facebook.com/profile.php?id=61556781914582,https://www.instagram.com/trumpcidery/,,https://www.yelp.com/biz/trump-cidery-no-title,https://www.tripadvisor.com/Restaurant_Review-g57592-d27958022,https://untappd.com/w/trump-cidery/560673,37.9390855,-78.4987016,0
2053,Vergers de Romilly,Normandy,France,1,1,0,2,2017,2018,2,Active,https://vergersderomilly.com/,https://www.facebook.com/romillycidre/,https://www.instagram.com/romillycidre/,,,https://www.tripadvisor.com/Attraction_Review-g1009737-d2196474,https://untappd.com/RomillyFrenchCidre,49.3382641,-1.0293343,0
127,Big Fish Cider Co.,Virginia,United States,1,0,1,2,2020,2020,1,Active,http://www.bigfishcider.com/,https://www.facebook.com/BigFishCider/,https://www.instagram.com/big_fish_cider/,,https://www.yelp.com/biz/big-fish-cider-monterey,https://www.tripadvisor.com/Attraction_Review-g57982-d10413095,https://untappd.com/w/big-fish-cider-co/202963,38.412304,-79.58293,0
3116,Cherry Street Brewing,Georgia,United States,1,0,1,2,2023,2024,2,Active,https://cherrystreetbrewing.com/,https://www.facebook.com/cherrystreetbrewing/,https://www.instagram.com/cherrystreetbrewing/,,https://www.yelp.com/biz/cherry-street-brewing-cooperative-cumming,https://www.tripadvisor.com/Attraction_Review-g34877-d10428081,https://untappd.com/CherryStreetBrewing,34.1822849,-84.218978,0
