WID,Medalist,Region,Country,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
167,Broski Ciderworks,Florida,United States,7,0,6,13,2017,2022,6,Inactive,,,,,,,
545,Sapsucker Farms Yellow Belly Cidery,Minnesota,United States,6,4,3,13,2016,2024,7,Active,"<a href=""https://www.sapsuckerfarms.com/"">Website</a>","<a href=""https://www.facebook.com/YellowBellyCider/"">Facebook</a>","<a href=""https://www.instagram.com/sapsuckerfarms/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10529182272851607589"">Google</a>","<a href=""https://www.yelp.com/biz/sapsucker-farms-yellow-belly-cidery-mora"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g43337-d15594799"">TripAdvisor</a>","<a href=""https://untappd.com/w/sapsucker-farms/187535"">Untappd</a>"
152,Bold Rock Hard Cider,North Carolina,United States,4,5,4,13,2016,2024,6,Active,"<a href=""https://boldrock.com/"">Website</a>","<a href=""https://www.facebook.com/BoldRockHardCider/"">Facebook</a>","<a href=""https://www.instagram.com/boldrockhardcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10604087929796439877"">Google</a>","<a href=""https://www.yelp.com/biz/bold-rock-hard-cider-mills-river-mills-river"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1552723-d8862147"">TripAdvisor</a>","<a href=""https://untappd.com/v/bold-rock-mills-river-cidery/3954545"">Untappd</a>"
812,Niagara College Teaching Winery,Ontario,Canada,7,2,2,11,2016,2024,7,Active,"<a href=""https://www.ncteachingwinery.ca/"">Website</a>","<a href=""https://www.facebook.com/nctwinery/"">Facebook</a>","<a href=""https://www.instagram.com/nctwinery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2529664632400053188"">Google</a>","<a href=""https://www.yelp.com/biz/niagara-college-teaching-winery-niagara-on-the-lake"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g154999-d2414360"">TripAdvisor</a>","<a href=""https://untappd.com/w/niagara-college-teaching-winery/390649"">Untappd</a>"
345,Incline Cider Company,Washington,United States,5,3,3,11,2016,2023,7,Active,"<a href=""http://www.inclinecider.com/"">Website</a>","<a href=""https://www.facebook.com/inclinecider/"">Facebook</a>","<a href=""https://www.instagram.com/inclinecider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=504944612388443997"">Google</a>","<a href=""https://www.yelp.com/biz/incline-cider-house-tacoma"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g58775-d22266571"">TripAdvisor</a>","<a href=""https://untappd.com/w/incline-cider-company/249584"">Untappd</a>"
490,Portland Cider Company,Oregon,United States,4,4,3,11,2017,2022,6,Active,"<a href=""http://portlandcider.com/"">Website</a>","<a href=""https://www.facebook.com/portlandcider"">Facebook</a>","<a href=""https://www.instagram.com/portlandcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5897814277091816079"">Google</a>","<a href=""https://www.yelp.com/biz/portland-cider-company-clackamas"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g51806-d6996793"">TripAdvisor</a>","<a href=""https://untappd.com/w/portland-cider-company/56260"">Untappd</a>"
408,FX Matt Brewing,New York,United States,3,3,5,11,2019,2024,6,Active,"<a href=""https://www.mckbev.com/"">Website</a>","<a href=""https://www.facebook.com/McKenziesHardCider/"">Facebook</a>","<a href=""https://www.instagram.com/mckenzieshardcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16812627050434550372"">Google</a>","<a href=""https://www.yelp.com/biz/f-x-matt-brewing-utica"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g48759-d534580"">TripAdvisor</a>","<a href=""https://untappd.com/w/mckenzies-hard-cider/10931"">Untappd</a>"
841,Thornbury Craft Co.,Ontario,Canada,6,2,2,10,2023,2024,2,Active,"<a href=""https://thornburycraft.com/"">Website</a>","<a href=""https://www.facebook.com/thornburycraft"">Facebook</a>","<a href=""https://www.instagram.com/thornburycraft/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17950053116977107226"">Google</a>","<a href=""https://www.yelp.com/biz/thornbury-village-cider-house-the-blue-mountains"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g676258-d12453165"">TripAdvisor</a>","<a href=""https://untappd.com/w/thornbury-village-cidery-and-brewery/10936"">Untappd</a>"
3177,Groupe Geloso,Quebec,Canada,4,5,1,10,2014,2022,8,Active,"<a href=""https://groupegeloso.com/"">Website</a>","<a href=""https://www.facebook.com/groupegeloso/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=14532853692172548925"">Google</a>",,,"<a href=""https://untappd.com/w/cidre-beaupre-groupe-geloso/21487"">Untappd</a>"
698,Wölffer Estate Vineyard,New York,United States,4,4,2,10,2022,2024,3,Active,"<a href=""http://www.wolffer.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=10690409208604454007"">Google</a>","<a href=""https://www.yelp.com/biz/wolffer-estate-vineyard-sagaponack"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g48542-d593572"">TripAdvisor</a>","<a href=""https://untappd.com/w/wolffer-estate-vineyard/79243"">Untappd</a>"
712,Five Maidens Cider Company,Pennsylvania,United States,4,1,5,10,2022,2024,3,Active,"<a href=""https://5mcider.com/"">Website</a>","<a href=""https://www.facebook.com/5MCider/"">Facebook</a>","<a href=""https://www.instagram.com/5mcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17669165397330541520"">Google</a>","<a href=""https://www.yelp.com/biz/five-maidens-cider-bethlehem"">Yelp</a>",,"<a href=""https://untappd.com/FiveMaidensCiderCo"">Untappd</a>"
229,d's Wicked Cider,Washington,United States,3,4,3,10,2015,2021,7,Active,"<a href=""http://dswickedcider.com/"">Website</a>","<a href=""https://www.facebook.com/dswickedcider/"">Facebook</a>","<a href=""https://www.instagram.com/dswickedciderco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2860292587896986843"">Google</a>","<a href=""https://www.yelp.com/biz/sun-river-vintners-kennewick"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g58536-d13007264"">TripAdvisor</a>","<a href=""https://untappd.com/w/ds-wicked-cider/158215"">Untappd</a>"
222,Coyote Hole Craft Beverages,Virginia,United States,2,4,4,10,2019,2023,5,Active,"<a href=""http://www.coyotehole.com/"">Website</a>","<a href=""https://www.facebook.com/CoyoteHole/"">Facebook</a>","<a href=""https://www.instagram.com/CoyoteHole/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3893841626353972834"">Google</a>","<a href=""https://www.yelp.com/biz/coyote-hole-ciderworks-mineral"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g57973-d12510904"">TripAdvisor</a>","<a href=""https://untappd.com/w/coyote-hole-ciderworks/327669"">Untappd</a>"
3342,Samuel Smith's Brewery,North Yorkshire,England,3,3,2,8,2016,2020,5,Active,"<a href=""https://samuelsmithsbrewery.co.uk/"">Website</a>","<a href=""https://www.facebook.com/samuelsmithsbrewery/"">Facebook</a>","<a href=""https://www.instagram.com/samuelsmithsbrewery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15178745194059809638"">Google</a>",,,"<a href=""https://untappd.com/SamuelSmiths"">Untappd</a>"
63,Virtue Cider,Michigan,United States,2,5,1,8,2017,2019,3,Active,"<a href=""http://www.virtuecider.com/"">Website</a>","<a href=""https://www.facebook.com/virtuecider"">Facebook</a>","<a href=""https://www.instagram.com/virtuecider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8731167836057791034"">Google</a>","<a href=""https://www.yelp.com/biz/virtue-farm-fennville"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g42198-d7159911"">TripAdvisor</a>","<a href=""https://untappd.com/w/virtue-cider/24608"">Untappd</a>"
220,Country Boy Brewing,Kentucky,United States,2,4,2,8,2021,2024,4,Active,"<a href=""http://countryboybrewing.com/"">Website</a>","<a href=""https://www.facebook.com/CountryBoyBrewing"">Facebook</a>","<a href=""https://www.instagram.com/CountryBoybrewing/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7007349802683802072"">Google</a>","<a href=""https://www.yelp.com/biz/country-boy-brewing-lexington"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g39588-d2661465"">TripAdvisor</a>","<a href=""https://untappd.com/w/country-boy-brewing/23693"">Untappd</a>"
515,Rhinegeist Brewery,Ohio,United States,2,4,2,8,2016,2022,6,Active,"<a href=""https://rhinegeist.com/"">Website</a>","<a href=""https://www.facebook.com/rhinegeist"">Facebook</a>","<a href=""https://www.instagram.com/rhinegeist/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4624817204033581156"">Google</a>","<a href=""https://www.yelp.com/biz/rhinegeist-brewery-cincinnati"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g60993-d8618371"">TripAdvisor</a>","<a href=""https://untappd.com/w/rhinegeist-brewery/69953"">Untappd</a>"
550,Schilling Cider,Washington,United States,2,2,4,8,2016,2023,3,Active,"<a href=""https://schillingcider.com/"">Website</a>","<a href=""https://www.facebook.com/SchillingCider/"">Facebook</a>","<a href=""https://www.instagram.com/schillingcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12281308087911884522"">Google</a>",,,"<a href=""https://untappd.com/w/schilling-cider/62413"">Untappd</a>"
631,Thor's Hard Cider,Minnesota,United States,2,1,5,8,2020,2022,3,Active,"<a href=""https://www.thorshardcider.com/"">Website</a>","<a href=""https://www.facebook.com/thorshardcider/"">Facebook</a>","<a href=""https://www.instagram.com/thorshardcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16250618587804183842"">Google</a>","<a href=""https://www.yelp.com/biz/aamodts-apple-farm-stillwater"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g43552-d7146001"">TripAdvisor</a>","<a href=""https://untappd.com/w/thors-hard-cider/345130"">Untappd</a>"
915,Cider Corps,Arizona,United States,5,1,1,7,2019,2024,4,Active,"<a href=""https://cidercorpsaz.com/"">Website</a>","<a href=""https://www.facebook.com/cidercorps/"">Facebook</a>","<a href=""https://www.instagram.com/cidercorps/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9593182908980696987"">Google</a>","<a href=""https://www.yelp.com/biz/cider-corps-mesa-5"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g31281-d13003044"">TripAdvisor</a>","<a href=""https://untappd.com/CiderCorps"">Untappd</a>"
124,Bent Ladder,Ohio,United States,4,0,3,7,2019,2024,5,Active,"<a href=""http://bentladder.com/"">Website</a>","<a href=""https://www.facebook.com/bentladder"">Facebook</a>","<a href=""https://www.instagram.com/bentladder/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5886580381731979881"">Google</a>","<a href=""https://www.yelp.com/biz/rittman-orchard-rittman"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g50283-d1977165"">TripAdvisor</a>","<a href=""https://untappd.com/w/bent-ladder/295757"">Untappd</a>"
133,Black Apple Hard Cider,Arkansas,United States,3,3,1,7,2020,2023,3,Active,"<a href=""https://www.blackapplehardcider.com/"">Website</a>","<a href=""https://www.facebook.com/blackapplecrossing/"">Facebook</a>","<a href=""https://www.instagram.com/blackapplehardcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5449257929643515916"">Google</a>","<a href=""https://www.yelp.com/biz/black-apple-crossing-springdale"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g31931-d8814858"">TripAdvisor</a>","<a href=""https://untappd.com/w/black-apple-crossing/211057"">Untappd</a>"
2170,Dingo Dog Brewing Company,North Carolina,United States,3,0,4,7,2018,2024,5,Active,"<a href=""https://www.dingodogbrewing.com/"">Website</a>","<a href=""https://www.facebook.com/dingodogbrewing"">Facebook</a>","<a href=""https://www.instagram.com/dingodogbrewing/"">Instagram</a>","<a href=""https://maps.google.com/?cid=855662940419552138"">Google</a>","<a href=""https://www.yelp.com/biz/dingo-dog-brewing-company-carrboro"">Yelp</a>",,"<a href=""https://untappd.com/DingoDogBrewing"">Untappd</a>"
2510,Maeloc,Galicia,Spain,2,2,3,7,2018,2021,4,Active,"<a href=""https://maelocway.com/"">Website</a>","<a href=""https://www.facebook.com/maelocway/"">Facebook</a>","<a href=""https://www.instagram.com/maelocway/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11814015461660737074"">Google</a>",,,"<a href=""https://untappd.com/w/maeloc-cider/140146"">Untappd</a>"
1055,Vala's Orchard Cider,Nebraska,United States,1,4,2,7,2023,2024,2,Active,"<a href=""https://www.valasappleorchard.com/"">Website</a>","<a href=""https://www.facebook.com/ValasPumpkinPatch/"">Facebook</a>","<a href=""https://www.instagram.com/valaspumpkinpatch/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15056510891597103165"">Google</a>","<a href=""https://www.yelp.com/biz/valas-pumpkin-patch-gretna"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g45597-d1932171"">TripAdvisor</a>","<a href=""https://untappd.com/w/vala-s-pumpkin-patch/478866"">Untappd</a>"
1074,Papa Moon Vineyards & Winery,Nebraska,United States,3,3,0,6,2021,2024,4,Active,"<a href=""https://www.papamoonvineyards.com/"">Website</a>","<a href=""https://www.facebook.com/Papamoonwines"">Facebook</a>","<a href=""https://www.instagram.com/papamoonciders/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16564507604611639866"">Google</a>","<a href=""https://www.yelp.com/biz/papa-moon-vineyards-and-winery-scottsbluff"">Yelp</a>",,"<a href=""https://untappd.com/w/papa-moon-vineyards-winery-and-cider-house/472128"">Untappd</a>"
757,Clafeld Cider House,Ontario,Canada,2,3,1,6,2017,2020,3,Active,"<a href=""https://www.waupooswinery.com/"">Website</a>","<a href=""https://www.facebook.com/clafeldcider/"">Facebook</a>","<a href=""https://www.instagram.com/clafeldcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14335401017140852929"">Google</a>","<a href=""https://www.yelp.com/biz/clafeld-market-prince-edward"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g3454068-d14194483"">TripAdvisor</a>","<a href=""https://untappd.com/w/clafeld-fruit-winery-market/207242"">Untappd</a>"
93,Apple Valley Cider Company,Colorado,United States,2,2,2,6,2021,2024,4,Active,"<a href=""http://www.applevalleycider.com/"">Website</a>","<a href=""https://www.facebook.com/applevalleycider/"">Facebook</a>","<a href=""https://www.instagram.com/applevalleyciderco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8798456079688966999"">Google</a>",,,"<a href=""https://untappd.com/w/apple-valley-cider-company/382129"">Untappd</a>"
2571,Eva Group,Navarre,Spain,2,1,3,6,2018,2020,3,Active,"<a href=""https://www.evasa.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=546948451257487120"">Google</a>",,,"<a href=""https://untappd.com/EvaGroup"">Untappd</a>"
250,Duluth Cider,Minnesota,United States,4,0,1,5,2019,2022,4,Active,"<a href=""https://duluthcider.com/"">Website</a>","<a href=""https://www.facebook.com/duluth.cider/"">Facebook</a>","<a href=""https://www.instagram.com/duluthcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3814310496447641516"">Google</a>","<a href=""https://www.yelp.com/biz/duluth-cider-duluth"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g43018-d16674091"">TripAdvisor</a>","<a href=""https://untappd.com/DuluthCider"">Untappd</a>"
197,Cigar City Cider & Mead,Florida,United States,3,2,0,5,2014,2022,5,Active,"<a href=""http://www.cigarcitycider.com/"">Website</a>","<a href=""https://www.facebook.com/CigarCityCider"">Facebook</a>","<a href=""https://www.instagram.com/cigarcitycider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=105555702494086229"">Google</a>","<a href=""https://www.yelp.com/biz/cigar-city-brewing-tampa"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g34678-d4508513"">TripAdvisor</a>","<a href=""https://untappd.com/w/cigar-city-cider-and-mead/51632"">Untappd</a>"
3121,Missing Falls Brewery,Ohio,United States,2,2,1,5,2022,2024,3,Active,"<a href=""https://www.missingfalls.com/"">Website</a>","<a href=""https://www.facebook.com/MissingFallsBrewery/"">Facebook</a>","<a href=""https://www.instagram.com/missingfallsbrewery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16469758948621365687"">Google</a>","<a href=""https://www.yelp.com/biz/missing-falls-brewery-akron"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g29912-d23413493"">TripAdvisor</a>","<a href=""https://untappd.com/MissingFalls"">Untappd</a>"
782,Duxbury Cider Company,Ontario,Canada,1,2,2,5,2021,2024,3,Active,"<a href=""https://www.theduxburyciderco.ca/"">Website</a>","<a href=""https://www.facebook.com/DuxburyCider/"">Facebook</a>","<a href=""https://www.instagram.com/duxburycider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=18178962492954171012"">Google</a>",,,"<a href=""https://untappd.com/w/duxbury-cider-company/87748"">Untappd</a>"
462,One Tree Hard Cider,Washington,United States,1,2,2,5,2018,2023,3,Active,"<a href=""http://www.onetreehardcider.com/"">Website</a>","<a href=""https://www.facebook.com/OneTreeHardCider"">Facebook</a>","<a href=""https://www.instagram.com/onetreecider"">Instagram</a>","<a href=""https://maps.google.com/?cid=3782079883535213089"">Google</a>","<a href=""https://www.yelp.com/biz/one-tree-hard-cider-spokane-valley"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g58759-d12802835"">TripAdvisor</a>","<a href=""https://untappd.com/w/one-tree-hard-cider/141397"">Untappd</a>"
170,Bryant's Cider,Virginia,United States,1,1,3,5,2020,2022,3,Active,"<a href=""https://bryantscider.com/"">Website</a>","<a href=""https://www.facebook.com/BryantsCiderFarm/"">Facebook</a>","<a href=""https://www.instagram.com/bryantscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15598469607243113479"">Google</a>","<a href=""https://www.yelp.com/biz/bryants-cider-roseland"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g58143-d14196800"">TripAdvisor</a>","<a href=""https://untappd.com/w/bryant-s-cider/374591"">Untappd</a>"
236,Diskin Cider,Tennessee,United States,1,1,3,5,2019,2021,3,Active,"<a href=""http://www.diskincider.com/"">Website</a>",,"<a href=""https://www.instagram.com/diskincider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5465208715637137113"">Google</a>",,,"<a href=""https://untappd.com/w/diskin-cider/341259"">Untappd</a>"
306,Green Bench Brewing Co.,Florida,United States,1,1,3,5,2016,2020,5,Active,"<a href=""https://www.greenbenchbrewing.com/"">Website</a>","<a href=""https://www.facebook.com/GreenBenchBrewing/"">Facebook</a>","<a href=""https://www.instagram.com/greenbenchmeadcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4473987284585319628"">Google</a>","<a href=""https://www.yelp.com/biz/green-bench-brewing-company-st-petersburg"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g34607-d8505685"">TripAdvisor</a>","<a href=""https://untappd.com/w/green-bench-mead-cider/184191"">Untappd</a>"
932,Two K Farms,Michigan,United States,0,3,2,5,2019,2021,2,Active,"<a href=""https://twokfarms.com/"">Website</a>","<a href=""https://www.facebook.com/twokfarms"">Facebook</a>","<a href=""https://www.instagram.com/twokfarms/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10000035318484135155"">Google</a>","<a href=""https://www.yelp.com/biz/two-k-farms-cidery-and-winery-suttons-bay-10"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g42743-d15263080"">TripAdvisor</a>","<a href=""https://untappd.com/Two_K_Farms"">Untappd</a>"
330,High Limb Hard Cider,Massachusetts,United States,2,2,0,4,2021,2024,4,Active,"<a href=""https://www.highlimbcider.com/"">Website</a>","<a href=""https://www.facebook.com/highlimbcider/"">Facebook</a>","<a href=""https://www.instagram.com/highlimbcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11042855047844464741"">Google</a>","<a href=""https://www.yelp.com/biz/high-limb-cider-plymouth"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g41773-d21723351"">TripAdvisor</a>","<a href=""https://untappd.com/w/high-limb-hard-cider/108620"">Untappd</a>"
104,Austin Eastciders,Texas,United States,2,1,1,4,2016,2024,2,Active,"<a href=""http://austineastciders.com/"">Website</a>","<a href=""https://www.facebook.com/eastciders/"">Facebook</a>","<a href=""https://www.instagram.com/eastciders/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14699519440178528476"">Google</a>","<a href=""https://www.yelp.com/biz/austin-eastciders-collaboratory-austin"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g30196-d8561332"">TripAdvisor</a>","<a href=""https://untappd.com/w/austin-eastciders/18898"">Untappd</a>"
1757,Odd Brothers Craft Cider,Michigan,United States,1,2,1,4,2019,2022,2,Active,"<a href=""https://www.oddbrotherscider.com/"">Website</a>","<a href=""https://www.facebook.com/Odd-Brothers-Craft-Cider-793647507656990/"">Facebook</a>","<a href=""https://www.instagram.com/oddbrotherscider/"">Instagram</a>",,,,"<a href=""https://untappd.com/OddBrothersCraftCider"">Untappd</a>"
2193,Pacific Grove CiderWorks,California,United States,1,1,2,4,2020,2023,3,Active,"<a href=""https://pgciderworks.com/"">Website</a>",,,,,,"<a href=""https://untappd.com/w/pacific-grove-ciderworks/480168"">Untappd</a>"
102,Atlanta Hard Cider Co.,Georgia,United States,0,4,0,4,2019,2022,3,Active,"<a href=""https://www.atlantahardcider.com/"">Website</a>","<a href=""https://www.facebook.com/atlantahardcider/"">Facebook</a>","<a href=""https://www.instagram.com/atlantahardcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15330589380276964489"">Google</a>",,,"<a href=""https://untappd.com/w/atlanta-hard-cider-co/364060"">Untappd</a>"
