Class,Entrant,Region,Place,WID,Website,Facebook,Instagram,Google,TripAdvisor,Untappd,Latitude,Longitude
Culinary/Dessert Cider - Dry,Restauracja Tabun,Poland,🥈 Second,2744,https://www.restauracjatabun.pl/,https://www.facebook.com/TABUNCYDR/,https://www.instagram.com/tabuncydr/,https://maps.google.com/?cid=13556304642115496222,https://www.tripadvisor.com/Restaurant_Review-g3222438-d2654599,https://untappd.com/w/tabun/434136,54.3205556,18.5244444
Culinary/Dessert Cider - Medium/Sweet,BEARDspoon Cider,Kent,🥇 First,3280,http://beardspoon.com/,https://www.facebook.com/BEARDspoon,https://www.instagram.com/beardspooncider/,,,https://untappd.com/BEARDspoon,51.104657,1.00815
Culinary/Dessert Cider - Medium/Sweet,Newton Court Cider,Herefordshire,🥈 Second,1882,https://www.newtoncourtcider.com/,https://www.facebook.com/newtonscider/,https://www.instagram.com/newtoncourtcider/,https://maps.google.com/?cid=16599711403513185285,https://www.tripadvisor.com/Attraction_Review-g1936778-d7940383,https://untappd.com/NewtonCourtCidery,52.1830142,-2.717924
Naturally Sparkling Cider,Oliver's Cider and Perry,Herefordshire,🥇 First,1130,https://www.oliversciderandperry.co.uk/,https://www.facebook.com/oliversciderandperry,https://www.instagram.com/tomoliverscider/,https://maps.google.com/?cid=7135495925516207657,,https://untappd.com/brewery/6568,52.118645,-2.59315
Naturally Sparkling Cider,Little Pomona,Herefordshire,🥈 Second,1880,https://littlepomona.com/,https://www.facebook.com/LittlePomona/,https://www.instagram.com/littlepomona/,https://maps.google.com/?cid=1246096540068808621,https://www.tripadvisor.com/Attraction_Review-g503860-d24036981,https://untappd.com/w/little-pomona/328882,52.1692482,-2.4944892
Naturally Sparkling Cider,Sisson & Smith,Nottinghamshire,🥉 Third,3041,,,,,,https://untappd.com/w/sisson-smith/229581,53.018115,-1.308544
Naturally Sparkling Perry,Newton Court Cider,Herefordshire,🥇 First,1882,https://www.newtoncourtcider.com/,https://www.facebook.com/newtonscider/,https://www.instagram.com/newtoncourtcider/,https://maps.google.com/?cid=16599711403513185285,https://www.tripadvisor.com/Attraction_Review-g1936778-d7940383,https://untappd.com/NewtonCourtCidery,52.1830142,-2.717924
Naturally Sparkling Perry,Oliver's Cider and Perry,Herefordshire,🥈 Second,1130,https://www.oliversciderandperry.co.uk/,https://www.facebook.com/oliversciderandperry,https://www.instagram.com/tomoliverscider/,https://maps.google.com/?cid=7135495925516207657,,https://untappd.com/brewery/6568,52.118645,-2.59315
Naturally Sparkling Perry,Butford Organics,Herefordshire,🥉 Third,1140,https://butfordorganics.co.uk/,https://www.facebook.com/pages/Butford-Organics-Cider-Perry/364735440244899,https://www.instagram.com/butford_cider/,https://maps.google.com/?cid=16494845033472918948,,https://untappd.com/brewery/36638,52.1802405,-2.6693955
Best Presented Packaged Cider or Perry,Cydr Dwaj Bracia,Poland,🥇 First,3006,https://dwajbracia.pl/,https://www.facebook.com/profile.php?id=100094619362211,https://www.instagram.com/cydr_dwaj_bracia,,,https://untappd.com/w/cydr-dwaj-bracia/551234,52.2296756,21.0122287
Best Presented Packaged Cider or Perry,On Point Cider Company,Herefordshire,🥈 Second,3098,,https://www.facebook.com/OnPointCider/,https://www.instagram.com/onpointcider/,,,https://untappd.com/w/on-point-cider-company/548553,52.0737778,-2.9451381
Best Presented Packaged Cider or Perry,Wilce's Cider,Herefordshire,🥉 Third,1154,https://wilces.co.uk/,https://www.facebook.com/WilcesCider,https://www.instagram.com/wilces_cider/,https://maps.google.com/?cid=9852459521261680794,,https://untappd.com/WilcesCider,52.0466452,-2.4245915
Speciality Cider or Perry,Oliver's Cider and Perry,Herefordshire,🥇 First,1130,https://www.oliversciderandperry.co.uk/,https://www.facebook.com/oliversciderandperry,https://www.instagram.com/tomoliverscider/,https://maps.google.com/?cid=7135495925516207657,,https://untappd.com/brewery/6568,52.118645,-2.59315
Speciality Cider or Perry,Little Pomona,Herefordshire,🥈 Second,1880,https://littlepomona.com/,https://www.facebook.com/LittlePomona/,https://www.instagram.com/littlepomona/,https://maps.google.com/?cid=1246096540068808621,https://www.tripadvisor.com/Attraction_Review-g503860-d24036981,https://untappd.com/w/little-pomona/328882,52.1692482,-2.4944892
Speciality Cider or Perry,Thornborough Cider,North Yorkshire,🥉 Third,1374,https://www.thornboroughcider.co.uk/,https://www.facebook.com/thornboroughcider,https://www.instagram.com/thornboroughcider/,https://maps.google.com/?cid=5238332447600515576,,https://untappd.com/ThornboroughCider,54.213483,-1.55187
