ID,ID2,Category,Award,Medalist,Entry,Country,WID,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
163,29,,🥇 Gold,Little Pomona,Little Pomona - Wading In 2020,United Kingdom,,,,,,,
178,30,,🥇 Gold,LLAGAR CASTAÑÓN,ROXMUT,Spain,,,,,,,
168,31,,🥇 Gold,LLAGAR CASTAÑÓN,XIZ FRIZZANTE,Spain,,,,,,,
156,32,,🥇 Gold,Lofthus Ekspedisjon,Skrikjo,Norway,,,,,,,
182,33,,🥇 Gold,Lofthus sideri,Gaum,Norway,,,,,,,
191,34,,🥇 Gold,Nightingale Cider Co,Night Bird,United Kingdom,,,,,,,
187,35,,🥇 Gold,OmCider AS,VALAGUBBEN,Norway,,,,,,,
161,36,,🥇 Gold,pirula,Helmi,Finland,,,,,,,
180,37,,🥇 Gold,Ramborn S.A.,Ramborn Garden Quince,Luxembourg,,,,,,,
159,38,,🥇 Gold,Ramborn S.A.,Ramborn Organic Cider,Luxembourg,,,,,,,
169,39,,🥇 Gold,Sandalen Gård,Knedrepar / Sandalen Gård,Norway,,,,,,,
172,40,,🥇 Gold,Sideriet as,Vassås,Norway,,,,,,,
152,41,,🥇 Gold,SIDRAS ABURUZA,Aburuza Euskal Sagardoa Premium,Spain,,,,,,,
176,42,,🥇 Gold,sidras el lagar de Valleseco,Sidra el Lagar de Valleseco,Spain,,,,,,,
166,43,,🥇 Gold,Spildegarden,Spilde Aroma,Norway,,,,,,,
174,44,,🥇 Gold,Spildegarden,Spilde Summerred,Norway,,,,,,,
154,45,,🥇 Gold,Store Naa Siderkompani,57/2,Norway,,,,,,,
175,46,,🥇 Gold,"VALLE, BALLINA Y FERNANDEZ SA",1898 ICE CIDER,Spain,,,,,,,
170,47,,🥇 Gold,Zapiain,Zapiain Euskal Sagardoa 2021,Spain,,,,,,,
94,48,,🥈 Silver,ABAVAS DARZI,Abavas Apple Cider Meadows,Latvia,,,,,,,
137,49,,🥈 Silver,ABAVAS DARZI,ABAVAS Nordic Brut,Latvia,,,,,,,
120,50,,🥈 Silver,ABAVAS DARZI,Rhubarb Sparkling Wine,Latvia,,,,,,,
89,51,,🥈 Silver,Aga sideri,Fatlagra 2019,Norway,,,,,,,
73,52,,🥈 Silver,Åkre AS,Edel is-sider,Norway,,,,,,,
118,53,,🥈 Silver,Åkre AS,EDEL Premium (12),Norway,,,,,,,
95,54,,🥈 Silver,Åkre AS,EDEL Sider Metode Tradisjonell,Norway,,,,,,,
96,55,,🥈 Silver,Alde AS,Alde Sider,Norway,,,,,,,
151,56,,🥈 Silver,Alde AS,Alde Svans,Norway,,,,,,,
79,57,,🥈 Silver,Andersen Winery,Sigrid Ӕble Brut,Denmark,,,,,,,
150,58,,🥈 Silver,Anikonic AS,Mjødurt & Pære Vin,Norway,,,,,,,
72,59,,🥈 Silver,Apal Sideri,Apal Sideri Kompani,Norway,,,,,,,
132,60,,🥈 Silver,Apal Sideri,Apal Sideri Sølvsider,Norway,,,,,,,
78,61,,🥈 Silver,ASTIGARRAGAKO GURUTZETA,Sagardoa Gurutzeta Euskal Sagardoa,Spain,,,,,,,
85,62,,🥈 Silver,ASTIGARRAGAKO GURUTZETA,Sagardoa Gurutzeta Gorenak,Spain,,,,,,,
87,63,,🥈 Silver,Balholm,Balholm Vestmann,Norway,,,,,,,
74,64,,🥈 Silver,BIZIO,Pako,Spain,,,,,,,
111,65,,🥈 Silver,Bjerregaarden,"Cider: Foxwelp, Stembridge Jersey & Noël de Champs",Denmark,,,,,,,
129,66,,🥈 Silver,Brinkhall Sparkling Oy,Normanni,Finland,,,,,,,
131,67,,🥈 Silver,Buhagen,Buhagen Bølgeskvulp,Norway,,,,,,,
66,68,,🥈 Silver,Buhagen,Buhagen Slanten,Norway,,,,,,,
122,69,,🥈 Silver,Buhagen,Buhagen Solgangsbris,Norway,,,,,,,
110,70,,🥈 Silver,Cascina Danesa,Sidro Giasà,Italy,,,,,,,
112,71,,🥈 Silver,CiderCider BV,I got wood / Lightship Cider,--,,,,,,,
70,72,,🥈 Silver,Cold Hand Winery,Malus X Feminam 2018,Denmark,,,,,,,
114,73,,🥈 Silver,DEL FATTI LAURA,MELAGODO BRUT,Italy,,,,,,,
136,74,,🥈 Silver,DEL FATTI LAURA,MELAGODO EXTRA DRY,Italy,,,,,,,
103,75,,🥈 Silver,Domaine Familil Louis Dupont,Dupont Cidre Bouché,France,,,,,,,
98,76,,🥈 Silver,Domaine Familil Louis Dupont,Dupont Cidre Réserve,France,,,,,,,
104,77,,🥈 Silver,Floribunda Cidervariationen Creazioni di sidro (des Franz Egger),Apfel Cider alla Mela,Italy,,,,,,,
80,78,,🥈 Silver,Hallonmäen Siideripanimo Oy,KUORI,Finland,,,,,,,
82,79,,🥈 Silver,Hardanger Saft og Siderfabrikk AS,Issider,Norway,,,,,,,
149,80,,🥈 Silver,Hardangerbonden,Hardangerbonden Drengen,Norway,,,,,,,
128,81,,🥈 Silver,Hardangerbonden,Hardangerbonden Pappa,Norway,,,,,,,
101,82,,🥈 Silver,Hardangerbonden,Hardangerbonden Stora Marit,Norway,,,,,,,
91,83,,🥈 Silver,Hardangergutane,Solglimt,Norway,,,,,,,
62,84,,🥈 Silver,Hardangergutane,Vindpust,Norway,,,,,,,
139,85,,🥈 Silver,Harding Økologiske Sideri,Tørr Harding,Norway,,,,,,,
143,86,,🥈 Silver,HELLELAND GARD,Heldre Tausakjeldo,Norway,,,,,,,
97,87,,🥈 Silver,HORN CIDER,FRIGU*,--,,,,,,,
117,88,,🥈 Silver,HORN CIDER,IDUN*,Denmark,,,,,,,
142,89,,🥈 Silver,Isastegi sagardotegia,Sidra natural Isastegi D.O. premium,Spain,,,,,,,
64,90,,🥈 Silver,Kabiles muižas vīna darītava | Kabile manor winey,"Cider \""Balts\""|\""White\""",Latvia,,,,,,,
105,91,,🥈 Silver,Kabiles muižas vīna darītava | Kabile manor winey,"Cider \""Suitu\""",Latvia,,,,,,,
144,92,,🥈 Silver,Kvestad Sideri AS,Kvestad Issider,Norway,,,,,,,
76,93,,🥈 Silver,Lepola Drinks,Lepola Honey Apple Cyser,Finland,,,,,,,
102,94,,🥈 Silver,Lepola Drinks,Lepola Wild & Free Apple cider,Finland,,,,,,,
90,95,,🥈 Silver,Lien Gård,Livlig Rosésider \nEple & Bringebær 2021,Norway,,,,,,,
109,96,,🥈 Silver,Lindheim Ølkompani,Titania - Frukt by Lindheim,Norway,,,,,,,
115,97,,🥈 Silver,Lingebakken,Utröna,Norway,,,,,,,
67,98,,🥈 Silver,Little Pomona,Little Pomona - Bright Lights 2021,United Kingdom,,,,,,,
86,99,,🥈 Silver,LLAGAR CASTAÑÓN,VALDEBOIDES DOP,Spain,,,,,,,
130,100,,🥈 Silver,Lofthus Ekspedisjon,Opo,Norway,,,,,,,
127,101,,🥈 Silver,Lofthus sideri,Drøs,Norway,,,,,,,
77,102,,🥈 Silver,Megaditta,Livebarrels Brut Nature,Italy,,,,,,,
126,103,,🥈 Silver,Mr.Plume Cidery,"DACE single variety cider, Mr. Plūme sidra darītava",Latvia,,,,,,,
92,104,,🥈 Silver,Mr.Plume Cidery,"Vintage cider 2020, Mr. Plūme sidra darītava",Latvia,,,,,,,
83,105,,🥈 Silver,Mūrbūdu Cider,Aronia cider,Latvia,,,,,,,
68,106,,🥈 Silver,Nude Cider,Nude Cider Classic,Finland,,,,,,,
69,107,,🥈 Silver,Nude Cider,Nude Cider Strong,Finland,,,,,,,
125,108,,🥈 Silver,OIHARTE,Markesa Euskal Sagardo Naturala,Spain,,,,,,,
113,109,,🥈 Silver,OIHARTE,Oiharte fermentada con lúpulo,Spain,,,,,,,
140,110,,🥈 Silver,OIHARTE,Oiharte Haritz Egurrean ondua,Spain,,,,,,,
134,111,,🥈 Silver,Paladues - Bonell Hubert,Paladeus Apfelsecco – Sidro di mela,Italy,,,,,,,
135,112,,🥈 Silver,Petritegi,Aparduna / Petritegi,Spain,,,,,,,
100,113,,🥈 Silver,Pomologik,Aroma,Sweden,,,,,,,
133,114,,🥈 Silver,Pomologik,Cider State of Mind,Sweden,,,,,,,
141,115,,🥈 Silver,Pomologik,Gravensteiner Ice Ice Baby,Sweden,,,,,,,
119,116,,🥈 Silver,Ramborn S.A.,Ramborn Champ-Perry,Luxembourg,,,,,,,
99,117,,🥈 Silver,Sabiles Sidrs,Gardener's Craft Cider - Apple & Quince Sweet,Latvia,,,,,,,
75,118,,🥈 Silver,Sandalen Gård,Rubisider / Sandalen Gård,Norway,,,,,,,
88,119,,🥈 Silver,Sandford Orchards,Sandford Reserve,United Kingdom,,,,,,,
145,120,,🥈 Silver,Sandford Orchards,The General,United Kingdom,,,,,,,
65,121,,🥈 Silver,Sider AS,Fjordsider Frisk Bris,Norway,,,,,,,
124,122,,🥈 Silver,Sider AS,Fjordsider Nordvest,Norway,,,,,,,
148,123,,🥈 Silver,Sider AS,Fjordsider Tind,Norway,,,,,,,
71,124,,🥈 Silver,SIDRA CORTINA,VILLACUBERA,Spain,,,,,,,
116,125,,🥈 Silver,Sidra Somarroza,Biter Bio Somarroza,Spain,,,,,,,
106,126,,🥈 Silver,sidras el lagar de Valleseco,sidra el lagar de Valleseco,Spain,,,,,,,
84,127,,🥈 Silver,SIDRERIA R.ZABALA,R.80 Sagardoa,Spain,,,,,,,
81,128,,🥈 Silver,Skarbø Gard,Skarbø Sider Glød,Norway,,,,,,,
107,129,,🥈 Silver,Skarbø Gard,Skarbø Sider Gravenstein,Norway,,,,,,,
123,130,,🥈 Silver,Solhøi Cider,Ildkvede 2021,Norway,,,,,,,
108,131,,🥈 Silver,Spildegarden,Spilde Raud,Norway,,,,,,,
121,132,,🥈 Silver,Stadin Panimo,White Grape Apple Cider,Finland,,,,,,,
63,133,,🥈 Silver,Store Naa Siderkompani,57/2 - Brudeferd,Norway,,,,,,,
93,134,,🥈 Silver,Tall Ship Craft Cider / Fjordfolk Mikrobryggeri,Tall Ship Craft Cider Kingston Black,Norway,,,,,,,
147,135,,🥈 Silver,Tingvoll Sider AS,Strupstadsider,Norway,,,,,,,
138,136,,🥈 Silver,"VALLE, BALLINA Y FERNANDEZ SA",POMARINA BRUT,Spain,,,,,,,
146,137,,🥈 Silver,Zapiain,Bizi Goxo 2017,Spain,,,,,,,
7,138,,🥉 Bronze,Aga sideri,Lagmann Sider,Norway,,,,,,,
32,139,,🥉 Bronze,Anikonic AS,Aronia,Norway,,,,,,,
61,140,,🥉 Bronze,Artifact Cider Project,Long Way Back,United States,,,,,,,
18,141,,🥉 Bronze,ASTIGARRAGAKO GURUTZETA,Sagardoa Gurutzeta Euskal Sagardoa Bio,Spain,,,,,,,
9,142,,🥉 Bronze,Balholm,Balholm Handverkcider med bær,Norway,,,,,,,
36,143,,🥉 Bronze,BIZIO,Zelaia,Spain,,,,,,,
52,144,,🥉 Bronze,Bjerregaarden,"Cider: Grahams Royal, Lord Lambourne & Sommerset redstreak",Denmark,,,,,,,
54,145,,🥉 Bronze,Bolstad Neverdal Fruktgard,Skjolden Sideri,Norway,,,,,,,
12,146,,🥉 Bronze,Bringebærlandet Andersen,Bringebærlandets Dessertvin 2020,Norway,,,,,,,
49,147,,🥉 Bronze,Brinkhall Sparkling Oy,Baski,Finland,,,,,,,
57,148,,🥉 Bronze,Brinkhall Sparkling Oy,Kuura Ice 2018,Finland,,,,,,,
2,149,,🥉 Bronze,Bugarden,Balian,Norway,,,,,,,
37,150,,🥉 Bronze,Cascina Danesa,Sidro di mele fermo,Italy,,,,,,,
13,151,,🥉 Bronze,Domaine Familil Louis Dupont,Dupont Cidre Triple,France,,,,,,,
6,152,,🥉 Bronze,Dyre Gård v/ Hans Olav Bjerketvedt,Økologisk Eplecider av Santana Eple 2020,Norway,,,,,,,
28,153,,🥉 Bronze,Dyre Gård v/ Hans Olav Bjerketvedt,Økologisk Eplecider av Santana Eple 2021,Norway,,,,,,,
46,154,,🥉 Bronze,Eiane Gard,FYNDIG,Norway,,,,,,,
10,155,,🥉 Bronze,Gardsbrenneriet,Attåt sider plomme og eple,Norway,,,,,,,
34,156,,🥉 Bronze,Grubbestad Gård,Grubbestad Gård AS musserende av bringebær,Norway,,,,,,,
59,157,,🥉 Bronze,Hallonmäen Siideripanimo Oy,HALLON,Finland,,,,,,,
20,158,,🥉 Bronze,Hallvard Sørheim Evjestad,Bringebærvin frå Lyster Fruktvin,Norway,,,,,,,
15,159,,🥉 Bronze,Hämeen ammatti-instituutti,Kollin Poika 2021,Finland,,,,,,,
50,160,,🥉 Bronze,Hämeen ammatti-instituutti,Pärry,Finland,,,,,,,
48,161,,🥉 Bronze,Hardanger Saft og Siderfabrikk AS,Hardangersider Dronning,Norway,,,,,,,
60,162,,🥉 Bronze,Hardanger Saft og Siderfabrikk AS,Hardangersider Tørr,Norway,,,,,,,
56,163,,🥉 Bronze,Harding Økologiske Sideri,Harding Uten Filter,Norway,,,,,,,
21,164,,🥉 Bronze,HELLELAND GARD,Heldre Summerred,Norway,,,,,,,
33,165,,🥉 Bronze,Janus Becker Verkaufsförderungsgesellschaft mbH,JB German Cider 2021,Germany,,,,,,,
27,166,,🥉 Bronze,Kvestad Sideri AS,1808,Norway,,,,,,,
42,167,,🥉 Bronze,Kvestad Sideri AS,Anno,Norway,,,,,,,
4,168,,🥉 Bronze,Lien Gård,Livlig Eplesider Lagret På Eikefat,Norway,,,,,,,
30,169,,🥉 Bronze,Lingebakken,Bakkesider,Norway,,,,,,,
51,170,,🥉 Bronze,Lingebakken,Polisång,Norway,,,,,,,
58,171,,🥉 Bronze,Little Pomona,Little Pomona - Tiny Dancer 2020,United Kingdom,,,,,,,
43,172,,🥉 Bronze,Lofthus sideri,Fjåg,Norway,,,,,,,
17,173,,🥉 Bronze,Megaditta,Livebarrels Sidrera Barrel Aged,Italy,,,,,,,
23,174,,🥉 Bronze,Mr.Plume Cidery,"WILD pet-nat cider, Mr. Plūme sidra darītava",Latvia,,,,,,,
39,175,,🥉 Bronze,Mūrbūdu Cider,Semi-dry cider,Latvia,,,,,,,
14,176,,🥉 Bronze,NeRø Frukt og Sider,NeRø Issider,Norway,,,,,,,
29,177,,🥉 Bronze,NeRø Frukt og Sider,Vill & Villig,Norway,,,,,,,
35,178,,🥉 Bronze,OmCider AS,HULDRA,Norway,,,,,,,
26,179,,🥉 Bronze,Paladues - Bonell Hubert,Paladeus 1979,Italy,,,,,,,
22,180,,🥉 Bronze,Petritegi,Suhar / Petritegi,Spain,,,,,,,
41,181,,🥉 Bronze,Rennsjøen - Villeplet,Villeplet Dugnad 2020,Norway,,,,,,,
5,182,,🥉 Bronze,Sabiles Sidrs,Gardener's Craft Cider - Apple & Blackcurrant Semi-Dry,Latvia,,,,,,,
38,183,,🥉 Bronze,Sent Om cider,Brut 2020,Sweden,,,,,,,
40,184,,🥉 Bronze,SIDRA CORTINA,Cortina Sidra de Hielo,Spain,,,,,,,
16,185,,🥉 Bronze,SIDRAS ABURUZA,Aburuza Euskal Sagardoa,Spain,,,,,,,
55,186,,🥉 Bronze,Skarbø Gard,Skarbø Sider Arvegull,Norway,,,,,,,
8,187,,🥉 Bronze,Stone Circle Cider,Stone Circle Cider - Small Batch Three Sisters QPC,United States,,,,,,,
3,188,,🥉 Bronze,Stone Circle Cider,Stone Circle Cider - Small Batch Yarlington Mill,United States,,,,,,,
24,189,,🥉 Bronze,Tingvoll Sider AS,Gammel-Nesje,Norway,,,,,,,
19,190,,🥉 Bronze,Turkalnes Muižas klēts,Ābolu Sidrs,Latvia,,,,,,,
25,191,,🥉 Bronze,Turkalnes Muižas klēts,Ābolu-Cidoniju Sidrs,Latvia,,,,,,,
47,192,,🥉 Bronze,Turkalnes Muižas klēts,Ābolu-Rabarberu Sidrs,Latvia,,,,,,,
11,193,,🥉 Bronze,Ulvik Frukt & Cideri,Hylleblomsider,Norway,,,,,,,
53,194,,🥉 Bronze,Ulvik Frukt & Cideri,Sider frå Hardanger - Tradisjon,Norway,,,,,,,
45,195,,🥉 Bronze,undefined,Gravenstein,Norway,,,,,,,
44,196,,🥉 Bronze,Urtica (Abuls cidery),Naturālists / Abuls,Latvia,,,,,,,
31,197,,🥉 Bronze,"VALLE, BALLINA Y FERNANDEZ SA",SPRING CIDER APPLE + GRAPE,Spain,,,,,,,
