ID,Year,Class,Award,WID,Entrant,Entry
44,2023,Open Class Medium,🥈 Silver,3151,Southdown Cider,Medium cider
45,2023,Open Class Medium,🥈 Silver,2525,Skyborry Cider & Perry,Court of Noke 2021
46,2023,Open Class Medium,🥈 Silver,2531,Rawlins Family Cider,Medium
47,2023,Open Class Medium,🥈 Silver,3209,Monkey House Cider,See No Evil
48,2023,Open Class Medium,🥈 Silver,3232,Isaac Cider,Alchemy Isaac Cider + Calculus Isaac Cider
49,2023,Open Class Medium,🥈 Silver,3232,Isaac Cider,Alchemy Isaac Cider
50,2023,Open Class Medium,🥈 Silver,X,Broadpool Cider,Oakfield Medium Cider
51,2023,Open Class Medium,🥈 Silver,2428,Branch Cider,Hangdown
52,2023,Open Class Medium,🥈 Silver,3144,Better Cider,Blend A - Orange Top
53,2023,Open Class Medium,🥈 Silver,X,Steve Faulkner,Medium Cider
54,2023,Open Class Medium,🥈 Silver,X,The Orchard,Cattistock Community Cider
55,2023,Open Class Medium,🥈 Silver,3233,Ganley & Naish,Mourning Drop
56,2023,Open Class Medium,🥈 Silver,X,William Barnes,Padfield House Medium Cider
57,2023,Open Class Medium,🥉 Bronze,2379,Smith Hayne Orchards,reserve cider
58,2023,Open Class Medium,🥉 Bronze,3143,Seidr Ci Ddu,Premium whole juice still cider
59,2023,Open Class Medium,🥉 Bronze,2428,Branch Cider,Yarlington
60,2023,Open Class Medium,🥉 Bronze,2428,Branch Cider,Early Harvest
61,2023,Open Class Medium,🥉 Bronze,X,Broadpool Cider,Batcombe Blend
62,2023,Open Class Medium,🥉 Bronze,1108,Somerset Cider Brandy & Burrow Hill Cider,Burrow Hill Draft Medium
63,2023,Open Class Medium,🥉 Bronze,X,The Crest Cyder Company,Golden
64,2023,Open Class Medium,🥉 Bronze,3151,Southdown Cider,Medium cider
65,2023,Open Class Medium,🥉 Bronze,X,Showerings Cider Mill,Showering Medium Cider
66,2023,Open Class Medium,🥉 Bronze,2519,Shed Cider,"Medium Sweet, Sparkling"
67,2023,Open Class Medium,🥉 Bronze,X,Seven Trees Cider,Reading Press
68,2023,Open Class Medium,🥉 Bronze,X,Orchard 101,Bravo
69,2023,Open Class Medium,🥉 Bronze,1243,Sandford Orchards,Sandford Reserve
70,2023,Open Class Medium,🥉 Bronze,X,Seven Trees Cider,Berkshire blend
71,2023,Open Class Medium,🥉 Bronze,1381,Pips Cider,Pips Cider Medium
72,2023,Open Class Sweet,🏆 Best in Class,3250,Dorset Star Cider,Supernova
73,2023,Open Class Sweet,🥇 Gold,1944,Wilding Cider,Ditcheat Hill 2021
74,2023,Open Class Sweet,🥈 Silver,1436,Ventons Devon Cider,Sweet Maid In Devon
75,2023,Open Class Sweet,🥈 Silver,1683,Cranborne Chase Cider,The Whitewigs
76,2023,Open Class Sweet,🥈 Silver,2428,Branch Cider,Bristol Blend
77,2023,Open Class Sweet,🥈 Silver,X,North Down Orchard,Sweet
78,2023,Open Class Sweet,🥉 Bronze,X,The Crest Cyder Company,Milly
79,2023,Open Class Sweet,🥉 Bronze,3151,Southdown Cider,Sweet cider
80,2023,Open Class Sweet,🥉 Bronze,3232,Isaac Cider,Refraction Isaac Cider
81,2023,Open Class Sweet,🥉 Bronze,2428,Branch Cider,Late Harvest
82,2023,Open Class Sweet,🥉 Bronze,X,Showerings Cider Mill,Showering Sweet Cider
83,2023,Open Class Sweet,🥉 Bronze,2520,Palmers Upland Cyder,Cheeky Jackdaw
84,2023,Open Class Sweet,🥉 Bronze,X,Sweeting's Cider,Sweeting's Naturally Sweet Cider
85,2023,Open Class Sweet,🥉 Bronze,X,Steve Faulkner,Sweet Cider
86,2023,Open Class Sweet,🥉 Bronze,X,Moons Cider,Sweet Cider
87,2023,Open Class Sweet,🥉 Bronze,3041,Sisson & Smith,SWEET
88,2023,Iced Cider,🏆 Best in Class,1108,Somerset Cider Brandy & Burrow Hill Cider,Ice Cider
89,2023,Iced Cider,🥈 Silver,X,Chris Hecks,Iced cider
90,2023,Iced Cider,🥈 Silver,1440,West Milton Cider,Milton Ice
91,2023,Iced Cider,🥉 Bronze,3041,Sisson & Smith,ICE CIDER
92,2023,Iced Cider,🥉 Bronze,X,Broadpool Cider,Broadpool Ice Cider
93,2023,Iced Cider,🥉 Bronze,1448,Bere Cider Company,Ice Cider
94,2023,Taste/Presentation,🏆 Best in Class,1683,Cranborne Chase Cider,The Hurdlemaker
95,2023,Taste/Presentation,🥈 Silver,2371,Luke's Cider,Original Sin
96,2023,Taste/Presentation,🥈 Silver,X,Dowding's,"Tower Brue medium cider, still"
97,2023,Taste/Presentation,🥈 Silver,1440,West Milton Cider,Dorset Moonlight
98,2023,Taste/Presentation,🥈 Silver,2512,The Parrett Cider Company,Medium Dry
99,2023,Taste/Presentation,🥈 Silver,2381,Ridge & Furrow Cider,Naturally Sweet
100,2023,Taste/Presentation,🥈 Silver,3208,Stones Cider,Ram of Shepton
101,2023,Taste/Presentation,🥈 Silver,3232,Isaac Cider,Alchemy + Calculus + Anti-gravity Isaac Cider
102,2023,Taste/Presentation,🥉 Bronze,X,Glyders Cider,Medium sweet sparkling
103,2023,Taste/Presentation,🥉 Bronze,X,Dowding's,"Tower Brue dry cider, still"
104,2023,Taste/Presentation,🥉 Bronze,1262,Marshwood Vale Cider,Morgans Sweet
105,2023,Taste/Presentation,🥉 Bronze,X,Moons Cider,Medium Sparkling
106,2023,Taste/Presentation,🥉 Bronze,X,North Down Orchard,Medium
107,2023,Taste/Presentation,🥉 Bronze,X,Wadys Cider,Orchard Rambler
108,2023,Taste/Presentation,🥉 Bronze,X,Watchet Cider Company,Quay Cider
109,2023,Taste/Presentation,🥉 Bronze,X,W-G Cider,W-G Farmhouse Cider
110,2023,Taste/Presentation,🥉 Bronze,X,Dowding's,"Tower Brue dry cider, carbonated"
111,2023,Taste/Presentation,🥉 Bronze,1412,Wilcox Cider,Somerset beauty
112,2023,Taste/Presentation,🥉 Bronze,3233,Ganley & Naish,Hell and high water
113,2023,Taste/Presentation,🥉 Bronze,1409,Dorset Nectar,Old Harry Rocks
114,2023,Taste/Presentation,🥉 Bronze,2144,Courtney's Devon Cider,Devon Dimpsy
115,2023,Taste/Presentation,🥉 Bronze,2784,Ad Astra Cider,Protector
116,2023,Taste/Presentation,🥉 Bronze,2784,Ad Astra Cider,Vulcan
117,2023,Taste/Presentation,🥉 Bronze,2784,Ad Astra Cider,Tornado
118,2023,Taste/Presentation,🥉 Bronze,1262,Marshwood Vale Cider,Browns Apple
119,2023,Taste/Presentation,🥉 Bronze,X,Glyders Cider,Medium dry sparkling
120,2023,Taste/Presentation,🥉 Bronze,X,Wyatts,Wyatts Traditional Dry
121,2023,Taste/Presentation,🥉 Bronze,1449,Harry's Cider,Original
122,2023,Bottle Fermented,🏆 Best in Class,2485,Rull Orchard,Starlight
123,2023,Bottle Fermented,🥇 Gold,1108,Somerset Cider Brandy & Burrow Hill Cider,Stoke Red bottle fermented
124,2023,Bottle Fermented,🥈 Silver,2356,Seidear,Seidear Pitmedden Walled Garden
125,2023,Bottle Fermented,🥈 Silver,1942,Tinston Wines & Ciders,Best 2021
126,2023,Bottle Fermented,🥈 Silver,2356,Seidear,Seidear Haddo Walled garden
127,2023,Bottle Fermented,🥈 Silver,2443,Halfpenny Green Cider,Le Franc
128,2023,Bottle Fermented,🥈 Silver,X,Draig Development,Border Sun Orchard Blend 2021
129,2023,Bottle Fermented,🥈 Silver,2377,Crackington Cider Co.,Tremayna
130,2023,Bottle Fermented,🥈 Silver,2382,Bollhayes Cider,Bollhayes 2019 Traditional Method Cider
131,2023,Bottle Fermented,🥉 Bronze,X,John and Naomi Wakelin,Harromint Sparkling 2022
132,2023,Bottle Fermented,🥉 Bronze,X,Draig Development,Border Sun Orchard Blend 2020
133,2023,Bottle Fermented,🥉 Bronze,2382,Bollhayes Cider,Bollhayes 2018 Traditional Method Cider
134,2023,Bottle Fermented,🥉 Bronze,2379,Smith Hayne Orchards,Methode Traditionelle
135,2023,Keeved Cider,🏆 Best in Class,2531,Rawlins Family Cider,Sweet Keeved
136,2023,Keeved Cider,🥇 Gold,1440,West Milton Cider,Lancombe Rising
137,2023,Keeved Cider,🥇 Gold,X,Benjamin Jaffe - Dinnington Cider Press,Cidre Bouche
138,2023,Keeved Cider,🥈 Silver,1113,Hecks Farmhouse Cider,Keeved Browns Apple
139,2023,Keeved Cider,🥈 Silver,2379,Smith Hayne Orchards,Keeve
140,2023,Keeved Cider,🥈 Silver,1683,Cranborne Chase Cider,Dorsecco
141,2023,Keeved Cider,🥈 Silver,3233,Ganley & Naish,Pastures
142,2023,Keeved Cider,🥉 Bronze,X,Benjamin Jaffe - Dinnington Cider Press,Cidre Bouche - Kingstone Black
143,2023,Keeved Cider,🥉 Bronze,3250,Dorset Star Cider,Singularity Bronze
144,2023,Keeved Cider,🥉 Bronze,3041,Sisson & Smith,KEEVED CIDER
145,2023,Keeved Cider,🥉 Bronze,2531,Rawlins Family Cider,Keeved Yarlington
146,2023,Keeved Cider,🥉 Bronze,2531,Rawlins Family Cider,Dry keeved
147,2023,Keeved Cider,🥉 Bronze,3151,Southdown Cider,Keeved cider
148,2023,Keeved Cider,🥉 Bronze,2356,Seidear,Seidear Ellon Castle Garden
149,2023,Keeved Cider,🥉 Bronze,2443,Halfpenny Green Cider,Gold Guinea
150,2023,Bottle Fermented,🏆 Best in Class,2525,Skyborry Cider & Perry,Rural Method 2018
151,2023,Bottle Fermented,🥇 Gold,3143,Seidr Ci Ddu,Premium whole juice sparkling cider
152,2023,Bottle Fermented,🥉 Bronze,X,Abbey Orchards,Traditional Bottle Conditioned Cider
153,2023,Bottle Fermented,🥉 Bronze,X,Over The Hill Cider,Ronnie & Reggie
154,2023,Bottle Fermented,🥉 Bronze,X,John and Naomi Wakelin,Harromint Sparkling 2023
155,2023,Bottle Fermented,🥉 Bronze,2353,Caledonian Cider Co,Strange Bru
156,2023,Bottle Fermented,🥉 Bronze,2075,Artistraw Cider,Bridstow Nouveau
157,2023,Bottle Fermented,🥉 Bronze,X,Wyatts,Wyatts Bottle Conditioned Sparkling Cider
158,2023,Bottle Fermented,🥉 Bronze,1436,Ventons Devon Cider,Venton's Naturally Sparkling Cyder
159,2023,Single Variety Cider,🏆 Best in Class,1448,Bere Cider Company,Dabinett
160,2023,Single Variety Cider,🥇 Gold,2354,Chapel Sider,Franko
161,2023,Single Variety Cider,🥇 Gold,2428,Branch Cider,Hangdown
162,2023,Single Variety Cider,🥇 Gold,1448,Bere Cider Company,Yarlington Mill
163,2023,Single Variety Cider,🥇 Gold,2485,Rull Orchard,Ashmeads Kernel
164,2023,Single Variety Cider,🥈 Silver,3151,Southdown Cider,Single variety cider
165,2023,Single Variety Cider,🥈 Silver,2531,Rawlins Family Cider,Somerset Redstreak
166,2023,Single Variety Cider,🥈 Silver,X,Canterbury Cider,The Duke
167,2023,Single Variety Cider,🥈 Silver,2520,Palmers Upland Cyder,Strawberry Norman
168,2023,Single Variety Cider,🥈 Silver,X,Steve Faulkner,Yarlington Mill
169,2023,Single Variety Cider,🥈 Silver,1448,Bere Cider Company,Kingston Black
170,2023,Single Variety Cider,🥈 Silver,2428,Branch Cider,Yarlington
171,2023,Single Variety Cider,🥈 Silver,2531,Rawlins Family Cider,Yarlington mill
172,2023,Single Variety Cider,🥉 Bronze,X,Canterbury Cider,Bonagold
173,2023,Single Variety Cider,🥉 Bronze,3151,Southdown Cider,Single variety cider
174,2023,Single Variety Cider,🥉 Bronze,1449,Harry's Cider,Dabinett
175,2023,Single Variety Cider,🥉 Bronze,1113,Hecks Farmhouse Cider,Browns apple single variety
176,2023,Single Variety Cider,🥉 Bronze,1450,Honey's Cider,Brown Snout Single Variety Cider
177,2023,Single Variety Cider,🥉 Bronze,3209,Monkey House Cider,Browns
178,2023,Single Variety Cider,🥉 Bronze,X,North Down Orchard,Stembridge Cluster
179,2023,Single Variety Cider,🥉 Bronze,X,Pagetts Traditional Cider,Dymock red sv
180,2023,Single Variety Cider,🥉 Bronze,X,Paul Rendell,Northleigh cider
181,2023,Single Variety Cider,🥉 Bronze,2379,Smith Hayne Orchards,yarlington mill
182,2023,Single Variety Cider,🥉 Bronze,X,Jon Steadman,Codling Moth (Bramley)
183,2023,Single Variety Cider,🥉 Bronze,1572,Woodredding Farm Cider,Yarlington Mill
184,2023,Single Variety Cider,🥉 Bronze,X,Strangey's Devon Cyder,Kingston Black
185,2023,Single Variety Cider,🥉 Bronze,3209,Monkey House Cider,Yarlington Mill
186,2023,Single Variety Cider,🥉 Bronze,X,Steve Faulkner,Stoke Red
187,2023,Modern Cider,🥈 Silver,3209,Monkey House Cider,Borwell Farm Single Orchard
188,2023,Modern Cider,🥈 Silver,2356,Seidear,Walled Garden
189,2023,Modern Cider,🥉 Bronze,2356,Seidear,Seidear Castle Fraser
190,2023,Modern Cider,🥉 Bronze,X,The Wharie Experience,Side by Cider
191,2023,Modern Cider,🥉 Bronze,X,Over The Hill Cider,Discovery
192,2023,Modern Cider,🥉 Bronze,X,Mount Vale,Orchard cider
193,2023,Modern Cider,🥉 Bronze,X,Abbey Orchards,Traditional Bottle Conditioned Cider
194,2023,Modern Cider,🥉 Bronze,3231,Blackmore Vale Cider,Dessert Cider
195,2023,Modern Cider,🥉 Bronze,2353,Caledonian Cider Co,High and Dry
196,2023,Modern Cider,🥉 Bronze,X,Canterbury Cider,Bonagold
197,2023,Modern Cider,🥉 Bronze,2354,Chapel Sider,Forgotten Orchards
198,2023,Perry Still,🥈 Silver,X,Downside Perry,Special Reserve blended perry 2022
199,2023,Perry Still,🥉 Bronze,X,Molly & Jasmine's Cider,Brida
200,2023,Perry Still,🥉 Bronze,2485,Rull Orchard,PERRYOTE
201,2023,Perry Carbonated,🥈 Silver,1944,Wilding Cider,November
202,2023,Perry Carbonated,🥈 Silver,X,Downside Perry,Champagner Bratbirne SV - Traditional Method
203,2023,Perry Carbonated,🥉 Bronze,X,Downside Perry,Speckbirne SV
204,2023,Perry Carbonated,🥉 Bronze,X,Molly & Jasmine's Cider,Arwen
205,2023,Perry Carbonated,🥉 Bronze,X,Molly & Jasmine's Cider,Galadriel
206,2023,Perry Carbonated,🥉 Bronze,1113,Hecks Farmhouse Cider,Hecks perry
207,2023,Perry Carbonated,🥉 Bronze,2443,Halfpenny Green Cider,Keeved Perry
208,2023,Farmhouse Dry,🏆 Best in Class,2784,Ad Astra Cider,Ad Astra Dry
209,2023,Farmhouse Dry,🥇 Gold,1448,Bere Cider Company,Polden Delicious
210,2023,Farmhouse Dry,🥇 Gold,X,Orchard 101,Tango
211,2023,Farmhouse Dry,🥇 Gold,X,Dowding's,Tower Brue dry cider
212,2023,Farmhouse Dry,🥇 Gold,X,Chris Hecks,Cider
213,2023,Farmhouse Dry,🥇 Gold,X,Moons Cider,Farmhouse Dry Cider
214,2023,Farmhouse Dry,🥇 Gold,X,Orchard 101,Foxtrot
215,2023,Farmhouse Dry,🥇 Gold,X,Glyders Cider,Farmhouse dry
216,2023,Farmhouse Dry,🥈 Silver,X,Lisa Letchford,Letchford's Cyder
217,2023,Farmhouse Dry,🥈 Silver,1243,Sandford Orchards,Dry Farmhouse
218,2023,Farmhouse Dry,🥈 Silver,3041,Sisson & Smith,DRY #1
219,2023,Farmhouse Dry,🥈 Silver,1412,Wilcox Cider,Dry cider
220,2023,Farmhouse Dry,🥈 Silver,X,W-G Cider,W-G Farmhouse Cider
221,2023,Farmhouse Dry,🥈 Silver,1436,Ventons Devon Cider,Skippy's Scrumpy
222,2023,Farmhouse Dry,🥈 Silver,X,Sweeting's Cider,Monument Farmhouse Cider
223,2023,Farmhouse Dry,🥈 Silver,X,Strangey's Devon Cyder,Leg breaker
224,2023,Farmhouse Dry,🥈 Silver,3208,Stones Cider,Stones Dry
225,2023,Farmhouse Dry,🥈 Silver,X,Seven Trees Cider,Orchard Press - DRY
226,2023,Farmhouse Dry,🥈 Silver,X,Paul Rendell,Northleigh cider
227,2023,Farmhouse Dry,🥈 Silver,2520,Palmers Upland Cyder,Cwn Annwn
228,2023,Farmhouse Dry,🥈 Silver,X,Orchard 101,Zulu
229,2023,Farmhouse Dry,🥈 Silver,3209,Monkey House Cider,Spot House Dry
230,2023,Farmhouse Dry,🥈 Silver,1113,Hecks Farmhouse Cider,Dry
231,2023,Farmhouse Dry,🥈 Silver,3041,Sisson & Smith,Dry #1
232,2023,Farmhouse Dry,🥈 Silver,X,Hayloft,Hayloft
233,2023,Farmhouse Dry,🥈 Silver,X,Benjamin Jaffe - Dinnington Cider Press,Dragonfly Cider
234,2023,Farmhouse Dry,🥈 Silver,X,Hayloft,Hayloft
235,2023,Farmhouse Dry,🥈 Silver,X,Gabe Cook,Dymock Delight
236,2023,Farmhouse Dry,🥈 Silver,1409,Dorset Nectar,Farmhouse Dry
237,2023,Farmhouse Dry,🥈 Silver,1448,Bere Cider Company,Gold Rush
238,2023,Farmhouse Dry,🥈 Silver,3231,Blackmore Vale Cider,Traditional Farmhouse Dry Cider
239,2023,Farmhouse Dry,🥈 Silver,X,Chris Hecks,Cider
240,2023,Farmhouse Dry,🥈 Silver,X,John and Naomi Wakelin,Harromint Dry Farmhouse
241,2023,Farmhouse Dry,🥉 Bronze,X,Strangey's Devon Cyder,Devon Vintage Dry
242,2023,Farmhouse Dry,🥉 Bronze,2512,The Parrett Cider Company,Parrett Standard
243,2023,Farmhouse Dry,🥉 Bronze,X,The Crest Cyder Company,Traditional
244,2023,Farmhouse Dry,🥉 Bronze,2531,Rawlins Family Cider,Dry
245,2023,Farmhouse Dry,🥉 Bronze,2382,Bollhayes Cider,Bollhayes Still Dry Cider
246,2023,Farmhouse Dry,🥉 Bronze,X,Moons Cider,Farmhouse Dry Cider
247,2023,Farmhouse Dry,🥉 Bronze,3231,Blackmore Vale Cider,Traditional Farmhouse Dry Cider
248,2023,Farmhouse Dry,🥉 Bronze,X,Mark Palfrey & Jonathan Pepper,Rydon Farm Cider
249,2023,Farmhouse Dry,🥉 Bronze,X,Strangey's Devon Cyder,Devon Dangler
250,2023,Farmhouse Dry,🥉 Bronze,X,Pontymeddyg Cider,Doctors' Orders
251,2023,Farmhouse Dry,🥉 Bronze,3151,Southdown Cider,Dry farmhouse cider
252,2023,Farmhouse Dry,🥉 Bronze,X,Shed Cider,dry Still
253,2023,Farmhouse Dry,🥉 Bronze,X,Chris Hecks,Cider
254,2023,Farmhouse Medium,🏆 Best in Class,3041,Sisson & Smith,Medium #1
255,2023,Farmhouse Medium,🥈 Silver,2382,Bollhayes Cider,Bollhayes Still Medium Cider
256,2023,Farmhouse Medium,🥈 Silver,1683,Cranborne Chase Cider,Farmhouse Medium
257,2023,Farmhouse Medium,🥈 Silver,1436,Ventons Devon Cider,Apple Vice
258,2023,Farmhouse Medium,🥈 Silver,X,The Crest Cyder Company,Golden
259,2023,Farmhouse Medium,🥈 Silver,3151,Southdown Cider,Medium farmhouse cider
260,2023,Farmhouse Medium,🥈 Silver,3151,Southdown Cider,Medium farmhouse cider
261,2023,Farmhouse Medium,🥈 Silver,X,Seven Trees Cider,Orchard Press - MEDIUM
262,2023,Farmhouse Medium,🥈 Silver,2520,Palmers Upland Cyder,Little Jenny Wren
263,2023,Farmhouse Medium,🥈 Silver,2428,Branch Cider,Early Drop
264,2023,Farmhouse Medium,🥈 Silver,X,Chris Hecks,Cider
265,2023,Farmhouse Medium,🥈 Silver,3041,Sisson & Smith,MEDIUM #1
266,2023,Farmhouse Medium,🥈 Silver,2144,Courtney's Devon Cider,Silly Cow Cider
267,2023,Farmhouse Medium,🥈 Silver,3231,Blackmore Vale Cider,Traditional Farmhouse Medium Cider
268,2023,Farmhouse Medium,🥈 Silver,X,Benjamin Jaffe - Dinnington Cider Press,Dragonfly Cider
269,2023,Farmhouse Medium,🥉 Bronze,X,Chris Hecks,Cider
270,2023,Farmhouse Medium,🥉 Bronze,3231,Blackmore Vale Cider,Traditional Farmhouse Medium Cider
271,2023,Farmhouse Medium,🥉 Bronze,X,Strangey's Devon Cyder,Devon lovely
272,2023,Farmhouse Medium,🥉 Bronze,X,Strangey's Devon Cyder,Devon Ansome
273,2023,Farmhouse Medium,🥉 Bronze,X,Strangey's Devon Cyder,Devon Special Medium
274,2023,Farmhouse Medium,🥉 Bronze,1243,Sandford Orchards,Medium Farmhouse
275,2023,Farmhouse Medium,🥉 Bronze,2381,Ridge & Furrow Cider,Naturally Medium
276,2023,Farmhouse Medium,🥉 Bronze,2531,Rawlins Family Cider,Medium
277,2023,Farmhouse Medium,🥉 Bronze,X,Orchard 101,Alpha Papa
278,2023,Farmhouse Medium,🥉 Bronze,X,Moons Cider,Medium Cider
279,2023,Farmhouse Medium,🥉 Bronze,X,Moons Cider,Medium Cider
280,2023,Farmhouse Medium,🥉 Bronze,X,John and Naomi Wakelin,Farmhouse Medium - OC16
281,2023,Farmhouse Medium,🥉 Bronze,X,Dowding's,Tower Brue medium cider
282,2023,Farmhouse Medium,🥉 Bronze,3250,Dorset Star Cider,Stargazer
283,2023,Farmhouse Sweet,🏆 Best in Class,1944,Wilding Cider,Burlands Sweet
284,2023,Farmhouse Sweet,🥇 Gold,2144,Courtney's Devon Cider,Whimple Orchards
285,2023,Farmhouse Sweet,🥇 Gold,2381,Ridge & Furrow Cider,Naturally Sweet
286,2023,Farmhouse Sweet,🥇 Gold,2531,Rawlins Family Cider,Sweet
287,2023,Farmhouse Sweet,🥇 Gold,3250,Dorset Star Cider,Sunset
288,2023,Farmhouse Sweet,🥇 Gold,2381,Ridge & Furrow Cider,Naturally Sweet
289,2023,Farmhouse Sweet,🥇 Gold,3041,Sisson & Smith,SWEET #1
290,2023,Farmhouse Sweet,🥈 Silver,X,Strangey's Devon Cyder,Devon Booty
291,2023,Farmhouse Sweet,🥈 Silver,X,Strangey's Devon Cyder,Strangey's Special Sweet
292,2023,Farmhouse Sweet,🥈 Silver,1243,Sandford Orchards,Sweet Farmhouse
293,2023,Farmhouse Sweet,🥈 Silver,3151,Southdown Cider,Sweet farmhouse cider
294,2023,Farmhouse Sweet,🥈 Silver,3041,Sisson & Smith,Sweet #1
295,2023,Farmhouse Sweet,🥈 Silver,X,Moons Cider,Farmhouse Sweet Cider
296,2023,Farmhouse Sweet,🥈 Silver,1436,Ventons Devon Cider,Sweet Maid In Devon
297,2023,Farmhouse Sweet,🥈 Silver,X,Strangey's Devon Cyder,Vintage Devon Sweet
298,2023,Farmhouse Sweet,🥈 Silver,2428,Branch Cider,Yada
299,2023,Farmhouse Sweet,🥈 Silver,X,The Crest Cyder Company,Milly
300,2023,Farmhouse Sweet,🥈 Silver,2520,Palmers Upland Cyder,Cheeky Jackdaw
301,2023,Farmhouse Sweet,🥉 Bronze,1954,West Croft Cider,Sweet
302,2023,Farmhouse Sweet,🥉 Bronze,X,Benjamin Jaffe - Dinnington Cider Press,Dragonfly Cider
303,2023,Farmhouse Sweet,🥉 Bronze,X,Sweeting's Cider,Sweeting's Sweet Cider
304,2023,Farmhouse Sweet,🥉 Bronze,1113,Hecks Farmhouse Cider,Sweet
305,2023,Farmhouse Sweet,🥉 Bronze,1683,Cranborne Chase Cider,Farmhouse Sweet
306,2023,Farmhouse Sweet,🥉 Bronze,2428,Branch Cider,Late Drop
307,2023,Farmhouse Sweet,🥉 Bronze,2428,Branch Cider,Hangman
308,2023,Farmhouse Sweet,🥉 Bronze,2382,Bollhayes Cider,Bollhayes Still Sweet Cider
309,2023,Farmhouse Sweet,🥉 Bronze,3231,Blackmore Vale Cider,Traditional Farmhouse Sweet Cider
310,2023,Farmhouse Sweet,🥉 Bronze,3231,Blackmore Vale Cider,Traditional Farmhouse Sweet Cider
311,2023,Farmhouse Sweet,🥉 Bronze,2519,Shed Cider,Sweet Still
312,2023,Newcomer Award,🏆 Best in Class,X,Lewis Henry,Glasshouse White
313,2023,Newcomer Award,🥇 Gold,X,William Barnes,Padfield House Sweet Cider
