ID,Style,Award,Entrant_Original,Entrant,Entry,WID,Website,Facebook,Instagram,Google,TripAdvisor,Untappd,Latitude,Longitude
29,Open Class Dry,🥉 Bronze,Mark Palfrey & Jonathan Pepper,Mark Palfrey & Jonathan Pepper,Rydon Farm Cider,,,,,,,,,
30,Open Class Dry,🥉 Bronze,Rawlins Family Cider,Rawlins Family Cider,Dry bottle,2531,https://www.rawlinsfamilycider.co.uk/,,https://www.instagram.com/rawlins_family_cider/,,,https://untappd.com/w/rawlins-family-cider/455388,50.9300166,-2.9585196
31,Open Class Dry,🥉 Bronze,Tor Cider Company,The Tor Cider Company,Fenny Castle Vintage Reserve Dry Cider,3141,https://www.torcider.co.uk/,,https://www.instagram.com/torcider/,https://maps.google.com/?cid=14850884087729122374,,https://untappd.com/w/the-tor-cider-company/264398,51.2014375,-2.7007651
32,Open Class Dry,🥉 Bronze,Udders Orchard Cider,Udders Orchard Cider,Luddite,1305,https://www.uddersorchardcider.co.uk/,https://www.facebook.com/uddersorchardcider/,https://www.instagram.com/uddersorchardcider/,https://maps.google.com/?cid=6626754989867518062,,https://untappd.com/UddersOrchard,53.6578598,-1.8206154
33,Open Class Dry,🥉 Bronze,Orchard 101,Orchard 101,Delta,,,,,,,,,
34,Open Class Dry,🥉 Bronze,Ad Astra Cider,Ad Astra Cider,Hurricane,2784,https://adastracider.com/,https://www.facebook.com/adastracider,https://www.instagram.com/ad_astra_cider/,https://maps.google.com/?cid=9771495525386244918,,https://untappd.com/AdAstraCiderCo,51.2574922,-2.8528453
35,Open Class Dry,🥉 Bronze,William Barnes,William Barnes,Padfield House Dry Cider,,,,,,,,,
36,Open Class Dry,🥉 Bronze,W-G Cider,W-G Cider,W-G Farmhouse Cider,,,,,,,,,
37,Open Class Medium,🏆 Best in Class,North Down Orchard,North Down Orchard,Medium,,,,,,,,,
38,Open Class Medium,🥇 Gold,Jonathan Marsden,Jonathan Marsden,Draycott Farm Cider,,,,,,,,,
39,Open Class Medium,🥇 Gold,Bere Cider Company,Bere Cider Company,Turnhill Sunrise,1448,https://www.berecidercompany.com/,https://www.facebook.com/BereCiderCompany/,https://www.instagram.com/berecidercompany,https://maps.google.com/?cid=12375160692646889429,https://www.tripadvisor.com/Attraction_Review-g663809-d8367995,https://untappd.com/BereCiderCompany,51.0774,-2.847342
40,Open Class Medium,🥇 Gold,Bere Cider Company,Bere Cider Company,5 Acres,1448,https://www.berecidercompany.com/,https://www.facebook.com/BereCiderCompany/,https://www.instagram.com/berecidercompany,https://maps.google.com/?cid=12375160692646889429,https://www.tripadvisor.com/Attraction_Review-g663809-d8367995,https://untappd.com/BereCiderCompany,51.0774,-2.847342
41,Open Class Medium,🥇 Gold,Broadpool Cider,Broadpool Cider,Broadpool Medium Cider,,,,,,,,,
42,Open Class Medium,🥇 Gold,Luke's Cider,Luke's Cider,Original Sin,2371,https://www.lukescider.com/,https://www.facebook.com/lukescider/,https://www.instagram.com/lukescider/,https://maps.google.com/?cid=3087204132532898241,,https://untappd.com/w/luke-s-cider/395593,51.5885574,-0.0044107
43,Open Class Medium,🥈 Silver,Venton's Devon Cyder,Ventons Devon Cider,Apple Vice,1436,https://ventons.co.uk/,https://www.facebook.com/VentonsDevonCyder,https://www.instagram.com/ventons_devon_cyder/,https://maps.google.com/?cid=13221987803001183957,,https://untappd.com/w/ventons-devon-cyder/224676,50.7917746,-3.3784493
44,Open Class Medium,🥈 Silver,Southdown Cider,Southdown Cider,Medium cider,3151,https://www.southdowncider.com/,,,https://maps.google.com/?cid=959682121658362452,,https://untappd.com/w/southdown-cider/364805,51.0761907,-2.4546243
45,Open Class Medium,🥈 Silver,Skyborry Cider & Perry,Skyborry Cider & Perry,Court of Noke 2021,2525,https://skyborrycider.co.uk/,,https://www.instagram.com/skyborrycider/,,,https://untappd.com/w/skyborry/117846,52.3555786,-3.0633831
46,Open Class Medium,🥈 Silver,Rawlins Family Cider,Rawlins Family Cider,Medium,2531,https://www.rawlinsfamilycider.co.uk/,,https://www.instagram.com/rawlins_family_cider/,,,https://untappd.com/w/rawlins-family-cider/455388,50.9300166,-2.9585196
47,Open Class Medium,🥈 Silver,Monkey House Cider,Monkey House Cider,See No Evil,3209,https://www.monkeyhousecider.co.uk/,https://www.facebook.com/Monkeyhouseciderberwick/,https://www.instagram.com/monkeyhousecider/,https://maps.google.com/?cid=9384746937899899122,,https://untappd.com/w/monkey-house-cider/497477,55.7867682,-2.017275
48,Open Class Medium,🥈 Silver,Coombe Down Orchards,Isaac Cider,Alchemy Isaac Cider + Calculus Isaac Cider,3232,https://isaaccider.com/,https://www.facebook.com/isaaccider,https://www.instagram.com/isaaccider/,https://maps.google.com/?cid=8020850171828378197,,https://untappd.com/w/isaac-cider/494581,50.7983703,-2.7396283
49,Open Class Medium,🥈 Silver,Coombe Down Orchards,Isaac Cider,Alchemy Isaac Cider,3232,https://isaaccider.com/,https://www.facebook.com/isaaccider,https://www.instagram.com/isaaccider/,https://maps.google.com/?cid=8020850171828378197,,https://untappd.com/w/isaac-cider/494581,50.7983703,-2.7396283
50,Open Class Medium,🥈 Silver,Broadpool Cider,Broadpool Cider,Oakfield Medium Cider,,,,,,,,,
51,Open Class Medium,🥈 Silver,Branch,Branch Cider,Hangdown,2428,https://www.branchcider.com/,https://www.facebook.com/branchciderco,https://www.instagram.com/branchciderco/,,,https://untappd.com/w/branch-cider/522797,51.46694615,-2.554391254
52,Open Class Medium,🥈 Silver,BetterCider - Bristol University,Better Cider,Blend A - Orange Top,3144,https://www.bristol.ac.uk/external-estate/fenswoodfarm/better-cider/,,https://www.instagram.com/bettercider/,,,,51.4239139,-2.6716687
53,Open Class Medium,🥈 Silver,Steve Faulkner,Steve Faulkner,Medium Cider,,,,,,,,,
54,Open Class Medium,🥈 Silver,The Orchard,The Orchard,Cattistock Community Cider,,,,,,,,,
55,Open Class Medium,🥈 Silver,Ganley & Naish,Ganley & Naish,Mourning Drop,3233,https://www.ganleyandnaish.co.uk/,https://www.facebook.com/ganleynaishcider/,https://www.instagram.com/ganleynaishcider/,,,https://untappd.com/GanleyNaish,51.4174659,-2.8389317
56,Open Class Medium,🥈 Silver,William Barnes,William Barnes,Padfield House Medium Cider,,,,,,,,,
57,Open Class Medium,🥉 Bronze,Smith Hayne Cider,Smith Hayne Orchards,reserve cider,2379,https://www.smithhayneorchards.com/,,https://www.instagram.com/smithhayneorchards/,,,https://untappd.com/w/smith-hayne-orchards/423976,50.8467991,-3.6107881
58,Open Class Medium,🥉 Bronze,Seidr Ci Ddu,Seidr Ci Ddu,Premium whole juice still cider,3143,https://www.ciddu.co.uk/,,,https://maps.google.com/?cid=13600510542486755126,,https://untappd.com/w/seidr-ci-ddu/544489,51.8844105,-5.1526903
59,Open Class Medium,🥉 Bronze,Branch,Branch Cider,Yarlington,2428,https://www.branchcider.com/,https://www.facebook.com/branchciderco,https://www.instagram.com/branchciderco/,,,https://untappd.com/w/branch-cider/522797,51.46694615,-2.554391254
60,Open Class Medium,🥉 Bronze,Branch,Branch Cider,Early Harvest,2428,https://www.branchcider.com/,https://www.facebook.com/branchciderco,https://www.instagram.com/branchciderco/,,,https://untappd.com/w/branch-cider/522797,51.46694615,-2.554391254
61,Open Class Medium,🥉 Bronze,Broadpool Cider,Broadpool Cider,Batcombe Blend,,,,,,,,,
62,Open Class Medium,🥉 Bronze,Burrow Hill Cider,Somerset Cider Brandy & Burrow Hill Cider,Burrow Hill Draft Medium,1108,https://www.somersetciderbrandy.com/,https://www.facebook.com/ciderbrandy,https://www.instagram.com/somersetciderbrandy/,https://maps.google.com/?cid=7367344989762198966,https://www.tripadvisor.com/Attraction_Review-g1096546-d549720,https://untappd.com/brewery/34566,50.9761647,-2.8350436
63,Open Class Medium,🥉 Bronze,The Crest Cyder Company,The Crest Cyder Company,Golden,,,,,,,,,
64,Open Class Medium,🥉 Bronze,Southdown Cider,Southdown Cider,Medium cider,3151,https://www.southdowncider.com/,,,https://maps.google.com/?cid=959682121658362452,,https://untappd.com/w/southdown-cider/364805,51.0761907,-2.4546243
65,Open Class Medium,🥉 Bronze,Showerings Cider Mill,Showerings Cider Mill,Showering Medium Cider,,,,,,,,,
66,Open Class Medium,🥉 Bronze,Shed Cider,Shed Cider,"Medium Sweet, Sparkling",2519,https://www.shedcider.com/,https://www.facebook.com/p/Shed-Cider-100054294351085/,https://www.instagram.com/shed.cider/,,,https://untappd.com/w/shed-cider/415161,51.3767088,-2.0331744
67,Open Class Medium,🥉 Bronze,Seven Trees Cider,Seven Trees Cider,Reading Press,,,,,,,,,
68,Open Class Medium,🥉 Bronze,Orchard 101,Orchard 101,Bravo,,,,,,,,,
69,Open Class Medium,🥉 Bronze,Sandford Orchards,Sandford Orchards,Sandford Reserve,1243,https://www.sandfordorchards.co.uk/,https://www.facebook.com/sandfordorchards,https://www.instagram.com/sandfordorchards/,https://maps.google.com/?cid=2784404680033020235,https://www.tripadvisor.com/Attraction_Review-g635675-d14758900,https://untappd.com/brewery/14080,50.7886749,-3.6453966
70,Open Class Medium,🥉 Bronze,Seven Trees Cider,Seven Trees Cider,Berkshire blend,,,,,,,,,
71,Open Class Medium,🥉 Bronze,Pips Cider,Pips Cider,Pips Cider Medium,1381,http://www.pipscider.com/,https://www.facebook.com/PipsCider,https://www.instagram.com/pipscider/,https://maps.google.com/?cid=16039788259014934478,,https://untappd.com/w/pips-cider-limited/159027,52.0666607,-3.0090619
72,Open Class Sweet,🏆 Best in Class,Dorset Star Cider,Dorset Star Cider,Supernova,3250,https://www.dorsetstar.co.uk/,https://www.facebook.com/DorsetStar/,https://www.instagram.com/dorset_star/,https://maps.google.com/?cid=951721413982442802,https://www.tripadvisor.com/Attraction_Review-g186263-d25166976,https://untappd.com/w/dorset-star/220602,50.8035763,-2.5758241
73,Open Class Sweet,🥇 Gold,Wilding Cider,Wilding Cider,Ditcheat Hill 2021,1944,https://www.wildingcider.co.uk/,,https://www.instagram.com/wildingcider/,https://maps.google.com/?cid=14126504367716389024,,https://untappd.com/w/wilding-cider/465253,51.3700711,-2.6290771
74,Open Class Sweet,🥈 Silver,Venton's Devon Cyder,Ventons Devon Cider,Sweet Maid In Devon,1436,https://ventons.co.uk/,https://www.facebook.com/VentonsDevonCyder,https://www.instagram.com/ventons_devon_cyder/,https://maps.google.com/?cid=13221987803001183957,,https://untappd.com/w/ventons-devon-cyder/224676,50.7917746,-3.3784493
75,Open Class Sweet,🥈 Silver,Cranborne Chase Cider - Bill Meaden,Cranborne Chase Cider,The Whitewigs,1683,https://cranbornechasecider.co.uk/,https://www.facebook.com/cranbornechasecider,https://www.instagram.com/cranborne_chase_cider/,https://maps.google.com/?cid=11691295207635124730,,https://untappd.com/w/cranborne-chase/146534,50.9277495,-2.0397072
76,Open Class Sweet,🥈 Silver,Branch,Branch Cider,Bristol Blend,2428,https://www.branchcider.com/,https://www.facebook.com/branchciderco,https://www.instagram.com/branchciderco/,,,https://untappd.com/w/branch-cider/522797,51.46694615,-2.554391254
77,Open Class Sweet,🥈 Silver,North Down Orchard,North Down Orchard,Sweet,,,,,,,,,
78,Open Class Sweet,🥉 Bronze,The Crest Cyder Company,The Crest Cyder Company,Milly,,,,,,,,,
79,Open Class Sweet,🥉 Bronze,Southdown Cider,Southdown Cider,Sweet cider,3151,https://www.southdowncider.com/,,,https://maps.google.com/?cid=959682121658362452,,https://untappd.com/w/southdown-cider/364805,51.0761907,-2.4546243
80,Open Class Sweet,🥉 Bronze,Coombe Down Orchards,Isaac Cider,Refraction Isaac Cider,3232,https://isaaccider.com/,https://www.facebook.com/isaaccider,https://www.instagram.com/isaaccider/,https://maps.google.com/?cid=8020850171828378197,,https://untappd.com/w/isaac-cider/494581,50.7983703,-2.7396283
81,Open Class Sweet,🥉 Bronze,Branch,Branch Cider,Late Harvest,2428,https://www.branchcider.com/,https://www.facebook.com/branchciderco,https://www.instagram.com/branchciderco/,,,https://untappd.com/w/branch-cider/522797,51.46694615,-2.554391254
82,Open Class Sweet,🥉 Bronze,Showerings Cider Mill,Showerings Cider Mill,Showering Sweet Cider,,,,,,,,,
83,Open Class Sweet,🥉 Bronze,Palmers Upland Cyder,Palmers Upland Cyder,Cheeky Jackdaw,2520,https://www.palmersuplandcyder.co.uk/,https://www.facebook.com/palmersuplandcyder/,https://www.instagram.com/palmers_upland_cyder/,,,https://untappd.com/w/palmers-upland-cyder/66238,51.591654,-3.0551443
84,Open Class Sweet,🥉 Bronze,Sweeting's Cider,Sweeting's Cider,Sweeting's Naturally Sweet Cider,,,,,,,,,
85,Open Class Sweet,🥉 Bronze,Steve Faulkner,Steve Faulkner,Sweet Cider,,,,,,,,,
86,Open Class Sweet,🥉 Bronze,Moons Cider,Moons Cider,Sweet Cider,,,,,,,,,
87,Open Class Sweet,🥉 Bronze,Alistair Smith,Sisson & Smith,SWEET,3041,,,,,,https://untappd.com/w/sisson-smith/229581,53.018115,-1.308544
88,Iced Cider,🏆 Best in Class,Burrow Hill Cider,Somerset Cider Brandy & Burrow Hill Cider,Ice Cider,1108,https://www.somersetciderbrandy.com/,https://www.facebook.com/ciderbrandy,https://www.instagram.com/somersetciderbrandy/,https://maps.google.com/?cid=7367344989762198966,https://www.tripadvisor.com/Attraction_Review-g1096546-d549720,https://untappd.com/brewery/34566,50.9761647,-2.8350436
89,Iced Cider,🥈 Silver,Chris Hecks,Chris Hecks,Iced cider,,,,,,,,,
90,Iced Cider,🥈 Silver,West Milton Cider Co,West Milton Cider,Milton Ice,1440,https://westmiltoncider.co.uk/,https://www.facebook.com/WestMiltonCiderCo,,https://maps.google.com/?cid=2378994117010753202,,https://untappd.com/w/west-milton-cider-co/132014,50.7649869,-2.7105286
91,Iced Cider,🥉 Bronze,Alistair Smith,Sisson & Smith,ICE CIDER,3041,,,,,,https://untappd.com/w/sisson-smith/229581,53.018115,-1.308544
92,Iced Cider,🥉 Bronze,Broadpool Cider,Broadpool Cider,Broadpool Ice Cider,,,,,,,,,
93,Iced Cider,🥉 Bronze,Bere Cider Company,Bere Cider Company,Ice Cider,1448,https://www.berecidercompany.com/,https://www.facebook.com/BereCiderCompany/,https://www.instagram.com/berecidercompany,https://maps.google.com/?cid=12375160692646889429,https://www.tripadvisor.com/Attraction_Review-g663809-d8367995,https://untappd.com/BereCiderCompany,51.0774,-2.847342
94,Taste/Presentation,🏆 Best in Class,Cranborne Chase Cider - Bill Meaden,Cranborne Chase Cider,The Hurdlemaker,1683,https://cranbornechasecider.co.uk/,https://www.facebook.com/cranbornechasecider,https://www.instagram.com/cranborne_chase_cider/,https://maps.google.com/?cid=11691295207635124730,,https://untappd.com/w/cranborne-chase/146534,50.9277495,-2.0397072
95,Taste/Presentation,🥈 Silver,Luke's Cider,Luke's Cider,Original Sin,2371,https://www.lukescider.com/,https://www.facebook.com/lukescider/,https://www.instagram.com/lukescider/,https://maps.google.com/?cid=3087204132532898241,,https://untappd.com/w/luke-s-cider/395593,51.5885574,-0.0044107
96,Taste/Presentation,🥈 Silver,Dowding's,Dowding's,"Tower Brue medium cider, still",,,,,,,,,
97,Taste/Presentation,🥈 Silver,West Milton Cider Co,West Milton Cider,Dorset Moonlight,1440,https://westmiltoncider.co.uk/,https://www.facebook.com/WestMiltonCiderCo,,https://maps.google.com/?cid=2378994117010753202,,https://untappd.com/w/west-milton-cider-co/132014,50.7649869,-2.7105286
98,Taste/Presentation,🥈 Silver,The Parrett Cider Company,The Parrett Cider Company,Medium Dry,2512,https://www.parrettcider.co.uk/,https://www.facebook.com/ParrettCider/,https://www.instagram.com/parrettcider/,,,https://untappd.com/w/the-parrett-cider-company/505123,50.9775999,-2.8194549
99,Taste/Presentation,🥈 Silver,Ridge & Furrow Cider,Ridge & Furrow Cider,Naturally Sweet,2381,https://ridgeandfurrowcider.co.uk/,,,https://maps.google.com/?cid=5958769938793720344,,https://untappd.com/w/ridge-and-furrow/335457,50.8382205,-3.3756164
100,Taste/Presentation,🥈 Silver,Stones Cider,Stones Cider,Ram of Shepton,3208,https://www.stonescider.co.uk/,https://www.facebook.com/stonescider,,,,https://untappd.com/w/stone-s-cider/127537,51.1912319,-2.5590563
101,Taste/Presentation,🥈 Silver,Coombe Down Orchards,Isaac Cider,Alchemy + Calculus + Anti-gravity Isaac Cider,3232,https://isaaccider.com/,https://www.facebook.com/isaaccider,https://www.instagram.com/isaaccider/,https://maps.google.com/?cid=8020850171828378197,,https://untappd.com/w/isaac-cider/494581,50.7983703,-2.7396283
102,Taste/Presentation,🥉 Bronze,Glyders Cider,Glyders Cider,Medium sweet sparkling,,,,,,,,,
103,Taste/Presentation,🥉 Bronze,Dowding's,Dowding's,"Tower Brue dry cider, still",,,,,,,,,
104,Taste/Presentation,🥉 Bronze,Marshwood Vale Cider,Marshwood Vale Cider,Morgans Sweet,1262,https://www.marshwoodvalecider.com/,https://www.facebook.com/MarshwoodValeCider/,,https://maps.google.com/?cid=3062253782181970531,,,50.8337059,-2.8658361
105,Taste/Presentation,🥉 Bronze,Moons Cider,Moons Cider,Medium Sparkling,,,,,,,,,
106,Taste/Presentation,🥉 Bronze,North Down Orchard,North Down Orchard,Medium,,,,,,,,,
107,Taste/Presentation,🥉 Bronze,Wadys Cider Ltd,Wadys Cider,Orchard Rambler,,,,,,,,,
108,Taste/Presentation,🥉 Bronze,Watchet Cider Company,Watchet Cider Company,Quay Cider,,,,,,,,,
109,Taste/Presentation,🥉 Bronze,W-G Cider,W-G Cider,W-G Farmhouse Cider,,,,,,,,,
110,Taste/Presentation,🥉 Bronze,Dowding's,Dowding's,"Tower Brue dry cider, carbonated",,,,,,,,,
111,Taste/Presentation,🥉 Bronze,Wilcox Cider,Wilcox Cider,Somerset beauty,1412,,https://www.facebook.com/wilcoxcider,,,,https://untappd.com/w/wilcox-cider/190406,51.3191917,-2.8074406
112,Taste/Presentation,🥉 Bronze,Ganley & Naish,Ganley & Naish,Hell and high water,3233,https://www.ganleyandnaish.co.uk/,https://www.facebook.com/ganleynaishcider/,https://www.instagram.com/ganleynaishcider/,,,https://untappd.com/GanleyNaish,51.4174659,-2.8389317
113,Taste/Presentation,🥉 Bronze,Dorset Nectar,Dorset Nectar,Old Harry Rocks,1409,https://dorsetnectar.co.uk/,https://www.facebook.com/dorsetnectarcider,https://www.instagram.com/dorsetnectarciderco/,https://maps.google.com/?cid=12382606142379540152,https://www.tripadvisor.com/Attraction_Review-g551706-d7075524,https://untappd.com/w/dorset-nectar/33352,50.7729194,-2.7556888
114,Taste/Presentation,🥉 Bronze,Courtney's Cider,Courtney's Devon Cider,Devon Dimpsy,2144,https://courtneys.online/,https://www.facebook.com/courtneysdrinks/,,https://maps.google.com/?cid=15697263033877967876,,,50.8650481,-3.225626
115,Taste/Presentation,🥉 Bronze,Ad Astra Cider,Ad Astra Cider,Protector,2784,https://adastracider.com/,https://www.facebook.com/adastracider,https://www.instagram.com/ad_astra_cider/,https://maps.google.com/?cid=9771495525386244918,,https://untappd.com/AdAstraCiderCo,51.2574922,-2.8528453
116,Taste/Presentation,🥉 Bronze,Ad Astra Cider,Ad Astra Cider,Vulcan,2784,https://adastracider.com/,https://www.facebook.com/adastracider,https://www.instagram.com/ad_astra_cider/,https://maps.google.com/?cid=9771495525386244918,,https://untappd.com/AdAstraCiderCo,51.2574922,-2.8528453
117,Taste/Presentation,🥉 Bronze,Ad Astra Cider,Ad Astra Cider,Tornado,2784,https://adastracider.com/,https://www.facebook.com/adastracider,https://www.instagram.com/ad_astra_cider/,https://maps.google.com/?cid=9771495525386244918,,https://untappd.com/AdAstraCiderCo,51.2574922,-2.8528453
118,Taste/Presentation,🥉 Bronze,Marshwood Vale Cider,Marshwood Vale Cider,Browns Apple,1262,https://www.marshwoodvalecider.com/,https://www.facebook.com/MarshwoodValeCider/,,https://maps.google.com/?cid=3062253782181970531,,,50.8337059,-2.8658361
119,Taste/Presentation,🥉 Bronze,Glyders Cider,Glyders Cider,Medium dry sparkling,,,,,,,,,
120,Taste/Presentation,🥉 Bronze,Wyatts,Wyatts,Wyatts Traditional Dry,,,,,,,,,
121,Taste/Presentation,🥉 Bronze,Harry's Cider Company,Harry's Cider,Original,1449,https://www.harryscidercompany.co.uk/,https://www.facebook.com/harryscider/,https://www.instagram.com/harrys_cider/,https://maps.google.com/?cid=8158521266898778933,https://www.tripadvisor.com/Attraction_Review-g663809-d15201249,https://untappd.com/w/harry-s-cider/74293,51.0308306,-2.767782
122,Bottle Fermented,🏆 Best in Class,Rull Orchard,Rull Orchard,Starlight,2485,https://www.rullorchard.co.uk/,https://www.facebook.com/RullOrchard/,https://www.instagram.com/rullorchard/,https://maps.google.com/?cid=11123418549220978092,,https://untappd.com/w/rull-orchard/473398,50.8404193,-3.5272012
123,Bottle Fermented,🥇 Gold,Burrow Hill Cider,Somerset Cider Brandy & Burrow Hill Cider,Stoke Red bottle fermented,1108,https://www.somersetciderbrandy.com/,https://www.facebook.com/ciderbrandy,https://www.instagram.com/somersetciderbrandy/,https://maps.google.com/?cid=7367344989762198966,https://www.tripadvisor.com/Attraction_Review-g1096546-d549720,https://untappd.com/brewery/34566,50.9761647,-2.8350436
