ID,#,Class,Award,WID,Entrant,Entry,Website,Facebook,Instagram,Google,TripAdvisor,Untappd,Latitude,Longitude
26,OC1,Open Class Dry,🥉 Bronze,2354,Chapel Sider,Witham Sunrise,https://chapelsider.co.uk/,https://www.facebook.com/chapelsider,https://www.instagram.com/chapel_sider/,,,https://untappd.com/w/chapel-sider/484323,53.2358116,-0.4303854
27,OC1,Open Class Dry,🥉 Bronze,X,Northleigh Cider,Northleigh Cider,,,,,,,,
28,OC1,Open Class Dry,🥉 Bronze,2531,Rawlins Family Cider,Dry,https://www.rawlinsfamilycider.co.uk/,,https://www.instagram.com/rawlins_family_cider/,,,https://untappd.com/w/rawlins-family-cider/455388,50.9300166,-2.9585196
29,OC1,Open Class Dry,🥉 Bronze,X,Crest Cyder,Traditional,,,,,,,,
30,OC1,Open Class Dry,🥉 Bronze,3313,Wolds Wine Estate,Still Wild,https://woldswineestate.com/,https://www.facebook.com/woldswineestate,https://www.instagram.com/woldswineestate,https://maps.google.com/?cid=16032812922317610608,https://www.tripadvisor.com/Hotel_Review-g504074-d23448632,,52.8662463,-1.0673132
31,OC1,Open Class Dry,🥉 Bronze,1107,Showerings,Showerings Dry Cider,https://brotherscider.co.uk/,https://www.facebook.com/BrothersCider,https://www.instagram.com/brotherscider,https://maps.google.com/?cid=1454211960614674654,,https://untappd.com/BrothersCider,51.1901603,-2.5369188
32,OC1,Open Class Dry,🥉 Bronze,3207,Rennie's Winslow Cider,Rennie's Winslow Dry Cider,,https://www.facebook.com/winslowcider/,https://www.instagram.com/rennies_winslow_cider/,,,https://untappd.com/w/winslow-cider/407208,51.944859,-0.878737
33,OC1,Open Class Dry,🥉 Bronze,X,Seven Trees Cider,Kingston Black,,,,,,,,
34,OC1,Open Class Dry,🥉 Bronze,X,Sweeting's Cider,Vintage Dry,,,,,,,,
35,OC1,Open Class Dry,🥉 Bronze,X,Lower Rydon,Farmhouse,,,,,,,,
36,OC1,Open Class Dry,🥉 Bronze,X,Lower Rydon,Farmhouse,,,,,,,,
37,OC1,Open Class Dry,🥉 Bronze,X,Abbey Orchards,Abbott's Secret 2023,,,,,,,,
38,OC1,Open Class Dry,🥉 Bronze,X,The Hayloft,Orchard Blend,,,,,,,,
39,OC2,Open Class Medium,🏆 Best in Class,2531,Rawlins Family Cider,Medium,https://www.rawlinsfamilycider.co.uk/,,https://www.instagram.com/rawlins_family_cider/,,,https://untappd.com/w/rawlins-family-cider/455388,50.9300166,-2.9585196
40,OC2,Open Class Medium,🥇 Gold,X,James and Becky Gerlis-Gray,Crowded Rooms,,,,,,,,
41,OC2,Open Class Medium,🥇 Gold,1657,Hitchcox Cider,Hitchcox Medium,https://hitchcoxcider.co.uk/,https://www.facebook.com/HitchcoxCider/,https://www.instagram.com/hitchcox_cider/,https://maps.google.com/?cid=6038804049112704578,,https://untappd.com/w/hitchcox-cider-orchard-cottage-cider-company/130683,51.6810825,-1.0608779
42,OC2,Open Class Medium,🥈 Silver,2476,Kentish Pip,Craftsman,https://www.kentishpip.co.uk/,https://www.facebook.com/kentishpip,https://www.instagram.com/kentishpip,https://maps.google.com/?cid=10171179408012212368,https://www.tripadvisor.com/Attraction_Review-g186311-d19116139,https://untappd.com/w/kentish-pip/56097,51.26836,1.1390634
43,OC2,Open Class Medium,🥈 Silver,X,Glastonbury Abbey,Glastonbury Abbey Cider,,,,,,,,
44,OC2,Open Class Medium,🥈 Silver,2990,Loader's Cider,Loader's Sweetings Mill,https://loaderscider.co.uk/,https://www.facebook.com/loadersfarmcider,https://www.instagram.com/loaderscider/,,,https://untappd.com/w/loader-s-cider/432285,51.0344431,-3.1825594
45,OC2,Open Class Medium,🥈 Silver,2144,Courtneys of Whimple,Silly Cow Cider,https://courtneys.online/,https://www.facebook.com/courtneysdrinks/,,https://maps.google.com/?cid=15697263033877967876,,,50.8650481,-3.225626
46,OC2,Open Class Medium,🥈 Silver,X,Chris Conroy,"Colonels Cider, White Top",,,,,,,,
47,OC2,Open Class Medium,🥈 Silver,1683,Cranborne Chase Cider,General Pitt Rivers,https://cranbornechasecider.co.uk/,https://www.facebook.com/cranbornechasecider,https://www.instagram.com/cranborne_chase_cider/,https://maps.google.com/?cid=11691295207635124730,,https://untappd.com/w/cranborne-chase/146534,50.9277495,-2.0397072
48,OC2,Open Class Medium,🥈 Silver,1448,Bere Cider Company,5 Acres,https://www.berecidercompany.com/,https://www.facebook.com/BereCiderCompany/,https://www.instagram.com/berecidercompany,https://maps.google.com/?cid=12375160692646889429,https://www.tripadvisor.com/Attraction_Review-g663809-d8367995,https://untappd.com/BereCiderCompany,51.0774,-2.847342
49,OC2,Open Class Medium,🥈 Silver,X,Broadpool Cider,Broadpool Medium Cider,,,,,,,,
50,OC2,Open Class Medium,🥈 Silver,X,William Barnes,Padfield Cider,,,,,,,,
51,OC2,Open Class Medium,🥈 Silver,1107,Showerings,Showerings Medium Cider,https://brotherscider.co.uk/,https://www.facebook.com/BrothersCider,https://www.instagram.com/brotherscider,https://maps.google.com/?cid=1454211960614674654,,https://untappd.com/BrothersCider,51.1901603,-2.5369188
52,OC2,Open Class Medium,🥈 Silver,X,Broadpool Cider,Broadpool Medium Cider,,,,,,,,
53,OC2,Open Class Medium,🥈 Silver,X,North Down Orchard,Medium,,,,,,,,
54,OC2,Open Class Medium,🥈 Silver,X,Dr Rob Whale,Premium Medium,,,,,,,,
55,OC2,Open Class Medium,🥈 Silver,X,Steve Faulkner,Jasmine's Meduim,,,,,,,,
56,OC2,Open Class Medium,🥉 Bronze,2476,Kentish Pip,Skylark,https://www.kentishpip.co.uk/,https://www.facebook.com/kentishpip,https://www.instagram.com/kentishpip,https://maps.google.com/?cid=10171179408012212368,https://www.tripadvisor.com/Attraction_Review-g186311-d19116139,https://untappd.com/w/kentish-pip/56097,51.26836,1.1390634
57,OC2,Open Class Medium,🥉 Bronze,X,Dowding's,Dowding's Tower Brue Medium Still Cider,,,,,,,,
58,OC2,Open Class Medium,🥉 Bronze,X,Dowding's,Dowding's Tower Brue Medium Carbonated Cider,,,,,,,,
59,OC2,Open Class Medium,🥉 Bronze,X,Jonathan Marsden,Draycott Farm Cider,,,,,,,,
60,OC2,Open Class Medium,🥉 Bronze,X,Hartpury University Cider Project,Hartpury Cider 2023 Crop,,,,,,,,
61,OC2,Open Class Medium,🥉 Bronze,X,Dee Ciders,Richard's Medium Cider,,,,,,,,
62,OC2,Open Class Medium,🥉 Bronze,X,Chris Conroy,"Colonels Cider, Red Stripe",,,,,,,,
63,OC2,Open Class Medium,🥉 Bronze,1121,Tricky Cider,Wizard,https://trickycider.com/,https://www.facebook.com/trickycider,https://www.instagram.com/trickycider,https://maps.google.com/?cid=9525501189343767202,,https://untappd.com/brewery/17152,51.0591346,-2.8120696
64,OC2,Open Class Medium,🥉 Bronze,X,Paul Rendell,Northleigh Cider,,,,,,,,
65,OC2,Open Class Medium,🥉 Bronze,1572,Woodredding Cider and Perry,Jack's Tipple,https://www.woodreddingcider.co.uk/,https://www.facebook.com/woodreddingcider,,https://maps.google.com/?cid=13540344738396319268,,https://untappd.com/w/woodredding/156024,51.9658888,-2.5259432
66,OC2,Open Class Medium,🥉 Bronze,1880,Little Pomona,Little Miracle,https://littlepomona.com/,https://www.facebook.com/LittlePomona/,https://www.instagram.com/littlepomona/,https://maps.google.com/?cid=1246096540068808621,https://www.tripadvisor.com/Attraction_Review-g503860-d24036981,https://untappd.com/w/little-pomona/328882,52.1692482,-2.4944892
67,OC2,Open Class Medium,🥉 Bronze,3144,BetterCider - Bristol University,Falstaff Blend,https://www.bristol.ac.uk/external-estate/fenswoodfarm/better-cider/,,https://www.instagram.com/bettercider/,,,,51.4239139,-2.6716687
68,OC2,Open Class Medium,🥉 Bronze,X,Alan Berry,Blackmore Vale Cider,,,,,,,,
69,OC2,Open Class Medium,🥉 Bronze,2519,Shed Cider,Medium Sweet Sparkling,https://www.shedcider.com/,https://www.facebook.com/p/Shed-Cider-100054294351085/,https://www.instagram.com/shed.cider/,,,https://untappd.com/w/shed-cider/415161,51.3767088,-2.0331744
70,OC2,Open Class Medium,🥉 Bronze,3207,Rennie's Winslow Cider,Rennie's Winslow Cider,,https://www.facebook.com/winslowcider/,https://www.instagram.com/rennies_winslow_cider/,,,https://untappd.com/w/winslow-cider/407208,51.944859,-0.878737
71,OC2,Open Class Medium,🥉 Bronze,X,Seven Trees Cider,Reading Press,,,,,,,,
72,OC2,Open Class Medium,🥉 Bronze,X,Dr Rob Whale,Festival Medium,,,,,,,,
73,OC2,Open Class Medium,🥉 Bronze,1381,Pips Cider,Pips Medium Cider,http://www.pipscider.com/,https://www.facebook.com/PipsCider,https://www.instagram.com/pipscider/,https://maps.google.com/?cid=16039788259014934478,,https://untappd.com/w/pips-cider-limited/159027,52.0666607,-3.0090619
74,OC2,Open Class Medium,🥉 Bronze,X,Sweeting's Cider,Monument Cider - Medium Sweet,,,,,,,,
75,OC3,Open Class Sweet,🏆 Best in Class,1107,Showerings,Showerings Sweet Cider,https://brotherscider.co.uk/,https://www.facebook.com/BrothersCider,https://www.instagram.com/brotherscider,https://maps.google.com/?cid=1454211960614674654,,https://untappd.com/BrothersCider,51.1901603,-2.5369188
76,OC3,Open Class Sweet,🥇 Gold,X,Dee Ciders,Richard's Sweet Cider,,,,,,,,
77,OC3,Open Class Sweet,🥇 Gold,X,William Barnes,Padfield Cider,,,,,,,,
78,OC3,Open Class Sweet,🥈 Silver,X,Heritage Cider Limited,Medium,,,,,,,,
79,OC3,Open Class Sweet,🥈 Silver,2990,Loader's Cider,Loader's Montys Gold,https://loaderscider.co.uk/,https://www.facebook.com/loadersfarmcider,https://www.instagram.com/loaderscider/,,,https://untappd.com/w/loader-s-cider/432285,51.0344431,-3.1825594
80,OC3,Open Class Sweet,🥈 Silver,2144,Courtneys of Whimple,Whimple Orchards,https://courtneys.online/,https://www.facebook.com/courtneysdrinks/,,https://maps.google.com/?cid=15697263033877967876,,,50.8650481,-3.225626
81,OC3,Open Class Sweet,🥈 Silver,1448,Bere Cider Company,Turnhill Sunrise,https://www.berecidercompany.com/,https://www.facebook.com/BereCiderCompany/,https://www.instagram.com/berecidercompany,https://maps.google.com/?cid=12375160692646889429,https://www.tripadvisor.com/Attraction_Review-g663809-d8367995,https://untappd.com/BereCiderCompany,51.0774,-2.847342
82,OC3,Open Class Sweet,🥈 Silver,X,North Down Orchard,Sweet,,,,,,,,
83,OC3,Open Class Sweet,🥈 Silver,1381,Pips Cider,Pips Sweet Cider,http://www.pipscider.com/,https://www.facebook.com/PipsCider,https://www.instagram.com/pipscider/,https://maps.google.com/?cid=16039788259014934478,,https://untappd.com/w/pips-cider-limited/159027,52.0666607,-3.0090619
84,OC3,Open Class Sweet,🥉 Bronze,X,Dowding's,Dowding's Tower Brue Sweet Still Cider,,,,,,,,
85,OC3,Open Class Sweet,🥉 Bronze,2075,Artistraw Cider,"She Loves Shrew (Yeah, Yeah, Yeah)",https://www.artistraw.co.uk/,,https://www.instagram.com/artistrawcider/,https://maps.google.com/?cid=12066394488060764321,,https://untappd.com/w/artistraw-cider/438538,52.0960679,-3.0947504
86,OC3,Open Class Sweet,🥉 Bronze,2075,Artistraw Cider,The Old Ways,https://www.artistraw.co.uk/,,https://www.instagram.com/artistrawcider/,https://maps.google.com/?cid=12066394488060764321,,https://untappd.com/w/artistraw-cider/438538,52.0960679,-3.0947504
87,OC3,Open Class Sweet,🥉 Bronze,1572,Woodredding Cider and Perry,Sweet Celebration,https://www.woodreddingcider.co.uk/,https://www.facebook.com/woodreddingcider,,https://maps.google.com/?cid=13540344738396319268,,https://untappd.com/w/woodredding/156024,51.9658888,-2.5259432
88,OC3,Open Class Sweet,🥉 Bronze,2531,Rawlins Family Cider,Sweet,https://www.rawlinsfamilycider.co.uk/,,https://www.instagram.com/rawlins_family_cider/,,,https://untappd.com/w/rawlins-family-cider/455388,50.9300166,-2.9585196
89,OC3,Open Class Sweet,🥉 Bronze,X,Alan Berry,Blackmore Vale Cider,,,,,,,,
90,OC3,Open Class Sweet,🥉 Bronze,X,Dr Rob Whale,Festival Sweet,,,,,,,,
91,OC3,Open Class Sweet,🥉 Bronze,2530,Wild West Cider,Crimson King,https://www.wildwestcider.co.uk/,https://www.facebook.com/Wildwestcider1,https://www.instagram.com/wildwestcider/,,,https://untappd.com/w/wild-west-cidery/539141,51.4490287,-2.6827655
92,OC3,Open Class Sweet,🥉 Bronze,3041,Sisson & Smith,Sweet Cider,,,,,,https://untappd.com/w/sisson-smith/229581,53.018115,-1.308544
93,OC4,Fruit Cider,🏆 Best in Class,X,Dr Rob Whale,Pineapple Cider,,,,,,,,
94,OC4,Fruit Cider,🥇 Gold,X,Broadpool Cider,Broadpool Hopped,,,,,,,,
95,OC4,Fruit Cider,🥈 Silver,2476,Kentish Pip,Forager - Hedgerow Berry Cider,https://www.kentishpip.co.uk/,https://www.facebook.com/kentishpip,https://www.instagram.com/kentishpip,https://maps.google.com/?cid=10171179408012212368,https://www.tripadvisor.com/Attraction_Review-g186311-d19116139,https://untappd.com/w/kentish-pip/56097,51.26836,1.1390634
96,OC4,Fruit Cider,🥈 Silver,2075,Artistraw Cider,Artistraw X Black Mountain Vineyard,https://www.artistraw.co.uk/,,https://www.instagram.com/artistrawcider/,https://maps.google.com/?cid=12066394488060764321,,https://untappd.com/w/artistraw-cider/438538,52.0960679,-3.0947504
97,OC4,Fruit Cider,🥈 Silver,3233,Ganley & Naish Cider,Raspberry,https://www.ganleyandnaish.co.uk/,https://www.facebook.com/ganleynaishcider/,https://www.instagram.com/ganleynaishcider/,,,https://untappd.com/GanleyNaish,51.4174659,-2.8389317
98,OC4,Fruit Cider,🥈 Silver,X,Broadpool Cider,Broadpool Hopped,,,,,,,,
99,OC4,Fruit Cider,🥈 Silver,1657,Hitchcox Cider,Foxy Bramble,https://hitchcoxcider.co.uk/,https://www.facebook.com/HitchcoxCider/,https://www.instagram.com/hitchcox_cider/,https://maps.google.com/?cid=6038804049112704578,,https://untappd.com/w/hitchcox-cider-orchard-cottage-cider-company/130683,51.6810825,-1.0608779
100,OC4,Fruit Cider,🥈 Silver,2356,The Wee Scottish Cider Company,Sassenapple Sea,https://seidear.com/,https://www.facebook.com/seidear.weescottishciderco/,https://www.instagram.com/seidear/,https://maps.google.com/?cid=227255875071520296,,https://untappd.com/TheWeeScottishCiderCo,57.0932016,-2.2270872
101,OC4,Fruit Cider,🥉 Bronze,X,Heritage Cider Limited,English Berry,,,,,,,,
102,OC4,Fruit Cider,🥉 Bronze,1450,Honey's Cider,Apple Black,https://www.honeyscider.co.uk/,https://www.facebook.com/honeysciderbath/,https://www.instagram.com/honeyscider/,,,https://untappd.com/w/honey-and-daughters-honey-midford/67111,51.3443217,-2.3452842
103,OC4,Fruit Cider,🥉 Bronze,1683,Cranborne Chase Cider,Elderflower Still Farmhouse Cider,https://cranbornechasecider.co.uk/,https://www.facebook.com/cranbornechasecider,https://www.instagram.com/cranborne_chase_cider/,https://maps.google.com/?cid=11691295207635124730,,https://untappd.com/w/cranborne-chase/146534,50.9277495,-2.0397072
104,OC4,Fruit Cider,🥉 Bronze,1107,Brothers Drinks,Brothers Fruit Cider,https://brotherscider.co.uk/,https://www.facebook.com/BrothersCider,https://www.instagram.com/brotherscider,https://maps.google.com/?cid=1454211960614674654,,https://untappd.com/BrothersCider,51.1901603,-2.5369188
105,OC5,Two Bottles/Cans of Cider,🏆 Best in Class,X,Wyldlands,Gold,,,,,,,,
106,OC5,Two Bottles/Cans of Cider,🥇 Gold,2371,Luke's Cider,Original Sin,https://www.lukescider.com/,https://www.facebook.com/lukescider/,https://www.instagram.com/lukescider/,https://maps.google.com/?cid=3087204132532898241,,https://untappd.com/w/luke-s-cider/395593,51.5885574,-0.0044107
107,OC5,Two Bottles/Cans of Cider,🥇 Gold,2381,Ridge & Furrow Cider,Naturally Medium,https://ridgeandfurrowcider.co.uk/,,,https://maps.google.com/?cid=5958769938793720344,,https://untappd.com/w/ridge-and-furrow/335457,50.8382205,-3.3756164
108,OC5,Two Bottles/Cans of Cider,🥈 Silver,X,Dowding's,Dowding's Tower Brue Sweet Still Cider,,,,,,,,
109,OC5,Two Bottles/Cans of Cider,🥈 Silver,1449,Harry's Cider Company,Harry's Original,https://www.harryscidercompany.co.uk/,https://www.facebook.com/harryscider/,https://www.instagram.com/harrys_cider/,https://maps.google.com/?cid=8158521266898778933,https://www.tripadvisor.com/Attraction_Review-g663809-d15201249,https://untappd.com/w/harry-s-cider/74293,51.0308306,-2.767782
110,OC5,Two Bottles/Cans of Cider,🥈 Silver,2144,Courtneys of Whimple,Whimple Orchards,https://courtneys.online/,https://www.facebook.com/courtneysdrinks/,,https://maps.google.com/?cid=15697263033877967876,,,50.8650481,-3.225626
111,OC5,Two Bottles/Cans of Cider,🥈 Silver,3098,On Point Cider Company,Medium Sparkling,,https://www.facebook.com/OnPointCider/,https://www.instagram.com/onpointcider/,,,https://untappd.com/w/on-point-cider-company/548553,52.0737778,-2.9451381
112,OC5,Two Bottles/Cans of Cider,🥈 Silver,1450,Honey's Cider,Midford Unrefined,https://www.honeyscider.co.uk/,https://www.facebook.com/honeysciderbath/,https://www.instagram.com/honeyscider/,,,https://untappd.com/w/honey-and-daughters-honey-midford/67111,51.3443217,-2.3452842
113,OC5,Two Bottles/Cans of Cider,🥈 Silver,3314,Wadys Cider,Orchard Rambler,https://wadyscider.co.uk/,https://www.facebook.com/WadysCider/,https://www.instagram.com/wadyscider/,https://maps.google.com/?cid=13124950537577204428,https://www.tripadvisor.com/Attraction_Review-g186369-d24981351,https://untappd.com/w/wadys-cider/542166,51.096392,-2.8847318
114,OC5,Two Bottles/Cans of Cider,🥈 Silver,3233,Ganley & Naish Cider,Caught Adrift,https://www.ganleyandnaish.co.uk/,https://www.facebook.com/ganleynaishcider/,https://www.instagram.com/ganleynaishcider/,,,https://untappd.com/GanleyNaish,51.4174659,-2.8389317
115,OC5,Two Bottles/Cans of Cider,🥈 Silver,2531,Rawlins Family Cider,Keeved Kingston Black,https://www.rawlinsfamilycider.co.uk/,,https://www.instagram.com/rawlins_family_cider/,,,https://untappd.com/w/rawlins-family-cider/455388,50.9300166,-2.9585196
116,OC5,Two Bottles/Cans of Cider,🥈 Silver,1116,Perry’s Cider,Vintage - Barrel Conditioned,https://www.perryscider.co.uk/,https://www.facebook.com/perryscider,https://www.instagram.com/perryscider/,https://maps.google.com/?cid=33331284311998818,https://www.tripadvisor.com/Attraction_Review-g1077115-d4325310,https://untappd.com/brewery/12275,50.9103066,-2.8898816
117,OC5,Two Bottles/Cans of Cider,🥈 Silver,1116,Perry’s Cider,Barn Owl - Farmhouse Cider,https://www.perryscider.co.uk/,https://www.facebook.com/perryscider,https://www.instagram.com/perryscider/,https://maps.google.com/?cid=33331284311998818,https://www.tripadvisor.com/Attraction_Review-g1077115-d4325310,https://untappd.com/brewery/12275,50.9103066,-2.8898816
118,OC5,Two Bottles/Cans of Cider,🥈 Silver,1116,Perry’s Cider,Grey Heron - Single Orchard Cider,https://www.perryscider.co.uk/,https://www.facebook.com/perryscider,https://www.instagram.com/perryscider/,https://maps.google.com/?cid=33331284311998818,https://www.tripadvisor.com/Attraction_Review-g1077115-d4325310,https://untappd.com/brewery/12275,50.9103066,-2.8898816
119,OC5,Two Bottles/Cans of Cider,🥈 Silver,X,Orchards Farm,Orchards Farm,,,,,,,,
120,OC5,Two Bottles/Cans of Cider,🥈 Silver,2371,Luke's Cider,Infernal Serpent,https://www.lukescider.com/,https://www.facebook.com/lukescider/,https://www.instagram.com/lukescider/,https://maps.google.com/?cid=3087204132532898241,,https://untappd.com/w/luke-s-cider/395593,51.5885574,-0.0044107
121,OC5,Two Bottles/Cans of Cider,🥈 Silver,2381,Ridge & Furrow Cider,Naturally Sweet,https://ridgeandfurrowcider.co.uk/,,,https://maps.google.com/?cid=5958769938793720344,,https://untappd.com/w/ridge-and-furrow/335457,50.8382205,-3.3756164
122,OC5,Two Bottles/Cans of Cider,🥈 Silver,2485,Rull Orchard,Devon Heritage Blend,https://www.rullorchard.co.uk/,https://www.facebook.com/RullOrchard/,https://www.instagram.com/rullorchard/,https://maps.google.com/?cid=11123418549220978092,,https://untappd.com/w/rull-orchard/473398,50.8404193,-3.5272012
123,OC5,Two Bottles/Cans of Cider,🥈 Silver,2512,The Parrett Cider Company,Parrett Standard,https://www.parrettcider.co.uk/,https://www.facebook.com/ParrettCider/,https://www.instagram.com/parrettcider/,,,https://untappd.com/w/the-parrett-cider-company/505123,50.9775999,-2.8194549
124,OC5,Two Bottles/Cans of Cider,🥉 Bronze,X,Dowding's,Dowding's Tower Brue Dry Still Cider,,,,,,,,
125,OC5,Two Bottles/Cans of Cider,🥉 Bronze,X,Dowding's,Dowding's Tower Brue Medium Still Cider,,,,,,,,
126,OC5,Two Bottles/Cans of Cider,🥉 Bronze,X,Moons Cider,Medium Sparkling,,,,,,,,
127,OC5,Two Bottles/Cans of Cider,🥉 Bronze,X,Moons Cider,Orchard Moon,,,,,,,,
128,OC5,Two Bottles/Cans of Cider,🥉 Bronze,1119,Thatchers Cider,Thatchers Vintage,https://www.thatcherscider.co.uk/,https://www.facebook.com/ThatchersCiderCompany,https://www.instagram.com/thatcherscider/,https://maps.google.com/?cid=15191093037076298219,https://www.tripadvisor.com/Attraction_Review-g4412909-d11019728,https://untappd.com/brewery/3063,51.3328274,-2.8330779
129,OC5,Two Bottles/Cans of Cider,🥉 Bronze,3208,Stones Cider,Ram Of Shepton,https://www.stonescider.co.uk/,https://www.facebook.com/stonescider,,,,https://untappd.com/w/stone-s-cider/127537,51.1912319,-2.5590563
130,OC6,Bottle Fermented (Methode Traditionelle),🏆 Best in Class,X,Alex Hill,Bollhayes,,,,,,,,
131,OC6,Bottle Fermented (Methode Traditionelle),🥇 Gold,2485,Rull Orchard,Starlight,https://www.rullorchard.co.uk/,https://www.facebook.com/RullOrchard/,https://www.instagram.com/rullorchard/,https://maps.google.com/?cid=11123418549220978092,,https://untappd.com/w/rull-orchard/473398,50.8404193,-3.5272012
132,OC6,Bottle Fermented (Methode Traditionelle),🥇 Gold,1119,Thatchers Cider,Thatchers Porters Perfection & Vilberie,https://www.thatcherscider.co.uk/,https://www.facebook.com/ThatchersCiderCompany,https://www.instagram.com/thatcherscider/,https://maps.google.com/?cid=15191093037076298219,https://www.tripadvisor.com/Attraction_Review-g4412909-d11019728,https://untappd.com/brewery/3063,51.3328274,-2.8330779
133,OC6,Bottle Fermented (Methode Traditionelle),🥈 Silver,X,Alex Hill,Bollhayes,,,,,,,,
134,OC6,Bottle Fermented (Methode Traditionelle),🥈 Silver,X,John and Naomi Wakelin,Harromint House Cider,,,,,,,,
135,OC6,Bottle Fermented (Methode Traditionelle),🥉 Bronze,2476,Kentish Pip,Forwhelp +,https://www.kentishpip.co.uk/,https://www.facebook.com/kentishpip,https://www.instagram.com/kentishpip,https://maps.google.com/?cid=10171179408012212368,https://www.tripadvisor.com/Attraction_Review-g186311-d19116139,https://untappd.com/w/kentish-pip/56097,51.26836,1.1390634
