Medalist,Region,Year,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,City,Region,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
2 Towns Ciderhouse,Oregon,2015,1,3,0,4,2015,2024,9,Corvallis,Oregon,Active,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975
Apple Outlaw,Oregon,2015,2,0,0,2,2014,2017,4,Jacksonville,Oregon,Active,http://www.appleoutlaw.com/,https://www.facebook.com/appleoutlaw/,https://www.instagram.com/appleoutlaw/,https://maps.google.com/?cid=5850813650004409160,,,https://untappd.com/w/apple-outlaw-cider/167265
Seattle Cider Company,Washington,2015,1,1,0,2,2015,2024,7,Seattle,Washington,Active,http://www.seattlecidercompany.com/,https://www.facebook.com/SeattleCiderCo,https://www.instagram.com/seattleciderco/,https://maps.google.com/?cid=10339393864619567754,https://www.yelp.com/biz/seattle-cider-company-seattle,,https://untappd.com/w/seattle-cider-company/75923
Wandering Aengus Ciderworks,Oregon,2015,1,1,0,2,2014,2016,3,Salem,Oregon,Inactive,,,,,,,
Left Field Cider Co.,British Columbia,2015,1,0,1,2,2015,2015,1,Logan Lake,British Columbia,Active,http://www.leftfieldcider.com/,https://www.facebook.com/leftfieldcider,https://www.instagram.com/leftfieldcider/,https://maps.google.com/?cid=2952880485422961840,https://www.yelp.com/biz/left-field-cider-company-logan-lake-2,https://www.tripadvisor.com/Attraction_Review-g1579868-d14910348,https://untappd.com/w/left-field-cider-co/34132
Schilling Cider,Washington,2015,0,0,2,2,2015,2023,3,Auburn,Washington,Active,https://schillingcider.com/,https://www.facebook.com/SchillingCider/,https://www.instagram.com/schillingcider/,https://maps.google.com/?cid=12281308087911884522,,,https://untappd.com/w/schilling-cider/62413
Finnriver Farm & Cidery,Washington,2015,1,0,0,1,2014,2024,9,Chimacum,Washington,Active,https://www.finnriver.com/,https://www.facebook.com/finnriver,https://www.instagram.com/finnriver/,https://maps.google.com/?cid=1802892066987578987,https://www.yelp.com/biz/finnriver-farm-and-cidery-chimacum,https://www.tripadvisor.com/Attraction_Review-g58399-d10595866,https://untappd.com/w/finnriver-farm-and-cidery/3008
Alter Ego Cider,Oregon,2015,0,1,0,1,2015,2019,3,Portland,Oregon,Inactive,,,,,,,
Hedgerow Cidery,Oregon,2015,0,1,0,1,2015,2015,1,Dallas,Oregon,Inactive,,,,,,,
Bull Run Cider,Oregon,2015,0,0,1,1,2014,2016,3,Forest Grove,Oregon,Active,http://www.bullruncider.com/,https://www.facebook.com/Cider,https://www.instagram.com/bullruncider/,https://maps.google.com/?cid=13917891364878698013,https://www.yelp.com/biz/bull-run-cider-forest-grove,,https://untappd.com/w/bull-run-cider/58380
Cider Riot!,Oregon,2015,0,0,1,1,2014,2019,5,Portland,Oregon,Inactive,,,,,,,
Hopworks Urban Brewery,Oregon,2015,0,0,1,1,2015,2016,2,Portland,Oregon,Active,http://hopworksbeer.com/,https://www.facebook.com/HopworksBeer,https://www.instagram.com/hopworksbeer,https://maps.google.com/?cid=12310474527095469991,https://www.yelp.com/biz/hopworks-urban-brewery-portland,https://www.tripadvisor.com/Restaurant_Review-g52024-d1118479,https://untappd.com/w/hopworks-urban-brewery/678
Whitewood Cider Co.,Washington,2015,0,0,1,1,2015,2015,1,Olympia,Washington,Active,https://www.whitewoodcider.com/,https://www.facebook.com/WhitewoodCider/,https://www.instagram.com/wwcider/,https://maps.google.com/?cid=17959127106154260964,https://www.yelp.com/biz/whitewood-cider-co-tasting-room-olympia,,https://untappd.com/w/whitewood-cider-co/9380
WildCraft Cider Works,Oregon,2015,0,0,1,1,2015,2018,4,Eugene,Oregon,Active,https://wildcraftciderworks.com/,https://www.facebook.com/WildCraftCiderWorks/,https://www.instagram.com/wildcraftcider/,https://maps.google.com/?cid=15001881032430403771,https://www.yelp.com/biz/wildcraft-cider-works-eugene,https://www.tripadvisor.com/Restaurant_Review-g51862-d8277583,https://untappd.com/w/wildcraft-cider-works/159780
Apple Outlaw,Oregon,2016,0,3,0,3,2014,2017,4,Jacksonville,Oregon,Active,http://www.appleoutlaw.com/,https://www.facebook.com/appleoutlaw/,https://www.instagram.com/appleoutlaw/,https://maps.google.com/?cid=5850813650004409160,,,https://untappd.com/w/apple-outlaw-cider/167265
2 Towns Ciderhouse,Oregon,2016,1,1,0,2,2015,2024,9,Corvallis,Oregon,Active,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975
Finnriver Farm & Cidery,Washington,2016,1,0,1,2,2014,2024,9,Chimacum,Washington,Active,https://www.finnriver.com/,https://www.facebook.com/finnriver,https://www.instagram.com/finnriver/,https://maps.google.com/?cid=1802892066987578987,https://www.yelp.com/biz/finnriver-farm-and-cidery-chimacum,https://www.tripadvisor.com/Attraction_Review-g58399-d10595866,https://untappd.com/w/finnriver-farm-and-cidery/3008
Montana CiderWorks,Montana,2016,1,0,1,2,2016,2019,4,Darby,Montana,Active,http://montanacider.com/,https://www.facebook.com/Montana-CiderWorks-208483272577248/,,,,,https://untappd.com/w/montana-ciderworks/33843
Hopworks Urban Brewery,Oregon,2016,0,1,1,2,2015,2016,2,Portland,Oregon,Active,http://hopworksbeer.com/,https://www.facebook.com/HopworksBeer,https://www.instagram.com/hopworksbeer,https://maps.google.com/?cid=12310474527095469991,https://www.yelp.com/biz/hopworks-urban-brewery-portland,https://www.tripadvisor.com/Restaurant_Review-g52024-d1118479,https://untappd.com/w/hopworks-urban-brewery/678
Snowdrift Cider Co.,Washington,2016,0,1,1,2,2016,2022,4,East Wenatchee,Washington,Active,https://www.snowdriftcider.com/,https://www.facebook.com/snowdriftcider,https://www.instagram.com/snowdriftciderco/,https://maps.google.com/?cid=18339570792633761066,https://www.yelp.com/biz/snowdrift-cider-east-wenatchee,,https://untappd.com/w/snowdrift-cider-co/8545
Twisted Hills Craft Cider,British Columbia,2016,0,1,1,2,2016,2016,1,Cawston,British Columbia,Active,https://www.twistedhills.ca/,https://www.facebook.com/twistedhillscraftcider/,https://www.instagram.com/twistedhillscraftcider,https://maps.google.com/?cid=4618450840438418243,https://www.yelp.com/biz/twisted-hills-craft-cider-cawston,https://www.tripadvisor.com/Attraction_Review-g1059482-d8179333,https://untappd.com/w/twisted-hills-craft-cider/189085
Faustino Estate Cidery,British Columbia,2016,0,0,2,2,2016,2016,1,Osoyoos,British Columbia,Inactive,,,,,,,
Bull Run Cider,Oregon,2016,1,0,0,1,2014,2016,3,Forest Grove,Oregon,Active,http://www.bullruncider.com/,https://www.facebook.com/Cider,https://www.instagram.com/bullruncider/,https://maps.google.com/?cid=13917891364878698013,https://www.yelp.com/biz/bull-run-cider-forest-grove,,https://untappd.com/w/bull-run-cider/58380
Cider Riot!,Oregon,2016,1,0,0,1,2014,2019,5,Portland,Oregon,Inactive,,,,,,,
Elk Horn Brewery & Ciderhouse,Oregon,2016,1,0,0,1,2016,2018,2,Eugene,Oregon,Active,http://www.elkhornbrewery.com/,https://www.facebook.com/elkhornbrewery/,https://www.instagram.com/elk_horn_brewery/,https://maps.google.com/?cid=3806213339852533020,https://www.yelp.com/biz/elk-horn-brewery-eugene-7,https://www.tripadvisor.com/Restaurant_Review-g51862-d7099011,https://untappd.com/w/elk-horn-brewery-and-ciderhouse/153381
Square Mile Cider,Oregon,2016,1,0,0,1,2014,2019,5,Portland,Oregon,Active,https://www.squaremilecider.com/,https://www.facebook.com/SquareMileCider,https://www.instagram.com/squaremilecider/,https://maps.google.com/?cid=1334101927022279814,,,https://untappd.com/w/square-mile-cider-co/62094
^5 Cider,Oregon,2016,0,1,0,1,2016,2016,1,Portland,Oregon,Inactive,,,,,,,
Liberty Ciderworks,Washington,2016,0,0,1,1,2016,2022,6,Spokane,Washington,Active,http://libertycider.com/,https://www.facebook.com/LibertyCider,https://www.instagram.com/libertycider/,https://maps.google.com/?cid=14868081944798289423,https://www.yelp.com/biz/liberty-ciderworks-spokane-3,https://www.tripadvisor.com/Restaurant_Review-g58759-d17373965,https://untappd.com/w/liberty-ciderworks/106336
Slake Cider,Oregon,2016,0,0,1,1,2016,2018,2,McMinnville,Oregon,Inactive,,,,,,,
Wandering Aengus Ciderworks,Oregon,2016,0,0,1,1,2014,2016,3,Salem,Oregon,Inactive,,,,,,,
WildCraft Cider Works,Oregon,2016,0,0,1,1,2015,2018,4,Eugene,Oregon,Active,https://wildcraftciderworks.com/,https://www.facebook.com/WildCraftCiderWorks/,https://www.instagram.com/wildcraftcider/,https://maps.google.com/?cid=15001881032430403771,https://www.yelp.com/biz/wildcraft-cider-works-eugene,https://www.tripadvisor.com/Restaurant_Review-g51862-d8277583,https://untappd.com/w/wildcraft-cider-works/159780
2 Towns Ciderhouse,Oregon,2017,2,1,3,6,2015,2024,9,Corvallis,Oregon,Active,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975
Square Mile Cider,Oregon,2017,2,0,0,2,2014,2019,5,Portland,Oregon,Active,https://www.squaremilecider.com/,https://www.facebook.com/SquareMileCider,https://www.instagram.com/squaremilecider/,https://maps.google.com/?cid=1334101927022279814,,,https://untappd.com/w/square-mile-cider-co/62094
Montana CiderWorks,Montana,2017,1,1,0,2,2016,2019,4,Darby,Montana,Active,http://montanacider.com/,https://www.facebook.com/Montana-CiderWorks-208483272577248/,,,,,https://untappd.com/w/montana-ciderworks/33843
Swift Cider,Oregon,2017,1,1,0,2,2017,2023,6,Portland,Oregon,Active,https://www.swiftcider.com/,https://www.facebook.com/SwiftCider/,https://www.instagram.com/swiftcider/,,https://www.yelp.com/biz/swift-cider-portland,,https://untappd.com/w/swift-cider/138445
Finnriver Farm & Cidery,Washington,2017,0,1,1,2,2014,2024,9,Chimacum,Washington,Active,https://www.finnriver.com/,https://www.facebook.com/finnriver,https://www.instagram.com/finnriver/,https://maps.google.com/?cid=1802892066987578987,https://www.yelp.com/biz/finnriver-farm-and-cidery-chimacum,https://www.tripadvisor.com/Attraction_Review-g58399-d10595866,https://untappd.com/w/finnriver-farm-and-cidery/3008
Liberty Ciderworks,Washington,2017,0,1,1,2,2016,2022,6,Spokane,Washington,Active,http://libertycider.com/,https://www.facebook.com/LibertyCider,https://www.instagram.com/libertycider/,https://maps.google.com/?cid=14868081944798289423,https://www.yelp.com/biz/liberty-ciderworks-spokane-3,https://www.tripadvisor.com/Restaurant_Review-g58759-d17373965,https://untappd.com/w/liberty-ciderworks/106336
Tieton Cider Works,Washington,2017,0,1,1,2,2014,2022,6,Yakima,Washington,Active,https://tietonciderworks.com/,https://www.facebook.com/tietonciderworks/,https://www.instagram.com/tietonciderworks/,https://maps.google.com/?cid=9208093896298438407,https://www.yelp.com/biz/tieton-cider-works-yakima,https://www.tripadvisor.com/Attraction_Review-g58838-d7991577,https://untappd.com/w/tieton-cider-works/10804
Scenic Road Cider Co.,British Columbia,2017,0,0,2,2,2017,2022,2,Kelowna,British Columbia,Active,https://scenicroadcider.com/,https://www.facebook.com/scenicroadcider/,https://www.instagram.com/scenicroadcider/,https://maps.google.com/?cid=1733637164282947547,https://www.yelp.com/biz/scenic-road-cider-kelowna,https://www.tripadvisor.com/Attraction_Review-g154933-d12829198,https://untappd.com/w/scenic-road-cider-co/271530
EdenVale Winery,Oregon,2017,1,0,0,1,2017,2018,2,Medford,Oregon,Active,http://www.edenvalewines.com/,https://www.facebook.com/EdenValeWinery,https://www.instagram.com/edenvalewinery/,https://maps.google.com/?cid=1337477973398359922,https://www.yelp.com/biz/edenvale-winery-medford-2,https://www.tripadvisor.com/Attraction_Review-g51965-d534330,https://untappd.com/w/edenvale-winery/343164
Western Cider,Montana,2017,1,0,0,1,2017,2021,3,Missoula,Montana,Active,http://www.westerncider.com/,https://www.facebook.com/westerncider/,https://www.instagram.com/westerncider/,https://maps.google.com/?cid=14623261427414740204,https://www.yelp.com/biz/western-cider-missoula,https://www.tripadvisor.com/Attraction_Review-g45277-d12473667,https://untappd.com/w/western-cider/328334
Alpenfire Cider,Washington,2017,0,1,0,1,2017,2023,2,Port Townsend,Washington,Active,https://www.alpenfirecider.com/,https://www.facebook.com/alpenfirecider,https://www.instagram.com/alpenfirecider/,https://maps.google.com/?cid=13194604853315575065,https://www.yelp.com/biz/alpenfire-cider-and-orchard-port-townsend,,https://untappd.com/w/alpenfire-cider/12510
Alter Ego Cider,Oregon,2017,0,1,0,1,2015,2019,3,Portland,Oregon,Inactive,,,,,,,
Bauman's Cider,Oregon,2017,0,1,0,1,2017,2024,7,Gervais,Oregon,Active,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.yelp.com/biz/baumans-farm-and-garden-gervais,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872
North Idaho Cider,Idaho,2017,0,1,0,1,2017,2019,3,Hayden,Idaho,Inactive,,,,,,,
Wards Cider,British Columbia,2017,0,1,0,1,2017,2017,1,Kelowna,British Columbia,Active,https://www.wardshardcider.com/,https://www.facebook.com/WardsHardAppleCider/,https://www.instagram.com/WardsCidery/,https://maps.google.com/?cid=16878260899987568393,https://www.yelp.com/biz/the-view-winery-and-vineyard-kelowna,https://www.tripadvisor.com/Attraction_Review-g154933-d3547867,https://untappd.com/w/wards-cidery/134573
Apple Outlaw,Oregon,2017,0,0,1,1,2014,2017,4,Jacksonville,Oregon,Active,http://www.appleoutlaw.com/,https://www.facebook.com/appleoutlaw/,https://www.instagram.com/appleoutlaw/,https://maps.google.com/?cid=5850813650004409160,,,https://untappd.com/w/apple-outlaw-cider/167265
La Familia Cider Company,Oregon,2017,0,0,1,1,2017,2024,2,Salem,Oregon,Active,https://lafamiliacider.com/,https://www.facebook.com/lafamiliacider/,https://www.instagram.com/lafamiliacider/,https://maps.google.com/?cid=3685332940132306085,https://www.yelp.com/biz/la-familia-cider-salem,https://www.tripadvisor.com/Restaurant_Review-g52053-d23878155,https://untappd.com/LaFamiliaCider
Portland Cider Company,Oregon,2017,0,0,1,1,2017,2024,3,Clackamas,Oregon,Active,http://portlandcider.com/,https://www.facebook.com/portlandcider,https://www.instagram.com/portlandcider/,https://maps.google.com/?cid=5897814277091816079,https://www.yelp.com/biz/portland-cider-company-clackamas,https://www.tripadvisor.com/Restaurant_Review-g51806-d6996793,https://untappd.com/w/portland-cider-company/56260
WildCraft Cider Works,Oregon,2017,0,0,1,1,2015,2018,4,Eugene,Oregon,Active,https://wildcraftciderworks.com/,https://www.facebook.com/WildCraftCiderWorks/,https://www.instagram.com/wildcraftcider/,https://maps.google.com/?cid=15001881032430403771,https://www.yelp.com/biz/wildcraft-cider-works-eugene,https://www.tripadvisor.com/Restaurant_Review-g51862-d8277583,https://untappd.com/w/wildcraft-cider-works/159780
2 Towns Ciderhouse,Oregon,2018,4,2,4,10,2015,2024,9,Corvallis,Oregon,Active,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975
Montana CiderWorks,Montana,2018,1,1,1,3,2016,2019,4,Darby,Montana,Active,http://montanacider.com/,https://www.facebook.com/Montana-CiderWorks-208483272577248/,,,,,https://untappd.com/w/montana-ciderworks/33843
Swift Cider,Oregon,2018,1,1,1,3,2017,2023,6,Portland,Oregon,Active,https://www.swiftcider.com/,https://www.facebook.com/SwiftCider/,https://www.instagram.com/swiftcider/,,https://www.yelp.com/biz/swift-cider-portland,,https://untappd.com/w/swift-cider/138445
Portland Cider Company,Oregon,2018,1,0,2,3,2017,2024,3,Clackamas,Oregon,Active,http://portlandcider.com/,https://www.facebook.com/portlandcider,https://www.instagram.com/portlandcider/,https://maps.google.com/?cid=5897814277091816079,https://www.yelp.com/biz/portland-cider-company-clackamas,https://www.tripadvisor.com/Restaurant_Review-g51806-d6996793,https://untappd.com/w/portland-cider-company/56260
Bauman's Cider,Oregon,2018,1,1,0,2,2017,2024,7,Gervais,Oregon,Active,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.yelp.com/biz/baumans-farm-and-garden-gervais,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872
Draper Girls Cider Co.,Oregon,2018,1,1,0,2,2018,2019,2,Parkdale,Oregon,Active,http://www.drapergirlsfarm.com/,https://www.facebook.com/drapergirlscountryfarm,https://www.instagram.com/drapergirlsfarm/,https://maps.google.com/?cid=6165797375002364096,https://www.yelp.com/biz/draper-girls-cider-company-parkdale,https://www.tripadvisor.com/Attraction_Review-g52014-d11823506,https://untappd.com/w/draper-girls-cider-co/363577
Liberty Ciderworks,Washington,2018,1,1,0,2,2016,2022,6,Spokane,Washington,Active,http://libertycider.com/,https://www.facebook.com/LibertyCider,https://www.instagram.com/libertycider/,https://maps.google.com/?cid=14868081944798289423,https://www.yelp.com/biz/liberty-ciderworks-spokane-3,https://www.tripadvisor.com/Restaurant_Review-g58759-d17373965,https://untappd.com/w/liberty-ciderworks/106336
Elk Horn Brewery & Ciderhouse,Oregon,2018,1,0,1,2,2016,2018,2,Eugene,Oregon,Active,http://www.elkhornbrewery.com/,https://www.facebook.com/elkhornbrewery/,https://www.instagram.com/elk_horn_brewery/,https://maps.google.com/?cid=3806213339852533020,https://www.yelp.com/biz/elk-horn-brewery-eugene-7,https://www.tripadvisor.com/Restaurant_Review-g51862-d7099011,https://untappd.com/w/elk-horn-brewery-and-ciderhouse/153381
Slake Cider,Oregon,2018,0,2,0,2,2016,2018,2,McMinnville,Oregon,Inactive,,,,,,,
Tieton Cider Works,Washington,2018,0,1,1,2,2014,2022,6,Yakima,Washington,Active,https://tietonciderworks.com/,https://www.facebook.com/tietonciderworks/,https://www.instagram.com/tietonciderworks/,https://maps.google.com/?cid=9208093896298438407,https://www.yelp.com/biz/tieton-cider-works-yakima,https://www.tripadvisor.com/Attraction_Review-g58838-d7991577,https://untappd.com/w/tieton-cider-works/10804
Western Cider,Montana,2018,0,1,1,2,2017,2021,3,Missoula,Montana,Active,http://www.westerncider.com/,https://www.facebook.com/westerncider/,https://www.instagram.com/westerncider/,https://maps.google.com/?cid=14623261427414740204,https://www.yelp.com/biz/western-cider-missoula,https://www.tripadvisor.com/Attraction_Review-g45277-d12473667,https://untappd.com/w/western-cider/328334
Cider Riot!,Oregon,2018,1,0,0,1,2014,2019,5,Portland,Oregon,Inactive,,,,,,,
Dragon's Head Cider,Washington,2018,1,0,0,1,2018,2021,3,Vashon,Washington,Active,http://www.dragonsheadcider.com/,,https://www.instagram.com/dragonsheadcider/,https://maps.google.com/?cid=2526574753760904159,https://www.yelp.com/biz/dragons-head-cider-vashon,,https://untappd.com/w/dragons-head-cider/36168
Rack & Cloth,Oregon,2018,1,0,0,1,2018,2018,1,Mosier,Oregon,Inactive,,,,,,,
Sea Cider Farm & Ciderhouse,British Columbia,2018,1,0,0,1,2018,2024,6,Saanichton,British Columbia,Active,https://www.seacider.ca/,https://www.facebook.com/seacider,https://www.instagram.com/seaciderhouse/,https://maps.google.com/?cid=689108951249608790,https://www.yelp.com/biz/sea-cider-farm-and-ciderhouse-saanichton,https://www.tripadvisor.com/Attraction_Review-g184850-d2392234,https://untappd.com/w/sea-cider-farm-and-ciderhouse/4780
Square Mile Cider,Oregon,2018,1,0,0,1,2014,2019,5,Portland,Oregon,Active,https://www.squaremilecider.com/,https://www.facebook.com/SquareMileCider,https://www.instagram.com/squaremilecider/,https://maps.google.com/?cid=1334101927022279814,,,https://untappd.com/w/square-mile-cider-co/62094
Chatter Creek Winery,Washington,2018,0,1,0,1,2018,2018,1,Woodinville,Washington,Inactive,,,,,,,
EdenVale Winery,Oregon,2018,0,1,0,1,2017,2018,2,Medford,Oregon,Active,http://www.edenvalewines.com/,https://www.facebook.com/EdenValeWinery,https://www.instagram.com/edenvalewinery/,https://maps.google.com/?cid=1337477973398359922,https://www.yelp.com/biz/edenvale-winery-medford-2,https://www.tripadvisor.com/Attraction_Review-g51965-d534330,https://untappd.com/w/edenvale-winery/343164
Finnriver Farm & Cidery,Washington,2018,0,1,0,1,2014,2024,9,Chimacum,Washington,Active,https://www.finnriver.com/,https://www.facebook.com/finnriver,https://www.instagram.com/finnriver/,https://maps.google.com/?cid=1802892066987578987,https://www.yelp.com/biz/finnriver-farm-and-cidery-chimacum,https://www.tripadvisor.com/Attraction_Review-g58399-d10595866,https://untappd.com/w/finnriver-farm-and-cidery/3008
North Idaho Cider,Idaho,2018,0,1,0,1,2017,2019,3,Hayden,Idaho,Inactive,,,,,,,
Snowdrift Cider Co.,Washington,2018,0,1,0,1,2016,2022,4,East Wenatchee,Washington,Active,https://www.snowdriftcider.com/,https://www.facebook.com/snowdriftcider,https://www.instagram.com/snowdriftciderco/,https://maps.google.com/?cid=18339570792633761066,https://www.yelp.com/biz/snowdrift-cider-east-wenatchee,,https://untappd.com/w/snowdrift-cider-co/8545
Rootwood Cider Co.,Washington,2018,0,0,1,1,2018,2024,6,Manson,Washington,Active,http://www.rootwoodcider.com/,https://www.facebook.com/rootwoodciderco/,https://www.instagram.com/rootwoodcider/,https://maps.google.com/?cid=1905642347995959494,https://www.yelp.com/biz/rootwood-cider-taproom-manson,https://www.tripadvisor.com/Attraction_Review-g58587-d10522833,https://untappd.com/w/rootwood-cider-co/223706
Seattle Cider Company,Washington,2018,0,0,1,1,2015,2024,7,Seattle,Washington,Active,http://www.seattlecidercompany.com/,https://www.facebook.com/SeattleCiderCo,https://www.instagram.com/seattleciderco/,https://maps.google.com/?cid=10339393864619567754,https://www.yelp.com/biz/seattle-cider-company-seattle,,https://untappd.com/w/seattle-cider-company/75923
Tumalo Cider,Oregon,2018,0,0,1,1,2018,2018,1,Bend,Oregon,Active,http://www.tumalocider.com/,https://www.facebook.com/tumalocider/,https://www.instagram.com/tumalocider/,https://maps.google.com/?cid=522863006020173702,https://www.yelp.com/biz/tumalo-cider-bend-2,https://www.tripadvisor.com/Attraction_Review-g51766-d19974086,https://untappd.com/w/tumalo-cider-co/276596
WildCraft Cider Works,Oregon,2018,0,0,1,1,2015,2018,4,Eugene,Oregon,Active,https://wildcraftciderworks.com/,https://www.facebook.com/WildCraftCiderWorks/,https://www.instagram.com/wildcraftcider/,https://maps.google.com/?cid=15001881032430403771,https://www.yelp.com/biz/wildcraft-cider-works-eugene,https://www.tripadvisor.com/Restaurant_Review-g51862-d8277583,https://untappd.com/w/wildcraft-cider-works/159780
Bauman's Cider,Oregon,2019,4,2,0,6,2017,2024,7,Gervais,Oregon,Active,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.yelp.com/biz/baumans-farm-and-garden-gervais,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872
2 Towns Ciderhouse,Oregon,2019,2,3,1,6,2015,2024,9,Corvallis,Oregon,Active,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975
Tieton Cider Works,Washington,2019,1,2,3,6,2014,2022,6,Yakima,Washington,Active,https://tietonciderworks.com/,https://www.facebook.com/tietonciderworks/,https://www.instagram.com/tietonciderworks/,https://maps.google.com/?cid=9208093896298438407,https://www.yelp.com/biz/tieton-cider-works-yakima,https://www.tripadvisor.com/Attraction_Review-g58838-d7991577,https://untappd.com/w/tieton-cider-works/10804
