ID,WID,Year,Style,Medalist,Entry,Region,Award,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd,Status
171,387,2019,French,Liberty Ciderworks,Lafayette,Washington,🥇 Gold,http://libertycider.com/,https://www.facebook.com/LibertyCider,https://www.instagram.com/libertycider/,https://maps.google.com/?cid=14868081944798289423,https://www.yelp.com/biz/liberty-ciderworks-spokane-3,https://www.tripadvisor.com/Restaurant_Review-g58759-d17373965,https://untappd.com/w/liberty-ciderworks/106336,Active
172,118,2019,French,Bauman's Cider,Keeved Bittersweet,Oregon,🥈 Silver,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.yelp.com/biz/baumans-farm-and-garden-gervais,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872,Active
173,118,2019,Fruit Cider - Cane Fruit,Bauman's Cider,Logan Berry,Oregon,🥇 Gold,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.yelp.com/biz/baumans-farm-and-garden-gervais,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872,Active
174,67,2019,Fruit Cider - Cane Fruit,2 Towns Ciderhouse,Two Thorns,Oregon,🥈 Silver,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975,Active
175,2209,2019,Fruit Cider - Cherry,Draper Girls Cider Co.,Tart Cherry,Oregon,🥈 Silver,http://www.drapergirlsfarm.com/,https://www.facebook.com/drapergirlscountryfarm,https://www.instagram.com/drapergirlsfarm/,https://maps.google.com/?cid=6165797375002364096,https://www.yelp.com/biz/draper-girls-cider-company-parkdale,https://www.tripadvisor.com/Attraction_Review-g52014-d11823506,https://untappd.com/w/draper-girls-cider-co/363577,Active
176,2209,2019,Fruit Cider - Cherry,Draper Girls Cider Co.,Cherry Pie,Oregon,🥉 Bronze,http://www.drapergirlsfarm.com/,https://www.facebook.com/drapergirlscountryfarm,https://www.instagram.com/drapergirlsfarm/,https://maps.google.com/?cid=6165797375002364096,https://www.yelp.com/biz/draper-girls-cider-company-parkdale,https://www.tripadvisor.com/Attraction_Review-g52014-d11823506,https://untappd.com/w/draper-girls-cider-co/363577,Active
177,67,2019,Fruit Cider - Other,2 Towns Ciderhouse,Strawberry Haze,Oregon,🥇 Gold,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975,Active
178,67,2019,Fruit Cider - Other,2 Towns Ciderhouse,Passion Statement,Oregon,🥈 Silver,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975,Active
179,635,2019,Fruit Cider - Other,Tieton Cider Works,Cranberry Cider,Washington,🥉 Bronze,https://tietonciderworks.com/,https://www.facebook.com/tietonciderworks/,https://www.instagram.com/tietonciderworks/,https://maps.google.com/?cid=9208093896298438407,https://www.yelp.com/biz/tieton-cider-works-yakima,https://www.tripadvisor.com/Attraction_Review-g58838-d7991577,https://untappd.com/w/tieton-cider-works/10804,Active
180,2209,2019,Fruit Cider - Pear,Draper Girls Cider Co.,French Pear,Oregon,🥈 Silver,http://www.drapergirlsfarm.com/,https://www.facebook.com/drapergirlscountryfarm,https://www.instagram.com/drapergirlsfarm/,https://maps.google.com/?cid=6165797375002364096,https://www.yelp.com/biz/draper-girls-cider-company-parkdale,https://www.tripadvisor.com/Attraction_Review-g52014-d11823506,https://untappd.com/w/draper-girls-cider-co/363577,Active
181,118,2019,Fruit Cider - Stone Fruit,Bauman's Cider,Peach Raspberry,Oregon,🥇 Gold,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.yelp.com/biz/baumans-farm-and-garden-gervais,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872,Active
182,635,2019,Fruit Cider - Stone Fruit,Tieton Cider Works,Apricot Cider,Washington,🥈 Silver,https://tietonciderworks.com/,https://www.facebook.com/tietonciderworks/,https://www.instagram.com/tietonciderworks/,https://maps.google.com/?cid=9208093896298438407,https://www.yelp.com/biz/tieton-cider-works-yakima,https://www.tripadvisor.com/Attraction_Review-g58838-d7991577,https://untappd.com/w/tieton-cider-works/10804,Active
183,2209,2019,Fruit Cider - Stone Fruit,Draper Girls Cider Co.,Raspberry Nectarine,Oregon,🥉 Bronze,http://www.drapergirlsfarm.com/,https://www.facebook.com/drapergirlscountryfarm,https://www.instagram.com/drapergirlsfarm/,https://maps.google.com/?cid=6165797375002364096,https://www.yelp.com/biz/draper-girls-cider-company-parkdale,https://www.tripadvisor.com/Attraction_Review-g52014-d11823506,https://untappd.com/w/draper-girls-cider-co/363577,Active
184,67,2019,Heritage Dry,2 Towns Ciderhouse,8th Anniversary,Oregon,🥇 Gold,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975,Active
185,118,2019,Heritage Dry,Bauman's Cider,Clyde’s Dry,Oregon,🥈 Silver,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.yelp.com/biz/baumans-farm-and-garden-gervais,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872,Active
186,635,2019,Heritage Dry,Tieton Cider Works,Wild Washington Cider,Washington,🥉 Bronze,https://tietonciderworks.com/,https://www.facebook.com/tietonciderworks/,https://www.instagram.com/tietonciderworks/,https://maps.google.com/?cid=9208093896298438407,https://www.yelp.com/biz/tieton-cider-works-yakima,https://www.tripadvisor.com/Attraction_Review-g58838-d7991577,https://untappd.com/w/tieton-cider-works/10804,Active
187,428,2019,Heritage Sweet,Montana CiderWorks,Derby Pub Cider,Montana,🥈 Silver,http://montanacider.com/,https://www.facebook.com/Montana-CiderWorks-208483272577248/,,,,,https://untappd.com/w/montana-ciderworks/33843,Active
188,635,2019,Heritage Sweet,Tieton Cider Works,Blossom Nectar Cider,Washington,🥉 Bronze,https://tietonciderworks.com/,https://www.facebook.com/tietonciderworks/,https://www.instagram.com/tietonciderworks/,https://maps.google.com/?cid=9208093896298438407,https://www.yelp.com/biz/tieton-cider-works-yakima,https://www.tripadvisor.com/Attraction_Review-g58838-d7991577,https://untappd.com/w/tieton-cider-works/10804,Active
189,534,2019,Hopped,Runcible Cider,Hop Ya’ll,Oregon,🥇 Gold,https://www.runciblecider.com/,https://www.facebook.com/runciblecider/,https://www.instagram.com/runciblecider/,https://maps.google.com/?cid=15182592417091165603,https://www.yelp.com/biz/runcible-cider-mosier-2,,https://untappd.com/w/runcible-cider/332214,Active
190,530,2019,Hopped,Rootwood Cider Co.,Hop Infused,Washington,🥈 Silver,http://www.rootwoodcider.com/,https://www.facebook.com/rootwoodciderco/,https://www.instagram.com/rootwoodcider/,https://maps.google.com/?cid=1905642347995959494,https://www.yelp.com/biz/rootwood-cider-taproom-manson,https://www.tripadvisor.com/Attraction_Review-g58587-d10522833,https://untappd.com/w/rootwood-cider-co/223706,Active
191,585,2019,Hopped,Square Mile Cider,Hopped Apple Cider,Oregon,🥉 Bronze,https://www.squaremilecider.com/,https://www.facebook.com/SquareMileCider,https://www.instagram.com/squaremilecider/,https://maps.google.com/?cid=1334101927022279814,,,https://untappd.com/w/square-mile-cider-co/62094,Active
192,612,2019,Modern Dry,Swift Cider,Original Hard Apple,Oregon,🥇 Gold,https://www.swiftcider.com/,https://www.facebook.com/SwiftCider/,https://www.instagram.com/swiftcider/,,https://www.yelp.com/biz/swift-cider-portland,,https://untappd.com/w/swift-cider/138445,Active
193,839,2019,Modern Dry,Cambium Cider Co,The Hostler,British Columbia,🥈 Silver,https://www.cambiumcider.com/,https://www.facebook.com/cambiumcider,https://www.instagram.com/cambiumcider,https://maps.google.com/?cid=6249839959535544019,https://www.yelp.com/biz/cambium-cider-vernon,https://www.tripadvisor.com/Restaurant_Review-g154946-d26458661,https://untappd.com/w/cambium-cider-co/143435,Active
194,3362,2019,Modern Dry,Idun Cider,Idun Cider Dry,Washington,🥉 Bronze,,,,,,,,Inactive
195,990,2019,Modern Perry,Independent Perry,Sno Gem Dry,Washington,🥇 Gold,,https://www.facebook.com/IndependentPerry,https://www.instagram.com/independentperry/,,,,https://untappd.com/Independent_Cider,Active
196,530,2019,Modern Perry,Rootwood Cider Co.,Perry,Washington,🥈 Silver,http://www.rootwoodcider.com/,https://www.facebook.com/rootwoodciderco/,https://www.instagram.com/rootwoodcider/,https://maps.google.com/?cid=1905642347995959494,https://www.yelp.com/biz/rootwood-cider-taproom-manson,https://www.tripadvisor.com/Attraction_Review-g58587-d10522833,https://untappd.com/w/rootwood-cider-co/223706,Active
197,990,2019,Modern Perry,Independent Perry,Semi Dry Bartlett Perry,Washington,🥉 Bronze,,https://www.facebook.com/IndependentPerry,https://www.instagram.com/independentperry/,,,,https://untappd.com/Independent_Cider,Active
198,118,2019,Modern Sweet,Bauman's Cider,Stephen’s Sweet,Oregon,🥇 Gold,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.yelp.com/biz/baumans-farm-and-garden-gervais,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872,Active
199,612,2019,Modern Sweet,Swift Cider,Mac,Oregon,🥈 Silver,https://www.swiftcider.com/,https://www.facebook.com/SwiftCider/,https://www.instagram.com/swiftcider/,,https://www.yelp.com/biz/swift-cider-portland,,https://untappd.com/w/swift-cider/138445,Active
200,387,2019,Single Varietal - Bittersweet/Bittersharp,Liberty Ciderworks,Kingston Black SV,Washington,🥇 Gold,http://libertycider.com/,https://www.facebook.com/LibertyCider,https://www.instagram.com/libertycider/,https://maps.google.com/?cid=14868081944798289423,https://www.yelp.com/biz/liberty-ciderworks-spokane-3,https://www.tripadvisor.com/Restaurant_Review-g58759-d17373965,https://untappd.com/w/liberty-ciderworks/106336,Active
201,463,2019,Single Varietal - Crab,OR\WA Cider Collective,100% Manchurian Crabapple,Oregon,🥈 Silver,,,,,,,,Inactive
202,553,2019,Single Varietal - Dessert/Culinary,Seattle Cider Company,Gravenstein Rose,Washington,🥉 Bronze,http://www.seattlecidercompany.com/,https://www.facebook.com/SeattleCiderCo,https://www.instagram.com/seattleciderco/,https://maps.google.com/?cid=10339393864619567754,https://www.yelp.com/biz/seattle-cider-company-seattle,,https://untappd.com/w/seattle-cider-company/75923,Active
203,570,2019,Specialty,Snowdrift Cider Co.,Red,Washington,🥇 Gold,https://www.snowdriftcider.com/,https://www.facebook.com/snowdriftcider,https://www.instagram.com/snowdriftciderco/,https://maps.google.com/?cid=18339570792633761066,https://www.yelp.com/biz/snowdrift-cider-east-wenatchee,,https://untappd.com/w/snowdrift-cider-co/8545,Active
204,612,2019,Specialty,Swift Cider,Pinot Rose,Oregon,🥈 Silver,https://www.swiftcider.com/,https://www.facebook.com/SwiftCider/,https://www.instagram.com/swiftcider/,,https://www.yelp.com/biz/swift-cider-portland,,https://untappd.com/w/swift-cider/138445,Active
205,85,2019,Specialty,Alter Ego Cider,The Brew,Oregon,🥉 Bronze,,,,,,,,Inactive
206,118,2019,Spiced,Bauman's Cider,Old Mule,Oregon,🥇 Gold,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.yelp.com/biz/baumans-farm-and-garden-gervais,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872,Active
207,67,2019,Spiced,2 Towns Ciderhouse,Ginja Ninja,Oregon,🥈 Silver,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975,Active
208,3363,2019,Spiced,Happy Valley Ciderworks,Oma’s Spiced Cider,Oregon,🥉 Bronze,,,,,,,,Inactive
209,635,2019,Traditional Perry,Tieton Cider Works,Pure Pear,Washington,🥈 Silver,https://tietonciderworks.com/,https://www.facebook.com/tietonciderworks/,https://www.instagram.com/tietonciderworks/,https://maps.google.com/?cid=9208093896298438407,https://www.yelp.com/biz/tieton-cider-works-yakima,https://www.tripadvisor.com/Attraction_Review-g58838-d7991577,https://untappd.com/w/tieton-cider-works/10804,Active
210,244,2019,Traditional Perry,Dragon's Head Cider,Perry,Washington,🥉 Bronze,http://www.dragonsheadcider.com/,,https://www.instagram.com/dragonsheadcider/,https://maps.google.com/?cid=2526574753760904159,https://www.yelp.com/biz/dragons-head-cider-vashon,,https://untappd.com/w/dragons-head-cider/36168,Active
211,565,2019,Wild/Non-Sac,Working Hands Fermentation,Homestead,Oregon,🥉 Bronze,https://www.workinghandsfermentation.com/,https://www.facebook.com/workinghandsbeer,https://www.instagram.com/workinghandsbeer/,https://maps.google.com/?cid=5832524138589986526,https://www.yelp.com/biz/working-hands-fermentation-no-title,,https://untappd.com/WorkingHandsBeer,Active
212,570,2019,Wood/Oaked,Snowdrift Cider Co.,Cornice,Washington,🥇 Gold,https://www.snowdriftcider.com/,https://www.facebook.com/snowdriftcider,https://www.instagram.com/snowdriftciderco/,https://maps.google.com/?cid=18339570792633761066,https://www.yelp.com/biz/snowdrift-cider-east-wenatchee,,https://untappd.com/w/snowdrift-cider-co/8545,Active
213,451,2019,Wood/Oaked,North Idaho Cider,Prairie Gold,Idaho,🥈 Silver,,,,,,,,Inactive
214,67,2019,Wood/Oaked,2 Towns Ciderhouse,Boysenbarrel,Oregon,🥉 Bronze,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975,Active
215,118,2021,Botanical,Bauman's Cider,Strawberry Mojito,Oregon,🥇 Gold,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.yelp.com/biz/baumans-farm-and-garden-gervais,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872,Active
216,534,2021,Botanical,Runcible Cider,Bergamot Oak,Oregon,🥈 Silver,https://www.runciblecider.com/,https://www.facebook.com/runciblecider/,https://www.instagram.com/runciblecider/,https://maps.google.com/?cid=15182592417091165603,https://www.yelp.com/biz/runcible-cider-mosier-2,,https://untappd.com/w/runcible-cider/332214,Active
217,787,2021,English Dry Cider,Fraser Valley Cider Company,Scrumpy,British Columbia,🥇 Gold,https://www.fraservalleycider.ca/,https://www.facebook.com/fraservalleycider/,https://www.instagram.com/fraservalleycider/,https://maps.google.com/?cid=1355617416961303454,https://www.yelp.com/biz/fraser-valley-cider-company-langley,https://www.tripadvisor.com/Attraction_Review-g181724-d10538342,https://untappd.com/w/fraser-valley-cider-company/272748,Active
218,676,2021,English Dry Cider,Western Cider,Farmhouse,Montana,🥈 Silver,http://www.westerncider.com/,https://www.facebook.com/westerncider/,https://www.instagram.com/westerncider/,https://maps.google.com/?cid=14623261427414740204,https://www.yelp.com/biz/western-cider-missoula,https://www.tripadvisor.com/Attraction_Review-g45277-d12473667,https://untappd.com/w/western-cider/328334,Active
219,387,2021,English Dry Cider,Liberty Ciderworks,55 Chain,Washington,🥉 Bronze,http://libertycider.com/,https://www.facebook.com/LibertyCider,https://www.instagram.com/libertycider/,https://maps.google.com/?cid=14868081944798289423,https://www.yelp.com/biz/liberty-ciderworks-spokane-3,https://www.tripadvisor.com/Restaurant_Review-g58759-d17373965,https://untappd.com/w/liberty-ciderworks/106336,Active
220,830,2021,English Sweet Cider,Sea Cider Farm & Ciderhouse,Bittersweet,British Columbia,🥇 Gold,https://www.seacider.ca/,https://www.facebook.com/seacider,https://www.instagram.com/seaciderhouse/,https://maps.google.com/?cid=689108951249608790,https://www.yelp.com/biz/sea-cider-farm-and-ciderhouse-saanichton,https://www.tripadvisor.com/Attraction_Review-g184850-d2392234,https://untappd.com/w/sea-cider-farm-and-ciderhouse/4780,Active
221,67,2021,French Cider,2 Towns Ciderhouse,2018 Cidre Bouché,Oregon,🥉 Bronze,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975,Active
222,67,2021,Fruit Cider,2 Towns Ciderhouse,Easy Squeezy,Oregon,🥇 Gold,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975,Active
223,3364,2021,Fruit Cider,Rain Barrel Ciderworks,Hazy Guava,Oregon,🥇 Gold,,,,,,,,Inactive
224,635,2021,Fruit Cider,Tieton Cider Works,Apricot,Washington,🥇 Gold,https://tietonciderworks.com/,https://www.facebook.com/tietonciderworks/,https://www.instagram.com/tietonciderworks/,https://maps.google.com/?cid=9208093896298438407,https://www.yelp.com/biz/tieton-cider-works-yakima,https://www.tripadvisor.com/Attraction_Review-g58838-d7991577,https://untappd.com/w/tieton-cider-works/10804,Active
225,118,2021,Fruit Cider,Bauman's Cider,Loganberry Cider,Oregon,🥈 Silver,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.yelp.com/biz/baumans-farm-and-garden-gervais,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872,Active
226,1970,2021,Fruit Cider,Cyderish,B.O.M.B. Cider – Mango Cider,Oregon,🥈 Silver,,,,,,,,Inactive
227,635,2021,Fruit Cider,Tieton Cider Works,Blueberry,Washington,🥈 Silver,https://tietonciderworks.com/,https://www.facebook.com/tietonciderworks/,https://www.instagram.com/tietonciderworks/,https://maps.google.com/?cid=9208093896298438407,https://www.yelp.com/biz/tieton-cider-works-yakima,https://www.tripadvisor.com/Attraction_Review-g58838-d7991577,https://untappd.com/w/tieton-cider-works/10804,Active
228,1912,2021,Fruit Cider,Puget Sound Cider Company,Pineapple,Washington,🥉 Bronze,https://www.shopantiques4u.com/puget-sound-cider-co,https://www.facebook.com/PugetSoundCiderCo/,https://www.instagram.com/pugetsoundcider/,https://maps.google.com/?cid=8204287304413477076,,,https://untappd.com/w/puget-sound-cider-company/436269,Active
229,553,2021,Fruit Cider,Seattle Cider Company,Berry Rosé,Washington,🥉 Bronze,http://www.seattlecidercompany.com/,https://www.facebook.com/SeattleCiderCo,https://www.instagram.com/seattleciderco/,https://maps.google.com/?cid=10339393864619567754,https://www.yelp.com/biz/seattle-cider-company-seattle,,https://untappd.com/w/seattle-cider-company/75923,Active
230,957,2021,Heirloom Dry Cider,Yonder Cider,Yonder Bar Anniversary Blend,Washington,🥈 Silver,http://www.yondercider.com/,https://www.facebook.com/yondercider,https://www.instagram.com/yondercider/,https://maps.google.com/?cid=11002201593648505227,https://www.yelp.com/biz/yonder-cider-seattle,,https://untappd.com/w/yonder-cider/474448,Active
231,118,2021,Heirloom Dry Cider,Bauman's Cider,Clyde’s Dry,Oregon,🥉 Bronze,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.yelp.com/biz/baumans-farm-and-garden-gervais,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872,Active
232,1912,2021,Heirloom Sweet Cider,Puget Sound Cider Company,Rose,Washington,🥇 Gold,https://www.shopantiques4u.com/puget-sound-cider-co,https://www.facebook.com/PugetSoundCiderCo/,https://www.instagram.com/pugetsoundcider/,https://maps.google.com/?cid=8204287304413477076,,,https://untappd.com/w/puget-sound-cider-company/436269,Active
233,530,2021,Hopped,Rootwood Cider Co.,Hop Infused,Washington,🥇 Gold,http://www.rootwoodcider.com/,https://www.facebook.com/rootwoodciderco/,https://www.instagram.com/rootwoodcider/,https://maps.google.com/?cid=1905642347995959494,https://www.yelp.com/biz/rootwood-cider-taproom-manson,https://www.tripadvisor.com/Attraction_Review-g58587-d10522833,https://untappd.com/w/rootwood-cider-co/223706,Active
234,612,2021,Hopped,Swift Cider,Pineapple Hop,Oregon,🥈 Silver,https://www.swiftcider.com/,https://www.facebook.com/SwiftCider/,https://www.instagram.com/swiftcider/,,https://www.yelp.com/biz/swift-cider-portland,,https://untappd.com/w/swift-cider/138445,Active
235,118,2021,Hopped,Bauman's Cider,Hop Collab,Oregon,🥉 Bronze,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.yelp.com/biz/baumans-farm-and-garden-gervais,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872,Active
236,118,2021,Modern Dry Cider,Bauman's Cider,Gravenstein SV,Oregon,🥇 Gold,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.yelp.com/biz/baumans-farm-and-garden-gervais,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872,Active
237,553,2021,Modern Dry Cider,Seattle Cider Company,City Fruit 2018,Washington,🥈 Silver,http://www.seattlecidercompany.com/,https://www.facebook.com/SeattleCiderCo,https://www.instagram.com/seattleciderco/,https://maps.google.com/?cid=10339393864619567754,https://www.yelp.com/biz/seattle-cider-company-seattle,,https://untappd.com/w/seattle-cider-company/75923,Active
238,290,2021,Modern Dry Cider,Freewater Cider and Wine Company,Opal,Oregon,🥉 Bronze,http://www.freewatercider.com/,,,https://maps.google.com/?cid=3598112635185277642,,https://www.tripadvisor.com/Attraction_Review-g51971-d23305550,https://untappd.com/w/freewater-cider-co/419915,Active
239,67,2021,Modern Sweet Cider,2 Towns Ciderhouse,11th Anniversary,Oregon,🥇 Gold,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975,Active
240,635,2021,Modern Sweet Cider,Tieton Cider Works,Lavender Honey,Washington,🥈 Silver,https://tietonciderworks.com/,https://www.facebook.com/tietonciderworks/,https://www.instagram.com/tietonciderworks/,https://maps.google.com/?cid=9208093896298438407,https://www.yelp.com/biz/tieton-cider-works-yakima,https://www.tripadvisor.com/Attraction_Review-g58838-d7991577,https://untappd.com/w/tieton-cider-works/10804,Active
241,553,2021,Modern Sweet Cider,Seattle Cider Company,Honeycrisp,Washington,🥉 Bronze,http://www.seattlecidercompany.com/,https://www.facebook.com/SeattleCiderCo,https://www.instagram.com/seattleciderco/,https://maps.google.com/?cid=10339393864619567754,https://www.yelp.com/biz/seattle-cider-company-seattle,,https://untappd.com/w/seattle-cider-company/75923,Active
242,118,2021,Single Varietal Cider - Bittersweet/Bittersharp,Bauman's Cider,Porter’s Perfection SV,Oregon,🥈 Silver,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.yelp.com/biz/baumans-farm-and-garden-gervais,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872,Active
243,676,2021,Single Varietal - Crab,Western Cider,Wickson,Montana,🥈 Silver,http://www.westerncider.com/,https://www.facebook.com/westerncider/,https://www.instagram.com/westerncider/,https://maps.google.com/?cid=14623261427414740204,https://www.yelp.com/biz/western-cider-missoula,https://www.tripadvisor.com/Attraction_Review-g45277-d12473667,https://untappd.com/w/western-cider/328334,Active
244,1912,2021,Single Varietal - Crab,Puget Sound Cider Company,Virginia Crabapple,Washington,🥉 Bronze,https://www.shopantiques4u.com/puget-sound-cider-co,https://www.facebook.com/PugetSoundCiderCo/,https://www.instagram.com/pugetsoundcider/,https://maps.google.com/?cid=8204287304413477076,,,https://untappd.com/w/puget-sound-cider-company/436269,Active
245,118,2021,Single Varietal Cider - Dessert/Culinary,Bauman's Cider,McIntosh SV,Oregon,🥇 Gold,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.yelp.com/biz/baumans-farm-and-garden-gervais,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872,Active
246,67,2021,Single Varietal Cider - Dessert/Culinary,2 Towns Ciderhouse,Cosmic Crisp,Oregon,🥈 Silver,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975,Active
247,271,2021,Single Varietal Cider - Dessert/Culinary,Ragged and Right Cider Project,First Pick: Gravenstein,Washington,🥈 Silver,http://www.farmstrongbrewing.com/,https://www.facebook.com/raggedandrightciderproject/,https://www.instagram.com/raggedandrightciderproject/,https://maps.google.com/?cid=9734737069805633605,https://www.yelp.com/biz/farmstrong-brewery-mount-vernon,https://www.tripadvisor.com/Attraction_Review-g58622-d15551215,https://untappd.com/w/farmstrong-brewing-company/216863,Active
248,118,2021,Single Varietal Cider - Red Flesh Apples,Bauman's Cider,Mountain Rose SV,Oregon,🥇 Gold,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.yelp.com/biz/baumans-farm-and-garden-gervais,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872,Active
249,916,2021,Specialty,Peak Light Cider,Orchard Reserve Quince Cider,Oregon,🥇 Gold,https://peaklightcider.com/,https://www.facebook.com/peaklightcider,https://www.instagram.com/peaklightcider/,https://maps.google.com/?cid=10958770531628316703,,,https://untappd.com/PeakLightCider,Active
