WID,Medalist,Region,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,City,Region,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd,Latitude,Longitude
2037,Empyrical Orchard & Cidery,Washington,1,0,3,4,2023,2024,2,Snohomish,Washington,Active,,https://www.facebook.com/profile.php?id=100068960115984,https://www.instagram.com/empyricalcider/,,,,https://untappd.com/w/empyrical-orchard-cidery/507102,47.9125058,-122.0347067
1084,19 Acres Cider Co.,Oregon,0,2,2,4,2022,2024,3,Sherwood,Oregon,Active,https://19acres.com/,https://www.facebook.com/19AcresCiderCo/,https://www.instagram.com/19acresciderco/,https://maps.google.com/?cid=4476171369322689525,https://www.yelp.com/biz/19-acres-cider-co-sherwood,https://www.tripadvisor.com/Restaurant_Review-g52068-d25236157,https://untappd.com/19AcresHardCider,45.3886798,-122.9315471
688,WildCraft Cider Works,Oregon,0,0,4,4,2015,2018,4,Eugene,Oregon,Active,https://wildcraftciderworks.com/,https://www.facebook.com/WildCraftCiderWorks/,https://www.instagram.com/wildcraftcider/,https://maps.google.com/?cid=15001881032430403771,https://www.yelp.com/biz/wildcraft-cider-works-eugene,https://www.tripadvisor.com/Restaurant_Review-g51862-d8277583,https://untappd.com/w/wildcraft-cider-works/159780,44.055602,-123.097306
534,Runcible Cider,Oregon,2,1,0,3,2019,2023,3,Mosier,Oregon,Active,https://www.runciblecider.com/,https://www.facebook.com/runciblecider/,https://www.instagram.com/runciblecider/,https://maps.google.com/?cid=15182592417091165603,https://www.yelp.com/biz/runcible-cider-mosier-2,,https://untappd.com/w/runcible-cider/332214,45.673003,-121.408294
908,Union Hill Cider Co.,Washington,2,1,0,3,2023,2024,2,East Wenatchee,Washington,Active,https://www.unionhillciderco.com/,https://www.facebook.com/UnionHillCiderCo/,https://www.instagram.com/unionhillciderco/,https://maps.google.com/?cid=15999164221517255413,https://www.yelp.com/biz/union-hill-cider-east-wenatchee,,https://untappd.com/UnionHillCiderCo,47.3880763,-120.2207316
173,Bull Run Cider,Oregon,2,0,1,3,2014,2016,3,Forest Grove,Oregon,Active,http://www.bullruncider.com/,https://www.facebook.com/Cider,https://www.instagram.com/bullruncider/,https://maps.google.com/?cid=13917891364878698013,https://www.yelp.com/biz/bull-run-cider-forest-grove,,https://untappd.com/w/bull-run-cider/58380,45.523121,-123.106516
257,Elk Horn Brewery & Ciderhouse,Oregon,2,0,1,3,2016,2018,2,Eugene,Oregon,Active,http://www.elkhornbrewery.com/,https://www.facebook.com/elkhornbrewery/,https://www.instagram.com/elk_horn_brewery/,https://maps.google.com/?cid=3806213339852533020,https://www.yelp.com/biz/elk-horn-brewery-eugene-7,https://www.tripadvisor.com/Restaurant_Review-g51862-d7099011,https://untappd.com/w/elk-horn-brewery-and-ciderhouse/153381,44.049648,-123.082413
2039,Kristof Farms Cider,Oregon,1,2,0,3,2023,2024,2,Yamhill,Oregon,Active,https://www.kristoffarms.com/,https://www.facebook.com/KristofFarms/,https://www.instagram.com/kristoffarms/,,,,https://untappd.com/w/kristof-farms/524122,45.3833849,-123.153384
244,Dragon's Head Cider,Washington,1,1,1,3,2018,2021,3,Vashon,Washington,Active,http://www.dragonsheadcider.com/,,https://www.instagram.com/dragonsheadcider/,https://maps.google.com/?cid=2526574753760904159,https://www.yelp.com/biz/dragons-head-cider-vashon,,https://untappd.com/w/dragons-head-cider/36168,47.441428,-122.473876
828,Scenic Road Cider Co.,British Columbia,1,0,2,3,2017,2022,2,Kelowna,British Columbia,Active,https://scenicroadcider.com/,https://www.facebook.com/scenicroadcider/,https://www.instagram.com/scenicroadcider/,https://maps.google.com/?cid=1733637164282947547,https://www.yelp.com/biz/scenic-road-cider-kelowna,https://www.tripadvisor.com/Attraction_Review-g154933-d12829198,https://untappd.com/w/scenic-road-cider-co/271530,49.931257,-119.421347
451,North Idaho Cider,Idaho,0,3,0,3,2017,2019,3,Hayden,Idaho,Inactive,,,,,,,,47.7559855,-116.7871141
85,Alter Ego Cider,Oregon,0,2,1,3,2015,2019,3,Portland,Oregon,Inactive,,,,,,,,45.519839,-122.659396
181,Slake Cider,Oregon,0,2,1,3,2016,2018,2,McMinnville,Oregon,Inactive,,,,,,,,45.215577,-123.197811
337,Hopworks Urban Brewery,Oregon,0,1,2,3,2015,2016,2,Portland,Oregon,Active,http://hopworksbeer.com/,https://www.facebook.com/HopworksBeer,https://www.instagram.com/hopworksbeer,https://maps.google.com/?cid=12310474527095469991,https://www.yelp.com/biz/hopworks-urban-brewery-portland,https://www.tripadvisor.com/Restaurant_Review-g52024-d1118479,https://untappd.com/w/hopworks-urban-brewery/678,45.496879,-122.634841
205,Cockrell Cider Farm,Washington,0,0,3,3,2024,2024,1,Puyallup,Washington,Active,http://www.cockrellbrewing.com/,https://www.facebook.com/cockrellcider/,https://www.instagram.com/cockrellhardcider,https://maps.google.com/?cid=6832353082997005018,https://www.yelp.com/biz/cockrell-brewing-puyallup,https://www.tripadvisor.com/Attraction_Review-g58693-d13155999,https://untappd.com/w/cockrell-brewing/157444,47.196498,-122.276272
998,EdenVale Winery,Oregon,1,1,0,2,2017,2018,2,Medford,Oregon,Active,http://www.edenvalewines.com/,https://www.facebook.com/EdenValeWinery,https://www.instagram.com/edenvalewinery/,https://maps.google.com/?cid=1337477973398359922,https://www.yelp.com/biz/edenvale-winery-medford-2,https://www.tripadvisor.com/Attraction_Review-g51965-d534330,https://untappd.com/w/edenvale-winery/343164,42.2886086,-122.8477144
787,Fraser Valley Cider Company,British Columbia,1,1,0,2,2021,2022,2,Langley Township,British Columbia,Active,https://www.fraservalleycider.ca/,https://www.facebook.com/fraservalleycider/,https://www.instagram.com/fraservalleycider/,https://maps.google.com/?cid=1355617416961303454,https://www.yelp.com/biz/fraser-valley-cider-company-langley,https://www.tripadvisor.com/Attraction_Review-g181724-d10538342,https://untappd.com/w/fraser-valley-cider-company/272748,49.030911,-122.610962
415,Meriwether Cider Company,Idaho,1,1,0,2,2023,2023,1,Garden City,Idaho,Active,https://www.meriwethercider.com/,https://www.facebook.com/meriwethercider,https://www.instagram.com/meriwethercider/,https://maps.google.com/?cid=7830741432069672416,https://www.yelp.com/biz/meriwether-cider-company-garden-city-2,https://www.tripadvisor.com/Attraction_Review-g35459-d10034505,https://untappd.com/w/meriwether-cider-company/222316,43.645176,-116.271227
1002,Cedar Draw Cider,Idaho,1,0,1,2,2023,2023,1,Buhl,Idaho,Active,https://www.cedardrawcider.com/,https://www.facebook.com/cedardrawcider,https://www.instagram.com/cedardrawcider/,https://maps.google.com/?cid=3792911876978867046,,,https://untappd.com/CedarDrawCider,42.59135,-114.7428599
990,Independent Perry,Washington,1,0,1,2,2019,2019,1,Dryden,Washington,Active,,https://www.facebook.com/IndependentPerry,https://www.instagram.com/independentperry/,,,,https://untappd.com/Independent_Cider,47.5533258,-120.5686382
806,Left Field Cider Co.,British Columbia,1,0,1,2,2015,2015,1,Logan Lake,British Columbia,Active,http://www.leftfieldcider.com/,https://www.facebook.com/leftfieldcider,https://www.instagram.com/leftfieldcider/,https://maps.google.com/?cid=2952880485422961840,https://www.yelp.com/biz/left-field-cider-company-logan-lake-2,https://www.tripadvisor.com/Attraction_Review-g1579868-d14910348,https://untappd.com/w/left-field-cider-co/34132,50.3615989,-120.8033218
241,Double Mountain Brewery & Cidery,Oregon,0,2,0,2,2023,2024,2,Hood River,Oregon,Active,http://www.doublemountainbrewery.com/,https://www.facebook.com/doublemountainbrewery,https://www.instagram.com/doublemountain,https://maps.google.com/?cid=2446696276607943242,https://www.yelp.com/biz/double-mountain-brewery-hood-river,https://www.tripadvisor.com/Restaurant_Review-g51909-d2186972,https://untappd.com/w/double-mountain-brewery-taproom/462,45.710014,-121.514641
271,Ragged and Right Cider Project,Washington,0,2,0,2,2021,2022,2,Mount Vernon,Washington,Active,http://www.farmstrongbrewing.com/,https://www.facebook.com/raggedandrightciderproject/,https://www.instagram.com/raggedandrightciderproject/,https://maps.google.com/?cid=9734737069805633605,https://www.yelp.com/biz/farmstrong-brewery-mount-vernon,https://www.tripadvisor.com/Attraction_Review-g58622-d15551215,https://untappd.com/w/farmstrong-brewing-company/216863,48.442772,-122.342298
1056,Highpoint Cider,Idaho,0,1,1,2,2023,2024,2,Victor,Idaho,Active,https://highpointcider.com/,https://www.facebook.com/Highpointcider/,https://www.instagram.com/highpointcider/,https://maps.google.com/?cid=12149721453883945516,,,https://untappd.com/Highpoint_Cider,43.6131537,-111.1063313
2030,Idol Cider House,Oregon,0,1,1,2,2022,2024,2,Turner,Oregon,Active,https://idyll-acres.com/,,https://www.instagram.com/idol_cider_house/,,,,https://untappd.com/IdolCiderHouse,44.7501765,-122.918168
2119,La Familia Cider Company,Oregon,0,1,1,2,2017,2024,2,Salem,Oregon,Active,https://lafamiliacider.com/,https://www.facebook.com/lafamiliacider/,https://www.instagram.com/lafamiliacider/,https://maps.google.com/?cid=3685332940132306085,https://www.yelp.com/biz/la-familia-cider-salem,https://www.tripadvisor.com/Restaurant_Review-g52053-d23878155,https://untappd.com/LaFamiliaCider,44.9419167,-123.0407968
846,Twisted Hills Craft Cider,British Columbia,0,1,1,2,2016,2016,1,Cawston,British Columbia,Active,https://www.twistedhills.ca/,https://www.facebook.com/twistedhillscraftcider/,https://www.instagram.com/twistedhillscraftcider,https://maps.google.com/?cid=4618450840438418243,https://www.yelp.com/biz/twisted-hills-craft-cider-cawston,https://www.tripadvisor.com/Attraction_Review-g1059482-d8179333,https://untappd.com/w/twisted-hills-craft-cider/189085,49.177257,-119.754245
785,Faustino Estate Cidery,British Columbia,0,0,2,2,2016,2016,1,Osoyoos,British Columbia,Inactive,,,,,,,,49.051994,-119.50196
914,Bend Cider Company,Oregon,1,0,0,1,2021,2021,1,Bend,Oregon,Active,https://www.bendcider.com/,https://www.facebook.com/bendcider/,https://www.instagram.com/bendcider/,https://maps.google.com/?cid=9987900399339296372,https://www.yelp.com/biz/bend-cider-bend-2,https://www.tripadvisor.com/Attraction_Review-g51766-d23480277,https://untappd.com/BENDCIDERCO,44.1468909,-121.329653
147,Blue Mountain Cider Company,Oregon,1,0,0,1,2014,2014,1,Milton-Freewater,Oregon,Active,https://drinkcider.com/,https://www.facebook.com/DrinkCider/,https://www.instagram.com/bluemtncider,https://maps.google.com/?cid=2440645858088809767,https://www.yelp.com/biz/blue-mountain-cider-company-milton-freewater,https://www.tripadvisor.com/Attraction_Review-g51971-d734659,https://untappd.com/w/blue-mountain-cider-company/17953,45.937382,-118.391288
2547,Endless Orchard Cider,Washington,1,0,0,1,2024,2024,1,Chelan,Washington,Active,https://endlessorchardcider.com/,https://www.facebook.com/endlessorchardcider,https://www.instagram.com/endlessorchardcider,https://maps.google.com/?cid=8631759352853643868,,,https://untappd.com/w/endless-orchard-hard-pressed-cider/554146,47.8529453,-120.0419087
435,Nashi Orchards,Washington,1,0,0,1,2024,2024,1,Vashon,Washington,Active,http://www.nashiorchards.com/,https://www.facebook.com/nashiorchards,https://www.instagram.com/nashi_orchards/,https://maps.google.com/?cid=12360902013052761069,https://www.yelp.com/biz/nashi-orchards-winery-vashon,https://www.tripadvisor.com/Attraction_Review-g58805-d9564025,https://untappd.com/w/nashi-orchards/113169,47.375697,-122.504058
496,Rack & Cloth,Oregon,1,0,0,1,2018,2018,1,Mosier,Oregon,Inactive,,,,,,,,45.683309,-121.398854
3364,Rain Barrel Ciderworks,Oregon,1,0,0,1,2021,2021,1,Baker City,Oregon,Inactive,,,,,,,,44.779612,-117.8422537
2070,RAW Cider Co.,Oregon,1,0,0,1,2022,2022,1,Dayton,Oregon,Active,https://rawcider.com/,https://www.facebook.com/RAWciderco,https://www.instagram.com/rawcider,https://maps.google.com/?cid=14719415897364830707,https://www.yelp.com/biz/raw-cider-company-dayton,,https://untappd.com/Raw_Cider_Co,45.2418018,-123.0575241
527,Rogue Ales & Spirits,Oregon,1,0,0,1,2014,2014,1,Newport,Oregon,Active,http://www.rogue.com/,,,https://maps.google.com/?cid=15972873389957435766,https://www.yelp.com/biz/rogue-brewing-newport,https://www.tripadvisor.com/Attraction_Review-g51992-d6539306,https://untappd.com/w/rogue-ales-and-spirits/4565,44.620258,-124.052403
1800,^5 Cider,Oregon,0,1,0,1,2016,2016,1,Portland,Oregon,Inactive,,,,,,,,45.528907,-122.610394
72,12 Bridge Ciderworks,Oregon,0,1,0,1,2022,2022,1,Oregon City,Oregon,Inactive,,,,,,,,45.326412,-122.580527
103,Barmann Cellars,Oregon,0,1,0,1,2024,2024,1,Bend,Oregon,Active,https://avidcider.com/,https://www.facebook.com/AVIDCider/,https://www.instagram.com/avidcidercompany/,,https://www.yelp.com/biz/atlas-cider-co-bend-2,https://www.tripadvisor.com/Attraction_Review-g51766-d6870614,https://untappd.com/w/atlas-cider-company/65739,44.0509307,-121.3144074
839,Cambium Cider Co,British Columbia,0,1,0,1,2019,2019,1,Vernon,British Columbia,Active,https://www.cambiumcider.com/,https://www.facebook.com/cambiumcider,https://www.instagram.com/cambiumcider,https://maps.google.com/?cid=6249839959535544019,https://www.yelp.com/biz/cambium-cider-vernon,https://www.tripadvisor.com/Restaurant_Review-g154946-d26458661,https://untappd.com/w/cambium-cider-co/143435,50.2798201,-119.2228203
192,Chatter Creek Winery,Washington,0,1,0,1,2018,2018,1,Woodinville,Washington,Inactive,,,,,,,,47.762503,-122.149211
1970,Cyderish,Oregon,0,1,0,1,2021,2021,1,Eugene,Oregon,Inactive,,,,,,,,44.0569265,-123.1029851
2076,Heartland Ciderworks,Oregon,0,1,0,1,2023,2023,1,Rickreall,Oregon,Active,,https://www.facebook.com/HeartlandCiderworks,https://www.instagram.com/heartland_ciderworks/,,,,https://untappd.com/HeartlandCiderworks,44.9264472,-123.2292953
3373,Hedgerow Cidery,Oregon,0,1,0,1,2015,2015,1,Dallas,Oregon,Inactive,,,,,,,,,
390,Lockhorn Cider House,Montana,0,1,0,1,2022,2022,1,Bozeman,Montana,Active,http://www.lockhornhardcider.com/,https://www.facebook.com/lockhorncider/,https://www.instagram.com/lockhorncider/,https://maps.google.com/?cid=3319793704993492447,https://www.yelp.com/biz/lockhorn-cider-house-bozeman,https://www.tripadvisor.com/Restaurant_Review-g45095-d10379574,https://untappd.com/w/lockhorn-cider-house/108004,45.678765,-111.028676
810,Merridale Ciderworks,British Columbia,0,1,0,1,2014,2014,1,Cobble Hill,British Columbia,Active,https://www.merridale.ca/,https://www.facebook.com/merridalecider,https://www.instagram.com/merridalecider/,https://maps.google.com/?cid=14311203607332957022,https://www.yelp.com/biz/merridale-cobble-hill,https://www.tripadvisor.com/Attraction_Review-g1392612-d1735378,https://untappd.com/w/merridale-ciderworks/11650,48.6644855,-123.5869335
463,OR\WA Cider Collective,Oregon,0,1,0,1,2019,2019,1,Milwaukie,Oregon,Inactive,,,,,,,,45.440262,-122.630103
511,Renaissance Orchards,Washington,0,1,0,1,2024,2024,1,Ferndale,Washington,Active,https://renaissanceorchards.com/,https://www.facebook.com/RenaissanceOrchardsCider/,https://www.instagram.com/renaissanceorchards/,https://maps.google.com/?cid=8299199662211416163,,,https://untappd.com/RenaissanceOrchards,48.834936,-122.640266
2669,Upside Cider,British Columbia,0,1,0,1,2021,2021,1,Kelowna,British Columbia,Active,https://www.upsidecider.com/,https://www.facebook.com/upside.ciderBC,https://www.instagram.com/upside.cider/,https://maps.google.com/?cid=7631322191789606074,https://www.yelp.com/biz/upside-cider-and-farm-market-kelowna,https://www.tripadvisor.com/Restaurant_Review-g154933-d17836371,https://untappd.com/w/upside-cider/435440,49.9686304,-119.3860437
863,Wards Cider,British Columbia,0,1,0,1,2017,2017,1,Kelowna,British Columbia,Active,https://www.wardshardcider.com/,https://www.facebook.com/WardsHardAppleCider/,https://www.instagram.com/WardsCidery/,https://maps.google.com/?cid=16878260899987568393,https://www.yelp.com/biz/the-view-winery-and-vineyard-kelowna,https://www.tripadvisor.com/Attraction_Review-g154933-d3547867,https://untappd.com/w/wards-cidery/134573,49.8451347,-119.4383954
952,Archibald James,Washington,0,0,1,1,2022,2022,1,Leavenworth,Washington,Active,https://archibaldjames.com/,https://www.facebook.com/archibald.james.wine.cider,https://instagram.com/archibald.james.wine.cider,,https://www.yelp.com/biz/archibald-james-wine-and-cider-leavenworth-2,https://www.tripadvisor.com/Attraction_Review-g58560-d15684809,https://untappd.com/ArchibaldJamesCiderWorks,47.5939523,-120.6648052
290,Freewater Cider and Wine Company,Oregon,0,0,1,1,2021,2021,1,Milton-Freewater,Oregon,Active,http://www.freewatercider.com/,,,https://maps.google.com/?cid=3598112635185277642,,https://www.tripadvisor.com/Attraction_Review-g51971-d23305550,https://untappd.com/w/freewater-cider-co/419915,45.942433,-118.389708
3363,Happy Valley Ciderworks,Oregon,0,0,1,1,2019,2019,1,Clackamas,Oregon,Inactive,,,,,,,,45.4085601,-122.5467339
3362,Idun Cider,Washington,0,0,1,1,2019,2019,1,Seattle,Washington,Inactive,,,,,,,,47.6354265,-122.3397861
397,Lost Giants Cider Company,Washington,0,0,1,1,2024,2024,1,Bellingham,Washington,Active,https://lostgiantscider.com/,https://www.facebook.com/LostGiantsCider,https://www.instagram.com/lostgiantsciderco,https://maps.google.com/?cid=3699889965366654678,https://www.yelp.com/biz/lost-giants-cider-company-bellingham,,https://untappd.com/w/lost-giants-cider-company/395484,48.752457,-122.459354
2105,Riley's Cidery,British Columbia,0,0,1,1,2022,2022,1,Bowen Island,British Columbia,Active,https://www.rileyscider.com/,https://www.facebook.com/rileyscidery/,https://www.instagram.com/rileyscidery/,https://maps.google.com/?cid=9203737158800520029,,,https://untappd.com/RileysCidery,49.3624343,-123.4012374
3274,Stray Cider,Oregon,0,0,1,1,2024,2024,1,Clackamas,Oregon,Active,,,https://www.instagram.com/straycider/,,,,https://untappd.com/w/stray-cider/538425,45.4076205,-122.5703692
