ID,Category,Award,Medalist,Entry,Region,WID,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd,Latitude,Longitude
12,High-Tannin Ciders Sweet,🥈 SILVER,Schilling Cider,Excelsior Imperial Apple,Washington,550,https://schillingcider.com/,https://www.facebook.com/SchillingCider/,https://www.instagram.com/schillingcider/,https://maps.google.com/?cid=12281308087911884522,,,https://untappd.com/w/schilling-cider/62413,47.347243,-122.233995
13,High-Tannin Ciders Sweet,🥉 BRONZE,Empyrical Orchard & Cidery,La Raison Reserve,Washington,2037,,https://www.facebook.com/profile.php?id=100068960115984,https://www.instagram.com/empyricalcider/,,,,https://untappd.com/w/empyrical-orchard-cidery/507102,47.9128756,-122.0981847
14,Red-Fleshed Ciders Dry,🏆 BEST OF SHOW + 🥇 GOLD,Alpenfire Cider,Glow Airlie Red Flesh Single Varietal,Washington,84,https://www.alpenfirecider.com/,https://www.facebook.com/alpenfirecider,https://www.instagram.com/alpenfirecider/,https://maps.google.com/?cid=13194604853315575065,https://www.yelp.com/biz/alpenfire-cider-and-orchard-port-townsend,,https://untappd.com/w/alpenfire-cider/12510,48.082401,-122.87609
15,Red-Fleshed Ciders Dry,🥈 SILVER,Puget Sound Cider Company,Mountain Rosé,Washington,1912,https://www.shopantiques4u.com/puget-sound-cider-co,https://www.facebook.com/PugetSoundCiderCo/,https://www.instagram.com/pugetsoundcider/,https://maps.google.com/?cid=8204287304413477076,,,https://untappd.com/w/puget-sound-cider-company/436269,47.479856,-122.204573
16,Red-Fleshed Ciders Dry,🥉 BRONZE,Yonder Cider,Wenatchee Wave,Washington,957,http://www.yondercider.com/,https://www.facebook.com/yondercider,https://www.instagram.com/yondercider/,https://maps.google.com/?cid=11002201593648505227,https://www.yelp.com/biz/yonder-cider-seattle,,https://untappd.com/w/yonder-cider/474448,47.6646136,-122.3675796
17,Red-Fleshed Ciders Sweet,🥈 SILVER,Bauman's Cider,Mountain Rose Single Varietal,Oregon,118,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.yelp.com/biz/baumans-farm-and-garden-gervais,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872,45.1079661,-122.8693386
18,Low-Tannin Perries,🥇 GOLD,Seattle Cider Company,Perry,Washington,553,http://www.seattlecidercompany.com/,https://www.facebook.com/SeattleCiderCo,https://www.instagram.com/seattleciderco/,https://maps.google.com/?cid=10339393864619567754,https://www.yelp.com/biz/seattle-cider-company-seattle,,https://untappd.com/w/seattle-cider-company/75923,47.560327,-122.337605
19,High-Tannin Perries,🏆 RUNNER-UP + 🥇 GOLD,Yonder Cider,Barrel Aged Perry,Washington,957,http://www.yondercider.com/,https://www.facebook.com/yondercider,https://www.instagram.com/yondercider/,https://maps.google.com/?cid=11002201593648505227,https://www.yelp.com/biz/yonder-cider-seattle,,https://untappd.com/w/yonder-cider/474448,47.6646136,-122.3675796
20,High-Tannin Perries,🥉 BRONZE,Empyrical Orchard & Cidery,Principle,Washington,2037,,https://www.facebook.com/profile.php?id=100068960115984,https://www.instagram.com/empyricalcider/,,,,https://untappd.com/w/empyrical-orchard-cidery/507102,47.9128756,-122.0981847
21,Wood/Oaked,🥇 GOLD,Bauman's Cider,Mezcal Barrel Aged Cider,Oregon,118,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.yelp.com/biz/baumans-farm-and-garden-gervais,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872,45.1079661,-122.8693386
22,Wood/Oaked,🥈 SILVER,Kristof Farms,Reserve Cider,Oregon,2039,https://www.kristoffarms.com/,https://www.facebook.com/KristofFarms/,https://www.instagram.com/kristoffarms/,,,,https://untappd.com/w/kristof-farms/524122,45.3833849,-123.153384
23,Single Varietal,🥇 GOLD,Puget Sound Cider Company,Kingston Black,Washington,1912,https://www.shopantiques4u.com/puget-sound-cider-co,https://www.facebook.com/PugetSoundCiderCo/,https://www.instagram.com/pugetsoundcider/,https://maps.google.com/?cid=8204287304413477076,,,https://untappd.com/w/puget-sound-cider-company/436269,47.479856,-122.204573
24,Single Varietal,🥈 SILVER,Bauman's Cider,"Brown Snout, Single Varietal ",Oregon,118,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.yelp.com/biz/baumans-farm-and-garden-gervais,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872,45.1079661,-122.8693386
25,Single Varietal,🥉 BRONZE,Bauman's Cider,McIntosh Pet Nat,Oregon,118,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.yelp.com/biz/baumans-farm-and-garden-gervais,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872,45.1079661,-122.8693386
26,Fruit Co-Fermented,🥇 GOLD,Victoria Cider Co,Quince Cider,British Columbia,2134,https://www.victoriaciderco.ca/,https://www.facebook.com/victoriaciderco,https://www.instagram.com/victoriaciderco/,https://maps.google.com/?cid=4973668223480997484,https://www.yelp.ca/biz/victoria-cider-north-saanich,https://www.tripadvisor.com/Attraction_Review-g154945-d24170707,https://untappd.com/w/victoria-cider-co/523117,48.643741,-123.457186
27,Fruit Co-Fermented,🥈 SILVER,Puget Sound Cider Company,Blackberry Pear,Washington,1912,https://www.shopantiques4u.com/puget-sound-cider-co,https://www.facebook.com/PugetSoundCiderCo/,https://www.instagram.com/pugetsoundcider/,https://maps.google.com/?cid=8204287304413477076,,,https://untappd.com/w/puget-sound-cider-company/436269,47.479856,-122.204573
28,Fruit Co-Fermented,🥉 BRONZE,Puget Sound Cider Company,Wild Blue Huckleberry,Washington,1912,https://www.shopantiques4u.com/puget-sound-cider-co,https://www.facebook.com/PugetSoundCiderCo/,https://www.instagram.com/pugetsoundcider/,https://maps.google.com/?cid=8204287304413477076,,,https://untappd.com/w/puget-sound-cider-company/436269,47.479856,-122.204573
29,Fruit Post-Fermentation Sweet,🥇 GOLD,Meriwether Cider,Plum Dandy,Idaho,415,https://www.meriwethercider.com/,https://www.facebook.com/meriwethercider,https://www.instagram.com/meriwethercider/,https://maps.google.com/?cid=7830741432069672416,https://www.yelp.com/biz/meriwether-cider-company-garden-city-2,https://www.tripadvisor.com/Attraction_Review-g35459-d10034505,https://untappd.com/w/meriwether-cider-company/222316,43.645176,-116.271227
30,Fruit Post-Fermentation Sweet,🥈 SILVER,Yonder Cider,Coulee,Washington,957,http://www.yondercider.com/,https://www.facebook.com/yondercider,https://www.instagram.com/yondercider/,https://maps.google.com/?cid=11002201593648505227,https://www.yelp.com/biz/yonder-cider-seattle,,https://untappd.com/w/yonder-cider/474448,47.6646136,-122.3675796
31,Fruit Post-Fermentation Sweet,🥉 BRONZE,Sea Cider,Cherry Lane,British Columbia,830,https://www.seacider.ca/,https://www.facebook.com/seacider,https://www.instagram.com/seaciderhouse/,https://maps.google.com/?cid=689108951249608790,https://www.yelp.com/biz/sea-cider-farm-and-ciderhouse-saanichton,https://www.tripadvisor.com/Attraction_Review-g184850-d2392234,https://untappd.com/w/sea-cider-farm-and-ciderhouse/4780,48.6036859,-123.396825
32,Fruit-Post Fermentation Dry,🥇 GOLD,Yonder Cider,Palisades,Washington,957,http://www.yondercider.com/,https://www.facebook.com/yondercider,https://www.instagram.com/yondercider/,https://maps.google.com/?cid=11002201593648505227,https://www.yelp.com/biz/yonder-cider-seattle,,https://untappd.com/w/yonder-cider/474448,47.6646136,-122.3675796
33,Fruit-Post Fermentation Dry,🥈 SILVER,19 Acres Cider Co.,Yuzu Plum,Oregon,1084,https://19acres.com/,https://www.facebook.com/19AcresCiderCo/,https://www.instagram.com/19acresciderco/,https://maps.google.com/?cid=4476171369322689525,https://www.yelp.com/biz/19-acres-cider-co-sherwood,https://www.tripadvisor.com/Restaurant_Review-g52068-d25236157,https://untappd.com/19AcresHardCider,45.3886798,-122.9315471
34,Fruit-Post Fermentation Dry,🥉 BRONZE,Bauman's Cider,Loganberry Cider,Oregon,118,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.yelp.com/biz/baumans-farm-and-garden-gervais,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872,45.1079661,-122.8693386
35,Botanical Hopped,🥇 GOLD,Union Hill Cider Co.,Liquid Limber,Washington,908,https://www.unionhillciderco.com/,https://www.facebook.com/UnionHillCiderCo/,https://www.instagram.com/unionhillciderco/,https://maps.google.com/?cid=15999164221517255413,https://www.yelp.com/biz/union-hill-cider-east-wenatchee,,https://untappd.com/UnionHillCiderCo,47.3880763,-120.2207316
36,Botanical Hopped,🥈 SILVER,Meriwether Cider,Hop Shot,Idaho,415,https://www.meriwethercider.com/,https://www.facebook.com/meriwethercider,https://www.instagram.com/meriwethercider/,https://maps.google.com/?cid=7830741432069672416,https://www.yelp.com/biz/meriwether-cider-company-garden-city-2,https://www.tripadvisor.com/Attraction_Review-g35459-d10034505,https://untappd.com/w/meriwether-cider-company/222316,43.645176,-116.271227
37,Botanical Hopped,🥉 BRONZE,Cedar Draw Cider,Imperial Citra Kissed,Idaho,1002,https://www.cedardrawcider.com/,https://www.facebook.com/cedardrawcider,https://www.instagram.com/cedardrawcider/,https://maps.google.com/?cid=3792911876978867046,,,https://untappd.com/CedarDrawCider,42.59135,-114.7428599
38,Botanical Herbed,🥇 GOLD,2 Towns Ciderhouse,The Baddie,Oregon,67,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975,44.563505,-123.226185
39,Botanical Herbed,🥈 SILVER,Finnriver Farm & Cidery,Lavender Black Currant,Washington,276,https://www.finnriver.com/,https://www.facebook.com/finnriver,https://www.instagram.com/finnriver/,https://maps.google.com/?cid=1802892066987578987,https://www.yelp.com/biz/finnriver-farm-and-cidery-chimacum,https://www.tripadvisor.com/Attraction_Review-g58399-d10595866,https://untappd.com/w/finnriver-farm-and-cidery/3008,48.0097371,-122.7694043
40,Botanical Herbed,🥉 BRONZE,Shuswap Cider Company,Lavender Honey,British Columbia,1980,https://shuswapcider.com/,https://www.facebook.com/shuswapcider,https://www.instagram.com/shuswapcider/,https://maps.google.com/?cid=7673276959575565826,,,https://untappd.com/w/shuswap-cider-co/503328,50.6918843,-119.3095887
41,Botanical Spiced,🥇 GOLD,Swift Cider,Pineapple Mai Tai,Oregon,612,https://www.swiftcider.com/,https://www.facebook.com/SwiftCider/,https://www.instagram.com/swiftcider/,,https://www.yelp.com/biz/swift-cider-portland,,https://untappd.com/w/swift-cider/138445,45.5791984,-122.6641214
42,Botanical Spiced,🥈 SILVER,Seattle Cider Company,Pumpkin Spice,Washington,553,http://www.seattlecidercompany.com/,https://www.facebook.com/SeattleCiderCo,https://www.instagram.com/seattleciderco/,https://maps.google.com/?cid=10339393864619567754,https://www.yelp.com/biz/seattle-cider-company-seattle,,https://untappd.com/w/seattle-cider-company/75923,47.560327,-122.337605
43,Botanical Spiced,🥉 BRONZE,Incline Cider Company,Cucumber Jalapeno,Washington,345,http://www.inclinecider.com/,https://www.facebook.com/inclinecider/,https://www.instagram.com/inclinecider/,https://maps.google.com/?cid=504944612388443997,https://www.yelp.com/biz/incline-cider-house-tacoma,https://www.tripadvisor.com/Attraction_Review-g58775-d22266571,https://untappd.com/w/incline-cider-company/249584,47.307323,-122.228453
44,Specialty Fortified,🥇 GOLD,Runcible Cider Company,Ore No. 001,Oregon,534,https://www.runciblecider.com/,https://www.facebook.com/runciblecider/,https://www.instagram.com/runciblecider/,https://maps.google.com/?cid=15182592417091165603,https://www.yelp.com/biz/runcible-cider-mosier-2,,https://untappd.com/w/runcible-cider/332214,45.673003,-121.408294
45,Specialty Fortified,🥈 SILVER,Sea Cider,Pomona,British Columbia,830,https://www.seacider.ca/,https://www.facebook.com/seacider,https://www.instagram.com/seaciderhouse/,https://maps.google.com/?cid=689108951249608790,https://www.yelp.com/biz/sea-cider-farm-and-ciderhouse-saanichton,https://www.tripadvisor.com/Attraction_Review-g184850-d2392234,https://untappd.com/w/sea-cider-farm-and-ciderhouse/4780,48.6036859,-123.396825
46,Specialty Fortified,🥉 BRONZE,Alpenfire Cider,Apple Mistelle #2 | Estate Blend,Washington,84,https://www.alpenfirecider.com/,https://www.facebook.com/alpenfirecider,https://www.instagram.com/alpenfirecider/,https://maps.google.com/?cid=13194604853315575065,https://www.yelp.com/biz/alpenfire-cider-and-orchard-port-townsend,,https://untappd.com/w/alpenfire-cider/12510,48.082401,-122.87609
47,Specialty Low Alcohol/Alcohol Removed,🥇 GOLD,2 Towns Ciderhouse,N/A Pacific Pineapple Cider,Oregon,67,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975,44.563505,-123.226185
48,Specialty Low Alcohol/Alcohol Removed,🥈 SILVER,Heartland Ciderworks,The Little Apple,Oregon,2076,,https://www.facebook.com/HeartlandCiderworks,https://www.instagram.com/heartland_ciderworks/,,,,https://untappd.com/HeartlandCiderworks,44.9264472,-123.2292953
49,Specialty Low Alcohol/Alcohol Removed,🥉 BRONZE,Bauman's Cider,Light Cider,Oregon,118,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.yelp.com/biz/baumans-farm-and-garden-gervais,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872,45.1079661,-122.8693386
50,Specialty Other,🥇 GOLD,Cedar Draw Cider,Sour Empress,Idaho,1002,https://www.cedardrawcider.com/,https://www.facebook.com/cedardrawcider,https://www.instagram.com/cedardrawcider/,https://maps.google.com/?cid=3792911876978867046,,,https://untappd.com/CedarDrawCider,42.59135,-114.7428599
51,Specialty Other,🥈 SILVER,2 Towns Ciderhouse,Plum As You Are,Oregon,67,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975,44.563505,-123.226185
52,Specialty Other,🥉 BRONZE,2 Towns Ciderhouse,Hollow Jack,Oregon,67,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975,44.563505,-123.226185
