ID,Style,Medal,WID,Medalist,Entry,Place
112,HEIRLOOM CIDER – DRY,Best-in-Class,127,Big Fish Cider Co.,2024 Northern Spy,1
170,HEIRLOOM CIDER – DRY,Silver,127,Big Fish Cider Co.,Virginia Hewes Crab,
128,HEIRLOOM CIDER – DRY,Silver,127,Big Fish Cider Co.,Allegheny Gold,
190,HEIRLOOM CIDER – DRY,Bronze,2103,Bird Dog Cider,Little Sister,
545,WOOD AGED CIDER,Bronze,2103,Bird Dog Cider,2023 Deacon John,
394,FRUIT CIDER – SWEET,Gold,,Black Currant,Keep It Wild,
302,TANNIN FORWARD CIDER – SWEET,Bronze,10,Blakes Beverage Company,American Apple,
443,FRUIT CIDER – SWEET,Bronze,10,Blakes Beverage Company,Blackberry,
510,BOTANICAL CIDER,Silver,10,Blakes Beverage Company,Mango Burn,
521,BOTANICAL CIDER,Bronze,10,Blakes Beverage Company,Prickly Pear,
523,BOTANICAL CIDER,Bronze,10,Blakes Beverage Company,Strawberry Hibiscus,
530,WOOD AGED CIDER,Silver,10,Blakes Beverage Company,American Oak,
585,SPECIALTY CIDER & PERRY – DRY,Bronze,10,Blakes Beverage Company,Sante,
651,UNLIMITED CIDER AND PERRY,Silver,10,Blakes Beverage Company,Key Lime,
653,UNLIMITED CIDER AND PERRY,Silver,10,Blakes Beverage Company,Peach Lychee,
674,UNLIMITED CIDER AND PERRY,Bronze,10,Blakes Beverage Company,Peach Cobbler,
341,LOW TANNIN PERRY,Silver,905,Blossom Barncidery,Rogue Valley Perry,
349,HIGH TANNIN PERRY,Silver,905,Blossom Barncidery,Estate Perry,
118,HEIRLOOM CIDER – DRY,Gold,146,Blue Bee Cider,Hewe’s Crab,
194,HEIRLOOM CIDER – DRY,Bronze,146,Blue Bee Cider,Orchard Potluck,
475,HOPPED CIDER,Silver,146,Blue Bee Cider,Hopsap Shandy,
189,HEIRLOOM CIDER – DRY,Bronze,1823,Blue Ox Cider,Lakeside,
64,MODERN CIDER – SWEET,Gold,153,Bold Rock Hard Cider,Apple,
560,LOW & NO ALCOHOL CIDER,Bronze,153,Bold Rock Hard Cider,Non-Alcoholic Cider,
628,SPECIALTY CIDER & PERRY – SWEET,Bronze,153,Bold Rock Hard Cider,Imperial Berry,
476,HOPPED CIDER,Silver,164,Broad Street Cider & Mead,Hyde Park,
501,BOTANICAL CIDER,Silver,164,Broad Street Cider & Mead,Duchess Of Devonshire,
80,MODERN CIDER – SWEET,Silver,165,Brooklyn Cider House,Kinda Dry,
178,HEIRLOOM CIDER – DRY,Bronze,165,Brooklyn Cider House,Bone Dry,
200,HEIRLOOM CIDER – DRY,Bronze,165,Brooklyn Cider House,Three Of Life,
223,HEIRLOOM CIDER – SWEET,Bronze,165,Brooklyn Cider House,Lemonade,
370,FRUIT CIDER – DRY,Silver,165,Brooklyn Cider House,Pomme Rouge,
384,FRUIT CIDER – DRY,Bronze,165,Brooklyn Cider House,"Dance, Dance, Dance",
68,MODERN CIDER – SWEET,Silver,3724,Calango,Blend,
71,MODERN CIDER – SWEET,Silver,3724,Calango,Delicia,
79,MODERN CIDER – SWEET,Silver,3724,Calango,Israel,
25,MODERN CIDER – DRY,Silver,303,California Cider House,Gowan’s Pure Gold,
104,MODERN CIDER – SWEET,Bronze,303,California Cider House,Macintosh,
145,HEIRLOOM CIDER – DRY,Silver,303,California Cider House,Gowan’s Red Delish,
213,HEIRLOOM CIDER – SWEET,Silver,303,California Cider House,Gowan’s Gravenstein Cider,
270,TANNIN FORWARD CIDER – DRY,Bronze,303,California Cider House,Classic Dry,
287,TANNIN FORWARD CIDER – SWEET,Silver,303,California Cider House,1876 Heirloom,
339,LOW TANNIN PERRY,Silver,303,California Cider House,Gowan’s Heirloom Pear,
503,BOTANICAL CIDER,Silver,303,California Cider House,Gowan’s Spiced Apple,
600,SPECIALTY CIDER & PERRY – SWEET,Silver,303,California Cider House,Gowan’s Honey Citron,
626,SPECIALTY CIDER & PERRY – SWEET,Bronze,303,California Cider House,Gowan’s Rosé Cider,
314,NATURAL CIDER,Silver,1776,Carriage House Ciders,Out!,
487,HOPPED CIDER,Bronze,1776,Carriage House Ciders,Hopt 3,
540,WOOD AGED CIDER,Silver,1776,Carriage House Ciders,Spirited,
156,HEIRLOOM CIDER – DRY,Silver,2396,Champagner Renette,Kühbrein,
421,FRUIT CIDER – SWEET,Silver,915,Cider Corps,Pog,
593,SPECIALTY CIDER & PERRY – SWEET,Silver,915,Cider Corps,American Apple Pie,
672,UNLIMITED CIDER AND PERRY,Bronze,915,Cider Corps,Mango Foxtrot,
109,MODERN CIDER – SWEET,Bronze,195,Cider Hill Cellars,Summer,
199,HEIRLOOM CIDER – DRY,Bronze,195,Cider Hill Cellars,Spring,
267,TANNIN FORWARD CIDER – DRY,Bronze,195,Cider Hill Cellars,Autumn,
397,FRUIT CIDER – SWEET,Gold,195,Cider Hill Cellars,Raspberry Harvest,
399,FRUIT CIDER – SWEET,Gold,195,Cider Hill Cellars,Strawberry Harvest,
700,ICE CIDER,Bronze,195,Cider Hill Cellars,Winter,
69,MODERN CIDER – SWEET,Silver,1924,Cidrerie Et Distillerie C.E.Petch,Classic Draft,
280,TANNIN FORWARD CIDER – DRY,Bronze,1924,Cidrerie Et Distillerie C.E.Petch,Somerset,
463,FRUIT CIDER – SWEET,Bronze,753,Cidrerie Verger Bilodeau,Tentation,
575,SPECIALTY CIDER & PERRY – DRY,Silver,753,Cidrerie Verger Bilodeau,Petit Bonheur,
624,SPECIALTY CIDER & PERRY – SWEET,Bronze,753,Cidrerie Verger Bilodeau,Effervescent,
684,ICE CIDER,Best-in-Class,753,Cidrerie Verger Bilodeau,Cuvée Spéciale De Cidre De Glace,3
690,ICE CIDER,Silver,753,Cidrerie Verger Bilodeau,Nectar De Glace,
706,FORTIFIED CIDER,Silver,753,Cidrerie Verger Bilodeau,Fascination,
726,SPIRITS,Silver,753,Cidrerie Verger Bilodeau,Le Saint-Pomme,
259,TANNIN FORWARD CIDER – DRY,Silver,1001,City Orchard,Orchard Blend #10,
295,TANNIN FORWARD CIDER – SWEET,Silver,898,Cornish Cider Company,J. Lincoln Svc,
351,HIGH TANNIN PERRY,Silver,898,Cornish Cider Company,Nene Perry,
131,HEIRLOOM CIDER – DRY,Silver,17,Cranes Winery,Bailey Mill Gold,
553,WOOD AGED CIDER,Bronze,17,Cranes Winery,The Liaison,
67,MODERN CIDER – SWEET,Silver,,Crow River Winery,Belle Lake,
645,UNLIMITED CIDER AND PERRY,Silver,,Crow River Winery,Bear Creek,
655,UNLIMITED CIDER AND PERRY,Silver,,Crow River Winery,South Fork,
294,TANNIN FORWARD CIDER – SWEET,Silver,,Dabinett,Golden,
311,NATURAL CIDER,Silver,1929,Dan Kellys Cider,Dan Kellys Original Cider,
549,WOOD AGED CIDER,Bronze,1929,Dan Kellys Cider,Dan Kellys Whiskey Cask,
198,HEIRLOOM CIDER – DRY,Bronze,,Dirty Dog Cider Company,Snow,
48,MODERN CIDER – DRY,Bronze,999,Doc Waters Cidery,Gold Rush SV 2024,
144,HEIRLOOM CIDER – DRY,Silver,999,Doc Waters Cidery,Golden Russet Sv 2024,
473,HOPPED CIDER,Silver,999,Doc Waters Cidery,Hopped Carbonated 2023,
56,MODERN CIDER – DRY,Bronze,,Domaine De Yunohara,Sidra Brut,
534,WOOD AGED CIDER,Silver,,Domaine De Yunohara,Cidre Barrel-Aged 2023,
431,FRUIT CIDER – SWEET,Silver,1946,Dope Cider House And Winery,That’S My Jam,
386,FRUIT CIDER – DRY,Bronze,250,Duluth Cider,Passionfruit Dry,
599,SPECIALTY CIDER & PERRY – SWEET,Silver,250,Duluth Cider,Glensheen Gold,
244,TANNIN FORWARD CIDER – DRY,Silver,255,Eden Specialty Ciders,Franklin,
687,ICE CIDER,Silver,255,Eden Specialty Ciders,Honeycrisp,
43,MODERN CIDER – DRY,Bronze,3465,Elder Piper Beer & Cider,Apple Blossom Cider,
308,NATURAL CIDER,Best-in-Class,3465,Elder Piper Beer & Cider,Pillows & Blankets,3
535,WOOD AGED CIDER,Silver,3465,Elder Piper Beer & Cider,Cold Snap Rye Whiskey Barrel-Aged Cider,
566,SPECIALTY CIDER & PERRY – DRY,Best-in-Class,3465,Elder Piper Beer & Cider,Yuzu Ginger Cider,2
157,HEIRLOOM CIDER – DRY,Silver,2037,Empyrical Orchard & Cidery,La Raison Reserve,
290,TANNIN FORWARD CIDER – SWEET,Silver,2037,Empyrical Orchard & Cidery,Bittersweet Reserve,
336,LOW TANNIN PERRY,Best-in-Class,2037,Empyrical Orchard & Cidery,Parametric,3
338,LOW TANNIN PERRY,Silver,2037,Empyrical Orchard & Cidery,Barland,
343,LOW TANNIN PERRY,Bronze,2037,Empyrical Orchard & Cidery,Practice,
344,HIGH TANNIN PERRY,Best-in-Class,2037,Empyrical Orchard & Cidery,Principle,1
345,HIGH TANNIN PERRY,Best-in-Class,2037,Empyrical Orchard & Cidery,Pyriform,2
353,HIGH TANNIN PERRY,Silver,2037,Empyrical Orchard & Cidery,Paradigm,
415,FRUIT CIDER – SWEET,Silver,2037,Empyrical Orchard & Cidery,Inversion,
568,SPECIALTY CIDER & PERRY – DRY,Gold,2037,Empyrical Orchard & Cidery,August,
607,SPECIALTY CIDER & PERRY – SWEET,Silver,2037,Empyrical Orchard & Cidery,Inquiry Reserve,
47,MODERN CIDER – DRY,Bronze,2547,Endless Orchard Cider,Everlasting Golden,
73,MODERN CIDER – SWEET,Silver,2547,Endless Orchard Cider,Forever Imperial Fuji,
412,FRUIT CIDER – SWEET,Silver,2547,Endless Orchard Cider,Eternal Sunshine Pineapple-Mango,
424,FRUIT CIDER – SWEET,Silver,2547,Endless Orchard Cider,Radiant Mimosa-Orange,
497,BOTANICAL CIDER,Silver,2547,Endless Orchard Cider,Boundless Blueberry-Basil,
429,FRUIT CIDER – SWEET,Silver,262,Eris Brewery And Cider House,Strawbarbarella,
449,FRUIT CIDER – SWEET,Bronze,262,Eris Brewery And Cider House,Blush,
478,HOPPED CIDER,Silver,262,Eris Brewery And Cider House,Just The Mo,
623,SPECIALTY CIDER & PERRY – SWEET,Bronze,262,Eris Brewery And Cider House,E-Phoria,
633,SPECIALTY CIDER & PERRY – SWEET,Bronze,262,Eris Brewery And Cider House,Pepper Jam,
154,HEIRLOOM CIDER – DRY,Silver,354,Etude No 5,James Creek Cider House,
142,HEIRLOOM CIDER – DRY,Silver,2082,Farm Club,Golden Russet,
152,HEIRLOOM CIDER – DRY,Silver,2082,Farm Club,Harvest Cider,
279,TANNIN FORWARD CIDER – DRY,Bronze,2082,Farm Club,Pub Cider,
19,MODERN CIDER – DRY,Silver,19,Farmhaus Cider Co.,Daily Dry,
547,WOOD AGED CIDER,Bronze,19,Farmhaus Cider Co.,Barrel 25,
6,MODERN CIDER – DRY,Gold,20,Fenn Valley Vineyards,Northern Spy,
183,HEIRLOOM CIDER – DRY,Bronze,20,Fenn Valley Vineyards,Golden Russett,
355,FRUIT CIDER – DRY,Best-in-Class,276,Finnriver Farm & Cidery,Blush Cider,2
357,FRUIT CIDER – DRY,Gold,276,Finnriver Farm & Cidery,Bloom Cider,
703,FORTIFIED CIDER,Best-in-Class,276,Finnriver Farm & Cidery,10 Year Aged Pommeau,3
328,ROSÉ CIDER,Silver,2029,Floribunda,Rosé Cider 2023,
502,BOTANICAL CIDER,Silver,2029,Floribunda,Ginger Cider 2022,
121,HEIRLOOM CIDER – DRY,Gold,,Front Range Apples,Methode Ancestrale,
20,MODERN CIDER – DRY,Silver,294,Glacial Till,Dry,
436,FRUIT CIDER – SWEET,Silver,294,Glacial Till,Watermelon,
444,FRUIT CIDER – SWEET,Bronze,294,Glacial Till,Blueberry,
454,FRUIT CIDER – SWEET,Bronze,294,Glacial Till,Passion Pineapple,
462,FRUIT CIDER – SWEET,Bronze,294,Glacial Till,Strawberry Rhubarb,
522,BOTANICAL CIDER,Bronze,294,Glacial Till,Spruce Springsteen,
618,SPECIALTY CIDER & PERRY – SWEET,Silver,294,Glacial Till,Wild Mulberry,
620,SPECIALTY CIDER & PERRY – SWEET,Bronze,294,Glacial Till,Blueberry Pancake,
689,ICE CIDER,Silver,294,Glacial Till,Ice Cider II,
718,FORTIFIED CIDER,Bronze,294,Glacial Till,Cross-Eyed,
699,ICE CIDER,Bronze,,Golden Russet,Sweet Solstice,
58,MODERN CIDER – DRY,Bronze,,Gravity Distribution Ltd,"Terroir (Lomonosovskiy Region, 2022)",
363,FRUIT CIDER – DRY,Silver,,Gravity Distribution Ltd,Blade Runner 2022,
32,MODERN CIDER – DRY,Silver,306,Green Bench Mead And Cider,Northern Spy,
119,HEIRLOOM CIDER – DRY,Gold,306,Green Bench Mead And Cider,Malus 2019,
120,HEIRLOOM CIDER – DRY,Gold,306,Green Bench Mead And Cider,Malus 2022,
192,HEIRLOOM CIDER – DRY,Bronze,306,Green Bench Mead And Cider,Malus 2023,
268,TANNIN FORWARD CIDER – DRY,Bronze,306,Green Bench Mead And Cider,Bocage,
543,WOOD AGED CIDER,Bronze,306,Green Bench Mead And Cider,1124,
187,HEIRLOOM CIDER – DRY,Bronze,354,Harvest Moon,James Creek Cider House,
31,MODERN CIDER – DRY,Silver,323,Haykin Family Cider,Mcintosh,
116,HEIRLOOM CIDER – DRY,Gold,323,Haykin Family Cider,Calville Blanc D’Hiver,
122,HEIRLOOM CIDER – DRY,Gold,323,Haykin Family Cider,Nehou,
143,HEIRLOOM CIDER – DRY,Silver,323,Haykin Family Cider,Golden Russet,
146,HEIRLOOM CIDER – DRY,Silver,323,Haykin Family Cider,Gravenstein,
159,HEIRLOOM CIDER – DRY,Silver,323,Haykin Family Cider,Methode Ancestrale Gravenstein,
163,HEIRLOOM CIDER – DRY,Silver,323,Haykin Family Cider,Northern Spy,
165,HEIRLOOM CIDER – DRY,Silver,323,Haykin Family Cider,Porter’s Perfection,
218,HEIRLOOM CIDER – SWEET,Silver,323,Haykin Family Cider,Ruby Jon,
283,TANNIN FORWARD CIDER – SWEET,Best-in-Class,323,Haykin Family Cider,Marechal,1
284,TANNIN FORWARD CIDER – SWEET,Best-in-Class,323,Haykin Family Cider,Muscadet De Bernay,2
285,TANNIN FORWARD CIDER – SWEET,Best-in-Class,323,Haykin Family Cider,Yarlington Mill,3
291,TANNIN FORWARD CIDER – SWEET,Silver,323,Haykin Family Cider,French Cider Apples,
296,TANNIN FORWARD CIDER – SWEET,Silver,323,Haykin Family Cider,Kingston Black,
319,ROSÉ CIDER,Best-in-Class,323,Haykin Family Cider,Niedzwetzkyana,2
321,ROSÉ CIDER,Gold,323,Haykin Family Cider,Burford Red Flesh,
326,ROSÉ CIDER,Silver,323,Haykin Family Cider,Mountain Rose,
329,ROSÉ CIDER,Silver,323,Haykin Family Cider,Scarlet Surprise,
682,ICE CIDER,Best-in-Class,323,Haykin Family Cider,McIntosh Ice Cider,1
683,ICE CIDER,Best-in-Class,323,Haykin Family Cider,Front Range Ice Cider,2
686,ICE CIDER,Silver,323,Haykin Family Cider,Gravenstein Ice Cider,
692,ICE CIDER,Silver,323,Haykin Family Cider,Wickson Ice Cider,
702,FORTIFIED CIDER,Best-in-Class,323,Haykin Family Cider,Traditional Apples In French Oak,2
705,FORTIFIED CIDER,Silver,323,Haykin Family Cider,American Oak Pommeau,
707,FORTIFIED CIDER,Silver,323,Haykin Family Cider,Marechal Apples In French Oak,
709,FORTIFIED CIDER,Silver,323,Haykin Family Cider,Nehou Apples In American Oak,
723,SPIRITS,Best-in-Class,323,Haykin Family Cider,Mcintosh Eau De Vie,3
725,SPIRITS,Silver,323,Haykin Family Cider,French Oak Aged Apple Brandy,
727,SPIRITS,Silver,323,Haykin Family Cider,Limousin Aged Apple Brandy,
728,SPIRITS,Silver,323,Haykin Family Cider,Mcintosh Brandy In French Oak,
