ID,Year,Medal,Place,Medal_Order,WID,Entrant_Original,Entrant,Entrant_2023,Entry,Style,Crosswalk,Crosswalk_Code
7163,2023,🥉 BRONZE,,4,5,Bee Well Mead and Cider,Bee Well Mead & Cider,Bee Well Mead & Cider,Whites Harvest,Modern Cider - Dry,Modern Cider,A
7233,2023,🥉 BRONZE,,4,2088,Bowen Cider House,Bowen Cider House,Bowen Cider House,Granny Cowan,Modern Cider - Dry,Modern Cider,A
7284,2023,🥉 BRONZE,,4,736,Cidrerie Le Somnambule,Cidrerie Le Somnambule,Cidrerie Le Somnambule,Cybèle,Modern Cider - Dry,Modern Cider,A
7311,2023,🥉 BRONZE,,4,2083,Crimson Cider Company,Crimson Cider Company,Crimson Cider Company,Crimson Crisp,Modern Cider - Dry,Modern Cider,A
7389,2023,🥉 BRONZE,,4,20,Fenn Valley Vineyards,Fenn Valley Vineyards,Fenn Valley Vineyards,Jonathan Hard Cider,Modern Cider - Dry,Modern Cider,A
7403,2023,🥉 BRONZE,,4,280,Flat Rock Cider Company,Flat Rock Cider Company,Flat Rock Cider Company,Semi-Dry Apple,Modern Cider - Dry,Modern Cider,A
7411,2023,🥉 BRONZE,,4,2079,Fort Point Beer Company,Fort Point Beer Company,Fort Point Beer Company,Super Dry,Modern Cider - Dry,Modern Cider,A
7463,2023,🥉 BRONZE,,4,2086,Harpers Ferry Brewing,Harpers Ferry Brewing,Harpers Ferry Brewing,Tuscarora,Modern Cider - Dry,Modern Cider,A
7486,2023,🥉 BRONZE,,4,324,Hazlitt 1852 Vineyards,Hazlitt 1852 Vineyards,Hazlitt 1852 Cider Crafters,Hazlitt's Cider Tree Light 'n Dry,Modern Cider - Dry,Modern Cider,A
7519,2023,🥉 BRONZE,,4,354,James Creek Cider House,James Creek Cider House,James Creek Cider House,Stargazer - Mighty Hunter,Modern Cider - Dry,Modern Cider,A
7533,2023,🥉 BRONZE,,4,2033,Junction Orchard and Cidery,Junction Orchard & Cidery,Junction Orchard & Cidery,Semi Dry,Modern Cider - Dry,Modern Cider,A
7573,2023,🥉 BRONZE,,4,2092,Lucia Maria Melchiori,Lucia Maria Melchiori,Lucia Maria Melchiori,Alpino,Modern Cider - Dry,Modern Cider,A
7613,2023,🥉 BRONZE,,4,432,Mountain West Hard Cider,Mountain West Cider Company,Mountain West Cider Company,7 Mile,Modern Cider - Dry,Modern Cider,A
7615,2023,🥉 BRONZE,,4,432,Mountain West Hard Cider,Mountain West Cider Company,Mountain West Cider Company,Jonathan,Modern Cider - Dry,Modern Cider,A
7769,2023,🥉 BRONZE,,4,556,Serpentine Cider,Serpentine Cider,Serpentine Cider,Apple,Modern Cider - Dry,Modern Cider,A
7946,2023,🥉 BRONZE,,4,632,Threadbare Cider,Threadbare Cider,Threadbare Cider,Bridge City Bubbly,Modern Cider - Dry,Modern Cider,A
7959,2023,🥉 BRONZE,,4,2139,Trubacheevka,Trubacheevka,Trubacheevka,Baba Dasha,Modern Cider - Dry,Modern Cider,A
7982,2023,🥉 BRONZE,,4,845,Twin Pines Orchards & Cider House,Twin Pines Orchards & Cider House,Twin Pines Orchards & Cider House,Hammerbent Original,Modern Cider - Dry,Modern Cider,A
8028,2023,🥉 BRONZE,,4,1926,Walkerville City Cidery,Walkerville City Cidery,Walkerville City Cidery,Argyle Apple Cider,Modern Cider - Dry,Modern Cider,A
8053,2023,🥉 BRONZE,,4,697,Wise Bird Cider Co.,Wise Bird Cider,Wise Bird Cider,Wickson Crab,Modern Cider - Dry,Modern Cider,A
7158,2023,🏆 BEST IN CLASS,1st Place,1,5,Bee Well Mead and Cider,Bee Well Mead & Cider,Bee Well Mead & Cider,North Cider,Modern Cider - Sweet,Modern Cider,B
7661,2023,🏆 BEST IN CLASS,2nd Place,1,490,Portland Cider Company,Portland Cider Company,Portland Cider Company,Original Gold,Modern Cider - Sweet,Modern Cider,B
7426,2023,🏆 BEST IN CLASS,3rd Place,1,303,Gowan's Heirloom Cider,Gowan's Heirloom Ciders,Gowan's Heirloom Ciders,Estate Gravenstein,Modern Cider - Sweet,Modern Cider,B
7194,2023,🥇 GOLD,,2,10,Blake's Hard Cider,Blake's Hard Cider Co.,Blake's Hard Cider Co.,Blake's Original,Modern Cider - Sweet,Modern Cider,B
7196,2023,🥇 GOLD,,2,10,Blake's Hard Cider,Blake's Hard Cider Co.,Blake's Hard Cider Co.,Orchard Reserve,Modern Cider - Sweet,Modern Cider,B
7360,2023,🥇 GOLD,,2,19,Farmhaus Cider Co.,Farmhaus Cider Co.,Farmhaus Cider Co.,Midwest Nice,Modern Cider - Sweet,Modern Cider,B
7442,2023,🥇 GOLD,,2,312,Gypsy Circus Cider Company,Gypsy Circus,Gypsy Circus,Knox-One,Modern Cider - Sweet,Modern Cider,B
7540,2023,🥇 GOLD,,2,27,Kuhnhenn Brewing,Kuhnhenn Brewing Co.,Kuhnhenn Brewing Co.,Kuhnhenn Cider,Modern Cider - Sweet,Modern Cider,B
7577,2023,🥇 GOLD,,2,2078,Malner,Malner,Malner,Auster,Modern Cider - Sweet,Modern Cider,B
7805,2023,🥇 GOLD,,2,569,Snow Capped Cider,Snow Capped Cider,Snow Capped Cider,Akane,Modern Cider - Sweet,Modern Cider,B
7807,2023,🥇 GOLD,,2,569,Snow Capped Cider,Snow Capped Cider,Snow Capped Cider,Opal,Modern Cider - Sweet,Modern Cider,B
7848,2023,🥇 GOLD,,2,52,Starcut Ciders,Starcut Ciders,Starcut Ciders,Octorock,Modern Cider - Sweet,Modern Cider,B
8013,2023,🥇 GOLD,,2,62,Vander Mill,Vander Mill,Vander Mill,Honeycrisp,Modern Cider - Sweet,Modern Cider,B
8049,2023,🥇 GOLD,,2,2044,Williamson Mead and Brewing,Williamson Mead and Brewing,Williamson Mead and Brewing,Ice Wall Dragon,Modern Cider - Sweet,Modern Cider,B
8054,2023,🥇 GOLD,,2,2045,Wooden Gate Cider,Wooden Gate Cider,Wooden Gate Cider,Late Harvest,Modern Cider - Sweet,Modern Cider,B
7020,2023,🥈 SILVER,,3,1016,12 Corners Vineyards,12 Corners Vineyards,12 Corners Vineyards,Big Daddys Hard Apple Cider,Modern Cider - Sweet,Modern Cider,B
7024,2023,🥈 SILVER,,3,1084,19 Acres Cider Co.,19 Acres Cider Co.,19 Acres Cider Co.,Honeycrisp,Modern Cider - Sweet,Modern Cider,B
7033,2023,🥈 SILVER,,3,75,1911 Established,1911 Established,1911 Established,Original,Modern Cider - Sweet,Modern Cider,B
7134,2023,🥈 SILVER,,3,118,Bauman's Cider,Bauman's Cider,Bauman's Cider,Authentic,Modern Cider - Sweet,Modern Cider,B
7197,2023,🥈 SILVER,,3,10,Blake's Hard Cider,Blake's Hard Cider Co.,Blake's Hard Cider Co.,American Apple,Modern Cider - Sweet,Modern Cider,B
7228,2023,🥈 SILVER,,3,153,Bold Rock Hard Cider,Bold Rock Hard Cider,Bold Rock Hard Cider (Mills River),Apple,Modern Cider - Sweet,Modern Cider,B
7231,2023,🥈 SILVER,,3,153,Bold Rock Hard Cider,Bold Rock Hard Cider,Bold Rock Hard Cider (Mills River),Premium Dry,Modern Cider - Sweet,Modern Cider,B
7274,2023,🥈 SILVER,,3,195,Cider Hill Cellars,Cider Hill Cellars,Cider Hill Cellars,Summer,Modern Cider - Sweet,Modern Cider,B
7278,2023,🥈 SILVER,,3,945,Ciders from Mars,Ciders from Mars,Ciders from Mars,Pathfinder,Modern Cider - Sweet,Modern Cider,B
7317,2023,🥈 SILVER,,3,240,Door Peninsula Winery,Door Peninsula Winery,Door Peninsula Winery,Modern,Modern Cider - Sweet,Modern Cider,B
7395,2023,🥈 SILVER,,3,712,Five Maidens Cider Company,Five Maidens Cider Company,Five Maidens Cider Company,Ms. Jackson,Modern Cider - Sweet,Modern Cider,B
7417,2023,🥈 SILVER,,3,294,Glacial Till,Glacial Till Vineyard & Winery,Glacial Till Vineyard & Winery,Original,Modern Cider - Sweet,Modern Cider,B
7420,2023,🥈 SILVER,,3,294,Glacial Till,Glacial Till Vineyard & Winery,Glacial Till Vineyard & Winery,Turbo Farm Boy,Modern Cider - Sweet,Modern Cider,B
7429,2023,🥈 SILVER,,3,303,Gowan's Heirloom Cider,Gowan's Heirloom Ciders,Gowan's Heirloom Ciders,Estate Macintosh,Modern Cider - Sweet,Modern Cider,B
7468,2023,🥈 SILVER,,3,323,Haykin Family Cider,Haykin Family Cider,Haykin Family Cider,Black Twig,Modern Cider - Sweet,Modern Cider,B
7469,2023,🥈 SILVER,,3,323,Haykin Family Cider,Haykin Family Cider,Haykin Family Cider,Breakey,Modern Cider - Sweet,Modern Cider,B
7474,2023,🥈 SILVER,,3,323,Haykin Family Cider,Haykin Family Cider,Haykin Family Cider,Newtown Pippin,Modern Cider - Sweet,Modern Cider,B
7477,2023,🥈 SILVER,,3,323,Haykin Family Cider,Haykin Family Cider,Haykin Family Cider,Suncrisp,Modern Cider - Sweet,Modern Cider,B
7478,2023,🥈 SILVER,,3,323,Haykin Family Cider,Haykin Family Cider,Haykin Family Cider,Sweet 16,Modern Cider - Sweet,Modern Cider,B
7484,2023,🥈 SILVER,,3,324,Hazlitt 1852 Vineyards,Hazlitt 1852 Vineyards,Hazlitt 1852 Cider Crafters,Hazlitt's Cider Tree,Modern Cider - Sweet,Modern Cider,B
7535,2023,🥈 SILVER,,3,2137,King Orchards,King Orchards,King Orchards,Sweet OG,Modern Cider - Sweet,Modern Cider,B
7549,2023,🥈 SILVER,,3,389,Liquid Alchemy Ciderworks,Liquid Alchemy Beverages,Liquid Alchemy Ciderworks,In-Core-Rigible,Modern Cider - Sweet,Modern Cider,B
7572,2023,🥈 SILVER,,3,2092,Lucia Maria Melchiori,Lucia Maria Melchiori,Lucia Maria Melchiori,Dolomiti,Modern Cider - Sweet,Modern Cider,B
7645,2023,🥈 SILVER,,3,467,Original Sin Cider,Original Sin Cider,Original Sin Cider,Unfiltered Fuji,Modern Cider - Sweet,Modern Cider,B
7646,2023,🥈 SILVER,,3,467,Original Sin Cider,Original Sin Cider,Original Sin Cider,Unfiltered McIntosh,Modern Cider - Sweet,Modern Cider,B
7747,2023,🥈 SILVER,,3,553,Seattle Cider Company,Seattle Cider Company,Seattle Cider Company,Honeycrisp,Modern Cider - Sweet,Modern Cider,B
7750,2023,🥈 SILVER,,3,553,Seattle Cider Company,Seattle Cider Company,Seattle Cider Company,Odyssey,Modern Cider - Sweet,Modern Cider,B
7754,2023,🥈 SILVER,,3,553,Seattle Cider Company,Seattle Cider Company,Seattle Cider Company,Semi-Sweet,Modern Cider - Sweet,Modern Cider,B
7779,2023,🥈 SILVER,,3,1314,Sidra El Gaitero,Sidra El Gaitero,Sidra El Gaitero,El Gaitero Extra,Modern Cider - Sweet,Modern Cider,B
7819,2023,🥈 SILVER,,3,569,Snow Capped Cider,Snow Capped Cider,Snow Capped Cider,Pinova,Modern Cider - Sweet,Modern Cider,B
7834,2023,🥈 SILVER,,3,971,Space Time Mead & Cider Works,Space Time Mead & Cider Works,Space Time Mead & Cider Works,Helios,Modern Cider - Sweet,Modern Cider,B
7914,2023,🥈 SILVER,,3,631,Thor’s Hard Cider,Thor's Hard Cider,Thor's Hard Cider,Semi-Sweet,Modern Cider - Sweet,Modern Cider,B
7927,2023,🥈 SILVER,,3,841,Thornbury Cidery,Thornbury Craft Co.,Thornbury Cider House,Thornbury Honey Crisp,Modern Cider - Sweet,Modern Cider,B
7929,2023,🥈 SILVER,,3,841,Thornbury Cidery,Thornbury Craft Co.,Thornbury Cider House,Thornbury Limited Edition Craft Sparkling,Modern Cider - Sweet,Modern Cider,B
7931,2023,🥈 SILVER,,3,841,Thornbury Cidery,Thornbury Craft Co.,Thornbury Cider House,Thornbury Premium,Modern Cider - Sweet,Modern Cider,B
7934,2023,🥈 SILVER,,3,841,Thornbury Cidery,Thornbury Craft Co.,Thornbury Cider House,Thornbury Strong,Modern Cider - Sweet,Modern Cider,B
7943,2023,🥈 SILVER,,3,632,Threadbare Cider,Threadbare Cider,Threadbare Cider,Ciderday,Modern Cider - Sweet,Modern Cider,B
8022,2023,🥈 SILVER,,3,861,Vins Arista,Vins Arista,Vins Arista,Dublin's Pub,Modern Cider - Sweet,Modern Cider,B
8031,2023,🥈 SILVER,,3,1050,Waves Cider Company,Waves Cider Co.,Waves Cider Co.,Waves Semi Sweet,Modern Cider - Sweet,Modern Cider,B
8050,2023,🥈 SILVER,,3,2044,Williamson Mead and Brewing,Williamson Mead and Brewing,Williamson Mead and Brewing,Valiant Dragon,Modern Cider - Sweet,Modern Cider,B
8068,2023,🥈 SILVER,,3,1959,Woodlore Cider,Woodlore Cider Co.,Woodlore Cider Co.,Original,Modern Cider - Sweet,Modern Cider,B
7057,2023,🥉 BRONZE,,4,67,2 Towns Ciderhouse,2 Towns Ciderhouse,2 Towns Ciderhouse,Original Cosmic Crisp,Modern Cider - Sweet,Modern Cider,B
7085,2023,🥉 BRONZE,,4,87,Angry Orchard,Angry Orchard,Angry Orchard,First Eve,Modern Cider - Sweet,Modern Cider,B
7087,2023,🥉 BRONZE,,4,87,Angry Orchard,Angry Orchard,Angry Orchard,Gimme the Juice,Modern Cider - Sweet,Modern Cider,B
7102,2023,🥉 BRONZE,,4,93,Apple Valley Cider Co,Apple Valley Cider Company,Apple Valley Cider Company,Semi-Sweet,Modern Cider - Sweet,Modern Cider,B
7244,2023,🥉 BRONZE,,4,165,Brooklyn Cider House,Brooklyn Cider House,Brooklyn Cider House,Little Wild,Modern Cider - Sweet,Modern Cider,B
7481,2023,🥉 BRONZE,,4,323,Haykin Family Cider,Haykin Family Cider,Haykin Family Cider,Macoun,Modern Cider - Sweet,Modern Cider,B
7483,2023,🥉 BRONZE,,4,323,Haykin Family Cider,Haykin Family Cider,Haykin Family Cider,Winecrisp,Modern Cider - Sweet,Modern Cider,B
7500,2023,🥉 BRONZE,,4,345,Incline Cider Company,Incline Cider Company,Incline Cider Company,Beare's Original Haze,Modern Cider - Sweet,Modern Cider,B
7639,2023,🥉 BRONZE,,4,39,Ore Creek Craft Cider,Ore Creek Craft Cider,Ore Creek Craft Cider,Base Camp,Modern Cider - Sweet,Modern Cider,B
7653,2023,🥉 BRONZE,,4,1771,Peat’s Original Cider,Peat's Original Cider,Peat's Original Cider,The Huntsman,Modern Cider - Sweet,Modern Cider,B
7897,2023,🥉 BRONZE,,4,54,Tandem Ciders,Tandem Ciders,Tandem Ciders,Greenman,Modern Cider - Sweet,Modern Cider,B
7940,2023,🥉 BRONZE,,4,841,Thornbury Cidery,Thornbury Craft Co.,Thornbury Cider House,Thornbury x The Tragically Hip Road Apples Cider,Modern Cider - Sweet,Modern Cider,B
7955,2023,🥉 BRONZE,,4,842,Toboggan Brewing Co.,Toboggan Brewing Co.,Toboggan Brewing Co.,Sweet Cider,Modern Cider - Sweet,Modern Cider,B
7989,2023,🥉 BRONZE,,4,932,Two K Farms,Two K Farms,Two K Farms,Macoun,Modern Cider - Sweet,Modern Cider,B
7305,2023,🏆 BEST IN CLASS,1st Place,1,209,Colorado Cider Company,Colorado Cider Company,Colorado Cider Company,Golden Russet,Heritage Cider - Dry,Heritage Cider,C
