Year,Medalist,🏆 BIC,🥇 Gold,🥈 Silver,🥉 Bronze,Total
2023,Alma Cider,0,0,3,0,3
2023,Artifact Cider Project,0,0,3,0,3
2023,Clarksburg Cider,0,0,3,0,3
2023,Etta Place Cider,0,0,3,0,3
2023,Island Folk Cider House,0,0,3,0,3
2023,Meriwether Cider Company,0,0,3,0,3
2023,Noble Cider,0,0,3,0,3
2023,Northyards Cider Co.,0,0,3,0,3
2023,Berkshire Cider Project,0,0,2,1,3
2023,BlackBird Cider Works,0,0,2,1,3
2023,Blossom Barn Cidery,0,0,2,1,3
2023,City Orchard,0,0,2,1,3
2023,Duluth Cider,0,0,2,1,3
2023,Harpers Ferry Brewing,0,0,2,1,3
2023,Kristof Farms,0,0,2,1,3
2023,Shiny Apple Cider,0,0,2,1,3
2023,Sidewood Estate,0,0,2,1,3
2023,Tapped Apple Winery,0,0,2,1,3
2023,Forgotten Fire Winery,0,0,1,2,3
2023,Grey & Gold Cider,0,0,0,3,3
2023,Ore Creek Craft Cider,0,0,0,3,3
2023,Ragged Hill Cider,0,0,0,3,3
2023,West End Cider House,0,0,0,3,3
2023,AeppelTreow Winery & Distillery,1,0,0,1,2
2023,Floribunda,1,0,0,1,2
2023,Idol Cider House,1,0,0,1,2
2023,Wildbranch Cider,1,0,0,1,2
2023,Atlanta Hard Cider Co.,0,1,1,0,2
2023,Heeman's,0,1,1,0,2
2023,Rushford Meadery & Winery,0,1,1,0,2
2023,Shuswap Cider Co.,0,1,1,0,2
2023,Williamson Mead and Brewing,0,1,1,0,2
2023,Mershon's Artisan Cider,0,1,0,1,2
2023,Bløm Meadworks,0,0,2,0,2
2023,Little Apple Cidery,0,0,2,0,2
2023,Maison Hérout,0,0,2,0,2
2023,Mount Diablo Cider Company,0,0,2,0,2
2023,Snowdrift Cider Co.,0,0,2,0,2
2023,Space Time Mead & Cider Works,0,0,2,0,2
2023,Stoic Cider,0,0,2,0,2
2023,String Theory Cider,0,0,2,0,2
2023,Backwater Cider Company,0,0,1,1,2
2023,Bird Dog Cider,0,0,1,1,2
2023,Bowen Cider House,0,0,1,1,2
2023,Cascade Winery & Sierra Rose Ciders,0,0,1,1,2
2023,Crimson Cider Company,0,0,1,1,2
2023,Door Peninsula Winery,0,0,1,1,2
2023,Fenn Valley Vineyards,0,0,1,1,2
2023,Fort Point Beer Company,0,0,1,1,2
2023,Heirloom Hill Cider Company,0,0,1,1,2
2023,Lassen Traditional Cider,0,0,1,1,2
2023,Lucia Maria Melchiori,0,0,1,1,2
2023,Muse Orchard,0,0,1,1,2
2023,Spoke + Spy Ciderworks,0,0,1,1,2
2023,Turncoat Cidery,0,0,1,1,2
2023,Wilding Orchards,0,0,1,1,2
2023,Wise Bird Cider,0,0,1,1,2
2023,Blue Toad Hard Cider,0,0,0,2,2
2023,Cidrerie Compton,0,0,0,2,2
2023,Northwood Cider Co.,0,0,0,2,2
2023,White Winter Winery,0,0,0,2,2
2023,Montana CiderWorks,1,0,0,0,1
2023,Buskey Cider,0,1,0,0,1
2023,Calvados Pierre Huet,0,1,0,0,1
2023,Kuhnhenn Brewing Co.,0,1,0,0,1
2023,Maiden Rock Winery & Cidery,0,1,0,0,1
2023,Malner,0,1,0,0,1
2023,Cornish Cider Company,0,0,1,0,1
2023,Docendo Discitur,0,0,1,0,1
2023,Farmgate Cider,0,0,1,0,1
2023,Geo Cider,0,0,1,0,1
2023,Good Bones Ciderhouse,0,0,1,0,1
2023,Great Lakes Farms,0,0,1,0,1
2023,Institut Agricole Régional,0,0,1,0,1
2023,Llagares Valverán,0,0,1,0,1
2023,Magis Cider Co.,0,0,1,0,1
2023,Offset Ciderworks,0,0,1,0,1
2023,Riley's Cidery,0,0,1,0,1
2023,Runcible Cider,0,0,1,0,1
2023,Speciation Artisan Ales,0,0,1,0,1
2023,Tulip Valley Vineyard & Orchard,0,0,1,0,1
2023,Vins Arista,0,0,1,0,1
2023,Winterset Cidery,0,0,1,0,1
2023,Brooker's Cider,0,0,0,1,1
2023,Casa de Oro Cider,0,0,0,1,1
2023,Farm Club,0,0,0,1,1
2023,Friendly Noise,0,0,0,1,1
2023,Heartland Ciderworks,0,0,0,1,1
2023,Long View Ciderhouse,0,0,0,1,1
2023,Spring Hill Cider Works,0,0,0,1,1
2023,Trubacheevka,0,0,0,1,1
2023,Walkerville City Cidery,0,0,0,1,1
2022,Bauman's Cider,3,4,16,2,25
2022,Seattle Cider Company,0,4,14,4,22
2022,Uncle John's,3,2,6,10,21
2022,Snow Capped Cider,3,3,6,8,20
2022,Haykin Family Cider,2,2,13,3,20
2022,Farmhaus Cider Co.,0,3,13,2,18
2022,Twin Pines Orchards & Cider House,0,2,11,5,18
2022,Blake's Hard Cider Co.,0,3,11,2,16
2022,Wilson's Orchard & Farm,0,1,11,4,16
2022,Threadbare Cider,0,1,8,6,15
2022,1911 Established,0,1,11,2,14
2022,Thor's Hard Cider,1,1,7,4,13
2022,Tandem Ciders,1,0,9,3,13
2022,Vander Mill,0,1,5,7,13
2022,Angry Orchard,1,1,7,3,12
2022,Puget Sound Cider Company,0,4,6,2,12
2022,Salt Spring Wild Cider,2,0,9,0,11
2022,Tieton Cider Works,1,0,6,4,11
2022,2 Towns Ciderhouse,0,5,6,0,11
2022,Thornbury Cider House,0,2,6,3,11
2022,Glacial Till Vineyard & Winery,0,1,7,3,11
2022,Blue Moon Winery & Ciderworx,0,0,7,4,11
2022,Ficklewood Ciderworks,0,0,5,6,11
2022,Virtue Cider,1,1,5,3,10
2022,Arsenal Cider House,1,0,7,2,10
2022,Island Orchard Cider,1,1,2,5,9
2022,Stormalong Cider,0,3,4,2,9
2022,Sage Bird Ciderworks,0,1,8,0,9
2022,Bull Run Cider,0,1,5,3,9
2022,Vala's Orchard Cider,0,1,2,6,9
2022,Boss Cider Company,0,0,5,4,9
2022,Pux Cider,0,2,4,2,8
2022,Dancing Cider Co.,0,1,3,4,8
2022,Starcut Ciders,2,0,3,2,7
2022,Gowan's Heirloom Ciders,1,1,5,0,7
2022,Atlanta Hard Cider Co.,1,0,6,0,7
2022,Cider Hill Cellars,1,0,5,1,7
2022,Ernest Cider,1,0,4,2,7
2022,ANXO Cider,1,0,3,3,7
2022,Eris Brewery & Cider House,1,0,3,3,7
2022,Number 12 Cider,0,2,4,1,7
2022,Swift Cider,0,2,3,2,7
2022,Chain Yard Urban Cidery,0,1,5,1,7
2022,Journey North Cider Co.,0,1,4,2,7
2022,St. Vrain Cidery,0,1,4,2,7
2022,Papa Moon Vineyards & Winery,0,1,3,3,7
2022,Jefferson County Ciderworks,2,1,2,1,6
2022,City Orchard,1,1,4,0,6
2022,Brooklyn Cider House,1,0,4,1,6
2022,Pencil Hound Ciders,0,2,3,1,6
2022,Champlain Orchards,0,1,5,0,6
2022,Portland Cider Company,0,1,4,1,6
2022,Northville Winery and Brewing Company,0,1,3,2,6
2022,Phillips Orchards & Cider Mill,0,1,3,2,6
2022,Sidra El Gaitero,0,1,2,3,6
2022,EsoTerra Cider,0,1,1,4,6
2022,Presque Isle Farm Cider,0,0,4,2,6
2022,Waves Cider Co.,0,0,4,2,6
2022,Elk Horn Brewery & Ciderhouse,0,0,3,3,6
2022,OK Cider Co,0,0,3,3,6
2022,Sapsucker Farms Yellow Belly Cidery,0,0,3,3,6
2022,Cidrerie Milton,1,2,1,1,5
2022,Door Peninsula Winery,1,2,1,1,5
2022,Empyrical Orchards And Cider,1,1,3,0,5
2022,Rootstock Ciderworks,1,1,2,1,5
2022,Ciderboys,1,0,4,0,5
2022,Millionaires' Row Cider Co.,1,0,4,0,5
2022,Banjo Cider,1,0,3,1,5
2022,Yip Cider,1,0,3,1,5
2022,Windswept Orchard Cider,1,0,2,2,5
2022,Ragged and Right Cider Project,0,1,3,1,5
2022,Stem Ciders,0,1,3,1,5
2022,Sea Cider Farm & Ciderhouse,0,1,2,2,5
2022,California Cider Company,0,1,1,3,5
2022,Peak Light Cider,0,0,5,0,5
2022,Bryant's Cider,0,0,4,1,5
2022,Nashi Orchards,0,0,4,1,5
2022,Niagara Cider Company,0,0,4,1,5
2022,Blue Toad Hard Cider,0,0,3,2,5
2022,Brew Lab 101 Beer & Cider Co.,0,0,3,2,5
2022,Cidrerie Verger Bilodeau,0,0,3,2,5
2022,Locust Cider,0,0,3,2,5
2022,Peninsula Cellars,0,0,3,2,5
2022,Loch Mór Cider Co.,2,1,1,0,4
2022,Bridgehouse Cider,1,1,2,0,4
2022,Duluth Cider,1,1,0,2,4
2022,Bent Ladder,1,0,2,1,4
2022,Deep Roots Hard Cider,1,0,2,1,4
2022,Peat's Original Cider,1,0,2,1,4
2022,Eden Specialty Ciders,1,0,1,2,4
2022,Snowdrift Cider Co.,1,0,1,2,4
2022,Sidra Mayador,1,0,0,3,4
2022,Albemarle CiderWorks,0,2,2,0,4
2022,Big Fish Cider Co.,0,2,1,1,4
2022,Fenn Valley Vineyards,0,2,1,1,4
2022,Meriwether Cider Company,0,1,3,0,4
2022,Seminary Hill Orchard & Cidery,0,1,2,1,4
2022,Yonder Cider,0,1,2,1,4
2022,Black Diamond Cider,0,1,1,2,4
2022,Ciders from Mars,0,1,1,2,4
2022,Heeman's,0,1,1,2,4
2022,Finnriver Farm and Cidery,0,0,4,0,4
2022,Idol Cider House,0,0,4,0,4
2022,Townline Ciderworks,0,0,4,0,4
2022,Urban Forage Winery & Cider House,0,0,4,0,4
2022,B. Nektar,0,0,3,1,4
2022,Island Folk Cider House,0,0,3,1,4
2022,KW Craft Cider,0,0,3,1,4
2022,Posterity Ciderworks,0,0,3,1,4
2022,Urban Tree Hard Cider,0,0,3,1,4
2022,Wild State Cider,0,0,3,1,4
2022,Apple Valley Cider Company,0,0,2,2,4
2022,Blackgrass Ciderworks,0,0,2,2,4
2022,Fenceline Cider,0,0,2,2,4
2022,Lost Boy Cider,0,0,2,2,4
2022,Treasury Cider at Fishkill Farms,0,0,2,2,4
2022,BlackBird Cider Works,0,0,1,3,4
2022,Junction Orchard & Cidery,0,0,1,3,4
2022,Williamson Mead and Brewing,0,0,1,3,4
2022,Willow Oaks,0,0,1,3,4
2022,Brickworks Ciderhouse,1,1,1,0,3
2022,West Avenue Cider,1,0,2,0,3
2022,Fraser Valley Cider Company,1,0,1,1,3
2022,Noble Cider,1,0,1,1,3
2022,Wooden Gate Cider,1,0,1,1,3
2022,Cornish Cider Company,1,0,0,2,3
2022,Rhinegeist Brewery,0,1,2,0,3
2022,Grey & Gold Cider,0,1,1,1,3
2022,Ragged Hill Cider,0,1,1,1,3
2022,Cidrerie McKeown,0,0,3,0,3
2022,Green Bench Mead & Cider,0,0,3,0,3
2022,Michigan Wine Company,0,0,3,0,3
2022,Shiny Apple Cider,0,0,3,0,3
2022,Bull City Ciderworks,0,0,2,1,3
2022,Cambium Cider Co,0,0,2,1,3
2022,Colorado Cider Company,0,0,2,1,3
2022,Crossmount Cider Company,0,0,2,1,3
2022,Goat Rock Cider Company,0,0,2,1,3
2022,Hazlitt 1852 Cider Crafters,0,0,2,1,3
2022,Sunnycider,0,0,2,1,3
2022,Wise Bird Cider,0,0,2,1,3
2022,Wölffer Estate Vineyard,0,0,2,1,3
2022,Ambrosia Orchard,0,0,1,2,3
2022,Brooker's Cider,0,0,1,2,3
2022,Brys Estate Ciderworks,0,0,1,2,3
2022,Cider Corps,0,0,1,2,3
2022,Floribunda,0,0,1,2,3
2022,Ploughman Cider,0,0,1,2,3
2022,Sidra Somarroza,0,0,1,2,3
2022,Spy Cider House and Distillery,0,0,1,2,3
2022,String Theory Cider,0,0,1,2,3
2022,Flat Rock Cider Company,0,0,0,3,3
2022,Space Time Mead & Cider Works,0,0,0,3,3
2022,Thornapple Brewing Company,0,0,0,3,3
2022,Kristof Farms,1,1,0,0,2
2022,Two K Farms,1,1,0,0,2
2022,AeppelTreow Winery & Distillery,1,0,0,1,2
2022,Covered Bridge Brewing,0,1,1,0,2
2022,Etta Place Cider,0,1,0,1,2
2022,Little Apple Cidery,0,1,0,1,2
2022,Subterranean Cider,0,1,0,1,2
2022,Cascade Winery & Sierra Rose Ciders,0,0,2,0,2
2022,Magis Cider Co.,0,0,2,0,2
2022,Minneapolis Cider Company,0,0,2,0,2
2022,Spring Hill Cider Works,0,0,2,0,2
2022,Black Bear Cider Co.,0,0,1,1,2
2022,Blossom Barn Cidery,0,0,1,1,2
2022,Blue Bee Cider,0,0,1,1,2
2022,Broken Brix,0,0,1,1,2
2022,Ore Creek Craft Cider,0,0,1,1,2
2022,Spoke + Spy Ciderworks,0,0,1,1,2
2022,Sutliff Cider Company,0,0,1,1,2
2022,Botanist & Barrel,0,0,0,2,2
2022,Seasons Cider,0,0,0,2,2
2022,Tenmile Cider Co.,0,0,0,2,2
2022,The Northman Beer & Cider Garden,0,0,0,2,2
2022,Kikusui Brewing Co.,0,1,0,0,1
2022,Chase Hill Cider,0,0,1,0,1
2022,Copper Crow Distillery,0,0,1,0,1
2022,Docendo Discitur,0,0,1,0,1
2022,Flint City Hard Cider Co.,0,0,1,0,1
2022,Institut Agricole Régional,0,0,1,0,1
2022,Lassen Traditional Cider,0,0,1,0,1
2022,Melo Moon Cider,0,0,1,0,1
2022,Moss Vineyards,0,0,1,0,1
2022,Renaissance Orchards,0,0,1,0,1
2022,Akiu Winery,0,0,0,1,1
2022,Bee Well Mead & Cider,0,0,0,1,1
2022,Bløm Meadworks,0,0,0,1,1
2022,East End Brewing Company,0,0,0,1,1
2022,Farm & Cidery Kaneshige,0,0,0,1,1
2022,Ferme Black Creek,0,0,0,1,1
2022,Mori-yama-en,0,0,0,1,1
2022,Speciation Artisan Ales,0,0,0,1,1
2022,Stoneybrook Cider,0,0,0,1,1
2022,Walkerville City Cidery,0,0,0,1,1
2021,Gypsy Circus,0,2,13,11,26
2021,Puget Sound Cider Company,0,3,15,5,23
2021,Uncle John's,2,2,16,2,22
2021,Angry Orchard,0,3,13,4,20
2021,Haykin Family Cider,2,3,10,4,19
2021,Threadbare Cider,1,2,8,7,18
2021,Bauman's Cider,3,4,9,1,17
2021,Snow Capped Cider,3,4,5,4,16
2021,Seattle Cider Company,1,1,9,5,16
2021,Vander Mill,1,2,8,4,15
2021,Farmhaus Cider Co.,0,1,8,6,15
2021,Blue Moon Winery & Ciderworx,0,1,12,1,14
2021,City Orchard,0,1,11,2,14
2021,Lost Boy Cider,0,1,9,4,14
2021,Offset Ciderworks,0,1,8,4,13
2021,Tieton Cider Works,0,0,8,5,13
2021,EsoTerra Cider,2,0,8,2,12
2021,Vermont Cider Company,1,2,1,8,12
2021,Sage Bird Ciderworks,0,2,7,3,12
2021,Twin Pines Orchards & Cider House,1,3,4,3,11
2021,Arsenal Cider House,0,0,9,2,11
2021,1911 Established,0,0,7,4,11
2021,Blackgrass Ciderworks,0,0,4,7,11
2021,Stem Ciders,1,0,9,0,10
2021,Blake's Hard Cider Co.,1,0,7,2,10
2021,Cidrerie Milton,0,3,4,3,10
2021,Thor's Hard Cider,0,3,4,3,10
2021,Two K Farms,0,2,4,4,10
2021,Virtue Cider,0,1,7,2,10
2021,2 Towns Ciderhouse,0,0,8,2,10
2021,Journey North Cider Co.,0,0,6,4,10
2021,Bee Well Mead & Cider,2,0,5,2,9
2021,Albemarle CiderWorks,1,2,5,1,9
2021,Thornbury Cider House,1,1,6,1,9
2021,Eris Brewery & Cider House,0,0,7,2,9
2021,Sycamore Ranch Vineyard & Winery,0,0,3,6,9
2021,Beaver Valley Orchard & Cidery,0,0,1,8,9
2021,Northville Winery and Brewing Company,2,0,4,2,8
2021,Tandem Ciders,1,2,5,0,8
2021,Rootstock Ciderworks,1,0,5,2,8
2021,Gowan's Heirloom Ciders,1,0,4,3,8
2021,Teal Cider,0,1,4,3,8
2021,Cider Hill Cellars,0,0,6,2,8
2021,Stormalong Cider,1,2,4,0,7
2021,Cidrerie Verger Bilodeau,1,1,4,1,7
2021,Heeman's,1,0,6,0,7
2021,Ragged and Right Cider Project,1,0,4,2,7
2021,Vala's Orchard Cider,0,3,2,2,7
2021,Peat's Original Cider,0,2,4,1,7
2021,Ficklewood Ciderworks,0,1,6,0,7
2021,St. Vrain Cidery,0,1,4,2,7
2021,Uncommon Cider Co.,0,1,4,2,7
2021,Left Foot Charley,0,1,3,3,7
2021,Wyndridge Farm Cidery,0,0,6,1,7
2021,Lindner's Cider,0,0,4,3,7
2021,Pencil Hound Ciders,0,0,4,3,7
2021,Sea Cider Farm & Ciderhouse,0,0,4,3,7
2021,ANXO Cider,0,0,3,4,7
2021,Urban Tree Hard Cider,0,0,3,4,7
2021,Thornapple Brewing Company,0,0,2,5,7
2021,Colorado Cider Company,1,2,3,0,6
2021,Scenic Road Cider Co.,1,1,4,0,6
2021,Presque Isle Farm Cider,1,1,3,1,6
2021,Clear Fork Cider,1,1,1,3,6
2021,Eden Specialty Ciders,1,0,4,1,6
2021,Original Sin Cider,0,3,2,1,6
2021,Potter's Craft Cider,0,2,4,0,6
2021,Empyrical Orchards And Cider,0,2,3,1,6
2021,Big Fish Cider Co.,0,1,4,1,6
2021,KW Craft Cider,0,1,4,1,6
2021,Wise Bird Cider,0,1,4,1,6
2021,Diskin Cider,0,1,3,2,6
2021,Black Diamond Cider,0,0,5,1,6
2021,Dragon's Head Cider,0,0,3,3,6
2021,Etta Place Cider,0,0,2,4,6
2021,Tall Ship Craft Cider / Fjordfolk Mikrobryggeri,0,0,2,4,6
2021,Treasury Cider at Fishkill Farms,0,0,1,5,6
2021,Loch Mór Cider Co.,2,1,2,0,5
2021,Sidewood Estate,1,1,3,0,5
2021,Two Broads Ciderworks,1,1,2,1,5
2021,Once Upon A Tree,1,1,1,2,5
2021,Brooklyn Cider House,1,0,4,0,5
2021,Cambium Cider Co,1,0,4,0,5
2021,Alma Cider,1,0,3,1,5
2021,Sapsucker Farms Yellow Belly Cidery,0,2,0,3,5
2021,Ernest Cider,0,1,4,0,5
2021,Blue Toad Hard Cider,0,1,1,3,5
2021,Island Orchard Cider,0,0,5,0,5
2021,Niagara Cider Company,0,0,4,1,5
2021,Suttons Bay Ciders,0,0,4,1,5
2021,Bull City Ciderworks,0,0,3,2,5
2021,Citizen Cider,0,0,3,2,5
2021,Number 12 Cider,0,0,3,2,5
2021,Rhinegeist Brewery,0,0,3,2,5
2021,Stone Circle Cider,0,0,3,2,5
2021,Talbott's Cider Company,0,0,2,3,5
2021,Celtic Marches,2,0,2,0,4
2021,Ragged Hill Cider,1,1,1,1,4
2021,Starcut Ciders,1,1,1,1,4
2021,Stoic Cider,1,1,1,1,4
2021,Sidra El Gaitero,1,0,3,0,4
2021,Valley Cider Company,1,0,2,1,4
2021,Fenceline Cider,0,1,3,0,4
2021,12 Bridge Ciderworks,0,0,3,1,4
2021,Deep Roots Hard Cider,0,0,3,1,4
2021,Lost Giants Cider Company,0,0,3,1,4
2021,Peninsula Cellars,0,0,3,1,4
2021,Right Bee Cider,0,0,3,1,4
2021,Finnriver Farm and Cidery,0,0,2,2,4
2021,Hazlitt 1852 Cider Crafters,0,0,2,2,4
2021,Meriwether Cider Company,0,0,2,2,4
2021,New Salem Cider,0,0,2,2,4
2021,Papa Moon Vineyards & Winery,0,0,2,2,4
2021,Space Time Mead & Cider Works,0,0,2,2,4
2021,Waves Cider Co.,0,0,2,2,4
2021,Apple Valley Cider Company,0,0,1,3,4
2021,Buskey Cider,0,0,1,3,4
2021,Gravity Vineyards and Winery,0,0,1,3,4
2021,Locust Cider,0,0,1,3,4
2021,Sly Clyde Ciderworks,0,0,1,3,4
2021,Wild State Cider,0,0,1,3,4
2021,Freewater Cider Company,0,0,0,4,4
2021,Winery at Black Star Farms,2,0,0,1,3
2021,Dead Horse Cider Co.,1,1,0,1,3
2021,Michigan Wine Company,1,0,2,0,3
2021,Crispin Cider Company,1,0,1,1,3
2021,Gnarly Pippin Cider House,0,2,0,1,3
2021,California Cider Company,0,1,2,0,3
2021,Pux Cider,0,1,2,0,3
2021,Black Apple,0,1,1,1,3
2021,Tempted Cider,0,1,1,1,3
2021,Gary Awdey,0,1,0,2,3
2021,Banjo Cider,0,0,3,0,3
2021,Bløm Meadworks,0,0,3,0,3
2021,Green Bench Mead & Cider,0,0,3,0,3
2021,Portland Cider Company,0,0,3,0,3
2021,AeppelTreow Winery & Distillery,0,0,2,1,3
2021,C.E.Petch Cidery and Distillery,0,0,2,1,3
2021,Cascade Winery & Sierra Rose Ciders,0,0,2,1,3
2021,Castle Hill Cider,0,0,2,1,3
2021,Dunkertons Cider and Perry,0,0,2,1,3
2021,Godfreyrun Cider Mill,0,0,2,1,3
2021,Headwater Cider,0,0,2,1,3
2021,Kings Mill Cider,0,0,2,1,3
2021,Phillips Orchards & Cider Mill,0,0,2,1,3
2021,Posterity Ciderworks,0,0,2,1,3
2021,Riverhead Ciderhouse,0,0,2,1,3
2021,Urban Farm Fermentory,0,0,2,1,3
2021,Appleholic Cider Company,0,0,1,2,3
2021,BlackBird Cider Works,0,0,1,2,3
2021,Duluth Cider,0,0,1,2,3
2021,Flat Rock Cider Company,0,0,1,2,3
2021,High Hope Cider,0,0,1,2,3
2021,Liberty Ciderworks,0,0,1,2,3
2021,Red Island Cider,0,0,1,2,3
2021,3 North Vines,0,0,0,3,3
2021,Angeles Crest Cider,0,0,0,3,3
2021,Botanist & Barrel,0,0,0,3,3
2021,Bryant's Cider,0,0,0,3,3
2021,Verger Belliveau Orchard,1,0,0,1,2
2021,2 Fools Cider,0,1,1,0,2
2021,Brickworks Ciderhouse,0,1,1,0,2
2021,Collective Arts Brewing,0,1,0,1,2
2021,Willow Oaks,0,1,0,1,2
2021,Farmgate Cider,0,0,2,0,2
2021,Golden State Cider,0,0,2,0,2
2021,Kingston Creek Cider,0,0,2,0,2
2021,Muse Orchard,0,0,2,0,2
2021,Black Bear Cider Co.,0,0,1,1,2
2021,Brick River Cider,0,0,1,1,2
