COUNTA of Medal,Year,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17
Artifact Cider Project,,,,,,,,,,,,,,,,,3
Ash & Elm Cider Company,,,,,,,,,,,,4,4,1,,,
Aspall,,,,,4,5,5,,,,,,,,,,
Asturiana de Vinos,,,,,,,,2,,,,,,,,,
Atlanta Hard Cider Co.,,,,,,,,,,,,,,3,1,7,2
Austin Eastciders,,,,,,,2,,,,,,,,2,,
AVAL Cider,,,,,,,,,,,,,,,,,3
Avid Cider,,,,,,,,,4,,,3,,,,,5
B. Nektar,,,,,,,,,,,,2,,1,,4,
Backwater Cider Company,,,,,,,,,,,,,3,,2,,2
Banditry Cider,,,,,,,,,,,,,,,,,3
Banjo Cider,,,,,,,,,,,,,,,3,5,
Bantam Cider,,,,,,,,2,,,,,,,,,
Banter's Hard Cider,,,,,,,,,,,,2,2,,,,
Bardic Brewing & Cider,,,,,,,,,,,,,,,1,,
Barrika,,,,,,,,,,,,1,2,1,,,
Bauman's Cider,,,,,,,,,,,2,1,4,9,17,25,29
Beach Bee Meadery,,,,,,,,,,,,,,,,,5
Bear Cider,,,,,,,,,,,,,,1,,,
Beaver Valley Orchard & Cidery,,,,,,,,,1,3,4,2,2,2,9,,
Bee Well Mead & Cider,,,,,,,,,,,6,6,3,5,9,1,6
Bel Lago Winery,,,,,,,,,,1,2,,,,,,
Bent Ladder,,,,,,,,,,,,,,3,,4,4
Bereziartua,,,,,,,,,,1,3,2,1,,1,,
Berkshire Cider Project,,,,,,,,,,,,,,,,,3
Bier Distillery,,,,,,,,,,,,1,,1,,,
Big B's Hard Cider,,,,,,,,1,2,7,3,7,6,6,,,
Big Belly Ciderworks,,,,,,,,,,,1,1,2,,,,
Big Fish Cider Co.,,,,,,,,,,,4,3,3,3,6,4,6
Big Hill Ciderworks,,,,,,,,,1,,3,3,4,2,,,
bigLITTLE Wines,,,,,,,,,,,1,,,,,,
Bird Dog Cider,,,,,,,,,,,,,,,,,2
Bishop Cider Company,,,,,,,,,,,,,4,,,,
Bishops Orchards Winery,,,,,,,,,6,5,4,,,,,,
Black Apple,,,,,,,,,,,,,,,3,,4
Black Bear Cider Co.,,,,,,,,,,,,,,,2,2,
Black Devil Cider,,,,,,,,,,,,,1,,,,
Black Diamond Cider,,,,,,,,,,,,5,8,4,6,4,4
BlackBird Cider Works,,,,,,,2,6,3,5,5,3,4,3,3,4,3
Blackgrass Ciderworks,,,,,,,,,,,,,,,11,4,4
Blackman Cider Co.,,,,,,,,,,,,,,4,,,
Blacksmiths Winery,,,,,,,2,,,,,,,,,,
Blake's Hard Cider Co.,,,,,,,,,2,3,6,3,6,7,10,16,12
Blindwood Cider,,,,,,,,,,,,,,1,,,
Bløm Meadworks,,,,,,,,,,,,,,,3,1,2
Blossom Barn Cidery,,,,,,,,,,,,,,,1,2,3
Blossomwood Cidery,,,1,,,,,,,,,,,,,,
Blue Bee Cider,,,,,,,,,5,,,,,3,,2,
Blue Moon Winery & Ciderworx,,,,,,,,,,,,,5,5,14,11,14
Blue Ox Cider,,,,,,,,,,,,,,,1,,
Blue Toad Hard Cider,,,,,,,,,,,,2,4,3,5,5,2
Blueberry Hill Estates,,,,,,,,,,,1,,3,,,,
Bold Rock Hard Cider (Mills River),,,,,,,,,,,8,10,7,9,,,5
Bonnieheath Estate Winery,,,,,,,,,,,,2,,,,,
Boss Cider Company,,,,,,,,,,,,,,,,9,
Boston Beer Company,,,1,,,,,,,,,,,,,,
Botanist & Barrel,,,,,,,,,,,,,,3,3,2,
Bowen Cider House,,,,,,,,,,,,,,,,,2
Boyden Valley Winery & Spirits,,,,,,,,,2,,2,,,,,,
Branch Out Cider,,,,,,,,,1,1,2,,,,,,
Brew Lab 101 Beer & Cider Co.,,,,,,,,,,,,,,,,5,4
Brick River Cider,,,,,,,,,,,,,,,2,,
Brickworks Ciderhouse,,,,,,,,,,,3,,10,3,2,3,
Bridgehouse Cider,,,,,,,,,,,,,,,1,4,
Brix Cider,,,,,,,,,,,,1,5,4,,,
Broken Brix,,,,,,,,,,,,,,,1,2,
Brooker's Cider,,,,,,,,,,,,,,,,3,1
Brooklyn Cider House,,,,,,,,,,,3,4,4,7,5,6,10
Bryant's Cider,,,,,,,,,,,,,,4,3,5,
Brys Estate Ciderworks,,,,,,,,,,,,,,,,3,
Bull City Ciderworks,,,,,,,,,,,,,8,7,5,3,
Bull Run Cider,,,,,,,,1,4,1,3,2,,2,,9,
Bulwark Cider,,,,,,,,,,,4,6,3,,,,
Buskey Cider,,,,,,,,,,,,3,2,,4,,1
C Squared Ciders,,,,,,,,,,,2,4,5,4,,,
C.E.Petch Cidery and Distillery,,,,,,,,,,,,,,3,3,,
California Cider Company,,,,,,,,,,4,1,5,5,,3,5,5
Calvados Pierre Huet,,,,,,,,,,,,,,,,,1
Cambium Cider Co,,,,,,,,,,1,2,3,6,,5,3,4
Carolina Distillery,,,,,,,,,2,,,1,,,,,
Casa de Oro Cider,,,,,,,,,,,,,,,,,1
Cascade Winery & Sierra Rose Ciders,1,1,,,,,,,,,,,,2,3,2,2
Cascadia Ciderworkers United,,,,,,,,2,,2,,,,,,,
Castle Hill Cider,,,,,,,4,1,3,2,3,2,2,8,3,,6
Cellar Brewing Company,,,,,,1,,,,,,,,,,,
Cellarmen's,,,,,,,,,,,4,4,,,,,
Celtic Marches,,,,,,,,,,,,,6,3,4,,
Century Tree Cider Co.,,,,,,,,,,,,,3,,,,
Chain Yard Urban Cidery,,,,,,,,,,,,,,7,,7,
Champlain Orchards,,,,,,,,2,,,3,2,3,5,,6,4
Chase Hill Cider,,,,,,,,,,,,,,,,1,
Chateau Buffalo,,,1,3,,,,,,,,,,,,,
Chateau Morrisette,,,,,,,,,,,,,3,,,,
Cherry Creek Cellars,,,1,,,,,,,2,1,1,2,,,,
Cider Brothers,,,,,,,,,,6,1,2,,,,,
Cider by Rosie,,,,,,2,,,,,,,,,,,
Cider Corps,,,,,,,,,,,,,,,,3,
Cider Creek Hard Cider,,,,,,,,,,7,4,11,9,10,,,
Cider Hill Cellars,,,,,,,,,,,,,3,5,8,7,6
Cider House of Wisconsin,,,,,,,,,2,1,,,,3,,,
Cider Riot!,,,,,,,,,,3,3,,4,4,,,
Ciderboys,,,,,,,,,4,4,5,6,6,4,,5,
Ciders from Mars,,,,,,,,,,,,,,,,4,4
Cidre de Rhuys,,,,,,,,,,,,2,,,,,
Cidre Le Brun,,,,,,,,,,,1,1,1,2,,,
Cidrerie Compton,,,,,,,,,,,,,,,,,2
Cidrerie Daufresne,,,,,,,,,,,2,,,,,,
Cidrerie de Menez-Brug,,,,,,,,,,,1,1,1,1,,,
Cidrerie du Minot,,,,,,,,,,,9,9,10,10,,,
Cidrerie Entre Pierre & Terre,,,,,,,,1,1,2,5,,,,,,
Cidrerie Le Somnambule,,,,,,,,,,,,,,,,,4
Cidrerie McKeown,,,,,,,,,,,,4,,,,3,
Cidrerie Milton,,,,,,,,4,5,5,7,6,7,7,10,5,6
Cidrerie St-Nicolas,,,,,,,,3,,,,,,,,,
Cidrerie Verger Bilodeau,,,,,,,,,,,,2,4,4,7,5,7
Cigar City Cider & Mead,,,,,,,,,,,2,,,,,,
Citizen Cider,,,,,,,,,,,3,6,5,4,5,,
City Orchard,,,,,,,,,,,,1,1,12,14,6,3
Clarksburg Cider,,,,,,,,,,,,,,,,,3
Clear Fork Cider,,,,,,,,,,,,2,,,6,,
Clos de la Fontaine Hugo,,,,,,,,,1,,1,,,,,,
Coastliner Craft Cider,,,,,,,,,,,,1,3,1,,,
Coffin Ridge Boutique Winery,,,,,,,,,,,,4,,6,,,
Cold Hand Winery,,,,,,,,,,,,,2,,,,
Cold Hollow Cider Mill,,,,,,,,,,,1,1,,,,,
Collective Arts Brewing,,,,,,,,,,,,4,3,3,2,,
Colorado Cider Company,,,,,,,,,5,4,3,6,6,4,6,3,4
Common Cider Company,,,,,,,,,,5,3,,4,,,,
Copper Crow Distillery,,,,,,,,,,,,,,,,1,
Corey Lake Orchards,,,,,,,,,,,,4,3,,,,
Cornish Cider Company,,,,,,,,,,,,,,1,,3,1
Coteau Rougemont,,,,,,,,,,,6,4,,,,,
Cotswold Cider Company,,,,,,,,,,,,1,,,,,
Country Mill Winery,,,,,,3,,,,,,,,,,,
County Cider Company,,,,,,3,,3,,,4,3,,,,,
Courthouse Creek Cider,,,,,,,,,,,,,,2,,,
Covered Bridge Brewing,,,,,,,,,,,,,,,,2,
Craftier,,,,,,,,,,,,,1,2,,,
Craigies Cider,,,,,,,,,,1,,,,,,,
Creekside Estate Winery,,,,,,,,,,,,,1,,,,
Crimson Cider Company,,,,,,,,,,,,,,,,,2
Crispin Cider Company,,3,3,,,8,15,8,,,9,8,,7,3,,
Critz Farms,,,,,,,,,,,4,,,3,,,
Crossmount Cider Company,,,,,,,,,,,,,,,,3,
Dan Kelly's Cider,,,,,,,,,,1,,,,,,,
Dancing Cider Co.,,,,,,,,,,,,,,,,8,
Dave & Dani Craft Cider,,,,,,,,,,,,,,6,,,
Dead Horse Cider Co.,,,,,,,,,,,,,,,3,,
Deep Roots Hard Cider,,,,,,,,,,,1,2,4,4,4,4,4
Descendant Cider Company,,,,,,,,,,3,2,3,3,,,,
Devoto Orchards Cider,,,,,,,,1,3,2,,,,,,,
Dickens Cider,,,,,,,,,1,,,,,,,,
Diner Brew Co.,,,,,,,,,,,,,,5,,,
Diskin Cider,,,,,,,,,,,,,,3,6,,
Distillery Lane Ciderworks,,,,,,3,4,4,4,4,2,3,,,,,
Docendo Discitur,,,,,,,,,,,,,,,,1,1
Domaine de Kervéguen,,,,,,,,,1,,1,,,,,,
Domaine de Normandie,,,,,,,,,,,1,,,,,,
Domaine des Côtes d'Ardoise,,,,,,,,,,,,,2,,,,
Domaine Duclos Fougeray,,,,,,,,,3,,,,,,,,
Domaine Pinnacle,,,,,,,,1,,,,,,,,,
Dominion Cider Co.,,,,,,,,,,,,,,2,,,
Door Peninsula Winery,,,,,,,,,,,,,4,3,,5,2
Douglas Valley,,,,4,,,,,,,,,,,,,
Downeast Cider House,,,,,,,1,,,,,,,,,,
Dragon's Head Cider,,,,,,,,,,,,2,7,3,6,,
Duluth Cider,,,,,,,,,,,,,,,3,4,3
Dunkertons Cider and Perry,,,,,,,,,,,,3,3,3,3,,
Duntroon Cyder House,,,,,,,,,,1,,,,,,,
E&J Gallo Winery,,,,1,,2,,,,,,,,,,,
Eaglemount Wine & Cider,,,,,,,,,3,,,,,,,,
East End Brewing Company,,,,,,,,,,,,,,,,1,
Eden Specialty Ciders,,,,,2,4,3,4,4,7,5,7,7,7,6,4,6
EdenVale Wines,,,,,,,,,,,,1,,1,,,
Ela Cider Co.,,,,,,,,,,,1,1,2,,,,
Elk Horn Brewery & Ciderhouse,,,,,,,,,,,,3,,5,,6,
Embark Craft Ciderworks,,,,,,,,,,3,5,6,5,12,,,
Empire Cider Company,,,,,,,,,,,,4,3,,,,
Empyrical Orchards And Cider,,,,,,,,,,,,,,3,6,5,14
Epona,,,,,,,,,,,,,,,1,,
Eris Brewery & Cider House,,,,,,,,,,,,,4,7,9,7,5
Ernest Cider,,,,,,,,,,,,2,7,9,5,7,5
EsoTerra Cider,,,,,,,,,,,,,,,12,6,
Ethic Ciders,,,,,,,,,,,,,,2,,,
Etta Place Cider,,,,,,,,,,,,,,,6,2,3
F.H. Prager,,,,,,,,,,,1,,,,,,
Fabbioli Cellars,,,,,,,,,,,,1,3,,,,
Falconer Vineyards,,,,,,,,,,,,2,2,2,,,
Familia Soroa,,,,,,,,,,,1,,,,,,
Farm & Cidery Kaneshige,,,,,,,,,,,,,,,,1,
Farm Club,,,,,,,,,,,,,,,,,1
Farmgate Cider,,,,,,,,,,,,,,,2,,1
Farmhaus Cider Co.,,,,,,,,,,2,1,2,2,4,15,18,26
Farmstead Cider,,,,,,,,,,,,,,,2,,
Fenceline Cider,,,,,,,,,,,,,,9,4,4,5
Fenn Valley Vineyards,,,,,,,,,,,,,,,,4,2
Ferme Black Creek,,,,,,,,,,,,,1,1,,1,
Ferme de la Sapinière,,,,,,,,,2,4,3,2,2,,,,
Ferme de Romilly,,,,,,,,,,,,,6,,,,
Ferro Farms,,,,,,,,,,,1,1,,,,,
Ficklewood Ciderworks,,,,,,,,,,,,,,,7,11,
FieldBird Cider,,,,,,,,,,,,,2,,,,
Fieldstone Hard Cider Co.,,,,,,,,,,,,3,3,3,,,
Finnriver Farm and Cidery,,,,,,2,,3,4,6,5,3,,6,4,4,3
Five Maidens Cider Company,,,,,,,,,,,,,,,,,8
Flat Rock Cider Company,,,,,,,,,,,,,,,3,3,4
Flatbed Cider Co.,,,,,,,,,,,2,,,,,,
Flint City Hard Cider Co.,,,,,,,,,,,1,1,2,,2,1,
Floribunda,,,,,,,,,,,,,,,,3,2
Foggy Ridge Cider,,,2,,,,,,,,,,,,,,
Forbidden Cider Co.,,,,,,,,,2,,,2,,,,,
Forgotten Ciders,,,,,,,,,,5,4,4,5,,,,
Forgotten Fire Winery,,,,,,,,,,,,,,,,,3
Fort Point Beer Company,,,,,,,,,,,,,,,,,2
Forward Ferments,,,,,,,,,,,,,,2,,,
Fourth Coast Ciderworks,,,,,,,,,,,,,,1,,,
Foxcraft Hard Cider,,,,,,,,,,4,,,,,,,
France Cidre Export,,,,,,,,,,,,,,2,,,
Fraser Valley Cider Company,,,,,,,,,,,,,,,,3,
Frecon's Cidery,,,,,,,,1,2,4,,,,,,,
Freewater Cider Company,,,,,,,,,,,,,1,3,4,,
French Road Cellars,,,,,,1,,,,,,,,,,,
Friendly Noise,,,,,,,,,,,,,,,,,1
Garage D'or Ciders,,,,,,,,,,,,1,,,,,
Gary Awdey,,,,,,,,,,,2,2,,,3,,
Geo Cider,,,,,,,,,,,,,,,,,1
Glacial Till Vineyard & Winery,,,,,,,,,,,,,,,,11,11
Gnarly Grove Hard Cider,,,,,,,,,,,2,,,,,,
Gnarly Pippin Cider House,,,,,,,,,,,,,,,3,,
Goat Rock Cider Company,,,,,,,,,,,,,,,,3,
Godfreyrun Cider Mill,,,,,,,,,,,,,,,3,,
Golden State Cider,,,,,,,,,,1,,,,1,2,,
Good Bones Ciderhouse,,,,,,,,,,,,,,,,,1
GoodRoad Ciderworks,,,,,,,,,,,,4,6,,,,
Gowan's Heirloom Ciders,,,,,,,,,,,,,6,4,8,7,5
Grand Illusion Hard Cider,,,,,,,,,,,,1,1,2,,,
Gravity Vineyards and Winery,,,,,,,,,,,,,,,4,,
Great Lakes Farms,,,,,,,,,,,,,,,,,1
Green Bench Mead & Cider,,,,,,,,,,,,,,6,3,3,6
Green Bird Cellars,,,,,,,2,2,1,1,,,,,,,
Greenwood Cider Company,,,,,,,,,,,,,3,,,,
Grey & Gold Cider,,,,,,,,,,,,5,5,4,,3,3
Griffin Cider Works,,,,,,,,3,,,,1,,,,,
Gypsy Circus,,,,,,,,,,,,4,,20,26,,20
Hard Way Cider Co.,,,,,,,,,,,,,,1,,,
Hardscrabble Cider,,,,,,,,,,,4,,,,,,
Harpers Ferry Brewing,,,,,,,,,,,,,,,,,3
Hawk Knob,,,,,,,,,,,2,3,6,4,2,,
Haykin Family Cider,,,,,,,,,,,,14,16,20,19,20,20
Hazlitt 1852 Cider Crafters,,,,,,,,,,,2,3,3,4,4,3,4
Headwater Cider,,,,,,,,,,1,1,1,1,,3,,
Heartland Ciderworks,,,,,,,,,,,,,,,,,1
Heartwood Farm & Cidery,,,,,,,,,,,,3,3,3,,,
Heeman's,,,,,,,,,,,,,,,7,4,2
Heirloom Hill Cider Company,,,,,,,,,,,,,,,,,2
Henney's Cider,,,,,2,,,,,,,,,,,,
Hideout Brewing Company,,,,,1,,,,,,,,,,,,
High Hope Cider,,,,,,,,,,,,,,,3,,
Himachal,,,,,,,,,,,1,1,,,,,
Hogan's Cider,,,,,,3,3,3,3,3,3,4,4,3,,,
Hoity Toity Cellars,,,,,,,1,2,1,1,,,,,,,
Holmberg Orchards & Winery,,,3,,,,,,,,,,,,,,
Hudson Valley Farmhouse Cider,,,,,,,,,,,,,4,,,,
Humboldt Cider Company,,,,,,,,,,3,5,2,,,,,
Idol Cider House,,,,,,,,,,,,,,,,4,2
Incline Cider Company,,,,,,,,,,,,3,3,5,,,8
Independent Perry,,,,,,,,,,,,,,3,,,
Institut Agricole Régional,,,,,,,,,,,,,,,,1,1
Ironbark Ciderworks,,,,,,,,,,,,,,,,,5
Ironwood Hard Cider,,,,,,,,,,,1,1,2,4,,,
Island Folk Cider House,,,,,,,,,,,,,,,,4,3
Island Orchard Cider,,,,,,,,,,8,6,2,,8,5,9,4
J. Trees Cellars,,,,,,1,,,,,,,,,,,
Jaanihanso Cider,,,,,,,,,,,,5,2,,,,
James Creek Cider House,,,,,,,,,,,2,4,5,4,,,4
Jefferson County Ciderworks,,,,,,,,,,,,5,,6,,6,10
JK's Farmhouse Ciders,,,,,,,,,1,,,1,1,,,,
Journey North Cider Co.,,,,,,,,,,,,,,,10,7,
Junction Orchard & Cidery,,,,,,,,,,,,,,,,4,4
Kaneb Orchards,,,,,,,,,,3,3,1,2,,,,
Kekionga Cider Company,,,,,,,,,,,,,2,4,,,
Kennebec Cider Company,,,,,,1,,,,,,,,,,,
Keuka Craft Ciders,,,,,,,,,,,,,2,3,,,
Kikusui Brewing Co.,,,,,,,,,,,,,,,,1,
King Orchards,,,,,,,,,,,,,,,,,3
Kings Highway Fine Cider,,,,,,,,,,,2,17,20,,,,
Kings Mill Cider,,,,,,,,,,,,,1,4,3,,
Kingston Creek Cider,,,,,,,,,,,,,,1,2,,
Knightberg,,,,,,,,,,,,,,2,,,
Koval Distillery,,,,,,1,,,,,,,,,,,
Kristof Farms,,,,,,,,,,,,,,,,2,3
Kuhnhenn Brewing Co.,,,,,,,,,,,,,,,,,1
Kuura Cider,,,,,,,,,,,,1,,,,,
KW Craft Cider,,,,,,,,,,1,4,3,4,4,6,4,
Lassen Traditional Cider,,,,,,,,,,,,2,2,2,2,1,2
Le Flanc Nord Verger & Cidrerie,,,,,,,,,,1,2,4,2,,,,
Le Père Jules,,,,,,,,,6,,4,3,,,,,
Leaky Barrel Cider Company,,,,,,,,,,,,2,,,,,
Left Field Cider Co.,,,,,,,,1,,1,3,,,,,,
Left Foot Charley,,,,,,2,2,2,,3,4,4,5,3,7,,4
Lehman's Orchards,,,,,1,3,,,,,,,,,,,
Lekker Cider,,,,,,,,,,,,,,3,1,,
Les Vergers de Kermao,,,,,,,,,,,,1,1,1,,,
Liberty Ciderworks,,,,,,,,2,3,5,3,4,4,4,3,,
Lindner's Cider,,,,,,,,,,,,,,,7,,
Liquid Alchemy Ciderworks,,,,,,,,,,,,,3,2,,,4
Little Apple Cidery,,,,,,,,,,,,,,,2,2,2
Little Pomona,,,,,,,,,,,,,2,,,,
Llagares Valverán,,,,,,,,2,,,,,,,1,,1
Loch Mór Cider Co.,,,,,,,,,,,,,,,5,4,8
Locust Cider,,,,,,,,,,,5,6,5,6,4,5,4
Loïc Raison,,,,,,,,,,,,,3,,,,
Long Island Meadery,1,1,,,,,,,,,,,,,,,
Long View Ciderhouse,,,,,,,,,,,,,,,,,1
Longueville House,,,,,,,,,,1,,,,,,,
Lost Boy Cider,,,,,,,,,,,,,,,14,4,5
Lost Giants Cider Company,,,,,,,,,,,,,,4,4,,
Lost Valley Cider Co.,,,,,,,,,,,,,,2,,,
Lucia Maria Melchiori,,,,,,,,,,,,,,,,,2
LUK Cider and Spirit,,,,,,,,2,,,,,,,,,
Maeloc,,,,,,,,,,4,,,,,,,
Magis Cider Co.,,,,,,,,,,,,,,,1,2,1
Maiden Rock Winery & Cidery,,,,,,2,1,1,1,3,,2,1,,,,1
Maison Hérout,,,,,,,,,,,,,,,,,2
Malicious Spirits,,,,,,,,,,,,,1,,,,
Malner,,,,,,,,,,,,,,,,,1
Manoff Market Cidery,,,,,,,,,,,,,,,,,3
Manoir de Grandouet,,,,,,,,,,,2,,,1,,,
Mawby Vineyards,,,,,,,,,,,1,4,3,,,,
McClure's Orchard & Winery,,,,,,3,4,6,6,,,,3,5,,,6
Mcintosh Cellars,,3,2,3,1,3,2,3,,1,,,,2,,,
McRitchie Winery & Ciderworks,,,,,2,1,,1,,,,,,,,,
Meckley's Cidery,,,,,,,,8,4,4,3,,,,,,
Melo Moon Cider,,,,,,,,,,,,,,,,1,
Meraki Cider,,,,,,,,,,,,4,,,,,
Meriwether Cider Company,,,,,,,,,,,,,6,8,4,4,3
Mershon's Artisan Cider,,,,,,,,,,,,,,,,,2
Metal House Cider,,,,,,,,,,,,,2,,,,
Methow Valley Ciderhouse,,,,,,,,2,3,2,,2,2,,,,
Michigan Wine Company,,,,,,,,,,,,,,2,3,3,4
Milk & Honey Ciders,,,,,,,,,,,4,,,,,,
Mill Bridge Winery,,,,,,,,,,,,2,,,,,
Millionaires' Row Cider Co.,,,,,,,,,,,,,,,,5,
Minneapolis Cider Company,,,,,,,,,,,1,,,,,2,6
Montana CiderWorks,,,,,,,1,2,1,3,3,3,4,,,,1
Mori-yama-en,,,,,,,,,,,,,,,,1,
Moss Vineyards,,,,,,,,,,,,,,,,1,
Mount Diablo Cider Company,,,,,,,,,,,,,,,,,2
Mountain West Cider Company,,,,,,,,,,,2,,2,,,,11
Muse Orchard,,,,,,,,,,,,,,,2,,2
Napton Cidery,,,,,,,,,,,,,,3,,,
Nashi Orchards,,,,,,,,,,,4,1,,4,,5,
Neige,,,,,,,,,,1,3,,,,,,
New Holland Brewing,,,2,,,,,,,,,,,,,,
New Leaf Cider Co.,,,,,,,,,,,,,1,,1,,
New Salem Cider,,,,,,,,,,,,,,,4,,
Newton Court Cider,,,,,,,,,,,2,1,,,,,
Niagara Cider Company,,,,,,,,,,,,,,3,5,5,
Nine Pin Cider,,,,,,,,,1,2,,,,,,,
Noble Cider,,,,,,,,,,,3,4,4,4,,3,3
Nomad Cider,,,,,,,,,,,,,5,,,,
Nomad Cidery,,,,,,,,,,,,2,4,,,,
North Shore Cider Company,,,,,,,,,,,,,1,2,,,
Northern Natural Winery,,,,,,,,3,3,1,3,1,,,,,
Northville Winery and Brewing Company,,,,1,3,3,2,5,4,7,5,2,5,8,8,6,6
Northwood Cider Co.,,,,,,,,,,,,,,,,,2
Northyards Cider Co.,,,,,,,,,,,,,,,,,3
Number 12 Cider,,,,,,,,,,,2,,,3,5,7,5
Odd Brothers Craft Cider,,,,,,,,,,,,,,5,,,
Offset Ciderworks,,,,,,,,,,,,,,,13,,1
OK Cider Co,,,,,,,,,,,,,,,,6,
Old Boys' Brewhouse,,,,,,1,1,,,,,,,,,,
Old Hill Cider,,,,,,,,,3,1,,,5,,,,
Oliver's Cider and Perry,,,,,4,3,2,2,1,5,3,,6,3,,,
Once Upon A Tree,,,,,,,,,,,,,,5,5,,
OR\WA Cider Collective,,,,,,,,,,,,,2,,,,
Ore Creek Craft Cider,,,,,,,,,,,,,,,,2,3
Original Sin Cider,,,,,1,,,2,,2,,,2,3,6,,5
Orpens Cider,,,,,,,,,1,1,,,,,,,
Overgrown Orchard,,,,,,,,,,,,,,3,,,
Painted Turtle Hard Cider,,,,,,,,,,,,4,,,1,,
Papa Moon Vineyards & Winery,,,,,,,,,,,,,,,4,7,4
Patriots' Heritage Cider,,,,,,,,,,,,2,5,5,1,,
Paynter's Cider,,,,,,,,,,,,,,2,,,
Peak Light Cider,,,,,,,,,,,,,,,,5,
Peat's Original Cider,,,,,,,,,,,,,4,,7,4,4
Pencil Hound Ciders,,,,,,,,,,,,,,,7,6,
Peninsula Cellars,,,,,,,,,,,,,,,4,5,
Phillips Orchards & Cider Mill,,,,,,,,,,,,,,7,3,6,5
Platform Beer Company,,,,,,,,,,,,2,,,1,,
Ploughman Cider,,,,,,,,,,,,,,5,,3,
Pommies Cider Co.,,,,,,,,1,2,3,4,6,4,,,,
Portland Cider Company,,,,,,,,2,3,2,4,3,,,3,6,7
Posterity Ciderworks,,,,,,,,,,,,,,,3,4,
Potter's Craft Cider,,,,,,,,,,,,,,3,6,,
Presque Isle Farm Cider,,,,,,,,,,,,,,,6,6,3
Prima Cider,,,,,,,,,,,,,,2,,,
Prospect Ciderworks,,,,,,,,,,,,,3,,,,
Prototype Hard Cider,,,,,,,,,,,,1,1,1,,,
Puddicombe Estate Farm,,,,,,,1,,,2,,2,3,5,,,
Puget Sound Cider Company,,,,,,,,,,,,,,7,23,12,8
Pux Cider,,,,,,,,,,,1,5,4,3,3,8,4
Ragged and Right Cider Project,,,,,,,,,,,,,,,7,5,
Ragged Hill Cider,,,,,,,,,,,,,2,3,4,3,3
Raging Cider & Mead,,,,,,,,,,,,,3,3,,,
Rebel Apple,,,,,,,,,,,,,,,,,3
Rebel Seed Cidery,,,,,,,,,,,1,,,,,,
Red Clay Ciderworks,,,,,,,,,,,,,7,,,,
Red Door Brewing Company,,,,,,,,,,,,,,1,,,
Red Island Cider,,,,,,,,,,,,,,,3,,3
Red Rover Craft Cider,,,,,,,,,,,4,5,2,1,,,
