Medalist,SUM of 🏆 BIC,SUM of 🥇 Gold,SUM of 🥈 Silver,SUM of 🥉 Bronze,SUM of Total
Cidrerie McKeown,0,0,4,3,7
Cidrerie Milton,9,8,25,20,62
Cidrerie St-Nicolas,0,0,1,2,3
Cidrerie Verger Bilodeau,2,2,17,8,29
Cidrerie Verger Hemmingford,0,0,3,1,4
Cidres Nicol,0,0,1,1,2
Cigar City Cider & Mead,0,0,1,1,2
Citizen Cider,2,0,12,9,23
City Orchard,1,4,24,8,37
Clarksburg Cider,0,0,3,0,3
Clear Fork Cider,1,1,1,5,8
Clos de la Fontaine Hugo,0,0,2,0,2
Coastliner Craft Cider,0,1,2,2,5
Coffin Ridge Boutique Winery,2,0,7,1,10
Cold Hand Winery,1,0,0,1,2
Cold Hollow Cider Mill,0,0,1,1,2
Collective Arts Brewing,0,1,7,4,12
Colorado Cider Company,4,5,18,14,41
Common Cider Company,0,0,5,7,12
Copper Crow Distillery,0,0,1,0,1
Corey Lake Orchards,1,0,3,3,7
Cornish Cider Company,1,0,2,2,5
Coteau Rougemont,0,2,4,4,10
Cotswold Cider Company,0,0,0,1,1
Country Mill Winery,0,0,0,3,3
County Cider Company,1,0,8,4,13
Courthouse Creek Cider,0,0,1,1,2
Covered Bridge Brewing,0,1,1,0,2
Craigies Cider,0,0,0,1,1
Creekside Estate Winery,0,0,1,0,1
Crimson Cider Company,0,0,1,1,2
Crispin Cider Company,2,4,23,35,64
Critz Farms,0,1,4,2,7
Crossmount Cider Company,0,0,2,1,3
Dan Kelly's Cider,0,0,0,1,1
Dancing Cider Co.,0,1,3,4,8
Dead Horse Cider Co.,1,1,0,1,3
Deep Roots Hard Cider,1,1,11,10,23
Descendant Cider Company,0,1,7,3,11
Devoto Orchards Cider,0,1,3,2,6
Dickens Cider,0,0,1,0,1
Diner Brew Co.,0,1,2,2,5
Diskin Cider,0,1,4,4,9
Distillery Lane Ciderworks,0,2,7,15,24
Docendo Discitur,0,0,2,0,2
Domaine de Kervéguen,0,1,0,1,2
Domaine de Normandie,0,0,1,0,1
Domaine des 5 D,1,0,1,0,2
Domaine des Côtes d'Ardoise,0,0,2,0,2
Domaine Duclos Fougeray,0,0,1,2,3
Domaine Pinnacle,0,0,1,0,1
Dominion Cider Co.,0,0,1,1,2
Door Peninsula Winery,1,3,5,5,14
Douglas Valley,0,0,0,4,4
Downeast Cider House,0,0,0,1,1
Dragon's Head Cider,3,0,7,8,18
Duluth Cider,1,1,3,5,10
Dunkertons Cider and Perry,4,0,3,5,12
Duntroon Cyder House,0,0,0,1,1
E&J Gallo Winery,0,0,3,0,3
Eaglemount Wine & Cider,0,0,1,2,3
East End Brewing Company,0,0,0,1,1
Eden Ciders,10,12,30,14,66
EdenVale Winery,1,0,1,0,2
Ela Cider Co.,0,0,3,1,4
Elk Horn Brewery & Ciderhouse,2,0,3,9,14
Embark Craft Ciderworks,0,4,13,14,31
Empire Cider Company,0,0,4,3,7
Empyrical Orchards & Cider,4,7,15,2,28
Epona,0,0,1,0,1
Eris Brewery & Cider House,1,1,18,12,32
Ernest Cider,1,2,22,10,35
EsoTerra Ciderworks,2,1,9,6,18
Ethic Ciders,0,0,0,2,2
Etta Place Cider,0,1,5,5,11
Eva Group,0,0,0,1,1
F.H. Prager,0,0,0,1,1
Fabbioli Cellars,0,0,3,1,4
Falconer Vineyards,0,0,4,2,6
Farm & Cidery Kaneshige,0,0,0,1,1
Farm Club,0,0,0,1,1
Farmgate Cider,0,0,3,0,3
Farmhaus Cider Co.,0,8,41,21,70
Farmstead Cider,0,0,0,2,2
Fenceline Cider,0,1,9,12,22
Fenn Valley Vineyards,0,2,2,2,6
Ferme Black Creek,0,0,1,2,3
Ferme de la Sapinière,0,0,5,8,13
Ferme de Romilly,4,1,0,1,6
Ferro Farms,0,0,1,1,2
Ficklewood Ciderworks,0,1,11,6,18
FieldBird Cider,0,0,1,1,2
Fieldstone Hard Cider Co.,0,2,5,2,9
Finnriver Farm and Cidery,4,5,15,16,40
Five Maidens Cider Company,0,1,4,3,8
Flat Rock Cider Company,0,0,2,8,10
Flatbed Cider Co.,0,0,1,1,2
Flint City Hard Cider Co.,0,0,2,5,7
Floribunda,1,0,1,3,5
Foggy Ridge Cider,0,0,2,0,2
Forbidden Cider Co.,0,1,2,1,4
Forgotten Ciders,0,0,7,11,18
Forgotten Fire Winery,0,0,1,2,3
Fort Point Beer Company,0,0,1,1,2
Forward Ferments,0,0,0,2,2
Fourth Coast Ciderworks,0,0,1,0,1
Foxcraft Hard Cider,0,0,0,4,4
Fraser Valley Cider Company,1,0,1,1,3
Frecon Farms,0,0,1,6,7
Freewater Cider and Wine Company,0,1,2,5,8
French Road Cellars,0,0,0,1,1
Friendly Noise,0,0,0,1,1
Garage D'or Ciders,0,0,1,0,1
Gary Awdey,0,2,1,4,7
Geo Cider,0,0,1,0,1
Glacial Till Vineyard & Winery,0,1,14,7,22
Gnarly Grove Hard Cider,0,0,0,2,2
Gnarly Pippin Cider House,0,2,0,1,3
Goat Rock Cider Company,0,0,2,1,3
Godfrey Run Cider Mill,0,0,2,1,3
Golden State Cider,0,0,3,1,4
Good Bones Ciderhouse,0,0,1,0,1
GoodRoad Ciderworks,0,1,3,6,10
Gowan's Heirloom Ciders,7,1,17,5,30
Grand Illusion Hard Cider,0,0,0,4,4
Gravity Vineyards and Winery,0,0,1,3,4
Great Lakes Farms,0,0,1,0,1
Green Bench Brewing Co.,0,1,12,5,18
Green Bird Cellars,0,1,1,4,6
Greenwood Cider Company,0,0,1,2,3
Grey & Gold Cider,2,3,6,9,20
Griffin Cider Works,0,0,1,3,4
Gypsy Circus,1,5,35,29,70
Hard Way Cider Co.,0,0,0,1,1
Hardscrabble Cider,0,0,1,3,4
Harpers Ferry Brewing,0,0,2,1,3
Hawk Knob,0,1,8,8,17
Haykin Family Cider,9,14,64,22,109
Hazlitt 1852 Vineyards,0,1,12,10,23
Headwater Cider,0,1,3,3,7
Heartland Ciderworks,0,0,0,1,1
Heartwood Farm & Cidery,0,0,1,8,9
Heeman's,1,2,8,2,13
Heirloom Hill Cider Company,0,0,1,1,2
Henney's Cider,0,0,1,1,2
Hideout Brewing Company,0,0,0,1,1
High Hope Cider,0,0,1,2,3
Himachal,0,0,0,2,2
Hogan's Cider,5,4,13,7,29
Hoity Toity Cellars,0,2,0,3,5
Holmberg Orchards & Winery,0,0,1,2,3
Hudson Valley Farmhouse Cider,0,0,2,2,4
Humboldt Cider Company,0,1,3,6,10
Idol Cider House,1,0,4,1,6
Incline Cider Company,1,2,11,5,19
Independent Perry,0,0,1,2,3
Institut Agricole Régional,0,0,2,0,2
Ironbark Ciderworks,0,0,4,1,5
Ironwood Hard Cider,0,1,2,5,8
Island Folk Cider House,0,0,6,1,7
Island Orchard Cider,1,3,23,15,42
J. Trees Cellars,0,0,1,0,1
Jaanihanso Cider,2,0,3,2,7
James Creek Cider House,1,0,8,10,19
Jefferson County Ciderworks,3,2,14,8,27
JK's Farmhouse Ciders,0,0,1,2,3
Journey North Cider Co.,0,1,10,6,17
Junction Orchard & Cidery,0,0,4,4,8
Kaneb Orchards,0,0,4,5,9
Kekionga Craft Company,0,0,2,4,6
Kennebec Cider Company,0,0,1,0,1
Keuka Craft Ciders,0,0,4,1,5
Kikusui Brewing Co.,0,1,0,0,1
King Orchards,0,1,1,1,3
Kings Highway Fine Cider,0,2,19,18,39
Kings Mill Cider,0,0,5,3,8
Kingston Creek Cider,0,0,3,0,3
Knightberg,0,0,2,0,2
Koval Distillery,0,0,1,0,1
Kristof Farms,1,1,2,1,5
Kuhnhenn Brewing Co.,0,1,0,0,1
KW Craft Cider,0,1,19,6,26
Lassen Traditional Cider,0,1,3,7,11
Le Flanc Nord Verger & Cidrerie,0,1,4,4,9
Le Père Jules,3,2,7,1,13
Leaky Barrel Cider Company,0,0,0,2,2
Left Field Cider Co.,0,0,3,2,5
Left Foot Charley,1,3,21,11,36
Lehman's Orchards,0,0,3,1,4
Lekker Cider,0,1,1,2,4
Les Vergers de Kermao,1,0,2,0,3
Liberty Ciderworks,1,3,11,13,28
Lindner's Cider,0,0,4,3,7
Liquid Alchemy Beverages,0,1,4,4,9
Liquid Art Winery,0,0,3,3,6
Little Apple Cidery,0,1,3,2,6
Little Pomona,0,0,0,2,2
Llagares Valverán,0,0,3,1,4
Loch Mór Cider Co.,4,3,9,1,17
Locust Cider,0,0,14,21,35
Loïc Raison,0,1,1,1,3
Long Island Meadery,0,1,0,1,2
Long View Ciderhouse,0,0,0,1,1
Longueville House,0,0,0,1,1
Lost Boy Cider,0,1,15,7,23
Lost Giants Cider Company,1,0,3,4,8
Lost Valley Cider Co.,0,0,1,1,2
Lucia Maria Melchiori,0,0,1,1,2
LUK Cider and Spirit,0,1,1,0,2
Maeloc,0,0,1,3,4
Maiden Rock Winery & Cidery,2,1,6,3,12
Maison Hérout,0,0,2,0,2
Malicious Spirits,0,0,0,1,1
Malner,0,1,0,0,1
Manoff Market Gardens & Cidery,0,1,1,1,3
Manoir de Grandouet,0,0,2,1,3
Market Garden Brewery,0,0,3,1,4
Mawby Vineyards,0,1,3,4,8
McClure's Orchard & Winery,0,4,10,19,33
Mcintosh Cellars,1,2,7,10,20
McRitchie Winery & Ciderworks,0,0,2,2,4
Meckley's Cidery,0,0,4,15,19
Melo Moon Cider,0,0,1,0,1
Meraki Cider,0,0,0,4,4
Meriwether Cider Company,4,2,14,5,25
Mershon's Artisan Cider,0,1,0,1,2
Metal House Cider,0,0,1,1,2
Methow Valley Ciderhouse,1,1,4,5,11
Michigan Wine Company,1,2,7,2,12
Milk & Honey Ciders,0,0,2,2,4
Mill Bridge Winery,0,0,1,1,2
Millionaires' Row Cider Co.,1,0,4,0,5
Minneapolis Cider Company,0,0,7,2,9
Mississippi Ale House,0,0,2,5,7
Montana CiderWorks,1,5,7,5,18
Mori-yama-en,0,0,0,1,1
Moss Vineyards,0,0,1,0,1
Mount Diablo Cider Company,0,0,2,0,2
Mountain West Cider Company,1,0,8,6,15
Muse Orchard,0,0,3,1,4
Napton Cidery,0,0,0,3,3
Nashi Orchards,1,2,6,5,14
New Holland Brewing,0,0,1,1,2
New Leaf Cider Co.,0,0,1,1,2
New Salem Cider,0,0,2,2,4
Newton Court Cider,0,0,1,2,3
Niagara Cider Company,0,1,10,2,13
Nine Pin Cider,0,0,1,2,3
No Boats On Sunday,0,0,0,1,1
Noble Cider,1,3,9,8,21
Nomad Cider,0,0,1,4,5
Nomad Cidery,0,0,2,4,6
North Shore Cider Company,0,0,2,1,3
Northern Natural Cider House & Winery,0,2,3,6,11
Northville Winery and Brewing Company,4,4,28,29,65
Northwood Cider Co.,0,0,0,2,2
Northyards Cider Co.,0,0,3,0,3
Number 12 Cider,0,3,14,5,22
Odd Brothers Craft Cider,0,0,2,3,5
Offset Ciderworks,0,1,9,4,14
OK Cider Co,0,0,3,3,6
Old Boys’ Brewhouse,0,1,0,1,2
Old Hill Cider,0,1,1,7,9
Oliver's Cider and Perry,2,3,13,11,29
Once Upon A Tree,1,1,5,3,10
OR\WA Cider Collective,0,0,2,0,2
Ore Creek Craft Cider,0,0,1,4,5
Original Sin Cider,0,4,13,4,21
Orpens Cider,0,0,0,2,2
Overgrown Orchard,0,0,2,1,3
Owl Creek Vineyard,0,0,1,2,3
Painted Turtle Hard Cider,0,0,2,3,5
Papa Moon Vineyards & Winery,1,2,5,7,15
Patriots' Heritage Cider,0,0,2,11,13
Paynter's Cider,0,0,2,0,2
Peak Light Cider,0,0,5,0,5
Peat's Original Cider,2,2,9,6,19
Pencil Hound Ciders,0,2,7,4,13
Peninsula Cellars,0,0,6,3,9
Phillips Orchards & Cider Mill,0,1,14,6,21
Platform Beer Company,0,0,0,3,3
Ploughman Cider,0,0,4,4,8
Pommies Cider Co.,0,1,7,12,20
Portland Cider Company,1,3,14,12,30
Posterity Ciderworks,0,0,5,2,7
Potter's Craft Cider,0,2,6,1,9
Presque Isle Farm Cider,1,2,9,3,15
Prima Cider,0,1,1,0,2
Prospect Ciderworks,0,0,0,3,3
Prototype Hard Cider,0,0,2,1,3
Puddicombe Estate Farm,0,0,3,10,13
Puget Sound Cider Company,0,10,30,10,50
Pux Cider,1,3,13,11,28
Ragged and Right Cider Project,1,1,7,3,12
Ragged Hill Cider,1,3,2,9,15
Raging Cider & Mead,0,1,1,4,6
Raven's Moon Craft Cider,0,1,32,16,49
Rebel Apple,0,3,0,0,3
Rebel Seed Cidery,0,0,0,1,1
Red Clay Ciderworks,0,0,2,5,7
Red Door Brewing Company,0,0,0,1,1
Red Island Cider,1,1,2,2,6
Red Rover Craft Cider,2,1,1,8,12
Red Top Winery,0,0,0,2,2
Redbyrd Orchard Cider,0,0,3,3,6
Reinhart's Cider,0,0,1,0,1
Renaissance Orchards,2,1,2,2,7
Restoration Cider,0,0,2,1,3
Resurgence Brewing Co.,2,0,21,18,41
Revel Cider Company,0,0,2,5,7
Reverend Nat's Hard Cider,0,2,5,8,15
Rhinegeist Brewery,0,1,6,3,10
Rice Lake Hard Cider,0,0,1,1,2
Ricker Hill,0,1,6,3,10
Rider Ranch,0,0,1,0,1
Ridge Cider Co.,0,0,6,6,12
Right Bee Cider,0,0,5,3,8
Riley's Cidery,0,0,1,0,1
Riverhead Ciderhouse,0,1,4,1,6
Robinette Cellars,0,1,13,23,37
Rock N Wool Winery,0,0,1,0,1
Rogue Ales & Spirits,0,0,1,0,1
Rootstock Ciderworks,2,3,19,8,32
Ross-on-Wye Cider and Perry,0,0,1,2,3
Rossbach Cider,0,0,2,2,4
Runcible Cider,0,0,4,7,11
Rushford Meadery & Winery,0,1,1,2,4
Russell Orchards,0,0,2,2,4
S. Martinelli & Co.,0,0,2,0,2
Sage Bird Ciderworks,1,4,21,4,30
Salt Creek Cider House,0,0,3,1,4
Salt Spring Wild Cider,5,4,30,4,43
Sanctuary Spirits,0,0,0,1,1
Santa Cruz Cider Co.,0,0,6,2,8
Santa Fe Cider Works,0,0,0,1,1
Santa Sidra Hard Cider,0,0,4,1,5
Sapsucker Farms Yellow Belly Cidery,0,3,13,13,29
Saro Cider,0,0,0,4,4
Scenic Road Cider Co.,2,1,10,1,14
Schilling Cider,0,0,1,2,3
Sea Cider Farm & Ciderhouse,1,8,27,22,58
Seattle Cider Company,9,14,62,44,129
Seek-No-Further Cidery,0,1,2,0,3
Seminary Hill Orchard & Cidery,0,1,6,2,9
Serpentine Cider,0,0,3,5,8
Seven Seeds Seidr,0,0,1,0,1
Sheppy's Cider,0,0,3,2,5
Shield Cider,0,0,1,0,1
Shiny Apple Cider,0,1,8,6,15
ShipBuilders Cider,0,0,6,5,11
Shoal Hope Ciderworks,0,0,4,6,10
Shuswap Cider Co.,0,1,1,0,2
Sidewood Estate,3,1,5,3,12
Sidra Castañón,0,0,0,1,1
Sidra Cortina,0,0,1,0,1
Sidra El Gaitero,1,2,10,9,22
Sidra El Gobernador,0,0,2,0,2
Sidra Fanjul,2,0,4,1,7
Sidra Mayador,4,1,4,5,14
Sidra Menéndez,0,0,0,1,1
Sidra Riestra,1,0,8,1,10
Sidra Somarroza,0,0,2,6,8
Sidra Trabanco,2,2,8,8,20
Sidra Viuda de Angelón,0,2,5,3,10
Sidrería Irigoien Herrero,0,0,1,0,1
Sierra Cider,3,1,2,2,8
Sietsema Orchards,0,1,5,8,14
Silo Distillery,0,0,1,0,1
Slabtown Cider Co.,0,2,7,6,15
Slake Cider,1,5,10,8,24
Sly Clyde Ciderworks,0,0,4,5,9
Slyboro Ciderhouse,1,0,2,1,4
Small Acres Cyder,0,0,0,3,3
Snow Capped Cider,10,12,33,27,82
Snowdrift Cider Co.,4,5,17,12,38
SoCal CiderWorks,0,0,1,0,1
Sonoma Cider,0,0,7,10,17
Sourwood Cider,0,0,2,4,6
South City Ciderworks,0,1,2,2,5
Space Time Mead & Cider Works,0,0,4,8,12
Speciation Artisan Ales,0,0,1,1,2
Spicer's Winery,0,1,5,11,17
Spirit Tree Estate Cidery,0,2,7,9,18
Spoke + Spy Ciderworks,1,0,5,2,8
Spring Hill Cider Works,0,0,4,7,11
Spy Cider House and Distillery,0,0,1,2,3
Square Mile Cider,1,0,5,6,12
Squiggly Tree Cider,0,0,1,0,1
St. Ambrose Cellars,0,0,4,3,7
St. Julian Winery,0,0,2,4,6
St. Vrain Cidery,0,7,21,17,45
Star Cider,0,0,1,3,4
Starcut Ciders,4,4,22,24,54
Stem Ciders,3,4,33,21,61
Still River Winery,0,0,1,0,1
Stoic Cider,1,2,8,3,14
Stoked Cider,0,0,1,0,1
Stone Circle Cider,0,0,3,3,6
Stoney Ridge Winery,0,0,1,0,1
Stoneybrook Cider,0,1,1,1,3
Stormalong Cider,1,5,18,12,36
Stowe Cider,0,0,3,1,4
String Theory Cider,0,0,3,4,7
Subterranean Cider,0,1,0,1,2
Sulker's Cider,0,0,0,1,1
Sully's Cider,0,0,0,1,1
Summerland Heritage Cider Company,0,0,0,1,1
Sunken Paddle Ciderworks,0,0,5,0,5
Sunnycider,0,0,2,1,3
Sunrise Orchards,0,0,0,2,2
Sutliff Cider Company,0,0,1,1,2
Suttons Bay Ciders,2,0,9,10,21
Swift Cider,0,5,26,11,42
Swilled Dog Hard Cider,0,0,2,5,7
Sycamore Ranch Vineyard & Winery,0,0,3,6,9
Talbott's Cider Company,0,0,3,3,6
Talisman Farm Cidery,1,0,0,0,1
Tall Post Craft Cider,0,0,0,3,3
Tall Ship Craft Cider / Fjordfolk Mikrobryggeri,0,0,2,4,6
Tandem Ciders,5,8,49,19,81
Tapped Apple Cider & Winery,0,0,2,1,3
Teal Cider,0,1,10,10,21
Tempted Cider,0,1,1,1,3
Ten Towers Cider Co.,0,1,2,2,5
Tenmile Cider Co.,0,0,0,2,2
Texas Corners Brewing Company,0,0,4,1,5
Texas Keeper Cider,0,0,5,5,10
The BottleHouse Brewing Company,0,1,1,0,2
The Cider Farm,1,1,8,4,14
The Cider Mill Slane,0,0,0,1,1
The Great Canadian Cider Company,0,0,6,6,12
The Hills Cider Company,0,0,0,1,1
The Infinite Monkey Theorem,0,1,0,2,3
The New Frontier Cider Company,0,0,0,1,1
The Northman Beer & Cider Garden,0,0,0,2,2
The Old Mine Cider Company,0,0,0,2,2
Thistly Cross Cider,0,0,1,2,3
Thor's Hard Cider,3,5,17,11,36
Thornapple Brewing Company,0,2,8,12,22
Thornborough Cider,0,0,1,0,1
Thornbury Craft Co.,4,5,33,11,53
Threadbare Cider,2,4,27,27,60
Three Brothers Wineries & Estates,0,0,0,1,1
Three Thinkers Cider,0,0,2,1,3
Tideview Cider,1,0,7,5,13
Tieton Cider Works,3,2,31,25,61
Tilted Shed Ciderworks,0,0,1,1,2
Tin Hat Cider,0,0,1,0,1
Toboggan Brewing Co.,1,0,7,3,11
Tom's Foolery Distillery,0,0,1,1,2
Top of the Rock Ciders,0,0,1,2,3
Townline Ciderworks,0,2,14,6,22
Tractor Brewing Company,0,0,4,7,11
Treasury Cider at Fishkill Farms,0,0,4,9,13
Treehorn Cider,0,2,6,1,9
Troy Cider,0,0,1,1,2
Trubacheevka,0,0,0,1,1
Tulip Valley Vineyard & Orchard,1,4,5,4,14
Tumalo Cider,0,0,0,2,2
Turncoat Cidery,0,0,1,1,2
Twin Pines Orchards & Cider House,3,12,36,43,94
Twisted Hills Craft Cider,3,2,8,5,18
Two Blokes Cider,0,0,1,2,3
Two Broads Ciderworks,1,1,2,1,5
Two K Farms,1,4,11,8,24
Txopinondo,0,0,1,1,2
Ugly Apple,0,0,1,2,3
Uncle John's,19,28,91,73,211
Uncommon Cider Co.,0,1,6,4,11
Unibroue,0,0,0,1,1
Upper Left Apples,1,0,0,1,2
Upstream Cider,0,0,1,0,1
Urban Farm Fermentory,0,0,4,1,5
Urban Forage Winery & Cider House,0,0,4,2,6
Urban Tree Hard Cider,2,0,13,9,24
Val de Rance,0,2,0,0,2
Vala's Orchard Cider,1,4,7,9,21
Valley Cider Company,1,0,2,1,4
Vander Mill,2,10,47,34,93
Verger Belliveau Orchard,1,0,1,3,5
Vergers de Velours,1,0,1,0,2
Vermont Cider Company,7,8,30,43,88
Victoria Cider Co.,0,0,3,1,4
Vin 312,0,0,1,0,1
Vines & Rushes Winery,0,0,0,1,1
Vins Arista,0,0,1,0,1
Virtue Cider,1,5,38,24,68
Walkerville City Cidery,0,0,1,3,4
Wandering Aengus Ciderworks,1,10,17,10,38
Wards Cider,0,0,3,1,4
Warwick Valley Winery & Distillery,1,0,3,2,6
Waves Cider Co.,0,0,9,6,15
Weidmann & Groh,0,1,3,2,6
West Avenue Cider,3,6,20,15,44
West End Cider House,0,0,0,3,3
Westcott Bay Cider,2,3,15,12,32
Western Cider,0,0,2,6,8
Westons Cider,0,0,2,3,5
Westside CiderWerks,0,0,1,1,2
Westview Orchards & Winery,0,0,0,1,1
Whetstone CiderWorks,0,0,4,0,4
White Winter Winery,0,1,3,6,10
Whitewood Cider Co.,0,0,4,1,5
Wild Cider,0,0,1,7,8
Wild Hare Cider,0,0,1,5,6
Wild State Cider,0,0,9,4,13
Wildbranch Cider,2,0,0,1,3
WildCraft Cider Works,0,0,2,6,8
Wilding Orchards,0,0,1,3,4
Willamette Ale & Cider House,0,0,4,0,4
Williamson Mead and Brewing,0,1,2,3,6
Willie Smith's,0,0,2,0,2
Willow Oaks,0,1,1,4,6
Wilson's Orchard & Farm,0,1,11,4,16
Windfall Cider,0,0,1,1,2
Windfall Orchard,0,1,0,2,3
Windswept Orchard Cider,1,2,7,9,19
Windy Hill Orchard & Cidery,0,1,12,15,28
