COUNTA of Medalist,col1,Medal,col3,col4,col5,col6
Mount Diablo Cider Company Total,,,,2,,
Mountain West Cider Company Total,,1,,8,6,
Muse Orchard Total,,,,3,1,
Napton Cidery Total,,,,,3,
Nashi Orchards Total,,1,2,6,5,
New Holland Brewing Total,,,,1,1,
New Leaf Cider Co. Total,,,,1,1,
New Salem Cider Total,,,,2,2,
Newton Court Cider Total,,,,1,2,
Niagara Cider Company Total,,,1,10,2,
Nine Pin Cider Total,,,,1,2,
No Boats On Sunday Total,,,,,1,
Noble Cider Total,,1,3,9,8,
Nomad Cider Total,,,,1,4,
Nomad Cidery Total,,,,2,4,
North Shore Cider Company Total,,,,2,1,
Northern Natural Cider House & Winery Total,,,2,3,6,
Northville Winery and Brewing Company Total,,4,4,28,29,
Northwood Cider Co. Total,,,,,2,
Northyards Cider Co. Total,,,,3,,
Number 12 Cider Total,,,3,14,5,
Odd Brothers Craft Cider Total,,,,2,3,
Offset Ciderworks Total,,,1,9,4,
OK Cider Co Total,,,,3,3,
Old Boys’ Brewhouse Total,,,1,,1,
Old Hill Cider Total,,,1,1,7,
Oliver's Cider and Perry Total,,2,3,13,11,
Once Upon A Tree Total,,1,1,5,3,
OR\WA Cider Collective Total,,,,2,,
Ore Creek Craft Cider Total,,,,1,4,
Original Sin Cider Total,,,4,13,4,
Orpens Cider Total,,,,,2,
Overgrown Orchard Total,,,,2,1,
Owl Creek Vineyard Total,,,,1,2,
Painted Turtle Hard Cider Total,,,,2,3,
Papa Moon Vineyards & Winery Total,,1,2,5,7,
Patriots' Heritage Cider Total,,,,2,11,
Paynter's Cider Total,,,,2,,
Peak Light Cider Total,,,,5,,
Peat's Original Cider Total,,2,2,9,6,
Pencil Hound Ciders Total,,,2,7,4,
Peninsula Cellars Total,,,,6,3,
Phillips Orchards & Cider Mill Total,,,1,14,6,
Platform Beer Company Total,,,,,3,
Ploughman Cider Total,,,,4,4,
Pommies Cider Co. Total,,,1,7,12,
Portland Cider Company Total,,1,3,14,12,
Posterity Ciderworks Total,,,,5,2,
Potter's Craft Cider Total,,,2,6,1,
Presque Isle Farm Cider Total,,1,2,9,3,
Prima Cider Total,,,1,1,,
Prospect Ciderworks Total,,,,,3,
Prototype Hard Cider Total,,,,2,1,
Puddicombe Estate Farm Total,,,,3,10,
Puget Sound Cider Company Total,,,10,30,10,
Pux Cider Total,,1,3,13,11,
Ragged and Right Cider Project Total,,1,1,7,3,
Ragged Hill Cider Total,,1,3,2,9,
Raging Cider & Mead Total,,,1,1,4,
Raven's Moon Craft Cider Total,,,1,32,16,
Rebel Apple Total,,,3,,,
Rebel Seed Cidery Total,,,,,1,
Red Clay Ciderworks Total,,,,2,5,
Red Door Brewing Company Total,,,,,1,
Red Island Cider Total,,1,1,2,2,
Red Rover Craft Cider Total,,2,1,1,8,
Red Top Winery Total,,,,,2,
Redbyrd Orchard Cider Total,,,,3,3,
Reinhart's Cider Total,,,,1,,
Renaissance Orchards Total,,2,1,2,2,
Restoration Cider Total,,,,2,1,
Revel Cider Company Total,,,,2,5,
Reverend Nat's Hard Cider Total,,,2,5,8,
Rhinegeist Brewery Total,,,1,6,3,
Rice Lake Hard Cider Total,,,,1,1,
Ricker Hill Total,,,1,6,3,
Rider Ranch Total,,,,1,,
Ridge Cider Co. Total,,,,6,6,
Right Bee Cider Total,,,,5,3,
Riley's Cidery Total,,,,1,,
Riverhead Ciderhouse Total,,,1,4,1,
Robinette Cellars Total,,,1,13,23,
Rock N Wool Winery Total,,,,1,,
Rogue Ales & Spirits Total,,,,1,,
Rootstock Ciderworks Total,,2,3,19,8,
Ross-on-Wye Cider and Perry Total,,,,1,2,
Rossbach Cider Total,,,,2,2,
Runcible Cider Total,,,,4,7,
Rushford Meadery & Winery Total,,,1,1,2,
Russell Orchards Total,,,,2,2,
S. Martinelli & Co. Total,,,,2,,
Sage Bird Ciderworks Total,,1,4,21,4,
Salt Creek Cider House Total,,,,3,1,
Salt Spring Wild Cider Total,,5,4,30,4,
Sanctuary Spirits Total,,,,,1,
Santa Cruz Cider Co. Total,,,,6,2,
Santa Fe Cider Works Total,,,,,1,
Santa Sidra Hard Cider Total,,,,4,1,
Sapsucker Farms Yellow Belly Cidery Total,,,3,13,13,
Saro Cider Total,,,,,4,
Scenic Road Cider Co. Total,,2,1,10,1,
Schilling Cider Total,,,,1,2,
Sea Cider Farm & Ciderhouse Total,,1,8,27,22,
Seattle Cider Company Total,,9,14,62,44,
Seek-No-Further Cidery Total,,,1,2,,
Seminary Hill Orchard & Cidery Total,,,1,6,2,
Serpentine Cider Total,,,,3,5,
Seven Seeds Seidr Total,,,,1,,
Sheppy's Cider Total,,,,3,2,
Shield Cider Total,,,,1,,
Shiny Apple Cider Total,,,1,8,6,
ShipBuilders Cider Total,,,,6,5,
Shoal Hope Ciderworks Total,,,,4,6,
Shuswap Cider Co. Total,,,1,1,,
Sidewood Estate Total,,3,1,5,3,
Sidra Castañón Total,,,,,1,
Sidra Cortina Total,,,,1,,
Sidra El Gaitero Total,,1,2,10,9,
Sidra El Gobernador Total,,,,2,,
Sidra Fanjul Total,,2,,4,1,
Sidra Mayador Total,,4,1,4,5,
Sidra Menéndez Total,,,,,1,
Sidra Riestra Total,,1,,8,1,
Sidra Somarroza Total,,,,2,6,
Sidra Trabanco Total,,2,2,8,8,
Sidra Viuda de Angelón Total,,,2,5,3,
Sidrería Irigoien Herrero Total,,,,1,,
Sierra Cider Total,,3,1,2,2,
Sietsema Orchards Total,,,1,5,8,
Silo Distillery Total,,,,1,,
Slabtown Cider Co. Total,,,2,7,6,
Slake Cider Total,,1,5,10,8,
Sly Clyde Ciderworks Total,,,,4,5,
Slyboro Ciderhouse Total,,1,,2,1,
Small Acres Cyder Total,,,,,3,
Snow Capped Cider Total,,10,12,33,27,
Snowdrift Cider Co. Total,,4,5,17,12,
SoCal CiderWorks Total,,,,1,,
Sonoma Cider Total,,,,7,10,
Sourwood Cider Total,,,,2,4,
South City Ciderworks Total,,,1,2,2,
Space Time Mead & Cider Works Total,,,,4,8,
Speciation Artisan Ales Total,,,,1,1,
Spicer's Winery Total,,,1,5,11,
Spirit Tree Estate Cidery Total,,,2,7,9,
Spoke + Spy Ciderworks Total,,1,,5,2,
Spring Hill Cider Works Total,,,,4,7,
Spy Cider House and Distillery Total,,,,1,2,
Square Mile Cider Total,,1,,5,6,
Squiggly Tree Cider Total,,,,1,,
St. Ambrose Cellars Total,,,,4,3,
St. Julian Winery Total,,,,2,4,
St. Vrain Cidery Total,,,7,21,17,
Star Cider Total,,,,1,3,
Starcut Ciders Total,,4,4,22,24,
Stem Ciders Total,,3,4,33,21,
Still River Winery Total,,,,1,,
Stoic Cider Total,,1,2,8,3,
Stoked Cider Total,,,,1,,
Stone Circle Cider Total,,,,3,3,
Stoney Ridge Winery Total,,,,1,,
Stoneybrook Cider Total,,,1,1,1,
Stormalong Cider Total,,1,5,18,12,
Stowe Cider Total,,,,3,1,
String Theory Cider Total,,,,3,4,
Subterranean Cider Total,,,1,,1,
Sulker's Cider Total,,,,,1,
Sully's Cider Total,,,,,1,
Summerland Heritage Cider Company Total,,,,,1,
Sunken Paddle Ciderworks Total,,,,5,,
Sunnycider Total,,,,2,1,
Sunrise Orchards Total,,,,,2,
Sutliff Cider Company Total,,,,1,1,
Suttons Bay Ciders Total,,2,,9,10,
Swift Cider Total,,,5,26,11,
Swilled Dog Hard Cider Total,,,,2,5,
Sycamore Ranch Vineyard & Winery Total,,,,3,6,
Talbott's Cider Company Total,,,,3,3,
Talisman Farm Cidery Total,,1,,,,
Tall Post Craft Cider Total,,,,,3,
Tall Ship Craft Cider / Fjordfolk Mikrobryggeri Total,,,,2,4,
Tandem Ciders Total,,5,8,49,19,
Tapped Apple Cider & Winery Total,,,,2,1,
Teal Cider Total,,,1,10,10,
Tempted Cider Total,,,1,1,1,
Ten Towers Cider Co. Total,,,1,2,2,
Tenmile Cider Co. Total,,,,,2,
Texas Corners Brewing Company Total,,,,4,1,
Texas Keeper Cider Total,,,,5,5,
The BottleHouse Brewing Company Total,,,1,1,,
The Cider Farm Total,,1,1,8,4,
The Cider Mill Slane Total,,,,,1,
The Great Canadian Cider Company Total,,,,6,6,
The Hills Cider Company Total,,,,,1,
The Infinite Monkey Theorem Total,,,1,,2,
The New Frontier Cider Company Total,,,,,1,
The Northman Beer & Cider Garden Total,,,,,2,
The Old Mine Cider Company Total,,,,,2,
Thistly Cross Cider Total,,,,1,2,
Thor's Hard Cider Total,,3,5,17,11,
Thornapple Brewing Company Total,,,2,8,12,
Thornborough Cider Total,,,,1,,
Thornbury Craft Co. Total,,4,5,33,11,
Threadbare Cider Total,,2,4,27,27,
Three Brothers Wineries & Estates Total,,,,,1,
Three Thinkers Cider Total,,,,2,1,
Tideview Cider Total,,1,,7,5,
Tieton Cider Works Total,,3,2,31,25,
Tilted Shed Ciderworks Total,,,,1,1,
Tin Hat Cider Total,,,,1,,
Toboggan Brewing Co. Total,,1,,7,3,
Tom's Foolery Distillery Total,,,,1,1,
Top of the Rock Ciders Total,,,,1,2,
Townline Ciderworks Total,,,2,14,6,
Tractor Brewing Company Total,,,,4,7,
Treasury Cider at Fishkill Farms Total,,,,4,9,
Treehorn Cider Total,,,2,6,1,
Troy Cider Total,,,,1,1,
Trubacheevka Total,,,,,1,
Tulip Valley Vineyard & Orchard Total,,1,4,5,4,
Tumalo Cider Total,,,,,2,
Turncoat Cidery Total,,,,1,1,
Twin Pines Orchards & Cider House Total,,3,12,36,43,
Twisted Hills Craft Cider Total,,3,2,8,5,
Two Blokes Cider Total,,,,1,2,
Two Broads Ciderworks Total,,1,1,2,1,
Two K Farms Total,,1,4,11,8,
Txopinondo Total,,,,1,1,
Ugly Apple Total,,,,1,2,
Uncle John's Total,,19,28,91,73,1
Uncommon Cider Co. Total,,,1,6,4,
Unibroue Total,,,,,1,
Upper Left Apples Total,,1,,,1,
Upstream Cider Total,,,,1,,
Urban Farm Fermentory Total,,,,4,1,
Urban Forage Winery & Cider House Total,,,,4,2,
Urban Tree Hard Cider Total,,2,,13,9,
Val de Rance Total,,,2,,,
Vala's Orchard Cider Total,,1,4,7,9,
Valley Cider Company Total,,1,,2,1,
Vander Mill Total,,2,10,47,34,
Verger Belliveau Orchard Total,,1,,1,3,
Vergers de Velours Total,,1,,1,,
Vermont Cider Company Total,,7,8,30,43,1
Victoria Cider Co. Total,,,,3,1,
Vin 312 Total,,,,1,,
Vines & Rushes Winery Total,,,,,1,
Vins Arista Total,,,,1,,
Virtue Cider Total,,1,5,38,24,
Walkerville City Cidery Total,,,,1,3,
Wandering Aengus Ciderworks Total,,1,10,17,10,1
Wards Cider Total,,,,3,1,
Warwick Valley Winery & Distillery Total,,1,,3,2,
Waves Cider Co. Total,,,,9,6,
Weidmann & Groh Total,,,1,3,2,
West Avenue Cider Total,,3,6,20,15,
West End Cider House Total,,,,,3,
Westcott Bay Cider Total,,2,3,15,12,
Western Cider Total,,,,2,6,
Westons Cider Total,,,,2,3,
Westside CiderWerks Total,,,,1,1,
Westview Orchards & Winery Total,,,,,1,
Whetstone CiderWorks Total,,,,4,,
White Winter Winery Total,,,1,3,6,
Whitewood Cider Co. Total,,,,4,1,
Wild Cider Total,,,,1,7,
Wild Hare Cider Total,,,,1,5,
Wild State Cider Total,,,,9,4,
Wildbranch Cider Total,,2,,,1,
