Year,Medal,Entrant,Entry,Style,Place
2023,🥇 GOLD,2 Towns Ciderhouse,Bleuveré,Fortified Cider,
2023,🥇 GOLD,2 Towns Ciderhouse,BrightCider,Modern Cider - Dry,
2023,🥇 GOLD,2 Towns Ciderhouse,Made Marion,Fruit Cider,
2023,🥇 GOLD,2 Towns Ciderhouse,Strawberade,Fruit Cider,
2023,🥈 SILVER,2 Towns Ciderhouse,10th Anniversary,Heritage Cider - Sweet,
2023,🥈 SILVER,2 Towns Ciderhouse,12th Anniversary,Heritage Cider - Sweet,
2023,🥈 SILVER,2 Towns Ciderhouse,Blueberry Cosmic Crisp,Fruit Cider,
2023,🥈 SILVER,2 Towns Ciderhouse,"Oaked Apricot, Nectarine & Honey Cellar Series",Wood Aged Specialty Cider,
2023,🥈 SILVER,2 Towns Ciderhouse,"Oaked Prickly Pear, Lime & Agave Cellar Series",Wood Aged Specialty Cider,
2023,🥈 SILVER,2 Towns Ciderhouse,Pacific Pineapple,Fruit Cider,
2023,🥈 SILVER,2 Towns Ciderhouse,Pristine Peach,Fruit Cider,
2023,🥈 SILVER,2 Towns Ciderhouse,Ruby Revelry,Specialty Cider and Perry,
2023,🥈 SILVER,2 Towns Ciderhouse,Scarlet Rush,Fruit Cider,
2023,🥈 SILVER,2 Towns Ciderhouse,The Bad Apple,Wood Aged Specialty Cider,
2023,🥈 SILVER,2 Towns Ciderhouse,Tropical Cosmic Crisp,Specialty Cider and Perry,
2023,🥉 BRONZE,2 Towns Ciderhouse,Hollow Jack,Specialty Cider and Perry,
2023,🥉 BRONZE,2 Towns Ciderhouse,Mac Dry,Modern Cider - Dry,
2023,🥉 BRONZE,2 Towns Ciderhouse,Original Cosmic Crisp,Modern Cider - Sweet,
2023,🥉 BRONZE,2 Towns Ciderhouse,Plum As You Are,Specialty Cider and Perry,
2023,🥉 BRONZE,2 Towns Ciderhouse,Raspberry Cosmic Crisp,Fruit Cider,
2023,🥉 BRONZE,2 Towns Ciderhouse,The Baddie,Botanical Cider,
2022,🥇 GOLD,2 Towns Ciderhouse,Bleuveré,Fortified Cider,
2022,🥇 GOLD,2 Towns Ciderhouse,Cherry Sublime,Fruit Cider,
2022,🥇 GOLD,2 Towns Ciderhouse,Cosmic Crisp,Modern Cider - Sweet,
2022,🥇 GOLD,2 Towns Ciderhouse,McIntosh Dry,Modern Cider - Dry,
2022,🥇 GOLD,2 Towns Ciderhouse,Pacific Pineapple,Fruit Cider,
2022,🥈 SILVER,2 Towns Ciderhouse,Blueberry Cosmic Crisp,Fruit Cider,
2022,🥈 SILVER,2 Towns Ciderhouse,BrightCider,Modern Cider - Dry,
2022,🥈 SILVER,2 Towns Ciderhouse,Dragon's Day Off,Fruit Cider,
2022,🥈 SILVER,2 Towns Ciderhouse,Made Marion,Fruit Cider,
2022,🥈 SILVER,2 Towns Ciderhouse,Tropical Cosmic Crisp,Fruit Cider,
2022,🥈 SILVER,2 Towns Ciderhouse,Velvet Crush,Fruit Cider,
2021,🥈 SILVER,2 Towns Ciderhouse,11th Anniversary,Modern Cider - Dry,
2021,🥈 SILVER,2 Towns Ciderhouse,BrightCider,Modern Cider - Dry,
2021,🥈 SILVER,2 Towns Ciderhouse,Cosmic Crisp,Modern Cider - Sweet,
2021,🥈 SILVER,2 Towns Ciderhouse,Cosmic Currant,Fruit Cider,
2021,🥈 SILVER,2 Towns Ciderhouse,Easy Squeezy,Fruit Cider,
2021,🥈 SILVER,2 Towns Ciderhouse,Made Marion,Fruit Cider,
2021,🥈 SILVER,2 Towns Ciderhouse,Pacific Pineapple,Fruit Cider,
2021,🥈 SILVER,2 Towns Ciderhouse,The Bad Apple,Wood Aged Specialty Cider,
2021,🥉 BRONZE,2 Towns Ciderhouse,Strawberade,Specialty Cider and Perry,
2021,🥉 BRONZE,2 Towns Ciderhouse,Two Thorns,Specialty Cider and Perry,
2019,🥇 GOLD,2 Towns Ciderhouse,Hollow Jack'd,Spiced Cider,
2019,🥇 GOLD,2 Towns Ciderhouse,Made Marion,Fruit Cider,
2019,🥈 SILVER,2 Towns Ciderhouse,2017 Cidre Bouché,Traditional Cider - Sweet,
2019,🥈 SILVER,2 Towns Ciderhouse,2017 Pommeau,Fortified Cider,
2019,🥈 SILVER,2 Towns Ciderhouse,2017 Riverwood,Modern Cider - Sweet,
2019,🥈 SILVER,2 Towns Ciderhouse,2017 West Country Replica #2,Traditional Cider - Dry,
2019,🥈 SILVER,2 Towns Ciderhouse,8th Anniversary,Heritage Cider - Dry,
2019,🥈 SILVER,2 Towns Ciderhouse,Bad Apple,Wood Aged Specialty Cider,
2019,🥈 SILVER,2 Towns Ciderhouse,Boysenbarrel,Wood Aged Specialty Cider,
2019,🥈 SILVER,2 Towns Ciderhouse,BrightCider,Modern Cider - Dry,
2019,🥈 SILVER,2 Towns Ciderhouse,Camp Clementine,Fruit Cider,
2019,🥈 SILVER,2 Towns Ciderhouse,Ginja Ninja,Spiced Cider,
2019,🥈 SILVER,2 Towns Ciderhouse,Nice & Naughty,Spiced Cider,
2019,🥈 SILVER,2 Towns Ciderhouse,Pearadise,Fruit Cider,
2019,🥈 SILVER,2 Towns Ciderhouse,Rhubarbarian,Fruit Cider,
2019,🥈 SILVER,2 Towns Ciderhouse,Serious Scrump,Heritage Cider - Dry,
2019,🥈 SILVER,2 Towns Ciderhouse,Strawberry Haze,Fruit Cider,
2019,🥈 SILVER,2 Towns Ciderhouse,Two Thorns,Specialty Cider and Perry,
2019,🥉 BRONZE,2 Towns Ciderhouse,2017 Marissimo,Fortified Cider,
2019,🥉 BRONZE,2 Towns Ciderhouse,Easy Squeezy,Fruit Cider,
2019,🥉 BRONZE,2 Towns Ciderhouse,Pacific Pineapple,Fruit Cider,
2018,🥇 GOLD,2 Towns Ciderhouse,Pearadise,Specialty Cider and Perry,
2018,🥈 SILVER,2 Towns Ciderhouse,2 Towns 7th Anniversary,Heritage Cider - Sweet,
2018,🥈 SILVER,2 Towns Ciderhouse,Cot in the Act,Fruit Cider,
2018,🥈 SILVER,2 Towns Ciderhouse,Easy Peasy (Lemon Squeezy),Fruit Cider,
2018,🥈 SILVER,2 Towns Ciderhouse,Hollow Jack,Spiced Cider,
2018,🥈 SILVER,2 Towns Ciderhouse,Kentucky Barrel Nice & Naughty,Wood Aged Specialty Cider,
2018,🥈 SILVER,2 Towns Ciderhouse,Made Marion,Fruit Cider,
2018,🥈 SILVER,2 Towns Ciderhouse,Nice & Naughty,Spiced Cider,
2018,🥈 SILVER,2 Towns Ciderhouse,Pacific Pineapple,Fruit Cider,
2018,🥈 SILVER,2 Towns Ciderhouse,Rhubarbarian,Fruit Cider,
2018,🥈 SILVER,2 Towns Ciderhouse,Serious Scrump,Heritage Cider - Dry,
2018,🥈 SILVER,2 Towns Ciderhouse,Traditions 2015 Vintage La Mure,Wood Aged Specialty Cider,
2018,🥈 SILVER,2 Towns Ciderhouse,Traditions 2016 Vintage Demi-Sec,Traditional Cider - Sweet,
2018,🥉 BRONZE,2 Towns Ciderhouse,2 Thorns,Specialty Cider and Perry,
2018,🥉 BRONZE,2 Towns Ciderhouse,2 Towns Cellar Series - Bulmer's Norman,Traditional Cider - Dry,
2018,🥉 BRONZE,2 Towns Ciderhouse,2 Towns Cellar Series - West Country Replica,Traditional Cider - Dry,
2018,🥉 BRONZE,2 Towns Ciderhouse,2015 Pommeau,Fortified Cider,
2018,🥉 BRONZE,2 Towns Ciderhouse,Brightcider,Modern Cider - Dry,
2018,🥉 BRONZE,2 Towns Ciderhouse,Cherried Away,Fruit Cider,
2018,🥉 BRONZE,2 Towns Ciderhouse,Dry Bittersweet,Traditional Cider - Dry,
2018,🥉 BRONZE,2 Towns Ciderhouse,Ginja Ninja,Spiced Cider,
2018,🥉 BRONZE,2 Towns Ciderhouse,Man Gogh,Fruit Cider,
2018,🥉 BRONZE,2 Towns Ciderhouse,Passion Statement,Fruit Cider,
2018,🥉 BRONZE,2 Towns Ciderhouse,The Bad Apple,Wood Aged Specialty Cider,
2018,🥉 BRONZE,2 Towns Ciderhouse,Traditions 2016 Vintage Afton Field,Heritage Cider - Dry,
2018,🥉 BRONZE,2 Towns Ciderhouse,Traditions 2016 Vintage Cidre Bouche,Traditional Cider - Sweet,
2017,🏆 BEST IN CLASS,2 Towns Ciderhouse,2014 Pommeau,Fortified Cider,2nd Place
2017,🥇 GOLD,2 Towns Ciderhouse,Made Marion,Fruit Cider,
2017,🥈 SILVER,2 Towns Ciderhouse,Cherried Away,Fruit Cider,
2017,🥈 SILVER,2 Towns Ciderhouse,Cot in the Act,Fruit Cider,
2017,🥈 SILVER,2 Towns Ciderhouse,Hop & Stalk,Specialty Cider and Perry,
2017,🥈 SILVER,2 Towns Ciderhouse,La Mure,Specialty Cider and Perry,
2017,🥈 SILVER,2 Towns Ciderhouse,Super Cyser,Specialty Cider and Perry,
2017,🥈 SILVER,2 Towns Ciderhouse,Traditions 2015 Riverwood,Modern Cider - Dry,
2017,🥉 BRONZE,2 Towns Ciderhouse,2 Thorns,Specialty Cider and Perry,
2017,🥉 BRONZE,2 Towns Ciderhouse,6th Anniversary,Specialty Cider and Perry,
2017,🥉 BRONZE,2 Towns Ciderhouse,Bad Apple,Specialty Cider and Perry,
2017,🥉 BRONZE,2 Towns Ciderhouse,BrightCider,Modern Cider - Sweet,
2017,🥉 BRONZE,2 Towns Ciderhouse,Flight of the Kiwi,Specialty Cider and Perry,
2017,🥉 BRONZE,2 Towns Ciderhouse,Ginja Ninja,Spiced Cider,
2017,🥉 BRONZE,2 Towns Ciderhouse,Hollow Jack,Specialty Cider and Perry,
2017,🥉 BRONZE,2 Towns Ciderhouse,OutCider,Modern Cider - Sweet,
2017,🥉 BRONZE,2 Towns Ciderhouse,Return of the Mac,Wood Aged Cider,
2017,🥉 BRONZE,2 Towns Ciderhouse,Rhubarbarian,Fruit Cider,
2017,🥉 BRONZE,2 Towns Ciderhouse,Serious Scrump,Specialty Cider and Perry,
2017,🥉 BRONZE,2 Towns Ciderhouse,Traditions 2015 Cidre Bouche,Traditional Cider - Dry,
2016,🥇 GOLD,2 Towns Ciderhouse,Super Cyser,Mead,
2016,🥈 SILVER,2 Towns Ciderhouse,Bad Apple,New England Cider,
2016,🥈 SILVER,2 Towns Ciderhouse,Cider Master Reserve No. 1,Heritage Cider,
2016,🥈 SILVER,2 Towns Ciderhouse,Dark Currant,Fruit Cider,
2016,🥈 SILVER,2 Towns Ciderhouse,Ginja Ninja,Spiced Cider,
2016,🥈 SILVER,2 Towns Ciderhouse,Hop & Stalk,Hopped/Herbal Cider,
2016,🥈 SILVER,2 Towns Ciderhouse,OutCider,Modern Cider,
2016,🥈 SILVER,2 Towns Ciderhouse,Sun's Out Saison,Fruit Cider,
2016,🥈 SILVER,2 Towns Ciderhouse,Throne of Thorns,Fruit Cider,
2016,🥉 BRONZE,2 Towns Ciderhouse,2 Thorns,Fruit Cider,
2016,🥉 BRONZE,2 Towns Ciderhouse,2012 Amity Rose,English Cider,
2016,🥉 BRONZE,2 Towns Ciderhouse,2013 Riverwood,Heritage Cider,
2016,🥉 BRONZE,2 Towns Ciderhouse,BrightCider,Modern Cider,
2016,🥉 BRONZE,2 Towns Ciderhouse,Cherried Away,Fruit Cider,
2016,🥉 BRONZE,2 Towns Ciderhouse,Made Marion,Fruit Cider,
2016,🥉 BRONZE,2 Towns Ciderhouse,Pommeau,Pommeau,
2016,🥉 BRONZE,2 Towns Ciderhouse,Rhubarbarian,Fruit Cider,
2016,🥉 BRONZE,2 Towns Ciderhouse,Serious Scrump,Applewine,
2015,🥈 SILVER,2 Towns Ciderhouse,2013 Traditions Ciderworks Riverwood Brut,Heritage Cider,
2015,🥈 SILVER,2 Towns Ciderhouse,BrightCider,Modern Cider,
2015,🥈 SILVER,2 Towns Ciderhouse,Cider Master Reserve No. 1,Heritage Cider,
2015,🥈 SILVER,2 Towns Ciderhouse,Nice & Naughty,Spiced Cider,
2015,🥈 SILVER,2 Towns Ciderhouse,OutCider,Modern Cider,
2015,🥈 SILVER,2 Towns Ciderhouse,Serious Scrump,Applewine,
2015,🥈 SILVER,2 Towns Ciderhouse,Throne of Thorns,Fruit Cider,
2015,🥉 BRONZE,2 Towns Ciderhouse,2012 Traditions Ciderworks Amity Rose,English Cider,
2015,🥉 BRONZE,2 Towns Ciderhouse,2012 Traditions Ciderworks Pommeau,Pommeau,
2015,🥉 BRONZE,2 Towns Ciderhouse,2013 Traditions Ciderworks Afton Field,English Cider,
2015,🥉 BRONZE,2 Towns Ciderhouse,2013 Traditions Ciderworks Pommeau,Pommeau,
2015,🥉 BRONZE,2 Towns Ciderhouse,Cherried Away,Fruit Cider,
2015,🥉 BRONZE,2 Towns Ciderhouse,Cidre Bouche,French Cider,
2015,🥉 BRONZE,2 Towns Ciderhouse,Cidre Muscato,Fruit Cider,
2015,🥉 BRONZE,2 Towns Ciderhouse,Cot in the Act,Fruit Cider,
2015,🥉 BRONZE,2 Towns Ciderhouse,Fly'n South,Fruit Cider,
2015,🥉 BRONZE,2 Towns Ciderhouse,Ginja Ninja,Spiced Cider,
2015,🥉 BRONZE,2 Towns Ciderhouse,Hop & Stalk,Hopped/Herbal Cider,
2015,🥉 BRONZE,2 Towns Ciderhouse,Made Marion,Fruit Cider,
2015,🥉 BRONZE,2 Towns Ciderhouse,Rhubarbarian,Fruit Cider,
2015,🥉 BRONZE,2 Towns Ciderhouse,The Bad Apple,New England Cider,
2014,🥇 GOLD,2 Towns Ciderhouse,Serious Scrump,Applewine,
2014,🥇 GOLD,2 Towns Ciderhouse,Traditions Ciderworks 2011 Riverwood Brut Jonagold Cider,New World Cider,
2014,🥇 GOLD,2 Towns Ciderhouse,Traditions Ciderworks 2012 Pommeau,Pommeau,
2014,🥈 SILVER,2 Towns Ciderhouse,50mile,New World Cider,
2014,🥈 SILVER,2 Towns Ciderhouse,BrightCider,New World Cider,
2014,🥈 SILVER,2 Towns Ciderhouse,Ginja Ninja,Specialty Cider and Perry,
2014,🥈 SILVER,2 Towns Ciderhouse,Hop & Stalk,Specialty Cider and Perry,
2014,🥈 SILVER,2 Towns Ciderhouse,Made Marion,Fruit Cider,
2014,🥈 SILVER,2 Towns Ciderhouse,Nice & Naughty,Specialty Cider and Perry,
2014,🥈 SILVER,2 Towns Ciderhouse,The Bad Apple,Specialty Cider and Perry,
2014,🥈 SILVER,2 Towns Ciderhouse,Traditions Ciderworks 2012 Afton Field Farmhouse Cider,English Cider,
2014,🥈 SILVER,2 Towns Ciderhouse,Traditions Ciderworks 2012 Amity Rose,Wood Aged Cider and Perry,
2014,🥉 BRONZE,2 Towns Ciderhouse,Bourbon Honey Special Sauce,Specialty Cider and Perry,
2014,🥉 BRONZE,2 Towns Ciderhouse,Cherried Away,Fruit Cider,
2014,🥉 BRONZE,2 Towns Ciderhouse,Rhubarbarian,Fruit Cider,
2014,🥉 BRONZE,2 Towns Ciderhouse,Traditions Ciderworks 2011 Amity Rose Bittersweet Cider,English Cider,
2014,🥉 BRONZE,2 Towns Ciderhouse,Traditions Ciderworks 2011 Pommeau,Pommeau,
2014,🥉 BRONZE,2 Towns Ciderhouse,Traditions Ciderworks 2011 Thomas Paine Cider,English Cider,
2014,🥉 BRONZE,2 Towns Ciderhouse,Traditions Ciderworks 2012 Bourbon Barrel Cider,Specialty Cider and Perry,
2013,🥇 GOLD,2 Towns Ciderhouse,50mile,New World Cider,
2013,🥇 GOLD,2 Towns Ciderhouse,Traditions Ciderworks 2011 Riverwood Brut JonaGold Cider,New World Cider,
2013,🥈 SILVER,2 Towns Ciderhouse,Made Marion,Fruit Cider,
2013,🥈 SILVER,2 Towns Ciderhouse,Nice N' Naughty,Specialty Cider and Perry,
2013,🥈 SILVER,2 Towns Ciderhouse,The Incider,New World Cider,
2013,🥈 SILVER,2 Towns Ciderhouse,Traditions Ciderworks 2011 Afton Field Farmhouse Cider,English Cider,
2013,🥈 SILVER,2 Towns Ciderhouse,Traditions Ciderworks 2011 Pommeau,Pommeau,
2013,🥈 SILVER,2 Towns Ciderhouse,Traditions Ciderworks 2011 Thomas Paine Specialty Cider,English Cider,
2013,🥉 BRONZE,2 Towns Ciderhouse,Cherry Poppin' Cider,Fruit Cider,
2013,🥉 BRONZE,2 Towns Ciderhouse,The Bad Apple,New England Cider,
2013,🥉 BRONZE,2 Towns Ciderhouse,Traditions Ciderworks 2011 Bourbon Barrel Cider,Wood Aged Cider and Perry,
2013,🥉 BRONZE,2 Towns Ciderhouse,Traditions Ciderworks 2012 Amity Rose Willamette Valley Dry Cider,Wood Aged Cider and Perry,
2012,🥈 SILVER,2 Towns Ciderhouse,50mile Cider,French Cider,
2012,🥈 SILVER,2 Towns Ciderhouse,A Tail of 2 Towns: Graff Style Cider,Fruit Beer,
2012,🥈 SILVER,2 Towns Ciderhouse,Serious Scrump,Applewine,
2012,🥈 SILVER,2 Towns Ciderhouse,Traditions Ciderworks Amity Rose Vintage 2011 Traditional Dry Cider,English Cider,
2012,🥈 SILVER,2 Towns Ciderhouse,Traditions Ciderworks Vintage 2011 Bourbon Barrel Cider,Specialty Cider and Perry,
2018,🥈 SILVER,26 Acre Craft Cider Company,oddBird Cherry,Fruit Cider,
2018,🥉 BRONZE,26 Acre Craft Cider Company,Aurum 2017 (Bourbon),Wood Aged Cider,
2018,🥉 BRONZE,26 Acre Craft Cider Company,Aurum 2018,Modern Cider - Sweet,
2018,🥉 BRONZE,26 Acre Craft Cider Company,Day Of The Jackanapes,Modern Cider - Dry,
2017,🥇 GOLD,26 Acre Craft Cider Company,Occam's Apple,Modern Cider - Dry,
2019,🥉 BRONZE,3 Keys Brewing,Peach Flower,Specialty Cider and Perry,
2019,🥉 BRONZE,3 Keys Brewing,Sweet Potato Cider,Spiced Cider,
2021,🥉 BRONZE,3 North Vines,A Few Good Apples,Modern Cider - Sweet,
2021,🥉 BRONZE,3 North Vines,Espresso Royale,Botanical Cider,
2021,🥉 BRONZE,3 North Vines,Snow Day,Fruit Cider,
2014,🥈 SILVER,3Cs Cider,3Cs Vintage Cider 2011,English Cider,
2019,🥈 SILVER,45 North Vineyard & Winery,Fresh Coast,Modern Cider - Dry,
2019,🥈 SILVER,45 North Vineyard & Winery,Oakazie,Wood Aged Cider,
2019,🥈 SILVER,45 North Vineyard & Winery,SingleTrack,Hopped Cider,
2019,🥉 BRONZE,45 North Vineyard & Winery,RPM,Modern Cider - Sweet,
2018,🥈 SILVER,45 North Vineyard & Winery,Fresh Coast,Modern Cider - Dry,
2018,🥈 SILVER,45 North Vineyard & Winery,Oakazie,Wood Aged Cider,
2018,🥈 SILVER,45 North Vineyard & Winery,RPM,Modern Cider - Sweet,
2018,🥈 SILVER,45 North Vineyard & Winery,Singletrack,Hopped Cider,
2017,🥉 BRONZE,45 North Vineyard & Winery,Citra Cider,Hopped Cider,
2017,🥉 BRONZE,45 North Vineyard & Winery,Oakaysie,Wood Aged Cider,
2016,🥈 SILVER,45 North Vineyard & Winery,Barrel Roll,Wood Aged Cider and Perry,
2016,🥉 BRONZE,45 North Vineyard & Winery,5 Hopped,Hopped/Herbal Cider,
2016,🥉 BRONZE,45 North Vineyard & Winery,Citra Cider,Hopped/Herbal Cider,
2016,🥉 BRONZE,45 North Vineyard & Winery,Paul Michael Cider,Modern Cider,
2019,🥈 SILVER,5 Penny Hard Cider,Flannel Top,Spiced Cider,
2019,🥉 BRONZE,5 Penny Hard Cider,Lost Reception,Specialty Cider and Perry,
2018,🥈 SILVER,5 Penny Hard Cider,Jingle Pear,Specialty Cider and Perry,
2017,🥈 SILVER,Acme Cider Co.,Acme Session 16,Modern Cider - Sweet,
2017,🥉 BRONZE,Acme Cider Co.,Acme Reserve 16,Wood Aged Cider,
2016,🥉 BRONZE,Acme Cider Co.,¡Hola! Jalapeño,Specialty Cider and Perry,
2018,🥈 SILVER,Adams Cider Company,Devils Bit Irish Cider,Unlimited Cider and Perry,
2017,🏆 BEST IN CLASS,Adams Cider Company,Devils Bit Mountain Cider,Unlimited Cider and Perry,3rd Place
2014,🥉 BRONZE,Adams Cider Company,Devils Bit Irish Cider,English Cider,
