Medalist,🏆 BIC,🥇 Gold,🥈 Silver,🥉 Bronze,Total,First,Last,Years,City,State_Province,Country,Status,Results,URL,Google,Latitude,Longitude
Blake's Hard Cider Co.,1,10,31,23,65,2014,2023,9,Armada,Michigan,United States,Active,https://ciderguide.com/blakes-hard-cider-co/,http://www.blakeshardcider.com/,https://maps.google.com/?cid=15855146673119620480,42.8503113,-82.9513855
Crispin Cider Company,2,4,23,35,64,2006,2021,9,Colfax,California,United States,Inactive,https://ciderguide.com/crispin-cider-company/,,,39.089006,-120.950642
Cidrerie Milton,9,8,25,20,62,2013,2023,10,Sainte-Cécile-de-Milton,Quebec,Canada,Active,https://ciderguide.com/cidrerie-milton/,http://cidreriemilton.com/,https://maps.google.com/?cid=9570102942420505240,45.483424,-72.759531
Stem Ciders,3,4,33,21,61,2014,2023,9,Denver,Colorado,United States,Active,https://ciderguide.com/stem-ciders/,http://stemciders.com/,https://maps.google.com/?cid=14948853403840338868,39.761635,-104.983791
Tieton Cider Works,3,2,31,25,61,2011,2022,10,Yakima,Washington,United States,Active,https://ciderguide.com/tieton-cider-works/,https://tietonciderworks.com/,https://maps.google.com/?cid=9208093896298438407,46.615859,-120.521786
Threadbare Cider,2,4,27,27,60,2018,2023,5,Pittsburgh,Pennsylvania,United States,Active,https://ciderguide.com/threadbare-cider/,https://threadbarecider.com/,https://maps.google.com/?cid=7094659481938293243,40.460471,-79.988895
Sea Cider Farm & Ciderhouse,1,8,27,22,58,2014,2023,9,Saanichton,British Columbia,Canada,Active,https://ciderguide.com/sea-cider-farm-ciderhouse/,http://seacider.ca/,https://goo.gl/maps/VQPjUX6TpCN2,48.60325,-123.397092
Starcut Ciders,4,4,22,24,54,2015,2023,8,Bellaire,Michigan,United States,Active,https://ciderguide.com/starcut-ciders/,http://starcutciders.com/,https://maps.google.com/?cid=2440791440580754774,44.976269,-85.210357
Thornbury Craft Co.,4,5,33,11,53,2013,2023,10,Thornbury,Ontario,Canada,Active,https://ciderguide.com/thornbury-craft-co/,https://thornburycraft.com/,https://www.google.com/maps?cid=17950053116977107226,44.5596898,-80.4459884
Puget Sound Cider Company,0,10,30,10,50,2019,2023,4,Renton,Washington,United States,Active,https://ciderguide.com/puget-sound-cider-company/,https://www.shopantiques4u.com/puget-sound-cider-co,https://maps.google.com/?cid=8204287304413477076,47.479856,-122.204573
Raven's Moon Craft Cider,0,1,32,16,49,2018,2023,5,Courtenay,British Columbia,Canada,Active,https://ciderguide.com/ravens-moon-craft-cider/,https://ravensmooncraftcider.ca/,https://maps.google.com/?cid=15603029176115587266,49.692391,-125.040645
Arsenal Cider House,2,6,26,13,47,2016,2022,5,Pittsburgh,Pennsylvania,United States,Active,https://ciderguide.com/arsenal-cider-house/,https://www.arsenalciderhouse.com/,https://maps.google.com/?cid=3302243150360255083,40.465108,-79.96092
St. Vrain Cidery,0,7,21,17,45,2016,2023,7,Longmont,Colorado,United States,Active,https://ciderguide.com/st-vrain-cidery/,http://www.stvraincidery.com/,https://maps.google.com/?cid=17224865106599925771,40.1651663,-105.104967
West Avenue Cider,3,6,20,15,44,2014,2023,8,Freelton,Ontario,Canada,Active,https://ciderguide.com/west-avenue-cider/,http://westavenue.ca/,https://goo.gl/maps/eNJYbqNyb362,43.370832,-79.982444
Salt Spring Wild Cider,5,4,30,4,43,2018,2023,4,Salt Spring Island,British Columbia,Canada,Active,https://ciderguide.com/salt-spring-wild-cider/,http://www.saltspringwildcider.com/,https://maps.google.com/?cid=1013951137212036854,48.862494,-123.522065
Island Orchard Cider,1,3,23,15,42,2015,2023,7,Ellison Bay,Wisconsin,United States,Active,https://ciderguide.com/island-orchard-cider/,http://islandorchardcider.com/,https://maps.google.com/?cid=8005585823394699432,45.256318,-87.071244
Swift Cider,0,5,26,11,42,2016,2023,6,Portland,Oregon,United States,Active,https://ciderguide.com/swift-cider/,http://swiftcider.com/,https://maps.google.com/?cid=1421879404707890325,45.577537,-122.651246
Winery at Black Star Farms,6,5,13,17,41,2005,2021,12,Suttons Bay,Michigan,United States,Active,https://ciderguide.com/winery-at-black-star-farms/,http://www.blackstarfarms.com/,https://maps.google.com/?cid=7449332961214465656,44.933625,-85.636114
Colorado Cider Company,4,5,18,14,41,2014,2023,9,Denver,Colorado,United States,Active,https://ciderguide.com/colorado-cider-company/,http://www.coloradocider.com/,https://maps.google.com/?cid=9606181927626096546,39.71898,-105.01961
Donovan Orchard Estate Ciders,2,0,21,18,41,2012,2023,11,Barker,New York,United States,Active,https://ciderguide.com/donovan-orchard-estate-ciders/,https://donovanorchards.com/,https://www.google.com/maps?cid=13708330907237858097,43.3638889,-78.5572222
Cider Creek Hard Cider,0,2,12,27,41,2015,2019,5,Canisteo,New York,United States,Active,https://ciderguide.com/cider-creek-hard-cider/,http://www.cidercreekhardcider.com/,https://maps.google.com/?cid=7573055340708815679,42.316655,-77.60405
Finnriver Farm and Cidery,4,5,15,16,40,2011,2023,10,Chimacum,Washington,United States,Active,https://ciderguide.com/finnriver-farm-and-cidery/,http://www.finnriver.com/,https://maps.google.com/?cid=1802892066987578987,47.976418,-122.778943
Brooklyn Cider House,4,1,18,16,39,2016,2023,7,New Paltz,New York,United States,Active,https://ciderguide.com/brooklyn-cider-house/,http://brooklynciderhouse.com/,https://maps.google.com/?cid=3244654366527486527,41.757256,-74.04958
Bold Rock Hard Cider,1,4,22,12,39,2016,2023,5,Nellysford,Virginia,United States,Active,https://ciderguide.com/bold-rock-hard-cider/,https://boldrock.com/,https://maps.google.com/?cid=5365471648317954632,37.881384,-78.904992
Kings Highway Fine Cider,0,2,19,18,39,2016,2018,3,Millerton,New York,United States,Active,https://ciderguide.com/kings-highway-fine-cider/,https://cider.nyc/,https://maps.google.com/?cid=1012291909954476569,41.8978652,-73.534851
Cidrerie du Minot,7,3,16,12,38,2016,2019,4,Hemmingford,Quebec,Canada,Active,https://ciderguide.com/cidrerie-du-minot/,http://www.duminot.com/,https://www.google.com/maps?cid=3229917684270453987,45.019621,-73.621962
Snowdrift Cider Co.,4,5,17,12,38,2009,2023,9,East Wenatchee,Washington,United States,Active,https://ciderguide.com/snowdrift-cider-co/,http://www.snowdriftcider.com/,https://maps.google.com/?cid=18339570792633761066,47.400586,-120.178628
Wandering Aengus Ciderworks,1,10,17,10,38,2006,2016,7,Salem,Oregon,United States,Inactive,https://ciderguide.com/wandering-aengus-ciderworks/,,,44.893871,-122.996201
Albemarle CiderWorks,1,9,16,12,38,2012,2023,9,North Garden,Virginia,United States,Active,https://ciderguide.com/albemarle-ciderworks/,http://www.albemarleciderworks.com/,https://maps.google.com/?cid=18144857979395006290,37.966531,-78.650136
City Orchard,1,4,24,8,37,2017,2023,6,Houston,Texas,United States,Active,https://ciderguide.com/city-orchard/,https://www.cityorchardhtx.com/,https://maps.google.com/?cid=3039682779370610905,29.7708798,-95.3868984
Robinette Cellars,0,1,13,23,37,2006,2021,13,Grand Rapids,Michigan,United States,Active,https://ciderguide.com/robinette-cellars/,https://robinettes.com/,https://maps.google.com/?cid=5234107093392955640,43.027537,-85.592264
Bee Well Mead & Cider,5,1,13,17,36,2016,2023,7,Bellaire,Michigan,United States,Active,https://ciderguide.com/bee-well-mead-cider/,http://beewellmeadery.com/,https://maps.google.com/?cid=18233410544073263210,44.9760455,-85.2098303
Thor's Hard Cider,3,5,17,11,36,2018,2023,5,Stillwater,Minnesota,United States,Active,https://ciderguide.com/thors-hard-cider/,https://www.thorshardcider.com/,https://maps.google.com/?cid=16250618587804183842,45.042138,-92.865744
Stormalong Cider,1,5,18,12,36,2015,2023,7,Sherborn,Massachusetts,United States,Active,https://ciderguide.com/stormalong-cider/,https://www.stormalong.com/,https://maps.google.com/?cid=9791117786097773397,42.231425,-71.362237
Left Foot Charley,1,3,21,11,36,2011,2023,10,Traverse City,Michigan,United States,Active,https://ciderguide.com/left-foot-charley/,http://www.leftfootcharley.com/,https://maps.google.com/?cid=16198693468177995981,44.756339,-85.645097
Ernest Cider,1,2,22,10,35,2017,2023,6,Newmarket,Ontario,Canada,Active,https://ciderguide.com/ernest-cider/,http://www.ernestcider.com/,https://maps.google.com/?cid=4441484377316760369,44.059187,-79.461256
Locust Cider,0,0,14,21,35,2016,2023,7,Woodinville,Washington,United States,Active,https://ciderguide.com/locust-cider/,http://www.locustcider.com/,https://www.google.com/maps?cid=17533531076865420551,47.766244,-122.148563
Ciderboys,1,3,13,17,34,2014,2022,7,Stevens Point,Wisconsin,United States,Active,https://ciderguide.com/ciderboys/,http://www.ciderboys.com/,https://maps.google.com/?cid=1756122992587390562,44.510454,-89.573583
Castle Hill Cider,1,0,18,15,34,2012,2023,10,Keswick,Virginia,United States,Active,https://ciderguide.com/castle-hill-cider/,http://www.castlehillcider.com/,https://maps.google.com/?cid=4112176064200176389,38.0888889,-78.2908333
McClure's Orchard & Winery,0,4,10,19,33,2011,2023,7,Peru,Indiana,United States,Active,https://ciderguide.com/mcclures-orchard-winery/,http://www.mccluresorchard.com/,https://maps.google.com/?cid=9370461394563366351,40.837576,-86.130016
Rootstock Ciderworks,2,3,19,8,32,2015,2022,7,Marion,New York,United States,Inactive,https://ciderguide.com/rootstock-ciderworks/,,,43.201215,-77.224684
Westcott Bay Cider,2,3,15,12,32,2006,2019,11,Friday Harbor,Washington,United States,Active,https://ciderguide.com/westcott-bay-cider/,http://www.westcottbaycider.com/,https://maps.google.com/?cid=4868680669516634580,48.603122,-123.162475
Eris Brewery & Cider House,1,1,18,12,32,2018,2023,5,Chicago,Illinois,United States,Active,https://ciderguide.com/eris-brewery-cider-house/,https://www.erischicago.com/,https://maps.google.com/?cid=8228819364943835803,41.953873,-87.734239
Big B's Hard Cider,0,1,15,16,32,2013,2019,7,Hotchkiss,Colorado,United States,Active,https://ciderguide.com/big-bs-hard-cider/,http://www.bigbs.com/,https://maps.google.com/?cid=78577038036310991,38.860785,-107.626061
Black Diamond Cider,5,6,14,6,31,2017,2023,6,Trumansburg,New York,United States,Active,https://ciderguide.com/black-diamond-cider/,https://blackdiamondcider.com/,https://maps.google.com/?cid=10338399888952299802,42.547829,-76.655099
Embark Craft Ciderworks,0,4,13,14,31,2015,2019,5,Williamson,New York,United States,Active,https://ciderguide.com/embark-craft-ciderworks/,https://embarkcraftciderworks.com/,https://maps.google.com/?cid=10530312377379345820,43.248684,-77.187685
Gowan's Heirloom Ciders,7,1,17,5,30,2018,2023,5,Philo,California,United States,Active,https://ciderguide.com/gowans-heirloom-ciders/,http://www.gowansheirloomcider.com/,https://www.google.com/maps?cid=14585432541984297394,39.0869042,-123.4751758
Sage Bird Ciderworks,1,4,21,4,30,2021,2023,3,Harrisonburg,Virginia,United States,Active,https://ciderguide.com/sage-bird-ciderworks/,https://www.sagebirdciderworks.com/,https://maps.google.com/?cid=6011174694440794517,38.4530173,-78.86998
Portland Cider Company,1,3,14,12,30,2013,2023,8,Clackamas,Oregon,United States,Active,https://ciderguide.com/portland-cider-company/,http://portlandcider.com/,https://maps.google.com/?cid=5897814277091816079,45.415288,-122.572714
ANXO Cider,1,1,15,13,30,2016,2022,6,Washington,District of Columbia,United States,Active,https://ciderguide.com/anxo-cider/,https://store.anxodc.com/,https://maps.google.com/?cid=10966962293642727498,38.956577,-77.022874
Hogan's Cider,5,4,13,7,29,2011,2019,9,Alcestor,Warwickshire,United Kingdom,Active,https://ciderguide.com/hogans-cider/,http://www.hoganscider.co.uk/,https://maps.google.com/?cid=344551779062280462,52.2205461,-1.8336097
Big Fish Cider Co.,4,8,13,4,29,2016,2023,7,Monterey,Virginia,United States,Active,https://ciderguide.com/big-fish-cider-co/,http://www.bigfishcider.com/,https://maps.google.com/?cid=10686446551531832863,38.412304,-79.58293
Cider Hill Cellars,3,4,16,6,29,2018,2023,5,Amesbury,Massachusetts,United States,Active,https://ciderguide.com/cider-hill-cellars/,http://www.ciderhill.com/,https://maps.google.com/?cid=1807836563570941230,42.875044,-70.926449
Oliver's Cider and Perry,2,3,13,11,29,2009,2019,9,Ocle Pychard,Herefordshire,United Kingdom,Active,https://ciderguide.com/olivers-cider-and-perry/,https://www.oliversciderandperry.co.uk/,https://maps.google.com/?cid=7135495925516207657,52.118645,-2.59315
Cidrerie Verger Bilodeau,2,2,17,8,29,2017,2023,6,Saint-Pierre,Quebec,Canada,Active,https://ciderguide.com/cidrerie-verger-bilodeau/,http://cidreriebilodeau.com/,https://maps.google.com/?cid=13614947233486647877,46.91664,-71.035444
Sapsucker Farms Yellow Belly Cidery,0,3,13,13,29,2017,2023,6,Mora,Minnesota,United States,Active,https://ciderguide.com/sapsucker-farms-yellow-belly-cidery/,https://www.sapsuckerfarms.com/,https://maps.google.com/?cid=10529182272851607589,45.8970174,-93.152247
Empyrical Orchards & Cider,4,7,15,2,28,2019,2023,4,Snohomish,Washington,United States,Active,https://ciderguide.com/empyrical-orchards-cider/,https://www.instagram.com/empyricalcider/,,47.9128756,-122.0981847
Pux Cider,1,3,13,11,28,2016,2023,7,Grand Rapids,Michigan,United States,Active,https://ciderguide.com/pux-cider/,http://puxcider.com/,https://www.google.com/maps?cid=16702208274441786920,42.9683341,-85.640274
Liberty Ciderworks,1,3,11,13,28,2013,2021,8,Spokane,Washington,United States,Active,https://ciderguide.com/liberty-ciderworks/,http://libertycider.com/,https://maps.google.com/?cid=14868081944798289423,47.655356,-117.418438
California Cider Company,0,6,10,12,28,2015,2023,7,Sebastopol,California,United States,Active,https://ciderguide.com/california-cider-company/,http://www.acecider.com/,https://maps.google.com/?cid=5452200526577360272,38.423506,-122.849754
Windy Hill Orchard & Cidery,0,1,12,15,28,2011,2019,9,York,South Carolina,United States,Active,https://ciderguide.com/windy-hill-orchard-cidery/,http://windyhillorchard.com/,https://maps.google.com/?cid=17966007782193084624,35.025033,-81.280415
Jefferson County Ciderworks,3,2,14,8,27,2017,2023,4,Fairfield,Iowa,United States,Active,https://ciderguide.com/jefferson-county-ciderworks/,https://cider.work/,https://maps.google.com/?cid=8237417276158156047,41.017198,-92.018367
KW Craft Cider,0,1,19,6,26,2015,2022,7,Waterloo,Ontario,Canada,Active,https://ciderguide.com/kw-craft-cider/,http://kwcraftcider.com/,,43.508396,-80.543731
Meriwether Cider Company,4,2,14,5,25,2018,2023,5,Garden City,Idaho,United States,Active,https://ciderguide.com/meriwether-cider-company/,http://www.meriwethercider.com/,https://maps.google.com/?cid=7830741432069672416,43.645176,-116.271227
Champlain Orchards,1,5,16,3,25,2013,2023,7,Shoreham,Vermont,United States,Active,https://ciderguide.com/champlain-orchards/,https://www.champlainorchards.com/,https://maps.google.com/?cid=12438523521595198148,43.856854,-73.353028
Urban Tree Hard Cider,2,0,13,9,24,2016,2022,6,Atlanta,Georgia,United States,Active,https://ciderguide.com/urban-tree-hard-cider/,https://urbantreecidery.com/,https://maps.google.com/?cid=8193144976879641306,33.794905,-84.414797
Slake Cider,1,5,10,8,24,2012,2018,6,McMinnville,Oregon,United States,Inactive,https://ciderguide.com/slake-cider/,,,45.215577,-123.197811
Two K Farms,1,4,11,8,24,2019,2023,4,Suttons Bay,Michigan,United States,Active,https://ciderguide.com/two-k-farms/,http://www.twokfarms.com/,https://maps.google.com/?cid=10000035318484135155,44.922709,-85.626569
Cambium Cider Co,1,2,14,7,24,2015,2023,7,Vernon,British Columbia,Canada,Active,https://ciderguide.com/cambium-cider-co/,https://www.cambiumcider.com/,https://maps.google.com/?cid=6249839959535544019,50.2798201,-119.2228203
Distillery Lane Ciderworks,0,2,7,15,24,2011,2017,7,Jefferson,Maryland,United States,Active,https://ciderguide.com/distillery-lane-ciderworks/,http://distillerylaneciderworks.com/,https://maps.google.com/?cid=12697630403393008117,39.386592,-77.620521
Bull City Ciderworks,2,3,10,8,23,2018,2022,4,Lexington,North Carolina,United States,Active,https://ciderguide.com/bull-city-ciderworks/,http://www.bullcityciderworks.com/,https://maps.google.com/?cid=12213813616311713027,35.818872,-80.255816
Citizen Cider,2,0,12,9,23,2016,2021,5,Burlington,Vermont,United States,Active,https://ciderguide.com/citizen-cider/,https://www.citizencider.com/,https://maps.google.com/?cid=705537445817027258,44.470722,-73.214282
Deep Roots Hard Cider,1,1,11,10,23,2016,2023,7,Sugar Run,Pennsylvania,United States,Active,https://ciderguide.com/deep-roots-hard-cider/,https://www.deeprootshardcider.com/,https://maps.google.com/?cid=9648569218795825836,41.606174,-76.228739
Beaver Valley Orchard & Cidery,0,2,3,18,23,2014,2021,7,Kimberley,Ontario,Canada,Inactive,https://ciderguide.com/beaver-valley-orchard-cidery/,,,44.432324,-80.522854
Lost Boy Cider,0,1,15,7,23,2021,2023,3,Alexandria,Virginia,United States,Active,https://ciderguide.com/lost-boy-cider/,https://lostboycider.com/,https://maps.google.com/?cid=2623373656020855749,38.798715,-77.06327
Hazlitt 1852 Vineyards,0,1,12,10,23,2016,2023,7,Naples,New York,United States,Active,https://ciderguide.com/hazlitt-1852-vineyards/,https://hazlitt1852.com/,https://maps.google.com/?cid=5120913070607308492,42.621963,-77.400262
Sidra El Gaitero,1,2,10,9,22,2018,2023,4,Villaviciosa,Gijón,Spain,Active,https://ciderguide.com/sidra-el-gaitero/,https://www.sidraelgaitero.com/,https://maps.google.com/?cid=15753532318992345137,43.4923237,-5.4230532
Number 12 Cider,0,3,14,5,22,2016,2023,5,Minneapolis,Minnesota,United States,Active,https://ciderguide.com/number-12-cider/,http://www.number12ciderhouse.com/,https://maps.google.com/?cid=2535435254747381286,44.9852933,-93.2796211
Townline Ciderworks,0,2,14,6,22,2017,2023,5,Williamsburg,Michigan,United States,Active,https://ciderguide.com/townline-ciderworks/,https://www.townlineciderworks.com/,https://www.google.com/maps?cid=10669443199270117297,44.863802,-85.422672
Thornapple Brewing Company,0,2,8,12,22,2017,2023,6,Grand Rapids,Michigan,United States,Active,https://ciderguide.com/thornapple-brewing-company/,http://www.thornapplebrewing.com/,https://maps.google.com/?cid=9646788014435304722,42.912347,-85.512693
Glacial Till Vineyard & Winery,0,1,14,7,22,2022,2023,2,Ashland,Nebraska,United States,Active,https://ciderguide.com/glacial-till-vineyard-winery/,http://www.glacialtillvineyard.com/,https://maps.google.com/?cid=185099829414435279,41.038896,-96.368951
Bull Run Cider,0,1,9,12,22,2013,2022,7,Forest Grove,Oregon,United States,Active,https://ciderguide.com/bull-run-cider/,http://www.bullruncider.com/,https://maps.google.com/?cid=13917891364878698013,45.523121,-123.106516
Fenceline Cider,0,1,9,12,22,2019,2023,4,Mancos,Colorado,United States,Active,https://ciderguide.com/fenceline-cider/,https://www.fenceline.co/,https://maps.google.com/?cid=10459681325423767911,37.344471,-108.28887
Suttons Bay Ciders,2,0,9,10,21,2017,2023,5,Suttons Bay,Michigan,United States,Active,https://ciderguide.com/suttons-bay-ciders/,http://suttonsbayciders.com/,https://maps.google.com/?cid=15136373870466556438,44.905766,-85.643616
Vala's Orchard Cider,1,4,7,9,21,2021,2023,3,Gretna,Nebraska,United States,Active,https://ciderguide.com/valas-orchard-cider/,https://www.valasappleorchard.com/,https://maps.google.com/?cid=15056510891597103165,41.1285802,-96.1989432
Brickworks Ciderhouse,1,3,9,8,21,2016,2022,5,Toronto,Ontario,Canada,Active,https://ciderguide.com/brickworks-ciderhouse/,http://theciderhouse.ca/,https://maps.google.com/?cid=4965054275523318727,43.718379,-79.312625
Noble Cider,1,3,9,8,21,2016,2023,6,Asheville,North Carolina,United States,Active,https://ciderguide.com/noble-cider/,http://www.noblecider.com/,https://maps.google.com/?cid=10806279487860629423,35.602136,-82.62465
Blue Toad Hard Cider,1,2,6,12,21,2017,2023,6,Rochester,New York,United States,Active,https://ciderguide.com/blue-toad-hard-cider/,http://www.bluetoadhardcider.com/,https://maps.google.com/?cid=2000687378707214384,43.091407,-77.618983
Original Sin Cider,0,4,13,4,21,2009,2023,7,New York,New York,United States,Active,https://ciderguide.com/original-sin-cider/,http://www.origsin.com/,,40.733215,-73.991496
Phillips Orchards & Cider Mill,0,1,14,6,21,2019,2023,4,St Johns,Michigan,United States,Active,https://ciderguide.com/phillips-orchards-cider-mill/,http://www.phillipsorchards.com/,https://maps.google.com/?cid=7103527741412567137,43.1177,-84.563483
Teal Cider,0,1,10,10,21,2017,2021,4,Dolores,Colorado,United States,Inactive,https://ciderguide.com/teal-cider/,,,37.4715586,-108.6286897
Grey & Gold Cider,2,3,6,9,20,2017,2023,5,Clarksburg,Ontario,Canada,Active,https://ciderguide.com/grey-gold-cider/,https://greyandgoldcider.com/,https://maps.google.com/?cid=15577698127219327031,44.526397,-80.4657931
Sidra Trabanco,2,2,8,8,20,2014,2019,6,Llavandera,Gijón,Spain,Active,https://ciderguide.com/sidra-trabanco/,http://www.sidratrabanco.com/,https://maps.google.com/?cid=8706552013547802387,43.4704387,-5.6447197
Mcintosh Cellars,1,2,7,10,20,2006,2019,9,South Haven,Michigan,United States,Inactive,https://ciderguide.com/mcintosh-cellars/,,,42.469453,-86.170857
Pommies Cider Co.,0,1,7,12,20,2013,2018,6,Caledon,Ontario,Canada,Active,https://ciderguide.com/pommies-cider-co/,http://pommies.com/,https://maps.google.com/?cid=9029954072036938258,43.863806,-79.720618
Peat's Original Cider,2,2,9,6,19,2018,2023,4,Stevensville,Michigan,United States,Active,https://ciderguide.com/peats-original-cider/,https://www.peatscider.com/,https://maps.google.com/?cid=514098553520201660,42.0052528,-86.5306091
Incline Cider Company,1,2,11,5,19,2017,2023,4,Auburn,Washington,United States,Active,https://ciderguide.com/incline-cider-company/,http://www.inclinecider.com/,https://maps.google.com/?cid=504944612388443997,47.307323,-122.228453
Windswept Orchard Cider,1,2,7,9,19,2017,2022,4,Meaford,Ontario,Canada,Active,https://ciderguide.com/windswept-orchard-cider/,https://windsweptcider.com/,https://maps.google.com/?cid=3358706165159189619,44.5544537,-80.5405778
James Creek Cider House,1,0,8,10,19,2016,2023,5,Cameron,North Carolina,United States,Active,https://ciderguide.com/james-creek-cider-house/,https://jamescreekciderhouse.com/,https://maps.google.com/?cid=8654485681895206331,35.336069,-79.245782
Blackgrass Ciderworks,0,0,7,12,19,2021,2023,3,Birmingham,Michigan,United States,Active,https://ciderguide.com/blackgrass-ciderworks/,https://www.blackgrasscider.com/,https://maps.google.com/?cid=706094858439654713,42.543611,-83.195536
Meckley's Cidery,0,0,4,15,19,2013,2016,4,Cement City,Michigan,United States,Active,https://ciderguide.com/meckleys-cidery/,http://flavorfruitfarm.com/,https://maps.google.com/?cid=3784686605669895808,42.058904,-84.405962
Twisted Hills Craft Cider,3,2,8,5,18,2016,2019,4,Cawston,British Columbia,Canada,Active,https://ciderguide.com/twisted-hills-craft-cider/,http://www.twistedhills.ca/,https://goo.gl/maps/ATyZi7rAGmF2,49.180058,-119.748837
Dragon's Head Cider,3,0,7,8,18,2017,2021,4,Vashon,Washington,United States,Active,https://ciderguide.com/dragons-head-cider/,http://www.dragonsheadcider.com/,https://maps.google.com/?cid=2526574753760904159,47.441428,-122.473876
EsoTerra Ciderworks,2,1,9,6,18,2021,2022,2,Dolores,Colorado,United States,Active,https://ciderguide.com/esoterra-ciderworks/,https://www.esoterracider.com/,https://maps.google.com/?cid=13207529786496797112,37.4761004,-108.4837559
Montana CiderWorks,1,5,7,5,18,2012,2023,8,Darby,Montana,United States,Active,https://ciderguide.com/montana-ciderworks/,http://montanacider.com/,,45.965401,-114.11709
Spirit Tree Estate Cidery,0,2,7,9,18,2011,2017,6,Caledon,Ontario,Canada,Active,https://ciderguide.com/spirit-tree-estate-cidery/,https://spirittreecider.com/,https://www.google.com/maps?cid=4800485022282341419,43.757858,-79.9424878
