Year_Old,Year,Medalist,Medalist_URL,🏆 BIC,🥇 Gold,🥈 Silver,🥉 Bronze,Total,URL
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",St. Vrain Cidery,"<a href=""https://ciderguide.com/glintcap/medalists/st-vrain-cidery/"">St. Vrain Cidery</a>",0,2,5,1,8,https://ciderguide.com/glintcap/medalists/st-vrain-cidery/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Loch Mór Cider Co.,"<a href=""https://ciderguide.com/glintcap/medalists/loch-mor-cider-co/"">Loch Mór Cider Co.</a>",0,1,6,1,8,https://ciderguide.com/glintcap/medalists/loch-mor-cider-co/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Five Maidens Cider Company,"<a href=""https://ciderguide.com/glintcap/medalists/five-maidens-cider-company/"">Five Maidens Cider Company</a>",0,1,4,3,8,https://ciderguide.com/glintcap/medalists/five-maidens-cider-company/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Portland Cider Company,"<a href=""https://ciderguide.com/glintcap/medalists/portland-cider-company/"">Portland Cider Company</a>",1,2,3,1,7,https://ciderguide.com/glintcap/medalists/portland-cider-company/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Thor's Hard Cider,"<a href=""https://ciderguide.com/glintcap/medalists/thors-hard-cider/"">Thor's Hard Cider</a>",1,1,4,1,7,https://ciderguide.com/glintcap/medalists/thors-hard-cider/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Cidrerie Verger Bilodeau,"<a href=""https://ciderguide.com/glintcap/medalists/cidrerie-verger-bilodeau/"">Cidrerie Verger Bilodeau</a>",1,0,4,2,7,https://ciderguide.com/glintcap/medalists/cidrerie-verger-bilodeau/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Annapolis Cider Company,"<a href=""https://ciderguide.com/glintcap/medalists/annapolis-cider-company/"">Annapolis Cider Company</a>",0,2,4,1,7,https://ciderguide.com/glintcap/medalists/annapolis-cider-company/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Big Fish Cider Co.,"<a href=""https://ciderguide.com/glintcap/medalists/big-fish-cider-co/"">Big Fish Cider Co.</a>",1,1,4,0,6,https://ciderguide.com/glintcap/medalists/big-fish-cider-co/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Cider Hill Cellars,"<a href=""https://ciderguide.com/glintcap/medalists/cider-hill-cellars/"">Cider Hill Cellars</a>",1,1,3,1,6,https://ciderguide.com/glintcap/medalists/cider-hill-cellars/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Bee Well Mead & Cider,"<a href=""https://ciderguide.com/glintcap/medalists/bee-well-mead-cider/"">Bee Well Mead & Cider</a>",1,0,2,3,6,https://ciderguide.com/glintcap/medalists/bee-well-mead-cider/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Cidrerie Milton,"<a href=""https://ciderguide.com/glintcap/medalists/cidrerie-milton/"">Cidrerie Milton</a>",1,0,1,4,6,https://ciderguide.com/glintcap/medalists/cidrerie-milton/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Starcut Ciders,"<a href=""https://ciderguide.com/glintcap/medalists/starcut-ciders/"">Starcut Ciders</a>",0,2,2,2,6,https://ciderguide.com/glintcap/medalists/starcut-ciders/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Eden Ciders,"<a href=""https://ciderguide.com/glintcap/medalists/eden-ciders/"">Eden Ciders</a>",0,1,2,3,6,https://ciderguide.com/glintcap/medalists/eden-ciders/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Minneapolis Cider Company,"<a href=""https://ciderguide.com/glintcap/medalists/minneapolis-cider-company/"">Minneapolis Cider Company</a>",0,0,5,1,6,https://ciderguide.com/glintcap/medalists/minneapolis-cider-company/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Northville Winery and Brewing Company,"<a href=""https://ciderguide.com/glintcap/medalists/northville-winery-and-brewing-company/"">Northville Winery and Brewing Company</a>",0,0,5,1,6,https://ciderguide.com/glintcap/medalists/northville-winery-and-brewing-company/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",McClure's Orchard & Winery,"<a href=""https://ciderguide.com/glintcap/medalists/mcclures-orchard-winery/"">McClure's Orchard & Winery</a>",0,0,4,2,6,https://ciderguide.com/glintcap/medalists/mcclures-orchard-winery/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Stormalong Cider,"<a href=""https://ciderguide.com/glintcap/medalists/stormalong-cider/"">Stormalong Cider</a>",0,0,4,2,6,https://ciderguide.com/glintcap/medalists/stormalong-cider/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Green Bench Brewing Co.,"<a href=""https://ciderguide.com/glintcap/medalists/green-bench-brewing-co/"">Green Bench Brewing Co.</a>",0,0,3,3,6,https://ciderguide.com/glintcap/medalists/green-bench-brewing-co/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Sidra El Gaitero,"<a href=""https://ciderguide.com/glintcap/medalists/sidra-el-gaitero/"">Sidra El Gaitero</a>",0,0,3,3,6,https://ciderguide.com/glintcap/medalists/sidra-el-gaitero/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Castle Hill Cider,"<a href=""https://ciderguide.com/glintcap/medalists/castle-hill-cider/"">Castle Hill Cider</a>",0,0,2,4,6,https://ciderguide.com/glintcap/medalists/castle-hill-cider/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Beach Bee Meadery,"<a href=""https://ciderguide.com/glintcap/medalists/beach-bee-meadery/"">Beach Bee Meadery</a>",1,1,1,2,5,https://ciderguide.com/glintcap/medalists/beach-bee-meadery/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Gowan's Heirloom Ciders,"<a href=""https://ciderguide.com/glintcap/medalists/gowans-heirloom-ciders/"">Gowan's Heirloom Ciders</a>",1,0,4,0,5,https://ciderguide.com/glintcap/medalists/gowans-heirloom-ciders/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Vala's Orchard Cider,"<a href=""https://ciderguide.com/glintcap/medalists/valas-orchard-cider/"">Vala's Orchard Cider</a>",1,0,3,1,5,https://ciderguide.com/glintcap/medalists/valas-orchard-cider/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Thornapple Brewing Company,"<a href=""https://ciderguide.com/glintcap/medalists/thornapple-brewing-company/"">Thornapple Brewing Company</a>",0,2,2,1,5,https://ciderguide.com/glintcap/medalists/thornapple-brewing-company/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Bold Rock Hard Cider,"<a href=""https://ciderguide.com/glintcap/medalists/bold-rock-hard-cider/"">Bold Rock Hard Cider</a>",0,1,4,0,5,https://ciderguide.com/glintcap/medalists/bold-rock-hard-cider/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",California Cider Company,"<a href=""https://ciderguide.com/glintcap/medalists/california-cider-company/"">California Cider Company</a>",0,1,3,1,5,https://ciderguide.com/glintcap/medalists/california-cider-company/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Eris Brewery & Cider House,"<a href=""https://ciderguide.com/glintcap/medalists/eris-brewery-cider-house/"">Eris Brewery & Cider House</a>",0,1,3,1,5,https://ciderguide.com/glintcap/medalists/eris-brewery-cider-house/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Stem Ciders,"<a href=""https://ciderguide.com/glintcap/medalists/stem-ciders/"">Stem Ciders</a>",0,1,3,1,5,https://ciderguide.com/glintcap/medalists/stem-ciders/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Vander Mill,"<a href=""https://ciderguide.com/glintcap/medalists/vander-mill/"">Vander Mill</a>",0,1,3,1,5,https://ciderguide.com/glintcap/medalists/vander-mill/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Original Sin Cider,"<a href=""https://ciderguide.com/glintcap/medalists/original-sin-cider/"">Original Sin Cider</a>",0,0,5,0,5,https://ciderguide.com/glintcap/medalists/original-sin-cider/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Phillips Orchards & Cider Mill,"<a href=""https://ciderguide.com/glintcap/medalists/phillips-orchards-cider-mill/"">Phillips Orchards & Cider Mill</a>",0,0,5,0,5,https://ciderguide.com/glintcap/medalists/phillips-orchards-cider-mill/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Virtue Cider,"<a href=""https://ciderguide.com/glintcap/medalists/virtue-cider/"">Virtue Cider</a>",0,0,5,0,5,https://ciderguide.com/glintcap/medalists/virtue-cider/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Wild State Cider,"<a href=""https://ciderguide.com/glintcap/medalists/wild-state-cider/"">Wild State Cider</a>",0,0,5,0,5,https://ciderguide.com/glintcap/medalists/wild-state-cider/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Ironbark Ciderworks,"<a href=""https://ciderguide.com/glintcap/medalists/ironbark-ciderworks/"">Ironbark Ciderworks</a>",0,0,4,1,5,https://ciderguide.com/glintcap/medalists/ironbark-ciderworks/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Lost Boy Cider,"<a href=""https://ciderguide.com/glintcap/medalists/lost-boy-cider/"">Lost Boy Cider</a>",0,0,4,1,5,https://ciderguide.com/glintcap/medalists/lost-boy-cider/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Number 12 Cider,"<a href=""https://ciderguide.com/glintcap/medalists/number-12-cider/"">Number 12 Cider</a>",0,0,4,1,5,https://ciderguide.com/glintcap/medalists/number-12-cider/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Sapsucker Farms Yellow Belly Cidery,"<a href=""https://ciderguide.com/glintcap/medalists/sapsucker-farms-yellow-belly-cidery/"">Sapsucker Farms Yellow Belly Cidery</a>",0,0,4,1,5,https://ciderguide.com/glintcap/medalists/sapsucker-farms-yellow-belly-cidery/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Seminary Hill Orchard & Cidery,"<a href=""https://ciderguide.com/glintcap/medalists/seminary-hill-orchard-cidery/"">Seminary Hill Orchard & Cidery</a>",0,0,4,1,5,https://ciderguide.com/glintcap/medalists/seminary-hill-orchard-cidery/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Toboggan Brewing Co.,"<a href=""https://ciderguide.com/glintcap/medalists/toboggan-brewing-co/"">Toboggan Brewing Co.</a>",0,0,4,1,5,https://ciderguide.com/glintcap/medalists/toboggan-brewing-co/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",19 Acres Cider Co.,"<a href=""https://ciderguide.com/glintcap/medalists/19-acres-cider-co/"">19 Acres Cider Co.</a>",0,0,3,2,5,https://ciderguide.com/glintcap/medalists/19-acres-cider-co/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Ernest Cider,"<a href=""https://ciderguide.com/glintcap/medalists/ernest-cider/"">Ernest Cider</a>",0,0,3,2,5,https://ciderguide.com/glintcap/medalists/ernest-cider/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Waves Cider Co.,"<a href=""https://ciderguide.com/glintcap/medalists/waves-cider-co/"">Waves Cider Co.</a>",0,0,3,2,5,https://ciderguide.com/glintcap/medalists/waves-cider-co/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Fenceline Cider,"<a href=""https://ciderguide.com/glintcap/medalists/fenceline-cider/"">Fenceline Cider</a>",0,0,2,3,5,https://ciderguide.com/glintcap/medalists/fenceline-cider/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Avid Cider,"<a href=""https://ciderguide.com/glintcap/medalists/avid-cider/"">Avid Cider</a>",0,0,1,4,5,https://ciderguide.com/glintcap/medalists/avid-cider/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Colorado Cider Company,"<a href=""https://ciderguide.com/glintcap/medalists/colorado-cider-company/"">Colorado Cider Company</a>",2,0,1,1,4,https://ciderguide.com/glintcap/medalists/colorado-cider-company/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Yip Cider,"<a href=""https://ciderguide.com/glintcap/medalists/yip-cider/"">Yip Cider</a>",1,1,1,1,4,https://ciderguide.com/glintcap/medalists/yip-cider/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Papa Moon Vineyards & Winery,"<a href=""https://ciderguide.com/glintcap/medalists/papa-moon-vineyards-winery/"">Papa Moon Vineyards & Winery</a>",1,1,0,2,4,https://ciderguide.com/glintcap/medalists/papa-moon-vineyards-winery/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",James Creek Cider House,"<a href=""https://ciderguide.com/glintcap/medalists/james-creek-cider-house/"">James Creek Cider House</a>",1,0,2,1,4,https://ciderguide.com/glintcap/medalists/james-creek-cider-house/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Peat's Original Cider,"<a href=""https://ciderguide.com/glintcap/medalists/peats-original-cider/"">Peat's Original Cider</a>",1,0,1,2,4,https://ciderguide.com/glintcap/medalists/peats-original-cider/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Albemarle CiderWorks,"<a href=""https://ciderguide.com/glintcap/medalists/albemarle-ciderworks/"">Albemarle CiderWorks</a>",0,3,0,1,4,https://ciderguide.com/glintcap/medalists/albemarle-ciderworks/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Michigan Wine Company,"<a href=""https://ciderguide.com/glintcap/medalists/michigan-wine-company/"">Michigan Wine Company</a>",0,2,2,0,4,https://ciderguide.com/glintcap/medalists/michigan-wine-company/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Black Diamond Cider,"<a href=""https://ciderguide.com/glintcap/medalists/black-diamond-cider/"">Black Diamond Cider</a>",0,2,1,1,4,https://ciderguide.com/glintcap/medalists/black-diamond-cider/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Cambium Cider Co,"<a href=""https://ciderguide.com/glintcap/medalists/cambium-cider-co/"">Cambium Cider Co</a>",0,2,1,1,4,https://ciderguide.com/glintcap/medalists/cambium-cider-co/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Left Foot Charley,"<a href=""https://ciderguide.com/glintcap/medalists/left-foot-charley/"">Left Foot Charley</a>",0,1,3,0,4,https://ciderguide.com/glintcap/medalists/left-foot-charley/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",West Avenue Cider,"<a href=""https://ciderguide.com/glintcap/medalists/west-avenue-cider/"">West Avenue Cider</a>",0,1,3,0,4,https://ciderguide.com/glintcap/medalists/west-avenue-cider/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Champlain Orchards,"<a href=""https://ciderguide.com/glintcap/medalists/champlain-orchards/"">Champlain Orchards</a>",0,1,2,1,4,https://ciderguide.com/glintcap/medalists/champlain-orchards/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Liquid Alchemy Beverages,"<a href=""https://ciderguide.com/glintcap/medalists/liquid-alchemy-beverages/"">Liquid Alchemy Beverages</a>",0,1,2,1,4,https://ciderguide.com/glintcap/medalists/liquid-alchemy-beverages/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Sea Cider Farm & Ciderhouse,"<a href=""https://ciderguide.com/glintcap/medalists/sea-cider-farm-ciderhouse/"">Sea Cider Farm & Ciderhouse</a>",0,1,2,1,4,https://ciderguide.com/glintcap/medalists/sea-cider-farm-ciderhouse/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Apple Valley Cider Company,"<a href=""https://ciderguide.com/glintcap/medalists/apple-valley-cider-company/"">Apple Valley Cider Company</a>",0,1,0,3,4,https://ciderguide.com/glintcap/medalists/apple-valley-cider-company/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Island Orchard Cider,"<a href=""https://ciderguide.com/glintcap/medalists/island-orchard-cider/"">Island Orchard Cider</a>",0,0,4,0,4,https://ciderguide.com/glintcap/medalists/island-orchard-cider/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Sunken Paddle Ciderworks,"<a href=""https://ciderguide.com/glintcap/medalists/sunken-paddle-ciderworks/"">Sunken Paddle Ciderworks</a>",0,0,4,0,4,https://ciderguide.com/glintcap/medalists/sunken-paddle-ciderworks/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Willamette Ale & Cider House,"<a href=""https://ciderguide.com/glintcap/medalists/willamette-ale-cider-house/"">Willamette Ale & Cider House</a>",0,0,4,0,4,https://ciderguide.com/glintcap/medalists/willamette-ale-cider-house/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Bent Ladder,"<a href=""https://ciderguide.com/glintcap/medalists/bent-ladder/"">Bent Ladder</a>",0,0,3,1,4,https://ciderguide.com/glintcap/medalists/bent-ladder/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Brew Lab 101 Beer & Cider Co.,"<a href=""https://ciderguide.com/glintcap/medalists/brew-lab-101-beer-cider-co/"">Brew Lab 101 Beer & Cider Co.</a>",0,0,3,1,4,https://ciderguide.com/glintcap/medalists/brew-lab-101-beer-cider-co/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Ciders from Mars,"<a href=""https://ciderguide.com/glintcap/medalists/ciders-from-mars/"">Ciders from Mars</a>",0,0,3,1,4,https://ciderguide.com/glintcap/medalists/ciders-from-mars/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Junction Orchard & Cidery,"<a href=""https://ciderguide.com/glintcap/medalists/junction-orchard-cidery/"">Junction Orchard & Cidery</a>",0,0,3,1,4,https://ciderguide.com/glintcap/medalists/junction-orchard-cidery/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Salt Creek Cider House,"<a href=""https://ciderguide.com/glintcap/medalists/salt-creek-cider-house/"">Salt Creek Cider House</a>",0,0,3,1,4,https://ciderguide.com/glintcap/medalists/salt-creek-cider-house/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Serpentine Cider,"<a href=""https://ciderguide.com/glintcap/medalists/serpentine-cider/"">Serpentine Cider</a>",0,0,3,1,4,https://ciderguide.com/glintcap/medalists/serpentine-cider/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Two K Farms,"<a href=""https://ciderguide.com/glintcap/medalists/two-k-farms/"">Two K Farms</a>",0,0,3,1,4,https://ciderguide.com/glintcap/medalists/two-k-farms/
