Medalist,🏆 BIC,🥇 Gold,🥈 Silver,🥉 Bronze,Total,First,Last,Years,Results,Website,Facebook,Instagram,Google,State_Province,Country,Status,Latitude,Longitude,Shortcode
Farmhaus Cider Co.,0,8,41,21,70,2015,2023,8,https://ciderguide.com/farmhaus-cider-co/,http://farmhauscider.com/,https://www.facebook.com/FarmhausCiderCo,https://www.instagram.com/farmhauscider/,https://maps.google.com/?cid=11406839464047037046,Michigan,United States,Active,42.936623,-85.909009,farmhaus-cider-co
1911 Established,1,5,41,22,69,2015,2023,7,https://ciderguide.com/1911-established/,http://1911established.com/,,https://www.instagram.com/1911established/,https://maps.google.com/?cid=13706571465768596510,New York,United States,Active,42.903744,-76.22158,1911-established
Virtue Cider,1,5,38,24,68,2013,2023,10,https://ciderguide.com/virtue-cider/,http://www.virtuecider.com/,https://www.facebook.com/virtuecider,https://www.instagram.com/virtuecider/,https://maps.google.com/?cid=8731167836057791034,Michigan,United States,Active,42.57688,-86.15187,virtue-cider
Eden Ciders,10,12,30,14,66,2009,2023,13,https://ciderguide.com/eden-ciders/,https://www.edenciders.com/,https://facebook.com/edenspecialtyciders,https://www.instagram.com/edenciders/,https://maps.google.com/?cid=1133141626652589768,Vermont,United States,Active,44.935976,-72.209246,eden-ciders
AeppelTreow Winery & Distillery,4,8,20,34,66,2005,2023,17,https://ciderguide.com/aeppeltreow-winery-distillery/,http://aeppeltreow.com/,https://www.facebook.com/Aeppeltreow.Ciders/,,https://maps.google.com/?cid=14330457100802755750,Wisconsin,United States,Active,42.642658,-88.160186,aeppeltreow-winery-distillery
Northville Winery and Brewing Company,4,4,28,29,65,2008,2023,14,https://ciderguide.com/northville-winery-and-brewing-company/,http://www.thenorthvillewinery.com/,https://www.facebook.com/northvillewinery,https://www.instagram.com/northvillewinery/,https://maps.google.com/?cid=1839304926738675152,Michigan,United States,Active,42.437271,-83.475242,northville-winery-and-brewing-company
Blake's Hard Cider Co.,1,10,31,23,65,2014,2023,9,https://ciderguide.com/blakes-hard-cider-co/,http://www.blakeshardcider.com/,https://www.facebook.com/blakeshardciderco,https://www.instagram.com/blakeshardciderco/,https://maps.google.com/?cid=15855146673119620480,Michigan,United States,Active,42.8503113,-82.9513855,blakes-hard-cider-co
Crispin Cider Company,2,4,23,35,64,2006,2021,9,https://ciderguide.com/crispin-cider-company/,,,,,California,United States,Inactive,39.089006,-120.950642,crispin-cider-company
Cidrerie Milton,9,8,25,20,62,2013,2023,10,https://ciderguide.com/cidrerie-milton/,http://cidreriemilton.com/,https://facebook.com/cidreriemilton,https://instagram.com/cidreriemilton,https://maps.google.com/?cid=9570102942420505240,Quebec,Canada,Active,45.483424,-72.759531,cidrerie-milton
Stem Ciders,3,4,33,21,61,2014,2023,9,https://ciderguide.com/stem-ciders/,http://stemciders.com/,https://www.facebook.com/stemciders/,https://www.instagram.com/stemciders/,https://maps.google.com/?cid=14948853403840338868,Colorado,United States,Active,39.761635,-104.983791,stem-ciders
Tieton Cider Works,3,2,31,25,61,2011,2022,10,https://ciderguide.com/tieton-cider-works/,https://tietonciderworks.com/,https://www.facebook.com/tietonciderworks/,https://www.instagram.com/tietonciderworks/,https://maps.google.com/?cid=9208093896298438407,Washington,United States,Active,46.615859,-120.521786,tieton-cider-works
Threadbare Cider,2,4,27,27,60,2018,2023,5,https://ciderguide.com/threadbare-cider/,https://threadbarecider.com/,https://www.facebook.com/threadbarecider,https://www.instagram.com/threadbarecider/,https://maps.google.com/?cid=7094659481938293243,Pennsylvania,United States,Active,40.460471,-79.988895,threadbare-cider
Sea Cider Farm & Ciderhouse,1,8,27,22,58,2014,2023,9,https://ciderguide.com/sea-cider-farm-ciderhouse/,http://seacider.ca/,,https://www.instagram.com/seaciderhouse/,https://goo.gl/maps/VQPjUX6TpCN2,British Columbia,Canada,Active,48.60325,-123.397092,sea-cider-farm-ciderhouse
Starcut Ciders,4,4,22,24,54,2015,2023,8,https://ciderguide.com/starcut-ciders/,http://starcutciders.com/,https://www.facebook.com/starcutcidersmi,https://www.instagram.com/starcutciders/,https://maps.google.com/?cid=2440791440580754774,Michigan,United States,Active,44.976269,-85.210357,starcut-ciders
Thornbury Craft Co.,4,5,33,11,53,2013,2023,10,https://ciderguide.com/thornbury-craft-co/,https://thornburycraft.com/,https://www.facebook.com/thornburycraft,https://www.instagram.com/thornburycraft/,https://www.google.com/maps?cid=17950053116977107226,Ontario,Canada,Active,44.5596898,-80.4459884,thornbury-craft-co
Puget Sound Cider Company,0,10,30,10,50,2019,2023,4,https://ciderguide.com/puget-sound-cider-company/,https://www.shopantiques4u.com/puget-sound-cider-co,https://www.facebook.com/PugetSoundCiderCo/,https://www.instagram.com/pugetsoundcider/,https://maps.google.com/?cid=8204287304413477076,Washington,United States,Active,47.479856,-122.204573,puget-sound-cider-company
Blue Moon Winery & Ciderworx,0,1,32,16,49,2018,2023,5,https://ciderguide.com/blue-moon-winery-ciderworx/,http://www.bluemoonwinery.ca/,,,https://maps.google.com/?cid=15603029176115587266,British Columbia,Canada,Active,49.692391,-125.040645,blue-moon-winery-ciderworx
Arsenal Cider House Lawrenceville,2,6,26,13,47,2016,2022,5,https://ciderguide.com/arsenal-cider-house-lawrenceville/,https://www.arsenalciderhouse.com/lawrenceville/,https://www.facebook.com/ArsenalCider,https://www.instagram.com/arsenalcider/,https://maps.google.com/?cid=3302243150360255083,Pennsylvania,United States,Active,40.465108,-79.96092,arsenal-cider-house-lawrenceville
St. Vrain Cidery,0,7,21,17,45,2016,2023,7,https://ciderguide.com/st-vrain-cidery/,http://www.stvraincidery.com/,https://www.facebook.com/stvraincidery/,https://www.instagram.com/stvraincidery/,https://maps.google.com/?cid=17224865106599925771,Colorado,United States,Active,40.1651663,-105.104967,st-vrain-cidery
West Avenue Cider,3,6,20,15,44,2014,2023,8,https://ciderguide.com/west-avenue-cider/,http://westavenue.ca/,,https://www.instagram.com/westavenuecider/,https://goo.gl/maps/eNJYbqNyb362,Ontario,Canada,Active,43.370832,-79.982444,west-avenue-cider
Salt Spring Wild Cider,5,4,30,4,43,2018,2023,4,https://ciderguide.com/salt-spring-wild-cider/,http://www.saltspringwildcider.com/,,,https://maps.google.com/?cid=1013951137212036854,British Columbia,Canada,Active,48.862494,-123.522065,salt-spring-wild-cider
Island Orchard Cider,1,3,23,15,42,2015,2023,7,https://ciderguide.com/island-orchard-cider/,http://islandorchardcider.com/,https://www.facebook.com/IslandOrchardCider,https://www.instagram.com/islandorchardcider/,https://maps.google.com/?cid=8005585823394699432,Wisconsin,United States,Active,45.256318,-87.071244,island-orchard-cider
Swift Cider,0,5,26,11,42,2016,2023,6,https://ciderguide.com/swift-cider/,http://swiftcider.com/,https://www.facebook.com/SwiftCider/,https://www.instagram.com/swiftcider/,https://maps.google.com/?cid=1421879404707890325,Oregon,United States,Active,45.577537,-122.651246,swift-cider
Winery at Black Star Farms,6,5,13,17,41,2005,2021,12,https://ciderguide.com/winery-at-black-star-farms/,http://www.blackstarfarms.com/,https://www.facebook.com/blackstarfarms,https://www.instagram.com/blackstarfarms/,https://maps.google.com/?cid=7449332961214465656,Michigan,United States,Active,44.933625,-85.636114,winery-at-black-star-farms
Colorado Cider Company,4,5,18,14,41,2014,2023,9,https://ciderguide.com/colorado-cider-company/,http://www.coloradocider.com/,https://www.facebook.com/coloradocider,https://www.instagram.com/coloradocidercompany/,https://maps.google.com/?cid=9606181927626096546,Colorado,United States,Active,39.71898,-105.01961,colorado-cider-company
Resurgence Brewing Co.,2,0,21,18,41,2012,2023,11,https://ciderguide.com/resurgence-brewing-co/,,https://www.facebook.com/blackbirdciders,https://www.instagram.com/blackbirdciderworks/,https://www.google.com/maps?cid=16173898676780716483,New York,United States,Active,42.8695957,-78.8686265,resurgence-brewing-co
Cider Creek Hard Cider,0,2,12,27,41,2015,2019,5,https://ciderguide.com/cider-creek-hard-cider/,http://www.cidercreekhardcider.com/,,https://www.instagram.com/cidercreekhardcider/,https://maps.google.com/?cid=7573055340708815679,New York,United States,Active,42.316655,-77.60405,cider-creek-hard-cider
Finnriver Farm and Cidery,4,5,15,16,40,2011,2023,10,https://ciderguide.com/finnriver-farm-and-cidery/,http://www.finnriver.com/,https://www.facebook.com/finnriver,https://www.instagram.com/finnriver/,https://maps.google.com/?cid=1802892066987578987,Washington,United States,Active,47.976418,-122.778943,finnriver-farm-and-cidery
Brooklyn Cider House,4,1,18,16,39,2016,2023,7,https://ciderguide.com/brooklyn-cider-house/,http://brooklynciderhouse.com/,,https://www.instagram.com/brooklynciderhouse/,https://maps.google.com/?cid=3244654366527486527,New York,United States,Active,41.757256,-74.04958,brooklyn-cider-house
Bold Rock Hard Cider (Mills River),1,4,22,12,39,2016,2023,5,https://ciderguide.com/bold-rock-hard-cider-mills-river/,http://www.boldrock.com/,https://www.facebook.com/BoldRockHardCider/,https://www.instagram.com/boldrockhardcider/,https://maps.google.com/?cid=10604087929796439877,North Carolina,United States,Active,35.376397,-82.559219,bold-rock-hard-cider-mills-river
Kings Highway Fine Cider,0,2,19,18,39,2016,2018,3,https://ciderguide.com/kings-highway-fine-cider/,https://cider.nyc/,,https://www.instagram.com/kingshighway_cider/,https://maps.google.com/?cid=1012291909954476569,New York,United States,Active,41.8978652,-73.534851,kings-highway-fine-cider
Cidrerie du Minot,7,3,16,12,38,2016,2019,4,https://ciderguide.com/cidrerie-du-minot/,http://www.duminot.com/,https://www.duminot.com/,https://www.instagram.com/cidrerieduminot/,https://www.google.com/maps?cid=3229917684270453987,Quebec,Canada,Active,45.019621,-73.621962,cidrerie-du-minot
Snowdrift Cider Co.,4,5,17,12,38,2009,2023,9,https://ciderguide.com/snowdrift-cider-co/,http://www.snowdriftcider.com/,https://www.facebook.com/snowdriftcider,https://www.instagram.com/snowdriftciderco/,https://maps.google.com/?cid=18339570792633761066,Washington,United States,Active,47.400586,-120.178628,snowdrift-cider-co
Wandering Aengus Ciderworks,1,10,17,10,38,2006,2016,7,https://ciderguide.com/wandering-aengus-ciderworks/,,,,,Oregon,United States,Inactive,44.893871,-122.996201,wandering-aengus-ciderworks
Albemarle CiderWorks,1,9,16,12,38,2012,2023,9,https://ciderguide.com/albemarle-ciderworks/,http://www.albemarleciderworks.com/,https://www.facebook.com/AlbCiderWorks/,https://www.instagram.com/albciderworks/,https://maps.google.com/?cid=18144857979395006290,Virginia,United States,Active,37.966531,-78.650136,albemarle-ciderworks
City Orchard,1,4,24,8,37,2017,2023,6,https://ciderguide.com/city-orchard/,https://www.cityorchardhtx.com/,https://www.facebook.com/cityorchard/,https://instagram.com/cityorchardhtx,https://maps.google.com/?cid=3039682779370610905,Texas,United States,Active,29.7708798,-95.3868984,city-orchard
Robinette Cellars,0,1,13,23,37,2006,2021,13,https://ciderguide.com/robinette-cellars/,https://robinettes.com/,https://www.facebook.com/Robinettes,https://www.instagram.com/robinettesapplehaus/,https://maps.google.com/?cid=5234107093392955640,Michigan,United States,Active,43.027537,-85.592264,robinette-cellars
Bee Well Mead & Cider,5,1,13,17,36,2016,2023,7,https://ciderguide.com/bee-well-mead-cider/,http://beewellmeadery.com/,https://www.facebook.com/BeeWellMeadery,https://www.instagram.com/beewellmeadery/,https://maps.google.com/?cid=18233410544073263210,Michigan,United States,Active,44.9760455,-85.2098303,bee-well-mead-cider
Thor's Hard Cider,3,5,17,11,36,2018,2023,5,https://ciderguide.com/thors-hard-cider/,https://www.thorshardcider.com/,https://www.facebook.com/thorshardcider/,https://www.instagram.com/thorshardcider/,https://maps.google.com/?cid=16250618587804183842,Minnesota,United States,Active,45.042138,-92.865744,thors-hard-cider
Stormalong Cider,1,5,18,12,36,2015,2023,7,https://ciderguide.com/stormalong-cider/,https://www.stormalong.com/,https://www.facebook.com/stormalongcider/,https://www.instagram.com/stormalongcider/,https://maps.google.com/?cid=9791117786097773397,Massachusetts,United States,Active,42.231425,-71.362237,stormalong-cider
Left Foot Charley,1,3,21,11,36,2011,2023,10,https://ciderguide.com/left-foot-charley/,http://www.leftfootcharley.com/,https://www.facebook.com/LeftFootCharleyWinery,https://www.instagram.com/leftfootcharley/,https://maps.google.com/?cid=16198693468177995981,Michigan,United States,Active,44.756339,-85.645097,left-foot-charley
Ernest Cider,1,2,22,10,35,2017,2023,6,https://ciderguide.com/ernest-cider/,http://www.ernestcider.com/,https://www.facebook.com/ernestcider,https://www.instagram.com/ernestcider/,https://maps.google.com/?cid=4441484377316760369,Ontario,Canada,Active,44.059187,-79.461256,ernest-cider
Locust Cider,0,0,14,21,35,2016,2023,7,https://ciderguide.com/locust-cider/,http://www.locustcider.com/,https://www.facebook.com/locustcider,https://www.instagram.com/locustcider,https://www.google.com/maps?cid=17533531076865420551,Washington,United States,Active,47.766244,-122.148563,locust-cider
Ciderboys,1,3,13,17,34,2014,2022,7,https://ciderguide.com/ciderboys/,http://www.ciderboys.com/,https://www.facebook.com/Ciderboys,https://www.instagram.com/Ciderboys/,https://maps.google.com/?cid=1756122992587390562,Wisconsin,United States,Active,44.510454,-89.573583,ciderboys
Castle Hill Cider,1,0,18,15,34,2012,2023,10,https://ciderguide.com/castle-hill-cider/,http://www.castlehillcider.com/,https://www.facebook.com/CastleHillCider,https://www.instagram.com/castlehillcider/,https://maps.google.com/?cid=4112176064200176389,Virginia,United States,Active,38.0888889,-78.2908333,castle-hill-cider
McClure's Orchard & Winery,0,4,10,19,33,2011,2023,7,https://ciderguide.com/mcclures-orchard-winery/,http://www.mccluresorchard.com/,https://www.facebook.com/McCluresTollHouse/,https://www.instagram.com/mccluresorchard/,https://maps.google.com/?cid=9370461394563366351,Indiana,United States,Active,40.837576,-86.130016,mcclures-orchard-winery
Rootstock Ciderworks,2,3,19,8,32,2015,2022,7,https://ciderguide.com/rootstock-ciderworks/,,,,,New York,United States,Inactive,43.201215,-77.224684,rootstock-ciderworks
Westcott Bay Cider,2,3,15,12,32,2006,2019,11,https://ciderguide.com/westcott-bay-cider/,http://www.westcottbaycider.com/,,,https://maps.google.com/?cid=4868680669516634580,Washington,United States,Active,48.603122,-123.162475,westcott-bay-cider
Eris Brewery & Cider House,1,1,18,12,32,2018,2023,5,https://ciderguide.com/eris-brewery-cider-house/,https://www.erischicago.com/,https://www.facebook.com/erischicago,https://www.instagram.com/erischicago/,https://maps.google.com/?cid=8228819364943835803,Illinois,United States,Active,41.953873,-87.734239,eris-brewery-cider-house
Big B's Hard Cider,0,1,15,16,32,2013,2019,7,https://ciderguide.com/big-bs-hard-cider/,http://www.bigbs.com/,https://www.facebook.com/visitbigbs,https://www.instagram.com/drinkbigbs,https://maps.google.com/?cid=78577038036310991,Colorado,United States,Active,38.860785,-107.626061,big-bs-hard-cider
Black Diamond Cider,5,6,14,6,31,2017,2023,6,https://ciderguide.com/black-diamond-cider/,https://blackdiamondcider.com/,https://www.facebook.com/incredapple/,https://www.instagram.com/blackdiamondfarm/,https://maps.google.com/?cid=10338399888952299802,New York,United States,Active,42.547829,-76.655099,black-diamond-cider
Embark Craft Ciderworks,0,4,13,14,31,2015,2019,5,https://ciderguide.com/embark-craft-ciderworks/,https://embarkcraftciderworks.com/,,https://www.instagram.com/embarkcraftciderworks/,https://maps.google.com/?cid=10530312377379345820,New York,United States,Active,43.248684,-77.187685,embark-craft-ciderworks
Gowan's Heirloom Ciders,7,1,17,5,30,2018,2023,5,https://ciderguide.com/gowans-heirloom-ciders/,http://www.gowansheirloomcider.com/,https://www.facebook.com/gowanscider/,https://www.instagram.com/gowanscider/,https://www.google.com/maps?cid=14585432541984297394,California,United States,Active,39.0869042,-123.4751758,gowans-heirloom-ciders
Sage Bird Ciderworks,1,4,21,4,30,2021,2023,3,https://ciderguide.com/sage-bird-ciderworks/,https://www.sagebirdciderworks.com/,https://www.facebook.com/sagebirdciderworks/,https://www.instagram.com/sagebirdciderworks/,https://maps.google.com/?cid=6011174694440794517,Virginia,United States,Active,38.4530173,-78.86998,sage-bird-ciderworks
Portland Cider Company,1,3,14,12,30,2013,2023,8,https://ciderguide.com/portland-cider-company/,http://portlandcider.com/,https://www.facebook.com/portlandcider,https://www.instagram.com/portlandcider/,https://maps.google.com/?cid=5897814277091816079,Oregon,United States,Active,45.415288,-122.572714,portland-cider-company
ANXO Cider,1,1,15,13,30,2016,2022,6,https://ciderguide.com/anxo-cider/,https://store.anxodc.com/,https://www.facebook.com/ANXOcider,https://www.instagram.com/anxodistrict/,https://maps.google.com/?cid=10966962293642727498,District of Columbia,United States,Active,38.956577,-77.022874,anxo-cider
Hogan's Cider,5,4,13,7,29,2011,2019,9,https://ciderguide.com/hogans-cider/,http://www.hoganscider.co.uk/,https://www.facebook.com/HogansCider/,https://www.instagram.com/hoganscider/,https://maps.google.com/?cid=344551779062280462,Warwickshire,United Kingdom,Active,52.2205461,-1.8336097,hogans-cider
Big Fish Cider Co.,4,8,13,4,29,2016,2023,7,https://ciderguide.com/big-fish-cider-co/,http://www.bigfishcider.com/,https://www.facebook.com/BigFishCider/,https://www.instagram.com/big_fish_cider/,https://maps.google.com/?cid=10686446551531832863,Virginia,United States,Active,38.412304,-79.58293,big-fish-cider-co
Cider Hill Cellars,3,4,16,6,29,2018,2023,5,https://ciderguide.com/cider-hill-cellars/,http://www.ciderhill.com/,https://www.facebook.com/ciderhillfarm01913/,https://www.instagram.com/ciderhill_farm/,https://maps.google.com/?cid=1807836563570941230,Massachusetts,United States,Active,42.875044,-70.926449,cider-hill-cellars
Oliver's Cider and Perry,2,3,13,11,29,2009,2019,9,https://ciderguide.com/olivers-cider-and-perry/,https://www.oliversciderandperry.co.uk/,https://www.facebook.com/oliversciderandperry,https://www.instagram.com/olivers_cider/,https://maps.google.com/?cid=7135495925516207657,Herefordshire,United Kingdom,Active,52.118645,-2.59315,olivers-cider-and-perry
Cidrerie Verger Bilodeau,2,2,17,8,29,2017,2023,6,https://ciderguide.com/cidrerie-verger-bilodeau/,http://cidreriebilodeau.com/,,,https://maps.google.com/?cid=13614947233486647877,Quebec,Canada,Active,46.91664,-71.035444,cidrerie-verger-bilodeau
Sapsucker Farms Yellow Belly Cidery,0,3,13,13,29,2017,2023,6,https://ciderguide.com/sapsucker-farms-yellow-belly-cidery/,https://www.sapsuckerfarms.com/,https://www.facebook.com/YellowBellyCider/,https://www.instagram.com/sapsuckerfarms/,https://maps.google.com/?cid=10529182272851607589,Minnesota,United States,Active,45.8970174,-93.152247,sapsucker-farms-yellow-belly-cidery
Empyrical Orchards And Cider,4,7,15,2,28,2019,2023,4,https://ciderguide.com/empyrical-orchards-and-cider/,,https://www.facebook.com/profile.php?id=100068960115984,https://www.instagram.com/empyricalcider/,,Washington,United States,Active,47.9128756,-122.0981847,empyrical-orchards-and-cider
Pux Cider,1,3,13,11,28,2016,2023,7,https://ciderguide.com/pux-cider/,http://puxcider.com/,https://www.facebook.com/puxcider,https://www.instagram.com/puxcider/,https://www.google.com/maps?cid=16702208274441786920,Michigan,United States,Active,42.9683341,-85.640274,pux-cider
Liberty Ciderworks,1,3,11,13,28,2013,2021,8,https://ciderguide.com/liberty-ciderworks/,http://libertycider.com/,https://www.facebook.com/LibertyCider,https://www.instagram.com/libertycider/,https://maps.google.com/?cid=14868081944798289423,Washington,United States,Active,47.655356,-117.418438,liberty-ciderworks
California Cider Company,0,6,10,12,28,2015,2023,7,https://ciderguide.com/california-cider-company/,http://www.acecider.com/,https://www.facebook.com/AceCider,https://www.instagram.com/acecider/,https://maps.google.com/?cid=5452200526577360272,California,United States,Active,38.423506,-122.849754,california-cider-company
Windy Hill Orchard & Cidery,0,1,12,15,28,2011,2019,9,https://ciderguide.com/windy-hill-orchard-cidery/,http://windyhillorchard.com/,https://www.facebook.com/windyhillcider/,https://www.instagram.com/windyhillcider/,https://maps.google.com/?cid=17966007782193084624,South Carolina,United States,Active,35.025033,-81.280415,windy-hill-orchard-cidery
Jefferson County Ciderworks,3,2,14,8,27,2017,2023,4,https://ciderguide.com/jefferson-county-ciderworks/,https://cider.work/,https://www.facebook.com/jeffcocider,https://www.instagram.com/jeffcocider/,https://maps.google.com/?cid=8237417276158156047,Iowa,United States,Active,41.017198,-92.018367,jefferson-county-ciderworks
KW Craft Cider,0,1,19,6,26,2015,2022,7,https://ciderguide.com/kw-craft-cider/,http://kwcraftcider.com/,https://www.facebook.com/kwcraftcider,https://www.instagram.com/kwcraftcider/,,Ontario,Canada,Active,43.508396,-80.543731,kw-craft-cider
Meriwether Cider Company,4,2,14,5,25,2018,2023,5,https://ciderguide.com/meriwether-cider-company/,http://www.meriwethercider.com/,https://www.facebook.com/meriwethercider,https://www.instagram.com/meriwethercider/,https://maps.google.com/?cid=7830741432069672416,Idaho,United States,Active,43.645176,-116.271227,meriwether-cider-company
Champlain Orchards,1,5,16,3,25,2013,2023,7,https://ciderguide.com/champlain-orchards/,https://www.champlainorchards.com/,https://www.facebook.com/ChamplainOrchards/,https://www.instagram.com/champlainorchards/,https://maps.google.com/?cid=12438523521595198148,Vermont,United States,Active,43.856854,-73.353028,champlain-orchards
Urban Tree Hard Cider,2,0,13,9,24,2016,2022,6,https://ciderguide.com/urban-tree-hard-cider/,https://urbantreecidery.com/,https://www.facebook.com/UrbanTreeCider/,https://www.instagram.com/urbantreecider/,https://maps.google.com/?cid=8193144976879641306,Georgia,United States,Active,33.794905,-84.414797,urban-tree-hard-cider
Slake Cider,1,5,10,8,24,2012,2018,6,https://ciderguide.com/slake-cider/,,,,,Oregon,United States,Inactive,45.215577,-123.197811,slake-cider
Two K Farms,1,4,11,8,24,2019,2023,4,https://ciderguide.com/two-k-farms/,http://www.twokfarms.com/,https://www.facebook.com/twokfarms,https://www.instagram.com/twokfarms/,https://maps.google.com/?cid=10000035318484135155,Michigan,United States,Active,44.922709,-85.626569,two-k-farms
Cambium Cider Co,1,2,14,7,24,2015,2023,7,https://ciderguide.com/cambium-cider-co/,https://www.cambiumcider.com/,https://www.facebook.com/cambiumcider,https://www.instagram.com/cambiumcider,https://maps.google.com/?cid=6249839959535544019,British Columbia,Canada,Active,50.2798201,-119.2228203,cambium-cider-co
Distillery Lane Ciderworks,0,2,7,15,24,2011,2017,7,https://ciderguide.com/distillery-lane-ciderworks/,http://distillerylaneciderworks.com/,,,https://maps.google.com/?cid=12697630403393008117,Maryland,United States,Active,39.386592,-77.620521,distillery-lane-ciderworks
Bull City Ciderworks,2,3,10,8,23,2018,2022,4,https://ciderguide.com/bull-city-ciderworks/,http://www.bullcityciderworks.com/,https://www.facebook.com/BullCityLexington,https://www.instagram.com/bullcityciderworks/,https://maps.google.com/?cid=12213813616311713027,North Carolina,United States,Active,35.818872,-80.255816,bull-city-ciderworks
Citizen Cider,2,0,12,9,23,2016,2021,5,https://ciderguide.com/citizen-cider/,https://www.citizencider.com/,https://www.facebook.com/citizencider,https://www.instagram.com/citizencider/,https://maps.google.com/?cid=705537445817027258,Vermont,United States,Active,44.470722,-73.214282,citizen-cider
Deep Roots Hard Cider,1,1,11,10,23,2016,2023,7,https://ciderguide.com/deep-roots-hard-cider/,https://www.deeprootshardcider.com/,https://www.facebook.com/deeprootshardciders,https://www.instagram.com/deeprootshardcider/,https://maps.google.com/?cid=9648569218795825836,Pennsylvania,United States,Active,41.606174,-76.228739,deep-roots-hard-cider
Beaver Valley Orchard & Cidery,0,2,3,18,23,2014,2021,7,https://ciderguide.com/beaver-valley-orchard-cidery/,,,,,Ontario,Canada,Inactive,44.432324,-80.522854,beaver-valley-orchard-cidery
Lost Boy Cider,0,1,15,7,23,2021,2023,3,https://ciderguide.com/lost-boy-cider/,https://lostboycider.com/,https://www.facebook.com/lostboycider/,https://www.instagram.com/lostboycider/,https://maps.google.com/?cid=2623373656020855749,Virginia,United States,Active,38.798715,-77.06327,lost-boy-cider
Hazlitt 1852 Vineyards,0,1,12,10,23,2016,2023,7,https://ciderguide.com/hazlitt-1852-vineyards/,https://hazlitt1852.com/,,,https://maps.google.com/?cid=5120913070607308492,New York,United States,Active,42.621963,-77.400262,hazlitt-1852-vineyards
