Style,Award,Medalist,Entry
Single Varietal,🥉 Bronze,Citizen Cider,Northern Spy
Single Varietal,Judges' Pick,Dragon's Head Cider,Columbia Crabapple
Single Varietal,Judges' Pick,Liberty Ciderworks,Hewe's Virginia Crab SV
Single Varietal,Judges' Pick,Angry Orchard,Baldwin SVC
Stone Fruit,🥇🥇 Double Gold,Gypsy Circus Cider Co.,Vaudevillian
Stone Fruit,🥇 Gold,Noble Cider,The Village Tart
Stone Fruit,🥈 Silver,Mercier Orchards,Just Peachy
Stone Fruit,🥉 Bronze,Summit Cider,Uncrushable Apricot
Stone Fruit,Judges' Pick,Tieton Cider Works,Bourbon Peach
Stone Fruit,Judges' Pick,North Idaho Cider,Wild Cherry
Stone Fruit,Judges' Pick,Citizen Cider,Companion
Fruit,🥇🥇 Double Gold,Gumption Hard Cider,Citrus Freak
Fruit,🥇 Gold,2 Towns Ciderhouse,Two Thorns
Fruit,🥈 Silver,Portland Cider Co.,Strawberry
Fruit,🥉 Bronze,Portland Cider Co.,Pineapple
Fruit,Judges' Pick,2 Towns Ciderhouse,Made Marion
Fruit,Judges' Pick,Methow Valley Ciderhouse,Black Raven
Fruit,Judges' Pick,Wyder's Cider,Pear
Hopped,🥇🥇 Double Gold,Square Mile Cider Co.,Hopped Apple Cider
Hopped,🥇 Gold,BC Tree Fruits Cider Co.,Broken Ladder Apples & Hops
Hopped,🥈 Silver,Tieton Cider Works,Yakima Valley Dry Hopped
Hopped,🥉 Bronze,2 Towns Ciderhouse,Hop & Stalk
Hopped,Judges' Pick,Stowe Cider,Safety Meeting
Hopped,Judges' Pick,Reverend Nat's Hard Cider,Hallelujah Hopricot
Hopped,Judges' Pick,Methow Valley Ciderhouse,Howling Wolf
Oak-Aged,🥇🥇 Double Gold,Blake's Hard Cider,Sir Lushington
Oak-Aged,🥇 Gold,Wandering Aengus Ciderworks,Oaked Dry
Oak-Aged,🥈 Silver,Seattle Cider Co.,Oaked Maple
Oak-Aged,🥉 Bronze,Vermont Cider Co.,Cerise
Oak-Aged,Judges' Pick,Vermont Cider Co.,Ingrained
Oak-Aged,Judges' Pick,2 Towns Ciderhouse,Return of the Mack
Oak-Aged,Judges' Pick,Liberty Ciderworks,Stonewall
Spiced/Botanical,🥇🥇 Double Gold,Portland Cider Co.,Pumpkin Spice
Spiced/Botanical,🥇 Gold,Summit Cider,Sundance
Spiced/Botanical,🥈 Silver,Seattle Cider Co.,Basil Mint
Spiced/Botanical,🥉 Bronze,Lonetree Cider Co.,Ginger Apple
Spiced/Botanical,Judges' Pick,Seattle Cider Co.,Gin Botanical
Spiced/Botanical,Judges' Pick,2 Towns Ciderhouse,Nice & Naughty
Spiced/Botanical,Judges' Pick,Gypsy Circus Cider Co.,Tea Leaf Reader
Specialty,🥇🥇 Double Gold,Seattle Cider Co.,Three Pepper
Specialty,🥇 Gold,2 Towns Ciderhouse,Hollow Jack
Specialty,🥈 Silver,Swilled Dog Hard Cider Co.,Caramel Apple
Specialty,🥉 Bronze,Seattle Cider Co.,Cold Brew
Specialty,Judges' Pick,2 Towns Ciderhouse,2015 La Mûre
Specialty,Judges' Pick,2 Towns Ciderhouse,6th Anniversary
Specialty,Judges' Pick,Reverend Nat's Hard Cider,Tassajara Peach Book
Dessert,🥇🥇 Double Gold,Michel Jodoin,Cidre de Glace Rosé
Dessert,🥇 Gold,Northern Natural Cider House & Winery,Iced Apple Cider
Dessert,🥈 Silver,Eden Specialty Ciders,2014 Brandy Barrel-Aged Heirloom Blend
Dessert,🥉 Bronze,Eden Specialty Ciders,2014 Honeycrisp
Dessert,Judges' Pick,Tieton Cider Works,Tieton Frost
Dessert,Judges' Pick,West Avenue Cider,North by West
Dessert,Judges' Pick,Blake's Hard Cider,Amshire
Fortified,🥇🥇 Double Gold,Big B's Hard Cider,Bourbon Barrel Aged Pommeau
Fortified,🥇 Gold,Colorado Cider Co.,Descuido
Fortified,🥈 Silver,Seattle Cider Co.,Pommeau
Fortified,🥉 Bronze,Snowdrift Cider Co.,Pommeau
Fortified,Judges' Pick,2 Towns Ciderhouse,2014 Pommeau
Fortified,Judges' Pick,Michel Jodoin,Mistelle Doré
Fortified,Judges' Pick,Reverend Nat's Hard Cider,Wooden Hellfire
