ID,Style,Award,Medalist,Entry,City,State/Region
69,Stone Fruit,🥇🥇 Double Gold,Curveball Ciders,Squeeze Play,Raymond,NE
70,Stone Fruit,🥇 Gold,Mill Haus Cider,Apricot Peach,Eatonville,WA
71,Stone Fruit,🥈 Silver,Gypsy Circus Cider,Vaudevillian,Kingsport,TN
72,Stone Fruit,🥉 Judges' Pick,Locust Cider,Apricot,Gig Harbor,WA
73,Stone Fruit,🥉 Judges' Pick,Seattle Cider Co.,Spiced Peach,Seattle,WA
74,Stone Fruit,🥉 Judges' Pick,Tieton Cider Works,Cherry,Yakima,WA
75,Spiced,🏆 Platinum,Urban Tree Cidery,Sweet Heat Haze,Atlanta,GA
76,Spiced,🥇🥇 Double Gold,Snow Capped Cider,Barrel Aged Spiced Peach,Austin,CO
77,Spiced,🥇 Gold,Portland Cider Company,Bloody Hell,Clakamas,OR
78,Spiced,🥈 Silver,Lonetree Cider,Ginger Apple Cider,Vancouver,BC
79,Spiced,🥉 Judges' Pick,Gypsy Circus Cider,Peppercorn Vaudevillian,Kingsport,TN
80,Spiced,🥉 Judges' Pick,Offset Ciderworks,Horchata,Edmonds,WA
81,Spiced,🥉 Judges' Pick,Steelhead Cider,Furious George Ginger,Manson,WA
82,Botanical,🏆 Platinum,Runcible Cider,Bergamot Oak,Mosier,OR
83,Botanical,🥇🥇 Double Gold,Gypsy Circus Cider,Tea Leaf Reader,Kingsport,TN
84,Botanical,🥇 Gold,Snow Capped Cider,Lavender Lemonade,Austin,CO
85,Botanical,🥈 Silver,Sandia Hard Cider,Lavender,Albuquerque,NM
86,Botanical,🥉 Judges' Pick,Bauman's Cider,Strawberry Mojito,Gervais,OR
87,Botanical,🥉 Judges' Pick,Diskin Cider,Six One Five,Nashville,TN
88,Botanical,🥉 Judges' Pick,Stem Ciders,Hibiscus,Lafayette,CO
89,Hopped,🏆 Platinum,Rootwood Cider Company,Hop Infused,Manson,WA
90,Hopped,🥇🥇 Double Gold,1911 Established,New England IPC Hopped,Lafayette,NY
91,Hopped,🥇 Gold,Union Hill Cider,Cascade,East Wenatchee,WA
92,Hopped,🥈 Silver,Urban Tree Cidery,Orange U an IPA,Atlanta,GA
93,Hopped,🥉 Judges' Pick,Castle Hill Cider,Dry Hopped,Keswick,VA
94,Hopped,🥉 Judges' Pick,Greenwood Cider,Hops,Seattle,WA
95,Hopped,🥉 Judges' Pick,Houston Cider Co.,Paradigm Shift,Houston,TX
96,Specialty,🏆 Platinum,Odd Brothers Craft Cider,Key Lime Kyle,Homer,MI
97,Specialty,🥇🥇 Double Gold,Glacial Till Craft Cider,Hibiscus Ginger,Lincoln,NE
98,Specialty,🥇 Gold,Kystin,Cuvée XVII Apple Chestnut Cider,Vannes,Brittany
99,Specialty,🥈 Silver,Champlain Orchards Cidery,Mac & Maple,Shoreham,VT
100,Specialty,🥉 Judges' Pick,Anna's Cider,Cucumber Ginger,Santa Paula,CA
101,Specialty,🥉 Judges' Pick,Beach Bee Meadery,Cranberry Cinnamon,Long Branch,NJ
102,Specialty,🥉 Judges' Pick,Portland Cider Company,Tangerine Dreamsicle,Clackamas,OR
103,Natural,🏆 Platinum,Maison Herout,2019 AOC Cotentin Cuvée Tradition Brut,Auvers,Normandy
104,Natural,🥇🥇 Double Gold,Posterity Ciderworks,My Pét Dragon,Mokelumne Hill,CA
105,Natural,🥇 Gold,Cidrerie Milton,Galia 2019,Sainte-Cécile-de-Milton,QC
106,Natural,🥇 Gold,Wildcraft Cider Works,Tokyo Rose,Eugene,OR
107,Natural,🥈 Silver,Botanist and Barrel,Cúrate Sidra Natural,Cedar Grove,NC
108,Natural,🥉 Judges' Pick,Cidrerie Milton,Gawett – Panne de Courant,Sainte-Cécile-de-Milton,QC
109,Natural,🥉 Judges' Pick,Iapetus Cider,Pétillant Natural Hard Cider,Shelburne,VT
110,Natural,🥉 Judges' Pick,Petritegi Cider House,Aparduna,Astigarraga,Basque Country
111,Sour,🏆 Platinum,2 Towns Ciderhouse,2017 La Mure,Corvallis,OR
112,Sour,🥇🥇 Double Gold,Cidrerie Milton,Honeycrisp Sour,Sainte-Cécile-de-Milton,QC
113,Sour,🥇 Gold,Offset Ciderworks,Summer Love,Edmonds,WA
114,Sour,🥈 Silver,Liberty Ciderworks,Garratza,Spokane,WA
115,Sour,🥉 Judges' Pick,Odd Brothers Craft Cider,Sunday Sour Sunday,Homer,MI
116,Sour,🥉 Judges' Pick,Posterity Ciderworks,Raspberry Sour,Mokelumne Hill,CA
117,Sour,🥉 Judges' Pick,Tieton Cider Works,Sour Watermelon,Yakima,WA
118,Dessert,🏆 Platinum,2 Towns Ciderhouse,2020 Bleuveré,Corvallis,OR
119,Dessert,🥇🥇 Double Gold,2 Towns Ciderhouse,2020 Marissimo,Corvallis,OR
120,Dessert,🥇🥇 Double Gold,Eden Ice Cider,Northern Spy,Newport,VT
121,Dessert,🥇 Gold,Kystin,Secret Ice Cider,Vannes,Brittany
122,Dessert,🥈 Silver,Island Orchard Cider,Ice Cider,Ellison Bay,WI
123,Dessert,🥉 Judges' Pick,Blake's Hard Cider,Amshire,Armada,MI
124,Dessert,🥉 Judges' Pick,Ironbound Hard Cider,Lemon Beebrush Fortified Cider,Ashbury,NJ
125,Dessert,🥉 Judges' Pick,Number 12 Cider,Shackleton,Minneapolis,MN
