ID,Category,Award,Medalist,Entry,Location,WID,Region,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd,Latitude,Longitude
12,Heritage – Sweet,🥈 Silver,Kristof Farms Cider,Reserve Cider,"Yamhill, OR",2039,Oregon,https://www.kristoffarms.com/,https://www.facebook.com/KristofFarms/,https://www.instagram.com/kristoffarms/,,,,https://untappd.com/w/kristof-farms/524122,45.3833849,-123.153384
13,Single Varietal,🏆 Platinum,Blake's Hard Cider,Orchard Reserve,"Armada, MI",10,Michigan,http://www.blakeshardcider.com/,https://www.facebook.com/blakeshardciderco,https://www.instagram.com/blakeshardciderco/,https://maps.google.com/?cid=15855146673119620480,https://www.yelp.com/biz/blakes-ciderhouse-and-winery-armada,https://www.tripadvisor.com/Attraction_Review-g29560-d6678501,https://untappd.com/w/blakes-hard-cider-company/86334,42.8503113,-82.9513855
14,Single Varietal,🥇🥇 Double Gold,Snow Capped Cider,Porter's Perfection,"Cedaredge, CO",569,Colorado,http://www.snowcappedcider.com/,https://www.facebook.com/snowcappedcider/,https://www.instagram.com/snowcappedcider/,https://maps.google.com/?cid=373602255640136887,,,https://untappd.com/w/snow-capped-cider/130549,38.898619,-107.924961
15,Single Varietal,🥇 Gold,Fenceline Cider,Harrison,"Mancos, CO",274,Colorado,https://www.fenceline.co/,https://www.facebook.com/fencelineciderCO/,https://www.instagram.com/fencelinecider/,https://maps.google.com/?cid=10459681325423767911,https://www.yelp.com/biz/fenceline-cider-mancos,https://www.tripadvisor.com/Attraction_Review-g33536-d14931668,https://untappd.com/w/fenceline-cider/396408,37.344471,-108.28887
16,Single Varietal,🥈 Silver,Noble Cider,Bella – Lewis Creek Orchard Reserve,"Asheville, NC",447,North Carolina,http://www.noblecider.com/,https://www.facebook.com/NobleCider,https://www.instagram.com/noble_cider/,https://maps.google.com/?cid=10806279487860629423,https://www.yelp.com/biz/noble-cider-asheville,https://www.tripadvisor.com/Attraction_Review-g60742-d8604019,https://untappd.com/w/noble-cider/77407,35.602136,-82.62465
17,Single Varietal,🥉 Judges' Pick,Bauman's Cider,Porter's Perfection Single Varietal,"Gervais, OR",118,Oregon,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.yelp.com/biz/baumans-farm-and-garden-gervais,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872,45.1079661,-122.8693386
18,Single Varietal,🥉 Judges' Pick,Snow Capped Cider,Golden Russet,"Cedaredge, CO",569,Colorado,http://www.snowcappedcider.com/,https://www.facebook.com/snowcappedcider/,https://www.instagram.com/snowcappedcider/,https://maps.google.com/?cid=373602255640136887,,,https://untappd.com/w/snow-capped-cider/130549,38.898619,-107.924961
19,Single Varietal,🥉 Judges' Pick,19 Acres Cider Co.,Honeycrisp,"Sherwood, OR",1084,Oregon,https://19acres.com/,https://www.facebook.com/19AcresCiderCo/,https://www.instagram.com/19acresciderco/,https://maps.google.com/?cid=4476171369322689525,https://www.yelp.com/biz/19-acres-cider-co-sherwood,https://www.tripadvisor.com/Restaurant_Review-g52068-d25236157,https://untappd.com/19AcresHardCider,45.3886798,-122.9315471
20,Perry,🏆 Platinum,Snow Capped Cider,Winter Pear,"Cedaredge, CO",569,Colorado,http://www.snowcappedcider.com/,https://www.facebook.com/snowcappedcider/,https://www.instagram.com/snowcappedcider/,https://maps.google.com/?cid=373602255640136887,,,https://untappd.com/w/snow-capped-cider/130549,38.898619,-107.924961
21,Perry,🥇🥇 Double Gold,Empyrical Orchards and Cider,Principle,"Snohomish, WA",2037,Washington,,https://www.facebook.com/profile.php?id=100068960115984,https://www.instagram.com/empyricalcider/,,,,https://untappd.com/w/empyrical-orchard-cidery/507102,47.9128756,-122.0981847
22,Perry,🥇 Gold,Forbidden Fruit Cider Co.,Perry,"Palisade, CO",662,Colorado,https://www.13brixciderbistro.com/,https://www.facebook.com/13BrixCiderBistro/,https://www.instagram.com/13brixcider/,https://maps.google.com/?cid=13701321241502683638,https://www.yelp.com/biz/13-brix-cider-bistro-palisade,https://www.tripadvisor.com/Restaurant_Review-g33585-d12428534,https://untappd.com/w/13a0-brix/347296,39.1106652,-108.3518042
23,Perry,🥈 Silver,Yonder Cider,Barrel Aged Perry,"Wenatchee, WA",957,Washington,http://www.yondercider.com/,https://www.facebook.com/yondercider,https://www.instagram.com/yondercider/,https://maps.google.com/?cid=11002201593648505227,https://www.yelp.com/biz/yonder-cider-seattle,,https://untappd.com/w/yonder-cider/474448,47.6646136,-122.3675796
24,Perry,🥉 Judges' Pick,Alma Cider,Perry,"Mount Vernon, WA",1885,Washington,https://almacider.com/,https://www.facebook.com/almaciderco/,https://www.instagram.com/almaciderco/,,,,https://untappd.com/w/alma-cider/473877,48.416119,-122.2940351
25,Perry,🥉 Judges' Pick,Stormalong Cider,Berry Perry,"Sherborn, MA",600,Massachusetts,https://www.stormalong.com/,https://www.facebook.com/stormalongcider/,https://www.instagram.com/stormalongcider/,https://maps.google.com/?cid=9791117786097773397,,,https://untappd.com/w/stormalong-cider/182598,42.231425,-71.362237
26,Perry,🥉 Judges' Pick,Double Mountain Brewery & Cidery,Little Martha Old World Perry,"Hood River, OR",241,Oregon,http://www.doublemountainbrewery.com/,https://www.facebook.com/doublemountainbrewery,https://www.instagram.com/doublemountain,https://maps.google.com/?cid=2446696276607943242,https://www.yelp.com/biz/double-mountain-brewery-hood-river,https://www.tripadvisor.com/Restaurant_Review-g51909-d2186972,https://untappd.com/w/double-mountain-brewery-taproom/462,45.710014,-121.514641
27,Natural,🏆 Platinum,Pierre Huet,Cidre Bouché Brut,"CAMBREMER, FRANCE",1691,Normandy,https://www.calvados-huet.com/,https://www.facebook.com/calvadosph/,https://www.instagram.com/calvadospierrehuet/,https://maps.google.com/?cid=11210783185501022788,,https://www.tripadvisor.com/Attraction_Review-g672825-d4991781,https://untappd.com/brewery/27537,49.1476519,0.0462976
28,Natural,🥇🥇 Double Gold,Maison Hérout,Amour Brut,"Auvers, France",2140,Normandy,https://www.maisonherout.com/,https://www.facebook.com/cidres/,https://www.instagram.com/maisonherout/,https://maps.google.com/?cid=1426598113576371976,,,https://untappd.com/w/m-a-herout/164919,49.2940012,-1.303545
29,Natural,🥇 Gold,Brooklyn Cider House,Raw,"New Paltz, NY",165,New York,http://brooklynciderhouse.com/,,https://www.instagram.com/brooklynciderhouse/,https://maps.google.com/?cid=3244654366527486527,,,https://untappd.com/w/brooklyn-cider-house/234267,41.757256,-74.04958
30,Natural,🥈 Silver,Maison Hérout,2019 Grande Cuvée Extra Brut,"Auvers, France",2140,Normandy,https://www.maisonherout.com/,https://www.facebook.com/cidres/,https://www.instagram.com/maisonherout/,https://maps.google.com/?cid=1426598113576371976,,,https://untappd.com/w/m-a-herout/164919,49.2940012,-1.303545
31,Natural,🥉 Judges' Pick,Space Time Mead & Cider Works,Ariane 5,"Dunmore, PA",971,Pennsylvania,http://www.spacetimemeadworks.com/,https://www.facebook.com/SpaceTimeMeadCiderWorks/,https://www.instagram.com/spacetimemeads/,https://maps.google.com/?cid=357847721777965657,,https://www.tripadvisor.com/Attraction_Review-g52530-d15757358,,41.4172242,-75.6350154
32,Natural,🥉 Judges' Pick,Black Diamond Cider,2021 Geneva Tremlett's,"Trumansburg, NY",136,New York,https://blackdiamondcider.com/,https://www.facebook.com/incredapple/,https://www.instagram.com/blackdiamondfarm/,https://maps.google.com/?cid=10338399888952299802,,,https://untappd.com/w/black-diamond-farm/192550,42.547829,-76.655099
33,Natural,🥉 Judges' Pick,Mountain West Cider,Green Urban Lunch Box,"Salt Lake City, UT",432,Utah,http://mountainwestcider.com/,https://www.facebook.com/MountainWestHardCider/,https://www.instagram.com/mountainwestcider/,https://maps.google.com/?cid=16538924633378887108,https://www.yelp.com/biz/mountain-west-cider-salt-lake-city,,https://untappd.com/w/mountain-west-hard-cider/235312,40.778772,-111.903037
34,Pét Nat,🏆 Platinum,Brooklyn Cider House,Three Of Life,"New Paltz, NY",165,New York,http://brooklynciderhouse.com/,,https://www.instagram.com/brooklynciderhouse/,https://maps.google.com/?cid=3244654366527486527,,,https://untappd.com/w/brooklyn-cider-house/234267,41.757256,-74.04958
35,Pét Nat,🥇🥇 Double Gold,Botanist & Barrel,2022 Not What we May Be,"Cedar Grove, NC",155,North Carolina,https://www.botanistandbarrel.com/,,https://www.instagram.com/botanistandbarrel/,https://maps.google.com/?cid=1902463006194094884,https://www.yelp.com/biz/botanist-and-barrel-cedar-grove,https://www.tripadvisor.com/Attraction_Review-g49015-d13544284,https://untappd.com/w/botanist-barrel/356633,36.216856,-79.179325
36,Pét Nat,🥇 Gold,Madrone Cider,Salish Trio,"Friday Harbor, WA",919,Washington,https://madronecellars.com/,https://www.facebook.com/madronecellars,https://www.instagram.com/madronecellars_cider/,https://maps.google.com/?cid=4819408985436567114,https://www.yelp.com/biz/madrone-cellars-and-cider-friday-harbor,https://www.tripadvisor.com/Attraction_Review-g60957-d21166624,https://untappd.com/MadroneCider,48.5351226,-123.0164504
37,Pét Nat,🥇 Gold,Bauman's Cider,McIntosh Pét Nat,"Gervais, OR",118,Oregon,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.yelp.com/biz/baumans-farm-and-garden-gervais,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872,45.1079661,-122.8693386
38,Pét Nat,🥈 Silver,Madrone Cider,The Local Blend,"Friday Harbor, WA",919,Washington,https://madronecellars.com/,https://www.facebook.com/madronecellars,https://www.instagram.com/madronecellars_cider/,https://maps.google.com/?cid=4819408985436567114,https://www.yelp.com/biz/madrone-cellars-and-cider-friday-harbor,https://www.tripadvisor.com/Attraction_Review-g60957-d21166624,https://untappd.com/MadroneCider,48.5351226,-123.0164504
39,Modern – Dry,🏆 Platinum,Seattle Cider Co.,City Fruit,"Seattle, WA",553,Washington,http://www.seattlecidercompany.com/,https://www.facebook.com/SeattleCiderCo,https://www.instagram.com/seattleciderco/,https://maps.google.com/?cid=10339393864619567754,https://www.yelp.com/biz/seattle-cider-company-seattle,,https://untappd.com/w/seattle-cider-company/75923,47.560327,-122.337605
40,Modern – Dry,🥇🥇 Double Gold,Double Mountain Brewery & Cidery,Dry,"Hood River, OR",241,Oregon,http://www.doublemountainbrewery.com/,https://www.facebook.com/doublemountainbrewery,https://www.instagram.com/doublemountain,https://maps.google.com/?cid=2446696276607943242,https://www.yelp.com/biz/double-mountain-brewery-hood-river,https://www.tripadvisor.com/Restaurant_Review-g51909-d2186972,https://untappd.com/w/double-mountain-brewery-taproom/462,45.710014,-121.514641
41,Modern – Dry,🥇🥇 Double Gold,Seattle Cider Co.,Light Cider,"Seattle, WA",553,Washington,http://www.seattlecidercompany.com/,https://www.facebook.com/SeattleCiderCo,https://www.instagram.com/seattleciderco/,https://maps.google.com/?cid=10339393864619567754,https://www.yelp.com/biz/seattle-cider-company-seattle,,https://untappd.com/w/seattle-cider-company/75923,47.560327,-122.337605
42,Modern – Dry,🥇 Gold,Bent Ladder,Russet,"Doylestown, OH",124,Ohio,http://bentladder.com/,https://www.facebook.com/bentladder,https://www.instagram.com/bentladder/,https://maps.google.com/?cid=5886580381731979881,https://www.yelp.com/biz/rittman-orchard-rittman,https://www.tripadvisor.com/Attraction_Review-g50283-d1977165,https://untappd.com/w/bent-ladder/295757,40.9646071,-81.739989
43,Modern – Dry,🥈 Silver,Blake's Hard Cider,Gold Rush,"Armada, MI",10,Michigan,http://www.blakeshardcider.com/,https://www.facebook.com/blakeshardciderco,https://www.instagram.com/blakeshardciderco/,https://maps.google.com/?cid=15855146673119620480,https://www.yelp.com/biz/blakes-ciderhouse-and-winery-armada,https://www.tripadvisor.com/Attraction_Review-g29560-d6678501,https://untappd.com/w/blakes-hard-cider-company/86334,42.8503113,-82.9513855
44,Modern – Dry,🥉 Judges' Pick,2 Towns Ciderhouse,BrightCider,"Corvallis, OR",67,Oregon,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975,44.563505,-123.226185
45,Modern – Dry,🥉 Judges' Pick,Greenwood Cider,Dry,"Seattle, WA",308,Washington,https://www.greenwoodcider.com/,https://www.facebook.com/greenwoodcider,https://www.instagram.com/greenwoodcider,https://maps.google.com/?cid=9193094358946814076,https://www.yelp.com/biz/greenwood-cider-company-seattle,,https://untappd.com/w/greenwood-cider/193817,47.631204,-122.375137
46,Modern – Dry,🥉 Judges' Pick,Black Apple Hard Cider,Dry Me!,"Springdale, AR",133,Arkansas,https://www.blackapplehardcider.com/,https://www.facebook.com/blackapplecrossing/,https://www.instagram.com/blackapplehardcider/,https://maps.google.com/?cid=5449257929643515916,https://www.yelp.com/biz/black-apple-crossing-springdale,https://www.tripadvisor.com/Attraction_Review-g31931-d8814858,https://untappd.com/w/black-apple-crossing/211057,36.18487,-94.127403
47,Modern – Sweet,🏆 Platinum,Seattle Cider Co.,Honeycrisp,"Seattle, WA",553,Washington,http://www.seattlecidercompany.com/,https://www.facebook.com/SeattleCiderCo,https://www.instagram.com/seattleciderco/,https://maps.google.com/?cid=10339393864619567754,https://www.yelp.com/biz/seattle-cider-company-seattle,,https://untappd.com/w/seattle-cider-company/75923,47.560327,-122.337605
48,Modern – Sweet,🥇🥇 Double Gold,1911 Established,Original,"Lafayette, NY",75,New York,http://1911established.com/,,https://www.instagram.com/1911established/,https://maps.google.com/?cid=13706571465768596510,https://www.yelp.com/biz/beak-and-skiff-apple-orchards-lafayette,https://www.tripadvisor.com/Attraction_Review-g48013-d4954731,https://untappd.com/w/beak-and-skiff-apple-orchards/123121,42.903744,-76.22158
49,Modern – Sweet,🥇 Gold,Glacial Till Craft Cider,Original,"Ashland, NE",294,Nebraska,http://www.glacialtillvineyard.com/,https://www.facebook.com/glacialtillvineyard,https://www.instagram.com/glacialtillvineyard/,https://maps.google.com/?cid=185099829414435279,https://www.yelp.com/biz/glacial-till-tasting-room-ashland,https://www.tripadvisor.com/Attraction_Review-g29709-d5832186,https://untappd.com/w/glacial-till-vineyard-and-winery/223758,41.038896,-96.368951
50,Modern – Sweet,🥈 Silver,Snow Capped Cider,Pinova,"Cedaredge, CO",569,Colorado,http://www.snowcappedcider.com/,https://www.facebook.com/snowcappedcider/,https://www.instagram.com/snowcappedcider/,https://maps.google.com/?cid=373602255640136887,,,https://untappd.com/w/snow-capped-cider/130549,38.898619,-107.924961
51,Modern – Sweet,🥉 Judges' Pick,Seattle Cider Co.,Semi Sweet,"Seattle, WA",553,Washington,http://www.seattlecidercompany.com/,https://www.facebook.com/SeattleCiderCo,https://www.instagram.com/seattleciderco/,https://maps.google.com/?cid=10339393864619567754,https://www.yelp.com/biz/seattle-cider-company-seattle,,https://untappd.com/w/seattle-cider-company/75923,47.560327,-122.337605
52,Modern – Sweet,🥉 Judges' Pick,Brooklyn Cider House,Little Wild,"New Paltz, NY",165,New York,http://brooklynciderhouse.com/,,https://www.instagram.com/brooklynciderhouse/,https://maps.google.com/?cid=3244654366527486527,,,https://untappd.com/w/brooklyn-cider-house/234267,41.757256,-74.04958
53,Modern – Sweet,🥉 Judges' Pick,Bauman's Cider,Authentic Cider,"Gervais, OR",118,Oregon,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.yelp.com/biz/baumans-farm-and-garden-gervais,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872,45.1079661,-122.8693386
54,Imperial,🏆 Platinum,Incline Cider,Imperial Hazy Honeycrisp,"TACOMA, WA",345,Washington,http://www.inclinecider.com/,https://www.facebook.com/inclinecider/,https://www.instagram.com/inclinecider/,https://maps.google.com/?cid=504944612388443997,https://www.yelp.com/biz/incline-cider-house-tacoma,https://www.tripadvisor.com/Attraction_Review-g58775-d22266571,https://untappd.com/w/incline-cider-company/249584,47.307323,-122.228453
55,Imperial,🥇🥇 Double Gold,2 Towns Ciderhouse,Original Cosmic Crisp,"Corvallis, OR",67,Oregon,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975,44.563505,-123.226185
56,Imperial,🥇 Gold,Seattle Cider Co.,Odyssey,"Seattle, WA",553,Washington,http://www.seattlecidercompany.com/,https://www.facebook.com/SeattleCiderCo,https://www.instagram.com/seattleciderco/,https://maps.google.com/?cid=10339393864619567754,https://www.yelp.com/biz/seattle-cider-company-seattle,,https://untappd.com/w/seattle-cider-company/75923,47.560327,-122.337605
57,Imperial,🥇 Gold,Blake's Hard Cider,American Apple,"Armada, MI",10,Michigan,http://www.blakeshardcider.com/,https://www.facebook.com/blakeshardciderco,https://www.instagram.com/blakeshardciderco/,https://maps.google.com/?cid=15855146673119620480,https://www.yelp.com/biz/blakes-ciderhouse-and-winery-armada,https://www.tripadvisor.com/Attraction_Review-g29560-d6678501,https://untappd.com/w/blakes-hard-cider-company/86334,42.8503113,-82.9513855
58,Imperial,🥈 Silver,Avid Cider Co.,Golden Delish,"Bend, OR",103,Oregon,https://avidcider.com/,https://www.facebook.com/AVIDCider/,https://www.instagram.com/avidcidercompany/,,https://www.yelp.com/biz/atlas-cider-co-bend-2,https://www.tripadvisor.com/Attraction_Review-g51766-d6870614,https://untappd.com/w/atlas-cider-company/65739,44.0509307,-121.3144074
59,Imperial,🥈 Silver,Empyrical Orchards and Cider,Objective,"Snohomish, WA",2037,Washington,,https://www.facebook.com/profile.php?id=100068960115984,https://www.instagram.com/empyricalcider/,,,,https://untappd.com/w/empyrical-orchard-cidery/507102,47.9128756,-122.0981847
60,Imperial,🥉 Judges' Pick,Schilling Cider,Excelsior Imperial Apple,"Auburn, WA",550,Washington,https://schillingcider.com/,https://www.facebook.com/SchillingCider/,https://www.instagram.com/schillingcider/,https://maps.google.com/?cid=12281308087911884522,,,https://untappd.com/w/schilling-cider/62413,47.347243,-122.233995
61,Imperial,🥉 Judges' Pick,Avid Cider Co.,Royal Apricot,"Bend, OR",103,Oregon,https://avidcider.com/,https://www.facebook.com/AVIDCider/,https://www.instagram.com/avidcidercompany/,,https://www.yelp.com/biz/atlas-cider-co-bend-2,https://www.tripadvisor.com/Attraction_Review-g51766-d6870614,https://untappd.com/w/atlas-cider-company/65739,44.0509307,-121.3144074
62,Imperial,🥉 Judges' Pick,Portland Cider Company,Imperial Dry,"Clackamas, OR",490,Oregon,http://portlandcider.com/,https://www.facebook.com/portlandcider,https://www.instagram.com/portlandcider/,https://maps.google.com/?cid=5897814277091816079,https://www.yelp.com/biz/portland-cider-company-clackamas,https://www.tripadvisor.com/Restaurant_Review-g51806-d6996793,https://untappd.com/w/portland-cider-company/56260,45.415288,-122.572714
63,Rosé,🏆 Platinum,Alma Cider,Rosé,"Mount Vernon, WA",1885,Washington,https://almacider.com/,https://www.facebook.com/almaciderco/,https://www.instagram.com/almaciderco/,,,,https://untappd.com/w/alma-cider/473877,48.416119,-122.2940351
64,Rosé,🥇🥇 Double Gold,2 Towns Ciderhouse,Raspberry Cosmic Crisp,"Corvallis, OR",67,Oregon,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221,https://untappd.com/w/2-towns-ciderhouse/12975,44.563505,-123.226185
65,Rosé,🥇🥇 Double Gold,Schilling Cider,Excelsior Imperial Red Glo,"Auburn, WA",550,Washington,https://schillingcider.com/,https://www.facebook.com/SchillingCider/,https://www.instagram.com/schillingcider/,https://maps.google.com/?cid=12281308087911884522,,,https://untappd.com/w/schilling-cider/62413,47.347243,-122.233995
66,Rosé,🥇 Gold,Bauman's Cider,Mountain Rose Single Varietal,"Gervais, OR",118,Oregon,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.yelp.com/biz/baumans-farm-and-garden-gervais,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872,45.1079661,-122.8693386
67,Rosé,🥈 Silver,Champlain Orchards,Redfield,"Shoreham, VT",188,Vermont,https://www.champlainorchards.com/,https://www.facebook.com/ChamplainOrchards/,https://www.instagram.com/champlainorchards/,https://maps.google.com/?cid=12438523521595198148,https://www.yelp.com/biz/champlain-orchards-shoreham-2,https://www.tripadvisor.com/Attraction_Review-g57398-d9867509,https://untappd.com/w/champlain-orchards/20547,43.856854,-73.353028
68,Rosé,🥉 Judges' Pick,Double Mountain Brewery & Cidery,Rosé Red Flesh,"Hood River, OR",241,Oregon,http://www.doublemountainbrewery.com/,https://www.facebook.com/doublemountainbrewery,https://www.instagram.com/doublemountain,https://maps.google.com/?cid=2446696276607943242,https://www.yelp.com/biz/double-mountain-brewery-hood-river,https://www.tripadvisor.com/Restaurant_Review-g51909-d2186972,https://untappd.com/w/double-mountain-brewery-taproom/462,45.710014,-121.514641
69,Rosé,🥉 Judges' Pick,Greenwood Cider,Red Flesh,"Seattle, WA",308,Washington,https://www.greenwoodcider.com/,https://www.facebook.com/greenwoodcider,https://www.instagram.com/greenwoodcider,https://maps.google.com/?cid=9193094358946814076,https://www.yelp.com/biz/greenwood-cider-company-seattle,,https://untappd.com/w/greenwood-cider/193817,47.631204,-122.375137
70,Rosé,🥉 Judges' Pick,Thor's Hard Cider,Arctic Rosé,"Stillwater, MN",631,Minnesota,https://www.thorshardcider.com/,https://www.facebook.com/thorshardcider/,https://www.instagram.com/thorshardcider/,https://maps.google.com/?cid=16250618587804183842,https://www.yelp.com/biz/aamodts-apple-farm-stillwater,https://www.tripadvisor.com/Attraction_Review-g43552-d7146001,https://untappd.com/w/thors-hard-cider/345130,45.042138,-92.865744
71,Fruit,🏆 Platinum,Bauman's Cider,Forbidden Fruit – Pinot Noir,"Gervais, OR",118,Oregon,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,https://www.yelp.com/biz/baumans-farm-and-garden-gervais,https://www.tripadvisor.com/Attraction_Review-g51881-d6848567,https://untappd.com/w/baumans-cider-company/253872,45.1079661,-122.8693386
72,Fruit,🥇🥇 Double Gold,Brooklyn Cider House,Rosé,"New Paltz, NY",165,New York,http://brooklynciderhouse.com/,,https://www.instagram.com/brooklynciderhouse/,https://maps.google.com/?cid=3244654366527486527,,,https://untappd.com/w/brooklyn-cider-house/234267,41.757256,-74.04958
73,Fruit,🥇🥇 Double Gold,Locust Cider,Watermelon,"Gig Harbor, WA",391,Washington,http://www.locustcider.com/,https://www.facebook.com/locustcider,https://www.instagram.com/locustcider,https://maps.google.com/?cid=17533531076865420551,https://www.yelp.com/biz/locust-cider-woodinville,https://www.tripadvisor.com/Attraction_Review-g58835-d12688283,https://untappd.com/w/locust-cider/202473,47.766244,-122.148563
